ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
4276;Energy tax;2022 4th quarter;1606.0
4277;Energy tax;2022;6262.0
4278;Energy tax;2023 1st quarter;2454.0
4279;Energy tax;2023 2nd quarter;1973.0
4280;Energy tax;2023 3rd quarter;1764.0
4281;Energy tax;2023 4th quarter;2062.0
4282;Energy tax;2023;8253.0
4283;Energy tax;2024 1st quarter;3034.0
4284;Energy tax;2024 2nd quarter;2067.0
4285;Energy tax;2024 3rd quarter;1866.0
4286;Energy tax;2024 4th quarter;2602.0
4287;Energy tax;2024;9569.0
4288;Groundwater and landfill tax provinces;1995;6.0
4289;Groundwater and landfill tax provinces;1996;6.0
4290;Groundwater and landfill tax provinces;1997;9.0
4291;Groundwater and landfill tax provinces;1998;9.0
4292;Groundwater and landfill tax provinces;1999 1st quarter;
4293;Groundwater and landfill tax provinces;1999 2nd quarter;
4294;Groundwater and landfill tax provinces;1999 3rd quarter;
4295;Groundwater and landfill tax provinces;1999 4th quarter;
4296;Groundwater and landfill tax provinces;1999;24.0
4297;Groundwater and landfill tax provinces;2000 1st quarter;
4298;Groundwater and landfill tax provinces;2000 2nd quarter;
4299;Groundwater and landfill tax provinces;2000 3rd quarter;
4300;Groundwater and landfill tax provinces;2000 4th quarter;
4301;Groundwater and landfill tax provinces;2000;34.0
4302;Groundwater and landfill tax provinces;2001 1st quarter;
4303;Groundwater and landfill tax provinces;2001 2nd quarter;
4304;Groundwater and landfill tax provinces;2001 3rd quarter;
4305;Groundwater and landfill tax provinces;2001 4th quarter;
4306;Groundwater and landfill tax provinces;2001;40.0
4307;Groundwater and landfill tax provinces;2002 1st quarter;
4308;Groundwater and landfill tax provinces;2002 2nd quarter;
4309;Groundwater and landfill tax provinces;2002 3rd quarter;
4310;Groundwater and landfill tax provinces;2002 4th quarter;
4311;Groundwater and landfill tax provinces;2002;59.0
4312;Groundwater and landfill tax provinces;2003 1st quarter;
4313;Groundwater and landfill tax provinces;2003 2nd quarter;
4314;Groundwater and landfill tax provinces;2003 3rd quarter;
4315;Groundwater and landfill tax provinces;2003 4th quarter;
4316;Groundwater and landfill tax provinces;2003;33.0
4317;Groundwater and landfill tax provinces;2004 1st quarter;
4318;Groundwater and landfill tax provinces;2004 2nd quarter;
4319;Groundwater and landfill tax provinces;2004 3rd quarter;
4320;Groundwater and landfill tax provinces;2004 4th quarter;
4321;Groundwater and landfill tax provinces;2004;34.0
4322;Groundwater and landfill tax provinces;2005 1st quarter;
4323;Groundwater and landfill tax provinces;2005 2nd quarter;
4324;Groundwater and landfill tax provinces;2005 3rd quarter;
4325;Groundwater and landfill tax provinces;2005 4th quarter;
4326;Groundwater and landfill tax provinces;2005;36.0
4327;Groundwater and landfill tax provinces;2006 1st quarter;
4328;Groundwater and landfill tax provinces;2006 2nd quarter;
4329;Groundwater and landfill tax provinces;2006 3rd quarter;
4330;Groundwater and landfill tax provinces;2006 4th quarter;
4331;Groundwater and landfill tax provinces;2006;35.0
4332;Groundwater and landfill tax provinces;2007 1st quarter;
4333;Groundwater and landfill tax provinces;2007 2nd quarter;
4334;Groundwater and landfill tax provinces;2007 3rd quarter;
4335;Groundwater and landfill tax provinces;2007 4th quarter;
4336;Groundwater and landfill tax provinces;2007;35.0
4337;Groundwater and landfill tax provinces;2008 1st quarter;5.0
4338;Groundwater and landfill tax provinces;2008 2nd quarter;5.0
4339;Groundwater and landfill tax provinces;2008 3rd quarter;5.0
4340;Groundwater and landfill tax provinces;2008 4th quarter;5.0
4341;Groundwater and landfill tax provinces;2008;20.0
4342;Groundwater and landfill tax provinces;2009 1st quarter;4.0
4343;Groundwater and landfill tax provinces;2009 2nd quarter;5.0
4344;Groundwater and landfill tax provinces;2009 3rd quarter;5.0
4345;Groundwater and landfill tax provinces;2009 4th quarter;3.0
4346;Groundwater and landfill tax provinces;2009;17.0
4347;Groundwater and landfill tax provinces;2010 1st quarter;4.0
4348;Groundwater and landfill tax provinces;2010 2nd quarter;4.0
4349;Groundwater and landfill tax provinces;2010 3rd quarter;4.0
4350;Groundwater and landfill tax provinces;2010 4th quarter;3.0
4351;Groundwater and landfill tax provinces;2010;15.0
4352;Groundwater and landfill tax provinces;2011 1st quarter;3.0
4353;Groundwater and landfill tax provinces;2011 2nd quarter;4.0
4354;Groundwater and landfill tax provinces;2011 3rd quarter;4.0
4355;Groundwater and landfill tax provinces;2011 4th quarter;4.0
4356;Groundwater and landfill tax provinces;2011;15.0
4357;Groundwater and landfill tax provinces;2012 1st quarter;4.0
4358;Groundwater and landfill tax provinces;2012 2nd quarter;4.0
4359;Groundwater and landfill tax provinces;2012 3rd quarter;4.0
4360;Groundwater and landfill tax provinces;2012 4th quarter;2.0
4361;Groundwater and landfill tax provinces;2012;14.0
4362;Groundwater and landfill tax provinces;2013 1st quarter;3.0
4363;Groundwater and landfill tax provinces;2013 2nd quarter;3.0
4364;Groundwater and landfill tax provinces;2013 3rd quarter;2.0
4365;Groundwater and landfill tax provinces;2013 4th quarter;2.0
4366;Groundwater and landfill tax provinces;2013;10.0
4367;Groundwater and landfill tax provinces;2014 1st quarter;4.0
4368;Groundwater and landfill tax provinces;2014 2nd quarter;5.0
4369;Groundwater and landfill tax provinces;2014 3rd quarter;5.0
4370;Groundwater and landfill tax provinces;2014 4th quarter;8.0
4371;Groundwater and landfill tax provinces;2014;22.0
4372;Groundwater and landfill tax provinces;2015 1st quarter;4.0
4373;Groundwater and landfill tax provinces;2015 2nd quarter;4.0
4374;Groundwater and landfill tax provinces;2015 3rd quarter;4.0
4375;Groundwater and landfill tax provinces;2015 4th quarter;2.0
4376;Groundwater and landfill tax provinces;2015;14.0
4377;Groundwater and landfill tax provinces;2016 1st quarter;4.0
4378;Groundwater and landfill tax provinces;2016 2nd quarter;4.0
4379;Groundwater and landfill tax provinces;2016 3rd quarter;3.0
4380;Groundwater and landfill tax provinces;2016 4th quarter;9.0
4381;Groundwater and landfill tax provinces;2016;20.0
4382;Groundwater and landfill tax provinces;2017 1st quarter;4.0
4383;Groundwater and landfill tax provinces;2017 2nd quarter;4.0
4384;Groundwater and landfill tax provinces;2017 3rd quarter;4.0
4385;Groundwater and landfill tax provinces;2017 4th quarter;3.0
4386;Groundwater and landfill tax provinces;2017;15.0
4387;Groundwater and landfill tax provinces;2018 1st quarter;3.0
4388;Groundwater and landfill tax provinces;2018 2nd quarter;3.0
4389;Groundwater and landfill tax provinces;2018 3rd quarter;3.0
4390;Groundwater and landfill tax provinces;2018 4th quarter;4.0
4391;Groundwater and landfill tax provinces;2018;13.0
4392;Groundwater and landfill tax provinces;2019 1st quarter;3.0
4393;Groundwater and landfill tax provinces;2019 2nd quarter;3.0
4394;Groundwater and landfill tax provinces;2019 3rd quarter;4.0
4395;Groundwater and landfill tax provinces;2019 4th quarter;4.0
4396;Groundwater and landfill tax provinces;2019;14.0
4397;Groundwater and landfill tax provinces;2020 1st quarter;3.0
4398;Groundwater and landfill tax provinces;2020 2nd quarter;4.0
4399;Groundwater and landfill tax provinces;2020 3rd quarter;4.0
4400;Groundwater and landfill tax provinces;2020 4th quarter;4.0
4401;Groundwater and landfill tax provinces;2020;15.0
4402;Groundwater and landfill tax provinces;2021 1st quarter;4.0
4403;Groundwater and landfill tax provinces;2021 2nd quarter;4.0
4404;Groundwater and landfill tax provinces;2021 3rd quarter;4.0
4405;Groundwater and landfill tax provinces;2021 4th quarter;3.0
4406;Groundwater and landfill tax provinces;2021;15.0
4407;Groundwater and landfill tax provinces;2022 1st quarter;4.0
4408;Groundwater and landfill tax provinces;2022 2nd quarter;4.0
4409;Groundwater and landfill tax provinces;2022 3rd quarter;4.0
4410;Groundwater and landfill tax provinces;2022 4th quarter;4.0
4411;Groundwater and landfill tax provinces;2022;16.0
4412;Groundwater and landfill tax provinces;2023 1st quarter;3.0
4413;Groundwater and landfill tax provinces;2023 2nd quarter;4.0
4414;Groundwater and landfill tax provinces;2023 3rd quarter;3.0
4415;Groundwater and landfill tax provinces;2023 4th quarter;3.0
4416;Groundwater and landfill tax provinces;2023;13.0
4417;Groundwater and landfill tax provinces;2024 1st quarter;4.0
4418;Groundwater and landfill tax provinces;2024 2nd quarter;4.0
4419;Groundwater and landfill tax provinces;2024 3rd quarter;4.0
4420;Groundwater and landfill tax provinces;2024 4th quarter;5.0
4421;Groundwater and landfill tax provinces;2024;17.0
4422;Groundwater tax;1995;141.0
4423;Groundwater tax;1996;146.0
4424;Groundwater tax;1997;149.0
4425;Groundwater tax;1998;152.0
4426;Groundwater tax;1999 1st quarter;
4427;Groundwater tax;1999 2nd quarter;
4428;Groundwater tax;1999 3rd quarter;
4429;Groundwater tax;1999 4th quarter;
4430;Groundwater tax;1999;154.0
4431;Groundwater tax;2000 1st quarter;
4432;Groundwater tax;2000 2nd quarter;
4433;Groundwater tax;2000 3rd quarter;
4434;Groundwater tax;2000 4th quarter;
4435;Groundwater tax;2000;152.0
4436;Groundwater tax;2001 1st quarter;
4437;Groundwater tax;2001 2nd quarter;
4438;Groundwater tax;2001 3rd quarter;
4439;Groundwater tax;2001 4th quarter;
4440;Groundwater tax;2001;150.0
4441;Groundwater tax;2002 1st quarter;
4442;Groundwater tax;2002 2nd quarter;
4443;Groundwater tax;2002 3rd quarter;
4444;Groundwater tax;2002 4th quarter;
4445;Groundwater tax;2002;143.0
4446;Groundwater tax;2003 1st quarter;
4447;Groundwater tax;2003 2nd quarter;
4448;Groundwater tax;2003 3rd quarter;
4449;Groundwater tax;2003 4th quarter;
4450;Groundwater tax;2003;169.0
4451;Groundwater tax;2004 1st quarter;
4452;Groundwater tax;2004 2nd quarter;
4453;Groundwater tax;2004 3rd quarter;
4454;Groundwater tax;2004 4th quarter;
4455;Groundwater tax;2004;168.0
4456;Groundwater tax;2005 1st quarter;
4457;Groundwater tax;2005 2nd quarter;
4458;Groundwater tax;2005 3rd quarter;
4459;Groundwater tax;2005 4th quarter;
4460;Groundwater tax;2005;168.0
4461;Groundwater tax;2006 1st quarter;
4462;Groundwater tax;2006 2nd quarter;
4463;Groundwater tax;2006 3rd quarter;
4464;Groundwater tax;2006 4th quarter;
4465;Groundwater tax;2006;180.0
4466;Groundwater tax;2007 1st quarter;
4467;Groundwater tax;2007 2nd quarter;
4468;Groundwater tax;2007 3rd quarter;
4469;Groundwater tax;2007 4th quarter;
4470;Groundwater tax;2007;179.0
4471;Groundwater tax;2008 1st quarter;43.0
4472;Groundwater tax;2008 2nd quarter;44.0
4473;Groundwater tax;2008 3rd quarter;43.0
4474;Groundwater tax;2008 4th quarter;43.0
4475;Groundwater tax;2008;173.0
4476;Groundwater tax;2009 1st quarter;34.0
4477;Groundwater tax;2009 2nd quarter;39.0
4478;Groundwater tax;2009 3rd quarter;46.0
4479;Groundwater tax;2009 4th quarter;43.0
4480;Groundwater tax;2009;162.0
4481;Groundwater tax;2010 1st quarter;50.0
4482;Groundwater tax;2010 2nd quarter;46.0
4483;Groundwater tax;2010 3rd quarter;45.0
4484;Groundwater tax;2010 4th quarter;45.0
4485;Groundwater tax;2010;186.0
4486;Groundwater tax;2011 1st quarter;45.0
4487;Groundwater tax;2011 2nd quarter;48.0
4488;Groundwater tax;2011 3rd quarter;39.0
4489;Groundwater tax;2011 4th quarter;44.0
4490;Groundwater tax;2011;176.0
4491;Groundwater tax;2012 1st quarter;2.0
4492;Groundwater tax;2012 2nd quarter;2.0
4493;Groundwater tax;2012 3rd quarter;0.0
4494;Groundwater tax;2012 4th quarter;1.0
4495;Groundwater tax;2012;5.0
4496;Groundwater tax;2013 1st quarter;0.0
4497;Groundwater tax;2013 2nd quarter;0.0
4498;Groundwater tax;2013 3rd quarter;0.0
4499;Groundwater tax;2013 4th quarter;0.0
4500;Groundwater tax;2013;0.0
4501;Groundwater tax;2014 1st quarter;0.0
4502;Groundwater tax;2014 2nd quarter;0.0
4503;Groundwater tax;2014 3rd quarter;0.0
4504;Groundwater tax;2014 4th quarter;0.0
4505;Groundwater tax;2014;0.0
4506;Groundwater tax;2015 1st quarter;0.0
4507;Groundwater tax;2015 2nd quarter;0.0
4508;Groundwater tax;2015 3rd quarter;0.0
4509;Groundwater tax;2015 4th quarter;0.0
4510;Groundwater tax;2015;0.0
4511;Groundwater tax;2016 1st quarter;0.0
4512;Groundwater tax;2016 2nd quarter;0.0
4513;Groundwater tax;2016 3rd quarter;0.0
4514;Groundwater tax;2016 4th quarter;0.0
4515;Groundwater tax;2016;0.0
4516;Groundwater tax;2017 1st quarter;0.0
4517;Groundwater tax;2017 2nd quarter;0.0
4518;Groundwater tax;2017 3rd quarter;0.0
4519;Groundwater tax;2017 4th quarter;0.0
4520;Groundwater tax;2017;0.0
4521;Groundwater tax;2018 1st quarter;0.0
4522;Groundwater tax;2018 2nd quarter;0.0
4523;Groundwater tax;2018 3rd quarter;0.0
4524;Groundwater tax;2018 4th quarter;0.0
4525;Groundwater tax;2018;0.0
4526;Groundwater tax;2019 1st quarter;0.0
4527;Groundwater tax;2019 2nd quarter;0.0
4528;Groundwater tax;2019 3rd quarter;0.0
4529;Groundwater tax;2019 4th quarter;0.0
4530;Groundwater tax;2019;0.0
4531;Groundwater tax;2020 1st quarter;0.0
4532;Groundwater tax;2020 2nd quarter;0.0
4533;Groundwater tax;2020 3rd quarter;0.0
4534;Groundwater tax;2020 4th quarter;0.0
4535;Groundwater tax;2020;0.0
4536;Groundwater tax;2021 1st quarter;0.0
4537;Groundwater tax;2021 2nd quarter;0.0
4538;Groundwater tax;2021 3rd quarter;0.0
4539;Groundwater tax;2021 4th quarter;0.0
4540;Groundwater tax;2021;0.0
4541;Groundwater tax;2022 1st quarter;0.0
4542;Groundwater tax;2022 2nd quarter;0.0
4543;Groundwater tax;2022 3rd quarter;0.0
4544;Groundwater tax;2022 4th quarter;0.0
4545;Groundwater tax;2022;0.0
4546;Groundwater tax;2023 1st quarter;0.0
4547;Groundwater tax;2023 2nd quarter;0.0
4548;Groundwater tax;2023 3rd quarter;0.0
4549;Groundwater tax;2023 4th quarter;0.0
4550;Groundwater tax;2023;0.0
4551;Groundwater tax;2024 1st quarter;0.0
4552;Groundwater tax;2024 2nd quarter;0.0
4553;Groundwater tax;2024 3rd quarter;0.0
4554;Groundwater tax;2024 4th quarter;0.0
4555;Groundwater tax;2024;0.0
4556;Inheritance and gift tax;1995;773.0
4557;Inheritance and gift tax;1996;885.0
4558;Inheritance and gift tax;1997;946.0
4559;Inheritance and gift tax;1998;1120.0
4560;Inheritance and gift tax;1999 1st quarter;
4561;Inheritance and gift tax;1999 2nd quarter;
4562;Inheritance and gift tax;1999 3rd quarter;
4563;Inheritance and gift tax;1999 4th quarter;
4564;Inheritance and gift tax;1999;1291.0
4565;Inheritance and gift tax;2000 1st quarter;
4566;Inheritance and gift tax;2000 2nd quarter;
4567;Inheritance and gift tax;2000 3rd quarter;
4568;Inheritance and gift tax;2000 4th quarter;
4569;Inheritance and gift tax;2000;1483.0
4570;Inheritance and gift tax;2001 1st quarter;
4571;Inheritance and gift tax;2001 2nd quarter;
4572;Inheritance and gift tax;2001 3rd quarter;
4573;Inheritance and gift tax;2001 4th quarter;
4574;Inheritance and gift tax;2001;1307.0
4575;Inheritance and gift tax;2002 1st quarter;
4576;Inheritance and gift tax;2002 2nd quarter;
4577;Inheritance and gift tax;2002 3rd quarter;
4578;Inheritance and gift tax;2002 4th quarter;
4579;Inheritance and gift tax;2002;1695.0
4580;Inheritance and gift tax;2003 1st quarter;
4581;Inheritance and gift tax;2003 2nd quarter;
4582;Inheritance and gift tax;2003 3rd quarter;
4583;Inheritance and gift tax;2003 4th quarter;
4584;Inheritance and gift tax;2003;1460.0
4585;Inheritance and gift tax;2004 1st quarter;
4586;Inheritance and gift tax;2004 2nd quarter;
4587;Inheritance and gift tax;2004 3rd quarter;
4588;Inheritance and gift tax;2004 4th quarter;
4589;Inheritance and gift tax;2004;1512.0
4590;Inheritance and gift tax;2005 1st quarter;
4591;Inheritance and gift tax;2005 2nd quarter;
4592;Inheritance and gift tax;2005 3rd quarter;
4593;Inheritance and gift tax;2005 4th quarter;
4594;Inheritance and gift tax;2005;1709.0
4595;Inheritance and gift tax;2006 1st quarter;
4596;Inheritance and gift tax;2006 2nd quarter;
4597;Inheritance and gift tax;2006 3rd quarter;
4598;Inheritance and gift tax;2006 4th quarter;
4599;Inheritance and gift tax;2006;1810.0
4600;Inheritance and gift tax;2007 1st quarter;
4601;Inheritance and gift tax;2007 2nd quarter;
4602;Inheritance and gift tax;2007 3rd quarter;
4603;Inheritance and gift tax;2007 4th quarter;
4604;Inheritance and gift tax;2007;1877.0
4605;Inheritance and gift tax;2008 1st quarter;221.0
4606;Inheritance and gift tax;2008 2nd quarter;481.0
4607;Inheritance and gift tax;2008 3rd quarter;492.0
4608;Inheritance and gift tax;2008 4th quarter;601.0
4609;Inheritance and gift tax;2008;1795.0
4610;Inheritance and gift tax;2009 1st quarter;349.0
4611;Inheritance and gift tax;2009 2nd quarter;444.0
4612;Inheritance and gift tax;2009 3rd quarter;509.0
4613;Inheritance and gift tax;2009 4th quarter;511.0
4614;Inheritance and gift tax;2009;1813.0
4615;Inheritance and gift tax;2010 1st quarter;357.0
4616;Inheritance and gift tax;2010 2nd quarter;398.0
4617;Inheritance and gift tax;2010 3rd quarter;432.0
4618;Inheritance and gift tax;2010 4th quarter;534.0
4619;Inheritance and gift tax;2010;1721.0
4620;Inheritance and gift tax;2011 1st quarter;347.0
4621;Inheritance and gift tax;2011 2nd quarter;427.0
4622;Inheritance and gift tax;2011 3rd quarter;350.0
4623;Inheritance and gift tax;2011 4th quarter;412.0
4624;Inheritance and gift tax;2011;1536.0
4625;Inheritance and gift tax;2012 1st quarter;288.0
4626;Inheritance and gift tax;2012 2nd quarter;355.0
4627;Inheritance and gift tax;2012 3rd quarter;341.0
4628;Inheritance and gift tax;2012 4th quarter;398.0
4629;Inheritance and gift tax;2012;1382.0
4630;Inheritance and gift tax;2013 1st quarter;356.0
4631;Inheritance and gift tax;2013 2nd quarter;433.0
4632;Inheritance and gift tax;2013 3rd quarter;495.0
4633;Inheritance and gift tax;2013 4th quarter;446.0
4634;Inheritance and gift tax;2013;1730.0
4635;Inheritance and gift tax;2014 1st quarter;317.0
4636;Inheritance and gift tax;2014 2nd quarter;357.0
4637;Inheritance and gift tax;2014 3rd quarter;368.0
4638;Inheritance and gift tax;2014 4th quarter;483.0
4639;Inheritance and gift tax;2014;1525.0
4640;Inheritance and gift tax;2015 1st quarter;360.0
4641;Inheritance and gift tax;2015 2nd quarter;369.0
4642;Inheritance and gift tax;2015 3rd quarter;366.0
4643;Inheritance and gift tax;2015 4th quarter;519.0
4644;Inheritance and gift tax;2015;1614.0
4645;Inheritance and gift tax;2016 1st quarter;381.0
4646;Inheritance and gift tax;2016 2nd quarter;401.0
4647;Inheritance and gift tax;2016 3rd quarter;559.0
4648;Inheritance and gift tax;2016 4th quarter;504.0
4649;Inheritance and gift tax;2016;1845.0
4650;Inheritance and gift tax;2017 1st quarter;361.0
4651;Inheritance and gift tax;2017 2nd quarter;439.0
4652;Inheritance and gift tax;2017 3rd quarter;541.0
4653;Inheritance and gift tax;2017 4th quarter;500.0
4654;Inheritance and gift tax;2017;1841.0
4655;Inheritance and gift tax;2018 1st quarter;339.0
4656;Inheritance and gift tax;2018 2nd quarter;413.0
4657;Inheritance and gift tax;2018 3rd quarter;509.0
4658;Inheritance and gift tax;2018 4th quarter;470.0
4659;Inheritance and gift tax;2018;1731.0
4660;Inheritance and gift tax;2019 1st quarter;361.0
4661;Inheritance and gift tax;2019 2nd quarter;419.0
4662;Inheritance and gift tax;2019 3rd quarter;528.0
4663;Inheritance and gift tax;2019 4th quarter;469.0
4664;Inheritance and gift tax;2019;1777.0
4665;Inheritance and gift tax;2020 1st quarter;423.0
4666;Inheritance and gift tax;2020 2nd quarter;491.0
4667;Inheritance and gift tax;2020 3rd quarter;618.0
4668;Inheritance and gift tax;2020 4th quarter;549.0
4669;Inheritance and gift tax;2020;2081.0
4670;Inheritance and gift tax;2021 1st quarter;777.0
4671;Inheritance and gift tax;2021 2nd quarter;447.0
4672;Inheritance and gift tax;2021 3rd quarter;517.0
4673;Inheritance and gift tax;2021 4th quarter;755.0
4674;Inheritance and gift tax;2021;2496.0
4675;Inheritance and gift tax;2022 1st quarter;509.0
4676;Inheritance and gift tax;2022 2nd quarter;683.0
4677;Inheritance and gift tax;2022 3rd quarter;470.0
4678;Inheritance and gift tax;2022 4th quarter;952.0
4679;Inheritance and gift tax;2022;2614.0
4680;Inheritance and gift tax;2023 1st quarter;703.0
4681;Inheritance and gift tax;2023 2nd quarter;672.0
4682;Inheritance and gift tax;2023 3rd quarter;737.0
4683;Inheritance and gift tax;2023 4th quarter;891.0
4684;Inheritance and gift tax;2023;3003.0
4685;Inheritance and gift tax;2024 1st quarter;648.0
4686;Inheritance and gift tax;2024 2nd quarter;763.0
4687;Inheritance and gift tax;2024 3rd quarter;1137.0
4688;Inheritance and gift tax;2024 4th quarter;868.0
4689;Inheritance and gift tax;2024;3416.0
4690;Insurance premium tax;1995;442.0
4691;Insurance premium tax;1996;463.0
4692;Insurance premium tax;1997;510.0
4693;Insurance premium tax;1998;545.0
4694;Insurance premium tax;1999 1st quarter;
4695;Insurance premium tax;1999 2nd quarter;
4696;Insurance premium tax;1999 3rd quarter;
4697;Insurance premium tax;1999 4th quarter;
4698;Insurance premium tax;1999;492.0
4699;Insurance premium tax;2000 1st quarter;
4700;Insurance premium tax;2000 2nd quarter;
4701;Insurance premium tax;2000 3rd quarter;
4702;Insurance premium tax;2000 4th quarter;
4703;Insurance premium tax;2000;512.0
4704;Insurance premium tax;2001 1st quarter;
4705;Insurance premium tax;2001 2nd quarter;
4706;Insurance premium tax;2001 3rd quarter;
4707;Insurance premium tax;2001 4th quarter;
4708;Insurance premium tax;2001;638.0
4709;Insurance premium tax;2002 1st quarter;
4710;Insurance premium tax;2002 2nd quarter;
4711;Insurance premium tax;2002 3rd quarter;
4712;Insurance premium tax;2002 4th quarter;
4713;Insurance premium tax;2002;660.0
4714;Insurance premium tax;2003 1st quarter;
4715;Insurance premium tax;2003 2nd quarter;
4716;Insurance premium tax;2003 3rd quarter;
4717;Insurance premium tax;2003 4th quarter;
4718;Insurance premium tax;2003;746.0
4719;Insurance premium tax;2004 1st quarter;
4720;Insurance premium tax;2004 2nd quarter;
4721;Insurance premium tax;2004 3rd quarter;
4722;Insurance premium tax;2004 4th quarter;
4723;Insurance premium tax;2004;740.0
4724;Insurance premium tax;2005 1st quarter;
4725;Insurance premium tax;2005 2nd quarter;
4726;Insurance premium tax;2005 3rd quarter;
4727;Insurance premium tax;2005 4th quarter;
4728;Insurance premium tax;2005;743.0
4729;Insurance premium tax;2006 1st quarter;
4730;Insurance premium tax;2006 2nd quarter;
4731;Insurance premium tax;2006 3rd quarter;
4732;Insurance premium tax;2006 4th quarter;
4733;Insurance premium tax;2006;752.0
4734;Insurance premium tax;2007 1st quarter;
4735;Insurance premium tax;2007 2nd quarter;
4736;Insurance premium tax;2007 3rd quarter;
4737;Insurance premium tax;2007 4th quarter;
4738;Insurance premium tax;2007;807.0
4739;Insurance premium tax;2008 1st quarter;273.0
4740;Insurance premium tax;2008 2nd quarter;183.0
4741;Insurance premium tax;2008 3rd quarter;168.0
4742;Insurance premium tax;2008 4th quarter;171.0
4743;Insurance premium tax;2008;795.0
4744;Insurance premium tax;2009 1st quarter;316.0
4745;Insurance premium tax;2009 2nd quarter;180.0
4746;Insurance premium tax;2009 3rd quarter;181.0
4747;Insurance premium tax;2009 4th quarter;172.0
4748;Insurance premium tax;2009;849.0
4749;Insurance premium tax;2010 1st quarter;327.0
4750;Insurance premium tax;2010 2nd quarter;186.0
4751;Insurance premium tax;2010 3rd quarter;160.0
4752;Insurance premium tax;2010 4th quarter;188.0
4753;Insurance premium tax;2010;861.0
4754;Insurance premium tax;2011 1st quarter;335.0
4755;Insurance premium tax;2011 2nd quarter;262.0
4756;Insurance premium tax;2011 3rd quarter;188.0
4757;Insurance premium tax;2011 4th quarter;235.0
4758;Insurance premium tax;2011;1020.0
4759;Insurance premium tax;2012 1st quarter;408.0
4760;Insurance premium tax;2012 2nd quarter;230.0
4761;Insurance premium tax;2012 3rd quarter;233.0
4762;Insurance premium tax;2012 4th quarter;274.0
4763;Insurance premium tax;2012;1145.0
4764;Insurance premium tax;2013 1st quarter;834.0
4765;Insurance premium tax;2013 2nd quarter;573.0
4766;Insurance premium tax;2013 3rd quarter;473.0
4767;Insurance premium tax;2013 4th quarter;463.0
4768;Insurance premium tax;2013;2343.0
4769;Insurance premium tax;2014 1st quarter;844.0
4770;Insurance premium tax;2014 2nd quarter;506.0
4771;Insurance premium tax;2014 3rd quarter;506.0
4772;Insurance premium tax;2014 4th quarter;510.0
4773;Insurance premium tax;2014;2366.0
4774;Insurance premium tax;2015 1st quarter;852.0
4775;Insurance premium tax;2015 2nd quarter;502.0
4776;Insurance premium tax;2015 3rd quarter;482.0
4777;Insurance premium tax;2015 4th quarter;539.0
4778;Insurance premium tax;2015;2375.0
4779;Insurance premium tax;2016 1st quarter;856.0
4780;Insurance premium tax;2016 2nd quarter;539.0
4781;Insurance premium tax;2016 3rd quarter;544.0
4782;Insurance premium tax;2016 4th quarter;525.0
4783;Insurance premium tax;2016;2464.0
4784;Insurance premium tax;2017 1st quarter;785.0
4785;Insurance premium tax;2017 2nd quarter;565.0
4786;Insurance premium tax;2017 3rd quarter;550.0
4787;Insurance premium tax;2017 4th quarter;586.0
4788;Insurance premium tax;2017;2486.0
4789;Insurance premium tax;2018 1st quarter;894.0
4790;Insurance premium tax;2018 2nd quarter;600.0
4791;Insurance premium tax;2018 3rd quarter;592.0
4792;Insurance premium tax;2018 4th quarter;629.0
4793;Insurance premium tax;2018;2715.0
4794;Insurance premium tax;2019 1st quarter;948.0
4795;Insurance premium tax;2019 2nd quarter;639.0
4796;Insurance premium tax;2019 3rd quarter;634.0
4797;Insurance premium tax;2019 4th quarter;659.0
4798;Insurance premium tax;2019;2880.0
4799;Insurance premium tax;2020 1st quarter;955.0
4800;Insurance premium tax;2020 2nd quarter;698.0
4801;Insurance premium tax;2020 3rd quarter;675.0
4802;Insurance premium tax;2020 4th quarter;720.0
4803;Insurance premium tax;2020;3048.0
4804;Insurance premium tax;2021 1st quarter;1069.0
4805;Insurance premium tax;2021 2nd quarter;713.0
4806;Insurance premium tax;2021 3rd quarter;707.0
4807;Insurance premium tax;2021 4th quarter;715.0
4808;Insurance premium tax;2021;3204.0
4809;Insurance premium tax;2022 1st quarter;1162.0
4810;Insurance premium tax;2022 2nd quarter;750.0
4811;Insurance premium tax;2022 3rd quarter;760.0
4812;Insurance premium tax;2022 4th quarter;729.0
4813;Insurance premium tax;2022;3401.0
4814;Insurance premium tax;2023 1st quarter;1250.0
4815;Insurance premium tax;2023 2nd quarter;780.0
4816;Insurance premium tax;2023 3rd quarter;825.0
4817;Insurance premium tax;2023 4th quarter;811.0
4818;Insurance premium tax;2023;3666.0
4819;Insurance premium tax;2024 1st quarter;1328.0
4820;Insurance premium tax;2024 2nd quarter;857.0
4821;Insurance premium tax;2024 3rd quarter;847.0
4822;Insurance premium tax;2024 4th quarter;900.0
4823;Insurance premium tax;2024;3932.0
4824;Levies on real estate developers;1995;270.0
4825;Levies on real estate developers;1996;267.0
4826;Levies on real estate developers;1997;286.0
4827;Levies on real estate developers;1998;266.0
4828;Levies on real estate developers;1999 1st quarter;
4829;Levies on real estate developers;1999 2nd quarter;
4830;Levies on real estate developers;1999 3rd quarter;
4831;Levies on real estate developers;1999 4th quarter;
4832;Levies on real estate developers;1999;213.0
4833;Levies on real estate developers;2000 1st quarter;
4834;Levies on real estate developers;2000 2nd quarter;
