ID;BestemmingEnVerwerkingZuiveringsslib;RegioS;Perioden;NatSlib_1;DrogeStof_2;AsGloeirest_3;OrganischeFractie_4;StikstofverbindingenAlsN_5;FosforverbindingenAlsP_6;Koper_7;Chroom_8;Zink_9;Lood_10;Cadmium_11;Nikkel_12;Kwik_13;Arseen_14
142;Totaal;Zuid-Nederland (LD);2002;332303;93808;38505;55303;4892;2580;36353;5751;88306;11533;135;3399;92;692
143;Totaal;Zuid-Nederland (LD);2003;287407;88307;34610;53697;3715;2200;35379;5184;81283;11220;109;3235;73;548
144;Totaal;Zuid-Nederland (LD);2004;280556;89411;32144;57267;3909;2237;36150;5630;90693;13225;119;3599;89;622
145;Totaal;Zuid-Nederland (LD);2005;277827;89409;33669;55740;4617;2176;35161;5424;82170;8654;110;2855;81;550
146;Totaal;Zuid-Nederland (LD);2006;279793;90750;30998;59752;4766;2167;37152;4658;87953;11089;165;3234;72;597
147;Totaal;Zuid-Nederland (LD);2007;286407;91084;30997;60087;4460;2135;38419;5184;88856;13157;165;4352;61;612
148;Totaal;Zuid-Nederland (LD);2008;291818;90284;28438;61846;4385;2718;39620;4689;89345;11407;148;3603;70;643
149;Totaal;Zuid-Nederland (LD);2009;295538;88491;29133;59358;4052;2065;36867;4656;84130;10831;149;2827;66;540
150;Totaal;Zuid-Nederland (LD);2010;301141;85882;27723;58159;4721;2726;36567;4321;90664;11730;192;3180;63;446
151;Totaal;Zuid-Nederland (LD);2011;308743;88453;25952;62501;4854;2817;38552;4066;87464;11551;145;3033;58;493
152;Totaal;Zuid-Nederland (LD);2012;324763;86511;26167;60344;4958;2904;37487;4578;97063;11107;137;2820;57;468
153;Totaal;Zuid-Nederland (LD);2013;314033;83490;25752;57738;4654;2819;34415;4479;76239;8343;113;2817;54;529
154;Totaal;Zuid-Nederland (LD);2014;318836;84963;28981;55982;4746;2994;32490;4782;70878;7650;86;2599;55;546
155;Totaal;Zuid-Nederland (LD);2015;337944;88612;27414;61198;4884;2963;35327;6320;79779;7527;98;2820;51;567
156;Totaal;Zuid-Nederland (LD);2016;335952;92246;27804;64442;4901;2860;33041;7648;83159;7925;110;3100;46;631
157;Totaal;Zuid-Nederland (LD);2018;306655;76048;23172;52876;4112;2490;28011;3360;70873;5654;93;2134;37;500
158;Totaal;Zuid-Nederland (LD);2020;258545;71130;23597;47533;4094;2750;29884;3627;80782;5761;102;2380;32;472
159;Totaal;Zuid-Nederland (LD);2022;268659;74417;25090;49327;4088;2899;29156;3821;81501;5877;90;2382;33;511
160;Totaal;Groningen (PV);1981;60695;6068;2721;3347;238;113;3435;430;12106;2940;38;200;37;38
161;Totaal;Groningen (PV);1985;95609;8791;4234;4557;301;151;4111;334;10556;2817;26;181;27;43
162;Totaal;Groningen (PV);1990;128302;9112;3668;5444;440;414;5068;392;10315;2245;28;238;33;202
163;Totaal;Groningen (PV);1991;139337;9996;4056;5940;406;212;5983;625;10646;2433;30;236;30;56
164;Totaal;Groningen (PV);1992;130071;9163;3764;5399;395;203;4980;577;9544;2000;24;216;22;43
165;Totaal;Groningen (PV);1993;56701;9741;4523;5218;534;213;5354;385;11102;2323;31;230;31;34
166;Totaal;Groningen (PV);1994;37125;9912;3826;6086;460;200;4498;344;9937;2018;32;245;19;118
167;Totaal;Groningen (PV);1995;42297;9982;4150;5832;498;221;4809;341;9456;1711;19;186;12;40
168;Totaal;Groningen (PV);1996;45151;11667;4968;6699;627;300;5432;425;8996;1400;19;215;13;74
169;Totaal;Groningen (PV);1997;41541;11341;4808;6533;553;287;5269;372;11105;1368;17;189;12;107
170;Totaal;Groningen (PV);1998;41599;10662;4295;6367;496;270;5268;364;9842;1371;14;221;9;124
171;Totaal;Groningen (PV);1999;41737;12225;5189;7036;591;211;5985;460;11358;1678;18;376;11;129
172;Totaal;Groningen (PV);2000;34458;9940;3834;6106;489;262;4504;338;9567;1273;12;274;8;67
173;Totaal;Groningen (PV);2001;39090;11450;4501;6949;561;248;4961;376;12251;1391;16;222;11;141
174;Totaal;Groningen (PV);2002;56427;13451;5397;8054;445;256;5163;415;13263;1777;23;414;11;100
175;Totaal;Groningen (PV);2003;67242;18437;7184;11253;1094;407;8370;536;16233;2352;26;346;16;164
176;Totaal;Groningen (PV);2004;54593;12611;4733;7878;428;180;5048;380;11418;1523;16;230;9;116
177;Totaal;Groningen (PV);2005;54509;12592;4987;7605;698;252;5113;379;12245;1277;15;221;9;105
178;Totaal;Groningen (PV);2006;57152;13145;4969;8176;456;261;5758;463;12567;1501;20;337;10;109
179;Totaal;Groningen (PV);2007;52438;12183;5190;6993;562;160;5970;545;14010;1706;19;350;11;123
180;Totaal;Groningen (PV);2008;57398;12996;5327;7669;576;395;6323;528;14721;1688;15;355;16;169
181;Totaal;Groningen (PV);2009;60259;13501;5502;7999;610;440;6481;459;14401;1665;17;351;11;119
182;Totaal;Groningen (PV);2010;53013;12490;5038;7452;828;535;5454;353;12032;1233;14;284;11;150
183;Totaal;Groningen (PV);2011;50926;12079;4759;7320;820;396;6595;435;13166;1382;13;287;10;169
184;Totaal;Groningen (PV);2012;117717;11339;4534;6805;574;332;5706;371;12413;1270;10;231;8;95
185;Totaal;Groningen (PV);2013;45815;12041;4575;7466;909;358;6321;385;14449;1324;12;229;8;129
186;Totaal;Groningen (PV);2014;48909;12678;4859;7819;612;401;6288;426;11598;1208;7;346;10;165
187;Totaal;Groningen (PV);2015;47573;11955;4495;7460;572;365;5834;361;15542;1576;9;251;10;127
188;Totaal;Groningen (PV);2016;52985;13299;5001;8298;636;406;6490;402;17289;1753;10;279;11;130
189;Totaal;Groningen (PV);2018;45253;11172;4242;6930;552;274;5034;384;12350;987;10;333;6;109
190;Totaal;Groningen (PV);2020;48346;11574;4583;6991;927;416;5347;405;12500;1030;9;338;5;208
191;Totaal;Groningen (PV);2022;47572;11497;4283;7214;396;445;3967;446;10951;835;12;336;7;107
192;Totaal;Friesland (PV);1981;174186;8975;3526;5449;544;245;6243;1299;13990;3867;54;417;38;77
193;Totaal;Friesland (PV);1985;178660;9946;3835;6111;611;222;3235;735;10753;2476;30;299;20;93
194;Totaal;Friesland (PV);1990;159403;17252;7961;9291;751;344;4479;1124;13354;2534;24;490;25;127
195;Totaal;Friesland (PV);1991;151717;16706;8026;8680;778;288;5016;1249;13674;2378;22;491;18;143
196;Totaal;Friesland (PV);1992;110159;17543;8742;8801;738;310;4251;905;12182;2390;20;404;13;153
197;Totaal;Friesland (PV);1993;53145;19398;9990;9408;1098;315;3298;1096;11542;2716;20;485;20;125
198;Totaal;Friesland (PV);1994;53487;20058;11533;8525;1027;381;4613;883;12937;2908;18;451;25;211
199;Totaal;Friesland (PV);1995;50965;19163;10999;8164;910;465;3842;563;10563;1991;21;312;13;119
200;Totaal;Friesland (PV);1996;55259;19650;11201;8449;941;318;3635;609;11102;2024;24;295;14;126
201;Totaal;Friesland (PV);1997;60506;21153;11793;9360;876;221;4654;672;12903;1925;18;338;13;188
202;Totaal;Friesland (PV);1998;42724;14975;5541;9434;833;191;4224;644;12593;1986;17;294;14;184
203;Totaal;Friesland (PV);1999;58908;19964;11379;8585;1144;177;4492;619;11679;2036;17;339;11;180
204;Totaal;Friesland (PV);2000;57602;14596;5839;8757;445;296;4817;628;11750;1868;15;394;10;117
205;Totaal;Friesland (PV);2001;62410;15565;6712;8853;381;222;4747;821;13970;2296;15;556;10;156
206;Totaal;Friesland (PV);2002;60933;15416;7091;8325;399;239;4748;940;13921;2436;16;586;12;170
207;Totaal;Friesland (PV);2003;62260;14538;6251;8287;433;276;5931;727;11892;1875;11;494;10;105
208;Totaal;Friesland (PV);2004;63597;15136;5449;9687;651;280;5600;681;14198;1862;12;469;11;147
209;Totaal;Friesland (PV);2005;60091;14281;5935;8346;568;258;5760;519;11092;1290;8;386;7;123
210;Totaal;Friesland (PV);2006;59151;14752;5458;9294;361;211;5576;767;13838;1711;13;443;8;159
211;Totaal;Friesland (PV);2007;61356;15118;5122;9996;446;234;5518;703;14854;1780;18;438;7;184
212;Totaal;Friesland (PV);2008;60641;15251;5168;10083;450;236;5567;709;14984;1796;18;442;7;186
213;Totaal;Friesland (PV);2009;61617;14837;5341;9496;338;87;4896;727;12063;1395;12;415;6;93
214;Totaal;Friesland (PV);2010;62980;15833;5700;10133;922;437;5114;686;15163;1498;17;416;8;159
215;Totaal;Friesland (PV);2011;63188;15013;4804;10209;893;465;4549;665;13797;1231;14;369;7;144
216;Totaal;Friesland (PV);2012;62541;14816;4791;10025;922;423;4555;731;12404;1547;14;402;8;184
217;Totaal;Friesland (PV);2013;63781;14338;5348;8990;807;484;4481;735;11972;1574;12;477;8;212
218;Totaal;Friesland (PV);2014;62927;12943;3838;9105;634;253;4368;595;9287;1042;9;356;8;103
219;Totaal;Friesland (PV);2015;69210;16984;5775;11209;845;420;4671;722;11210;1253;12;505;6;186
