ID;CPA2015;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
5720;5222 Diensten ivm met vervoer over water;2014 4e kwartaal;;;
5721;5222 Diensten ivm met vervoer over water;2014;;;
5722;5222 Diensten ivm met vervoer over water;2015 1e kwartaal;;;
5723;5222 Diensten ivm met vervoer over water;2015 2e kwartaal;;;
5724;5222 Diensten ivm met vervoer over water;2015 3e kwartaal;;;
5725;5222 Diensten ivm met vervoer over water;2015 4e kwartaal;;;
5726;5222 Diensten ivm met vervoer over water;2015;;;
5727;5222 Diensten ivm met vervoer over water;2016 1e kwartaal;;;
5728;5222 Diensten ivm met vervoer over water;2016 2e kwartaal;;;
5729;5222 Diensten ivm met vervoer over water;2016 3e kwartaal;;;
5730;5222 Diensten ivm met vervoer over water;2016 4e kwartaal;;;
5731;5222 Diensten ivm met vervoer over water;2016;;;
5732;5222 Diensten ivm met vervoer over water;2017 1e kwartaal;;;
5733;5222 Diensten ivm met vervoer over water;2017 2e kwartaal;;;
5734;5222 Diensten ivm met vervoer over water;2017 3e kwartaal;;;
5735;5222 Diensten ivm met vervoer over water;2017 4e kwartaal;;;
5736;5222 Diensten ivm met vervoer over water;2017;;;
5737;5222 Diensten ivm met vervoer over water;2018 1e kwartaal;;;
5738;5222 Diensten ivm met vervoer over water;2018 2e kwartaal;;;
5739;5222 Diensten ivm met vervoer over water;2018 3e kwartaal;;;
5740;5222 Diensten ivm met vervoer over water;2018 4e kwartaal;;;
5741;5222 Diensten ivm met vervoer over water;2018;;;
5742;5222 Diensten ivm met vervoer over water;2019 1e kwartaal;;;
5743;5222 Diensten ivm met vervoer over water;2019 2e kwartaal;;;
5744;5222 Diensten ivm met vervoer over water;2019 3e kwartaal;;;
5745;5222 Diensten ivm met vervoer over water;2019 4e kwartaal;;;
5746;5222 Diensten ivm met vervoer over water;2019;;;
5747;5222 Diensten ivm met vervoer over water;2020 1e kwartaal;;;
5748;5222 Diensten ivm met vervoer over water;2020 2e kwartaal;;;
5749;5222 Diensten ivm met vervoer over water;2020 3e kwartaal;;;
5750;5222 Diensten ivm met vervoer over water;2020 4e kwartaal;;;
5751;5222 Diensten ivm met vervoer over water;2020;;;
5752;5222 Diensten ivm met vervoer over water;2021 1e kwartaal;100.0;;
5753;5222 Diensten ivm met vervoer over water;2021 2e kwartaal;100.0;0.0;
5754;5222 Diensten ivm met vervoer over water;2021 3e kwartaal;100.0;0.1;
5755;5222 Diensten ivm met vervoer over water;2021 4e kwartaal;100.0;0.0;
5756;5222 Diensten ivm met vervoer over water;2021;100.0;;
5757;5222 Diensten ivm met vervoer over water;2022 1e kwartaal;102.0;1.9;2.0
5758;5222 Diensten ivm met vervoer over water;2022 2e kwartaal;102.0;0.0;2.0
5759;5222 Diensten ivm met vervoer over water;2022 3e kwartaal;102.5;0.5;2.5
5760;5222 Diensten ivm met vervoer over water;2022 4e kwartaal;102.5;0.0;2.5
5761;5222 Diensten ivm met vervoer over water;2022;102.2;;2.2
5762;5222 Diensten ivm met vervoer over water;2023 1e kwartaal;105.5;2.9;3.5
5763;5222 Diensten ivm met vervoer over water;2023 2e kwartaal;105.5;0.0;3.5
5764;5222 Diensten ivm met vervoer over water;2023 3e kwartaal;105.8;0.3;3.2
5765;5222 Diensten ivm met vervoer over water;2023 4e kwartaal;105.8;0.0;3.2
5766;5222 Diensten ivm met vervoer over water;2023;105.7;;3.3
5767;5222 Diensten ivm met vervoer over water;2024 1e kwartaal;110.5;4.4;4.7
5768;5222 Diensten ivm met vervoer over water;2024 2e kwartaal;110.5;0.0;4.7
5769;5222 Diensten ivm met vervoer over water;2024 3e kwartaal;110.7;0.2;4.6
5770;5222 Diensten ivm met vervoer over water;2024 4e kwartaal;110.7;0.0;4.6
5771;5222 Diensten ivm met vervoer over water;2024;110.6;;4.7
5772;5223 Diensten ivm de luchtvaart;2002 4e kwartaal;;;
5773;5223 Diensten ivm de luchtvaart;2003 1e kwartaal;;;
5774;5223 Diensten ivm de luchtvaart;2003 2e kwartaal;;;
5775;5223 Diensten ivm de luchtvaart;2003 3e kwartaal;;;
5776;5223 Diensten ivm de luchtvaart;2003 4e kwartaal;;;
5777;5223 Diensten ivm de luchtvaart;2003;;;
5778;5223 Diensten ivm de luchtvaart;2004 1e kwartaal;;;
5779;5223 Diensten ivm de luchtvaart;2004 2e kwartaal;;;
5780;5223 Diensten ivm de luchtvaart;2004 3e kwartaal;;;
5781;5223 Diensten ivm de luchtvaart;2004 4e kwartaal;;;
5782;5223 Diensten ivm de luchtvaart;2004;;;
5783;5223 Diensten ivm de luchtvaart;2005 1e kwartaal;;;
5784;5223 Diensten ivm de luchtvaart;2005 2e kwartaal;;;
5785;5223 Diensten ivm de luchtvaart;2005 3e kwartaal;;;
5786;5223 Diensten ivm de luchtvaart;2005 4e kwartaal;;;
5787;5223 Diensten ivm de luchtvaart;2005;;;
5788;5223 Diensten ivm de luchtvaart;2006 1e kwartaal;;;
5789;5223 Diensten ivm de luchtvaart;2006 2e kwartaal;;;
5790;5223 Diensten ivm de luchtvaart;2006 3e kwartaal;;;
5791;5223 Diensten ivm de luchtvaart;2006 4e kwartaal;;;
5792;5223 Diensten ivm de luchtvaart;2006;;;
5793;5223 Diensten ivm de luchtvaart;2007 1e kwartaal;;;
5794;5223 Diensten ivm de luchtvaart;2007 2e kwartaal;;;
5795;5223 Diensten ivm de luchtvaart;2007 3e kwartaal;;;
5796;5223 Diensten ivm de luchtvaart;2007 4e kwartaal;;;
5797;5223 Diensten ivm de luchtvaart;2007;;;
5798;5223 Diensten ivm de luchtvaart;2008 1e kwartaal;;;
5799;5223 Diensten ivm de luchtvaart;2008 2e kwartaal;;;
5800;5223 Diensten ivm de luchtvaart;2008 3e kwartaal;;;
5801;5223 Diensten ivm de luchtvaart;2008 4e kwartaal;;;
5802;5223 Diensten ivm de luchtvaart;2008;;;
5803;5223 Diensten ivm de luchtvaart;2009 1e kwartaal;;;
5804;5223 Diensten ivm de luchtvaart;2009 2e kwartaal;;;
5805;5223 Diensten ivm de luchtvaart;2009 3e kwartaal;;;
5806;5223 Diensten ivm de luchtvaart;2009 4e kwartaal;;;
5807;5223 Diensten ivm de luchtvaart;2009;;;
5808;5223 Diensten ivm de luchtvaart;2010 1e kwartaal;;;
5809;5223 Diensten ivm de luchtvaart;2010 2e kwartaal;;;
5810;5223 Diensten ivm de luchtvaart;2010 3e kwartaal;;;
5811;5223 Diensten ivm de luchtvaart;2010 4e kwartaal;;;
5812;5223 Diensten ivm de luchtvaart;2010;;;
5813;5223 Diensten ivm de luchtvaart;2011 1e kwartaal;;;
5814;5223 Diensten ivm de luchtvaart;2011 2e kwartaal;;;
5815;5223 Diensten ivm de luchtvaart;2011 3e kwartaal;;;
5816;5223 Diensten ivm de luchtvaart;2011 4e kwartaal;;;
5817;5223 Diensten ivm de luchtvaart;2011;;;
5818;5223 Diensten ivm de luchtvaart;2012 1e kwartaal;;;
5819;5223 Diensten ivm de luchtvaart;2012 2e kwartaal;;;
5820;5223 Diensten ivm de luchtvaart;2012 3e kwartaal;;;
5821;5223 Diensten ivm de luchtvaart;2012 4e kwartaal;;;
5822;5223 Diensten ivm de luchtvaart;2012;;;
5823;5223 Diensten ivm de luchtvaart;2013 1e kwartaal;;;
5824;5223 Diensten ivm de luchtvaart;2013 2e kwartaal;;;
5825;5223 Diensten ivm de luchtvaart;2013 3e kwartaal;;;
5826;5223 Diensten ivm de luchtvaart;2013 4e kwartaal;;;
5827;5223 Diensten ivm de luchtvaart;2013;;;
5828;5223 Diensten ivm de luchtvaart;2014 1e kwartaal;;;
5829;5223 Diensten ivm de luchtvaart;2014 2e kwartaal;;;
5830;5223 Diensten ivm de luchtvaart;2014 3e kwartaal;;;
5831;5223 Diensten ivm de luchtvaart;2014 4e kwartaal;;;
5832;5223 Diensten ivm de luchtvaart;2014;;;
5833;5223 Diensten ivm de luchtvaart;2015 1e kwartaal;;;
5834;5223 Diensten ivm de luchtvaart;2015 2e kwartaal;;;
5835;5223 Diensten ivm de luchtvaart;2015 3e kwartaal;;;
5836;5223 Diensten ivm de luchtvaart;2015 4e kwartaal;;;
5837;5223 Diensten ivm de luchtvaart;2015;;;
5838;5223 Diensten ivm de luchtvaart;2016 1e kwartaal;;;
5839;5223 Diensten ivm de luchtvaart;2016 2e kwartaal;;;
5840;5223 Diensten ivm de luchtvaart;2016 3e kwartaal;;;
5841;5223 Diensten ivm de luchtvaart;2016 4e kwartaal;;;
5842;5223 Diensten ivm de luchtvaart;2016;;;
5843;5223 Diensten ivm de luchtvaart;2017 1e kwartaal;;;
5844;5223 Diensten ivm de luchtvaart;2017 2e kwartaal;;;
5845;5223 Diensten ivm de luchtvaart;2017 3e kwartaal;;;
5846;5223 Diensten ivm de luchtvaart;2017 4e kwartaal;;;
5847;5223 Diensten ivm de luchtvaart;2017;;;
5848;5223 Diensten ivm de luchtvaart;2018 1e kwartaal;;;
5849;5223 Diensten ivm de luchtvaart;2018 2e kwartaal;;;
5850;5223 Diensten ivm de luchtvaart;2018 3e kwartaal;;;
5851;5223 Diensten ivm de luchtvaart;2018 4e kwartaal;;;
5852;5223 Diensten ivm de luchtvaart;2018;;;
5853;5223 Diensten ivm de luchtvaart;2019 1e kwartaal;;;
5854;5223 Diensten ivm de luchtvaart;2019 2e kwartaal;;;
5855;5223 Diensten ivm de luchtvaart;2019 3e kwartaal;;;
5856;5223 Diensten ivm de luchtvaart;2019 4e kwartaal;;;
5857;5223 Diensten ivm de luchtvaart;2019;;;
5858;5223 Diensten ivm de luchtvaart;2020 1e kwartaal;;;
5859;5223 Diensten ivm de luchtvaart;2020 2e kwartaal;;;
5860;5223 Diensten ivm de luchtvaart;2020 3e kwartaal;;;
5861;5223 Diensten ivm de luchtvaart;2020 4e kwartaal;;;
5862;5223 Diensten ivm de luchtvaart;2020;;;
