ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingISHMT;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
96;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1981;;;;;391.0;0.3;5766.0;4.0;14.6
97;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1982;;;;;351.0;0.2;3961.0;2.7;11.3
98;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1983;;;;;352.0;0.2;3961.0;2.7;11.3
99;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1984;;;;;292.0;0.2;3145.0;2.2;10.8
100;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1985;;;;;460.0;0.3;5075.0;3.5;11.0
101;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1986;;;;;381.0;0.3;4061.0;2.7;10.6
102;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1987;;;;;350.0;0.2;3396.0;2.2;9.6
103;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1988;;;;;287.0;0.2;2883.0;2.0;10.0
104;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1989;;;;;335.0;0.2;2926.0;2.0;8.6
105;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1990;;;;;303.0;0.2;2515.0;1.7;8.3
106;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1991;;;;;350.0;0.2;2514.0;1.7;7.1
107;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1992;;;;;333.0;0.2;2479.0;1.6;7.4
108;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1993;375.0;0.2;;;374.0;0.2;2733.0;1.7;7.3
109;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1994;303.0;0.2;;;300.0;0.2;2547.0;1.7;8.5
110;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1995;344.0;0.2;;;344.0;0.2;2525.0;1.6;7.3
111;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1996;363.0;0.2;;;359.0;0.2;2793.0;1.7;7.8
112;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1997;337.0;0.2;;;333.0;0.2;2447.0;1.6;7.3
113;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1998;272.0;0.2;;;271.0;0.2;1958.0;1.2;7.1
114;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;1999;332.0;0.2;5.0;0.0;327.0;0.2;2428.0;1.5;7.4
115;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2000;287.0;0.2;7.0;0.0;280.0;0.2;1749.0;1.1;6.1
116;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2001;318.0;0.2;9.0;0.0;309.0;0.2;1920.0;1.2;6.1
117;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2002;302.0;0.2;6.0;0.0;296.0;0.2;1911.0;1.2;6.5
118;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2003;437.0;0.3;39.0;0.0;398.0;0.2;2135.0;1.2;5.4
