ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
4395;SA Manufacturing services;Egypt;2018 1st quarter;0.0;0.0;0.0
4396;SA Manufacturing services;Egypt;2018 2nd quarter;0.0;0.0;0.0
4397;SA Manufacturing services;Egypt;2018 3rd quarter;0.0;0.0;0.0
4398;SA Manufacturing services;Egypt;2018 4th quarter;0.0;0.0;0.0
4399;SA Manufacturing services;Egypt;2018;0.0;0.0;0.0
4400;SA Manufacturing services;Egypt;2019 1st quarter;0.0;0.0;0.0
4401;SA Manufacturing services;Egypt;2019 2nd quarter;0.0;0.0;0.0
4402;SA Manufacturing services;Egypt;2019 3rd quarter;0.0;0.0;0.0
4403;SA Manufacturing services;Egypt;2019 4th quarter;0.0;0.0;0.0
4404;SA Manufacturing services;Egypt;2019;0.0;0.0;0.0
4405;SA Manufacturing services;Egypt;2020 1st quarter;0.0;0.0;0.0
4406;SA Manufacturing services;Egypt;2020 2nd quarter;0.0;0.0;0.0
4407;SA Manufacturing services;Egypt;2020 3rd quarter;0.0;0.0;0.0
4408;SA Manufacturing services;Egypt;2020 4th quarter;0.0;0.0;0.0
4409;SA Manufacturing services;Egypt;2020;0.0;0.0;0.0
4410;SA Manufacturing services;Estonia;2014 1st quarter;0.0;0.0;0.0
4411;SA Manufacturing services;Estonia;2014 2nd quarter;0.0;0.0;0.0
4412;SA Manufacturing services;Estonia;2014 3rd quarter;0.0;0.0;0.0
4413;SA Manufacturing services;Estonia;2014 4th quarter;0.0;0.0;0.0
4414;SA Manufacturing services;Estonia;2014;0.0;1.0;1.0
4415;SA Manufacturing services;Estonia;2015 1st quarter;0.0;0.0;0.0
4416;SA Manufacturing services;Estonia;2015 2nd quarter;0.0;0.0;0.0
4417;SA Manufacturing services;Estonia;2015 3rd quarter;0.0;0.0;0.0
4418;SA Manufacturing services;Estonia;2015 4th quarter;0.0;0.0;0.0
4419;SA Manufacturing services;Estonia;2015;1.0;1.0;0.0
4420;SA Manufacturing services;Estonia;2016 1st quarter;0.0;0.0;0.0
4421;SA Manufacturing services;Estonia;2016 2nd quarter;0.0;0.0;0.0
4422;SA Manufacturing services;Estonia;2016 3rd quarter;0.0;0.0;0.0
4423;SA Manufacturing services;Estonia;2016 4th quarter;0.0;0.0;0.0
4424;SA Manufacturing services;Estonia;2016;1.0;1.0;0.0
4425;SA Manufacturing services;Estonia;2017 1st quarter;0.0;0.0;0.0
4426;SA Manufacturing services;Estonia;2017 2nd quarter;0.0;0.0;0.0
4427;SA Manufacturing services;Estonia;2017 3rd quarter;0.0;0.0;0.0
4428;SA Manufacturing services;Estonia;2017 4th quarter;0.0;0.0;0.0
4429;SA Manufacturing services;Estonia;2017;0.0;0.0;0.0
4430;SA Manufacturing services;Estonia;2018 1st quarter;2.0;0.0;-2.0
4431;SA Manufacturing services;Estonia;2018 2nd quarter;1.0;0.0;-1.0
4432;SA Manufacturing services;Estonia;2018 3rd quarter;1.0;0.0;-1.0
4433;SA Manufacturing services;Estonia;2018 4th quarter;1.0;0.0;-1.0
4434;SA Manufacturing services;Estonia;2018;6.0;0.0;-5.0
4435;SA Manufacturing services;Estonia;2019 1st quarter;1.0;0.0;-1.0
4436;SA Manufacturing services;Estonia;2019 2nd quarter;1.0;0.0;-1.0
4437;SA Manufacturing services;Estonia;2019 3rd quarter;;;-1.0
4438;SA Manufacturing services;Estonia;2019 4th quarter;;;-1.0
4439;SA Manufacturing services;Estonia;2019;;;-4.0
4440;SA Manufacturing services;Estonia;2020 1st quarter;1.0;0.0;-1.0
4441;SA Manufacturing services;Estonia;2020 2nd quarter;1.0;0.0;-1.0
4442;SA Manufacturing services;Estonia;2020 3rd quarter;;;-1.0
4443;SA Manufacturing services;Estonia;2020 4th quarter;;;-1.0
4444;SA Manufacturing services;Estonia;2020;;;-3.0
4445;SA Manufacturing services;European Union Institutions (excl. ECB);2014 1st quarter;0.0;0.0;0.0
4446;SA Manufacturing services;European Union Institutions (excl. ECB);2014 2nd quarter;0.0;0.0;0.0
4447;SA Manufacturing services;European Union Institutions (excl. ECB);2014 3rd quarter;0.0;0.0;0.0
4448;SA Manufacturing services;European Union Institutions (excl. ECB);2014 4th quarter;0.0;0.0;0.0
4449;SA Manufacturing services;European Union Institutions (excl. ECB);2014;0.0;0.0;0.0
4450;SA Manufacturing services;European Union Institutions (excl. ECB);2015 1st quarter;0.0;0.0;0.0
4451;SA Manufacturing services;European Union Institutions (excl. ECB);2015 2nd quarter;0.0;0.0;0.0
4452;SA Manufacturing services;European Union Institutions (excl. ECB);2015 3rd quarter;0.0;0.0;0.0
4453;SA Manufacturing services;European Union Institutions (excl. ECB);2015 4th quarter;0.0;0.0;0.0
4454;SA Manufacturing services;European Union Institutions (excl. ECB);2015;0.0;0.0;0.0
4455;SA Manufacturing services;European Union Institutions (excl. ECB);2016 1st quarter;0.0;0.0;0.0
4456;SA Manufacturing services;European Union Institutions (excl. ECB);2016 2nd quarter;0.0;0.0;0.0
4457;SA Manufacturing services;European Union Institutions (excl. ECB);2016 3rd quarter;0.0;0.0;0.0
4458;SA Manufacturing services;European Union Institutions (excl. ECB);2016 4th quarter;0.0;0.0;0.0
4459;SA Manufacturing services;European Union Institutions (excl. ECB);2016;0.0;0.0;0.0
4460;SA Manufacturing services;European Union Institutions (excl. ECB);2017 1st quarter;0.0;0.0;0.0
4461;SA Manufacturing services;European Union Institutions (excl. ECB);2017 2nd quarter;0.0;0.0;0.0
4462;SA Manufacturing services;European Union Institutions (excl. ECB);2017 3rd quarter;0.0;0.0;0.0
4463;SA Manufacturing services;European Union Institutions (excl. ECB);2017 4th quarter;0.0;0.0;0.0
4464;SA Manufacturing services;European Union Institutions (excl. ECB);2017;0.0;0.0;0.0
4465;SA Manufacturing services;European Union Institutions (excl. ECB);2018 1st quarter;0.0;0.0;0.0
4466;SA Manufacturing services;European Union Institutions (excl. ECB);2018 2nd quarter;0.0;0.0;0.0
4467;SA Manufacturing services;European Union Institutions (excl. ECB);2018 3rd quarter;0.0;0.0;0.0
4468;SA Manufacturing services;European Union Institutions (excl. ECB);2018 4th quarter;0.0;0.0;0.0
4469;SA Manufacturing services;European Union Institutions (excl. ECB);2018;0.0;0.0;0.0
4470;SA Manufacturing services;European Union Institutions (excl. ECB);2019 1st quarter;0.0;0.0;0.0
4471;SA Manufacturing services;European Union Institutions (excl. ECB);2019 2nd quarter;0.0;0.0;0.0
4472;SA Manufacturing services;European Union Institutions (excl. ECB);2019 3rd quarter;0.0;0.0;0.0
4473;SA Manufacturing services;European Union Institutions (excl. ECB);2019 4th quarter;0.0;0.0;0.0
4474;SA Manufacturing services;European Union Institutions (excl. ECB);2019;0.0;0.0;0.0
4475;SA Manufacturing services;European Union Institutions (excl. ECB);2020 1st quarter;0.0;0.0;0.0
4476;SA Manufacturing services;European Union Institutions (excl. ECB);2020 2nd quarter;0.0;0.0;0.0
4477;SA Manufacturing services;European Union Institutions (excl. ECB);2020 3rd quarter;0.0;0.0;0.0
4478;SA Manufacturing services;European Union Institutions (excl. ECB);2020 4th quarter;0.0;0.0;0.0
4479;SA Manufacturing services;European Union Institutions (excl. ECB);2020;0.0;0.0;0.0
4480;SA Manufacturing services;European Union (excl. the Netherlands);2014 1st quarter;581.0;685.0;104.0
4481;SA Manufacturing services;European Union (excl. the Netherlands);2014 2nd quarter;586.0;681.0;95.0
4482;SA Manufacturing services;European Union (excl. the Netherlands);2014 3rd quarter;601.0;697.0;95.0
4483;SA Manufacturing services;European Union (excl. the Netherlands);2014 4th quarter;596.0;784.0;188.0
4484;SA Manufacturing services;European Union (excl. the Netherlands);2014;2364.0;2846.0;482.0
4485;SA Manufacturing services;European Union (excl. the Netherlands);2015 1st quarter;701.0;787.0;86.0
4486;SA Manufacturing services;European Union (excl. the Netherlands);2015 2nd quarter;690.0;794.0;103.0
4487;SA Manufacturing services;European Union (excl. the Netherlands);2015 3rd quarter;723.0;824.0;100.0
4488;SA Manufacturing services;European Union (excl. the Netherlands);2015 4th quarter;799.0;915.0;116.0
4489;SA Manufacturing services;European Union (excl. the Netherlands);2015;2913.0;3319.0;406.0
4490;SA Manufacturing services;European Union (excl. the Netherlands);2016 1st quarter;761.0;770.0;9.0
4491;SA Manufacturing services;European Union (excl. the Netherlands);2016 2nd quarter;805.0;840.0;35.0
4492;SA Manufacturing services;European Union (excl. the Netherlands);2016 3rd quarter;805.0;748.0;-57.0
4493;SA Manufacturing services;European Union (excl. the Netherlands);2016 4th quarter;875.0;870.0;-5.0
4494;SA Manufacturing services;European Union (excl. the Netherlands);2016;3246.0;3228.0;-18.0
4495;SA Manufacturing services;European Union (excl. the Netherlands);2017 1st quarter;1069.0;979.0;-90.0
4496;SA Manufacturing services;European Union (excl. the Netherlands);2017 2nd quarter;1243.0;934.0;-308.0
4497;SA Manufacturing services;European Union (excl. the Netherlands);2017 3rd quarter;1084.0;916.0;-168.0
4498;SA Manufacturing services;European Union (excl. the Netherlands);2017 4th quarter;1259.0;1041.0;-219.0
4499;SA Manufacturing services;European Union (excl. the Netherlands);2017;4655.0;3870.0;-785.0
4500;SA Manufacturing services;European Union (excl. the Netherlands);2018 1st quarter;1322.0;984.0;-338.0
4501;SA Manufacturing services;European Union (excl. the Netherlands);2018 2nd quarter;1436.0;1034.0;-402.0
4502;SA Manufacturing services;European Union (excl. the Netherlands);2018 3rd quarter;;;-217.0
4503;SA Manufacturing services;European Union (excl. the Netherlands);2018 4th quarter;;;-329.0
4504;SA Manufacturing services;European Union (excl. the Netherlands);2018;5556.0;4270.0;-1285.0
4505;SA Manufacturing services;European Union (excl. the Netherlands);2019 1st quarter;1492.0;1211.0;-281.0
4506;SA Manufacturing services;European Union (excl. the Netherlands);2019 2nd quarter;;;-349.0
4507;SA Manufacturing services;European Union (excl. the Netherlands);2019 3rd quarter;;;-370.0
4508;SA Manufacturing services;European Union (excl. the Netherlands);2019 4th quarter;;;-283.0
4509;SA Manufacturing services;European Union (excl. the Netherlands);2019;6103.0;4821.0;-1283.0
4510;SA Manufacturing services;European Union (excl. the Netherlands);2020 1st quarter;1223.0;955.0;-268.0
4511;SA Manufacturing services;European Union (excl. the Netherlands);2020 2nd quarter;;;-140.0
4512;SA Manufacturing services;European Union (excl. the Netherlands);2020 3rd quarter;;;-317.0
4513;SA Manufacturing services;European Union (excl. the Netherlands);2020 4th quarter;;;-156.0
4514;SA Manufacturing services;European Union (excl. the Netherlands);2020;4834.0;3953.0;-881.0
4515;SA Manufacturing services;Eurozone;2014 1st quarter;388.0;496.0;108.0
4516;SA Manufacturing services;Eurozone;2014 2nd quarter;385.0;476.0;91.0
4517;SA Manufacturing services;Eurozone;2014 3rd quarter;383.0;497.0;114.0
4518;SA Manufacturing services;Eurozone;2014 4th quarter;396.0;571.0;175.0
4519;SA Manufacturing services;Eurozone;2014;1551.0;2039.0;488.0
4520;SA Manufacturing services;Eurozone;2015 1st quarter;463.0;601.0;139.0
4521;SA Manufacturing services;Eurozone;2015 2nd quarter;457.0;593.0;136.0
4522;SA Manufacturing services;Eurozone;2015 3rd quarter;461.0;624.0;163.0
4523;SA Manufacturing services;Eurozone;2015 4th quarter;512.0;682.0;170.0
4524;SA Manufacturing services;Eurozone;2015;1893.0;2501.0;608.0
4525;SA Manufacturing services;Eurozone;2016 1st quarter;490.0;571.0;81.0
4526;SA Manufacturing services;Eurozone;2016 2nd quarter;522.0;622.0;99.0
4527;SA Manufacturing services;Eurozone;2016 3rd quarter;530.0;561.0;31.0
4528;SA Manufacturing services;Eurozone;2016 4th quarter;611.0;651.0;41.0
4529;SA Manufacturing services;Eurozone;2016;2153.0;2406.0;253.0
4530;SA Manufacturing services;Eurozone;2017 1st quarter;724.0;753.0;29.0
4531;SA Manufacturing services;Eurozone;2017 2nd quarter;911.0;708.0;-203.0
4532;SA Manufacturing services;Eurozone;2017 3rd quarter;768.0;716.0;-51.0
4533;SA Manufacturing services;Eurozone;2017 4th quarter;897.0;754.0;-143.0
4534;SA Manufacturing services;Eurozone;2017;3300.0;2931.0;-369.0
4535;SA Manufacturing services;Eurozone;2018 1st quarter;804.0;746.0;-57.0
4536;SA Manufacturing services;Eurozone;2018 2nd quarter;886.0;784.0;-103.0
4537;SA Manufacturing services;Eurozone;2018 3rd quarter;828.0;841.0;13.0
4538;SA Manufacturing services;Eurozone;2018 4th quarter;949.0;859.0;-91.0
4539;SA Manufacturing services;Eurozone;2018;3468.0;3229.0;-238.0
4540;SA Manufacturing services;Eurozone;2019 1st quarter;937.0;933.0;-4.0
4541;SA Manufacturing services;Eurozone;2019 2nd quarter;1010.0;945.0;-64.0
4542;SA Manufacturing services;Eurozone;2019 3rd quarter;;;-109.0
4543;SA Manufacturing services;Eurozone;2019 4th quarter;;;-12.0
4544;SA Manufacturing services;Eurozone;2019;3935.0;3745.0;-190.0
4545;SA Manufacturing services;Eurozone;2020 1st quarter;988.0;849.0;-139.0
4546;SA Manufacturing services;Eurozone;2020 2nd quarter;938.0;908.0;-30.0
4547;SA Manufacturing services;Eurozone;2020 3rd quarter;;;-174.0
4548;SA Manufacturing services;Eurozone;2020 4th quarter;;;-12.0
4549;SA Manufacturing services;Eurozone;2020;3874.0;3519.0;-355.0
4550;SA Manufacturing services;Finland;2014 1st quarter;9.0;33.0;23.0
4551;SA Manufacturing services;Finland;2014 2nd quarter;10.0;34.0;24.0
4552;SA Manufacturing services;Finland;2014 3rd quarter;12.0;35.0;23.0
4553;SA Manufacturing services;Finland;2014 4th quarter;9.0;33.0;24.0
4554;SA Manufacturing services;Finland;2014;41.0;135.0;94.0
4555;SA Manufacturing services;Finland;2015 1st quarter;9.0;68.0;59.0
4556;SA Manufacturing services;Finland;2015 2nd quarter;12.0;66.0;54.0
4557;SA Manufacturing services;Finland;2015 3rd quarter;11.0;63.0;52.0
4558;SA Manufacturing services;Finland;2015 4th quarter;9.0;72.0;63.0
4559;SA Manufacturing services;Finland;2015;42.0;269.0;228.0
4560;SA Manufacturing services;Finland;2016 1st quarter;9.0;61.0;51.0
4561;SA Manufacturing services;Finland;2016 2nd quarter;9.0;59.0;51.0
4562;SA Manufacturing services;Finland;2016 3rd quarter;12.0;63.0;51.0
4563;SA Manufacturing services;Finland;2016 4th quarter;12.0;75.0;63.0
4564;SA Manufacturing services;Finland;2016;43.0;258.0;216.0
4565;SA Manufacturing services;Finland;2017 1st quarter;9.0;31.0;21.0
4566;SA Manufacturing services;Finland;2017 2nd quarter;15.0;29.0;13.0
4567;SA Manufacturing services;Finland;2017 3rd quarter;10.0;30.0;20.0
4568;SA Manufacturing services;Finland;2017 4th quarter;12.0;33.0;21.0
4569;SA Manufacturing services;Finland;2017;47.0;123.0;76.0
4570;SA Manufacturing services;Finland;2018 1st quarter;9.0;99.0;90.0
4571;SA Manufacturing services;Finland;2018 2nd quarter;12.0;88.0;76.0
4572;SA Manufacturing services;Finland;2018 3rd quarter;11.0;124.0;112.0
4573;SA Manufacturing services;Finland;2018 4th quarter;13.0;125.0;112.0
4574;SA Manufacturing services;Finland;2018;45.0;435.0;390.0
4575;SA Manufacturing services;Finland;2019 1st quarter;12.0;175.0;163.0
4576;SA Manufacturing services;Finland;2019 2nd quarter;11.0;175.0;164.0
4577;SA Manufacturing services;Finland;2019 3rd quarter;11.0;163.0;152.0
4578;SA Manufacturing services;Finland;2019 4th quarter;;;182.0
4579;SA Manufacturing services;Finland;2019;;;661.0
4580;SA Manufacturing services;Finland;2020 1st quarter;13.0;165.0;151.0
4581;SA Manufacturing services;Finland;2020 2nd quarter;9.0;160.0;151.0
4582;SA Manufacturing services;Finland;2020 3rd quarter;13.0;154.0;141.0
4583;SA Manufacturing services;Finland;2020 4th quarter;;;171.0
4584;SA Manufacturing services;Finland;2020;;;615.0
4585;SA Manufacturing services;France;2014 1st quarter;87.0;122.0;34.0
4586;SA Manufacturing services;France;2014 2nd quarter;94.0;100.0;6.0
4587;SA Manufacturing services;France;2014 3rd quarter;85.0;111.0;26.0
4588;SA Manufacturing services;France;2014 4th quarter;91.0;164.0;73.0
4589;SA Manufacturing services;France;2014;358.0;497.0;139.0
4590;SA Manufacturing services;France;2015 1st quarter;91.0;123.0;32.0
4591;SA Manufacturing services;France;2015 2nd quarter;91.0;103.0;12.0
4592;SA Manufacturing services;France;2015 3rd quarter;85.0;112.0;27.0
4593;SA Manufacturing services;France;2015 4th quarter;108.0;146.0;38.0
4594;SA Manufacturing services;France;2015;374.0;484.0;110.0
4595;SA Manufacturing services;France;2016 1st quarter;101.0;106.0;5.0
4596;SA Manufacturing services;France;2016 2nd quarter;108.0;114.0;6.0
4597;SA Manufacturing services;France;2016 3rd quarter;102.0;114.0;12.0
4598;SA Manufacturing services;France;2016 4th quarter;113.0;139.0;26.0
4599;SA Manufacturing services;France;2016;424.0;473.0;49.0
4600;SA Manufacturing services;France;2017 1st quarter;272.0;121.0;-150.0
4601;SA Manufacturing services;France;2017 2nd quarter;331.0;112.0;-220.0
4602;SA Manufacturing services;France;2017 3rd quarter;260.0;108.0;-152.0
4603;SA Manufacturing services;France;2017 4th quarter;315.0;126.0;-189.0
4604;SA Manufacturing services;France;2017;1178.0;466.0;-712.0
4605;SA Manufacturing services;France;2018 1st quarter;223.0;136.0;-87.0
4606;SA Manufacturing services;France;2018 2nd quarter;231.0;132.0;-98.0
4607;SA Manufacturing services;France;2018 3rd quarter;227.0;125.0;-102.0
4608;SA Manufacturing services;France;2018 4th quarter;225.0;141.0;-84.0
4609;SA Manufacturing services;France;2018;906.0;534.0;-372.0
4610;SA Manufacturing services;France;2019 1st quarter;232.0;145.0;-87.0
4611;SA Manufacturing services;France;2019 2nd quarter;280.0;136.0;-144.0
4612;SA Manufacturing services;France;2019 3rd quarter;246.0;132.0;-114.0
4613;SA Manufacturing services;France;2019 4th quarter;261.0;134.0;-127.0
4614;SA Manufacturing services;France;2019;1019.0;547.0;-472.0
4615;SA Manufacturing services;France;2020 1st quarter;298.0;121.0;-177.0
4616;SA Manufacturing services;France;2020 2nd quarter;277.0;150.0;-127.0
4617;SA Manufacturing services;France;2020 3rd quarter;278.0;112.0;-167.0
4618;SA Manufacturing services;France;2020 4th quarter;267.0;152.0;-115.0
4619;SA Manufacturing services;France;2020;1120.0;535.0;-585.0
4620;SA Manufacturing services;Germany;2014 1st quarter;118.0;134.0;16.0
4621;SA Manufacturing services;Germany;2014 2nd quarter;;;14.0
4622;SA Manufacturing services;Germany;2014 3rd quarter;121.0;133.0;13.0
4623;SA Manufacturing services;Germany;2014 4th quarter;;;29.0
4624;SA Manufacturing services;Germany;2014;483.0;555.0;73.0
4625;SA Manufacturing services;Germany;2015 1st quarter;142.0;150.0;8.0
4626;SA Manufacturing services;Germany;2015 2nd quarter;137.0;167.0;30.0
4627;SA Manufacturing services;Germany;2015 3rd quarter;156.0;185.0;29.0
4628;SA Manufacturing services;Germany;2015 4th quarter;185.0;168.0;-17.0
4629;SA Manufacturing services;Germany;2015;620.0;670.0;50.0
4630;SA Manufacturing services;Germany;2016 1st quarter;149.0;168.0;20.0
4631;SA Manufacturing services;Germany;2016 2nd quarter;161.0;186.0;25.0
4632;SA Manufacturing services;Germany;2016 3rd quarter;167.0;155.0;-12.0
4633;SA Manufacturing services;Germany;2016 4th quarter;175.0;174.0;-1.0
4634;SA Manufacturing services;Germany;2016;651.0;683.0;33.0
4635;SA Manufacturing services;Germany;2017 1st quarter;160.0;176.0;16.0
4636;SA Manufacturing services;Germany;2017 2nd quarter;183.0;167.0;-16.0
4637;SA Manufacturing services;Germany;2017 3rd quarter;193.0;171.0;-22.0
4638;SA Manufacturing services;Germany;2017 4th quarter;223.0;193.0;-30.0
4639;SA Manufacturing services;Germany;2017;758.0;706.0;-52.0
4640;SA Manufacturing services;Germany;2018 1st quarter;249.0;191.0;-58.0
4641;SA Manufacturing services;Germany;2018 2nd quarter;232.0;208.0;-24.0
4642;SA Manufacturing services;Germany;2018 3rd quarter;229.0;227.0;-2.0
4643;SA Manufacturing services;Germany;2018 4th quarter;280.0;197.0;-83.0
4644;SA Manufacturing services;Germany;2018;990.0;824.0;-166.0
4645;SA Manufacturing services;Germany;2019 1st quarter;341.0;249.0;-92.0
4646;SA Manufacturing services;Germany;2019 2nd quarter;343.0;246.0;-97.0
4647;SA Manufacturing services;Germany;2019 3rd quarter;371.0;235.0;-136.0
4648;SA Manufacturing services;Germany;2019 4th quarter;302.0;241.0;-61.0
4649;SA Manufacturing services;Germany;2019;1356.0;970.0;-387.0
4650;SA Manufacturing services;Germany;2020 1st quarter;313.0;227.0;-86.0
4651;SA Manufacturing services;Germany;2020 2nd quarter;302.0;227.0;-75.0
4652;SA Manufacturing services;Germany;2020 3rd quarter;331.0;214.0;-118.0
4653;SA Manufacturing services;Germany;2020 4th quarter;257.0;227.0;-30.0
4654;SA Manufacturing services;Germany;2020;1204.0;894.0;-310.0
4655;SA Manufacturing services;Greece;2014 1st quarter;3.0;1.0;-2.0
4656;SA Manufacturing services;Greece;2014 2nd quarter;3.0;1.0;-2.0
4657;SA Manufacturing services;Greece;2014 3rd quarter;3.0;1.0;-3.0
4658;SA Manufacturing services;Greece;2014 4th quarter;5.0;1.0;-5.0
4659;SA Manufacturing services;Greece;2014;15.0;3.0;-12.0
4660;SA Manufacturing services;Greece;2015 1st quarter;4.0;1.0;-3.0
4661;SA Manufacturing services;Greece;2015 2nd quarter;5.0;1.0;-4.0
4662;SA Manufacturing services;Greece;2015 3rd quarter;5.0;1.0;-4.0
4663;SA Manufacturing services;Greece;2015 4th quarter;7.0;1.0;-6.0
4664;SA Manufacturing services;Greece;2015;21.0;4.0;-17.0
4665;SA Manufacturing services;Greece;2016 1st quarter;6.0;1.0;-5.0
4666;SA Manufacturing services;Greece;2016 2nd quarter;6.0;1.0;-5.0
4667;SA Manufacturing services;Greece;2016 3rd quarter;7.0;1.0;-7.0
4668;SA Manufacturing services;Greece;2016 4th quarter;8.0;4.0;-4.0
4669;SA Manufacturing services;Greece;2016;27.0;6.0;-21.0
4670;SA Manufacturing services;Greece;2017 1st quarter;4.0;0.0;-4.0
4671;SA Manufacturing services;Greece;2017 2nd quarter;4.0;0.0;-4.0
4672;SA Manufacturing services;Greece;2017 3rd quarter;7.0;0.0;-7.0
4673;SA Manufacturing services;Greece;2017 4th quarter;5.0;0.0;-5.0
4674;SA Manufacturing services;Greece;2017;20.0;1.0;-19.0
4675;SA Manufacturing services;Greece;2018 1st quarter;4.0;0.0;-4.0
4676;SA Manufacturing services;Greece;2018 2nd quarter;3.0;0.0;-3.0
4677;SA Manufacturing services;Greece;2018 3rd quarter;5.0;0.0;-5.0
4678;SA Manufacturing services;Greece;2018 4th quarter;;;-7.0
4679;SA Manufacturing services;Greece;2018;;;-19.0
4680;SA Manufacturing services;Greece;2019 1st quarter;6.0;0.0;-6.0
4681;SA Manufacturing services;Greece;2019 2nd quarter;4.0;0.0;-4.0
4682;SA Manufacturing services;Greece;2019 3rd quarter;7.0;0.0;-7.0
4683;SA Manufacturing services;Greece;2019 4th quarter;8.0;0.0;-7.0
4684;SA Manufacturing services;Greece;2019;24.0;1.0;-24.0
4685;SA Manufacturing services;Greece;2020 1st quarter;5.0;0.0;-5.0
4686;SA Manufacturing services;Greece;2020 2nd quarter;3.0;0.0;-3.0
4687;SA Manufacturing services;Greece;2020 3rd quarter;5.0;0.0;-5.0
4688;SA Manufacturing services;Greece;2020 4th quarter;5.0;0.0;-5.0
4689;SA Manufacturing services;Greece;2020;19.0;0.0;-18.0
4690;SA Manufacturing services;Hungary;2014 1st quarter;9.0;2.0;-7.0
4691;SA Manufacturing services;Hungary;2014 2nd quarter;6.0;2.0;-4.0
4692;SA Manufacturing services;Hungary;2014 3rd quarter;11.0;3.0;-9.0
4693;SA Manufacturing services;Hungary;2014 4th quarter;8.0;3.0;-5.0
4694;SA Manufacturing services;Hungary;2014;34.0;9.0;-25.0
4695;SA Manufacturing services;Hungary;2015 1st quarter;11.0;2.0;-9.0
4696;SA Manufacturing services;Hungary;2015 2nd quarter;9.0;2.0;-7.0
4697;SA Manufacturing services;Hungary;2015 3rd quarter;9.0;2.0;-7.0
4698;SA Manufacturing services;Hungary;2015 4th quarter;8.0;2.0;-6.0
4699;SA Manufacturing services;Hungary;2015;36.0;7.0;-29.0
4700;SA Manufacturing services;Hungary;2016 1st quarter;11.0;3.0;-8.0
4701;SA Manufacturing services;Hungary;2016 2nd quarter;9.0;3.0;-7.0
4702;SA Manufacturing services;Hungary;2016 3rd quarter;10.0;3.0;-8.0
4703;SA Manufacturing services;Hungary;2016 4th quarter;9.0;4.0;-6.0
4704;SA Manufacturing services;Hungary;2016;40.0;11.0;-29.0
4705;SA Manufacturing services;Hungary;2017 1st quarter;17.0;2.0;-15.0
4706;SA Manufacturing services;Hungary;2017 2nd quarter;15.0;3.0;-12.0
4707;SA Manufacturing services;Hungary;2017 3rd quarter;15.0;3.0;-12.0
4708;SA Manufacturing services;Hungary;2017 4th quarter;19.0;4.0;-15.0
4709;SA Manufacturing services;Hungary;2017;65.0;12.0;-53.0
4710;SA Manufacturing services;Hungary;2018 1st quarter;15.0;3.0;-12.0
4711;SA Manufacturing services;Hungary;2018 2nd quarter;12.0;3.0;-9.0
4712;SA Manufacturing services;Hungary;2018 3rd quarter;16.0;4.0;-12.0
4713;SA Manufacturing services;Hungary;2018 4th quarter;17.0;4.0;-13.0
4714;SA Manufacturing services;Hungary;2018;60.0;14.0;-46.0
4715;SA Manufacturing services;Hungary;2019 1st quarter;23.0;2.0;-22.0
4716;SA Manufacturing services;Hungary;2019 2nd quarter;;;-19.0
4717;SA Manufacturing services;Hungary;2019 3rd quarter;20.0;2.0;-19.0
4718;SA Manufacturing services;Hungary;2019 4th quarter;;;-19.0
4719;SA Manufacturing services;Hungary;2019;85.0;7.0;-78.0
4720;SA Manufacturing services;Hungary;2020 1st quarter;26.0;2.0;-25.0
4721;SA Manufacturing services;Hungary;2020 2nd quarter;;;-25.0
4722;SA Manufacturing services;Hungary;2020 3rd quarter;28.0;1.0;-27.0
4723;SA Manufacturing services;Hungary;2020 4th quarter;;;-29.0
4724;SA Manufacturing services;Hungary;2020;112.0;7.0;-105.0
4725;SA Manufacturing services;Hong Kong;2014 1st quarter;0.0;0.0;0.0
4726;SA Manufacturing services;Hong Kong;2014 2nd quarter;;;0.0
4727;SA Manufacturing services;Hong Kong;2014 3rd quarter;0.0;0.0;0.0
4728;SA Manufacturing services;Hong Kong;2014 4th quarter;0.0;0.0;0.0
4729;SA Manufacturing services;Hong Kong;2014;;;0.0
4730;SA Manufacturing services;Hong Kong;2015 1st quarter;0.0;0.0;0.0
4731;SA Manufacturing services;Hong Kong;2015 2nd quarter;0.0;0.0;0.0
4732;SA Manufacturing services;Hong Kong;2015 3rd quarter;0.0;0.0;0.0
4733;SA Manufacturing services;Hong Kong;2015 4th quarter;0.0;0.0;0.0
4734;SA Manufacturing services;Hong Kong;2015;0.0;0.0;0.0
4735;SA Manufacturing services;Hong Kong;2016 1st quarter;0.0;0.0;0.0
4736;SA Manufacturing services;Hong Kong;2016 2nd quarter;0.0;0.0;0.0
4737;SA Manufacturing services;Hong Kong;2016 3rd quarter;;0.0;
4738;SA Manufacturing services;Hong Kong;2016 4th quarter;0.0;0.0;0.0
4739;SA Manufacturing services;Hong Kong;2016;;0.0;
4740;SA Manufacturing services;Hong Kong;2017 1st quarter;0.0;0.0;0.0
4741;SA Manufacturing services;Hong Kong;2017 2nd quarter;0.0;0.0;0.0
4742;SA Manufacturing services;Hong Kong;2017 3rd quarter;0.0;0.0;0.0
4743;SA Manufacturing services;Hong Kong;2017 4th quarter;0.0;0.0;0.0
4744;SA Manufacturing services;Hong Kong;2017;1.0;0.0;-1.0
4745;SA Manufacturing services;Hong Kong;2018 1st quarter;0.0;0.0;0.0
