ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
1531;2000c Prod. of wood, building materials;Destination total;2005 January;-1;93
1532;2000c Prod. of wood, building materials;Destination total;2005 February;3;93
1533;2000c Prod. of wood, building materials;Destination total;2005 March;-9;95
1534;2000c Prod. of wood, building materials;Destination total;2005 1st quarter;-3;93
1535;2000c Prod. of wood, building materials;Destination total;2005 April;7;94
1536;2000c Prod. of wood, building materials;Destination total;2005 May;10;93
1537;2000c Prod. of wood, building materials;Destination total;2005 June;12;90
1538;2000c Prod. of wood, building materials;Destination total;2005 2nd quarter;11;90
1539;2000c Prod. of wood, building materials;Destination total;2005 July;5;91
1540;2000c Prod. of wood, building materials;Destination total;2005 August;16;90
1541;2000c Prod. of wood, building materials;Destination total;2005 September;9;90
1542;2000c Prod. of wood, building materials;Destination total;2005 3rd quarter;9;90
1543;2000c Prod. of wood, building materials;Destination total;2005 October;7;90
1544;2000c Prod. of wood, building materials;Destination total;2005 November;11;90
1545;2000c Prod. of wood, building materials;Destination total;2005 December;5;91
1546;2000c Prod. of wood, building materials;Destination total;2005 4th quarter;8;89
1547;2000c Prod. of wood, building materials;Destination total;2005;7;87
1548;2000c Prod. of wood, building materials;Destination total;2006 January;10;93
1549;2000c Prod. of wood, building materials;Destination total;2006 February;13;92
1550;2000c Prod. of wood, building materials;Netherlands;1997 January;0;96
1551;2000c Prod. of wood, building materials;Netherlands;1997 February;54;97
1552;2000c Prod. of wood, building materials;Netherlands;1997 March;1;97
1553;2000c Prod. of wood, building materials;Netherlands;1997 1st quarter;14;97
1554;2000c Prod. of wood, building materials;Netherlands;1997 April;10;96
1555;2000c Prod. of wood, building materials;Netherlands;1997 May;-6;97
1556;2000c Prod. of wood, building materials;Netherlands;1997 June;2;97
1557;2000c Prod. of wood, building materials;Netherlands;1997 2nd quarter;2;97
1558;2000c Prod. of wood, building materials;Netherlands;1997 July;3;96
1559;2000c Prod. of wood, building materials;Netherlands;1997 August;1;96
1560;2000c Prod. of wood, building materials;Netherlands;1997 September;5;96
1561;2000c Prod. of wood, building materials;Netherlands;1997 3rd quarter;5;96
1562;2000c Prod. of wood, building materials;Netherlands;1997 October;2;96
1563;2000c Prod. of wood, building materials;Netherlands;1997 November;3;96
1564;2000c Prod. of wood, building materials;Netherlands;1997 December;4;95
1565;2000c Prod. of wood, building materials;Netherlands;1997 4th quarter;3;96
1566;2000c Prod. of wood, building materials;Netherlands;1997;5;95
1567;2000c Prod. of wood, building materials;Netherlands;1998 January;42;97
1568;2000c Prod. of wood, building materials;Netherlands;1998 February;5;97
1569;2000c Prod. of wood, building materials;Netherlands;1998 March;8;96
1570;2000c Prod. of wood, building materials;Netherlands;1998 1st quarter;15;95
1571;2000c Prod. of wood, building materials;Netherlands;1998 April;-3;97
1572;2000c Prod. of wood, building materials;Netherlands;1998 May;-1;97
1573;2000c Prod. of wood, building materials;Netherlands;1998 June;1;97
1574;2000c Prod. of wood, building materials;Netherlands;1998 2nd quarter;-1;97
1575;2000c Prod. of wood, building materials;Netherlands;1998 July;15;97
1576;2000c Prod. of wood, building materials;Netherlands;1998 August;-13;98
1577;2000c Prod. of wood, building materials;Netherlands;1998 September;-4;98
1578;2000c Prod. of wood, building materials;Netherlands;1998 3rd quarter;-4;97
1579;2000c Prod. of wood, building materials;Netherlands;1998 October;-8;98
1580;2000c Prod. of wood, building materials;Netherlands;1998 November;-8;98
1581;2000c Prod. of wood, building materials;Netherlands;1998 December;-3;98
1582;2000c Prod. of wood, building materials;Netherlands;1998 4th quarter;-6;98
1583;2000c Prod. of wood, building materials;Netherlands;1998;1;95
1584;2000c Prod. of wood, building materials;Netherlands;1999 January;2;98
1585;2000c Prod. of wood, building materials;Netherlands;1999 February;-3;98
1586;2000c Prod. of wood, building materials;Netherlands;1999 March;10;98
1587;2000c Prod. of wood, building materials;Netherlands;1999 1st quarter;3;98
1588;2000c Prod. of wood, building materials;Netherlands;1999 April;3;98
1589;2000c Prod. of wood, building materials;Netherlands;1999 May;6;98
1590;2000c Prod. of wood, building materials;Netherlands;1999 June;15;98
1591;2000c Prod. of wood, building materials;Netherlands;1999 2nd quarter;8;98
1592;2000c Prod. of wood, building materials;Netherlands;1999 July;0;97
1593;2000c Prod. of wood, building materials;Netherlands;1999 August;12;97
1594;2000c Prod. of wood, building materials;Netherlands;1999 September;12;98
1595;2000c Prod. of wood, building materials;Netherlands;1999 3rd quarter;8;97
1596;2000c Prod. of wood, building materials;Netherlands;1999 October;8;98
1597;2000c Prod. of wood, building materials;Netherlands;1999 November;21;98
1598;2000c Prod. of wood, building materials;Netherlands;1999 December;28;98
1599;2000c Prod. of wood, building materials;Netherlands;1999 4th quarter;18;98
1600;2000c Prod. of wood, building materials;Netherlands;1999;10;97
1601;2000c Prod. of wood, building materials;Netherlands;2000 January;-5;99
1602;2000c Prod. of wood, building materials;Netherlands;2000 February;25;99
1603;2000c Prod. of wood, building materials;Netherlands;2000 March;5;98
1604;2000c Prod. of wood, building materials;Netherlands;2000 1st quarter;8;99
1605;2000c Prod. of wood, building materials;Netherlands;2000 April;1;98
1606;2000c Prod. of wood, building materials;Netherlands;2000 May;25;98
1607;2000c Prod. of wood, building materials;Netherlands;2000 June;-8;98
1608;2000c Prod. of wood, building materials;Netherlands;2000 2nd quarter;5;98
1609;2000c Prod. of wood, building materials;Netherlands;2000 July;-6;99
1610;2000c Prod. of wood, building materials;Netherlands;2000 August;13;99
1611;2000c Prod. of wood, building materials;Netherlands;2000 September;0;99
1612;2000c Prod. of wood, building materials;Netherlands;2000 3rd quarter;1;99
1613;2000c Prod. of wood, building materials;Netherlands;2000 October;4;99
1614;2000c Prod. of wood, building materials;Netherlands;2000 November;5;98
1615;2000c Prod. of wood, building materials;Netherlands;2000 December;4;98
1616;2000c Prod. of wood, building materials;Netherlands;2000 4th quarter;4;98
1617;2000c Prod. of wood, building materials;Netherlands;2000;5;98
1618;2000c Prod. of wood, building materials;Netherlands;2001 January;9;98
1619;2000c Prod. of wood, building materials;Netherlands;2001 February;-1;98
1620;2000c Prod. of wood, building materials;Netherlands;2001 March;1;98
1621;2000c Prod. of wood, building materials;Netherlands;2001 1st quarter;3;98
1622;2000c Prod. of wood, building materials;Netherlands;2001 April;1;98
1623;2000c Prod. of wood, building materials;Netherlands;2001 May;-2;97
1624;2000c Prod. of wood, building materials;Netherlands;2001 June;8;98
1625;2000c Prod. of wood, building materials;Netherlands;2001 2nd quarter;2;98
1626;2000c Prod. of wood, building materials;Netherlands;2001 July;11;98
1627;2000c Prod. of wood, building materials;Netherlands;2001 August;6;98
1628;2000c Prod. of wood, building materials;Netherlands;2001 September;-3;97
1629;2000c Prod. of wood, building materials;Netherlands;2001 3rd quarter;4;97
1630;2000c Prod. of wood, building materials;Netherlands;2001 October;11;97
1631;2000c Prod. of wood, building materials;Netherlands;2001 November;3;97
1632;2000c Prod. of wood, building materials;Netherlands;2001 December;-10;96
1633;2000c Prod. of wood, building materials;Netherlands;2001 4th quarter;2;95
1634;2000c Prod. of wood, building materials;Netherlands;2001;3;95
1635;2000c Prod. of wood, building materials;Netherlands;2002 January;-1;96
1636;2000c Prod. of wood, building materials;Netherlands;2002 February;-4;96
1637;2000c Prod. of wood, building materials;Netherlands;2002 March;-8;96
1638;2000c Prod. of wood, building materials;Netherlands;2002 1st quarter;-5;95
1639;2000c Prod. of wood, building materials;Netherlands;2002 April;-1;96
1640;2000c Prod. of wood, building materials;Netherlands;2002 May;-10;95
1641;2000c Prod. of wood, building materials;Netherlands;2002 June;-6;94
1642;2000c Prod. of wood, building materials;Netherlands;2002 2nd quarter;-6;95
1643;2000c Prod. of wood, building materials;Netherlands;2002 July;-5;95
1644;2000c Prod. of wood, building materials;Netherlands;2002 August;-5;94
1645;2000c Prod. of wood, building materials;Netherlands;2002 September;3;95
1646;2000c Prod. of wood, building materials;Netherlands;2002 3rd quarter;-2;95
1647;2000c Prod. of wood, building materials;Netherlands;2002 October;-4;94
1648;2000c Prod. of wood, building materials;Netherlands;2002 November;-8;94
1649;2000c Prod. of wood, building materials;Netherlands;2002 December;-16;96
1650;2000c Prod. of wood, building materials;Netherlands;2002 4th quarter;-8;96
1651;2000c Prod. of wood, building materials;Netherlands;2002;-5;96
1652;2000c Prod. of wood, building materials;Netherlands;2003 January;-4;95
1653;2000c Prod. of wood, building materials;Netherlands;2003 February;-9;95
1654;2000c Prod. of wood, building materials;Netherlands;2003 March;-1;95
1655;2000c Prod. of wood, building materials;Netherlands;2003 1st quarter;-4;94
1656;2000c Prod. of wood, building materials;Netherlands;2003 April;4;96
1657;2000c Prod. of wood, building materials;Netherlands;2003 May;-4;95
1658;2000c Prod. of wood, building materials;Netherlands;2003 June;-2;94
1659;2000c Prod. of wood, building materials;Netherlands;2003 2nd quarter;-1;95
1660;2000c Prod. of wood, building materials;Netherlands;2003 July;-7;94
1661;2000c Prod. of wood, building materials;Netherlands;2003 August;-9;93
1662;2000c Prod. of wood, building materials;Netherlands;2003 September;0;94
1663;2000c Prod. of wood, building materials;Netherlands;2003 3rd quarter;-5;94
1664;2000c Prod. of wood, building materials;Netherlands;2003 October;-6;95
1665;2000c Prod. of wood, building materials;Netherlands;2003 November;-9;95
1666;2000c Prod. of wood, building materials;Netherlands;2003 December;8;95
1667;2000c Prod. of wood, building materials;Netherlands;2003 4th quarter;-4;94
1668;2000c Prod. of wood, building materials;Netherlands;2003;-3;92
1669;2000c Prod. of wood, building materials;Netherlands;2004 January;0;94
1670;2000c Prod. of wood, building materials;Netherlands;2004 February;3;94
1671;2000c Prod. of wood, building materials;Netherlands;2004 March;5;91
1672;2000c Prod. of wood, building materials;Netherlands;2004 1st quarter;3;91
1673;2000c Prod. of wood, building materials;Netherlands;2004 April;-2;91
1674;2000c Prod. of wood, building materials;Netherlands;2004 May;-5;91
1675;2000c Prod. of wood, building materials;Netherlands;2004 June;9;91
1676;2000c Prod. of wood, building materials;Netherlands;2004 2nd quarter;1;90
1677;2000c Prod. of wood, building materials;Netherlands;2004 July;11;91
1678;2000c Prod. of wood, building materials;Netherlands;2004 August;-9;91
1679;2000c Prod. of wood, building materials;Netherlands;2004 September;4;92
1680;2000c Prod. of wood, building materials;Netherlands;2004 3rd quarter;3;90
1681;2000c Prod. of wood, building materials;Netherlands;2004 October;-1;92
1682;2000c Prod. of wood, building materials;Netherlands;2004 November;13;92
1683;2000c Prod. of wood, building materials;Netherlands;2004 December;19;91
1684;2000c Prod. of wood, building materials;Netherlands;2004 4th quarter;10;90
1685;2000c Prod. of wood, building materials;Netherlands;2004;4;87
1686;2000c Prod. of wood, building materials;Netherlands;2005 January;-4;92
1687;2000c Prod. of wood, building materials;Netherlands;2005 February;3;93
1688;2000c Prod. of wood, building materials;Netherlands;2005 March;-10;94
1689;2000c Prod. of wood, building materials;Netherlands;2005 1st quarter;-4;92
1690;2000c Prod. of wood, building materials;Netherlands;2005 April;8;94
1691;2000c Prod. of wood, building materials;Netherlands;2005 May;11;92
1692;2000c Prod. of wood, building materials;Netherlands;2005 June;14;89
1693;2000c Prod. of wood, building materials;Netherlands;2005 2nd quarter;13;89
1694;2000c Prod. of wood, building materials;Netherlands;2005 July;8;90
1695;2000c Prod. of wood, building materials;Netherlands;2005 August;20;89
1696;2000c Prod. of wood, building materials;Netherlands;2005 September;10;89
1697;2000c Prod. of wood, building materials;Netherlands;2005 3rd quarter;12;89
1698;2000c Prod. of wood, building materials;Netherlands;2005 October;8;89
1699;2000c Prod. of wood, building materials;Netherlands;2005 November;12;89
1700;2000c Prod. of wood, building materials;Netherlands;2005 December;5;90
1701;2000c Prod. of wood, building materials;Netherlands;2005 4th quarter;9;88
1702;2000c Prod. of wood, building materials;Netherlands;2005;9;86
1703;2000c Prod. of wood, building materials;Netherlands;2006 January;10;93
1704;2000c Prod. of wood, building materials;Netherlands;2006 February;14;92
1705;2000c Prod. of wood, building materials;Other countries;1997 January;8;98
1706;2000c Prod. of wood, building materials;Other countries;1997 February;9;97
1707;2000c Prod. of wood, building materials;Other countries;1997 March;-1;98
1708;2000c Prod. of wood, building materials;Other countries;1997 1st quarter;5;98
1709;2000c Prod. of wood, building materials;Other countries;1997 April;7;97
1710;2000c Prod. of wood, building materials;Other countries;1997 May;-1;97
1711;2000c Prod. of wood, building materials;Other countries;1997 June;6;97
1712;2000c Prod. of wood, building materials;Other countries;1997 2nd quarter;4;97
1713;2000c Prod. of wood, building materials;Other countries;1997 July;5;97
1714;2000c Prod. of wood, building materials;Other countries;1997 August;-8;97
1715;2000c Prod. of wood, building materials;Other countries;1997 September;2;97
1716;2000c Prod. of wood, building materials;Other countries;1997 3rd quarter;0;97
1717;2000c Prod. of wood, building materials;Other countries;1997 October;3;97
1718;2000c Prod. of wood, building materials;Other countries;1997 November;2;97
1719;2000c Prod. of wood, building materials;Other countries;1997 December;5;97
1720;2000c Prod. of wood, building materials;Other countries;1997 4th quarter;4;96
1721;2000c Prod. of wood, building materials;Other countries;1997;3;97
1722;2000c Prod. of wood, building materials;Other countries;1998 January;10;96
1723;2000c Prod. of wood, building materials;Other countries;1998 February;1;96
1724;2000c Prod. of wood, building materials;Other countries;1998 March;11;96
1725;2000c Prod. of wood, building materials;Other countries;1998 1st quarter;8;96
1726;2000c Prod. of wood, building materials;Other countries;1998 April;0;97
1727;2000c Prod. of wood, building materials;Other countries;1998 May;3;96
1728;2000c Prod. of wood, building materials;Other countries;1998 June;5;97
1729;2000c Prod. of wood, building materials;Other countries;1998 2nd quarter;3;96
1730;2000c Prod. of wood, building materials;Other countries;1998 July;9;97
1731;2000c Prod. of wood, building materials;Other countries;1998 August;-2;97
1732;2000c Prod. of wood, building materials;Other countries;1998 September;-1;97
1733;2000c Prod. of wood, building materials;Other countries;1998 3rd quarter;2;97
1734;2000c Prod. of wood, building materials;Other countries;1998 October;-3;96
1735;2000c Prod. of wood, building materials;Other countries;1998 November;-1;96
1736;2000c Prod. of wood, building materials;Other countries;1998 December;1;99
1737;2000c Prod. of wood, building materials;Other countries;1998 4th quarter;-1;96
1738;2000c Prod. of wood, building materials;Other countries;1998;3;96
1739;2000c Prod. of wood, building materials;Other countries;1999 January;-7;99
1740;2000c Prod. of wood, building materials;Other countries;1999 February;-2;99
1741;2000c Prod. of wood, building materials;Other countries;1999 March;-4;99
1742;2000c Prod. of wood, building materials;Other countries;1999 1st quarter;-4;99
1743;2000c Prod. of wood, building materials;Other countries;1999 April;-3;100
1744;2000c Prod. of wood, building materials;Other countries;1999 May;0;100
1745;2000c Prod. of wood, building materials;Other countries;1999 June;2;100
1746;2000c Prod. of wood, building materials;Other countries;1999 2nd quarter;0;100
1747;2000c Prod. of wood, building materials;Other countries;1999 July;-4;100
1748;2000c Prod. of wood, building materials;Other countries;1999 August;10;100
1749;2000c Prod. of wood, building materials;Other countries;1999 September;4;100
1750;2000c Prod. of wood, building materials;Other countries;1999 3rd quarter;3;100
1751;2000c Prod. of wood, building materials;Other countries;1999 October;-2;100
1752;2000c Prod. of wood, building materials;Other countries;1999 November;5;100
1753;2000c Prod. of wood, building materials;Other countries;1999 December;7;99
1754;2000c Prod. of wood, building materials;Other countries;1999 4th quarter;3;100
1755;2000c Prod. of wood, building materials;Other countries;1999;0;99
1756;2000c Prod. of wood, building materials;Other countries;2000 January;5;99
1757;2000c Prod. of wood, building materials;Other countries;2000 February;12;100
1758;2000c Prod. of wood, building materials;Other countries;2000 March;6;99
1759;2000c Prod. of wood, building materials;Other countries;2000 1st quarter;7;99
1760;2000c Prod. of wood, building materials;Other countries;2000 April;-6;99
1761;2000c Prod. of wood, building materials;Other countries;2000 May;15;99
1762;2000c Prod. of wood, building materials;Other countries;2000 June;-7;99
1763;2000c Prod. of wood, building materials;Other countries;2000 2nd quarter;0;99
1764;2000c Prod. of wood, building materials;Other countries;2000 July;-7;99
1765;2000c Prod. of wood, building materials;Other countries;2000 August;7;99
1766;2000c Prod. of wood, building materials;Other countries;2000 September;-4;99
1767;2000c Prod. of wood, building materials;Other countries;2000 3rd quarter;-2;99
1768;2000c Prod. of wood, building materials;Other countries;2000 October;8;99
1769;2000c Prod. of wood, building materials;Other countries;2000 November;0;99
1770;2000c Prod. of wood, building materials;Other countries;2000 December;4;99
1771;2000c Prod. of wood, building materials;Other countries;2000 4th quarter;4;99
1772;2000c Prod. of wood, building materials;Other countries;2000;2;99
1773;2000c Prod. of wood, building materials;Other countries;2001 January;1;99
1774;2000c Prod. of wood, building materials;Other countries;2001 February;-8;99
1775;2000c Prod. of wood, building materials;Other countries;2001 March;-4;98
1776;2000c Prod. of wood, building materials;Other countries;2001 1st quarter;-4;99
1777;2000c Prod. of wood, building materials;Other countries;2001 April;-1;99
1778;2000c Prod. of wood, building materials;Other countries;2001 May;-6;99
1779;2000c Prod. of wood, building materials;Other countries;2001 June;-3;99
1780;2000c Prod. of wood, building materials;Other countries;2001 2nd quarter;-3;99
1781;2000c Prod. of wood, building materials;Other countries;2001 July;0;99
1782;2000c Prod. of wood, building materials;Other countries;2001 August;-7;99
1783;2000c Prod. of wood, building materials;Other countries;2001 September;-10;99
1784;2000c Prod. of wood, building materials;Other countries;2001 3rd quarter;-6;99
1785;2000c Prod. of wood, building materials;Other countries;2001 October;-5;99
1786;2000c Prod. of wood, building materials;Other countries;2001 November;-9;99
1787;2000c Prod. of wood, building materials;Other countries;2001 December;-25;97
1788;2000c Prod. of wood, building materials;Other countries;2001 4th quarter;-12;96
1789;2000c Prod. of wood, building materials;Other countries;2001;-6;96
1790;2000c Prod. of wood, building materials;Other countries;2002 January;-14;96
1791;2000c Prod. of wood, building materials;Other countries;2002 February;-10;96
1792;2000c Prod. of wood, building materials;Other countries;2002 March;-13;96
1793;2000c Prod. of wood, building materials;Other countries;2002 1st quarter;-13;95
1794;2000c Prod. of wood, building materials;Other countries;2002 April;1;91
1795;2000c Prod. of wood, building materials;Other countries;2002 May;-13;92
1796;2000c Prod. of wood, building materials;Other countries;2002 June;-10;91
1797;2000c Prod. of wood, building materials;Other countries;2002 2nd quarter;-8;91
1798;2000c Prod. of wood, building materials;Other countries;2002 July;-2;91
1799;2000c Prod. of wood, building materials;Other countries;2002 August;-10;93
1800;2000c Prod. of wood, building materials;Other countries;2002 September;-3;92
1801;2000c Prod. of wood, building materials;Other countries;2002 3rd quarter;-5;92
1802;2000c Prod. of wood, building materials;Other countries;2002 October;-1;90
1803;2000c Prod. of wood, building materials;Other countries;2002 November;-5;89
1804;2000c Prod. of wood, building materials;Other countries;2002 December;-2;92
1805;2000c Prod. of wood, building materials;Other countries;2002 4th quarter;-2;92
1806;2000c Prod. of wood, building materials;Other countries;2002;-7;92
1807;2000c Prod. of wood, building materials;Other countries;2003 January;-4;91
1808;2000c Prod. of wood, building materials;Other countries;2003 February;-3;91
1809;2000c Prod. of wood, building materials;Other countries;2003 March;-11;91
1810;2000c Prod. of wood, building materials;Other countries;2003 1st quarter;-6;90
1811;2000c Prod. of wood, building materials;Other countries;2003 April;-11;96
1812;2000c Prod. of wood, building materials;Other countries;2003 May;-13;94
1813;2000c Prod. of wood, building materials;Other countries;2003 June;-7;94
1814;2000c Prod. of wood, building materials;Other countries;2003 2nd quarter;-10;94
1815;2000c Prod. of wood, building materials;Other countries;2003 July;-9;94
1816;2000c Prod. of wood, building materials;Other countries;2003 August;-12;95
1817;2000c Prod. of wood, building materials;Other countries;2003 September;-3;94
1818;2000c Prod. of wood, building materials;Other countries;2003 3rd quarter;-8;94
1819;2000c Prod. of wood, building materials;Other countries;2003 October;-7;94
1820;2000c Prod. of wood, building materials;Other countries;2003 November;-3;94
1821;2000c Prod. of wood, building materials;Other countries;2003 December;10;94
1822;2000c Prod. of wood, building materials;Other countries;2003 4th quarter;-1;94
1823;2000c Prod. of wood, building materials;Other countries;2003;-6;90
1824;2000c Prod. of wood, building materials;Other countries;2004 January;-10;91
1825;2000c Prod. of wood, building materials;Other countries;2004 February;-2;92
1826;2000c Prod. of wood, building materials;Other countries;2004 March;15;92
1827;2000c Prod. of wood, building materials;Other countries;2004 1st quarter;1;91
1828;2000c Prod. of wood, building materials;Other countries;2004 April;8;95
1829;2000c Prod. of wood, building materials;Other countries;2004 May;0;95
1830;2000c Prod. of wood, building materials;Other countries;2004 June;10;96
1831;2000c Prod. of wood, building materials;Other countries;2004 2nd quarter;6;95
1832;2000c Prod. of wood, building materials;Other countries;2004 July;-1;95
1833;2000c Prod. of wood, building materials;Other countries;2004 August;5;95
1834;2000c Prod. of wood, building materials;Other countries;2004 September;5;96
1835;2000c Prod. of wood, building materials;Other countries;2004 3rd quarter;3;94
1836;2000c Prod. of wood, building materials;Other countries;2004 October;-4;96
1837;2000c Prod. of wood, building materials;Other countries;2004 November;9;97
1838;2000c Prod. of wood, building materials;Other countries;2004 December;11;97
1839;2000c Prod. of wood, building materials;Other countries;2004 4th quarter;5;97
1840;2000c Prod. of wood, building materials;Other countries;2004;5;89
1841;2000c Prod. of wood, building materials;Other countries;2005 January;17;98
1842;2000c Prod. of wood, building materials;Other countries;2005 February;4;98
1843;2000c Prod. of wood, building materials;Other countries;2005 March;-9;98
1844;2000c Prod. of wood, building materials;Other countries;2005 1st quarter;4;97
1845;2000c Prod. of wood, building materials;Other countries;2005 April;-2;98
1846;2000c Prod. of wood, building materials;Other countries;2005 May;3;97
1847;2000c Prod. of wood, building materials;Other countries;2005 June;3;96
1848;2000c Prod. of wood, building materials;Other countries;2005 2nd quarter;2;96
1849;2000c Prod. of wood, building materials;Other countries;2005 July;-6;96
1850;2000c Prod. of wood, building materials;Other countries;2005 August;2;96
1851;2000c Prod. of wood, building materials;Other countries;2005 September;3;95
1852;2000c Prod. of wood, building materials;Other countries;2005 3rd quarter;0;95
1853;2000c Prod. of wood, building materials;Other countries;2005 October;-1;96
1854;2000c Prod. of wood, building materials;Other countries;2005 November;4;96
1855;2000c Prod. of wood, building materials;Other countries;2005 December;3;94
1856;2000c Prod. of wood, building materials;Other countries;2005 4th quarter;3;94
1857;2000c Prod. of wood, building materials;Other countries;2005;2;94
1858;2000c Prod. of wood, building materials;Other countries;2006 January;9;95
1859;2000c Prod. of wood, building materials;Other countries;2006 February;7;95
1860;2100a Paper prod., publ., print., repro.;Destination total;1997 January;0;96
1861;2100a Paper prod., publ., print., repro.;Destination total;1997 February;-2;94
1862;2100a Paper prod., publ., print., repro.;Destination total;1997 March;-2;94
1863;2100a Paper prod., publ., print., repro.;Destination total;1997 1st quarter;-1;94
1864;2100a Paper prod., publ., print., repro.;Destination total;1997 April;7;94
1865;2100a Paper prod., publ., print., repro.;Destination total;1997 May;0;94
1866;2100a Paper prod., publ., print., repro.;Destination total;1997 June;5;94
1867;2100a Paper prod., publ., print., repro.;Destination total;1997 2nd quarter;4;94
1868;2100a Paper prod., publ., print., repro.;Destination total;1997 July;4;94
1869;2100a Paper prod., publ., print., repro.;Destination total;1997 August;-1;94
1870;2100a Paper prod., publ., print., repro.;Destination total;1997 September;6;95
1871;2100a Paper prod., publ., print., repro.;Destination total;1997 3rd quarter;4;95
1872;2100a Paper prod., publ., print., repro.;Destination total;1997 October;1;95
1873;2100a Paper prod., publ., print., repro.;Destination total;1997 November;6;95
1874;2100a Paper prod., publ., print., repro.;Destination total;1997 December;13;95
1875;2100a Paper prod., publ., print., repro.;Destination total;1997 4th quarter;7;95
1876;2100a Paper prod., publ., print., repro.;Destination total;1997;3;94
1877;2100a Paper prod., publ., print., repro.;Destination total;1998 January;2;93
1878;2100a Paper prod., publ., print., repro.;Destination total;1998 February;5;93
1879;2100a Paper prod., publ., print., repro.;Destination total;1998 March;13;93
1880;2100a Paper prod., publ., print., repro.;Destination total;1998 1st quarter;7;92
1881;2100a Paper prod., publ., print., repro.;Destination total;1998 April;4;93
1882;2100a Paper prod., publ., print., repro.;Destination total;1998 May;3;93
1883;2100a Paper prod., publ., print., repro.;Destination total;1998 June;9;93
1884;2100a Paper prod., publ., print., repro.;Destination total;1998 2nd quarter;5;93
1885;2100a Paper prod., publ., print., repro.;Destination total;1998 July;4;93
1886;2100a Paper prod., publ., print., repro.;Destination total;1998 August;4;93
1887;2100a Paper prod., publ., print., repro.;Destination total;1998 September;5;93
1888;2100a Paper prod., publ., print., repro.;Destination total;1998 3rd quarter;5;93
1889;2100a Paper prod., publ., print., repro.;Destination total;1998 October;3;92
1890;2100a Paper prod., publ., print., repro.;Destination total;1998 November;6;91
1891;2100a Paper prod., publ., print., repro.;Destination total;1998 December;4;91
1892;2100a Paper prod., publ., print., repro.;Destination total;1998 4th quarter;4;91
1893;2100a Paper prod., publ., print., repro.;Destination total;1998;6;90
1894;2100a Paper prod., publ., print., repro.;Destination total;1999 January;-4;97
1895;2100a Paper prod., publ., print., repro.;Destination total;1999 February;0;97
1896;2100a Paper prod., publ., print., repro.;Destination total;1999 March;4;97
1897;2100a Paper prod., publ., print., repro.;Destination total;1999 1st quarter;0;97
1898;2100a Paper prod., publ., print., repro.;Destination total;1999 April;-3;97
1899;2100a Paper prod., publ., print., repro.;Destination total;1999 May;-2;97
1900;2100a Paper prod., publ., print., repro.;Destination total;1999 June;3;97
1901;2100a Paper prod., publ., print., repro.;Destination total;1999 2nd quarter;0;97
1902;2100a Paper prod., publ., print., repro.;Destination total;1999 July;2;97
1903;2100a Paper prod., publ., print., repro.;Destination total;1999 August;5;97
1904;2100a Paper prod., publ., print., repro.;Destination total;1999 September;4;97
1905;2100a Paper prod., publ., print., repro.;Destination total;1999 3rd quarter;3;97
1906;2100a Paper prod., publ., print., repro.;Destination total;1999 October;-2;98
1907;2100a Paper prod., publ., print., repro.;Destination total;1999 November;9;97
1908;2100a Paper prod., publ., print., repro.;Destination total;1999 December;14;98
1909;2100a Paper prod., publ., print., repro.;Destination total;1999 4th quarter;6;97
1910;2100a Paper prod., publ., print., repro.;Destination total;1999;3;96
1911;2100a Paper prod., publ., print., repro.;Destination total;2000 January;6;99
1912;2100a Paper prod., publ., print., repro.;Destination total;2000 February;9;98
1913;2100a Paper prod., publ., print., repro.;Destination total;2000 March;6;98
1914;2100a Paper prod., publ., print., repro.;Destination total;2000 1st quarter;7;98
1915;2100a Paper prod., publ., print., repro.;Destination total;2000 April;6;98
1916;2100a Paper prod., publ., print., repro.;Destination total;2000 May;23;99
1917;2100a Paper prod., publ., print., repro.;Destination total;2000 June;2;98
1918;2100a Paper prod., publ., print., repro.;Destination total;2000 2nd quarter;10;98
1919;2100a Paper prod., publ., print., repro.;Destination total;2000 July;6;98
1920;2100a Paper prod., publ., print., repro.;Destination total;2000 August;13;98
1921;2100a Paper prod., publ., print., repro.;Destination total;2000 September;5;98
1922;2100a Paper prod., publ., print., repro.;Destination total;2000 3rd quarter;8;98
1923;2100a Paper prod., publ., print., repro.;Destination total;2000 October;12;98
1924;2100a Paper prod., publ., print., repro.;Destination total;2000 November;7;98
1925;2100a Paper prod., publ., print., repro.;Destination total;2000 December;-5;98
1926;2100a Paper prod., publ., print., repro.;Destination total;2000 4th quarter;4;98
1927;2100a Paper prod., publ., print., repro.;Destination total;2000;7;97
1928;2100a Paper prod., publ., print., repro.;Destination total;2001 January;13;99
1929;2100a Paper prod., publ., print., repro.;Destination total;2001 February;3;97
1930;2100a Paper prod., publ., print., repro.;Destination total;2001 March;1;97
1931;2100a Paper prod., publ., print., repro.;Destination total;2001 1st quarter;5;97
1932;2100a Paper prod., publ., print., repro.;Destination total;2001 April;2;97
1933;2100a Paper prod., publ., print., repro.;Destination total;2001 May;0;96
1934;2100a Paper prod., publ., print., repro.;Destination total;2001 June;2;97
1935;2100a Paper prod., publ., print., repro.;Destination total;2001 2nd quarter;1;97
1936;2100a Paper prod., publ., print., repro.;Destination total;2001 July;7;96
1937;2100a Paper prod., publ., print., repro.;Destination total;2001 August;-1;96
