ID;LuchthavensCaribischNederland;Perioden;Vliegtuigbewegingen_1;TotaalPassagiersvervoer_2;AangekomenPassagiers_3;VertrokkenPassagiers_4
342;Flamingo Airport (Bonaire);2019 maart;1260;37130;18400;18730
343;Flamingo Airport (Bonaire);2019 1e kwartaal;3750;102830;51790;51050
344;Flamingo Airport (Bonaire);2019 april;1150;32570;16690;15880
345;Flamingo Airport (Bonaire);2019 mei;1240;31320;14690;16630
346;Flamingo Airport (Bonaire);2019 juni;1160;30540;15500;15040
347;Flamingo Airport (Bonaire);2019 2e kwartaal;3550;94420;46880;47540
348;Flamingo Airport (Bonaire);2019 juli;1310;32390;15910;16480
349;Flamingo Airport (Bonaire);2019 augustus;1390;31680;15840;15840
350;Flamingo Airport (Bonaire);2019 september;1330;25510;12850;12660
351;Flamingo Airport (Bonaire);2019 3e kwartaal;4030;89580;44600;44980
352;Flamingo Airport (Bonaire);2019 oktober;1410;30140;15430;14710
353;Flamingo Airport (Bonaire);2019 november;1480;32290;16360;15930
354;Flamingo Airport (Bonaire);2019 december;1460;35190;16900;18290
355;Flamingo Airport (Bonaire);2019 4e kwartaal;4350;97620;48690;48930
356;Flamingo Airport (Bonaire);2019;15680;384450;191960;192490
357;Flamingo Airport (Bonaire);2020 januari;1390;35050;18120;16930
358;Flamingo Airport (Bonaire);2020 februari;1310;36490;18240;18250
359;Flamingo Airport (Bonaire);2020 maart;810;21920;8800;13110
360;Flamingo Airport (Bonaire);2020 1e kwartaal;3510;93460;45160;48300
361;Flamingo Airport (Bonaire);2020 april;120;200;100;100
362;Flamingo Airport (Bonaire);2020 mei;140;440;260;180
363;Flamingo Airport (Bonaire);2020 juni;430;3500;1700;1800
364;Flamingo Airport (Bonaire);2020 2e kwartaal;690;4140;2060;2090
365;Flamingo Airport (Bonaire);2020 juli;930;13590;7300;6300
366;Flamingo Airport (Bonaire);2020 augustus;990;15430;7700;7730
367;Flamingo Airport (Bonaire);2020 september;370;6910;3300;3600
368;Flamingo Airport (Bonaire);2020 3e kwartaal;2290;35920;18300;17630
369;Flamingo Airport (Bonaire);2020 oktober;320;4170;2090;2080
370;Flamingo Airport (Bonaire);2020 november;400;8400;4700;3700
371;Flamingo Airport (Bonaire);2020 december;550;14370;7630;6740
372;Flamingo Airport (Bonaire);2020 4e kwartaal;1270;26940;14420;12520
373;Flamingo Airport (Bonaire);2020;7760;160460;79930;80530
374;Flamingo Airport (Bonaire);2021 januari;570;10240;4550;5690
375;Flamingo Airport (Bonaire);2021 februari;550;10360;5340;5020
376;Flamingo Airport (Bonaire);2021 maart;560;8850;3920;4930
377;Flamingo Airport (Bonaire);2021 1e kwartaal;1680;29440;13800;15640
378;Flamingo Airport (Bonaire);2021 april;460;7070;3980;3090
379;Flamingo Airport (Bonaire);2021 mei;600;12450;6040;6410
380;Flamingo Airport (Bonaire);2021 juni;850;20950;10910;10040
381;Flamingo Airport (Bonaire);2021 2e kwartaal;1900;40470;20920;19540
382;Flamingo Airport (Bonaire);2021 juli;1170;33000;16850;16150
383;Flamingo Airport (Bonaire);2021 augustus;1120;32430;15610;16810
384;Flamingo Airport (Bonaire);2021 september;940;24520;12540;11980
385;Flamingo Airport (Bonaire);2021 3e kwartaal;3230;89950;45000;44950
