ID;ExpenditureCategories;Periods;HICP_1;HICPCT_2;MonthOnMonthChangeHICP_3;MonthOnMonthChangeHICPCT_4;YearOnYearChangeHICP_5;YearOnYearChangeHICPCT_6;WeightingCoefficient_7
3972;011170 Breakfast cereals;2009 April;;;;;;;0
3973;011170 Breakfast cereals;2009 May;;;;;;;0
3974;011170 Breakfast cereals;2009 June;;;;;;;0
3975;011170 Breakfast cereals;2009 July;;;;;;;0
3976;011170 Breakfast cereals;2009 August;;;;;;;0
3977;011170 Breakfast cereals;2009 September;;;;;;;0
3978;011170 Breakfast cereals;2009 October;;;;;;;0
3979;011170 Breakfast cereals;2009 November;;;;;;;0
3980;011170 Breakfast cereals;2009 December;105.51;105.51;;;;;0
3981;011170 Breakfast cereals;2009;;;;;;;0
3982;011170 Breakfast cereals;2010 January;100.7;100.7;-4.6;-4.6;;;87
3983;011170 Breakfast cereals;2010 February;103.1;103.1;2.4;2.4;;;87
3984;011170 Breakfast cereals;2010 March;104.53;104.53;1.4;1.4;;;87
3985;011170 Breakfast cereals;2010 April;102.99;102.99;-1.5;-1.5;;;87
3986;011170 Breakfast cereals;2010 May;104.02;104.02;1.0;1.0;;;87
3987;011170 Breakfast cereals;2010 June;101.42;101.42;-2.5;-2.5;;;87
3988;011170 Breakfast cereals;2010 July;100.85;100.85;-0.6;-0.6;;;87
3989;011170 Breakfast cereals;2010 August;100.28;100.28;-0.6;-0.6;;;87
3990;011170 Breakfast cereals;2010 September;97.54;97.54;-2.7;-2.7;;;87
3991;011170 Breakfast cereals;2010 October;99.25;99.25;1.8;1.8;;;87
3992;011170 Breakfast cereals;2010 November;98.5;98.5;-0.8;-0.8;;;87
3993;011170 Breakfast cereals;2010 December;99.28;99.28;0.8;0.8;-5.9;-5.9;87
3994;011170 Breakfast cereals;2010;101.04;101.04;;;;;87
3995;011170 Breakfast cereals;2011 January;96.79;96.79;-2.5;-2.5;-3.9;-3.9;87
3996;011170 Breakfast cereals;2011 February;98.82;98.82;2.1;2.1;-4.2;-4.2;87
3997;011170 Breakfast cereals;2011 March;98.7;98.7;-0.1;-0.1;-5.6;-5.6;87
3998;011170 Breakfast cereals;2011 April;102.93;102.93;4.3;4.3;-0.1;-0.1;87
3999;011170 Breakfast cereals;2011 May;103.61;103.61;0.7;0.7;-0.4;-0.4;87
4000;011170 Breakfast cereals;2011 June;103.17;103.17;-0.4;-0.4;1.7;1.7;87
4001;011170 Breakfast cereals;2011 July;103.24;103.24;0.1;0.1;2.4;2.4;87
4002;011170 Breakfast cereals;2011 August;104.56;104.56;1.3;1.3;4.3;4.3;87
4003;011170 Breakfast cereals;2011 September;103.28;103.28;-1.2;-1.2;5.9;5.9;87
4004;011170 Breakfast cereals;2011 October;103.32;103.32;0.0;0.0;4.1;4.1;87
4005;011170 Breakfast cereals;2011 November;103.03;103.03;-0.3;-0.3;4.6;4.6;87
4006;011170 Breakfast cereals;2011 December;104.16;104.16;1.1;1.1;4.9;4.9;87
4007;011170 Breakfast cereals;2011;102.13;102.13;;;1.1;1.1;87
4008;011170 Breakfast cereals;2012 January;97.53;97.53;-6.4;-6.4;0.8;0.8;93
4009;011170 Breakfast cereals;2012 February;101.9;101.9;4.5;4.5;3.1;3.1;93
4010;011170 Breakfast cereals;2012 March;100.62;100.62;-1.3;-1.3;1.9;1.9;93
4011;011170 Breakfast cereals;2012 April;101.19;101.19;0.6;0.6;-1.7;-1.7;93
4012;011170 Breakfast cereals;2012 May;99.35;99.35;-1.8;-1.8;-4.1;-4.1;93
4013;011170 Breakfast cereals;2012 June;101.89;101.89;2.6;2.6;-1.2;-1.2;93
4014;011170 Breakfast cereals;2012 July;103.59;103.59;1.7;1.7;0.3;0.3;93
4015;011170 Breakfast cereals;2012 August;102.3;102.3;-1.2;-1.2;-2.2;-2.2;93
4016;011170 Breakfast cereals;2012 September;98.65;98.65;-3.6;-3.6;-4.5;-4.5;93
4017;011170 Breakfast cereals;2012 October;101.41;101.41;2.8;2.8;-1.8;-1.8;93
4018;011170 Breakfast cereals;2012 November;100.06;100.06;-1.3;-1.3;-2.9;-2.9;93
4019;011170 Breakfast cereals;2012 December;103.77;103.77;3.7;3.7;-0.4;-0.4;93
4020;011170 Breakfast cereals;2012;101.02;101.02;;;-1.1;-1.1;93
4021;011170 Breakfast cereals;2013 January;101.54;101.54;-2.1;-2.1;4.1;4.1;89
4022;011170 Breakfast cereals;2013 February;103.15;103.15;1.6;1.6;1.2;1.2;89
4023;011170 Breakfast cereals;2013 March;101.99;101.99;-1.1;-1.1;1.4;1.4;89
4024;011170 Breakfast cereals;2013 April;102.6;102.6;0.6;0.6;1.4;1.4;89
4025;011170 Breakfast cereals;2013 May;101.71;101.71;-0.9;-0.9;2.4;2.4;89
4026;011170 Breakfast cereals;2013 June;101.07;101.07;-0.6;-0.6;-0.8;-0.8;89
4027;011170 Breakfast cereals;2013 July;97.43;97.43;-3.6;-3.6;-5.9;-5.9;89
4028;011170 Breakfast cereals;2013 August;99.87;99.87;2.5;2.5;-2.4;-2.4;89
4029;011170 Breakfast cereals;2013 September;102.63;102.63;2.8;2.8;4.0;4.0;89
4030;011170 Breakfast cereals;2013 October;101.95;101.95;-0.7;-0.7;0.5;0.5;89
4031;011170 Breakfast cereals;2013 November;102.11;102.11;0.2;0.2;2.0;2.0;89
4032;011170 Breakfast cereals;2013 December;102.0;102.0;-0.1;-0.1;-1.7;-1.7;89
4033;011170 Breakfast cereals;2013;101.5;101.5;;;0.5;0.5;89
4034;011170 Breakfast cereals;2014 January;102.56;102.56;0.5;0.5;1.0;1.0;105
4035;011170 Breakfast cereals;2014 February;100.96;100.96;-1.6;-1.6;-2.1;-2.1;105
4036;011170 Breakfast cereals;2014 March;100.09;100.09;-0.9;-0.9;-1.9;-1.9;105
4037;011170 Breakfast cereals;2014 April;102.08;102.08;2.0;2.0;-0.5;-0.5;105
4038;011170 Breakfast cereals;2014 May;100.22;100.22;-1.8;-1.8;-1.5;-1.5;105
4039;011170 Breakfast cereals;2014 June;95.75;95.75;-4.5;-4.5;-5.3;-5.3;105
4040;011170 Breakfast cereals;2014 July;99.35;99.35;3.8;3.8;2.0;2.0;105
4041;011170 Breakfast cereals;2014 August;100.01;100.01;0.7;0.7;0.1;0.1;105
4042;011170 Breakfast cereals;2014 September;97.52;97.52;-2.5;-2.5;-5.0;-5.0;105
4043;011170 Breakfast cereals;2014 October;101.5;101.5;4.1;4.1;-0.4;-0.4;105
4044;011170 Breakfast cereals;2014 November;100.69;100.69;-0.8;-0.8;-1.4;-1.4;105
4045;011170 Breakfast cereals;2014 December;100.91;100.91;0.2;0.2;-1.1;-1.1;105
4046;011170 Breakfast cereals;2014;100.14;100.14;;;-1.3;-1.3;105
4047;011170 Breakfast cereals;2015 January;97.02;97.02;-3.9;-3.9;-5.4;-5.4;105
4048;011170 Breakfast cereals;2015 February;100.87;100.87;4.0;4.0;-0.1;-0.1;105
4049;011170 Breakfast cereals;2015 March;101.35;101.35;0.5;0.5;1.3;1.3;105
4050;011170 Breakfast cereals;2015 April;100.8;100.8;-0.5;-0.5;-1.3;-1.3;105
4051;011170 Breakfast cereals;2015 May;100.21;100.21;-0.6;-0.6;0.0;0.0;105
4052;011170 Breakfast cereals;2015 June;100.35;100.35;0.1;0.1;4.8;4.8;105
4053;011170 Breakfast cereals;2015 July;101.07;101.07;0.7;0.7;1.7;1.7;105
4054;011170 Breakfast cereals;2015 August;102.39;102.39;1.3;1.3;2.4;2.4;105
4055;011170 Breakfast cereals;2015 September;100.89;100.89;-1.5;-1.5;3.5;3.5;105
4056;011170 Breakfast cereals;2015 October;100.85;100.85;0.0;0.0;-0.6;-0.6;105
4057;011170 Breakfast cereals;2015 November;99.61;99.61;-1.2;-1.2;-1.1;-1.1;105
4058;011170 Breakfast cereals;2015 December;94.59;94.59;-5.0;-5.0;-6.3;-6.3;105
4059;011170 Breakfast cereals;2015;100.0;100.0;;;-0.1;-0.1;105
4060;011170 Breakfast cereals;2016 January;94.92;94.92;0.3;0.3;-2.2;-2.2;75
4061;011170 Breakfast cereals;2016 February;99.84;99.84;5.2;5.2;-1.0;-1.0;75
4062;011170 Breakfast cereals;2016 March;99.2;99.2;-0.6;-0.6;-2.1;-2.1;75
4063;011170 Breakfast cereals;2016 April;99.48;99.48;0.3;0.3;-1.3;-1.3;75
4064;011170 Breakfast cereals;2016 May;98.06;98.06;-1.4;-1.4;-2.1;-2.1;75
4065;011170 Breakfast cereals;2016 June;99.61;99.61;1.6;1.6;-0.7;-0.7;75
4066;011170 Breakfast cereals;2016 July;97.85;97.85;-1.8;-1.8;-3.2;-3.2;75
4067;011170 Breakfast cereals;2016 August;97.91;97.91;0.1;0.1;-4.4;-4.4;75
4068;011170 Breakfast cereals;2016 September;96.49;96.49;-1.5;-1.5;-4.4;-4.4;75
4069;011170 Breakfast cereals;2016 October;96.49;96.49;0.0;0.0;-4.3;-4.3;75
4070;011170 Breakfast cereals;2016 November;96.49;96.49;0.0;0.0;-3.1;-3.1;75
4071;011170 Breakfast cereals;2016 December;93.87;93.87;-2.7;-2.7;-0.8;-0.8;75
4072;011170 Breakfast cereals;2016;97.52;97.52;;;-2.5;-2.5;75
4073;011170 Breakfast cereals;2017 January;95.29;95.29;1.5;1.5;0.4;0.4;78
4074;011170 Breakfast cereals;2017 February;99.28;99.28;4.2;4.2;-0.6;-0.6;78
4075;011170 Breakfast cereals;2017 March;98.79;98.79;-0.5;-0.5;-0.4;-0.4;78
4076;011170 Breakfast cereals;2017 April;98.44;98.44;-0.4;-0.4;-1.0;-1.0;78
4077;011170 Breakfast cereals;2017 May;97.12;97.12;-1.3;-1.3;-1.0;-1.0;78
4078;011170 Breakfast cereals;2017 June;96.96;96.96;-0.2;-0.2;-2.7;-2.7;78
4079;011170 Breakfast cereals;2017 July;99.47;99.47;2.6;2.6;1.7;1.7;78
4080;011170 Breakfast cereals;2017 August;98.56;98.56;-0.9;-0.9;0.7;0.7;78
4081;011170 Breakfast cereals;2017 September;98.57;98.57;0.0;0.0;2.2;2.2;78
4082;011170 Breakfast cereals;2017 October;99.28;99.28;0.7;0.7;2.9;2.9;78
4083;011170 Breakfast cereals;2017 November;99.28;99.28;0.0;0.0;2.9;2.9;78
4084;011170 Breakfast cereals;2017 December;98.22;98.22;-1.1;-1.1;4.6;4.6;78
4085;011170 Breakfast cereals;2017;98.27;98.27;;;0.8;0.8;78
4086;011170 Breakfast cereals;2018 January;94.5;94.5;-3.8;-3.8;-0.8;-0.8;76
4087;011170 Breakfast cereals;2018 February;99.57;99.57;5.4;5.4;0.3;0.3;76
4088;011170 Breakfast cereals;2018 March;97.11;97.11;-2.5;-2.5;-1.7;-1.7;76
4089;011170 Breakfast cereals;2018 April;98.31;98.31;1.2;1.2;-0.1;-0.1;76
4090;011170 Breakfast cereals;2018 May;99.63;99.63;1.3;1.3;2.6;2.6;76
4091;011170 Breakfast cereals;2018 June;99.4;99.4;-0.2;-0.2;2.5;2.5;76
4092;011170 Breakfast cereals;2018 July;99.88;99.88;0.5;0.5;0.4;0.4;76
4093;011170 Breakfast cereals;2018 August;100.21;100.21;0.3;0.3;1.7;1.7;76
4094;011170 Breakfast cereals;2018 September;97.62;97.62;-2.6;-2.6;-1.0;-1.0;76
4095;011170 Breakfast cereals;2018 October;99.49;99.49;1.9;1.9;0.2;0.2;76
4096;011170 Breakfast cereals;2018 November;97.61;97.61;-1.9;-1.9;-1.7;-1.7;76
4097;011170 Breakfast cereals;2018 December;100.19;100.19;2.6;2.6;2.0;2.0;76
4098;011170 Breakfast cereals;2018;98.63;98.63;;;0.4;0.4;76
4099;011170 Breakfast cereals;2019 January;99.67;96.93;-0.5;-3.3;5.5;2.6;93
4100;011170 Breakfast cereals;2019 February;103.37;100.53;3.7;3.7;3.8;1.0;93
4101;011170 Breakfast cereals;2019 March;103.42;100.57;0.0;0.0;6.5;3.6;93
4102;011170 Breakfast cereals;2019 April;104.32;101.45;0.9;0.9;6.1;3.2;93
4103;011170 Breakfast cereals;2019 May;103.93;101.07;-0.4;-0.4;4.3;1.4;93
4104;011170 Breakfast cereals;2019 June;103.53;100.68;-0.4;-0.4;4.2;1.3;93
4105;011170 Breakfast cereals;2019 July;102.21;99.39;-1.3;-1.3;2.3;-0.5;93
4106;011170 Breakfast cereals;2019 August;103.27;100.43;1.0;1.0;3.1;0.2;93
4107;011170 Breakfast cereals;2019 September;102.34;99.52;-0.9;-0.9;4.8;1.9;93
4108;011170 Breakfast cereals;2019 October;104.51;101.63;2.1;2.1;5.0;2.2;93
4109;011170 Breakfast cereals;2019 November;102.27;99.46;-2.1;-2.1;4.8;1.9;93
4110;011170 Breakfast cereals;2019 December;101.7;98.9;-0.6;-0.6;1.5;-1.3;93
4111;011170 Breakfast cereals;2019;102.88;100.05;;;4.3;1.4;93
4112;011170 Breakfast cereals;2020 January;100.19;97.43;-1.5;-1.5;0.5;0.5;83
4113;011170 Breakfast cereals;2020 February;104.22;101.35;4.0;4.0;0.8;0.8;83
4114;011170 Breakfast cereals;2020 March;104.12;101.25;-0.1;-0.1;0.7;0.7;83
4115;011170 Breakfast cereals;2020 April;105.63;102.72;1.5;1.5;1.3;1.3;83
4116;011170 Breakfast cereals;2020 May;105.51;102.61;-0.1;-0.1;1.5;1.5;83
4117;011170 Breakfast cereals;2020 June;105.68;102.77;0.2;0.2;2.1;2.1;83
4118;011170 Breakfast cereals;2020 July;106.08;103.16;0.4;0.4;3.8;3.8;83
4119;011170 Breakfast cereals;2020 August;106.05;103.13;0.0;0.0;2.7;2.7;83
4120;011170 Breakfast cereals;2020 September;104.0;101.13;-1.9;-1.9;1.6;1.6;83
4121;011170 Breakfast cereals;2020 October;104.66;101.78;0.6;0.6;0.1;0.1;83
4122;011170 Breakfast cereals;2020 November;104.97;102.08;0.3;0.3;2.6;2.6;83
4123;011170 Breakfast cereals;2020 December;105.81;102.9;0.8;0.8;4.0;4.0;83
4124;011170 Breakfast cereals;2020;104.74;101.86;;;1.8;1.8;83
4125;011170 Breakfast cereals;2021 January;101.49;98.7;-4.1;-4.1;1.3;1.3;100
4126;011170 Breakfast cereals;2021 February;106.46;103.53;4.9;4.9;2.1;2.2;100
4127;011170 Breakfast cereals;2021 March;106.13;103.21;-0.3;-0.3;1.9;1.9;100
4128;011170 Breakfast cereals;2021 April;106.63;103.69;0.5;0.5;0.9;0.9;100
4129;011170 Breakfast cereals;2021 May;106.4;103.47;-0.2;-0.2;0.8;0.8;100
4130;011170 Breakfast cereals;2021 June;106.23;103.31;-0.2;-0.2;0.5;0.5;100
4131;011170 Breakfast cereals;2021 July;107.38;104.43;1.1;1.1;1.2;1.2;100
4132;011170 Breakfast cereals;2021 August;108.01;105.04;0.6;0.6;1.8;1.9;100
4133;011170 Breakfast cereals;2021 September;104.76;101.88;-3.0;-3.0;0.7;0.7;100
4134;011170 Breakfast cereals;2021 October;108.2;105.22;3.3;3.3;3.4;3.4;100
4135;011170 Breakfast cereals;2021 November;108.39;105.41;0.2;0.2;3.3;3.3;100
4136;011170 Breakfast cereals;2021 December;107.62;104.66;-0.7;-0.7;1.7;1.7;100
4137;011170 Breakfast cereals;2021;106.48;103.55;;;1.7;1.7;100
4138;011170 Breakfast cereals;2022 January;105.28;102.38;-2.2;-2.2;3.7;3.7;91
4139;011170 Breakfast cereals;2022 February;110.97;107.91;5.4;5.4;4.2;4.2;91
4140;011170 Breakfast cereals;2022 March;110.46;107.42;-0.5;-0.5;4.1;4.1;91
4141;011170 Breakfast cereals;2022 April;112.55;109.46;1.9;1.9;5.6;5.6;91
4142;011170 Breakfast cereals;2022 May;112.84;109.73;0.3;0.2;6.1;6.1;91
4143;011170 Breakfast cereals;2022 June;115.89;112.7;2.7;2.7;9.1;9.1;91
4144;011170 Breakfast cereals;2022 July;117.65;114.41;1.5;1.5;9.6;9.6;91
4145;011170 Breakfast cereals;2022 August;119.63;116.34;1.7;1.7;10.8;10.8;91
4146;011170 Breakfast cereals;2022 September;117.8;114.55;-1.5;-1.5;12.4;12.4;91
4147;011170 Breakfast cereals;2022 October;119.62;116.33;1.5;1.6;10.6;10.6;91
4148;011170 Breakfast cereals;2022 November;122.9;119.52;2.7;2.7;13.4;13.4;91
4149;011170 Breakfast cereals;2022 December;125.42;121.97;2.1;2.0;16.5;16.5;91
4150;011170 Breakfast cereals;2022;115.92;112.73;;;8.9;8.9;91
4151;011170 Breakfast cereals;2023 January;126.34;122.86;0.7;0.7;20.0;20.0;105
4152;011170 Breakfast cereals;2023 February;131.3;127.69;3.9;3.9;18.3;18.3;105
4153;011170 Breakfast cereals;2023 March;131.16;127.55;-0.1;-0.1;18.7;18.7;105
4154;011170 Breakfast cereals;2023 April;132.97;129.31;1.4;1.4;18.1;18.1;105
4155;011170 Breakfast cereals;2023 May;136.82;133.05;2.9;2.9;21.3;21.3;105
4156;011170 Breakfast cereals;2023 June;130.9;127.29;-4.3;-4.3;13.0;12.9;105
4157;011170 Breakfast cereals;2023 July;134.46;130.76;2.7;2.7;14.3;14.3;105
4158;011170 Breakfast cereals;2023 August;134.89;131.18;0.3;0.3;12.8;12.8;105
4159;011170 Breakfast cereals;2023 September;131.61;127.98;-2.4;-2.4;11.7;11.7;105
4160;011170 Breakfast cereals;2023 October;134.46;130.76;2.2;2.2;12.4;12.4;105
4161;011170 Breakfast cereals;2023 November;130.41;126.82;-3.0;-3.0;6.1;6.1;105
4162;011170 Breakfast cereals;2023 December;133.12;129.46;2.1;2.1;6.1;6.1;105
4163;011170 Breakfast cereals;2023;132.37;128.73;;;14.2;14.2;105
4164;011170 Breakfast cereals;2024 January;130.76;127.16;-1.8;-1.8;3.5;3.5;81
4165;011170 Breakfast cereals;2024 February;130.5;126.91;-0.2;-0.2;-0.6;-0.6;81
4166;011170 Breakfast cereals;2024 March;131.05;127.44;0.4;0.4;-0.1;-0.1;81
4167;011170 Breakfast cereals;2024 April;128.95;125.4;-1.6;-1.6;-3.0;-3.0;81
4168;011170 Breakfast cereals;2024 May;128.42;124.89;-0.4;-0.4;-6.1;-6.1;81
4169;011170 Breakfast cereals;2024 June;132.85;129.2;3.4;3.5;1.5;1.5;81
4170;011170 Breakfast cereals;2024 July;133.26;129.59;0.3;0.3;-0.9;-0.9;81
4171;011170 Breakfast cereals;2024 August;128.16;124.63;-3.8;-3.8;-5.0;-5.0;81
4172;011170 Breakfast cereals;2024 September;132.81;129.16;3.6;3.6;0.9;0.9;81
4173;011170 Breakfast cereals;2024 October;130.35;126.76;-1.9;-1.9;-3.1;-3.1;81
4174;011170 Breakfast cereals;2024 November;131.98;128.35;1.3;1.3;1.2;1.2;81
4175;011170 Breakfast cereals;2024 December;134.52;130.82;1.9;1.9;1.1;1.1;81
4176;011170 Breakfast cereals;2024;131.13;127.53;;;-0.9;-0.9;81
4177;011170 Breakfast cereals;2025 January;133.16;129.49;-1.0;-1.0;1.8;1.8;90
4178;011170 Breakfast cereals;2025 February;135.96;132.22;2.1;2.1;4.2;4.2;90
4179;011170 Breakfast cereals;2025 March;134.93;131.22;-0.8;-0.8;3.0;3.0;90
4180;011180 Other cereal products;1996 January;;;;;;;0
4181;011180 Other cereal products;1996 February;;;;;;;0
4182;011180 Other cereal products;1996 March;;;;;;;0
4183;011180 Other cereal products;1996 April;;;;;;;0
4184;011180 Other cereal products;1996 May;;;;;;;0
4185;011180 Other cereal products;1996 June;;;;;;;0
4186;011180 Other cereal products;1996 July;;;;;;;0
4187;011180 Other cereal products;1996 August;;;;;;;0
4188;011180 Other cereal products;1996 September;;;;;;;0
4189;011180 Other cereal products;1996 October;;;;;;;0
4190;011180 Other cereal products;1996 November;;;;;;;0
4191;011180 Other cereal products;1996 December;;;;;;;0
4192;011180 Other cereal products;1996;;;;;;;0
4193;011180 Other cereal products;1997 January;;;;;;;0
4194;011180 Other cereal products;1997 February;;;;;;;0
4195;011180 Other cereal products;1997 March;;;;;;;0
4196;011180 Other cereal products;1997 April;;;;;;;0
4197;011180 Other cereal products;1997 May;;;;;;;0
4198;011180 Other cereal products;1997 June;;;;;;;0
4199;011180 Other cereal products;1997 July;;;;;;;0
4200;011180 Other cereal products;1997 August;;;;;;;0
4201;011180 Other cereal products;1997 September;;;;;;;0
4202;011180 Other cereal products;1997 October;;;;;;;0
4203;011180 Other cereal products;1997 November;;;;;;;0
4204;011180 Other cereal products;1997 December;;;;;;;0
4205;011180 Other cereal products;1997;;;;;;;0
4206;011180 Other cereal products;1998 January;;;;;;;0
4207;011180 Other cereal products;1998 February;;;;;;;0
4208;011180 Other cereal products;1998 March;;;;;;;0
4209;011180 Other cereal products;1998 April;;;;;;;0
4210;011180 Other cereal products;1998 May;;;;;;;0
4211;011180 Other cereal products;1998 June;;;;;;;0
4212;011180 Other cereal products;1998 July;;;;;;;0
4213;011180 Other cereal products;1998 August;;;;;;;0
4214;011180 Other cereal products;1998 September;;;;;;;0
4215;011180 Other cereal products;1998 October;;;;;;;0
4216;011180 Other cereal products;1998 November;;;;;;;0
4217;011180 Other cereal products;1998 December;;;;;;;0
4218;011180 Other cereal products;1998;;;;;;;0
4219;011180 Other cereal products;1999 January;;;;;;;0
4220;011180 Other cereal products;1999 February;;;;;;;0
4221;011180 Other cereal products;1999 March;;;;;;;0
4222;011180 Other cereal products;1999 April;;;;;;;0
4223;011180 Other cereal products;1999 May;;;;;;;0
4224;011180 Other cereal products;1999 June;;;;;;;0
4225;011180 Other cereal products;1999 July;;;;;;;0
4226;011180 Other cereal products;1999 August;;;;;;;0
4227;011180 Other cereal products;1999 September;;;;;;;0
4228;011180 Other cereal products;1999 October;;;;;;;0
4229;011180 Other cereal products;1999 November;;;;;;;0
4230;011180 Other cereal products;1999 December;;;;;;;0
4231;011180 Other cereal products;1999;;;;;;;0
4232;011180 Other cereal products;2000 January;;;;;;;0
4233;011180 Other cereal products;2000 February;;;;;;;0
4234;011180 Other cereal products;2000 March;;;;;;;0
4235;011180 Other cereal products;2000 April;;;;;;;0
4236;011180 Other cereal products;2000 May;;;;;;;0
4237;011180 Other cereal products;2000 June;;;;;;;0
4238;011180 Other cereal products;2000 July;;;;;;;0
4239;011180 Other cereal products;2000 August;;;;;;;0
4240;011180 Other cereal products;2000 September;;;;;;;0
4241;011180 Other cereal products;2000 October;;;;;;;0
4242;011180 Other cereal products;2000 November;;;;;;;0
4243;011180 Other cereal products;2000 December;;;;;;;0
4244;011180 Other cereal products;2000;;;;;;;0
4245;011180 Other cereal products;2001 January;;;;;;;0
4246;011180 Other cereal products;2001 February;;;;;;;0
4247;011180 Other cereal products;2001 March;;;;;;;0
4248;011180 Other cereal products;2001 April;;;;;;;0
4249;011180 Other cereal products;2001 May;;;;;;;0
4250;011180 Other cereal products;2001 June;;;;;;;0
4251;011180 Other cereal products;2001 July;;;;;;;0
4252;011180 Other cereal products;2001 August;;;;;;;0
4253;011180 Other cereal products;2001 September;;;;;;;0
4254;011180 Other cereal products;2001 October;;;;;;;0
4255;011180 Other cereal products;2001 November;;;;;;;0
4256;011180 Other cereal products;2001 December;;;;;;;0
4257;011180 Other cereal products;2001;;;;;;;0
4258;011180 Other cereal products;2002 January;;;;;;;0
4259;011180 Other cereal products;2002 February;;;;;;;0
4260;011180 Other cereal products;2002 March;;;;;;;0
4261;011180 Other cereal products;2002 April;;;;;;;0
4262;011180 Other cereal products;2002 May;;;;;;;0
4263;011180 Other cereal products;2002 June;;;;;;;0
4264;011180 Other cereal products;2002 July;;;;;;;0
4265;011180 Other cereal products;2002 August;;;;;;;0
4266;011180 Other cereal products;2002 September;;;;;;;0
4267;011180 Other cereal products;2002 October;;;;;;;0
4268;011180 Other cereal products;2002 November;;;;;;;0
4269;011180 Other cereal products;2002 December;;;;;;;0
4270;011180 Other cereal products;2002;;;;;;;0
4271;011180 Other cereal products;2003 January;;;;;;;0
4272;011180 Other cereal products;2003 February;;;;;;;0
4273;011180 Other cereal products;2003 March;;;;;;;0
4274;011180 Other cereal products;2003 April;;;;;;;0
4275;011180 Other cereal products;2003 May;;;;;;;0
4276;011180 Other cereal products;2003 June;;;;;;;0
4277;011180 Other cereal products;2003 July;;;;;;;0
4278;011180 Other cereal products;2003 August;;;;;;;0
4279;011180 Other cereal products;2003 September;;;;;;;0
4280;011180 Other cereal products;2003 October;;;;;;;0
4281;011180 Other cereal products;2003 November;;;;;;;0
4282;011180 Other cereal products;2003 December;;;;;;;0
4283;011180 Other cereal products;2003;;;;;;;0
4284;011180 Other cereal products;2004 January;;;;;;;0
4285;011180 Other cereal products;2004 February;;;;;;;0
4286;011180 Other cereal products;2004 March;;;;;;;0
4287;011180 Other cereal products;2004 April;;;;;;;0
4288;011180 Other cereal products;2004 May;;;;;;;0
4289;011180 Other cereal products;2004 June;;;;;;;0
4290;011180 Other cereal products;2004 July;;;;;;;0
4291;011180 Other cereal products;2004 August;;;;;;;0
4292;011180 Other cereal products;2004 September;;;;;;;0
4293;011180 Other cereal products;2004 October;;;;;;;0
4294;011180 Other cereal products;2004 November;;;;;;;0
4295;011180 Other cereal products;2004 December;;;;;;;0
4296;011180 Other cereal products;2004;;;;;;;0
4297;011180 Other cereal products;2005 January;;;;;;;0
4298;011180 Other cereal products;2005 February;;;;;;;0
4299;011180 Other cereal products;2005 March;;;;;;;0
4300;011180 Other cereal products;2005 April;;;;;;;0
4301;011180 Other cereal products;2005 May;;;;;;;0
4302;011180 Other cereal products;2005 June;;;;;;;0
4303;011180 Other cereal products;2005 July;;;;;;;0
4304;011180 Other cereal products;2005 August;;;;;;;0
4305;011180 Other cereal products;2005 September;;;;;;;0
4306;011180 Other cereal products;2005 October;;;;;;;0
4307;011180 Other cereal products;2005 November;;;;;;;0
4308;011180 Other cereal products;2005 December;;;;;;;0
4309;011180 Other cereal products;2005;;;;;;;0
4310;011180 Other cereal products;2006 January;;;;;;;0
4311;011180 Other cereal products;2006 February;;;;;;;0
4312;011180 Other cereal products;2006 March;;;;;;;0
4313;011180 Other cereal products;2006 April;;;;;;;0
4314;011180 Other cereal products;2006 May;;;;;;;0
4315;011180 Other cereal products;2006 June;;;;;;;0
4316;011180 Other cereal products;2006 July;;;;;;;0
4317;011180 Other cereal products;2006 August;;;;;;;0
4318;011180 Other cereal products;2006 September;;;;;;;0
4319;011180 Other cereal products;2006 October;;;;;;;0
4320;011180 Other cereal products;2006 November;;;;;;;0
4321;011180 Other cereal products;2006 December;;;;;;;0
4322;011180 Other cereal products;2006;;;;;;;0
4323;011180 Other cereal products;2007 January;;;;;;;0
4324;011180 Other cereal products;2007 February;;;;;;;0
4325;011180 Other cereal products;2007 March;;;;;;;0
4326;011180 Other cereal products;2007 April;;;;;;;0
4327;011180 Other cereal products;2007 May;;;;;;;0
4328;011180 Other cereal products;2007 June;;;;;;;0
4329;011180 Other cereal products;2007 July;;;;;;;0
4330;011180 Other cereal products;2007 August;;;;;;;0
4331;011180 Other cereal products;2007 September;;;;;;;0
4332;011180 Other cereal products;2007 October;;;;;;;0
4333;011180 Other cereal products;2007 November;;;;;;;0
4334;011180 Other cereal products;2007 December;;;;;;;0
4335;011180 Other cereal products;2007;;;;;;;0
4336;011180 Other cereal products;2008 January;;;;;;;0
4337;011180 Other cereal products;2008 February;;;;;;;0
4338;011180 Other cereal products;2008 March;;;;;;;0
4339;011180 Other cereal products;2008 April;;;;;;;0
4340;011180 Other cereal products;2008 May;;;;;;;0
4341;011180 Other cereal products;2008 June;;;;;;;0
4342;011180 Other cereal products;2008 July;;;;;;;0
4343;011180 Other cereal products;2008 August;;;;;;;0
4344;011180 Other cereal products;2008 September;;;;;;;0
4345;011180 Other cereal products;2008 October;;;;;;;0
4346;011180 Other cereal products;2008 November;;;;;;;0
4347;011180 Other cereal products;2008 December;;;;;;;0
4348;011180 Other cereal products;2008;;;;;;;0
