ID;EnvironmentalDomains;IndustriesSIC2008;Periods;LabourInputOfEmployedPersons_1;OutputAtBasicPrices_2;GrossValueAddedAtBasicPrices_3;ExportAtBasicPrices_4
739;2. Management of natural resources, tot.;D Energy supply;2005;0.4;657.0;507.0;
740;2. Management of natural resources, tot.;D Energy supply;2006;0.5;732.0;563.0;
741;2. Management of natural resources, tot.;D Energy supply;2007;0.5;678.0;500.0;
742;2. Management of natural resources, tot.;D Energy supply;2008;0.6;938.0;699.0;
743;2. Management of natural resources, tot.;D Energy supply;2009;0.7;1108.0;772.0;
744;2. Management of natural resources, tot.;D Energy supply;2010;0.8;1056.0;711.0;
745;2. Management of natural resources, tot.;D Energy supply;2011;1.0;1642.0;799.0;
746;2. Management of natural resources, tot.;D Energy supply;2012;0.9;1155.0;801.0;
747;2. Management of natural resources, tot.;D Energy supply;2013;1.0;1124.0;842.0;
748;2. Management of natural resources, tot.;D Energy supply;2014;1.0;1053.0;825.0;1.0
749;2. Management of natural resources, tot.;D Energy supply;2015;1.2;1165.0;901.0;1.0
750;2. Management of natural resources, tot.;D Energy supply;2016;1.4;1255.0;910.0;2.0
751;2. Management of natural resources, tot.;D Energy supply;2017;1.5;1564.0;1141.0;2.0
752;2. Management of natural resources, tot.;D Energy supply;2018;1.8;1708.0;1256.0;3.0
753;2. Management of natural resources, tot.;D Energy supply;2019;2.3;2292.0;1875.0;7.0
754;2. Management of natural resources, tot.;D Energy supply;2020;3.5;2811.0;2130.0;24.0
755;2. Management of natural resources, tot.;D Energy supply;2021;4.2;2773.0;2000.0;9.0
756;2. Management of natural resources, tot.;E Water supply and waste management;2001;2.8;872.0;175.0;
757;2. Management of natural resources, tot.;E Water supply and waste management;2002;3.0;946.0;193.0;
758;2. Management of natural resources, tot.;E Water supply and waste management;2003;3.1;1033.0;230.0;
759;2. Management of natural resources, tot.;E Water supply and waste management;2004;3.0;1202.0;269.0;
760;2. Management of natural resources, tot.;E Water supply and waste management;2005;3.0;1305.0;283.0;
761;2. Management of natural resources, tot.;E Water supply and waste management;2006;2.9;1511.0;357.0;
762;2. Management of natural resources, tot.;E Water supply and waste management;2007;2.9;1586.0;342.0;
763;2. Management of natural resources, tot.;E Water supply and waste management;2008;3.0;1753.0;342.0;
764;2. Management of natural resources, tot.;E Water supply and waste management;2009;3.2;1570.0;296.0;
765;2. Management of natural resources, tot.;E Water supply and waste management;2010;3.2;1942.0;343.0;
766;2. Management of natural resources, tot.;E Water supply and waste management;2011;3.7;2474.0;454.0;
767;2. Management of natural resources, tot.;E Water supply and waste management;2012;4.0;2600.0;493.0;
768;2. Management of natural resources, tot.;E Water supply and waste management;2013;4.1;2457.0;456.0;
769;2. Management of natural resources, tot.;E Water supply and waste management;2014;4.8;2812.0;543.0;515.0
770;2. Management of natural resources, tot.;E Water supply and waste management;2015;4.0;2656.0;554.0;496.0
771;2. Management of natural resources, tot.;E Water supply and waste management;2016;4.1;2824.0;653.0;535.0
772;2. Management of natural resources, tot.;E Water supply and waste management;2017;4.1;3063.0;730.0;580.0
773;2. Management of natural resources, tot.;E Water supply and waste management;2018;4.7;3364.0;823.0;674.0
774;2. Management of natural resources, tot.;E Water supply and waste management;2019;4.8;3592.0;829.0;701.0
775;2. Management of natural resources, tot.;E Water supply and waste management;2020;4.9;3475.0;819.0;694.0
776;2. Management of natural resources, tot.;E Water supply and waste management;2021;5.3;4224.0;855.0;867.0
777;2. Management of natural resources, tot.;F Construction;2001;23.2;2271.0;1076.0;
778;2. Management of natural resources, tot.;F Construction;2002;21.5;2142.0;1027.0;
779;2. Management of natural resources, tot.;F Construction;2003;17.9;1856.0;895.0;
780;2. Management of natural resources, tot.;F Construction;2004;15.5;1651.0;787.0;
781;2. Management of natural resources, tot.;F Construction;2005;14.6;1596.0;758.0;
782;2. Management of natural resources, tot.;F Construction;2006;16.9;2067.0;896.0;
783;2. Management of natural resources, tot.;F Construction;2007;18.1;2305.0;1004.0;
784;2. Management of natural resources, tot.;F Construction;2008;18.1;2514.0;1112.0;
785;2. Management of natural resources, tot.;F Construction;2009;18.5;2562.0;1110.0;
786;2. Management of natural resources, tot.;F Construction;2010;19.5;2543.0;1069.0;
787;2. Management of natural resources, tot.;F Construction;2011;25.2;3404.0;1365.0;
788;2. Management of natural resources, tot.;F Construction;2012;24.1;2997.0;1225.0;
789;2. Management of natural resources, tot.;F Construction;2013;26.0;3150.0;1281.0;
790;2. Management of natural resources, tot.;F Construction;2014;26.5;3606.0;1496.0;283.0
791;2. Management of natural resources, tot.;F Construction;2015;28.9;3645.0;1603.0;363.0
792;2. Management of natural resources, tot.;F Construction;2016;32.9;4079.0;1764.0;253.0
793;2. Management of natural resources, tot.;F Construction;2017;35.8;4714.0;2074.0;247.0
794;2. Management of natural resources, tot.;F Construction;2018;38.0;4139.0;1822.0;204.0
795;2. Management of natural resources, tot.;F Construction;2019;43.3;4141.0;1689.0;175.0
796;2. Management of natural resources, tot.;F Construction;2020;52.5;4874.0;2120.0;169.0
797;2. Management of natural resources, tot.;F Construction;2021;54.2;5254.0;2233.0;161.0
798;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2001;1.5;370.0;147.0;
799;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2002;1.5;389.0;153.0;
800;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2003;1.8;436.0;178.0;
801;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2004;1.6;397.0;167.0;
802;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2005;1.7;414.0;177.0;
803;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2006;1.9;418.0;197.0;
804;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2007;2.1;467.0;233.0;
805;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2008;2.4;535.0;268.0;
806;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2009;2.3;437.0;202.0;
807;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2010;2.5;543.0;276.0;
808;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2011;2.3;516.0;247.0;
809;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2012;2.3;1028.0;301.0;
810;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2013;2.3;456.0;254.0;
811;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2014;2.1;457.0;239.0;1263.0
812;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2015;2.0;482.0;272.0;1470.0
813;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2016;2.2;496.0;275.0;1440.0
814;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2017;2.2;528.0;261.0;923.0
815;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2018;2.4;568.0;316.0;678.0
816;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2019;2.3;655.0;377.0;773.0
817;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2020;2.5;790.0;447.0;743.0
818;2. Management of natural resources, tot.;G-I Trade, transport, hotels, catering;2021;2.6;883.0;475.0;1020.0
819;2. Management of natural resources, tot.;J Information and communication;2001;0.0;29.0;11.0;
820;2. Management of natural resources, tot.;J Information and communication;2002;0.1;33.0;12.0;
821;2. Management of natural resources, tot.;J Information and communication;2003;0.0;33.0;11.0;
822;2. Management of natural resources, tot.;J Information and communication;2004;0.0;35.0;12.0;
823;2. Management of natural resources, tot.;J Information and communication;2005;0.1;32.0;12.0;
824;2. Management of natural resources, tot.;J Information and communication;2006;0.1;31.0;12.0;
825;2. Management of natural resources, tot.;J Information and communication;2007;0.0;34.0;13.0;
826;2. Management of natural resources, tot.;J Information and communication;2008;0.1;43.0;16.0;
827;2. Management of natural resources, tot.;J Information and communication;2009;0.1;47.0;7.0;
828;2. Management of natural resources, tot.;J Information and communication;2010;0.1;41.0;15.0;
829;2. Management of natural resources, tot.;J Information and communication;2011;0.1;43.0;17.0;
830;2. Management of natural resources, tot.;J Information and communication;2012;0.1;30.0;12.0;
831;2. Management of natural resources, tot.;J Information and communication;2013;0.1;26.0;9.0;
832;2. Management of natural resources, tot.;J Information and communication;2014;0.1;29.0;11.0;2.0
833;2. Management of natural resources, tot.;J Information and communication;2015;0.1;23.0;7.0;2.0
834;2. Management of natural resources, tot.;J Information and communication;2016;0.1;18.0;5.0;3.0
835;2. Management of natural resources, tot.;J Information and communication;2017;0.1;19.0;10.0;2.0
836;2. Management of natural resources, tot.;J Information and communication;2018;0.1;22.0;10.0;13.0
837;2. Management of natural resources, tot.;J Information and communication;2019;0.1;26.0;11.0;17.0
838;2. Management of natural resources, tot.;J Information and communication;2020;0.1;34.0;12.0;11.0
839;2. Management of natural resources, tot.;J Information and communication;2021;0.1;28.0;13.0;11.0
840;2. Management of natural resources, tot.;K Financial institutions;2001;0.1;24.0;9.0;
841;2. Management of natural resources, tot.;K Financial institutions;2002;0.1;27.0;10.0;
842;2. Management of natural resources, tot.;K Financial institutions;2003;0.1;26.0;9.0;
843;2. Management of natural resources, tot.;K Financial institutions;2004;0.1;28.0;10.0;
844;2. Management of natural resources, tot.;K Financial institutions;2005;0.1;26.0;9.0;
845;2. Management of natural resources, tot.;K Financial institutions;2006;0.1;25.0;9.0;
846;2. Management of natural resources, tot.;K Financial institutions;2007;0.1;28.0;10.0;
847;2. Management of natural resources, tot.;K Financial institutions;2008;0.3;90.0;43.0;
848;2. Management of natural resources, tot.;K Financial institutions;2009;0.3;81.0;28.0;
849;2. Management of natural resources, tot.;K Financial institutions;2010;0.3;81.0;39.0;
850;2. Management of natural resources, tot.;K Financial institutions;2011;0.3;95.0;49.0;
851;2. Management of natural resources, tot.;K Financial institutions;2012;0.6;164.0;87.0;
852;2. Management of natural resources, tot.;K Financial institutions;2013;0.4;103.0;53.0;
853;2. Management of natural resources, tot.;K Financial institutions;2014;1.1;309.0;167.0;16.0
854;2. Management of natural resources, tot.;K Financial institutions;2015;1.7;481.0;263.0;13.0
855;2. Management of natural resources, tot.;K Financial institutions;2016;0.9;255.0;136.0;19.0
856;2. Management of natural resources, tot.;K Financial institutions;2017;1.1;328.0;175.0;1.0
857;2. Management of natural resources, tot.;K Financial institutions;2018;2.0;576.0;311.0;0.0
858;2. Management of natural resources, tot.;K Financial institutions;2019;3.0;844.0;460.0;0.0
859;2. Management of natural resources, tot.;K Financial institutions;2020;3.0;853.0;466.0;2.0
860;2. Management of natural resources, tot.;K Financial institutions;2021;3.1;871.0;474.0;0.0
861;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2001;;;;
862;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2002;;;;
863;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2003;;;;
864;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2004;;;;
865;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2005;;;;
866;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2006;;;;
867;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2007;;;;
868;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2008;;;;
869;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2009;;;;
870;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2010;;;;
871;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2011;;;;
872;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2012;;;;
873;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2013;;;;
874;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2014;;;;
875;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2015;;;;
876;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2016;;;;
877;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2017;;;;
878;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2018;;;;
879;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2019;;;;
880;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2020;;;;
881;2. Management of natural resources, tot.;L Renting, buying, selling real estate;2021;;;;
882;2. Management of natural resources, tot.;M-N Business services;2001;2.0;269.0;120.0;
883;2. Management of natural resources, tot.;M-N Business services;2002;2.3;316.0;142.0;
884;2. Management of natural resources, tot.;M-N Business services;2003;1.9;268.0;117.0;
885;2. Management of natural resources, tot.;M-N Business services;2004;2.5;354.0;155.0;
886;2. Management of natural resources, tot.;M-N Business services;2005;2.3;339.0;149.0;
887;2. Management of natural resources, tot.;M-N Business services;2006;2.2;329.0;153.0;
888;2. Management of natural resources, tot.;M-N Business services;2007;2.4;368.0;171.0;
889;2. Management of natural resources, tot.;M-N Business services;2008;2.9;482.0;214.0;
890;2. Management of natural resources, tot.;M-N Business services;2009;2.5;374.0;172.0;
891;2. Management of natural resources, tot.;M-N Business services;2010;2.8;445.0;194.0;
892;2. Management of natural resources, tot.;M-N Business services;2011;2.7;431.0;205.0;
893;2. Management of natural resources, tot.;M-N Business services;2012;2.8;461.0;219.0;
894;2. Management of natural resources, tot.;M-N Business services;2013;2.9;623.0;236.0;
895;2. Management of natural resources, tot.;M-N Business services;2014;2.8;601.0;231.0;386.0
896;2. Management of natural resources, tot.;M-N Business services;2015;2.8;526.0;228.0;397.0
897;2. Management of natural resources, tot.;M-N Business services;2016;3.1;642.0;284.0;420.0
898;2. Management of natural resources, tot.;M-N Business services;2017;3.0;659.0;267.0;448.0
899;2. Management of natural resources, tot.;M-N Business services;2018;3.2;941.0;291.0;676.0
900;2. Management of natural resources, tot.;M-N Business services;2019;3.3;1100.0;367.0;825.0
901;2. Management of natural resources, tot.;M-N Business services;2020;3.5;1212.0;384.0;742.0
902;2. Management of natural resources, tot.;M-N Business services;2021;3.4;1748.0;477.0;757.0
903;2. Management of natural resources, tot.;O-Q Government and care;2001;3.5;592.0;340.0;
904;2. Management of natural resources, tot.;O-Q Government and care;2002;3.5;607.0;362.0;
905;2. Management of natural resources, tot.;O-Q Government and care;2003;4.0;686.0;410.0;
906;2. Management of natural resources, tot.;O-Q Government and care;2004;4.2;793.0;453.0;
907;2. Management of natural resources, tot.;O-Q Government and care;2005;3.9;799.0;464.0;
908;2. Management of natural resources, tot.;O-Q Government and care;2006;3.9;797.0;473.0;
909;2. Management of natural resources, tot.;O-Q Government and care;2007;3.8;811.0;471.0;
910;2. Management of natural resources, tot.;O-Q Government and care;2008;3.6;847.0;469.0;
911;2. Management of natural resources, tot.;O-Q Government and care;2009;3.6;899.0;487.0;
912;2. Management of natural resources, tot.;O-Q Government and care;2010;3.7;948.0;508.0;
913;2. Management of natural resources, tot.;O-Q Government and care;2011;4.0;1028.0;566.0;
914;2. Management of natural resources, tot.;O-Q Government and care;2012;4.0;1112.0;610.0;
915;2. Management of natural resources, tot.;O-Q Government and care;2013;5.6;1407.0;795.0;
916;2. Management of natural resources, tot.;O-Q Government and care;2014;7.2;1565.0;947.0;0.0
917;2. Management of natural resources, tot.;O-Q Government and care;2015;7.4;1500.0;950.0;0.0
918;2. Management of natural resources, tot.;O-Q Government and care;2016;7.1;1703.0;1038.0;0.0
919;2. Management of natural resources, tot.;O-Q Government and care;2017;7.1;1744.0;1038.0;0.0
920;2. Management of natural resources, tot.;O-Q Government and care;2018;8.3;1807.0;1161.0;0.0
921;2. Management of natural resources, tot.;O-Q Government and care;2019;8.5;1874.0;1203.0;0.0
922;2. Management of natural resources, tot.;O-Q Government and care;2020;9.0;1985.0;1257.0;0.0
923;2. Management of natural resources, tot.;O-Q Government and care;2021;8.6;1999.0;1238.0;0.0
924;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2001;;;;
925;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2002;;;;
926;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2003;;;;
927;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2004;;;;
928;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2005;;;;
929;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2006;;;;
930;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2007;;;;
931;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2008;;;;
932;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2009;;;;
933;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2010;;;;
934;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2011;;;;
935;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2012;;;;
936;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2013;;;;
937;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2014;;;;
938;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2015;;;;
939;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2016;;;;
940;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2017;;;;
941;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2018;;;;
942;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2019;;;;
943;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2020;;;;
944;2. Management of natural resources, tot.;R-U Culture, recreation, other services;2021;;;;
