ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
334;C Manufacturing;2010;45565;20340;6085;4425;4940;3920;3270;1270;1315;26595;18970
335;10 Manufacture of food products;2006;4105;480;680;655;950;565;400;180;200;2560;1545
336;10 Manufacture of food products;2007;4075;525;490;670;1010;590;425;175;195;2545;1530
337;10 Manufacture of food products;2008;4105;650;540;680;955;555;380;165;180;2510;1595
338;10 Manufacture of food products;2009;4225;710;590;610;910;620;405;180;200;2620;1605
339;10 Manufacture of food products;2010;4175;735;590;590;890;615;390;180;190;2565;1610
340;101 Slaughtering, processing of meat;2006;515;115;85;60;70;55;60;30;35;260;255
341;101 Slaughtering, processing of meat;2007;495;130;65;50;75;55;65;25;30;250;245
342;101 Slaughtering, processing of meat;2008;490;145;55;60;65;60;50;30;30;240;250
343;101 Slaughtering, processing of meat;2009;505;150;70;45;65;65;45;30;30;260;245
344;101 Slaughtering, processing of meat;2010;495;155;70;45;60;60;45;35;30;250;245
345;1011 Slaughterhouses (no poultry);2006;280;80;55;40;35;25;25;10;15;185;95
346;1011 Slaughterhouses (no poultry);2007;275;95;45;35;35;25;30;5;10;180;95
347;1011 Slaughterhouses (no poultry);2008;270;105;40;35;30;25;20;10;10;175;95
348;1011 Slaughterhouses (no poultry);2009;270;110;40;30;30;30;20;10;10;175;95
349;1011 Slaughterhouses (no poultry);2010;270;115;40;30;25;25;15;10;10;175;95
350;1012 Slaughterhouses (poultry);2006;55;5;5;0;10;5;15;10;10;15;45
351;1012 Slaughterhouses (poultry);2007;50;5;5;0;5;5;10;10;10;10;40
352;1012 Slaughterhouses (poultry);2008;50;5;0;5;10;5;10;10;5;10;40
353;1012 Slaughterhouses (poultry);2009;50;5;5;0;10;5;10;10;10;10;40
354;1012 Slaughterhouses (poultry);2010;50;5;0;0;10;5;10;10;10;10;40
355;1013 Processing of meat (no dishes);2006;180;30;25;20;30;30;20;10;10;60;115
356;1013 Processing of meat (no dishes);2007;170;30;20;15;30;30;25;10;10;60;110
357;1013 Processing of meat (no dishes);2008;170;35;15;20;30;30;20;10;10;60;110
358;1013 Processing of meat (no dishes);2009;185;35;30;15;30;30;20;10;10;75;110
359;1013 Processing of meat (no dishes);2010;180;40;30;15;25;30;20;15;10;70;110
360;102 Processing of fish;2006;120;20;15;10;20;20;15;10;10;50;70
361;102 Processing of fish;2007;125;25;10;15;30;15;20;5;10;55;70
362;102 Processing of fish;2008;115;20;10;10;25;20;20;10;0;45;70
363;102 Processing of fish;2009;120;25;15;10;25;10;20;10;5;50;70
364;102 Processing of fish;2010;125;30;15;10;25;10;20;10;5;55;70
365;1020 Processing of fish;2006;120;20;15;10;20;20;15;10;10;50;70
366;1020 Processing of fish;2007;125;25;10;15;30;15;20;5;10;55;70
367;1020 Processing of fish;2008;115;20;10;10;25;20;20;10;0;45;70
368;1020 Processing of fish;2009;120;25;15;10;25;10;20;10;5;50;70
369;1020 Processing of fish;2010;125;30;15;10;25;10;20;10;5;55;70
370;103  Processing of vegetables and fruit;2006;135;20;15;10;15;15;20;10;25;40;95
371;103  Processing of vegetables and fruit;2007;135;25;10;10;15;20;20;15;25;40;95
372;103  Processing of vegetables and fruit;2008;130;30;10;10;10;20;20;10;25;35;95
373;103  Processing of vegetables and fruit;2009;140;35;15;10;10;15;20;10;25;45;95
374;103  Processing of vegetables and fruit;2010;140;35;15;5;10;15;20;10;25;45;95
375;1031 Processing of potatoes;2006;30;5;5;5;5;0;5;5;5;10;20
376;1031 Processing of potatoes;2007;30;5;5;5;5;5;5;5;5;10;20
377;1031 Processing of potatoes;2008;30;10;0;5;0;0;0;5;10;10;20
378;1031 Processing of potatoes;2009;25;5;5;0;0;5;0;0;10;10;15
379;1031 Processing of potatoes;2010;25;5;5;0;0;5;0;0;10;10;15
380;1032 Manufacture of fruit juice;2006;10;0;5;0;5;0;0;0;0;5;5
381;1032 Manufacture of fruit juice;2007;10;0;5;0;0;0;0;0;0;5;5
382;1032 Manufacture of fruit juice;2008;15;5;5;0;0;0;0;0;0;5;10
383;1032 Manufacture of fruit juice;2009;15;5;5;0;0;0;0;0;5;10;10
384;1032 Manufacture of fruit juice;2010;20;5;5;0;0;0;0;0;5;10;10
385;1039 Other processing vegetables, fruit;2006;90;15;10;5;10;15;15;5;15;25;65
386;1039 Other processing vegetables, fruit;2007;95;20;5;10;10;15;15;10;15;25;65
387;1039 Other processing vegetables, fruit;2008;90;15;5;5;10;15;15;10;15;20;65
388;1039 Other processing vegetables, fruit;2009;100;20;5;5;10;15;20;10;15;30;70
389;1039 Other processing vegetables, fruit;2010;95;25;5;5;10;10;15;10;15;25;70
390;104 Manufacture of edible oils and fats;2006;25;5;0;5;0;5;5;5;5;5;25
391;104 Manufacture of edible oils and fats;2007;30;5;0;5;5;5;5;5;5;5;25
392;104 Manufacture of edible oils and fats;2008;35;10;0;5;5;5;5;0;5;5;30
393;104 Manufacture of edible oils and fats;2009;35;10;0;0;5;5;5;5;5;5;30
394;104 Manufacture of edible oils and fats;2010;35;10;0;0;5;5;5;5;5;5;30
395;1041 Manufacture of oils and fats;2006;20;5;0;5;0;5;5;0;5;5;20
396;1041 Manufacture of oils and fats;2007;25;5;0;5;5;5;0;5;5;5;20
397;1041 Manufacture of oils and fats;2008;25;10;0;5;5;0;5;0;5;5;25
398;1041 Manufacture of oils and fats;2009;25;10;0;0;5;0;5;0;5;5;25
399;1041 Manufacture of oils and fats;2010;30;10;0;0;5;0;5;0;5;5;25
400;1042 Manufacture of margarine;2006;5;0;0;0;0;0;0;0;0;0;5
401;1042 Manufacture of margarine;2007;5;0;0;0;0;0;0;0;5;0;5
402;1042 Manufacture of margarine;2008;5;0;0;0;0;0;0;0;5;0;5
403;1042 Manufacture of margarine;2009;5;0;0;0;0;0;0;0;5;0;5
404;1042 Manufacture of margarine;2010;5;0;0;0;0;0;0;0;5;0;5
405;105 Manufacture of dairy products;2006;260;40;125;25;20;10;15;10;15;175;90
406;105 Manufacture of dairy products;2007;260;45;75;65;25;10;15;10;10;180;85
407;105 Manufacture of dairy products;2008;255;55;75;60;20;15;15;10;10;175;85
408;105 Manufacture of dairy products;2009;270;55;75;55;20;20;15;15;15;185;85
409;105 Manufacture of dairy products;2010;275;55;80;55;20;20;15;15;15;185;90
410;1051 Operation of dairies, no ice cream;2006;175;20;85;15;10;10;10;10;15;110;65
411;1051 Operation of dairies, no ice cream;2007;170;20;45;50;20;5;10;10;10;110;60
412;1051 Operation of dairies, no ice cream;2008;170;25;45;50;15;10;10;10;10;115;60
413;1051 Operation of dairies, no ice cream;2009;180;25;50;45;10;15;10;10;10;120;60
414;1051 Operation of dairies, no ice cream;2010;190;25;55;45;10;15;10;15;15;125;65
415;1052 Manufacture of ice cream;2006;90;20;35;10;10;5;5;5;0;65;20
416;1052 Manufacture of ice cream;2007;90;25;30;20;5;0;5;0;0;65;25
417;1052 Manufacture of ice cream;2008;85;30;30;10;5;0;5;0;0;60;25
418;1052 Manufacture of ice cream;2009;90;30;25;10;10;5;5;0;0;65;25
419;1052 Manufacture of ice cream;2010;85;30;25;10;10;5;5;0;0;60;25
420;106 Grain milling and starch products;2006;105;30;20;20;10;10;5;5;5;55;50
421;106 Grain milling and starch products;2007;105;35;15;20;10;10;10;5;5;55;50
422;106 Grain milling and starch products;2008;105;35;15;15;10;5;10;5;5;50;55
423;106 Grain milling and starch products;2009;100;35;20;15;10;5;5;0;5;50;50
424;106 Grain milling and starch products;2010;100;35;20;15;10;5;5;0;5;50;50
425;1061 Manufacture of grain mill products;2006;95;30;20;20;10;10;5;5;0;50;40
426;1061 Manufacture of grain mill products;2007;95;30;15;20;10;10;5;5;0;55;40
427;1061 Manufacture of grain mill products;2008;95;35;15;15;10;5;5;5;5;50;45
428;1061 Manufacture of grain mill products;2009;90;35;20;15;5;5;5;0;5;50;40
429;1061 Manufacture of grain mill products;2010;90;35;20;15;5;5;5;0;5;50;40
430;1062 Manufacture of starches;2006;10;0;0;0;0;0;5;0;5;0;10
431;1062 Manufacture of starches;2007;10;0;0;0;0;0;5;0;5;0;10
432;1062 Manufacture of starches;2008;10;0;0;0;0;0;5;0;5;0;10
433;1062 Manufacture of starches;2009;10;0;0;0;0;0;5;0;5;0;10
434;1062 Manufacture of starches;2010;10;0;0;0;0;0;0;0;5;0;10
435;107 Manufacture of bakery products;2006;2330;130;335;465;730;380;185;65;35;1790;540
436;107 Manufacture of bakery products;2007;2305;140;245;440;770;405;195;65;40;1770;535
437;107 Manufacture of bakery products;2008;2340;205;300;460;745;360;175;50;40;1755;580
438;107 Manufacture of bakery products;2009;2405;235;310;420;710;430;205;55;45;1810;595
439;107 Manufacture of bakery products;2010;2345;235;305;400;695;425;190;55;35;1755;590
440;1071 Manufacture of bread, fresh pastry;2006;2180;110;315;455;710;365;165;45;25;1735;445
441;1071 Manufacture of bread, fresh pastry;2007;2160;120;230;425;755;385;175;45;25;1720;440
442;1071 Manufacture of bread, fresh pastry;2008;2190;175;280;450;730;345;145;35;25;1705;485
443;1071 Manufacture of bread, fresh pastry;2009;2260;200;295;405;695;410;180;40;25;1755;505
444;1071 Manufacture of bread, fresh pastry;2010;2205;205;290;385;685;405;175;40;20;1700;505
445;1072 Manufacture of preserved pastry;2006;140;20;20;5;20;20;20;20;15;50;90
446;1072 Manufacture of preserved pastry;2007;135;20;15;15;15;20;20;15;15;45;90
447;1072 Manufacture of preserved pastry;2008;140;25;15;10;15;15;30;15;15;50;90
448;1072 Manufacture of preserved pastry;2009;135;30;10;15;10;20;20;15;15;50;85
449;1072 Manufacture of preserved pastry;2010;130;30;15;15;10;20;15;15;15;50;80
450;1073 Manufacture of farinaceous products;2006;10;5;0;0;0;0;0;0;0;5;5
451;1073 Manufacture of farinaceous products;2007;10;0;0;0;5;0;0;0;0;5;5
452;1073 Manufacture of farinaceous products;2008;10;5;0;0;5;0;0;0;0;5;5
453;1073 Manufacture of farinaceous products;2009;10;5;0;0;0;0;0;0;0;5;5
454;1073 Manufacture of farinaceous products;2010;10;5;0;0;0;0;0;0;0;5;5
455;108 Manufacture of other food;2006;435;85;60;45;55;45;60;25;50;155;280
456;108 Manufacture of other food;2007;435;95;50;50;55;50;60;30;55;155;280
457;108 Manufacture of other food;2008;450;115;50;50;55;50;60;25;50;160;295
458;108 Manufacture of other food;2009;475;135;60;35;50;55;55;35;50;180;295
459;108 Manufacture of other food;2010;490;145;65;35;50;55;60;35;50;180;305
460;1081 Manufacture of sugar;2006;5;0;0;0;0;0;0;0;0;0;5
461;1081 Manufacture of sugar;2007;5;0;0;0;0;0;0;0;0;0;5
462;1081 Manufacture of sugar;2008;5;0;0;0;0;0;0;0;0;0;5
463;1081 Manufacture of sugar;2009;5;0;0;0;0;0;0;0;0;0;5
464;1081 Manufacture of sugar;2010;5;0;0;0;0;0;0;0;0;0;5
465;10821 Processing of cocoa;2006;15;0;0;5;5;0;0;0;5;5;10
466;10821 Processing of cocoa;2007;15;0;0;5;5;0;0;0;5;10;10
467;10821 Processing of cocoa;2008;15;0;0;5;0;0;0;0;0;10;10
468;10821 Processing of cocoa;2009;15;0;0;5;5;0;0;0;5;10;10
469;10821 Processing of cocoa;2010;15;0;0;5;5;0;0;0;5;5;10
470;10822 Manufacture of confectionary;2006;110;20;15;10;15;15;20;10;10;45;65
471;10822 Manufacture of confectionary;2007;110;20;10;10;15;15;15;10;10;45;65
472;10822 Manufacture of confectionary;2008;110;30;10;5;15;15;20;10;10;45;65
473;10822 Manufacture of confectionary;2009;120;35;10;5;10;15;20;10;10;50;65
474;10822 Manufacture of confectionary;2010;125;40;15;5;10;20;20;10;10;55;70
475;1083 Processing of tea and coffee;2006;30;5;5;5;5;0;5;5;5;10;25
476;1083 Processing of tea and coffee;2007;30;5;5;0;5;5;5;0;5;10;20
477;1083 Processing of tea and coffee;2008;30;5;5;5;5;5;5;0;5;10;25
478;1083 Processing of tea and coffee;2009;35;5;5;0;5;0;5;0;5;10;20
479;1083 Processing of tea and coffee;2010;30;5;5;0;5;0;5;0;5;10;20
480;1084 Manufacture of spices, sauces, salt;2006;40;5;5;5;5;5;5;5;10;10;30
481;1084 Manufacture of spices, sauces, salt;2007;40;5;5;5;5;5;5;5;10;10;30
482;1084 Manufacture of spices, sauces, salt;2008;40;5;5;5;5;5;5;5;5;15;30
483;1084 Manufacture of spices, sauces, salt;2009;45;10;5;0;5;5;5;5;10;15;30
484;1084 Manufacture of spices, sauces, salt;2010;45;15;5;0;5;5;5;5;5;15;30
485;1085 Manufacture of prepared meals;2006;145;30;30;15;15;15;20;5;15;65;80
486;1085 Manufacture of prepared meals;2007;140;40;20;20;15;15;15;5;10;60;75
487;1085 Manufacture of prepared meals;2008;150;45;20;25;15;20;15;5;10;65;90
488;1085 Manufacture of prepared meals;2009;160;50;30;15;15;20;10;10;10;75;85
489;1085 Manufacture of prepared meals;2010;165;50;30;20;15;20;10;10;10;80;90
490;1086 Manufacture of dietetic food;2006;25;10;0;5;0;5;0;0;5;5;15
491;1086 Manufacture of dietetic food;2007;25;10;5;5;0;5;0;0;5;5;20
492;1086 Manufacture of dietetic food;2008;25;10;5;5;0;0;0;0;5;5;20
493;1086 Manufacture of dietetic food;2009;25;15;0;0;0;0;0;0;5;5;20
494;1086 Manufacture of dietetic food;2010;30;15;0;0;0;0;0;0;5;5;20
495;1089 Manufacture of other food products;2006;65;10;5;5;5;10;10;5;5;10;50
496;1089 Manufacture of other food products;2007;70;10;5;5;5;10;10;10;10;10;60
497;1089 Manufacture of other food products;2008;70;15;5;5;10;10;10;5;10;10;60
498;1089 Manufacture of other food products;2009;70;15;5;5;10;5;15;5;10;15;60
499;1089 Manufacture of other food products;2010;70;20;5;5;10;5;15;5;10;10;60
500;109 Manufacture of animal foods;2006;180;25;20;15;25;20;30;20;15;40;140
501;109 Manufacture of animal foods;2007;185;30;20;15;25;20;35;20;15;40;145
502;109 Manufacture of animal foods;2008;180;40;25;15;20;20;30;15;15;40;140
503;109 Manufacture of animal foods;2009;175;35;20;20;15;20;30;20;20;35;140
504;109 Manufacture of animal foods;2010;175;30;20;20;15;20;35;20;20;35;140
505;1091 Manufacture foods for farm animals;2006;135;20;20;5;15;15;25;15;15;25;110
506;1091 Manufacture foods for farm animals;2007;135;20;15;5;15;15;30;15;15;25;110
507;1091 Manufacture foods for farm animals;2008;125;25;15;10;10;15;30;15;10;20;105
508;1091 Manufacture foods for farm animals;2009;120;20;15;10;5;10;25;15;15;20;100
509;1091 Manufacture foods for farm animals;2010;115;15;15;10;5;10;25;15;15;15;100
510;1092 Manufacture of prepared pet foods;2006;45;10;0;10;10;5;5;5;5;15;30
511;1092 Manufacture of prepared pet foods;2007;50;10;5;10;10;5;5;5;5;15;35
512;1092 Manufacture of prepared pet foods;2008;55;15;10;5;5;5;5;5;5;20;35
513;1092 Manufacture of prepared pet foods;2009;55;15;5;10;10;5;5;5;5;20;40
514;1092 Manufacture of prepared pet foods;2010;60;15;5;5;5;5;5;5;5;20;40
515;11 Manufacture of beverages;2006;150;50;35;15;10;5;10;10;15;65;85
516;11 Manufacture of beverages;2007;150;50;30;15;15;10;5;10;15;75;80
517;11 Manufacture of beverages;2008;155;60;25;20;10;10;10;5;15;75;80
518;11 Manufacture of beverages;2009;160;60;25;20;15;10;10;5;15;80;80
519;11 Manufacture of beverages;2010;165;65;25;15;15;10;10;5;15;80;80
520;110 Manufacture of beverages;2006;150;50;35;15;10;5;10;10;15;65;85
521;110 Manufacture of beverages;2007;150;50;30;15;15;10;5;10;15;75;80
522;110 Manufacture of beverages;2008;155;60;25;20;10;10;10;5;15;75;80
523;110 Manufacture of beverages;2009;160;60;25;20;15;10;10;5;15;80;80
524;110 Manufacture of beverages;2010;165;65;25;15;15;10;10;5;15;80;80
525;1101 Distilling, rectifying and blending;2006;45;15;5;5;5;5;5;5;5;15;30
526;1101 Distilling, rectifying and blending;2007;40;15;5;5;5;5;5;5;0;15;25
527;1101 Distilling, rectifying and blending;2008;40;15;5;5;5;0;5;5;0;15;20
528;1101 Distilling, rectifying and blending;2009;40;15;5;0;5;0;5;5;0;15;25
529;1101 Distilling, rectifying and blending;2010;40;15;5;0;5;0;5;5;0;15;25
530;1102 Manufacture of wine from grape;2006;15;10;10;0;0;0;0;0;0;15;0
531;1102 Manufacture of wine from grape;2007;20;10;5;5;0;0;0;0;0;20;0
532;1102 Manufacture of wine from grape;2008;25;15;5;5;0;0;0;0;0;20;5
533;1102 Manufacture of wine from grape;2009;25;15;5;5;0;0;0;0;0;25;5
534;1102 Manufacture of wine from grape;2010;30;15;5;5;0;0;0;0;0;25;5
535;1103 Manufacture of fruit wines;2006;10;0;5;5;0;0;0;0;0;10;0
536;1103 Manufacture of fruit wines;2007;10;0;5;5;0;0;0;0;0;10;0
537;1103 Manufacture of fruit wines;2008;10;5;5;5;0;0;0;0;0;10;0
538;1103 Manufacture of fruit wines;2009;10;0;0;5;0;0;0;0;0;10;0
539;1103 Manufacture of fruit wines;2010;15;5;0;5;0;0;0;0;0;10;0
540;1104 Manufacture of vermouth etc.;2006;0;0;0;0;0;0;0;0;0;0;0
541;1104 Manufacture of vermouth etc.;2007;0;0;0;0;0;0;0;0;0;0;0
542;1104 Manufacture of vermouth etc.;2008;0;0;0;0;0;0;0;0;0;0;0
543;1104 Manufacture of vermouth etc.;2009;0;0;0;0;0;0;0;0;0;0;0
544;1104 Manufacture of vermouth etc.;2010;0;0;0;0;0;0;0;0;0;0;0
545;1105 Manufacture of beer;2006;60;20;15;5;5;0;5;0;5;25;35
546;1105 Manufacture of beer;2007;60;25;10;5;10;5;0;0;5;30;30
547;1105 Manufacture of beer;2008;60;25;10;10;5;5;0;0;5;25;35
548;1105 Manufacture of beer;2009;60;25;15;5;5;5;5;0;5;30;30
549;1105 Manufacture of beer;2010;60;25;10;5;5;5;5;0;5;30;35
550;1106 Manufacture of malt;2006;5;0;0;0;0;0;0;0;0;0;5
551;1106 Manufacture of malt;2007;5;0;0;0;0;0;0;0;0;0;5
552;1106 Manufacture of malt;2008;5;0;0;0;0;0;0;0;0;0;5
553;1106 Manufacture of malt;2009;5;0;0;0;0;0;0;0;0;0;5
554;1106 Manufacture of malt;2010;5;0;0;0;0;0;0;0;0;0;5
555;1107 Manufacture of soft drinks;2006;20;5;5;0;0;0;0;5;5;0;15
556;1107 Manufacture of soft drinks;2007;15;0;5;0;0;0;0;0;5;0;15
557;1107 Manufacture of soft drinks;2008;15;0;5;0;0;0;0;0;5;0;15
558;1107 Manufacture of soft drinks;2009;20;5;0;5;0;0;0;0;5;5;15
559;1107 Manufacture of soft drinks;2010;20;5;0;5;0;0;0;0;5;5;15
560;12 Manufacture of tobacco products;2006;15;0;0;0;0;0;0;5;5;5;15
561;12 Manufacture of tobacco products;2007;20;5;0;0;0;0;0;5;5;5;15
562;12 Manufacture of tobacco products;2008;20;0;0;0;0;0;0;0;10;5;15
563;12 Manufacture of tobacco products;2009;20;0;0;5;0;0;0;5;5;5;15
564;12 Manufacture of tobacco products;2010;15;5;0;5;0;0;0;0;5;5;10
565;120 Manufacture of tobacco products;2006;15;0;0;0;0;0;0;5;5;5;15
566;120 Manufacture of tobacco products;2007;20;5;0;0;0;0;0;5;5;5;15
567;120 Manufacture of tobacco products;2008;20;0;0;0;0;0;0;0;10;5;15
568;120 Manufacture of tobacco products;2009;20;0;0;5;0;0;0;5;5;5;15
569;120 Manufacture of tobacco products;2010;15;5;0;5;0;0;0;0;5;5;10
570;1200 Manufacture of tobacco products;2006;15;0;0;0;0;0;0;5;5;5;15
571;1200 Manufacture of tobacco products;2007;20;5;0;0;0;0;0;5;5;5;15
572;1200 Manufacture of tobacco products;2008;20;0;0;0;0;0;0;0;10;5;15
573;1200 Manufacture of tobacco products;2009;20;0;0;5;0;0;0;5;5;5;15
574;1200 Manufacture of tobacco products;2010;15;5;0;5;0;0;0;0;5;5;10
575;13 Manufacture of textiles;2006;1230;470;270;155;130;70;80;25;30;825;410
576;13 Manufacture of textiles;2007;1275;545;205;175;135;85;75;25;30;865;410
577;13 Manufacture of textiles;2008;1340;635;210;160;140;75;70;25;20;920;420
578;13 Manufacture of textiles;2009;1420;715;245;150;125;70;65;25;30;1020;400
579;13 Manufacture of textiles;2010;1430;725;255;150;120;65;65;25;25;1030;395
580;131 Spinning of textile fibres;2006;30;10;0;5;5;5;5;0;0;10;25
581;131 Spinning of textile fibres;2007;35;10;5;5;0;5;10;0;0;10;25
582;131 Spinning of textile fibres;2008;30;10;5;5;0;5;5;0;0;10;20
583;131 Spinning of textile fibres;2009;30;10;5;5;0;5;0;0;0;10;20
584;131 Spinning of textile fibres;2010;30;10;5;5;0;5;0;0;0;10;20
585;1310 Spinning of textile fibres;2006;30;10;0;5;5;5;5;0;0;10;25
586;1310 Spinning of textile fibres;2007;35;10;5;5;0;5;10;0;0;10;25
587;1310 Spinning of textile fibres;2008;30;10;5;5;0;5;5;0;0;10;20
588;1310 Spinning of textile fibres;2009;30;10;5;5;0;5;0;0;0;10;20
589;1310 Spinning of textile fibres;2010;30;10;5;5;0;5;0;0;0;10;20
590;132 Weaving of textiles;2006;40;10;5;0;0;5;5;5;5;15;25
591;132 Weaving of textiles;2007;35;10;5;0;5;5;5;5;5;15;25
592;132 Weaving of textiles;2008;35;10;5;0;5;0;5;5;5;15;20
593;132 Weaving of textiles;2009;35;15;5;0;0;0;5;5;5;15;20
594;132 Weaving of textiles;2010;35;15;5;0;0;0;5;5;5;15;20
595;1320 Weaving of textiles;2006;40;10;5;0;0;5;5;5;5;15;25
596;1320 Weaving of textiles;2007;35;10;5;0;5;5;5;5;5;15;25
597;1320 Weaving of textiles;2008;35;10;5;0;5;0;5;5;5;15;20
598;1320 Weaving of textiles;2009;35;15;5;0;0;0;5;5;5;15;20
599;1320 Weaving of textiles;2010;35;15;5;0;0;0;5;5;5;15;20
600;133 Finishing of textiles;2006;220;85;55;25;25;10;10;5;0;155;65
601;133 Finishing of textiles;2007;225;90;45;40;30;15;5;5;5;165;65
602;133 Finishing of textiles;2008;240;105;50;40;25;10;5;5;0;175;60
603;133 Finishing of textiles;2009;255;130;55;35;25;10;5;0;5;200;55
604;133 Finishing of textiles;2010;250;120;60;35;20;10;5;0;5;195;55
605;1330 Finishing of textiles;2006;220;85;55;25;25;10;10;5;0;155;65
606;1330 Finishing of textiles;2007;225;90;45;40;30;15;5;5;5;165;65
607;1330 Finishing of textiles;2008;240;105;50;40;25;10;5;5;0;175;60
608;1330 Finishing of textiles;2009;255;130;55;35;25;10;5;0;5;200;55
609;1330 Finishing of textiles;2010;250;120;60;35;20;10;5;0;5;195;55
610;139 Manufacture of other textiles;2006;940;365;205;125;100;50;55;15;20;640;295
611;139 Manufacture of other textiles;2007;975;430;155;135;105;65;60;10;20;675;300
612;139 Manufacture of other textiles;2008;1030;505;155;115;110;60;55;20;15;720;315
613;139 Manufacture of other textiles;2009;1100;560;185;115;100;55;55;15;20;795;300
614;139 Manufacture of other textiles;2010;1115;580;185;110;100;50;55;20;15;815;300
615;1391 Knitting and crocheting of fabrics;2006;10;0;5;5;0;0;0;0;0;5;5
616;1391 Knitting and crocheting of fabrics;2007;10;0;0;5;0;0;0;0;0;5;5
617;1391 Knitting and crocheting of fabrics;2008;5;0;0;0;0;0;0;0;0;5;5
618;1391 Knitting and crocheting of fabrics;2009;10;0;0;0;0;0;0;0;0;5;5
619;1391 Knitting and crocheting of fabrics;2010;10;0;5;0;0;0;0;0;0;5;5
620;1392 Manufacture of made-up textile;2006;675;250;160;105;75;35;35;5;5;480;195
621;1392 Manufacture of made-up textile;2007;690;285;115;115;85;45;35;5;5;495;195
622;1392 Manufacture of made-up textile;2008;700;320;120;90;85;45;30;5;0;500;200
623;1392 Manufacture of made-up textile;2009;725;335;140;90;75;40;30;5;5;530;195
