ID;Vogelsoorten;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
467;5480;1992;82.0;.                             ;.                             
468;5480;1993;149.0;.                             ;.                             
469;5480;1994;74.0;.                             ;.                             
470;5480;1995;115.0;.                             ;.                             
471;5480;1996;96.0;.                             ;.                             
472;5480;1997;123.0;.                             ;.                             
473;5480;1998;62.0;.                             ;.                             
474;5480;1999;79.0;.                             ;.                             
475;5480;2000;100.0;.                             ;.                             
476;5480;2001;114.0;.                             ;.                             
477;5480;2002;95.0;.                             ;.                             
478;5480;2003;83.0;.                             ;.                             
479;5480;2004;115.0;Stabiel                       ;Onzeker                       
480;1661;1975;0.0;.                             ;.                             
481;1661;1976;0.0;.                             ;.                             
482;1661;1977;0.0;.                             ;.                             
483;1661;1978;6.0;.                             ;.                             
484;1661;1979;0.0;.                             ;.                             
485;1661;1980;0.0;.                             ;.                             
486;1661;1981;2.0;.                             ;.                             
487;1661;1982;1.0;.                             ;.                             
488;1661;1983;1.0;.                             ;.                             
489;1661;1984;5.0;.                             ;.                             
490;1661;1985;6.0;.                             ;.                             
491;1661;1986;28.0;.                             ;.                             
492;1661;1987;3.0;.                             ;.                             
493;1661;1988;3.0;.                             ;.                             
494;1661;1989;6.0;.                             ;.                             
495;1661;1990;4.0;.                             ;.                             
496;1661;1991;3.0;.                             ;.                             
497;1661;1992;8.0;.                             ;.                             
498;1661;1993;8.0;.                             ;.                             
499;1661;1994;15.0;.                             ;.                             
500;1661;1995;22.0;.                             ;.                             
501;1661;1996;43.0;.                             ;.                             
502;1661;1997;40.0;.                             ;.                             
503;1661;1998;53.0;.                             ;.                             
504;1661;1999;80.0;.                             ;.                             
505;1661;2000;100.0;.                             ;.                             
506;1661;2001;148.0;.                             ;.                             
507;1661;2002;199.0;.                             ;.                             
508;1661;2003;246.0;.                             ;.                             
509;1661;2004;298.0;Sterke toename                ;Sterke toename                
510;6000;1975;95.0;.                             ;.                             
511;6000;1976;103.0;.                             ;.                             
512;6000;1977;151.0;.                             ;.                             
513;6000;1978;102.0;.                             ;.                             
514;6000;1979;90.0;.                             ;.                             
515;6000;1980;150.0;.                             ;.                             
516;6000;1981;116.0;.                             ;.                             
517;6000;1982;114.0;.                             ;.                             
518;6000;1983;111.0;.                             ;.                             
519;6000;1984;121.0;.                             ;.                             
520;6000;1985;119.0;.                             ;.                             
521;6000;1986;84.0;.                             ;.                             
522;6000;1987;133.0;.                             ;.                             
523;6000;1988;103.0;.                             ;.                             
524;6000;1989;117.0;.                             ;.                             
525;6000;1990;116.0;.                             ;.                             
526;6000;1991;115.0;.                             ;.                             
527;6000;1992;142.0;.                             ;.                             
528;6000;1993;140.0;.                             ;.                             
529;6000;1994;110.0;.                             ;.                             
530;6000;1995;152.0;.                             ;.                             
531;6000;1996;135.0;.                             ;.                             
532;6000;1997;164.0;.                             ;.                             
533;6000;1998;155.0;.                             ;.                             
534;6000;1999;115.0;.                             ;.                             
535;6000;2000;100.0;.                             ;.                             
536;6000;2001;87.0;.                             ;.                             
537;6000;2002;121.0;.                             ;.                             
538;6000;2003;101.0;.                             ;.                             
539;6000;2004;111.0;Stabiel                       ;Stabiel                       
540;2230;1975;566.0;.                             ;.                             
541;2230;1976;783.0;.                             ;.                             
542;2230;1977;1003.0;.                             ;.                             
543;2230;1978;713.0;.                             ;.                             
544;2230;1979;1545.0;.                             ;.                             
545;2230;1980;366.0;.                             ;.                             
546;2230;1981;673.0;.                             ;.                             
547;2230;1982;278.0;.                             ;.                             
548;2230;1983;521.0;.                             ;.                             
549;2230;1984;622.0;.                             ;.                             
550;2230;1985;1073.0;.                             ;.                             
551;2230;1986;813.0;.                             ;.                             
552;2230;1987;328.0;.                             ;.                             
553;2230;1988;368.0;.                             ;.                             
554;2230;1989;314.0;.                             ;.                             
555;2230;1990;531.0;.                             ;.                             
556;2230;1991;335.0;.                             ;.                             
557;2230;1992;225.0;.                             ;.                             
558;2230;1993;289.0;.                             ;.                             
559;2230;1994;265.0;.                             ;.                             
560;2230;1995;517.0;.                             ;.                             
