ID;SBI93;Perioden;Bedrijven_1;AantalWerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEWerknemersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;TotaalDetailhandelsomzet_8;VerkoopInWinkel_9;VerkoopNietInWinkel_10;OverigeNettoOmzet_11;OverigeBedrijfsopbrengsten_12;TotaleBedrijfslasten_13;InkoopwaardeOmzet_14;TotaalArbeidskosten_15;BrutoLonenEnSalarissen_16;PensioenLasten_17;SocialeLasten_18;AfschrijvingenOpVasteActiva_19;TotaalOverigeKosten_20;AnderePersoneelskosten_21;Verkoopkosten_22;HuisvestingskostenInclEnergieverbruik_23;KostenVanDienstverleningDoorDerden_24;KostenInventaris_25;KostenVervoermiddelen_26;OverigeBedrijfslastenNEG_27;Bedrijfsresultaat_28;FinancieleBaten_29;FinancieleLasten_30;FinancieelResultaat_31;OnttrekkingenVrijvalVanVoorzieningen_32;ToevoegingenAanVoorzieningen_33;SaldoVoorzieningen_34;BuitengewoneBaten_35;BuitengewoneLasten_36;SaldoBuitengewoneBatenMinusLasten_37;ResultaatVoorBelastingen_38;Brutowinst_39
150;52481 Winkels in fotografische artikelen;2000;765;4.4;3.6;3.3;2.6;523.0;520.0;493.0;493.0;0.0;27.0;4.0;480.0;330.0;66.0;55.0;3.0;8.0;17.0;66.0;6.0;13.0;26.0;6.0;2.0;3.0;11.0;44.0;2.0;5.0;-3.0;1.0;0.0;1.0;3.0;0.0;2.0;44.0;189.0
151;52481 Winkels in fotografische artikelen;2001;765;4.6;3.8;3.2;2.5;506.0;504.0;475.0;466.0;7.0;29.0;2.0;464.0;319.0;54.0;44.0;3.0;7.0;18.0;72.0;5.0;13.0;29.0;5.0;2.0;4.0;14.0;43.0;1.0;6.0;-5.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;184.0
152;52481 Winkels in fotografische artikelen;2002;685;5.5;4.3;4.1;2.8;484.0;482.0;425.0;404.0;21.0;57.0;2.0;461.0;292.0;65.0;54.0;2.0;10.0;26.0;78.0;2.0;14.0;29.0;5.0;8.0;3.0;16.0;23.0;1.0;9.0;-7.0;0.0;1.0;-1.0;2.0;0.0;1.0;17.0;191.0
153;52482 Winkels in optische artikelen;2000;1115;7.8;6.5;6.6;5.4;715.0;713.0;669.0;643.0;26.0;44.0;3.0;616.0;270.0;167.0;139.0;8.0;19.0;36.0;143.0;11.0;36.0;47.0;8.0;5.0;6.0;27.0;101.0;5.0;10.0;-4.0;0.0;0.0;0.0;4.0;2.0;2.0;98.0;443.0
154;52482 Winkels in optische artikelen;2001;1155;8.1;7.0;6.6;5.5;777.0;771.0;716.0;706.0;10.0;56.0;6.0;665.0;290.0;173.0;144.0;9.0;19.0;43.0;160.0;14.0;39.0;53.0;9.0;7.0;7.0;31.0;111.0;3.0;9.0;-6.0;0.0;0.0;0.0;1.0;3.0;-2.0;103.0;482.0
155;52482 Winkels in optische artikelen;2002;1120;8.2;6.4;7.1;5.3;748.0;746.0;726.0;707.0;20.0;20.0;2.0;662.0;280.0;178.0;145.0;12.0;21.0;38.0;168.0;20.0;43.0;56.0;9.0;8.0;6.0;27.0;86.0;4.0;13.0;-9.0;0.0;0.0;0.0;3.0;9.0;-7.0;71.0;466.0
156;52483 Winkels in juweliersart.,uurwerken;2000;1405;7.1;5.3;5.6;3.8;680.0;674.0;633.0;622.0;12.0;40.0;6.0;598.0;374.0;96.0;80.0;5.0;13.0;17.0;110.0;3.0;40.0;35.0;7.0;2.0;4.0;18.0;82.0;2.0;13.0;-13.0;0.0;0.0;0.0;4.0;1.0;2.0;73.0;300.0
157;52483 Winkels in juweliersart.,uurwerken;2001;1440;7.1;5.2;5.7;3.9;692.0;687.0;653.0;643.0;10.0;35.0;5.0;603.0;379.0;101.0;84.0;5.0;11.0;18.0;104.0;4.0;32.0;37.0;8.0;2.0;4.0;18.0;88.0;2.0;10.0;-8.0;0.0;3.0;-3.0;0.0;3.0;-3.0;74.0;308.0
158;52483 Winkels in juweliersart.,uurwerken;2002;1375;7.0;5.2;5.2;3.4;636.0;629.0;596.0;596.0;0.0;33.0;7.0;569.0;343.0;95.0;78.0;4.0;13.0;20.0;111.0;5.0;36.0;37.0;9.0;2.0;3.0;19.0;68.0;1.0;11.0;-10.0;0.0;1.0;-1.0;1.0;3.0;-2.0;55.0;286.0
159;52485 Winkels in fietsen;2000;2005;5.6;4.9;3.7;3.1;762.0;757.0;736.0;704.0;32.0;21.0;5.0;670.0;504.0;71.0;58.0;4.0;10.0;18.0;76.0;4.0;14.0;29.0;4.0;3.0;6.0;14.0;92.0;2.0;14.0;-12.0;0.0;1.0;-1.0;5.0;2.0;4.0;83.0;254.0
160;52485 Winkels in fietsen;2001;2040;6.4;5.5;3.9;3.2;782.0;775.0;747.0;734.0;13.0;27.0;7.0;682.0;518.0;78.0;63.0;4.0;11.0;15.0;70.0;4.0;12.0;27.0;5.0;2.0;5.0;17.0;100.0;4.0;12.0;-9.0;0.0;0.0;0.0;1.0;1.0;0.0;92.0;256.0
161;52485 Winkels in fietsen;2002;1920;6.8;6.0;3.7;2.9;813.0;810.0;775.0;760.0;15.0;35.0;3.0;719.0;545.0;80.0;65.0;4.0;11.0;16.0;78.0;3.0;11.0;30.0;7.0;3.0;7.0;17.0;95.0;1.0;9.0;-8.0;0.0;1.0;0.0;1.0;1.0;1.0;87.0;265.0
162;5248a Winkels in sport- en kampeerartik.;2000;1595;11.1;7.3;9.7;6.3;1198.0;1194.0;1179.0;1108.0;71.0;15.0;3.0;1109.0;760.0;128.0;108.0;3.0;17.0;32.0;189.0;7.0;43.0;79.0;14.0;4.0;9.0;33.0;89.0;3.0;16.0;-13.0;0.0;1.0;-1.0;2.0;0.0;0.0;76.0;434.0
163;5248a Winkels in sport- en kampeerartik.;2001;1685;12.6;8.5;10.5;6.7;1280.0;1276.0;1260.0;1226.0;34.0;17.0;4.0;1173.0;799.0;142.0;121.0;3.0;18.0;33.0;198.0;7.0;44.0;84.0;14.0;4.0;9.0;36.0;107.0;11.0;27.0;-16.0;0.0;0.0;0.0;2.0;3.0;-1.0;91.0;477.0
164;5248a Winkels in sport- en kampeerartik.;2002;1605;12.5;8.5;9.9;6.1;1338.0;1332.0;1327.0;1261.0;66.0;5.0;6.0;1248.0;843.0;142.0;120.0;4.0;19.0;36.0;228.0;8.0;47.0;101.0;15.0;4.0;10.0;43.0;90.0;7.0;24.0;-17.0;0.0;1.0;-1.0;3.0;3.0;-1.0;72.0;488.0
165;52489 Detailhandel in caravans;2000;275;1.4;1.2;1.2;0.9;364.0;364.0;358.0;323.0;35.0;6.0;0.0;329.0;273.0;26.0;22.0;1.0;3.0;4.0;26.0;2.0;9.0;7.0;2.0;1.0;2.0;4.0;35.0;0.0;3.0;-2.0;0.0;0.0;0.0;2.0;0.0;2.0;35.0;91.0
166;52489 Detailhandel in caravans;2001;285;1.4;1.2;1.1;0.8;344.0;344.0;336.0;314.0;22.0;9.0;0.0;328.0;280.0;23.0;19.0;1.0;3.0;3.0;21.0;2.0;5.0;8.0;2.0;0.0;1.0;3.0;17.0;0.0;2.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;65.0
167;52489 Detailhandel in caravans;2002;285;1.3;1.0;1.1;0.9;367.0;367.0;356.0;260.0;96.0;10.0;0.0;345.0;288.0;25.0;20.0;1.0;3.0;4.0;28.0;2.0;5.0;10.0;2.0;0.0;1.0;7.0;23.0;0.0;3.0;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;78.0
168;52491 Winkels in bloemen en planten;2000;3965;14.6;10.0;11.5;7.4;867.0;861.0;843.0;738.0;105.0;19.0;5.0;756.0;475.0;118.0;98.0;2.0;18.0;25.0;137.0;5.0;24.0;48.0;7.0;6.0;17.0;32.0;110.0;1.0;10.0;-8.0;0.0;0.0;0.0;3.0;2.0;2.0;103.0;386.0
169;52491 Winkels in bloemen en planten;2001;3970;16.4;11.7;11.6;7.3;905.0;902.0;892.0;819.0;72.0;10.0;3.0;783.0;493.0;124.0;104.0;3.0;18.0;26.0;141.0;4.0;21.0;52.0;11.0;5.0;16.0;32.0;122.0;3.0;11.0;-8.0;0.0;0.0;0.0;2.0;2.0;1.0;116.0;409.0
170;52491 Winkels in bloemen en planten;2002;3595;15.3;10.9;10.3;6.6;916.0;912.0;862.0;779.0;83.0;51.0;4.0;797.0;486.0;135.0;110.0;5.0;19.0;21.0;155.0;5.0;29.0;53.0;11.0;7.0;16.0;37.0;119.0;4.0;11.0;-5.0;2.0;0.0;2.0;2.0;0.0;2.0;117.0;426.0
171;52492 Tuincentra;2000;630;8.2;5.7;7.6;5.2;719.0;716.0;705.0;686.0;20.0;10.0;4.0;664.0;423.0;116.0;98.0;2.0;16.0;26.0;98.0;8.0;28.0;29.0;7.0;5.0;6.0;15.0;57.0;4.0;10.0;-7.0;0.0;0.0;0.0;1.0;2.0;-1.0;48.0;293.0
172;52492 Tuincentra;2001;650;9.6;6.7;8.8;5.8;817.0;813.0;797.0;757.0;38.0;17.0;4.0;771.0;485.0;136.0;114.0;4.0;18.0;35.0;115.0;9.0;30.0;35.0;11.0;4.0;7.0;19.0;48.0;2.0;10.0;-7.0;0.0;0.0;0.0;0.0;1.0;-1.0;39.0;329.0
173;52492 Tuincentra;2002;595;9.8;6.5;9.2;5.7;854.0;849.0;830.0;812.0;18.0;19.0;7.0;797.0;497.0;142.0;118.0;5.0;19.0;31.0;127.0;9.0;32.0;40.0;12.0;5.0;7.0;24.0;58.0;3.0;9.0;-6.0;0.0;0.0;0.0;1.0;1.0;0.0;52.0;352.0
174;52493 Winkels in dieren, -benodigdheden;2000;1405;4.3;3.3;2.9;2.3;365.0;363.0;363.0;352.0;11.0;0.0;2.0;327.0;232.0;35.0;29.0;0.0;6.0;8.0;53.0;1.0;11.0;24.0;2.0;2.0;3.0;8.0;39.0;1.0;4.0;-4.0;0.0;0.0;0.0;2.0;0.0;1.0;36.0;132.0
175;52493 Winkels in dieren, -benodigdheden;2001;1405;4.6;3.4;2.9;1.9;378.0;378.0;378.0;370.0;7.0;0.0;0.0;342.0;241.0;36.0;31.0;0.0;5.0;11.0;55.0;1.0;9.0;28.0;2.0;1.0;3.0;10.0;36.0;1.0;5.0;-4.0;1.0;0.0;1.0;0.0;0.0;0.0;33.0;137.0
176;52493 Winkels in dieren, -benodigdheden;2002;1320;4.8;3.8;3.0;2.0;434.0;432.0;431.0;413.0;18.0;0.0;3.0;390.0;279.0;34.0;28.0;0.0;6.0;12.0;66.0;2.0;13.0;28.0;4.0;3.0;4.0;12.0;44.0;2.0;6.0;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;152.0
177;52494 Winkels in computers;2000;635;2.7;2.3;2.0;1.6;525.0;521.0;512.0;487.0;26.0;9.0;5.0;510.0;418.0;36.0;30.0;2.0;4.0;6.0;50.0;6.0;11.0;11.0;5.0;1.0;2.0;13.0;15.0;0.0;2.0;-1.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;102.0
178;52494 Winkels in computers;2001;775;2.8;2.3;1.9;1.4;571.0;570.0;566.0;545.0;20.0;5.0;1.0;544.0;461.0;34.0;30.0;0.0;5.0;5.0;44.0;5.0;8.0;13.0;3.0;1.0;3.0;11.0;27.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;109.0
179;52494 Winkels in computers;2002;860;3.3;2.9;2.4;2.0;589.0;587.0;584.0;532.0;52.0;3.0;2.0;546.0;447.0;44.0;37.0;2.0;5.0;8.0;47.0;3.0;12.0;13.0;4.0;2.0;5.0;8.0;43.0;1.0;5.0;-4.0;0.0;0.0;0.0;4.0;0.0;4.0;43.0;140.0
180;52495 Winkels in speelgoed;2000;625;5.8;3.7;4.6;2.8;577.0;568.0;466.0;456.0;9.0;103.0;9.0;536.0;377.0;61.0;51.0;2.0;8.0;13.0;85.0;3.0;22.0;41.0;5.0;2.0;2.0;10.0;42.0;1.0;4.0;-3.0;0.0;1.0;0.0;1.0;1.0;0.0;38.0;190.0
181;52495 Winkels in speelgoed;2001;640;6.3;3.9;5.0;2.9;595.0;585.0;471.0;465.0;6.0;114.0;10.0;562.0;394.0;62.0;52.0;2.0;8.0;16.0;91.0;3.0;24.0;41.0;6.0;2.0;3.0;12.0;34.0;1.0;4.0;-2.0;0.0;0.0;0.0;2.0;1.0;1.0;31.0;191.0
182;52495 Winkels in speelgoed;2002;620;6.2;3.7;5.2;2.8;644.0;635.0;510.0;488.0;23.0;124.0;9.0;596.0;421.0;67.0;57.0;2.0;8.0;15.0;92.0;4.0;23.0;45.0;6.0;1.0;5.0;9.0;48.0;3.0;5.0;-2.0;0.0;0.0;0.0;0.0;2.0;-1.0;43.0;213.0
183;526 Detailhandel niet in winkel;2000;15980;31.8;26.1;13.1;8.5;3311.0;3257.0;3140.0;134.0;3006.0;117.0;54.0;2904.0;2058.0;209.0;179.0;6.0;25.0;87.0;549.0;29.0;222.0;59.0;37.0;20.0;58.0;123.0;407.0;9.0;38.0;-29.0;3.0;8.0;-4.0;8.0;19.0;-11.0;362.0;1198.0
184;526 Detailhandel niet in winkel;2001;15875;35.8;28.5;15.8;9.8;3476.0;3413.0;3242.0;173.0;3070.0;170.0;63.0;3051.0;2051.0;244.0;204.0;9.0;30.0;91.0;665.0;33.0;299.0;78.0;52.0;20.0;57.0;126.0;425.0;11.0;35.0;-24.0;2.0;12.0;-10.0;14.0;26.0;-11.0;380.0;1362.0
185;526 Detailhandel niet in winkel;2002;15310;36.0;27.9;16.3;10.2;3865.0;3812.0;3593.0;440.0;3153.0;219.0;53.0;3428.0;2259.0;264.0;220.0;12.0;33.0;123.0;783.0;42.0;358.0;83.0;55.0;28.0;76.0;140.0;437.0;19.0;38.0;-18.0;4.0;5.0;-1.0;34.0;22.0;12.0;430.0;1553.0
186;5261 Postorderbedrijven;2000;750;5.3;4.2;4.1;3.1;1104.0;1058.0;970.0;34.0;936.0;88.0;46.0;1010.0;557.0;107.0;90.0;4.0;12.0;35.0;312.0;21.0;168.0;12.0;24.0;11.0;4.0;70.0;94.0;4.0;22.0;-19.0;3.0;7.0;-3.0;2.0;16.0;-14.0;58.0;501.0
187;5261 Postorderbedrijven;2001;1135;6.8;4.8;5.2;3.7;1279.0;1231.0;1089.0;52.0;1036.0;143.0;48.0;1182.0;602.0;133.0;109.0;7.0;16.0;40.0;408.0;26.0;240.0;19.0;41.0;10.0;3.0;68.0;97.0;4.0;19.0;-17.0;2.0;9.0;-7.0;7.0;22.0;-15.0;60.0;630.0
188;5261 Postorderbedrijven;2002;1230;7.9;5.9;5.9;4.3;1461.0;1418.0;1232.0;72.0;1160.0;186.0;43.0;1358.0;693.0;151.0;126.0;6.0;18.0;44.0;471.0;29.0;291.0;22.0;37.0;11.0;5.0;75.0;103.0;4.0;20.0;-16.0;4.0;5.0;-1.0;31.0;21.0;10.0;96.0;725.0
