ID;BedrijfstakkenBranchesSBI93;Perioden;Totaal_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8;NieuweVasteActiva_9;TweedehandseVasteActiva_10;FinancialLease_11;InvesteringenViaOperationalLeaseHuur_12;OpbrengstenVerkoopVasteActiva_13
1192;3110 Elektromoter-,generator-,trafo-ind.;2004;14.0;0.0;2.4;0.0;1.5;1.0;8.4;0.7;13.9;0.1;0.3;3.0;1.0
1193;3110 Elektromoter-,generator-,trafo-ind.;2005;12.9;0.1;3.5;0.0;0.8;1.2;5.3;2.0;12.4;0.5;0.5;18.1;30.4
1194;3110 Elektromoter-,generator-,trafo-ind.;2006;;;;;;;;;;;;;
1195;3110 Elektromoter-,generator-,trafo-ind.;2007;15.2;0.0;0.7;0.0;1.7;1.1;10.2;1.5;14.5;0.7;0.0;1.1;1.6
1196;3110 Elektromoter-,generator-,trafo-ind.;2008;;;;;;;;;;;;;
1197;314 Accu-,batterij-,elektr elementenind;2000;;;;;;;;;;;;;
1198;314 Accu-,batterij-,elektr elementenind;2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1199;314 Accu-,batterij-,elektr elementenind;2002;;;;;;;;;;;;;
1200;314 Accu-,batterij-,elektr elementenind;2003;0.4;0.0;0.0;0.0;0.0;0.1;0.2;0.1;0.4;0.0;0.0;0.0;0.0
1201;314 Accu-,batterij-,elektr elementenind;2004;;;;;;;;;;;;;
1202;314 Accu-,batterij-,elektr elementenind;2005;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0
1203;314 Accu-,batterij-,elektr elementenind;2006;0.3;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.2;0.1;0.0;0.5;0.0
1204;314 Accu-,batterij-,elektr elementenind;2007;;;;;;;;;;;;;
1205;314 Accu-,batterij-,elektr elementenind;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0
1206;3140 Accu-, batterij-, elektr elementind;2000;;;;;;;;;;;;;
1207;3140 Accu-, batterij-, elektr elementind;2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1208;3140 Accu-, batterij-, elektr elementind;2002;;;;;;;;;;;;;
1209;3140 Accu-, batterij-, elektr elementind;2003;0.4;0.0;0.0;0.0;0.0;0.1;0.2;0.1;0.4;0.0;0.0;0.0;0.0
1210;3140 Accu-, batterij-, elektr elementind;2004;;;;;;;;;;;;;
1211;3140 Accu-, batterij-, elektr elementind;2005;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0
1212;3140 Accu-, batterij-, elektr elementind;2006;0.3;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.2;0.1;0.0;0.5;0.0
1213;3140 Accu-, batterij-, elektr elementind;2007;;;;;;;;;;;;;
1214;3140 Accu-, batterij-, elektr elementind;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0
1215;32 Audio-, video-, telecomapparatenind.;2000;;;;;;;;;;;;;
1216;32 Audio-, video-, telecomapparatenind.;2001;;;;;;;;;;;;;
1217;32 Audio-, video-, telecomapparatenind.;2002;;;;;;;;;;;;;
1218;32 Audio-, video-, telecomapparatenind.;2003;;;;;;;;;;;;;
1219;32 Audio-, video-, telecomapparatenind.;2004;;;;;;;;;;;;;
1220;32 Audio-, video-, telecomapparatenind.;2005;;;;;;;;;;;;;
1221;32 Audio-, video-, telecomapparatenind.;2006;;;;;;;;;;;;;
1222;32 Audio-, video-, telecomapparatenind.;2007;87.0;1.2;7.5;0.0;0.8;15.9;58.7;2.9;85.3;1.7;0.8;1.6;0.6
1223;32 Audio-, video-, telecomapparatenind.;2008;;;;;;;;;;;;;
1224;321 Elektronische componentenindustrie;2000;25.4;0.2;5.3;0.0;0.4;0.6;17.5;1.3;24.3;1.1;1.8;0.4;1.4
1225;321 Elektronische componentenindustrie;2001;43.0;0.0;4.3;0.2;0.2;1.7;32.7;3.8;42.4;0.6;1.8;1.4;1.0
1226;321 Elektronische componentenindustrie;2002;41.1;0.0;2.6;0.0;0.7;1.5;34.3;2.0;37.3;3.8;2.2;17.7;8.2
1227;321 Elektronische componentenindustrie;2003;28.6;0.8;2.5;0.1;0.5;1.2;21.2;2.4;26.5;2.1;0.5;3.2;2.6
1228;321 Elektronische componentenindustrie;2004;23.4;0.0;4.8;0.0;0.4;1.2;14.6;2.3;22.9;0.5;1.3;0.2;14.3
1229;321 Elektronische componentenindustrie;2005;12.0;0.0;1.6;0.0;0.4;0.7;9.0;0.3;11.6;0.4;1.5;0.3;0.4
1230;321 Elektronische componentenindustrie;2006;50.1;0.0;11.1;0.1;0.1;3.3;30.2;5.2;49.5;0.6;1.1;1.9;1.6
1231;321 Elektronische componentenindustrie;2007;80.8;1.2;6.7;0.0;0.5;14.7;55.3;2.4;79.3;1.5;0.8;0.7;0.5
1232;321 Elektronische componentenindustrie;2008;86.0;0.4;6.5;0.0;0.1;1.2;76.1;1.7;83.2;2.7;;;1.8
1233;3210 Elektronische componentenindustrie;2000;25.4;0.2;5.3;0.0;0.4;0.6;17.5;1.3;24.3;1.1;1.8;0.4;1.4
1234;3210 Elektronische componentenindustrie;2001;43.0;0.0;4.3;0.2;0.2;1.7;32.7;3.8;42.4;0.6;1.8;1.4;1.0
1235;3210 Elektronische componentenindustrie;2002;41.1;0.0;2.6;0.0;0.7;1.5;34.3;2.0;37.3;3.8;2.2;17.7;8.2
1236;3210 Elektronische componentenindustrie;2003;28.6;0.8;2.5;0.1;0.5;1.2;21.2;2.4;26.5;2.1;0.5;3.2;2.6
1237;3210 Elektronische componentenindustrie;2004;23.4;0.0;4.8;0.0;0.4;1.2;14.6;2.3;22.9;0.5;1.3;0.2;14.3
1238;3210 Elektronische componentenindustrie;2005;12.0;0.0;1.6;0.0;0.4;0.7;9.0;0.3;11.6;0.4;1.5;0.3;0.4
1239;3210 Elektronische componentenindustrie;2006;50.1;0.0;11.1;0.1;0.1;3.3;30.2;5.2;49.5;0.6;1.1;1.9;1.6
1240;3210 Elektronische componentenindustrie;2007;80.8;1.2;6.7;0.0;0.5;14.7;55.3;2.4;79.3;1.5;0.8;0.7;0.5
1241;3210 Elektronische componentenindustrie;2008;86.0;0.4;6.5;0.0;0.1;1.2;76.1;1.7;83.2;2.7;;;1.8
1242;322 Telecommunicatie-apparatenindustrie;2000;2.0;0.0;0.1;0.0;0.0;0.4;0.8;0.6;1.8;0.2;0.0;0.4;0.4
1243;322 Telecommunicatie-apparatenindustrie;2001;3.6;0.0;0.7;0.0;0.4;0.5;1.3;0.6;2.7;0.9;0.0;0.6;0.2
1244;322 Telecommunicatie-apparatenindustrie;2002;1.7;0.0;0.0;0.0;0.1;0.1;1.3;0.2;1.2;0.5;0.0;1.6;0.1
1245;322 Telecommunicatie-apparatenindustrie;2003;1.9;0.0;0.0;0.0;0.1;0.4;1.3;0.1;1.9;0.0;0.0;0.2;0.0
1246;322 Telecommunicatie-apparatenindustrie;2004;2.9;0.3;0.0;0.0;0.2;0.3;1.0;1.0;2.6;0.3;0.0;0.6;0.1
1247;322 Telecommunicatie-apparatenindustrie;2005;2.6;0.0;0.0;0.0;0.2;0.2;1.7;0.5;2.5;0.1;0.0;0.2;0.0
1248;322 Telecommunicatie-apparatenindustrie;2006;4.3;0.0;0.1;0.0;0.2;0.4;3.2;0.4;4.2;0.2;0.0;1.9;0.2
1249;322 Telecommunicatie-apparatenindustrie;2007;3.3;0.0;0.3;0.0;0.2;0.5;1.9;0.4;3.2;0.2;0.0;0.6;0.0
1250;322 Telecommunicatie-apparatenindustrie;2008;;;;;;;;;;;;;
1251;3220 Telecommunicatie-apparatenindustrie;2000;2.0;0.0;0.1;0.0;0.0;0.4;0.8;0.6;1.8;0.2;0.0;0.4;0.4
1252;3220 Telecommunicatie-apparatenindustrie;2001;3.6;0.0;0.7;0.0;0.4;0.5;1.3;0.6;2.7;0.9;0.0;0.6;0.2
1253;3220 Telecommunicatie-apparatenindustrie;2002;1.7;0.0;0.0;0.0;0.1;0.1;1.3;0.2;1.2;0.5;0.0;1.6;0.1
1254;3220 Telecommunicatie-apparatenindustrie;2003;1.9;0.0;0.0;0.0;0.1;0.4;1.3;0.1;1.9;0.0;0.0;0.2;0.0
1255;3220 Telecommunicatie-apparatenindustrie;2004;2.9;0.3;0.0;0.0;0.2;0.3;1.0;1.0;2.6;0.3;0.0;0.6;0.1
1256;3220 Telecommunicatie-apparatenindustrie;2005;2.6;0.0;0.0;0.0;0.2;0.2;1.7;0.5;2.5;0.1;0.0;0.2;0.0
1257;3220 Telecommunicatie-apparatenindustrie;2006;4.3;0.0;0.1;0.0;0.2;0.4;3.2;0.4;4.2;0.2;0.0;1.9;0.2
1258;3220 Telecommunicatie-apparatenindustrie;2007;3.3;0.0;0.3;0.0;0.2;0.5;1.9;0.4;3.2;0.2;0.0;0.6;0.0
1259;3220 Telecommunicatie-apparatenindustrie;2008;;;;;;;;;;;;;
1260;323 Audio- en videoapparatenindustrie;2000;;;;;;;;;;;;;
1261;323 Audio- en videoapparatenindustrie;2001;;;;;;;;;;;;;
1262;323 Audio- en videoapparatenindustrie;2002;;;;;;;;;;;;;
1263;323 Audio- en videoapparatenindustrie;2003;;;;;;;;;;;;;
1264;323 Audio- en videoapparatenindustrie;2004;;;;;;;;;;;;;
1265;323 Audio- en videoapparatenindustrie;2005;;;;;;;;;;;;;
1266;323 Audio- en videoapparatenindustrie;2006;;;;;;;;;;;;;
1267;323 Audio- en videoapparatenindustrie;2007;2.9;0.0;0.5;0.0;0.1;0.7;1.5;0.1;2.8;0.1;0.0;0.3;0.1
1268;323 Audio- en videoapparatenindustrie;2008;5.0;0.0;1.3;0.0;0.2;0.2;1.4;1.8;5.0;0.0;;;0.0
1269;3230 Audio- en videoapparatenindustrie;2000;;;;;;;;;;;;;
1270;3230 Audio- en videoapparatenindustrie;2001;;;;;;;;;;;;;
1271;3230 Audio- en videoapparatenindustrie;2002;;;;;;;;;;;;;
1272;3230 Audio- en videoapparatenindustrie;2003;;;;;;;;;;;;;
1273;3230 Audio- en videoapparatenindustrie;2004;;;;;;;;;;;;;
1274;3230 Audio- en videoapparatenindustrie;2005;;;;;;;;;;;;;
1275;3230 Audio- en videoapparatenindustrie;2006;;;;;;;;;;;;;
1276;3230 Audio- en videoapparatenindustrie;2007;2.9;0.0;0.5;0.0;0.1;0.7;1.5;0.1;2.8;0.1;0.0;0.3;0.1
1277;3230 Audio- en videoapparatenindustrie;2008;5.0;0.0;1.3;0.0;0.2;0.2;1.4;1.8;5.0;0.0;;;0.0
1278;33 Medische en optische apparatenind.;2000;;;;;;;;;;;;;
1279;33 Medische en optische apparatenind.;2001;98.9;2.0;14.5;0.0;5.6;18.8;47.2;10.8;95.4;3.5;1.9;27.9;4.0
1280;33 Medische en optische apparatenind.;2002;94.2;1.1;22.2;0.0;4.8;16.6;39.0;10.4;89.1;5.1;1.1;12.3;3.5
1281;33 Medische en optische apparatenind.;2003;97.7;0.5;22.9;0.1;5.5;16.8;40.1;11.8;94.1;3.6;2.2;12.7;5.1
1282;33 Medische en optische apparatenind.;2004;78.5;0.2;21.6;0.6;5.3;11.5;28.5;10.8;77.0;1.5;2.7;7.4;3.4
1283;33 Medische en optische apparatenind.;2005;85.7;0.0;10.2;0.5;6.6;11.3;45.8;11.3;85.1;0.5;2.9;11.8;15.9
1284;33 Medische en optische apparatenind.;2006;91.6;0.8;14.3;0.4;6.2;13.8;46.1;9.9;89.5;2.1;2.1;13.9;5.8
1285;33 Medische en optische apparatenind.;2007;110.9;0.4;19.9;1.8;5.9;16.0;52.0;14.9;107.1;3.8;2.4;7.8;3.5
1286;33 Medische en optische apparatenind.;2008;165.5;1.2;47.8;0.2;6.5;13.3;69.9;26.6;158.9;6.6;;;11.5
1287;332 Meet- en regelapparaten industrie;2000;35.0;0.1;3.1;1.3;2.1;11.3;15.0;2.1;34.8;0.2;0.6;2.2;0.5
1288;332 Meet- en regelapparaten industrie;2001;38.2;0.9;4.8;0.0;2.3;8.2;18.1;3.9;36.9;1.3;1.1;5.8;1.6
1289;332 Meet- en regelapparaten industrie;2002;33.4;0.0;7.5;0.0;1.4;6.6;13.9;3.9;31.6;1.7;0.0;1.8;0.8
1290;332 Meet- en regelapparaten industrie;2003;30.5;0.0;8.1;0.1;1.4;5.5;12.6;2.9;30.1;0.4;0.5;5.4;1.4
1291;332 Meet- en regelapparaten industrie;2004;24.0;0.0;3.8;0.1;1.9;4.3;10.1;3.6;23.8;0.2;1.3;3.4;1.9
1292;332 Meet- en regelapparaten industrie;2005;32.7;0.0;3.6;0.1;2.7;4.7;17.1;4.5;32.6;0.1;1.0;7.0;1.5
1293;332 Meet- en regelapparaten industrie;2006;43.0;0.7;8.5;0.1;2.2;4.8;21.9;4.9;42.2;0.8;0.2;10.0;1.8
1294;332 Meet- en regelapparaten industrie;2007;41.7;0.4;8.0;0.0;2.2;5.5;20.3;5.2;40.0;1.8;1.3;2.8;0.8
1295;332 Meet- en regelapparaten industrie;2008;43.4;0.4;4.2;0.0;2.2;6.5;22.1;7.9;42.1;1.3;;;2.6
1296;3320 Meet- en regelapparaten industrie;2000;35.0;0.1;3.1;1.3;2.1;11.3;15.0;2.1;34.8;0.2;0.6;2.2;0.5
1297;3320 Meet- en regelapparaten industrie;2001;38.2;0.9;4.8;0.0;2.3;8.2;18.1;3.9;36.9;1.3;1.1;5.8;1.6
1298;3320 Meet- en regelapparaten industrie;2002;33.4;0.0;7.5;0.0;1.4;6.6;13.9;3.9;31.6;1.7;0.0;1.8;0.8
1299;3320 Meet- en regelapparaten industrie;2003;30.5;0.0;8.1;0.1;1.4;5.5;12.6;2.9;30.1;0.4;0.5;5.4;1.4
1300;3320 Meet- en regelapparaten industrie;2004;24.0;0.0;3.8;0.1;1.9;4.3;10.1;3.6;23.8;0.2;1.3;3.4;1.9
1301;3320 Meet- en regelapparaten industrie;2005;32.7;0.0;3.6;0.1;2.7;4.7;17.1;4.5;32.6;0.1;1.0;7.0;1.5
1302;3320 Meet- en regelapparaten industrie;2006;43.0;0.7;8.5;0.1;2.2;4.8;21.9;4.9;42.2;0.8;0.2;10.0;1.8
1303;3320 Meet- en regelapparaten industrie;2007;41.7;0.4;8.0;0.0;2.2;5.5;20.3;5.2;40.0;1.8;1.3;2.8;0.8
1304;3320 Meet- en regelapparaten industrie;2008;43.4;0.4;4.2;0.0;2.2;6.5;22.1;7.9;42.1;1.3;;;2.6
1305;DM Transportmiddelenindustrie;2000;186.5;3.4;41.4;7.0;11.1;14.1;95.8;13.7;174.8;11.7;1.3;60.0;50.5
1306;DM Transportmiddelenindustrie;2001;255.8;1.0;53.4;5.5;12.8;15.2;140.7;27.2;250.4;5.4;0.9;30.6;11.0
1307;DM Transportmiddelenindustrie;2002;168.8;0.2;40.7;2.9;10.1;14.5;79.4;20.9;160.6;8.2;3.7;24.5;11.3
1308;DM Transportmiddelenindustrie;2003;244.6;1.8;61.3;3.2;10.5;14.0;129.6;24.2;236.1;8.6;0.7;46.9;115.6
1309;DM Transportmiddelenindustrie;2004;215.8;2.8;49.7;2.6;10.9;11.2;103.9;34.7;205.7;10.2;2.4;32.3;11.7
1310;DM Transportmiddelenindustrie;2005;259.4;3.5;54.5;4.2;12.8;12.0;154.7;17.7;247.7;11.7;0.7;19.9;7.8
1311;DM Transportmiddelenindustrie;2006;267.7;2.7;75.5;1.3;24.6;17.2;123.7;22.7;247.3;20.4;1.6;19.8;23.7
1312;DM Transportmiddelenindustrie;2007;391.0;5.7;109.2;11.0;16.1;13.9;197.1;38.2;374.4;16.6;2.2;46.6;23.5
1313;DM Transportmiddelenindustrie;2008;;;;;;;;;;;;;
1314;34 Auto-, aanhangwagen-, opleggerind;2000;98.1;1.8;11.0;0.6;6.0;6.8;64.4;7.5;95.2;2.9;1.0;22.3;23.5
1315;34 Auto-, aanhangwagen-, opleggerind;2001;164.4;0.4;27.0;1.2;8.9;6.2;105.0;15.6;162.3;2.1;0.1;24.9;7.7
1316;34 Auto-, aanhangwagen-, opleggerind;2002;81.8;0.0;14.9;1.3;5.4;6.5;43.3;10.3;79.6;2.2;1.0;17.8;6.7
1317;34 Auto-, aanhangwagen-, opleggerind;2003;125.5;0.1;31.4;1.2;6.0;5.4;68.9;12.7;123.9;1.6;0.5;22.2;94.4
1318;34 Auto-, aanhangwagen-, opleggerind;2004;125.0;2.5;18.9;1.1;6.0;4.8;65.9;25.7;120.9;4.1;0.8;23.6;8.2
1319;34 Auto-, aanhangwagen-, opleggerind;2005;163.8;0.7;19.1;1.0;7.4;5.7;119.2;10.7;162.3;1.5;0.1;16.8;6.1
1320;34 Auto-, aanhangwagen-, opleggerind;2006;144.0;0.6;30.5;0.5;6.8;6.1;88.0;11.6;134.7;9.3;0.9;13.0;20.1
1321;34 Auto-, aanhangwagen-, opleggerind;2007;218.1;2.1;39.2;0.9;9.6;6.7;134.1;25.4;212.8;5.2;1.8;10.0;16.6
1322;34 Auto-, aanhangwagen-, opleggerind;2008;222.8;11.4;28.2;2.2;7.9;5.7;142.6;24.9;206.2;16.5;;;8.0
1323;341 Auto-industrie;2000;34.5;0.1;3.4;0.1;0.9;3.0;22.6;4.4;34.3;0.2;0.1;15.7;19.4
1324;341 Auto-industrie;2001;100.1;0.0;17.4;1.1;0.7;1.8;70.5;8.5;99.9;0.2;0.1;21.6;3.8
1325;341 Auto-industrie;2002;32.7;0.0;6.3;0.8;1.0;1.1;18.5;5.0;32.6;0.0;0.1;16.0;0.5
1326;341 Auto-industrie;2003;78.4;0.0;21.0;1.1;0.7;1.6;45.7;8.3;78.3;0.1;0.1;19.9;3.9
1327;341 Auto-industrie;2004;79.7;2.3;11.6;1.0;0.6;1.6;42.1;20.7;77.2;2.5;0.1;22.2;1.6
1328;341 Auto-industrie;2005;90.1;0.0;8.2;0.8;0.6;1.1;72.8;6.7;90.1;0.0;0.0;11.1;2.6
1329;341 Auto-industrie;2006;68.7;0.0;16.4;0.0;0.7;0.9;43.3;7.3;63.6;5.1;0.0;9.1;1.0
1330;341 Auto-industrie;2007;;;;;;;;;;;;;
1331;341 Auto-industrie;2008;136.7;8.5;18.6;0.6;0.2;2.3;88.2;18.4;128.2;8.5;;;1.7
1332;3410 Auto-industrie;2000;34.5;0.1;3.4;0.1;0.9;3.0;22.6;4.4;34.3;0.2;0.1;15.7;19.4
1333;3410 Auto-industrie;2001;100.1;0.0;17.4;1.1;0.7;1.8;70.5;8.5;99.9;0.2;0.1;21.6;3.8
1334;3410 Auto-industrie;2002;32.7;0.0;6.3;0.8;1.0;1.1;18.5;5.0;32.6;0.0;0.1;16.0;0.5
1335;3410 Auto-industrie;2003;78.4;0.0;21.0;1.1;0.7;1.6;45.7;8.3;78.3;0.1;0.1;19.9;3.9
1336;3410 Auto-industrie;2004;79.7;2.3;11.6;1.0;0.6;1.6;42.1;20.7;77.2;2.5;0.1;22.2;1.6
1337;3410 Auto-industrie;2005;90.1;0.0;8.2;0.8;0.6;1.1;72.8;6.7;90.1;0.0;0.0;11.1;2.6
1338;3410 Auto-industrie;2006;68.7;0.0;16.4;0.0;0.7;0.9;43.3;7.3;63.6;5.1;0.0;9.1;1.0
1339;3410 Auto-industrie;2007;;;;;;;;;;;;;
1340;3410 Auto-industrie;2008;136.7;8.5;18.6;0.6;0.2;2.3;88.2;18.4;128.2;8.5;;;1.7
1341;343 Auto-onderdeelind.(niet elektrisch);2000;40.7;0.0;2.5;0.3;0.3;2.1;34.4;1.1;40.6;0.1;0.0;2.4;0.3
1342;343 Auto-onderdeelind.(niet elektrisch);2001;35.6;0.0;2.8;0.0;0.6;1.9;26.4;3.9;34.5;1.1;0.0;3.1;1.2
1343;343 Auto-onderdeelind.(niet elektrisch);2002;26.3;0.0;3.0;0.0;0.5;1.7;18.7;2.3;25.8;0.5;0.8;1.0;2.9
1344;343 Auto-onderdeelind.(niet elektrisch);2003;33.7;0.0;9.1;0.1;0.6;2.2;19.2;2.6;33.6;0.1;0.0;1.6;1.7
1345;343 Auto-onderdeelind.(niet elektrisch);2004;23.7;0.0;2.6;0.0;0.3;1.3;16.8;2.7;23.1;0.6;0.4;0.9;5.7
1346;343 Auto-onderdeelind.(niet elektrisch);2005;52.9;0.5;7.6;0.0;1.2;1.5;40.8;1.3;52.3;0.6;0.0;4.6;2.3
1347;343 Auto-onderdeelind.(niet elektrisch);2006;52.1;0.0;9.6;0.0;0.8;2.4;37.0;2.4;50.7;1.5;0.1;2.1;6.5
1348;343 Auto-onderdeelind.(niet elektrisch);2007;51.5;0.0;2.3;0.0;0.8;1.7;39.3;7.2;50.9;0.5;0.6;0.9;1.1
1349;343 Auto-onderdeelind.(niet elektrisch);2008;54.0;0.0;3.6;1.4;0.8;1.6;44.5;2.2;53.9;0.1;;;2.3
1350;3430 Auto-onderdeelind.(niet elektrisch);2000;40.7;0.0;2.5;0.3;0.3;2.1;34.4;1.1;40.6;0.1;0.0;2.4;0.3
1351;3430 Auto-onderdeelind.(niet elektrisch);2001;35.6;0.0;2.8;0.0;0.6;1.9;26.4;3.9;34.5;1.1;0.0;3.1;1.2
1352;3430 Auto-onderdeelind.(niet elektrisch);2002;26.3;0.0;3.0;0.0;0.5;1.7;18.7;2.3;25.8;0.5;0.8;1.0;2.9
1353;3430 Auto-onderdeelind.(niet elektrisch);2003;33.7;0.0;9.1;0.1;0.6;2.2;19.2;2.6;33.6;0.1;0.0;1.6;1.7
1354;3430 Auto-onderdeelind.(niet elektrisch);2004;23.7;0.0;2.6;0.0;0.3;1.3;16.8;2.7;23.1;0.6;0.4;0.9;5.7
1355;3430 Auto-onderdeelind.(niet elektrisch);2005;52.9;0.5;7.6;0.0;1.2;1.5;40.8;1.3;52.3;0.6;0.0;4.6;2.3
1356;3430 Auto-onderdeelind.(niet elektrisch);2006;52.1;0.0;9.6;0.0;0.8;2.4;37.0;2.4;50.7;1.5;0.1;2.1;6.5
1357;3430 Auto-onderdeelind.(niet elektrisch);2007;51.5;0.0;2.3;0.0;0.8;1.7;39.3;7.2;50.9;0.5;0.6;0.9;1.1
1358;3430 Auto-onderdeelind.(niet elektrisch);2008;54.0;0.0;3.6;1.4;0.8;1.6;44.5;2.2;53.9;0.1;;;2.3
1359;35 Overige transportmiddelenindustrie;2000;88.4;1.6;30.4;6.5;5.1;7.3;31.3;6.2;79.6;8.8;0.3;37.7;27.0
1360;35 Overige transportmiddelenindustrie;2001;91.4;0.6;26.4;4.3;3.9;9.0;35.7;11.5;88.1;3.3;0.7;5.7;3.3
1361;35 Overige transportmiddelenindustrie;2002;87.0;0.2;25.8;1.6;4.7;8.0;36.1;10.7;81.0;6.0;2.7;6.6;4.5
1362;35 Overige transportmiddelenindustrie;2003;119.1;1.8;29.9;2.0;4.6;8.7;60.7;11.6;112.2;7.0;0.2;24.7;21.3
1363;35 Overige transportmiddelenindustrie;2004;90.9;0.3;30.7;1.5;4.9;6.4;38.1;8.9;84.8;6.1;1.6;8.7;3.5
1364;35 Overige transportmiddelenindustrie;2005;95.7;2.8;35.3;3.2;5.5;6.3;35.5;7.0;85.5;10.2;0.6;3.1;1.7
1365;35 Overige transportmiddelenindustrie;2006;123.7;2.1;45.1;0.8;17.8;11.1;35.7;11.1;112.6;11.0;0.8;6.8;3.6
1366;35 Overige transportmiddelenindustrie;2007;173.0;3.6;70.0;10.1;6.6;7.1;63.0;12.7;161.6;11.4;0.4;36.6;6.9
1367;35 Overige transportmiddelenindustrie;2008;;;;;;;;;;;;;
1368;351 Scheepsbouw en -reparatiebedrijven;2000;62.3;1.2;25.4;6.2;4.0;4.3;17.4;3.8;55.2;7.1;0.1;29.5;23.5
1369;351 Scheepsbouw en -reparatiebedrijven;2001;61.5;0.1;21.6;4.1;3.1;4.2;23.0;5.4;59.2;2.3;0.5;4.9;2.2
1370;351 Scheepsbouw en -reparatiebedrijven;2002;47.7;0.2;12.7;1.6;3.8;5.2;18.9;5.2;43.2;4.5;0.4;6.4;1.7
1371;351 Scheepsbouw en -reparatiebedrijven;2003;40.3;0.8;8.1;1.5;3.4;2.7;17.1;6.6;35.0;5.3;0.2;22.3;14.2
1372;351 Scheepsbouw en -reparatiebedrijven;2004;28.8;0.3;5.0;0.4;3.9;3.1;11.6;4.5;22.9;5.9;0.2;3.1;2.4
1373;351 Scheepsbouw en -reparatiebedrijven;2005;;;;;;;;;;;;;
1374;351 Scheepsbouw en -reparatiebedrijven;2006;;;;;;;;;;;;;
1375;351 Scheepsbouw en -reparatiebedrijven;2007;;;;;;;;;;;;;
1376;351 Scheepsbouw en -reparatiebedrijven;2008;;;;;;;;;;;;;
1377;352 Ind v rollend spoor- & trammaterieel;2000;;;;;;;;;;;;;
1378;352 Ind v rollend spoor- & trammaterieel;2001;1.6;0.0;0.0;0.0;0.3;0.8;0.3;0.2;1.5;0.1;0.0;0.1;0.1
1379;352 Ind v rollend spoor- & trammaterieel;2002;4.3;0.0;0.9;0.0;0.1;0.2;2.1;1.1;4.3;0.0;2.3;0.0;0.5
1380;352 Ind v rollend spoor- & trammaterieel;2003;;;;;;;;;;;;;
1381;352 Ind v rollend spoor- & trammaterieel;2004;;;;;;;;;;;;;
1382;352 Ind v rollend spoor- & trammaterieel;2005;;;;;;;;;;;;;
1383;352 Ind v rollend spoor- & trammaterieel;2006;;;;;;;;;;;;;
1384;352 Ind v rollend spoor- & trammaterieel;2007;;;;;;;;;;;;;
1385;352 Ind v rollend spoor- & trammaterieel;2008;;;;;;;;;;;;;
1386;3520 Ind v rollend spoor-, trammaterieel;2000;;;;;;;;;;;;;
1387;3520 Ind v rollend spoor-, trammaterieel;2001;1.6;0.0;0.0;0.0;0.3;0.8;0.3;0.2;1.5;0.1;0.0;0.1;0.1
1388;3520 Ind v rollend spoor-, trammaterieel;2002;4.3;0.0;0.9;0.0;0.1;0.2;2.1;1.1;4.3;0.0;2.3;0.0;0.5
1389;3520 Ind v rollend spoor-, trammaterieel;2003;;;;;;;;;;;;;
1390;3520 Ind v rollend spoor-, trammaterieel;2004;;;;;;;;;;;;;
1391;3520 Ind v rollend spoor-, trammaterieel;2005;;;;;;;;;;;;;
1392;3520 Ind v rollend spoor-, trammaterieel;2006;;;;;;;;;;;;;
1393;3520 Ind v rollend spoor-, trammaterieel;2007;;;;;;;;;;;;;
1394;3520 Ind v rollend spoor-, trammaterieel;2008;;;;;;;;;;;;;
1395;353 Vlieg- en ruimtevaartuigenindustrie;2000;;;;;;;;;;;;;
1396;353 Vlieg- en ruimtevaartuigenindustrie;2001;15.1;0.0;2.6;0.1;0.1;2.7;5.6;4.0;14.9;0.2;0.0;0.2;0.0
1397;353 Vlieg- en ruimtevaartuigenindustrie;2002;22.6;0.0;7.2;0.0;0.1;2.0;10.5;2.8;21.2;1.4;0.0;0.1;1.7
1398;353 Vlieg- en ruimtevaartuigenindustrie;2003;44.5;0.9;11.5;0.3;0.2;2.0;28.0;1.7;43.6;0.9;0.0;1.0;0.1
1399;353 Vlieg- en ruimtevaartuigenindustrie;2004;;;;;;;;;;;;;
1400;353 Vlieg- en ruimtevaartuigenindustrie;2005;25.0;2.1;8.9;0.0;0.1;2.1;9.6;2.2;22.9;2.1;0.0;1.2;0.3
1401;353 Vlieg- en ruimtevaartuigenindustrie;2006;37.1;1.9;12.0;0.0;0.1;5.4;12.5;5.1;30.3;6.8;0.0;1.6;0.5
