ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;VoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
162;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2018;3304.0;173.3;52450.0
163;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2019;3856.0;195.8;50779.0
164;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2020;3758.0;196.3;52227.0
165;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2021;3625.0;190.0;52419.0
166;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2022;3308.0;168.2;50848.0
167;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B-E Nijverheid (geen bouw) en energie;2023;2986.0;138.0;46232.0
168;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2018;40940.0;3613.9;88274.0
169;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2019;41670.0;3587.0;86081.0
170;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2020;37752.0;3394.9;89926.0
171;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2021;36191.0;3190.4;88155.0
172;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2022;34135.0;2842.2;83264.0
173;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;G-I Handel, vervoer en horeca;2023;35738.0;2779.1;77762.0
174;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2018;2792.0;158.1;56628.0
175;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2019;2949.0;162.9;55254.0
176;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2020;2668.0;145.4;54489.0
177;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2021;2400.0;129.4;53914.0
178;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2022;2248.0;116.7;51916.0
