ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
3532;2015 donderdag 3 september;1.519;1.175;0.566
3533;2015 vrijdag 4 september;1.52;1.181;0.568
3534;2015 zaterdag 5 september;1.517;1.186;0.561
3535;2015 zondag 6 september;1.519;1.188;0.557
3536;2015 maandag 7 september;1.52;1.19;0.567
3537;2015 dinsdag 8 september;1.52;1.196;0.574
3538;2015 woensdag 9 september;1.518;1.197;0.57
3539;2015 donderdag 10 september;1.518;1.199;0.57
3540;2015 vrijdag 11 september;1.52;1.2;0.572
3541;2015 zaterdag 12 september;1.517;1.199;0.574
3542;2015 zondag 13 september;1.518;1.199;0.567
3543;2015 maandag 14 september;1.519;1.201;0.568
3544;2015 dinsdag 15 september;1.516;1.2;0.575
3545;2015 woensdag 16 september;1.511;1.198;0.571
3546;2015 donderdag 17 september;1.507;1.198;0.573
3547;2015 vrijdag 18 september;1.509;1.199;0.577
3548;2015 zaterdag 19 september;1.505;1.193;0.572
3549;2015 zondag 20 september;1.507;1.194;0.571
3550;2015 maandag 21 september;1.508;1.196;0.567
3551;2015 dinsdag 22 september;1.508;1.194;0.575
3552;2015 woensdag 23 september;1.507;1.193;0.573
3553;2015 donderdag 24 september;1.506;1.193;0.572
3554;2015 vrijdag 25 september;1.503;1.189;0.572
3555;2015 zaterdag 26 september;1.495;1.185;0.575
3556;2015 zondag 27 september;1.497;1.184;0.562
3557;2015 maandag 28 september;1.497;1.186;0.571
3558;2015 dinsdag 29 september;1.492;1.185;0.579
3559;2015 woensdag 30 september;1.487;1.182;0.578
3560;2015 donderdag 1 oktober;1.484;1.181;0.577
3561;2015 vrijdag 2 oktober;1.484;1.184;0.579
3562;2015 zaterdag 3 oktober;1.481;1.181;0.573
3563;2015 zondag 4 oktober;1.483;1.181;0.565
3564;2015 maandag 5 oktober;1.483;1.185;0.582
3565;2015 dinsdag 6 oktober;1.483;1.184;0.576
3566;2015 woensdag 7 oktober;1.484;1.187;0.58
3567;2015 donderdag 8 oktober;1.488;1.19;0.58
3568;2015 vrijdag 9 oktober;1.492;1.193;0.578
3569;2015 zaterdag 10 oktober;1.493;1.196;0.583
3570;2015 zondag 11 oktober;1.495;1.197;0.583
3571;2015 maandag 12 oktober;1.496;1.2;0.589
3572;2015 dinsdag 13 oktober;1.497;1.201;0.588
3573;2015 woensdag 14 oktober;1.496;1.199;0.586
3574;2015 donderdag 15 oktober;1.491;1.195;0.599
3575;2015 vrijdag 16 oktober;1.489;1.193;0.598
3576;2015 zaterdag 17 oktober;1.483;1.187;0.591
3577;2015 zondag 18 oktober;1.486;1.188;0.586
3578;2015 maandag 19 oktober;1.486;1.19;0.593
3579;2015 dinsdag 20 oktober;1.482;1.186;0.595
3580;2015 woensdag 21 oktober;1.477;1.179;0.594
3581;2015 donderdag 22 oktober;1.468;1.172;0.596
3582;2015 vrijdag 23 oktober;1.468;1.172;0.592
3583;2015 zaterdag 24 oktober;1.466;1.17;0.591
3584;2015 zondag 25 oktober;1.468;1.17;0.589
3585;2015 maandag 26 oktober;1.469;1.172;0.592
3586;2015 dinsdag 27 oktober;1.468;1.172;0.592
3587;2015 woensdag 28 oktober;1.467;1.17;0.6
3588;2015 donderdag 29 oktober;1.466;1.169;0.594
3589;2015 vrijdag 30 oktober;1.476;1.175;0.6
3590;2015 zaterdag 31 oktober;1.476;1.173;0.596
3591;2015 zondag 1 november;1.477;1.173;0.588
3592;2015 maandag 2 november;1.48;1.175;0.596
3593;2015 dinsdag 3 november;1.486;1.18;0.608
3594;2015 woensdag 4 november;1.494;1.187;0.6
3595;2015 donderdag 5 november;1.503;1.196;0.612
3596;2015 vrijdag 6 november;1.507;1.199;0.603
3597;2015 zaterdag 7 november;1.51;1.198;0.61
3598;2015 zondag 8 november;1.512;1.198;0.607
3599;2015 maandag 9 november;1.515;1.202;0.61
3600;2015 dinsdag 10 november;1.521;1.206;0.615
3601;2015 woensdag 11 november;1.525;1.207;0.617
3602;2015 donderdag 12 november;1.526;1.208;0.612
3603;2015 vrijdag 13 november;1.532;1.208;0.618
3604;2015 zaterdag 14 november;1.53;1.203;0.618
3605;2015 zondag 15 november;1.532;1.204;0.615
3606;2015 maandag 16 november;1.533;1.206;0.614
3607;2015 dinsdag 17 november;1.528;1.199;0.612
3608;2015 woensdag 18 november;1.52;1.195;0.621
3609;2015 donderdag 19 november;1.512;1.191;0.62
3610;2015 vrijdag 20 november;1.509;1.191;0.623
3611;2015 zaterdag 21 november;1.503;1.186;0.616
3612;2015 zondag 22 november;1.505;1.186;0.607
3613;2015 maandag 23 november;1.505;1.188;0.615
3614;2015 dinsdag 24 november;1.497;1.184;0.623
3615;2015 woensdag 25 november;1.492;1.181;0.616
3616;2015 donderdag 26 november;1.491;1.181;0.61
3617;2015 vrijdag 27 november;1.494;1.182;0.62
3618;2015 zaterdag 28 november;1.49;1.18;0.613
3619;2015 zondag 29 november;1.49;1.18;0.603
3620;2015 maandag 30 november;1.493;1.182;0.612
3621;2015 dinsdag 1 december;1.493;1.177;0.613
3622;2015 woensdag 2 december;1.49;1.172;0.618
3623;2015 donderdag 3 december;1.486;1.168;0.613
3624;2015 vrijdag 4 december;1.484;1.162;0.613
3625;2015 zaterdag 5 december;1.48;1.157;0.608
3626;2015 zondag 6 december;1.483;1.157;0.608
3627;2015 maandag 7 december;1.484;1.159;0.615
3628;2015 dinsdag 8 december;1.482;1.158;0.611
3629;2015 woensdag 9 december;1.476;1.151;0.613
3630;2015 donderdag 10 december;1.469;1.143;0.614
3631;2015 vrijdag 11 december;1.465;1.139;0.61
3632;2015 zaterdag 12 december;1.46;1.129;0.609
3633;2015 zondag 13 december;1.462;1.129;0.606
3634;2015 maandag 14 december;1.463;1.131;0.609
3635;2015 dinsdag 15 december;1.459;1.122;0.619
3636;2015 woensdag 16 december;1.452;1.113;0.611
3637;2015 donderdag 17 december;1.447;1.107;0.608
3638;2015 vrijdag 18 december;1.447;1.101;0.6
3639;2015 zaterdag 19 december;1.444;1.094;0.606
3640;2015 zondag 20 december;1.447;1.094;0.598
3641;2015 maandag 21 december;1.447;1.096;0.606
3642;2015 dinsdag 22 december;1.446;1.087;0.595
3643;2015 woensdag 23 december;1.444;1.081;0.598
3644;2015 donderdag 24 december;1.441;1.078;0.603
3645;2015 vrijdag 25 december;1.439;1.071;0.606
3646;2015 zaterdag 26 december;1.437;1.07;0.601
3647;2015 zondag 27 december;1.439;1.07;0.592
3648;2015 maandag 28 december;1.44;1.071;0.599
3649;2015 dinsdag 29 december;1.437;1.068;0.603
3650;2015 woensdag 30 december;1.436;1.064;0.602
3651;2015 donderdag 31 december;1.435;1.067;0.602
3652;2016 vrijdag 1 januari;1.438;1.067;0.601
3653;2016 zaterdag 2 januari;1.436;1.067;0.584
3654;2016 zondag 3 januari;1.438;1.067;0.591
3655;2016 maandag 4 januari;1.44;1.07;0.591
3656;2016 dinsdag 5 januari;1.444;1.073;0.588
3657;2016 woensdag 6 januari;1.449;1.072;0.593
3658;2016 donderdag 7 januari;1.448;1.072;0.59
3659;2016 vrijdag 8 januari;1.447;1.071;0.592
3660;2016 zaterdag 9 januari;1.444;1.067;0.593
3661;2016 zondag 10 januari;1.445;1.067;0.585
3662;2016 maandag 11 januari;1.446;1.07;0.59
3663;2016 dinsdag 12 januari;1.44;1.064;0.597
3664;2016 woensdag 13 januari;1.436;1.059;0.595
3665;2016 donderdag 14 januari;1.433;1.056;0.588
3666;2016 vrijdag 15 januari;1.434;1.056;0.592
3667;2016 zaterdag 16 januari;1.427;1.046;0.583
3668;2016 zondag 17 januari;1.427;1.046;0.582
3669;2016 maandag 18 januari;1.428;1.048;0.596
3670;2016 dinsdag 19 januari;1.422;1.041;0.594
3671;2016 woensdag 20 januari;1.419;1.036;0.586
3672;2016 donderdag 21 januari;1.414;1.029;0.579
3673;2016 vrijdag 22 januari;1.414;1.024;0.579
3674;2016 zaterdag 23 januari;1.414;1.022;0.576
3675;2016 zondag 24 januari;1.415;1.023;0.577
3676;2016 maandag 25 januari;1.417;1.026;0.572
3677;2016 dinsdag 26 januari;1.42;1.025;0.576
3678;2016 woensdag 27 januari;1.419;1.023;0.582
3679;2016 donderdag 28 januari;1.418;1.023;0.573
3680;2016 vrijdag 29 januari;1.421;1.03;0.575
3681;2016 zaterdag 30 januari;1.422;1.031;0.572
3682;2016 zondag 31 januari;1.423;1.031;0.574
3683;2016 maandag 1 februari;1.425;1.034;0.57
3684;2016 dinsdag 2 februari;1.429;1.037;0.569
3685;2016 woensdag 3 februari;1.428;1.037;0.577
3686;2016 donderdag 4 februari;1.424;1.036;0.569
3687;2016 vrijdag 5 februari;1.425;1.044;0.574
3688;2016 zaterdag 6 februari;1.418;1.043;0.564
3689;2016 zondag 7 februari;1.42;1.043;0.556
3690;2016 maandag 8 februari;1.42;1.046;0.56
3691;2016 dinsdag 9 februari;1.416;1.046;0.569
3692;2016 woensdag 10 februari;1.409;1.044;0.564
3693;2016 donderdag 11 februari;1.398;1.041;0.565
3694;2016 vrijdag 12 februari;1.393;1.038;0.566
3695;2016 zaterdag 13 februari;1.388;1.033;0.563
3696;2016 zondag 14 februari;1.388;1.034;0.561
3697;2016 maandag 15 februari;1.389;1.036;0.558
3698;2016 dinsdag 16 februari;1.388;1.036;0.563
3699;2016 woensdag 17 februari;1.388;1.034;0.559
3700;2016 donderdag 18 februari;1.38;1.034;0.564
3701;2016 vrijdag 19 februari;1.38;1.043;0.561
3702;2016 zaterdag 20 februari;1.377;1.042;0.56
3703;2016 zondag 21 februari;1.379;1.042;0.547
3704;2016 maandag 22 februari;1.38;1.045;0.564
3705;2016 dinsdag 23 februari;1.374;1.045;0.557
3706;2016 woensdag 24 februari;1.371;1.044;0.558
3707;2016 donderdag 25 februari;1.368;1.042;0.56
3708;2016 vrijdag 26 februari;1.369;1.045;0.562
3709;2016 zaterdag 27 februari;1.375;1.05;0.563
3710;2016 zondag 28 februari;1.377;1.05;0.555
3711;2016 maandag 29 februari;1.379;1.053;0.554
3712;2016 dinsdag 1 maart;1.385;1.055;0.557
3713;2016 woensdag 2 maart;1.384;1.06;0.555
3714;2016 donderdag 3 maart;1.382;1.062;0.557
3715;2016 vrijdag 4 maart;1.385;1.064;0.552
3716;2016 zaterdag 5 maart;1.383;1.063;0.558
3717;2016 zondag 6 maart;1.385;1.062;0.56
3718;2016 maandag 7 maart;1.385;1.065;0.558
3719;2016 dinsdag 8 maart;1.391;1.072;0.558
3720;2016 woensdag 9 maart;1.4;1.08;0.565
3721;2016 donderdag 10 maart;1.404;1.089;0.56
3722;2016 vrijdag 11 maart;1.413;1.093;0.56
3723;2016 zaterdag 12 maart;1.413;1.097;0.556
3724;2016 zondag 13 maart;1.415;1.097;0.563
3725;2016 maandag 14 maart;1.416;1.1;0.558
3726;2016 dinsdag 15 maart;1.415;1.101;0.561
3727;2016 woensdag 16 maart;1.414;1.099;0.561
3728;2016 donderdag 17 maart;1.412;1.099;0.568
3729;2016 vrijdag 18 maart;1.411;1.103;0.569
3730;2016 zaterdag 19 maart;1.407;1.101;0.565
3731;2016 zondag 20 maart;1.409;1.102;0.559
3732;2016 maandag 21 maart;1.41;1.104;0.566
3733;2016 dinsdag 22 maart;1.41;1.104;0.569
3734;2016 woensdag 23 maart;1.41;1.103;0.567
3735;2016 donderdag 24 maart;1.414;1.103;0.569
3736;2016 vrijdag 25 maart;1.424;1.103;0.573
3737;2016 zaterdag 26 maart;1.423;1.101;0.564
3738;2016 zondag 27 maart;1.427;1.101;0.563
3739;2016 maandag 28 maart;1.426;1.102;0.559
3740;2016 dinsdag 29 maart;1.426;1.104;0.565
3741;2016 woensdag 30 maart;1.435;1.1;0.572
3742;2016 donderdag 31 maart;1.444;1.097;0.561
3743;2016 vrijdag 1 april;1.449;1.098;0.571
3744;2016 zaterdag 2 april;1.451;1.091;0.563
3745;2016 zondag 3 april;1.453;1.091;0.573
3746;2016 maandag 4 april;1.455;1.092;0.568
3747;2016 dinsdag 5 april;1.453;1.088;0.575
3748;2016 woensdag 6 april;1.452;1.08;0.567
3749;2016 donderdag 7 april;1.447;1.073;0.573
3750;2016 vrijdag 8 april;1.447;1.07;0.564
3751;2016 zaterdag 9 april;1.449;1.069;0.562
3752;2016 zondag 10 april;1.452;1.07;0.555
3753;2016 maandag 11 april;1.454;1.072;0.565
3754;2016 dinsdag 12 april;1.461;1.076;0.57
3755;2016 woensdag 13 april;1.465;1.083;0.568
3756;2016 donderdag 14 april;1.471;1.091;0.566
3757;2016 vrijdag 15 april;1.48;1.095;0.57
3758;2016 zaterdag 16 april;1.479;1.092;0.566
3759;2016 zondag 17 april;1.482;1.092;0.569
3760;2016 maandag 18 april;1.483;1.095;0.567
3761;2016 dinsdag 19 april;1.479;1.095;0.567
3762;2016 woensdag 20 april;1.475;1.094;0.574
3763;2016 donderdag 21 april;1.474;1.095;0.565
3764;2016 vrijdag 22 april;1.477;1.103;0.566
3765;2016 zaterdag 23 april;1.475;1.105;0.563
3766;2016 zondag 24 april;1.476;1.106;0.564
3767;2016 maandag 25 april;1.478;1.108;0.566
3768;2016 dinsdag 26 april;1.479;1.11;0.567
3769;2016 woensdag 27 april;1.477;1.108;0.571
3770;2016 donderdag 28 april;1.477;1.11;0.566
3771;2016 vrijdag 29 april;1.485;1.119;0.57
3772;2016 zaterdag 30 april;1.489;1.122;0.564
3773;2016 zondag 1 mei;1.491;1.123;0.559
3774;2016 maandag 2 mei;1.493;1.125;0.568
3775;2016 dinsdag 3 mei;1.494;1.126;0.563
3776;2016 woensdag 4 mei;1.493;1.121;0.565
3777;2016 donderdag 5 mei;1.486;1.118;0.562
3778;2016 vrijdag 6 mei;1.488;1.12;0.567
3779;2016 zaterdag 7 mei;1.484;1.114;0.576
3780;2016 zondag 8 mei;1.487;1.114;0.559
3781;2016 maandag 9 mei;1.487;1.117;0.561
3782;2016 dinsdag 10 mei;1.485;1.111;0.569
3783;2016 woensdag 11 mei;1.479;1.108;0.56
3784;2016 donderdag 12 mei;1.475;1.112;0.565
3785;2016 vrijdag 13 mei;1.478;1.122;0.563
3786;2016 zaterdag 14 mei;1.483;1.124;0.567
3787;2016 zondag 15 mei;1.486;1.126;0.555
3788;2016 maandag 16 mei;1.486;1.126;0.554
3789;2016 dinsdag 17 mei;1.487;1.128;0.561
3790;2016 woensdag 18 mei;1.492;1.134;0.561
3791;2016 donderdag 19 mei;1.499;1.142;0.558
3792;2016 vrijdag 20 mei;1.503;1.145;0.562
3793;2016 zaterdag 21 mei;1.503;1.144;0.554
3794;2016 zondag 22 mei;1.504;1.144;0.546
3795;2016 maandag 23 mei;1.505;1.146;0.559
3796;2016 dinsdag 24 mei;1.505;1.152;0.555
3797;2016 woensdag 25 mei;1.51;1.157;0.558
3798;2016 donderdag 26 mei;1.518;1.164;0.56
3799;2016 vrijdag 27 mei;1.527;1.171;0.567
3800;2016 zaterdag 28 mei;1.527;1.172;0.561
3801;2016 zondag 29 mei;1.528;1.173;0.558
3802;2016 maandag 30 mei;1.531;1.176;0.566
3803;2016 dinsdag 31 mei;1.53;1.177;0.563
3804;2016 woensdag 1 juni;1.528;1.176;0.558
3805;2016 donderdag 2 juni;1.526;1.174;0.567
3806;2016 vrijdag 3 juni;1.528;1.175;0.569
3807;2016 zaterdag 4 juni;1.525;1.17;0.563
3808;2016 zondag 5 juni;1.528;1.171;0.559
3809;2016 maandag 6 juni;1.529;1.173;0.562
3810;2016 dinsdag 7 juni;1.528;1.171;0.568
3811;2016 woensdag 8 juni;1.522;1.168;0.569
3812;2016 donderdag 9 juni;1.517;1.172;0.564
3813;2016 vrijdag 10 juni;1.519;1.175;0.568
3814;2016 zaterdag 11 juni;1.517;1.174;0.562
3815;2016 zondag 12 juni;1.518;1.174;0.563
3816;2016 maandag 13 juni;1.519;1.176;0.572
3817;2016 dinsdag 14 juni;1.519;1.176;0.564
3818;2016 woensdag 15 juni;1.518;1.174;0.566
3819;2016 donderdag 16 juni;1.516;1.171;0.565
3820;2016 vrijdag 17 juni;1.517;1.169;0.564
3821;2016 zaterdag 18 juni;1.513;1.164;0.558
3822;2016 zondag 19 juni;1.515;1.165;0.553
3823;2016 maandag 20 juni;1.517;1.167;0.566
3824;2016 dinsdag 21 juni;1.516;1.169;0.569
3825;2016 woensdag 22 juni;1.517;1.168;0.563
3826;2016 donderdag 23 juni;1.517;1.168;0.565
3827;2016 vrijdag 24 juni;1.518;1.17;0.563
3828;2016 zaterdag 25 juni;1.517;1.166;0.567
3829;2016 zondag 26 juni;1.519;1.166;0.558
3830;2016 maandag 27 juni;1.521;1.169;0.568
3831;2016 dinsdag 28 juni;1.519;1.168;0.567
3832;2016 woensdag 29 juni;1.516;1.165;0.563
3833;2016 donderdag 30 juni;1.515;1.165;0.563
3834;2016 vrijdag 1 juli;1.517;1.168;0.571
3835;2016 zaterdag 2 juli;1.51;1.161;0.561
3836;2016 zondag 3 juli;1.513;1.162;0.566
3837;2016 maandag 4 juli;1.513;1.164;0.561
3838;2016 dinsdag 5 juli;1.51;1.161;0.564
3839;2016 woensdag 6 juli;1.502;1.154;0.559
3840;2016 donderdag 7 juli;1.495;1.15;0.554
3841;2016 vrijdag 8 juli;1.492;1.15;0.564
3842;2016 zaterdag 9 juli;1.482;1.143;0.557
3843;2016 zondag 10 juli;1.483;1.143;0.555
3844;2016 maandag 11 juli;1.483;1.146;0.555
3845;2016 dinsdag 12 juli;1.477;1.14;0.554
3846;2016 woensdag 13 juli;1.471;1.138;0.555
3847;2016 donderdag 14 juli;1.469;1.136;0.552
3848;2016 vrijdag 15 juli;1.468;1.136;0.547
3849;2016 zaterdag 16 juli;1.464;1.131;0.544
3850;2016 zondag 17 juli;1.466;1.132;0.547
3851;2016 maandag 18 juli;1.468;1.133;0.551
3852;2016 dinsdag 19 juli;1.467;1.13;0.546
3853;2016 woensdag 20 juli;1.466;1.127;0.548
3854;2016 donderdag 21 juli;1.465;1.126;0.549
3855;2016 vrijdag 22 juli;1.467;1.13;0.543
3856;2016 zaterdag 23 juli;1.462;1.126;0.544
3857;2016 zondag 24 juli;1.466;1.126;0.539
3858;2016 maandag 25 juli;1.464;1.128;0.54
3859;2016 dinsdag 26 juli;1.462;1.123;0.546
3860;2016 woensdag 27 juli;1.459;1.12;0.548
3861;2016 donderdag 28 juli;1.456;1.114;0.545
3862;2016 vrijdag 29 juli;1.454;1.111;0.548
3863;2016 zaterdag 30 juli;1.45;1.101;0.541
3864;2016 zondag 31 juli;1.452;1.102;0.534
3865;2016 maandag 1 augustus;1.451;1.102;0.541
3866;2016 dinsdag 2 augustus;1.445;1.1;0.543
3867;2016 woensdag 3 augustus;1.445;1.093;0.546
3868;2016 donderdag 4 augustus;1.443;1.09;0.548
3869;2016 vrijdag 5 augustus;1.445;1.089;0.548
3870;2016 zaterdag 6 augustus;1.445;1.088;0.531
3871;2016 zondag 7 augustus;1.448;1.089;0.541
3872;2016 maandag 8 augustus;1.45;1.092;0.542
3873;2016 dinsdag 9 augustus;1.454;1.098;0.538
3874;2016 woensdag 10 augustus;1.453;1.104;0.547
3875;2016 donderdag 11 augustus;1.455;1.107;0.538
3876;2016 vrijdag 12 augustus;1.457;1.109;0.55
3877;2016 zaterdag 13 augustus;1.456;1.108;0.542
3878;2016 zondag 14 augustus;1.457;1.11;0.537
3879;2016 maandag 15 augustus;1.459;1.113;0.543
3880;2016 dinsdag 16 augustus;1.463;1.12;0.538
3881;2016 woensdag 17 augustus;1.465;1.125;0.534
3882;2016 donderdag 18 augustus;1.464;1.129;0.543
3883;2016 vrijdag 19 augustus;1.472;1.135;0.55
3884;2016 zaterdag 20 augustus;1.481;1.142;0.531
3885;2016 zondag 21 augustus;1.482;1.143;0.534
3886;2016 maandag 22 augustus;1.483;1.146;0.535
3887;2016 dinsdag 23 augustus;1.484;1.147;0.535
3888;2016 woensdag 24 augustus;1.484;1.147;0.529
3889;2016 donderdag 25 augustus;1.483;1.147;0.535
3890;2016 vrijdag 26 augustus;1.485;1.148;0.536
3891;2016 zaterdag 27 augustus;1.484;1.146;0.535
3892;2016 zondag 28 augustus;1.485;1.147;0.547
3893;2016 maandag 29 augustus;1.486;1.149;0.539
3894;2016 dinsdag 30 augustus;1.487;1.15;0.538
3895;2016 woensdag 31 augustus;1.492;1.154;0.547
3896;2016 donderdag 1 september;1.491;1.155;0.546
3897;2016 vrijdag 2 september;1.494;1.157;0.548
3898;2016 zaterdag 3 september;1.487;1.149;0.545
3899;2016 zondag 4 september;1.489;1.151;0.547
3900;2016 maandag 5 september;1.49;1.153;0.545
3901;2016 dinsdag 6 september;1.486;1.153;0.552
3902;2016 woensdag 7 september;1.489;1.153;0.551
3903;2016 donderdag 8 september;1.488;1.154;0.564
3904;2016 vrijdag 9 september;1.498;1.156;0.557
3905;2016 zaterdag 10 september;1.498;1.154;0.56
3906;2016 zondag 11 september;1.5;1.155;0.552
3907;2016 maandag 12 september;1.502;1.158;0.555
3908;2016 dinsdag 13 september;1.502;1.156;0.554
3909;2016 woensdag 14 september;1.501;1.154;0.558
3910;2016 donderdag 15 september;1.499;1.153;0.557
3911;2016 vrijdag 16 september;1.496;1.15;0.556
3912;2016 zaterdag 17 september;1.492;1.145;0.558
3913;2016 zondag 18 september;1.495;1.147;0.547
3914;2016 maandag 19 september;1.496;1.149;0.556
3915;2016 dinsdag 20 september;1.494;1.148;0.558
3916;2016 woensdag 21 september;1.492;1.145;0.555
3917;2016 donderdag 22 september;1.49;1.145;0.555
3918;2016 vrijdag 23 september;1.493;1.147;0.561
3919;2016 zaterdag 24 september;1.486;1.145;0.556
3920;2016 zondag 25 september;1.49;1.147;0.557
3921;2016 maandag 26 september;1.489;1.149;0.558
3922;2016 dinsdag 27 september;1.476;1.135;0.565
3923;2016 woensdag 28 september;1.477;1.138;0.566
3924;2016 donderdag 29 september;1.475;1.136;0.567
3925;2016 vrijdag 30 september;1.482;1.144;0.571
3926;2016 zaterdag 1 oktober;1.484;1.151;0.573
3927;2016 zondag 2 oktober;1.486;1.153;0.569
3928;2016 maandag 3 oktober;1.489;1.156;0.571
3929;2016 dinsdag 4 oktober;1.494;1.165;0.576
3930;2016 woensdag 5 oktober;1.501;1.171;0.573
3931;2016 donderdag 6 oktober;1.509;1.18;0.581
3932;2016 vrijdag 7 oktober;1.513;1.185;0.573
3933;2016 zaterdag 8 oktober;1.512;1.183;0.573
3934;2016 zondag 9 oktober;1.514;1.184;0.57
3935;2016 maandag 10 oktober;1.515;1.187;0.58
3936;2016 dinsdag 11 oktober;1.522;1.194;0.58
3937;2016 woensdag 12 oktober;1.523;1.195;0.581
3938;2016 donderdag 13 oktober;1.522;1.195;0.58
3939;2016 vrijdag 14 oktober;1.524;1.196;0.587
3940;2016 zaterdag 15 oktober;1.52;1.192;0.573
3941;2016 zondag 16 oktober;1.523;1.192;0.568
3942;2016 maandag 17 oktober;1.524;1.196;0.577
3943;2016 dinsdag 18 oktober;1.524;1.2;0.581
3944;2016 woensdag 19 oktober;1.524;1.203;0.59
3945;2016 donderdag 20 oktober;1.523;1.205;0.584
3946;2016 vrijdag 21 oktober;1.525;1.206;0.586
3947;2016 zaterdag 22 oktober;1.521;1.203;0.586
3948;2016 zondag 23 oktober;1.523;1.204;0.578
3949;2016 maandag 24 oktober;1.524;1.206;0.585
3950;2016 dinsdag 25 oktober;1.525;1.211;0.59
3951;2016 woensdag 26 oktober;1.528;1.214;0.586
3952;2016 donderdag 27 oktober;1.529;1.214;0.588
3953;2016 vrijdag 28 oktober;1.533;1.216;0.591
3954;2016 zaterdag 29 oktober;1.526;1.212;0.584
3955;2016 zondag 30 oktober;1.528;1.213;0.582
3956;2016 maandag 31 oktober;1.529;1.214;0.589
3957;2016 dinsdag 1 november;1.525;1.211;0.59
3958;2016 woensdag 2 november;1.522;1.206;0.589
3959;2016 donderdag 3 november;1.514;1.198;0.591
3960;2016 vrijdag 4 november;1.513;1.192;0.594
3961;2016 zaterdag 5 november;1.504;1.184;0.59
3962;2016 zondag 6 november;1.507;1.185;0.59
3963;2016 maandag 7 november;1.508;1.188;0.584
3964;2016 dinsdag 8 november;1.505;1.183;0.597
3965;2016 woensdag 9 november;1.502;1.177;0.593
3966;2016 donderdag 10 november;1.495;1.176;0.598
3967;2016 vrijdag 11 november;1.495;1.177;0.597
3968;2016 zaterdag 12 november;1.491;1.172;0.592
3969;2016 zondag 13 november;1.491;1.173;0.585
3970;2016 maandag 14 november;1.494;1.176;0.591
3971;2016 dinsdag 15 november;1.488;1.172;0.592
3972;2016 woensdag 16 november;1.485;1.168;0.598
3973;2016 donderdag 17 november;1.482;1.166;0.597
3974;2016 vrijdag 18 november;1.489;1.172;0.601
3975;2016 zaterdag 19 november;1.489;1.173;0.599
3976;2016 zondag 20 november;1.492;1.174;0.6
3977;2016 maandag 21 november;1.493;1.177;0.601
3978;2016 dinsdag 22 november;1.495;1.186;0.605
3979;2016 woensdag 23 november;1.499;1.191;0.596
3980;2016 donderdag 24 november;1.499;1.197;0.605
3981;2016 vrijdag 25 november;1.506;1.201;0.606
3982;2016 zaterdag 26 november;1.508;1.2;0.601
3983;2016 zondag 27 november;1.511;1.203;0.603
3984;2016 maandag 28 november;1.513;1.205;0.605
3985;2016 dinsdag 29 november;1.512;1.205;0.599
3986;2016 woensdag 30 november;1.511;1.2;0.602
3987;2016 donderdag 1 december;1.511;1.199;0.609
3988;2016 vrijdag 2 december;1.524;1.211;0.61
3989;2016 zaterdag 3 december;1.529;1.214;0.611
3990;2016 zondag 4 december;1.531;1.215;0.608
3991;2016 maandag 5 december;1.533;1.219;0.616
3992;2016 dinsdag 6 december;1.54;1.226;0.626
3993;2016 woensdag 7 december;1.54;1.226;0.624
3994;2016 donderdag 8 december;1.54;1.225;0.626
3995;2016 vrijdag 9 december;1.542;1.227;0.631
3996;2016 zaterdag 10 december;1.539;1.225;0.625
3997;2016 zondag 11 december;1.542;1.226;0.625
3998;2016 maandag 12 december;1.543;1.229;0.623
3999;2016 dinsdag 13 december;1.551;1.235;0.626
4000;2016 woensdag 14 december;1.554;1.242;0.626
4001;2016 donderdag 15 december;1.552;1.244;0.634
4002;2016 vrijdag 16 december;1.554;1.245;0.633
4003;2016 zaterdag 17 december;1.552;1.242;0.627
4004;2016 zondag 18 december;1.555;1.244;0.628
4005;2016 maandag 19 december;1.557;1.247;0.626
4006;2016 dinsdag 20 december;1.555;1.247;0.634
4007;2016 woensdag 21 december;1.559;1.251;0.633
4008;2016 donderdag 22 december;1.56;1.253;0.636
4009;2016 vrijdag 23 december;1.564;1.255;0.638
4010;2016 zaterdag 24 december;1.559;1.249;0.643
4011;2016 zondag 25 december;1.56;1.251;0.627
4012;2016 maandag 26 december;1.562;1.252;0.632
4013;2016 dinsdag 27 december;1.561;1.252;0.635
4014;2016 woensdag 28 december;1.557;1.249;0.645
4015;2016 donderdag 29 december;1.558;1.253;0.642
4016;2016 vrijdag 30 december;1.563;1.257;0.642
4017;2016 zaterdag 31 december;1.564;1.256;0.643
4018;2017 zondag 1 januari;1.563;1.256;0.635
4019;2017 maandag 2 januari;1.564;1.258;0.639
4020;2017 dinsdag 3 januari;1.565;1.26;0.634
4021;2017 woensdag 4 januari;1.568;1.263;0.649
4022;2017 donderdag 5 januari;1.569;1.263;0.641
4023;2017 vrijdag 6 januari;1.572;1.264;0.648
4024;2017 zaterdag 7 januari;1.57;1.257;0.642
4025;2017 zondag 8 januari;1.571;1.259;0.64
4026;2017 maandag 9 januari;1.573;1.26;0.648
4027;2017 dinsdag 10 januari;1.572;1.257;0.646
4028;2017 woensdag 11 januari;1.568;1.249;0.645
4029;2017 donderdag 12 januari;1.563;1.245;0.644
4030;2017 vrijdag 13 januari;1.564;1.245;0.654
4031;2017 zaterdag 14 januari;1.561;1.242;0.658
