ID;Geslacht;Leeftijd;Marges;RegioS;Perioden;PersonenMetEenWerkloosheidsuitkering_1
301;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2013 december;18490.0
302;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 januari;18160.0
303;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 februari;18020.0
304;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 maart;16760.0
305;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 april;16380.0
306;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 mei;16350.0
307;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 juni;16340.0
308;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 juli;16590.0
309;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 augustus;16520.0
310;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 september;16470.0
311;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 oktober;16500.0
312;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 november;16450.0
313;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2014 december;16570.0
314;Totaal mannen en vrouwen;Totaal;Waarde;Fryslân (PV);2015 januari;16450.0
