ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
4968;10 or more employed persons;F Construction;2015 September;79.4;8.0
4969;10 or more employed persons;F Construction;2015 3rd quarter;69.2;9.0
4970;10 or more employed persons;F Construction;2015 October;82.0;-4.7
4971;10 or more employed persons;F Construction;2015 November;83.8;2.2
4972;10 or more employed persons;F Construction;2015 December;91.1;0.7
4973;10 or more employed persons;F Construction;2015 4th quarter;85.6;-0.6
4974;10 or more employed persons;F Construction;2015;71.5;3.9
4975;10 or more employed persons;F Construction;2016 January;51.7;6.0
4976;10 or more employed persons;F Construction;2016 February;62.9;10.5
4977;10 or more employed persons;F Construction;2016 March;73.2;3.8
4978;10 or more employed persons;F Construction;2016 1st quarter;62.6;6.6
4979;10 or more employed persons;F Construction;2016 April;72.8;7.1
4980;10 or more employed persons;F Construction;2016 May;72.3;4.7
4981;10 or more employed persons;F Construction;2016 June;84.7;5.4
4982;10 or more employed persons;F Construction;2016 2nd quarter;76.6;5.7
4983;10 or more employed persons;F Construction;2016 July;80.8;6.2
4984;10 or more employed persons;F Construction;2016 August;54.4;4.1
4985;10 or more employed persons;F Construction;2016 September;82.2;3.5
4986;10 or more employed persons;F Construction;2016 3rd quarter;72.5;4.7
4987;10 or more employed persons;F Construction;2016 October;84.0;2.4
4988;10 or more employed persons;F Construction;2016 November;89.8;7.2
4989;10 or more employed persons;F Construction;2016 December;97.3;6.8
4990;10 or more employed persons;F Construction;2016 4th quarter;90.4;5.6
4991;10 or more employed persons;F Construction;2016;75.5;5.6
4992;10 or more employed persons;F Construction;2017 January;51.2;-1.0
4993;10 or more employed persons;F Construction;2017 February;65.0;3.4
4994;10 or more employed persons;F Construction;2017 March;81.5;11.3
4995;10 or more employed persons;F Construction;2017 1st quarter;65.9;5.3
4996;10 or more employed persons;F Construction;2017 April;71.8;-1.4
4997;10 or more employed persons;F Construction;2017 May;81.9;13.4
4998;10 or more employed persons;F Construction;2017 June;87.3;3.1
4999;10 or more employed persons;F Construction;2017 2nd quarter;80.4;4.9
5000;10 or more employed persons;F Construction;2017 July;82.4;1.9
5001;10 or more employed persons;F Construction;2017 August;56.9;4.6
5002;10 or more employed persons;F Construction;2017 September;83.3;1.4
5003;10 or more employed persons;F Construction;2017 3rd quarter;74.2;2.4
5004;10 or more employed persons;F Construction;2017 October;90.4;7.6
5005;10 or more employed persons;F Construction;2017 November;97.3;8.3
5006;10 or more employed persons;F Construction;2017 December;102.9;5.7
5007;10 or more employed persons;F Construction;2017 4th quarter;96.9;7.2
5008;10 or more employed persons;F Construction;2017;79.3;5.1
5009;10 or more employed persons;F Construction;2018 January;57.6;12.7
5010;10 or more employed persons;F Construction;2018 February;69.9;7.5
5011;10 or more employed persons;F Construction;2018 March;83.1;1.9
5012;10 or more employed persons;F Construction;2018 1st quarter;70.2;6.5
5013;10 or more employed persons;F Construction;2018 April;85.3;18.9
5014;10 or more employed persons;F Construction;2018 May;89.1;8.7
5015;10 or more employed persons;F Construction;2018 June;96.2;10.2
5016;10 or more employed persons;F Construction;2018 2nd quarter;90.2;12.3
5017;10 or more employed persons;F Construction;2018 July;91.3;10.9
5018;10 or more employed persons;F Construction;2018 August;63.1;11.0
5019;10 or more employed persons;F Construction;2018 September;89.4;7.3
5020;10 or more employed persons;F Construction;2018 3rd quarter;81.3;9.5
5021;10 or more employed persons;F Construction;2018 October;101.7;12.5
5022;10 or more employed persons;F Construction;2018 November;107.8;10.8
5023;10 or more employed persons;F Construction;2018 December;110.4;7.3
5024;10 or more employed persons;F Construction;2018 4th quarter;106.6;10.1
5025;10 or more employed persons;F Construction;2018;87.1;9.8
5026;10 or more employed persons;F Construction;2019 January;64.0;11.1
5027;10 or more employed persons;F Construction;2019 February;81.0;15.8
5028;10 or more employed persons;F Construction;2019 March;92.3;11.1
5029;10 or more employed persons;F Construction;2019 1st quarter;79.1;12.7
5030;10 or more employed persons;F Construction;2019 April;94.4;10.7
5031;10 or more employed persons;F Construction;2019 May;99.7;12.0
5032;10 or more employed persons;F Construction;2019 June;93.3;-3.1
5033;10 or more employed persons;F Construction;2019 2nd quarter;95.8;6.2
5034;10 or more employed persons;F Construction;2019 July;99.6;9.0
5035;10 or more employed persons;F Construction;2019 August;66.6;5.6
5036;10 or more employed persons;F Construction;2019 September;101.0;13.0
5037;10 or more employed persons;F Construction;2019 3rd quarter;89.1;9.6
5038;10 or more employed persons;F Construction;2019 October;107.5;5.7
5039;10 or more employed persons;F Construction;2019 November;108.3;0.4
5040;10 or more employed persons;F Construction;2019 December;112.7;2.1
5041;10 or more employed persons;F Construction;2019 4th quarter;109.5;2.7
5042;10 or more employed persons;F Construction;2019;93.4;7.2
5043;10 or more employed persons;F Construction;2020 January;73.2;14.3
5044;10 or more employed persons;F Construction;2020 February;83.1;2.6
5045;10 or more employed persons;F Construction;2020 March;101.7;10.2
5046;10 or more employed persons;F Construction;2020 1st quarter;86.0;8.7
5047;10 or more employed persons;F Construction;2020 April;94.1;-0.4
5048;10 or more employed persons;F Construction;2020 May;90.5;-9.2
5049;10 or more employed persons;F Construction;2020 June;101.2;8.5
5050;10 or more employed persons;F Construction;2020 2nd quarter;95.3;-0.6
5051;10 or more employed persons;F Construction;2020 July;99.8;0.2
5052;10 or more employed persons;F Construction;2020 August;65.4;-1.8
5053;10 or more employed persons;F Construction;2020 September;102.2;1.2
5054;10 or more employed persons;F Construction;2020 3rd quarter;89.2;0.1
5055;10 or more employed persons;F Construction;2020 October;106.6;-0.8
5056;10 or more employed persons;F Construction;2020 November;108.1;-0.1
5057;10 or more employed persons;F Construction;2020 December;113.6;0.8
5058;10 or more employed persons;F Construction;2020 4th quarter;109.5;0.0
5059;10 or more employed persons;F Construction;2020;95.0;1.7
5060;10 or more employed persons;F Construction;2021 January;72.5;-0.9
5061;10 or more employed persons;F Construction;2021 February;80.4;-3.3
5062;10 or more employed persons;F Construction;2021 March;104.4;2.7
5063;10 or more employed persons;F Construction;2021 1st quarter;85.8;-0.2
5064;10 or more employed persons;F Construction;2021 April;100.8;7.1
5065;10 or more employed persons;F Construction;2021 May;94.3;4.1
5066;10 or more employed persons;F Construction;2021 June;111.5;10.2
5067;10 or more employed persons;F Construction;2021 2nd quarter;102.2;7.3
5068;10 or more employed persons;F Construction;2021 July;111.2;11.4
5069;10 or more employed persons;F Construction;2021 August;64.7;-1.1
5070;10 or more employed persons;F Construction;2021 September;106.6;4.3
5071;10 or more employed persons;F Construction;2021 3rd quarter;94.2;5.6
5072;10 or more employed persons;F Construction;2021 October;105.7;-0.9
5073;10 or more employed persons;F Construction;2021 November;118.6;9.7
5074;10 or more employed persons;F Construction;2021 December;129.2;13.7
5075;10 or more employed persons;F Construction;2021 4th quarter;117.8;7.6
5076;10 or more employed persons;F Construction;2021;100.0;5.3
5077;10 or more employed persons;F Construction;2022 January;69.9;-3.6
5078;10 or more employed persons;F Construction;2022 February;91.3;13.6
5079;10 or more employed persons;F Construction;2022 March;114.0;9.1
5080;10 or more employed persons;F Construction;2022 1st quarter;91.7;6.9
5081;10 or more employed persons;F Construction;2022 April;104.0;3.2
5082;10 or more employed persons;F Construction;2022 May;109.8;16.4
5083;10 or more employed persons;F Construction;2022 June;119.6;7.2
5084;10 or more employed persons;F Construction;2022 2nd quarter;111.1;8.7
5085;10 or more employed persons;F Construction;2022 July;116.2;4.5
5086;10 or more employed persons;F Construction;2022 August;70.4;8.7
5087;10 or more employed persons;F Construction;2022 September;112.4;5.4
5088;10 or more employed persons;F Construction;2022 3rd quarter;99.7;5.8
5089;10 or more employed persons;F Construction;2022 October;117.5;11.2
5090;10 or more employed persons;F Construction;2022 November;129.4;9.1
5091;10 or more employed persons;F Construction;2022 December;139.6;8.1
5092;10 or more employed persons;F Construction;2022 4th quarter;128.8;9.3
5093;10 or more employed persons;F Construction;2022;107.8;7.8
5094;10 or more employed persons;F Construction;2023 January;77.0;10.1
5095;10 or more employed persons;F Construction;2023 February;98.8;8.3
5096;10 or more employed persons;F Construction;2023 March;124.9;9.5
5097;10 or more employed persons;F Construction;2023 1st quarter;100.2;9.3
5098;10 or more employed persons;F Construction;2023 April;105.1;1.0
5099;10 or more employed persons;F Construction;2023 May;117.2;6.8
5100;10 or more employed persons;F Construction;2023 June;130.7;9.3
5101;10 or more employed persons;F Construction;2023 2nd quarter;117.6;5.9
5102;10 or more employed persons;F Construction;2023 July;121.8;4.7
5103;10 or more employed persons;F Construction;2023 August;77.5;10.2
5104;10 or more employed persons;F Construction;2023 September;116.0;3.2
5105;10 or more employed persons;F Construction;2023 3rd quarter;105.1;5.4
5106;10 or more employed persons;F Construction;2023 October;126.6;7.7
5107;10 or more employed persons;F Construction;2023 November;131.4;1.5
5108;10 or more employed persons;F Construction;2023 December;139.3;-0.2
5109;10 or more employed persons;F Construction;2023 4th quarter;132.4;2.8
5110;10 or more employed persons;F Construction;2023;113.8;5.6
5111;10 or more employed persons;F Construction;2024 January;78.1;1.5
5112;10 or more employed persons;F Construction;2024 February;100.6;1.8
5113;10 or more employed persons;F Construction;2024 March;116.5;-6.7
5114;10 or more employed persons;F Construction;2024 1st quarter;98.4;-1.8
5115;10 or more employed persons;F Construction;2024 April;117.5;11.9
5116;10 or more employed persons;F Construction;2024 May;118.5;1.1
5117;10 or more employed persons;F Construction;2024 June;118.8;-9.0
5118;10 or more employed persons;F Construction;2024 2nd quarter;118.3;0.5
5119;10 or more employed persons;F Construction;2024 July;126.6;4.0
5120;10 or more employed persons;F Construction;2024 August;80.7;4.1
5121;10 or more employed persons;F Construction;2024 September;117.2;1.0
5122;10 or more employed persons;F Construction;2024 3rd quarter;108.2;2.9
5123;10 or more employed persons;F Construction;2024 October;136.9;8.1
5124;10 or more employed persons;F Construction;2024 November;136.6;4.0
5125;10 or more employed persons;F Construction;2024 December;140.6;1.0
5126;10 or more employed persons;F Construction;2024 4th quarter;138.0;4.2
5127;10 or more employed persons;F Construction;2024;115.7;1.7
5128;10 or more employed persons;F Construction;2025 January;91.5;17.1
5129;10 or more employed persons;F Construction;2025 February;106.1;5.5
5130;10 or more employed persons;41 Construction buildings, development;2005 January;52.7;-2.6
5131;10 or more employed persons;41 Construction buildings, development;2005 February;62.8;-4.4
5132;10 or more employed persons;41 Construction buildings, development;2005 March;74.2;-7.4
5133;10 or more employed persons;41 Construction buildings, development;2005 1st quarter;63.3;-5.1
5134;10 or more employed persons;41 Construction buildings, development;2005 April;83.0;4.3
5135;10 or more employed persons;41 Construction buildings, development;2005 May;77.7;9.1
5136;10 or more employed persons;41 Construction buildings, development;2005 June;92.7;8.1
5137;10 or more employed persons;41 Construction buildings, development;2005 2nd quarter;84.5;7.1
5138;10 or more employed persons;41 Construction buildings, development;2005 July;75.2;0.7
5139;10 or more employed persons;41 Construction buildings, development;2005 August;49.4;9.4
5140;10 or more employed persons;41 Construction buildings, development;2005 September;86.1;5.1
5141;10 or more employed persons;41 Construction buildings, development;2005 3rd quarter;70.2;4.4
5142;10 or more employed persons;41 Construction buildings, development;2005 October;86.9;2.8
5143;10 or more employed persons;41 Construction buildings, development;2005 November;90.2;1.9
5144;10 or more employed persons;41 Construction buildings, development;2005 December;101.6;7.9
5145;10 or more employed persons;41 Construction buildings, development;2005 4th quarter;92.9;4.3
5146;10 or more employed persons;41 Construction buildings, development;2005;77.7;3.0
5147;10 or more employed persons;41 Construction buildings, development;2006 January;53.5;1.5
5148;10 or more employed persons;41 Construction buildings, development;2006 February;69.3;10.2
5149;10 or more employed persons;41 Construction buildings, development;2006 March;88.4;19.2
5150;10 or more employed persons;41 Construction buildings, development;2006 1st quarter;70.4;11.3
5151;10 or more employed persons;41 Construction buildings, development;2006 April;81.8;-1.5
5152;10 or more employed persons;41 Construction buildings, development;2006 May;90.6;16.5
5153;10 or more employed persons;41 Construction buildings, development;2006 June;95.8;3.4
5154;10 or more employed persons;41 Construction buildings, development;2006 2nd quarter;89.4;5.8
5155;10 or more employed persons;41 Construction buildings, development;2006 July;74.8;-0.5
5156;10 or more employed persons;41 Construction buildings, development;2006 August;51.8;4.9
5157;10 or more employed persons;41 Construction buildings, development;2006 September;92.5;7.5
5158;10 or more employed persons;41 Construction buildings, development;2006 3rd quarter;73.0;4.0
5159;10 or more employed persons;41 Construction buildings, development;2006 October;93.3;7.4
5160;10 or more employed persons;41 Construction buildings, development;2006 November;99.3;10.1
5161;10 or more employed persons;41 Construction buildings, development;2006 December;106.7;4.9
5162;10 or more employed persons;41 Construction buildings, development;2006 4th quarter;99.8;7.4
5163;10 or more employed persons;41 Construction buildings, development;2006;83.1;7.0
5164;10 or more employed persons;41 Construction buildings, development;2007 January;60.2;12.5
5165;10 or more employed persons;41 Construction buildings, development;2007 February;79.2;14.3
5166;10 or more employed persons;41 Construction buildings, development;2007 March;99.7;12.8
5167;10 or more employed persons;41 Construction buildings, development;2007 1st quarter;79.7;13.2
5168;10 or more employed persons;41 Construction buildings, development;2007 April;92.3;12.9
5169;10 or more employed persons;41 Construction buildings, development;2007 May;95.3;5.2
5170;10 or more employed persons;41 Construction buildings, development;2007 June;107.9;12.6
5171;10 or more employed persons;41 Construction buildings, development;2007 2nd quarter;98.5;10.2
5172;10 or more employed persons;41 Construction buildings, development;2007 July;86.9;16.1
5173;10 or more employed persons;41 Construction buildings, development;2007 August;60.8;17.4
5174;10 or more employed persons;41 Construction buildings, development;2007 September;97.1;5.0
5175;10 or more employed persons;41 Construction buildings, development;2007 3rd quarter;81.6;11.7
5176;10 or more employed persons;41 Construction buildings, development;2007 October;105.7;13.3
5177;10 or more employed persons;41 Construction buildings, development;2007 November;109.5;10.3
5178;10 or more employed persons;41 Construction buildings, development;2007 December;112.4;5.4
5179;10 or more employed persons;41 Construction buildings, development;2007 4th quarter;109.2;9.5
5180;10 or more employed persons;41 Construction buildings, development;2007;92.3;11.0
5181;10 or more employed persons;41 Construction buildings, development;2008 January;72.0;19.5
5182;10 or more employed persons;41 Construction buildings, development;2008 February;95.9;21.2
5183;10 or more employed persons;41 Construction buildings, development;2008 March;104.7;4.9
5184;10 or more employed persons;41 Construction buildings, development;2008 1st quarter;90.9;14.0
5185;10 or more employed persons;41 Construction buildings, development;2008 April;109.0;18.1
5186;10 or more employed persons;41 Construction buildings, development;2008 May;103.4;8.5
5187;10 or more employed persons;41 Construction buildings, development;2008 June;115.6;7.1
5188;10 or more employed persons;41 Construction buildings, development;2008 2nd quarter;109.3;11.0
5189;10 or more employed persons;41 Construction buildings, development;2008 July;93.8;7.9
5190;10 or more employed persons;41 Construction buildings, development;2008 August;66.9;10.0
5191;10 or more employed persons;41 Construction buildings, development;2008 September;111.2;14.5
5192;10 or more employed persons;41 Construction buildings, development;2008 3rd quarter;90.6;11.0
5193;10 or more employed persons;41 Construction buildings, development;2008 October;120.5;13.9
5194;10 or more employed persons;41 Construction buildings, development;2008 November;109.3;-0.2
5195;10 or more employed persons;41 Construction buildings, development;2008 December;120.1;6.8
5196;10 or more employed persons;41 Construction buildings, development;2008 4th quarter;116.6;6.8
5197;10 or more employed persons;41 Construction buildings, development;2008;101.9;10.4
5198;10 or more employed persons;41 Construction buildings, development;2009 January;65.5;-9.0
5199;10 or more employed persons;41 Construction buildings, development;2009 February;88.0;-8.3
5200;10 or more employed persons;41 Construction buildings, development;2009 March;100.3;-4.2
5201;10 or more employed persons;41 Construction buildings, development;2009 1st quarter;84.6;-6.9
5202;10 or more employed persons;41 Construction buildings, development;2009 April;98.2;-10.0
5203;10 or more employed persons;41 Construction buildings, development;2009 May;92.4;-10.6
5204;10 or more employed persons;41 Construction buildings, development;2009 June;101.1;-12.6
5205;10 or more employed persons;41 Construction buildings, development;2009 2nd quarter;97.2;-11.1
5206;10 or more employed persons;41 Construction buildings, development;2009 July;91.7;-2.2
5207;10 or more employed persons;41 Construction buildings, development;2009 August;54.3;-18.8
5208;10 or more employed persons;41 Construction buildings, development;2009 September;99.7;-10.3
5209;10 or more employed persons;41 Construction buildings, development;2009 3rd quarter;81.9;-9.6
5210;10 or more employed persons;41 Construction buildings, development;2009 October;99.9;-17.0
5211;10 or more employed persons;41 Construction buildings, development;2009 November;90.9;-16.8
5212;10 or more employed persons;41 Construction buildings, development;2009 December;96.8;-19.4
5213;10 or more employed persons;41 Construction buildings, development;2009 4th quarter;95.9;-17.8
5214;10 or more employed persons;41 Construction buildings, development;2009;89.9;-11.7
5215;10 or more employed persons;41 Construction buildings, development;2010 January;50.4;-23.0
5216;10 or more employed persons;41 Construction buildings, development;2010 February;60.2;-31.5
5217;10 or more employed persons;41 Construction buildings, development;2010 March;84.6;-15.7
5218;10 or more employed persons;41 Construction buildings, development;2010 1st quarter;65.1;-23.1
5219;10 or more employed persons;41 Construction buildings, development;2010 April;83.6;-14.8
5220;10 or more employed persons;41 Construction buildings, development;2010 May;78.9;-14.6
5221;10 or more employed persons;41 Construction buildings, development;2010 June;91.4;-9.5
5222;10 or more employed persons;41 Construction buildings, development;2010 2nd quarter;84.7;-12.9
5223;10 or more employed persons;41 Construction buildings, development;2010 July;84.0;-8.4
5224;10 or more employed persons;41 Construction buildings, development;2010 August;46.5;-14.4
5225;10 or more employed persons;41 Construction buildings, development;2010 September;82.5;-17.3
5226;10 or more employed persons;41 Construction buildings, development;2010 3rd quarter;71.0;-13.4
5227;10 or more employed persons;41 Construction buildings, development;2010 October;87.1;-12.8
5228;10 or more employed persons;41 Construction buildings, development;2010 November;91.3;0.4
5229;10 or more employed persons;41 Construction buildings, development;2010 December;81.8;-15.5
5230;10 or more employed persons;41 Construction buildings, development;2010 4th quarter;86.8;-9.5
5231;10 or more employed persons;41 Construction buildings, development;2010;76.9;-14.5
5232;10 or more employed persons;41 Construction buildings, development;2011 January;55.2;9.5
5233;10 or more employed persons;41 Construction buildings, development;2011 February;72.8;20.8
5234;10 or more employed persons;41 Construction buildings, development;2011 March;82.8;-2.1
5235;10 or more employed persons;41 Construction buildings, development;2011 1st quarter;70.3;8.0
5236;10 or more employed persons;41 Construction buildings, development;2011 April;80.4;-3.9
5237;10 or more employed persons;41 Construction buildings, development;2011 May;87.2;10.4
5238;10 or more employed persons;41 Construction buildings, development;2011 June;80.6;-11.8
5239;10 or more employed persons;41 Construction buildings, development;2011 2nd quarter;82.7;-2.3
5240;10 or more employed persons;41 Construction buildings, development;2011 July;74.6;-11.2
5241;10 or more employed persons;41 Construction buildings, development;2011 August;48.0;3.2
5242;10 or more employed persons;41 Construction buildings, development;2011 September;85.7;3.9
5243;10 or more employed persons;41 Construction buildings, development;2011 3rd quarter;69.4;-2.2
5244;10 or more employed persons;41 Construction buildings, development;2011 October;81.9;-6.0
5245;10 or more employed persons;41 Construction buildings, development;2011 November;86.6;-5.2
5246;10 or more employed persons;41 Construction buildings, development;2011 December;92.4;12.9
5247;10 or more employed persons;41 Construction buildings, development;2011 4th quarter;87.0;0.2
5248;10 or more employed persons;41 Construction buildings, development;2011;77.3;0.6
5249;10 or more employed persons;41 Construction buildings, development;2012 January;47.9;-13.3
5250;10 or more employed persons;41 Construction buildings, development;2012 February;59.0;-18.9
5251;10 or more employed persons;41 Construction buildings, development;2012 March;74.8;-9.6
5252;10 or more employed persons;41 Construction buildings, development;2012 1st quarter;60.6;-13.8
5253;10 or more employed persons;41 Construction buildings, development;2012 April;72.6;-9.7
5254;10 or more employed persons;41 Construction buildings, development;2012 May;75.1;-13.8
5255;10 or more employed persons;41 Construction buildings, development;2012 June;76.7;-4.8
5256;10 or more employed persons;41 Construction buildings, development;2012 2nd quarter;74.8;-9.5
5257;10 or more employed persons;41 Construction buildings, development;2012 July;65.1;-12.7
5258;10 or more employed persons;41 Construction buildings, development;2012 August;50.3;4.8
5259;10 or more employed persons;41 Construction buildings, development;2012 September;79.7;-7.0
5260;10 or more employed persons;41 Construction buildings, development;2012 3rd quarter;65.0;-6.3
5261;10 or more employed persons;41 Construction buildings, development;2012 October;70.6;-13.8
5262;10 or more employed persons;41 Construction buildings, development;2012 November;76.7;-11.4
5263;10 or more employed persons;41 Construction buildings, development;2012 December;73.0;-21.0
5264;10 or more employed persons;41 Construction buildings, development;2012 4th quarter;73.4;-15.6
5265;10 or more employed persons;41 Construction buildings, development;2012;68.5;-11.5
5266;10 or more employed persons;41 Construction buildings, development;2013 January;41.6;-13.2
5267;10 or more employed persons;41 Construction buildings, development;2013 February;51.3;-13.0
5268;10 or more employed persons;41 Construction buildings, development;2013 March;63.1;-15.7
5269;10 or more employed persons;41 Construction buildings, development;2013 1st quarter;52.0;-14.2
5270;10 or more employed persons;41 Construction buildings, development;2013 April;63.4;-12.7
5271;10 or more employed persons;41 Construction buildings, development;2013 May;67.3;-10.3
5272;10 or more employed persons;41 Construction buildings, development;2013 June;66.8;-12.9
5273;10 or more employed persons;41 Construction buildings, development;2013 2nd quarter;65.8;-12.0
5274;10 or more employed persons;41 Construction buildings, development;2013 July;60.0;-7.9
5275;10 or more employed persons;41 Construction buildings, development;2013 August;45.1;-10.3
5276;10 or more employed persons;41 Construction buildings, development;2013 September;64.8;-18.6
5277;10 or more employed persons;41 Construction buildings, development;2013 3rd quarter;56.6;-12.9
5278;10 or more employed persons;41 Construction buildings, development;2013 October;70.8;0.3
5279;10 or more employed persons;41 Construction buildings, development;2013 November;69.1;-9.9
5280;10 or more employed persons;41 Construction buildings, development;2013 December;73.6;0.9
5281;10 or more employed persons;41 Construction buildings, development;2013 4th quarter;71.2;-3.0
5282;10 or more employed persons;41 Construction buildings, development;2013;61.4;-10.3
5283;10 or more employed persons;41 Construction buildings, development;2014 January;44.2;6.4
5284;10 or more employed persons;41 Construction buildings, development;2014 February;52.8;3.0
5285;10 or more employed persons;41 Construction buildings, development;2014 March;54.7;-13.3
5286;10 or more employed persons;41 Construction buildings, development;2014 1st quarter;50.6;-2.7
5287;10 or more employed persons;41 Construction buildings, development;2014 April;61.4;-3.2
5288;10 or more employed persons;41 Construction buildings, development;2014 May;61.0;-9.4
5289;10 or more employed persons;41 Construction buildings, development;2014 June;60.7;-9.2
5290;10 or more employed persons;41 Construction buildings, development;2014 2nd quarter;61.0;-7.3
5291;10 or more employed persons;41 Construction buildings, development;2014 July;59.9;-0.2
5292;10 or more employed persons;41 Construction buildings, development;2014 August;38.3;-15.0
5293;10 or more employed persons;41 Construction buildings, development;2014 September;61.6;-5.0
5294;10 or more employed persons;41 Construction buildings, development;2014 3rd quarter;53.2;-6.0
5295;10 or more employed persons;41 Construction buildings, development;2014 October;75.3;6.4
5296;10 or more employed persons;41 Construction buildings, development;2014 November;74.2;7.3
5297;10 or more employed persons;41 Construction buildings, development;2014 December;79.4;7.8
5298;10 or more employed persons;41 Construction buildings, development;2014 4th quarter;76.3;7.2
5299;10 or more employed persons;41 Construction buildings, development;2014;60.3;-1.8
5300;10 or more employed persons;41 Construction buildings, development;2015 January;44.8;1.3
5301;10 or more employed persons;41 Construction buildings, development;2015 February;53.4;1.0
5302;10 or more employed persons;41 Construction buildings, development;2015 March;63.3;15.6
5303;10 or more employed persons;41 Construction buildings, development;2015 1st quarter;53.8;6.4
5304;10 or more employed persons;41 Construction buildings, development;2015 April;62.8;2.4
5305;10 or more employed persons;41 Construction buildings, development;2015 May;63.1;3.3
5306;10 or more employed persons;41 Construction buildings, development;2015 June;73.9;21.8
5307;10 or more employed persons;41 Construction buildings, development;2015 2nd quarter;66.6;9.1
5308;10 or more employed persons;41 Construction buildings, development;2015 July;69.7;16.4
5309;10 or more employed persons;41 Construction buildings, development;2015 August;41.1;7.3
5310;10 or more employed persons;41 Construction buildings, development;2015 September;71.8;16.7
5311;10 or more employed persons;41 Construction buildings, development;2015 3rd quarter;60.9;14.3
5312;10 or more employed persons;41 Construction buildings, development;2015 October;71.6;-5.0
5313;10 or more employed persons;41 Construction buildings, development;2015 November;77.1;3.9
5314;10 or more employed persons;41 Construction buildings, development;2015 December;86.6;9.1
5315;10 or more employed persons;41 Construction buildings, development;2015 4th quarter;78.4;2.8
5316;10 or more employed persons;41 Construction buildings, development;2015;64.9;7.7
5317;10 or more employed persons;41 Construction buildings, development;2016 January;49.7;10.9
5318;10 or more employed persons;41 Construction buildings, development;2016 February;60.5;13.3
5319;10 or more employed persons;41 Construction buildings, development;2016 March;70.3;11.1
5320;10 or more employed persons;41 Construction buildings, development;2016 1st quarter;60.2;11.8
5321;10 or more employed persons;41 Construction buildings, development;2016 April;69.9;11.2
5322;10 or more employed persons;41 Construction buildings, development;2016 May;68.1;8.0
5323;10 or more employed persons;41 Construction buildings, development;2016 June;81.1;9.7
5324;10 or more employed persons;41 Construction buildings, development;2016 2nd quarter;73.0;9.6
5325;10 or more employed persons;41 Construction buildings, development;2016 July;74.3;6.6
5326;10 or more employed persons;41 Construction buildings, development;2016 August;46.2;12.5
5327;10 or more employed persons;41 Construction buildings, development;2016 September;72.9;1.5
5328;10 or more employed persons;41 Construction buildings, development;2016 3rd quarter;64.5;5.9
5329;10 or more employed persons;41 Construction buildings, development;2016 October;80.5;12.5
5330;10 or more employed persons;41 Construction buildings, development;2016 November;86.9;12.7
5331;10 or more employed persons;41 Construction buildings, development;2016 December;89.7;3.7
5332;10 or more employed persons;41 Construction buildings, development;2016 4th quarter;85.7;9.3
5333;10 or more employed persons;41 Construction buildings, development;2016;70.8;9.1
5334;10 or more employed persons;41 Construction buildings, development;2017 January;49.5;-0.3
5335;10 or more employed persons;41 Construction buildings, development;2017 February;65.7;8.6
5336;10 or more employed persons;41 Construction buildings, development;2017 March;79.2;12.7
5337;10 or more employed persons;41 Construction buildings, development;2017 1st quarter;64.8;7.8
5338;10 or more employed persons;41 Construction buildings, development;2017 April;70.7;1.1
5339;10 or more employed persons;41 Construction buildings, development;2017 May;81.3;19.4
5340;10 or more employed persons;41 Construction buildings, development;2017 June;85.9;5.9
5341;10 or more employed persons;41 Construction buildings, development;2017 2nd quarter;79.3;8.6
5342;10 or more employed persons;41 Construction buildings, development;2017 July;79.1;6.4
5343;10 or more employed persons;41 Construction buildings, development;2017 August;50.2;8.6
5344;10 or more employed persons;41 Construction buildings, development;2017 September;79.6;9.1
5345;10 or more employed persons;41 Construction buildings, development;2017 3rd quarter;69.6;8.0
5346;10 or more employed persons;41 Construction buildings, development;2017 October;86.8;7.8
5347;10 or more employed persons;41 Construction buildings, development;2017 November;95.8;10.2
5348;10 or more employed persons;41 Construction buildings, development;2017 December;101.0;12.5
5349;10 or more employed persons;41 Construction buildings, development;2017 4th quarter;94.5;10.3
5350;10 or more employed persons;41 Construction buildings, development;2017;77.1;8.8
5351;10 or more employed persons;41 Construction buildings, development;2018 January;57.3;15.7
5352;10 or more employed persons;41 Construction buildings, development;2018 February;72.2;9.9
5353;10 or more employed persons;41 Construction buildings, development;2018 March;83.3;5.2
5354;10 or more employed persons;41 Construction buildings, development;2018 1st quarter;70.9;9.4
5355;10 or more employed persons;41 Construction buildings, development;2018 April;86.5;22.4
5356;10 or more employed persons;41 Construction buildings, development;2018 May;88.0;8.2
5357;10 or more employed persons;41 Construction buildings, development;2018 June;97.8;13.9
5358;10 or more employed persons;41 Construction buildings, development;2018 2nd quarter;90.8;14.5
5359;10 or more employed persons;41 Construction buildings, development;2018 July;87.0;10.0
5360;10 or more employed persons;41 Construction buildings, development;2018 August;55.5;10.6
5361;10 or more employed persons;41 Construction buildings, development;2018 September;86.9;9.3
5362;10 or more employed persons;41 Construction buildings, development;2018 3rd quarter;76.5;9.9
5363;10 or more employed persons;41 Construction buildings, development;2018 October;100.7;16.0
5364;10 or more employed persons;41 Construction buildings, development;2018 November;111.2;16.1
5365;10 or more employed persons;41 Construction buildings, development;2018 December;113.3;12.2
5366;10 or more employed persons;41 Construction buildings, development;2018 4th quarter;108.4;14.7
5367;10 or more employed persons;41 Construction buildings, development;2018;86.6;12.4
