ID;KenmerkenVanHuishoudens;Perioden;AantalHuishoudensMetLaagInkomen_1;PercentageVanHetTotaal_2;GemiddeldeGrootteMetLaagInkomen_3;AantalHuishMetLangdurigLaagInkomen_4;PercentageVanHuishMetLaagInkomen_5;PercentageVanHetTotaal_6;GemGrootteMetLangdurigLaagInkomen_7;AantalHuishMetSociaalMinimum_8;PercentageVanHetTotaal_9;GemiddeldeGrootteMetSociaalMinimum_10;AantalHuishMetLangdurigSocMinimum_11;PercentageVanHuishMetSocMinimum_12;PercentageVanHetTotaal_13;GemGrootteMetLangdurigSocMinimum_14;TotaalAantalParticuliereHuishoudens_15;GemiddeldeHuishoudensgrootte_16;AantalHuishoudensMetHeleJaarInkomen_17;NietIngedeeldeHuishoudens_18
526;Utrecht (stad);1999;15;14.3;1.9;5.0;32.2;4.6;2.4;13;11.7;1.9;3.0;26.2;3.1;2.3;131;1.8;107;24
527;Utrecht (stad);2000;15;13.3;1.8;5.0;31.4;4.2;2.1;11;9.7;1.8;4.0;31.7;3.1;2.1;141;1.8;116;25
528;Vier grote steden;1990;195;23.3;1.9;;;;;152;18.1;1.9;;;;;959;1.9;839;120
529;Vier grote steden;1991;209;24.4;1.9;;;;;164;19.1;1.9;;;;;979;1.9;857;122
530;Vier grote steden;1992;211;24.3;1.9;94.0;44.4;10.8;1.8;166;19.1;1.9;65.0;38.8;7.4;1.8;996;1.9;872;124
531;Vier grote steden;1993;215;24.6;1.9;96.0;44.5;10.9;1.8;162;18.6;1.9;67.0;41.1;7.6;1.7;996;1.9;873;123
532;Vier grote steden;1994;220;25.4;1.9;100.0;45.2;11.5;1.8;163;18.8;2.0;69.0;41.9;7.9;1.8;992;1.9;868;124
533;Vier grote steden;1995;227;25.6;1.9;105.0;46.5;11.9;1.8;168;18.9;1.9;75.0;44.4;8.4;1.8;1000;1.9;887;113
534;Vier grote steden;1996;225;25.2;1.9;105.0;46.8;11.8;1.8;165;18.5;1.9;69.0;41.8;7.8;1.8;1006;1.9;891;115
535;Vier grote steden;1997;225;24.7;1.8;105.0;46.7;11.5;1.8;166;18.2;1.9;68.0;41.2;7.5;1.8;1011;1.9;911;100
536;Vier grote steden;1998;207;22.4;1.9;97.0;46.9;10.5;1.8;162;17.4;1.8;69.0;42.5;7.4;1.8;1029;1.9;928;101
537;Vier grote steden;1999;194;20.8;1.8;91.0;47.0;9.8;1.7;156;16.7;1.8;66.0;42.1;7.0;1.7;1043;1.9;932;111
538;Vier grote steden;2000;186;19.5;1.8;84.0;45.4;8.9;1.7;152;16.0;1.8;64.0;42.1;6.7;1.7;1061;1.9;952;109
539;Overige steden >= 100.000 inwoners;1990;139;18.9;1.9;;;;;101;13.7;1.8;;;;;845;2.1;737;108
540;Overige steden >= 100.000 inwoners;1991;150;18.9;1.9;;;;;110;13.8;1.8;;;;;904;2.1;795;109
541;Overige steden >= 100.000 inwoners;1992;154;17.5;1.9;68.0;44.3;7.7;1.8;114;13.0;1.8;44.0;38.2;5.0;1.7;996;2.1;879;117
542;Overige steden >= 100.000 inwoners;1993;152;17.2;1.9;70.0;45.9;7.9;1.8;108;12.2;1.9;46.0;43.0;5.2;1.7;1010;2.1;886;124
543;Overige steden >= 100.000 inwoners;1994;172;19.1;1.9;72.0;42.0;8.0;1.8;116;12.8;1.9;49.0;42.0;5.4;1.7;1017;2.1;901;116
544;Overige steden >= 100.000 inwoners;1995;180;18.0;1.9;77.0;42.9;7.7;1.9;124;12.4;1.9;51.0;40.9;5.1;1.8;1125;2.1;999;126
545;Overige steden >= 100.000 inwoners;1996;194;17.9;1.9;85.0;43.8;7.8;1.9;131;12.1;1.9;50.0;38.4;4.7;1.8;1207;2.1;1081;126
546;Overige steden >= 100.000 inwoners;1997;202;17.5;1.9;93.0;46.1;8.1;1.8;139;12.1;1.8;53.0;38.5;4.6;1.8;1268;2.1;1151;117
547;Overige steden >= 100.000 inwoners;1998;177;14.7;1.9;85.0;47.8;7.0;1.9;130;10.8;1.8;53.0;40.9;4.4;1.8;1327;2.1;1207;120
548;Overige steden >= 100.000 inwoners;1999;172;14.1;1.9;76.0;44.5;6.2;1.8;127;10.4;1.9;48.0;37.4;3.9;1.7;1349;2.1;1221;128
549;Overige steden >= 100.000 inwoners;2000;162;13.1;1.9;71.0;43.7;5.7;1.7;128;10.3;1.9;45.0;35.5;3.7;1.7;1359;2.1;1240;119
550;Overige steden <100.000 inwoners;1990;522;12.6;2.1;;;;;353;8.5;2.0;;;;;4324;2.5;4136;188
551;Overige steden <100.000 inwoners;1991;523;12.6;2.1;;;;;351;8.5;2.0;;;;;4336;2.5;4157;179
552;Overige steden <100.000 inwoners;1992;519;12.5;2.1;228.0;43.9;5.5;1.8;351;8.5;2.1;128.0;36.4;3.1;1.7;4317;2.5;4135;182
553;Overige steden <100.000 inwoners;1993;546;13.0;2.1;232.0;42.4;5.5;1.8;364;8.7;2.1;134.0;36.8;3.2;1.7;4395;2.5;4204;191
554;Overige steden <100.000 inwoners;1994;578;13.6;2.0;240.0;41.5;5.6;1.8;360;8.4;2.1;133.0;36.8;3.1;1.7;4446;2.5;4266;180
555;Overige steden <100.000 inwoners;1995;547;12.9;2.0;239.0;43.7;5.6;1.8;341;8.0;2.0;129.0;37.9;3.0;1.7;4424;2.5;4248;176
556;Overige steden <100.000 inwoners;1996;551;13.0;2.0;238.0;43.2;5.6;1.7;353;8.3;2.0;124.0;35.1;2.9;1.7;4404;2.4;4237;167
557;Overige steden <100.000 inwoners;1997;526;12.3;2.0;236.0;44.9;5.5;1.7;340;8.0;1.9;123.0;36.1;2.9;1.6;4424;2.4;4268;156
558;Overige steden <100.000 inwoners;1998;477;11.1;2.0;209.0;43.8;4.9;1.7;339;7.9;1.9;121.0;35.7;2.8;1.6;4428;2.4;4280;148
559;Overige steden <100.000 inwoners;1999;469;10.9;2.0;203.0;43.2;4.7;1.6;344;8.0;1.9;122.0;35.3;2.8;1.6;4464;2.4;4301;163
560;Overige steden <100.000 inwoners;2000;433;9.9;1.9;186.0;43.1;4.3;1.6;325;7.5;1.9;118.0;36.3;2.7;1.5;4522;2.4;4356;166
