ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantalHHBehorendeTotDoelpopulatie_2;AantalHuishoudensMetEenLaagInkomen_3;AantalHHOnderOfRondHetSocMin_4
230;Zuidoost-Zuid-Holland;Totaal particulier huishouden;160.6;155.9;7.0;7.0
231;Zuidoost-Zuid-Holland;Eenpersoonshuishouden;46.3;44.5;11.0;11.0
232;Zuidoost-Zuid-Holland;Paar zonder kinderen;48.4;47.4;3.0;3.0
233;Zuidoost-Zuid-Holland;Paar met kinderen;52.2;51.0;4.0;3.0
234;Zuidoost-Zuid-Holland;Eenoudergezin;9.0;8.5;19.0;22.0
235;Zeeuwsch-Vlaanderen;Totaal particulier huishouden;46.0;43.4;7.0;7.0
236;Zeeuwsch-Vlaanderen;Eenpersoonshuishouden;13.2;12.3;11.0;12.0
237;Zeeuwsch-Vlaanderen;Paar zonder kinderen;15.9;15.2;3.0;4.0
238;Zeeuwsch-Vlaanderen;Paar met kinderen;13.4;12.6;5.0;3.0
239;Zeeuwsch-Vlaanderen;Eenoudergezin;2.3;2.1;20.0;23.0
240;Overig Zeeland;Totaal particulier huishouden;111.1;107.4;7.0;7.0
241;Overig Zeeland;Eenpersoonshuishouden;33.0;31.7;12.0;12.0
242;Overig Zeeland;Paar zonder kinderen;36.5;35.6;3.0;3.0
243;Overig Zeeland;Paar met kinderen;33.8;32.8;5.0;3.0
244;Overig Zeeland;Eenoudergezin;5.4;5.0;20.0;24.0
245;West-Noord-Brabant;Totaal particulier huishouden;247.1;238.4;7.0;7.0
246;West-Noord-Brabant;Eenpersoonshuishouden;67.8;64.7;11.0;12.0
247;West-Noord-Brabant;Paar zonder kinderen;81.4;79.4;3.0;4.0
248;West-Noord-Brabant;Paar met kinderen;77.8;75.4;5.0;4.0
249;West-Noord-Brabant;Eenoudergezin;12.6;11.8;18.0;22.0
250;Midden-Noord-Brabant;Totaal particulier huishouden;177.6;172.3;7.0;7.0
251;Midden-Noord-Brabant;Eenpersoonshuishouden;48.6;46.8;12.0;12.0
252;Midden-Noord-Brabant;Paar zonder kinderen;55.4;54.1;4.0;4.0
253;Midden-Noord-Brabant;Paar met kinderen;58.7;57.3;4.0;3.0
254;Midden-Noord-Brabant;Eenoudergezin;9.9;9.3;21.0;25.0
255;Noordoost-Noord-Brabant;Totaal particulier huishouden;244.5;237.1;7.0;7.0
256;Noordoost-Noord-Brabant;Eenpersoonshuishouden;63.3;60.6;11.0;11.0
257;Noordoost-Noord-Brabant;Paar zonder kinderen;75.5;74.0;3.0;4.0
258;Noordoost-Noord-Brabant;Paar met kinderen;85.5;83.3;5.0;4.0
259;Noordoost-Noord-Brabant;Eenoudergezin;12.2;11.5;18.0;21.0
260;Zuidoost-Noord-Brabant;Totaal particulier huishouden;294.2;283.7;7.0;7.0
261;Zuidoost-Noord-Brabant;Eenpersoonshuishouden;83.8;79.6;12.0;12.0
262;Zuidoost-Noord-Brabant;Paar zonder kinderen;93.6;91.2;4.0;4.0
263;Zuidoost-Noord-Brabant;Paar met kinderen;92.9;90.5;5.0;4.0
264;Zuidoost-Noord-Brabant;Eenoudergezin;15.0;14.0;20.0;24.0
265;Noord-Limburg;Totaal particulier huishouden;109.6;105.1;7.0;7.0
266;Noord-Limburg;Eenpersoonshuishouden;27.9;26.8;12.0;12.0
267;Noord-Limburg;Paar zonder kinderen;35.0;33.8;4.0;5.0
268;Noord-Limburg;Paar met kinderen;38.1;36.5;5.0;4.0
269;Noord-Limburg;Eenoudergezin;5.3;5.0;17.0;21.0
270;Midden-Limburg;Totaal particulier huishouden;94.4;90.9;7.0;7.0
271;Midden-Limburg;Eenpersoonshuishouden;24.4;23.3;13.0;13.0
272;Midden-Limburg;Paar zonder kinderen;30.7;29.9;3.0;4.0
273;Midden-Limburg;Paar met kinderen;31.3;30.2;5.0;4.0
274;Midden-Limburg;Eenoudergezin;4.9;4.6;20.0;24.0
275;Zuid-Limburg;Totaal particulier huishouden;268.4;254.3;9.0;9.0
276;Zuid-Limburg;Eenpersoonshuishouden;82.3;78.0;16.0;16.0
277;Zuid-Limburg;Paar zonder kinderen;85.9;82.2;5.0;5.0
278;Zuid-Limburg;Paar met kinderen;75.8;71.5;6.0;4.0
279;Zuid-Limburg;Eenoudergezin;16.2;15.0;22.0;27.0
280;Flevoland;Totaal particulier huishouden;135.2;129.8;8.0;8.0
281;Flevoland;Eenpersoonshuishouden;34.3;32.4;13.0;13.0
282;Flevoland;Paar zonder kinderen;37.4;36.3;3.0;4.0
283;Flevoland;Paar met kinderen;49.4;47.9;6.0;4.0
284;Flevoland;Eenoudergezin;9.7;9.1;22.0;25.0
285;Groningen;Totaal particulier huishouden;85.6;81.5;12.0;12.0
286;Groningen;Eenpersoonshuishouden;37.4;35.4;17.0;17.0
287;Groningen;Paar zonder kinderen;23.8;22.7;4.0;4.0
288;Groningen;Paar met kinderen;16.4;15.9;7.0;5.0
289;Groningen;Eenoudergezin;6.1;5.8;25.0;31.0
290;Leeuwarden;Totaal particulier huishouden;40.3;38.3;11.0;11.0
291;Leeuwarden;Eenpersoonshuishouden;16.2;15.2;17.0;17.0
292;Leeuwarden;Paar zonder kinderen;11.5;11.0;4.0;4.0
293;Leeuwarden;Paar met kinderen;8.8;8.5;7.0;5.0
294;Leeuwarden;Eenoudergezin;2.7;2.6;26.0;28.0
295;Zwolle;Totaal particulier huishouden;46.3;44.7;8.0;8.0
296;Zwolle;Eenpersoonshuishouden;15.9;15.2;12.0;12.0
297;Zwolle;Paar zonder kinderen;13.7;13.3;3.0;3.0
298;Zwolle;Paar met kinderen;12.8;12.6;5.0;3.0
299;Zwolle;Eenoudergezin;2.6;2.5;21.0;24.0
300;Enschede;Totaal particulier huishouden;62.9;60.0;12.0;12.0
301;Enschede;Eenpersoonshuishouden;21.3;20.1;17.0;16.0
302;Enschede;Paar zonder kinderen;19.0;18.3;6.0;7.0
303;Enschede;Paar met kinderen;16.8;16.1;9.0;6.0
304;Enschede;Eenoudergezin;3.8;3.6;28.0;34.0
305;Apeldoorn;Totaal particulier huishouden;64.4;62.5;7.0;7.0
306;Apeldoorn;Eenpersoonshuishouden;19.8;19.0;11.0;11.0
307;Apeldoorn;Paar zonder kinderen;20.1;19.7;3.0;4.0
308;Apeldoorn;Paar met kinderen;19.0;18.6;4.0;3.0
309;Apeldoorn;Eenoudergezin;3.4;3.2;22.0;27.0
310;Arnhem;Totaal particulier huishouden;64.6;57.1;9.0;8.0
311;Arnhem;Eenpersoonshuishouden;26.2;22.4;12.0;12.0
312;Arnhem;Paar zonder kinderen;17.6;16.6;4.0;4.0
313;Arnhem;Paar met kinderen;14.3;13.1;6.0;4.0
314;Arnhem;Eenoudergezin;4.4;3.1;20.0;23.0
315;Nijmegen;Totaal particulier huishouden;68.4;65.1;12.0;12.0
316;Nijmegen;Eenpersoonshuishouden;28.5;26.8;17.0;17.0
317;Nijmegen;Paar zonder kinderen;18.0;17.4;5.0;6.0
318;Nijmegen;Paar met kinderen;15.2;14.5;8.0;6.0
319;Nijmegen;Eenoudergezin;4.9;4.6;25.0;29.0
320;Amersfoort;Totaal particulier huishouden;66.1;64.2;7.0;6.0
321;Amersfoort;Eenpersoonshuishouden;21.3;20.4;11.0;11.0
322;Amersfoort;Paar zonder kinderen;18.5;18.2;3.0;3.0
323;Amersfoort;Paar met kinderen;20.8;20.4;4.0;3.0
324;Amersfoort;Eenoudergezin;3.8;3.5;19.0;20.0
325;Utrecht;Totaal particulier huishouden;172.2;164.7;9.0;9.0
326;Utrecht;Eenpersoonshuishouden;66.5;62.3;13.0;13.0
327;Utrecht;Paar zonder kinderen;46.1;44.7;3.0;3.0
328;Utrecht;Paar met kinderen;43.2;42.0;6.0;5.0
329;Utrecht;Eenoudergezin;10.4;9.9;21.0;24.0
330;Amsterdam;Totaal particulier huishouden;490.3;462.3;13.0;13.0
331;Amsterdam;Eenpersoonshuishouden;232.0;215.8;17.0;17.0
332;Amsterdam;Paar zonder kinderen;107.6;103.4;5.0;5.0
333;Amsterdam;Paar met kinderen;89.1;85.7;10.0;8.0
334;Amsterdam;Eenoudergezin;43.7;40.7;23.0;27.0
335;Haarlem;Totaal particulier huishouden;85.5;82.5;8.0;8.0
336;Haarlem;Eenpersoonshuishouden;33.8;32.3;11.0;12.0
337;Haarlem;Paar zonder kinderen;23.5;22.9;3.0;4.0
338;Haarlem;Paar met kinderen;20.7;20.2;5.0;4.0
339;Haarlem;Eenoudergezin;5.0;4.7;17.0;20.0
340;Leiden;Totaal particulier huishouden;104.2;100.3;7.0;7.0
341;Leiden;Eenpersoonshuishouden;36.6;34.6;11.0;11.0
342;Leiden;Paar zonder kinderen;28.7;28.0;3.0;3.0
343;Leiden;Paar met kinderen;30.7;29.9;4.0;3.0
344;Leiden;Eenoudergezin;5.8;5.5;18.0;21.0
345;'s-Gravenhage;Totaal particulier huishouden;291.1;276.4;11.0;11.0
346;'s-Gravenhage;Eenpersoonshuishouden;125.9;118.4;14.0;14.0
347;'s-Gravenhage;Paar zonder kinderen;70.6;68.4;4.0;5.0
348;'s-Gravenhage;Paar met kinderen;60.5;58.0;9.0;7.0
349;'s-Gravenhage;Eenoudergezin;22.7;21.3;25.0;29.0
