ID;InstitutionalInvestors;Periods;TotalAssets_1;TotalCurrencyAndTransferableDeposits_2;InEuroS_3;InForeignCurrency_4;TotalDeposits_5;TotalInEuroS_6;MonetaryFinancialInstitutions_7;RestOfTheWorld_8;TotalInForeignCurrency_9;MonetaryFinancialInstitutions_10;RestOfTheWorld_11;TotalShortTermSecurities_12;TotalGovernment_13;CentralGovernment_14;TotalFinancialCorporations_15;MonetaryFinancialInstitutions_16;OtherFinIntermAndFinAux_17;TotalOtherDomestic_18;NonFinancialCorporations_19;PrivateCompanies_20;GovernmentCompanies_21;ShortTermSecuritiesRestOfTheWorld_22;TotalLongTermSecurities_23;TotalGovernment_24;CentralGovernment_25;LocalGovernment_26;TotalFinancialCorporations_27;MonetaryFinancialInstitutions_28;NonMMFInvestmentFunds_29;OtherFinIntermAndFinAux_30;CaptiveFinInstAndMoneyLenders_31;InsuranceCorporationsAndPensionFunds_32;TotalOtherDomestic_33;NonFinancialCorporations_34;PrivateCompanies_35;InstitutionsProvidingHealthCare_36;GovernmentCompanies_37;LongTermSecuritiesRestOfTheWorld_38;TotalShortTermLoans_39;TotalGovernment_40;CentralGovernment_41;LocalGovernment_42;SocialSecurityFunds_43;TotalFinancialCorporations_44;NonMMFInvestmentFunds_45;OtherFinIntermAndFinAux_46;InsuranceCorporationsAndPensionFunds_47;TotalOtherDomestic_48;NonFinancialCorporations_49;PrivateCompanies_50;GovernmentCompanies_51;HouseholdsIncludingNPISH_52;ShortTermLoansRestOfTheWorld_53;TotalLongTermLoans_54;TotalGovernment_55;CentralGovernment_56;LocalGovernment_57;SocialSecurityFunds_58;TotalFinancialCorporations_59;MonetaryFinancialInstitutions_60;NonMMFInvestmentFunds_61;OtherFinIntermAndFinAux_62;InsuranceCorporationsAndPensionFunds_63;TotalOtherDomestic_64;NonFinancialCorporations_65;PrivateCompanies_66;InstitutionsProvidingHealthCare_67;GovernmentCompanies_68;HousingCorporations_69;HouseholdsIncludingNPISH_70;LongTermLoansRestOfTheWorld_71;TotalMortgageLoans_72;HousesOfficesAndShops_73;RuralEstates_74;Other_75;RestOfTheWorld_76;TotalListedShares_77;TotalFinancialCorporations_78;MonetaryFinancialInstitutions_79;OtherFinIntermAndFinAux_80;CaptiveFinInstAndMoneyLenders_81;InsuranceCorporationsAndPensionFunds_82;NonFinancialCorporations_83;PrivateCompanies_84;GovernmentCompanies_85;ListedSharesRestOfTheWorld_86;TotalUnlistedShares_87;TotalFinancialCorporations_88;MonetaryFinancialInstitutions_89;OtherFinIntermAndFinAux_90;InsuranceCorporationsAndPensionFunds_91;NonFinancialCorporations_92;PrivateCompanies_93;UnlistedSharesRestOfTheWorld_94;InvestmentFundSharesOrUnitsTotal_95;TotalFinancialCorporations_96;MoneyMarketFunds_97;NonMMFInvestmentFunds_98;InvFundShOrUnitsRestOfTheWorld_99;InsPensionAndStGuaranteeSch_100;NonLifeInsuranceTechnicalReserves_101;OtherEntitlements_102;FinancialDerivatives_103;OtherAccountsReceivablePayable_104;TotalDirectProperty_105;Houses_106;OtherDomestic_107;OfficesAndShops_108;RuralEstates_109;Other_110;RestOfTheWorld_111;OtherAssets_112;TotalLiabilities_113;TotalShortTermSecurities_114;ShortTermSecuritiesRestOfTheWorld_115;TotalLongTermSecurities_116;TotalGovernment_117;CentralGovernment_118;LocalGovernment_119;SocialSecurityFunds_120;TotalFinancialCorporations_121;MonetaryFinancialInstitutions_122;NonMMFInvestmentFunds_123;OtherFinIntermAndFinAux_124;InsuranceCorporationsAndPensionFunds_125;TotalOtherDomestic_126;HouseholdsIncludingNPISH_127;LongTermSecuritiesRestOfTheWorld_128;TotalShortTermLoans_129;TotalGovernment_130;CentralGovernment_131;SocialSecurityFunds_132;TotalFinancialCorporations_133;MonetaryFinancialInstitutions_134;NonMMFInvestmentFunds_135;OtherFinIntermAndFinAux_136;InsuranceCorporationsAndPensionFunds_137;TotalOtherDomestic_138;NonFinancialCorporations_139;HouseholdsIncludingNPISH_140;ShortTermLoansRestOfTheWorld_141;TotalLongTermLoans_142;TotalGovernment_143;CentralGovernment_144;LocalGovernment_145;SocialSecurityFunds_146;TotalFinancialCorporations_147;MonetaryFinancialInstitutions_148;NonMMFInvestmentFunds_149;OtherFinIntermAndFinAux_150;InsuranceCorporationsAndPensionFunds_151;TotalOtherDomestic_152;NonFinancialCorporations_153;HouseholdsIncludingNPISH_154;LongTermLoansRestOfTheWorld_155;TotalEquityAndShares_156;TotalGovernment_157;CentralGovernment_158;LocalGovernment_159;SocialSecurityFunds_160;TotalFinancialCorporations_161;MonetaryFinancialInstitutions_162;NonMMFInvestmentFunds_163;OtherFinIntermAndFinAux_164;InsuranceCorporationsAndPensionFunds_165;TotalOtherDomestic_166;NonFinancialCorporations_167;HouseholdsIncludingNPISH_168;EquityAndSharesRestOfTheWorld_169;InsPensionAndStGuaranteeSch_170;NonLifeInsuranceTechnicalReserves_171;LifeInsuranceAndAnnuityEntitlements_172;PensionEntitlements_173;OtherEntitlements_174;ProvForCallsUnderStandGuarantees_175;EntitlementsToNonPensionBenefits_176;FinancialDerivatives_177;OtherAccountsReceivablePayable_178;OtherLiabilities_179
58;Insurance corporations;2012;461065;13140;12938;202;4366;2420;1716;704;1946;1195;751;4371;85;85;293;229;64;0;0;;;3993;196143;41696;41696;0;13289;4984;0;8125;180;0;2494;2494;;;;138664;7083;0;0;0;0;5058;34;2739;2285;175;175;;;0;1850;63629;329;329;0;0;23547;15979;55;6388;1125;37096;2503;;;;;34593;2657;;;;;;18758;771;103;79;589;0;4302;;;13685;18972;12217;21;1048;11148;5156;;1599;65292;50095;1680;48415;15197.0;20215;19924.0;291.0;13548;28128;5958;2795;3115;;;;48;1462;461065;0;0;553;48;0;48;0;35;0;0;35;0;33;33;437;13174;0;0;0;8432;540;0;5595;2297;126;45;81;4616;5565;4;4;0;0;4858;665;0;1282;2911;360;285;75;343;54945;1859;1859;0;0;51213;0;63;39764;11386;401;401;0;1472;340114.0;47106.0;157710.0;134386.0;3.0;909.0;0.0;422.0;40851;5441
59;Insurance corporations;2013;441357;4423;4076;347;3480;1023;556;467;2457;1157;1300;1786;88;88;230;137;93;0;0;;;1468;178648;38063;38063;0;12604;3745;0;8696;163;0;1644;1644;;;;126337;5252;350;350;0;0;3276;29;2094;1153;344;344;;;0;1282;72312;290;290;0;0;23799;16597;17;6054;1131;45814;2967;;;;;42847;2409;;;;;;17295;594;134;158;302;0;4179;;;12522;17371;11856;31;973;10852;5045;;470;82521;66742;1698;65044;15779.0;21308;20838.0;470.0;6909;24395;5386;2397;2941;;;;48;271;441357;0;0;705;42;0;42;0;37;0;0;37;0;52;52;574;11107;0;0;0;7591;250;0;6188;1153;33;22;11;3483;3180;4;4;0;0;2558;668;0;756;1134;351;276;75;267;53322;2260;2260;0;0;49108;0;63;37955;11090;410;410;0;1544;331001.0;47171.0;150257.0;132289.0;0.0;1284.0;0.0;373.0;38091;3578
60;Insurance corporations;2014;492872;9807;8510;1297;2993;1662;1050;612;1331;220;1111;4534;461;461;431;287;144;73;73;;;3569;199590;42764;42764;0;12999;3277;0;9529;193;0;1493;1493;;;;142334;5673;0;0;0;0;3978;55;2124;1799;326;326;;;0;1369;77535;272;272;0;0;24349;16550;9;6765;1025;49973;3516;;;;;46457;2941;;;;;;10947;435;130;60;245;0;3377;;;7135;18133;12431;30;1350;11051;5679;;23;95200;80188;1231;78957;15012.0;20363;20305.0;58.0;17146;25468;5166;2358;2760;;;;48;317;492872;0;0;850;49;0;49;0;38;0;0;38;0;50;50;713;13057;0;0;0;9515;543;0;7173;1799;278;20;258;3264;3439;4;4;0;0;2909;529;0;1353;1027;342;274;68;184;61575;1600;1600;0;0;57975;0;66;46621;11288;456;456;0;1544;367364.0;43427.0;154409.0;168573.0;0.0;955.0;0.0;447.0;43050;3090
61;Insurance corporations;2015;479791;9031;7535;1496;2253;854;328;526;1399;342;1057;4345;299;299;266;124;142;0;0;;;3780;192178;38949;38949;0;11507;2993;0;8321;193;0;1523;1523;;;;140199;6365;0;0;0;0;4652;55;3251;1346;324;324;;;0;1389;84546;254;254;0;0;26037;17328;3;7673;1033;54784;3959;;;;;50825;3471;;;;;;11443;312;122;60;130;0;3362;;;7769;18510;12726;31;1595;11100;5670;;114;88460;73004;913;72091;15456.0;19918;19872.0;46.0;10100;27672;4637;2372;2217;;;;48;333;479791;0;0;607;38;0;38;0;38;0;0;38;0;44;44;487;11768;0;0;0;9373;715;0;7312;1346;443;41;402;1952;2998;4;4;0;0;2462;506;0;922;1034;347;281;66;185;62707;2198;2198;0;0;58437;0;49;47051;11337;456;456;0;1616;357953.0;43257.0;141554.0;172328.0;0.0;814.0;0.0;55.0;40730;2973
62;Insurance corporations;2016;494598;12195;10993;1202;5041;4107;4094;13;934;289;645;4613;787;787;278;153;125;78;78;;;3470;197014;40244;40244;0;10195;2567;0;7435;193;0;1458;1458;;;;145117;8709;0;0;0;0;6726;32;5120;1574;219;219;;;0;1764;86962;206;206;0;0;24599;17487;1;6206;905;58830;4530;;;;;54300;3327;;;;;;11856;530;293;80;157;0;3227;;;8099;18833;13188;32;2154;11002;5346;;299;83885;67723;661;67062;16162.0;17365;17365.0;0.0;12087;30869;4905;2524;2333;;;;48;264;494598;0;0;630;34;0;34;0;39;0;0;39;0;63;63;494;12568;0;0;0;8980;1591;0;5815;1574;99;44;55;3489;2941;4;4;0;0;2322;480;0;936;906;403;334;69;212;64677;0;0;0;0;62557;0;48;51270;11239;456;456;0;1664;380123.0;42348.0;141857.0;195104.0;0.0;814.0;0.0;107.0;37371;-3819
63;Non-MMF investment funds;1998;65874;930;486;445;1609;1468;1468;0;141;133;8;556;11;11;187;32;156;104;104;11.0;93.0;253;11950;5649;5649;0;1780;1207;0;573;0;0;131;131;64.0;0.0;67.0;4391;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;901;12;12;0;0;304;267;0;37;0;413;413;413.0;0.0;0.0;0.0;0;172;344.0;344.0;0.0;0.0;0.0;28032;2411;277;2134;0;0;2386;2386.0;0.0;23235;0;0;0;0;0;0;0.0;0;1031;1031;73;958;;0;;;3247;2256;15018;135;5132;4799.0;11.0;322.0;9751;0;65874;0;0;638;0;0;0;0;52;0;0;0;52;300;300;286;937;0;0;0;937;937;0;0;0;0;0;0;0;3160;0;0;0;0;3160;2872;0;0;288;0;0;0;0;60022;37;2;0;35;19375;51;958;4;18362;36120;0;36120;4490;;;;;;;;;1285;-167
64;Non-MMF investment funds;1999;89815;1933;1534;399;3186;1915;1915;0;1271;137;1133;638;5;5;146;113;33;114;114;114.0;0.0;373;10659;3766;3766;0;1190;836;0;354;0;0;250;250;214.0;0.0;37.0;5453;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;956;0;0;0;0;221;220;0;1;0;514;514;514.0;0.0;0.0;0.0;0;221;308.0;308.0;0.0;0.0;0.0;46090;2397;445;1952;0;0;2355;2355.0;0.0;41338;0;0;0;0;0;0;0.0;0;947;947;58;889;;0;;;4027;3069;18001;142;5993;5234.0;7.0;752.0;11865;0;89815;0;0;277;0;0;0;0;20;0;0;0;20;132;132;125;1363;0;0;0;1363;1363;0;0;0;0;0;0;0;4184;0;0;0;0;4184;3894;0;0;290;0;0;0;0;80665;82;2;0;80;21238;44;890;4;20300;52787;0;52787;6558;;;;;;;;;2343;983
65;Non-MMF investment funds;2000;108376;2809;1839;970;2002;830;830;0;1172;234;938;276;7;7;17;7;10;0;0;0.0;0.0;252;10665;2361;2361;0;971;725;0;246;0;0;115;115;112.0;0.0;3.0;7218;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;906;0;0;0;0;290;290;0;0;0;286;286;286.0;0.0;0.0;0.0;0;330;320.0;320.0;0.0;0.0;0.0;50689;3597;671;2926;0;0;2729;2729.0;0.0;44362;0;0;0;0;0;0;0.0;0;1846;1846;84;1762;;0;;;3777;6337;28750;295;10389;9293.0;10.0;1087.0;18065;0;108376;0;0;372;0;0;0;0;27;0;0;0;27;135;135;210;1384;0;0;0;1384;1384;0;0;0;0;0;0;0;10288;0;0;0;0;10288;9988;0;0;300;0;0;0;0;98783;55;2;0;53;27571;29;1762;2;25778;63368;0;63368;7789;;;;;;;;;4015;-6467
66;Non-MMF investment funds;2001;103521;1359;614;745;1872;944;944;0;928;222;706;549;0;0;89;37;52;0;0;0.0;0.0;460;12963;1666;1666;0;852;736;0;116;0;0;124;124;118.0;0.0;6.0;10321;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;3615;130;101;29;0;3048;3032;0;16;0;232;232;52.0;0.0;180.0;0.0;0;205;368.0;368.0;0.0;0.0;0.0;42831;2563;493;2070;0;0;2419;2419.0;0.0;37849;0;0;0;0;0;0;0.0;0;1162;1162;18;1144;;0;;;3419;4279;31104;319;10621;9226.0;0.0;1395.0;20164;0;103521;0;0;382;2;0;0;2;25;0;0;0;25;138;138;217;1923;0;0;0;1923;1923;0;0;0;0;0;0;0;11441;0;0;0;0;11441;11162;0;0;279;0;0;0;0;86453;54;2;0;52;25918;8;1144;2;24764;53338;0;53338;7143;;;;;;;;;2937;385
67;Non-MMF investment funds;2002;83567;1217;629;588;1602;785;785;0;817;192;625;566;0;0;95;38;57;0;0;0.0;0.0;471;14290;1684;1684;0;709;571;7;131;0;0;129;129;124.0;0.0;5.0;11768;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;4973;186;152;34;0;4050;4031;0;19;0;543;543;342.0;0.0;201.0;0.0;0;194;337.0;337.0;0.0;0.0;0.0;31142;1678;469;1209;0;0;4152;4152.0;0.0;25312;0;0;0;0;0;0;0.0;0;1317;1317;20;1297;;0;;;2477;2526;23120;183;8975;7969.0;0.0;1006.0;13962;0;83567;0;0;298;20;0;0;20;34;0;7;0;27;138;138;106;670;0;0;0;670;670;0;0;0;0;0;0;0;7903;0;0;0;0;7903;7673;0;0;230;0;0;0;0;71665;35;2;0;33;25888;4;1297;2;24585;38306;0;38306;7436;;;;;;;;;2685;346
68;Non-MMF investment funds;2003;90019;1764;763;1001;1826;973;973;0;853;273;580;579;0;0;97;37;60;0;0;0.0;0.0;482;16911;1942;1942;0;890;676;8;206;0;0;153;153;147.0;0.0;6.0;13926;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;5146;192;157;35;0;4191;4171;0;20;0;562;562;354.0;0.0;208.0;0.0;0;201;303.0;303.0;0.0;0.0;0.0;34508;1814;505;1309;0;0;4494;4494.0;0.0;28200;0;0;0;0;0;0;0.0;0;1440;1440;24;1416;;0;;;1867;2475;23200;172;8981;7995.0;0.0;986.0;14047;0;90019;0;0;724;22;0;0;22;90;0;8;0;82;329;329;283;429;0;0;0;429;429;0;0;0;0;0;0;0;7616;0;0;0;0;7616;7399;0;0;217;0;0;0;0;79177;245;2;0;243;31389;4;1416;2;29967;39625;0;39625;7918;;;;;;;;;1915;158
69;Non-MMF investment funds;2004;89084;1369;587;782;1556;773;773;0;783;322;461;431;0;0;0;0;0;40;40;40.0;0.0;391;18106;1978;1978;0;1076;646;82;348;0;0;109;109;109.0;0.0;0.0;14943;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;4961;173;152;21;0;3981;3966;0;15;0;796;796;642.0;0.0;154.0;0.0;0;11;107.0;107.0;0.0;0.0;0.0;33385;1969;779;1190;0;0;3654;3654.0;0.0;27762;0;0;0;0;0;0;0.0;0;2920;2920;49;2871;;0;;;1889;2634;21726;937;9197;8285.0;0.0;912.0;11592;0;89084;0;0;1232;6;0;0;6;254;0;82;0;172;289;289;683;422;0;0;0;422;422;0;0;0;0;0;0;0;6396;0;0;0;0;6396;6205;0;0;191;0;0;0;0;80681;559;2;0;557;36627;2;2871;2;33752;35427;0;35427;8068;;;;;;;;;2043;-1690
70;Non-MMF investment funds;2005 before break;95127;1477;940;537;1428;1002;1002;0;426;153;273;121;0;0;21;4;17;0;0;0.0;0.0;100;16099;1855;1855;0;888;664;3;221;0;0;93;93;93.0;0.0;0.0;13263;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;7087;132;115;17;0;5966;5955;0;11;0;981;981;820.0;0.0;161.0;0.0;0;8;223.0;223.0;0.0;0.0;0.0;39512;2461;920;1541;0;0;3491;3491.0;0.0;33560;0;0;0;0;0;0;0.0;0;1538;1538;36;1502;;0;;;1527;1622;24493;955;9293;8743.0;0.0;550.0;14245;0;95127;0;0;1894;6;0;0;6;157;0;3;0;154;1044;1044;687;594;0;0;0;594;594;0;0;0;0;0;0;0;5382;0;0;0;0;5382;5198;0;0;184;0;0;0;0;84890;787;2;0;785;43561;0;1502;2;42057;31425;0;31425;9117;;;;;;;;;3296;-929
71;Non-MMF investment funds;2005 after break;95127;1477;940;537;1428;1002;1002;0;426;153;273;121;0;0;21;4;17;0;0;0.0;0.0;100;16099;1855;1855;0;888;664;3;221;0;0;93;93;93.0;0.0;0.0;13263;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;7087;132;115;17;0;5966;5955;0;11;0;981;981;820.0;0.0;161.0;0.0;0;8;223.0;223.0;0.0;0.0;0.0;35312;2461;920;1541;0;0;3491;3491.0;0.0;29360;0;0;0;0;0;0;0.0;0;5738;1538;36;1502;4200.0;0;;;1527;1622;24493;955;9293;8743.0;0.0;550.0;14245;0;95127;0;0;1894;6;0;0;6;157;0;3;0;154;1044;1044;687;594;0;0;0;594;594;0;0;0;0;0;0;0;5382;0;0;0;0;5382;5198;0;0;184;0;0;0;0;84890;787;2;0;785;43561;0;1502;2;42057;31425;0;31425;9117;;;;;;;;;3296;-929
72;Non-MMF investment funds;2006;103350;1193;904;289;1053;727;727;0;326;119;207;94;0;0;16;3;13;0;0;0.0;0.0;78;14375;1515;1515;0;475;382;0;93;0;0;125;125;125.0;0.0;0.0;12260;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;7072;114;101;13;0;5985;5966;0;19;0;965;965;850.0;0.0;115.0;0.0;0;8;262.0;262.0;0.0;0.0;0.0;29623;2773;769;2004;0;0;4064;4064.0;0.0;22786;0;0;0;0;0;0;0.0;0;17371;1993;45;1948;15378.0;0;;;469;4588;27250;915;9650;9100.0;0.0;550.0;16685;0;103350;0;0;2313;0;0;0;0;155;0;0;0;155;1028;1028;1130;1290;0;0;0;1290;1290;0;0;0;0;0;0;0;6155;0;0;0;0;6155;5976;0;0;179;0;0;0;0;94845;0;0;0;0;49404;0;1948;0;47456;33881;0;33881;11560;;;;;;;;;3517;-4770
73;Non-MMF investment funds;2007;93940;2087;1531;556;532;513;513;0;19;15;4;39;0;0;6;0;6;0;0;0.0;0.0;33;12343;1058;1058;0;386;313;0;73;0;0;48;48;48.0;0.0;0.0;10851;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;7486;124;110;14;0;6380;6365;0;15;0;971;971;844.0;0.0;127.0;0.0;0;11;209.0;209.0;0.0;0.0;0.0;27468;1440;37;1403;0;0;4174;4174.0;0.0;21854;0;0;0;0;0;0;0.0;0;20037;2589;29;2560;17448.0;0;;;642;4068;19029;1181;6127;5686.0;0.0;441.0;11721;0;93940;0;0;193;0;0;0;0;0;0;0;0;0;92;92;101;1329;0;0;0;1329;1329;0;0;0;0;0;0;0;6629;0;0;0;0;6629;6629;0;0;0;0;0;0;0;81793;0;0;0;0;43906;0;2560;543;40803;30200;0;30200;7687;;;;;;;;;3213;783
74;Non-MMF investment funds;2008 before revision;72143;1880;709;1171;582;202;202;0;380;50;330;127;0;0;0;0;0;0;0;0.0;0.0;127;12134;585;585;0;250;210;0;40;0;0;47;47;47.0;0.0;0.0;11252;250;0;0;0;0;0;0;0;0;138;1;1.0;0.0;137;112;6500;50;50;0;0;5437;5425;0;9;3;1004;928;928.0;0.0;0.0;0.0;76;9;198.0;198.0;0.0;0.0;0.0;9583;624;34;590;0;0;2953;2953.0;0.0;6006;599;101;50;51;0;46;46.0;452;15703;1385;57;1328;14318.0;0;;;1506;4481;18593;839;5722;5432.0;0.0;290.0;12032;7;72143;0;0;182;0;0;0;0;0;0;0;0;0;81;81;101;1681;0;0;0;1340;1340;0;0;0;22;1;21;319;7411;0;0;0;0;7345;7345;0;0;0;0;0;0;66;60737;0;0;0;0;33051;0;1328;35;31688;22790;0;22790;4896;;;;;;;;;3144;-1012
75;Non-MMF investment funds;2008 after revision;198755;3418;2423;995;751;324;237;87;427;0;427;505;1;1;14;9;5;10;10;;;480;63833;3364;3364;0;3799;1704;0;2095;0;0;608;608;;;;56062;2275;0;0;0;0;1205;40;1032;133;294;1;;;293;776;12979;0;0;0;0;6864;6852;0;8;4;4860;3017;;;;;1843;1255;;;;;;41060;612;33;579;0;0;4595;;;35853;7070;431;0;431;0;87;;6552;36038;21487;55;21432;14551.0;0;0.0;;1611;2543;26640;9410;16277;;;;953;32;198755;0;0;158;0;0;0;0;0;0;0;0;0;0;0;158;1414;0;0;0;728;625;40;49;14;20;0;20;666;7989;0;0;0;0;6470;3134;0;2931;405;193;97;96;1326;185375;2374;5;2369;0;143110;773;21432;1859;119046;29947;2609;27338;9944;;;;;;;;40.0;2698;1081
76;Non-MMF investment funds;2009;459208;12881;10743;2138;3442;3224;2056;1168;218;68;150;655;0;0;45;2;43;0;0;;;610;153750;4645;4645;0;8693;3439;0;5171;83;0;1314;1314;;;;139098;25331;0;0;0;0;22182;28;811;21343;133;8;;;125;3016;13849;0;0;0;0;7140;6908;0;228;4;4892;3053;;;;;1839;1817;;;;;;165446;3686;88;1594;2004;0;7323;;;154437;6394;355;0;355;0;107;;5932;45503;27584;62;27522;17919.0;0;0.0;;-883;7771;25028;9110;15046;;;;872;41;459208;0;0;588;0;0;0;0;0;0;0;0;0;0;0;588;26927;0;0;0;11195;4872;28;6281;14;29;2;27;15703;10222;0;0;0;0;7531;2740;0;2786;2005;121;7;114;2570;411499;2149;5;2144;0;367779;559;27522;1627;338071;34329;2023;32306;7242;;;;;;;;13.0;10859;-900
77;Non-MMF investment funds;2010;497437;8998;5992;3006;2488;2230;966;1264;258;13;245;799;0;0;43;0;43;0;0;;;756;155377;7108;7108;0;8553;4379;0;4117;57;0;1309;1309;;;;138407;14622;0;0;0;0;13290;26;13254;10;132;15;;;117;1200;17096;0;0;0;0;7673;7286;0;383;4;4986;3082;;;;;1904;4437;;;;;;184651;3905;133;1628;2144;0;7227;;;173519;6335;632;0;573;59;228;;5475;66314;31590;782;30808;34724.0;0;0.0;;-473;10032;31128;13717;16520;;;;891;70;497437;0;0;1685;0;0;0;0;0;0;0;0;0;0;0;1685;7916;0;0;0;6827;2058;26;4720;23;15;9;6;1074;11321;0;0;0;0;7784;3405;0;2225;2154;25;1;24;3512;465288;2031;5;2026;0;418771;464;30808;1779;385720;34974;2100;32874;9512;;;;;;;;219.0;11939;-931
78;Non-MMF investment funds;2011;512115;7062;3345;3717;1727;1077;459;618;650;254;396;1081;129;129;71;19;52;0;0;;;881;168052;9252;9252;0;9799;5390;0;4333;76;0;1090;1090;;;;147911;21556;0;0;0;0;20037;34;20003;0;151;33;;;118;1368;11295;0;0;0;0;421;77;218;121;5;5235;3055;;;;;2180;5639;;;;;;187699;3664;101;1292;2271;0;5827;;;178208;8977;685;0;641;44;160;;8132;66590;27548;768;26780;39042.0;0;0.0;;-356;6474;31895;12626;18399;;;;870;63;512115;0;0;1405;23;0;23;0;0;0;0;0;0;0;0;1382;7113;0;0;0;5956;1045;34;4862;15;17;3;14;1140;10882;0;0;0;0;7282;4385;218;2221;458;11;1;10;3589;487806;1828;5;1823;0;453366;606;26780;1728;424252;23827;1526;22301;8785;;;;;;;;173.0;5641;-905
79;Non-MMF investment funds;2012;588755;8723;4182;4541;1097;651;105;546;446;383;63;2417;183;183;24;20;4;0;0;;;2210;195699;11656;11656;0;9354;4832;0;4488;34;0;1089;1089;;;;173600;26211;0;0;0;0;24796;34;24762;0;120;4;;;116;1295;16865;0;0;0;0;872;36;273;558;5;5587;2946;;;;;2641;10406;;;;;;219583;4063;62;1879;2122;0;6351;;;209169;11493;805;0;742;63;189;;10499;68389;28807;816;27991;39582.0;0;0.0;;2312;4745;31167;12442;17878;;;;847;54;588755;0;0;1614;23;0;23;0;0;0;0;0;0;0;0;1591;8951;0;0;0;7818;1641;34;6081;62;16;2;14;1117;10085;0;0;0;0;6053;3643;273;1687;450;23;12;11;4009;562231;1531;7;1524;0;525591;620;27991;1607;495373;24670;1850;22820;10439;;;;;;;;275.0;6466;-867
80;Non-MMF investment funds;2013;648688;7530;3330;4200;1665;1417;440;977;248;175;73;1387;238;238;47;43;4;0;0;;;1102;209652;12764;12764;0;8028;3404;0;4594;30;0;1097;1097;;;;187763;31927;0;0;0;0;30601;34;30567;0;73;26;;;47;1253;18764;0;0;0;0;880;1;323;554;2;6793;2990;;;;;3803;11091;;;;;;244351;4717;58;2501;2158;0;7050;;;232584;12726;785;0;722;63;360;;11581;74469;27811;758;27053;46658.0;0;0.0;;584;15907;29671;12582;16469;;;;620;55;648688;128;128;2087;11;0;11;0;0;0;0;0;0;0;0;2076;4672;0;0;0;3568;960;34;2524;50;18;2;16;1086;10196;0;0;0;0;6603;5078;323;813;389;12;1;11;3581;615812;777;7;770;0;580656;703;27053;1612;551288;23147;1317;21830;11232;;;;;;;;223.0;16176;-606
81;Non-MMF investment funds;2014;752252;10121;4844;5277;2483;2362;347;2015;121;63;58;1181;236;236;14;10;4;0;0;;;931;232504;12495;12495;0;7702;2759;0;4824;119;0;1010;1010;;;;211297;29105;0;0;0;0;28009;34;27975;0;158;8;;;150;938;23914;0;0;0;0;1100;1;423;674;2;9974;3083;;;;;6891;12840;;;;;;295468;4063;28;2150;1885;0;6044;;;285361;18633;1088;0;1022;66;2420;;15125;99129;32289;4566;27723;66840.0;0;0.0;;72;11226;28359;12122;15552;;;;685;57;752252;413;413;2638;12;0;12;0;9;0;0;0;9;0;0;2617;11471;0;0;0;9107;1216;34;7780;77;26;10;16;2338;8624;0;0;0;0;5483;4263;423;288;509;65;54;11;3076;717180;709;15;694;0;672883;961;27723;3133;641066;28341;1502;26839;15247;;;;;;;;339.0;12162;-575
82;Non-MMF investment funds;2015;759742;10211;4433;5778;2337;2198;422;1776;139;47;92;1306;197;197;58;54;4;0;0;;;1051;244401;11912;11912;0;8147;2851;0;5177;119;0;1283;1283;;;;223059;28166;0;0;0;0;27359;34;27325;0;300;41;;;259;507;27847;0;0;0;0;826;1;423;400;2;17009;2909;;;;;14100;10012;;;;;;282403;2633;42;1177;1414;0;6308;;;273462;17406;1256;0;1207;49;1896;;14254;109516;31524;5343;26181;77992.0;0;0.0;;902;4681;30552;13514;16246;;;;792;14;759742;41;41;729;10;0;10;0;9;0;0;0;9;0;0;710;8815;0;0;0;7327;332;34;6882;79;23;6;17;1465;8664;0;0;0;0;5331;4610;423;26;272;95;79;16;3238;733310;634;15;619;0;690151;587;26181;2802;660581;32383;1626;30757;10142;;;;;;;;197.0;7350;636
83;Non-MMF investment funds;2016;824160;8206;4502;3704;2259;2174;272;1902;85;54;31;4880;6;6;14;3;11;0;0;;;4860;245124;8671;8671;0;8287;2975;0;5193;119;0;1761;1761;;;;226405;28546;0;0;0;0;27863;14;27849;0;149;17;;;132;534;37983;0;0;0;0;857;1;423;431;2;26715;2927;;;;;23788;10411;;;;;;321329;4194;44;2332;1818;0;6387;;;310748;17243;772;0;724;48;2336;;14135;121128;30284;2926;27358;90844.0;0;0.0;;-1415;6886;31978;15944;15309;;;;725;13;824160;41;41;763;9;0;9;0;3;0;0;0;3;0;0;751;5834;0;0;0;5105;263;14;4774;54;36;19;17;693;9220;0;0;0;0;5755;4816;423;30;486;95;76;19;3370;802193;622;15;607;0;758306;579;27358;2760;727609;33939;1631;32308;9326;;;;;;;;145.0;5813;151
