ID;CharacteristicOfExporter;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
1141;97 Households with domestic personnel;2020;;
1142;97 Households with domestic personnel;2021;;
1143;97 Households with domestic personnel;2022;;
1144;98 Households producing for own use;2012;;
1145;98 Households producing for own use;2013;-377.0;0.0
1146;98 Households producing for own use;2014;;
1147;98 Households producing for own use;2015;;
1148;98 Households producing for own use;2016;;
1149;98 Households producing for own use;2017;;
1150;98 Households producing for own use;2018;3.0;0.0
1151;98 Households producing for own use;2019;;
1152;98 Households producing for own use;2020;;
1153;98 Households producing for own use;2021;137.0;0.0
1154;98 Households producing for own use;2022;;
1155;U Extraterritorial organisations;2012;;
1156;U Extraterritorial organisations;2013;;
1157;U Extraterritorial organisations;2014;;
1158;U Extraterritorial organisations;2015;;
1159;U Extraterritorial organisations;2016;-7.0;0.0
1160;U Extraterritorial organisations;2017;-1.0;0.0
1161;U Extraterritorial organisations;2018;2.0;0.0
1162;U Extraterritorial organisations;2019;;
1163;U Extraterritorial organisations;2020;;
1164;U Extraterritorial organisations;2021;;
1165;U Extraterritorial organisations;2022;;
1166;99 Extraterritorial organisations;2012;;
1167;99 Extraterritorial organisations;2013;;
1168;99 Extraterritorial organisations;2014;;
1169;99 Extraterritorial organisations;2015;;
1170;99 Extraterritorial organisations;2016;-7.0;0.0
1171;99 Extraterritorial organisations;2017;-1.0;0.0
1172;99 Extraterritorial organisations;2018;2.0;0.0
1173;99 Extraterritorial organisations;2019;;
1174;99 Extraterritorial organisations;2020;;
1175;99 Extraterritorial organisations;2021;;
1176;99 Extraterritorial organisations;2022;;
1177;Unknown;2012;7245153.0;1.8
1178;Unknown;2013;2525564.0;0.6
1179;Unknown;2014;-158283.0;0.0
1180;Unknown;2015;;
1181;Unknown;2016;-1483625.0;-0.4
1182;Unknown;2017;19962367.0;4.7
1183;Unknown;2018;14319340.0;3.1
1184;Unknown;2019;13276803.0;2.7
1185;Unknown;2020;-16679388.0;-3.2
1186;Unknown;2021;17641366.0;3.7
1187;Unknown;2022;;
1188;Starting exporter;2012;;
1189;Starting exporter;2013;;
1190;Starting exporter;2014;5067618.0;1.2
1191;Starting exporter;2015;;
1192;Starting exporter;2016;9101472.0;2.2
1193;Starting exporter;2017;3661851.0;0.9
1194;Starting exporter;2018;3244714.0;0.7
1195;Starting exporter;2019;6851027.0;1.4
1196;Starting exporter;2020;4042901.0;0.8
1197;Starting exporter;2021;29572000.0;6.1
1198;Starting exporter;2022;;
1199;Restarting exporter;2012;;
1200;Restarting exporter;2013;;
1201;Restarting exporter;2014;86408.0;0.0
1202;Restarting exporter;2015;;
1203;Restarting exporter;2016;319181.0;0.1
1204;Restarting exporter;2017;359500.0;0.1
1205;Restarting exporter;2018;194524.0;0.0
1206;Restarting exporter;2019;274733.0;0.1
1207;Restarting exporter;2020;348062.0;0.1
1208;Restarting exporter;2021;600840.0;0.1
1209;Restarting exporter;2022;;
1210;Maturing exporter;2012;;
1211;Maturing exporter;2013;;
1212;Maturing exporter;2014;5527909.0;1.3
1213;Maturing exporter;2015;;
1214;Maturing exporter;2016;2110715.0;0.5
1215;Maturing exporter;2017;5684494.0;1.3
1216;Maturing exporter;2018;1701925.0;0.4
1217;Maturing exporter;2019;2544169.0;0.5
1218;Maturing exporter;2020;1951844.0;0.4
1219;Maturing exporter;2021;4753112.0;1.0
1220;Maturing exporter;2022;;
1221;Mature exporter;2012;;
1222;Mature exporter;2013;;
1223;Mature exporter;2014;-3702117.0;-0.9
1224;Mature exporter;2015;;
1225;Mature exporter;2016;-2810923.0;-0.7
1226;Mature exporter;2017;19422230.0;4.6
1227;Mature exporter;2018;14508425.0;3.1
1228;Mature exporter;2019;-2164310.0;-0.4
1229;Mature exporter;2020;-18375939.0;-3.6
1230;Mature exporter;2021;73237062.0;15.2
1231;Mature exporter;2022;;
1232;Exiting exporter;2012;;
1233;Exiting exporter;2013;;
1234;Exiting exporter;2014;-1270322.0;-0.3
1235;Exiting exporter;2015;;
1236;Exiting exporter;2016;-1255678.0;-0.3
1237;Exiting exporter;2017;-1670981.0;-0.4
1238;Exiting exporter;2018;-1799478.0;-0.4
1239;Exiting exporter;2019;-1516725.0;-0.3
1240;Exiting exporter;2020;-1869131.0;-0.4
1241;Exiting exporter;2021;-1515040.0;-0.3
1242;Exiting exporter;2022;;
1243;Former exporter;2012;;
1244;Former exporter;2013;;
1245;Former exporter;2014;;
1246;Former exporter;2015;;
1247;Former exporter;2016;;
1248;Former exporter;2017;;
1249;Former exporter;2018;;
1250;Former exporter;2019;;
1251;Former exporter;2020;;
1252;Former exporter;2021;;
1253;Former exporter;2022;;
1254;Non-exporter;2012;;
1255;Non-exporter;2013;;
1256;Non-exporter;2014;;
1257;Non-exporter;2015;;
1258;Non-exporter;2016;;
1259;Non-exporter;2017;;
1260;Non-exporter;2018;;
1261;Non-exporter;2019;;
1262;Non-exporter;2020;;
1263;Non-exporter;2021;;
1264;Non-exporter;2022;;
1265;Unknown;2012;;
1266;Unknown;2013;;
1267;Unknown;2014;-5410053.0;-1.2
1268;Unknown;2015;;
1269;Unknown;2016;-3219142.0;-0.8
1270;Unknown;2017;16749098.0;4.0
1271;Unknown;2018;12590172.0;2.7
1272;Unknown;2019;11401131.0;2.3
1273;Unknown;2020;-18649135.0;-3.6
1274;Unknown;2021;-2719148.0;-0.6
1275;Unknown;2022;;
1276;Total;2012;20358508.0;5.0
1277;Total;2013;3389471.0;0.8
1278;Total;2014;299443.0;0.1
1279;Total;2015;;
1280;Total;2016;4245625.0;1.0
1281;Total;2017;44206192.0;10.4
1282;Total;2018;30440281.0;6.5
1283;Total;2019;17390024.0;3.5
1284;Total;2020;-32551398.0;-6.3
1285;Total;2021;103928826.0;21.5
1286;Total;2022;;
1287;Independent SME's (0 to 9);2012;1697393.0;0.4
1288;Independent SME's (0 to 9);2013;-6260947.0;-1.5
1289;Independent SME's (0 to 9);2014;-450292.0;-0.1
1290;Independent SME's (0 to 9);2015;;
1291;Independent SME's (0 to 9);2016;1257631.0;0.3
1292;Independent SME's (0 to 9);2017;344741.0;0.1
1293;Independent SME's (0 to 9);2018;220922.0;0.0
1294;Independent SME's (0 to 9);2019;2543713.0;0.5
1295;Independent SME's (0 to 9);2020;839344.0;0.2
1296;Independent SME's (0 to 9);2021;4079261.0;0.8
1297;Independent SME's (0 to 9);2022;;
1298;Independent SME's (10 to 49 employees);2012;20724.0;0.0
1299;Independent SME's (10 to 49 employees);2013;1181763.0;0.3
1300;Independent SME's (10 to 49 employees);2014;84611.0;0.0
1301;Independent SME's (10 to 49 employees);2015;;
1302;Independent SME's (10 to 49 employees);2016;628712.0;0.2
1303;Independent SME's (10 to 49 employees);2017;387569.0;0.1
1304;Independent SME's (10 to 49 employees);2018;963814.0;0.2
1305;Independent SME's (10 to 49 employees);2019;-1445994.0;-0.3
1306;Independent SME's (10 to 49 employees);2020;360022.0;0.1
1307;Independent SME's (10 to 49 employees);2021;4237858.0;0.9
1308;Independent SME's (10 to 49 employees);2022;;
1309;Independent SME's (50 to 249 employees);2012;1004485.0;0.2
1310;Independent SME's (50 to 249 employees);2013;967576.0;0.2
1311;Independent SME's (50 to 249 employees);2014;-112339.0;0.0
1312;Independent SME's (50 to 249 employees);2015;;
1313;Independent SME's (50 to 249 employees);2016;1308664.0;0.3
1314;Independent SME's (50 to 249 employees);2017;-73762.0;0.0
1315;Independent SME's (50 to 249 employees);2018;-470530.0;-0.1
1316;Independent SME's (50 to 249 employees);2019;-38496.0;0.0
1317;Independent SME's (50 to 249 employees);2020;-1514389.0;-0.3
1318;Independent SME's (50 to 249 employees);2021;2235802.0;0.5
1319;Independent SME's (50 to 249 employees);2022;;
1320;Large enterprises;2012;1059604.0;0.3
1321;Large enterprises;2013;-316100.0;-0.1
1322;Large enterprises;2014;-145133.0;0.0
1323;Large enterprises;2015;;
1324;Large enterprises;2016;-521282.0;-0.1
1325;Large enterprises;2017;133534.0;0.0
1326;Large enterprises;2018;785457.0;0.2
1327;Large enterprises;2019;-145171.0;0.0
1328;Large enterprises;2020;378098.0;0.1
1329;Large enterprises;2021;1261398.0;0.3
1330;Large enterprises;2022;;
1331;Dutch multinational;2012;7068562.0;1.7
1332;Dutch multinational;2013;4927244.0;1.1
1333;Dutch multinational;2014;-5640574.0;-1.3
1334;Dutch multinational;2015;;
1335;Dutch multinational;2016;-2033834.0;-0.5
1336;Dutch multinational;2017;7820070.0;1.8
1337;Dutch multinational;2018;7587809.0;1.6
1338;Dutch multinational;2019;2921426.0;0.6
1339;Dutch multinational;2020;-11125423.0;-2.2
1340;Dutch multinational;2021;30343808.0;6.3
1341;Dutch multinational;2022;;
1342;Foreign multinational;2012;2262586.0;0.6
1343;Foreign multinational;2013;364371.0;0.1
1344;Foreign multinational;2014;6721453.0;1.6
1345;Foreign multinational;2015;;
1346;Foreign multinational;2016;5089360.0;1.2
1347;Foreign multinational;2017;15631674.0;3.7
1348;Foreign multinational;2018;7033470.0;1.5
1349;Foreign multinational;2019;277743.0;0.1
1350;Foreign multinational;2020;-4809661.0;-0.9
1351;Foreign multinational;2021;44129332.0;9.1
1352;Foreign multinational;2022;;
1353;Unknown;2012;7245153.0;1.8
1354;Unknown;2013;2525564.0;0.6
1355;Unknown;2014;-158283.0;0.0
1356;Unknown;2015;;
1357;Unknown;2016;-1483625.0;-0.4
1358;Unknown;2017;19962367.0;4.7
1359;Unknown;2018;14319340.0;3.1
1360;Unknown;2019;13276803.0;2.7
1361;Unknown;2020;-16679388.0;-3.2
1362;Unknown;2021;17641366.0;3.7
1363;Unknown;2022;;
