ID;Perioden;Indexcijfers_1;Mutaties_2;Indexcijfers_3;Mutaties_4;Indexcijfers_5;Mutaties_6
285;2006 november;105.0;-0.1;97.4;1.7;102.2;1.5
286;2006 december;104.5;0.0;97.5;1.1;101.9;1.0
287;2006 4e kwartaal;104.5;0.0;97.5;1.2;102.0;1.2
288;2006;103.6;-0.3;99.0;3.5;102.5;3.2
289;2007 januari;104.8;0.9;99.2;0.4;104.0;1.4
290;2007 februari;104.8;0.1;99.4;1.1;104.2;1.3
291;2007 maart;103.1;-0.2;100.3;1.7;103.4;1.6
292;2007 1e kwartaal;104.3;0.3;99.7;1.1;103.9;1.4
293;2007 april;103.7;0.0;100.3;1.0;104.0;1.0
294;2007 mei;102.8;-0.5;102.2;1.7;105.1;1.2
295;2007 juni;102.1;-0.5;101.7;1.6;103.8;1.1
296;2007 2e kwartaal;102.8;-0.3;101.4;1.4;104.3;1.1
297;2007 juli;102.7;0.5;101.7;0.6;104.4;1.2
298;2007 augustus;103.1;0.2;100.2;-0.3;103.2;0.0
299;2007 september;102.4;-0.7;100.3;2.0;102.7;1.3
300;2007 3e kwartaal;102.7;0.0;100.7;0.8;103.5;0.8
301;2007 oktober;103.9;-0.2;100.6;2.9;104.5;2.7
302;2007 november;104.5;-0.5;100.8;3.5;105.3;3.0
303;2007 december;103.4;-1.1;101.5;4.1;105.0;3.0
304;2007 4e kwartaal;103.9;-0.6;100.9;3.5;104.9;2.9
305;2007;103.4;-0.1;100.7;1.7;104.1;1.6
306;2008 januari;103.6;-1.2;105.2;6.0;109.0;4.8
307;2008 februari;104.2;-0.6;105.1;5.7;109.5;5.1
308;2008 maart;102.9;-0.2;105.7;5.3;108.7;5.1
309;2008 1e kwartaal;103.6;-0.7;105.3;5.7;109.1;5.0
310;2008 april;102.9;-0.7;106.2;5.9;109.3;5.1
311;2008 mei;101.4;-1.4;110.1;7.7;111.6;6.2
312;2008 juni;100.2;-1.8;111.1;9.2;111.3;7.2
313;2008 2e kwartaal;101.5;-1.3;109.1;7.6;110.8;6.2
314;2008 juli;101.4;-1.3;110.5;8.7;112.0;7.3
315;2008 augustus;101.8;-1.2;108.8;8.6;110.7;7.3
316;2008 september;103.0;0.6;105.9;5.6;109.1;6.2
317;2008 3e kwartaal;102.1;-0.6;108.4;7.6;110.6;6.9
318;2008 oktober;104.6;0.7;104.0;3.5;108.8;4.1
319;2008 november;107.0;2.4;99.4;-1.3;106.4;1.0
320;2008 december;105.3;1.9;96.6;-4.8;101.8;-3.0
321;2008 4e kwartaal;105.6;1.6;100.0;-0.9;105.7;0.7
322;2008;103.2;-0.3;105.7;5.0;109.1;4.7
323;2009 januari;106.2;2.5;97.4;-7.5;103.4;-5.1
324;2009 februari;104.8;0.5;97.8;-7.0;102.5;-6.4
325;2009 maart;104.0;1.1;96.6;-8.5;100.5;-7.5
326;2009 1e kwartaal;105.0;1.4;97.3;-7.7;102.1;-6.4
327;2009 april;103.8;0.9;95.5;-10.1;99.1;-9.3
328;2009 mei;102.0;0.6;97.7;-11.3;99.7;-10.7
329;2009 juni;101.3;1.1;99.0;-10.9;100.3;-9.9
330;2009 2e kwartaal;102.4;0.9;97.4;-10.8;99.7;-10.0
331;2009 juli;102.8;1.4;96.1;-13.0;98.8;-11.8
332;2009 augustus;101.5;-0.3;96.8;-11.0;98.3;-11.3
333;2009 september;102.4;-0.6;95.2;-10.1;97.5;-10.6
334;2009 3e kwartaal;102.2;0.2;96.0;-11.4;98.2;-11.2
335;2009 oktober;102.8;-1.7;96.6;-7.2;99.3;-8.7
