ID;EnergyCommodities;Periods;Amount_1;ChangeYearOnYear_2;PriceIndex_3;ChangeYearOnYear_4
865;Crude and petroleum products;1999 4th quarter;260.0;4.1;30.9;160.4
866;Crude and petroleum products;1999;1039.0;2.9;22.0;51.4
867;Crude and petroleum products;2000 January;86.0;3.4;34.0;183.8
868;Crude and petroleum products;2000 February;85.0;10.5;38.0;217.9
869;Crude and petroleum products;2000 March;85.0;-6.6;37.3;161.3
870;Crude and petroleum products;2000 1st quarter;256.0;2.0;36.4;186.1
871;Crude and petroleum products;2000 April;85.0;-3.5;32.3;76.8
872;Crude and petroleum products;2000 May;93.0;6.9;40.0;112.9
873;Crude and petroleum products;2000 June;86.0;-10.4;40.4;102.8
874;Crude and petroleum products;2000 2nd quarter;263.0;-2.6;37.5;97.8
875;Crude and petroleum products;2000 July;88.0;0.5;38.4;60.5
876;Crude and petroleum products;2000 August;93.0;11.8;42.6;69.1
877;Crude and petroleum products;2000 September;92.0;5.4;47.7;75.7
878;Crude and petroleum products;2000 3rd quarter;273.0;5.8;42.9;68.7
879;Crude and petroleum products;2000 October;93.0;25.0;47.9;71.8
880;Crude and petroleum products;2000 November;94.0;6.6;48.5;54.3
881;Crude and petroleum products;2000 December;95.0;-2.6;38.8;16.6
882;Crude and petroleum products;2000 4th quarter;282.0;8.5;45.1;46.0
883;Crude and petroleum products;2000;1074.0;3.4;40.5;84.0
884;Crude and petroleum products;2001 January;94.0;9.8;37.5;10.3
885;Crude and petroleum products;2001 February;86.0;0.7;39.7;4.6
886;Crude and petroleum products;2001 March;97.0;14.1;35.1;-5.9
887;Crude and petroleum products;2001 1st quarter;277.0;8.2;37.5;2.8
888;Crude and petroleum products;2001 April;89.0;5.3;41.4;28.4
889;Crude and petroleum products;2001 May;98.0;5.8;42.6;6.6
890;Crude and petroleum products;2001 June;90.0;4.9;39.8;-1.6
891;Crude and petroleum products;2001 2nd quarter;277.0;5.3;41.3;9.9
892;Crude and petroleum products;2001 July;91.0;3.3;33.2;-13.6
893;Crude and petroleum products;2001 August;93.0;-0.1;34.3;-19.5
894;Crude and petroleum products;2001 September;89.0;-3.1;30.8;-35.4
895;Crude and petroleum products;2001 3rd quarter;273.0;0.0;32.8;-23.6
896;Crude and petroleum products;2001 October;94.0;1.2;27.0;-43.5
897;Crude and petroleum products;2001 November;90.0;-4.7;23.6;-51.4
898;Crude and petroleum products;2001 December;95.0;0.3;25.3;-34.9
899;Crude and petroleum products;2001 4th quarter;279.0;-1.1;25.3;-43.9
900;Crude and petroleum products;2001;1106.0;3.0;34.2;-15.5
901;Crude and petroleum products;2002 January;92.0;-2.0;26.6;-29.1
902;Crude and petroleum products;2002 February;90.0;4.3;30.3;-23.8
903;Crude and petroleum products;2002 March;92.0;-4.9;36.4;3.7
904;Crude and petroleum products;2002 1st quarter;274.0;-1.1;31.1;-17.0
905;Crude and petroleum products;2002 April;91.0;1.4;36.5;-12.0
906;Crude and petroleum products;2002 May;92.0;-5.9;33.2;-22.1
907;Crude and petroleum products;2002 June;90.0;0.5;31.9;-19.9
908;Crude and petroleum products;2002 2nd quarter;273.0;-1.4;33.8;-18.0
909;Crude and petroleum products;2002 July;92.0;1.1;32.1;-3.4
910;Crude and petroleum products;2002 August;87.0;-6.6;34.3;0.0
911;Crude and petroleum products;2002 September;91.0;2.4;37.1;20.4
912;Crude and petroleum products;2002 3rd quarter;270.0;-1.1;34.5;5.3
913;Crude and petroleum products;2002 October;100.0;6.3;34.3;26.9
914;Crude and petroleum products;2002 November;97.0;7.9;31.6;34.1
915;Crude and petroleum products;2002 December;101.0;6.3;39.7;57.0
916;Crude and petroleum products;2002 4th quarter;298.0;6.8;35.2;39.2
917;Crude and petroleum products;2002;1115.0;0.8;33.7;-1.6
918;Crude and petroleum products;2003 January;96.0;4.0;42.3;59.1
919;Crude and petroleum products;2003 February;93.0;3.8;46.2;52.6
920;Crude and petroleum products;2003 March;88.0;-4.5;38.8;6.6
921;Crude and petroleum products;2003 1st quarter;277.0;1.1;42.5;36.5
922;Crude and petroleum products;2003 April;96.0;6.0;27.7;-24.0
923;Crude and petroleum products;2003 May;106.0;14.8;28.6;-13.9
924;Crude and petroleum products;2003 June;91.0;1.0;29.9;-6.2
925;Crude and petroleum products;2003 2nd quarter;293.0;7.3;28.7;-15.1
926;Crude and petroleum products;2003 July;100.0;9.0;32.3;0.6
927;Crude and petroleum products;2003 August;93.0;6.2;33.2;-3.2
928;Crude and petroleum products;2003 September;104.0;14.6;32.7;-11.9
929;Crude and petroleum products;2003 3rd quarter;297.0;10.0;32.7;-5.2
930;Crude and petroleum products;2003 October;108.0;7.7;33.8;-1.5
931;Crude and petroleum products;2003 November;95.0;-1.9;34.9;10.3
932;Crude and petroleum products;2003 December;106.0;5.1;36.8;-7.3
933;Crude and petroleum products;2003 4th quarter;309.0;3.7;35.2;-0.2
934;Crude and petroleum products;2003;1177.0;5.6;34.8;3.3
935;Crude and petroleum products;2004 January;98.0;2.6;36.2;-14.4
936;Crude and petroleum products;2004 February;104.0;11.8;35.6;-22.9
937;Crude and petroleum products;2004 March;106.0;21.0;40.1;3.1
938;Crude and petroleum products;2004 1st quarter;309.0;11.6;37.3;-12.2
939;Crude and petroleum products;2004 April;103.0;7.4;41.1;48.5
940;Crude and petroleum products;2004 May;100.0;-5.9;46.7;63.5
941;Crude and petroleum products;2004 June;103.0;13.3;43.9;46.8
942;Crude and petroleum products;2004 2nd quarter;306.0;4.4;43.9;52.9
943;Crude and petroleum products;2004 July;103.0;2.4;46.2;43.1
944;Crude and petroleum products;2004 August;99.0;6.9;51.7;55.9
945;Crude and petroleum products;2004 September;105.0;0.2;50.9;55.6
946;Crude and petroleum products;2004 3rd quarter;306.0;3.0;49.6;51.6
947;Crude and petroleum products;2004 October;93.0;-13.6;57.8;71.1
948;Crude and petroleum products;2004 November;91.0;-3.7;49.5;41.9
949;Crude and petroleum products;2004 December;102.0;-3.6;41.9;13.8
950;Crude and petroleum products;2004 4th quarter;287.0;-7.1;49.7;41.4
951;Crude and petroleum products;2004;1208.0;2.6;45.1;29.8
952;Crude and petroleum products;2005 January;104.0;5.7;46.5;28.4
953;Crude and petroleum products;2005 February;97.0;-6.7;48.6;36.4
954;Crude and petroleum products;2005 March;111.0;4.1;57.0;42.4
955;Crude and petroleum products;2005 1st quarter;312.0;1.0;50.7;35.9
956;Crude and petroleum products;2005 April;112.0;8.2;56.6;37.5
957;Crude and petroleum products;2005 May;107.0;7.5;57.2;22.6
958;Crude and petroleum products;2005 June;103.0;0.1;65.0;48.0
959;Crude and petroleum products;2005 2nd quarter;322.0;5.2;59.6;35.7
960;Crude and petroleum products;2005 July;96.0;-6.1;71.2;54.1
961;Crude and petroleum products;2005 August;102.0;3.0;78.0;50.8
962;Crude and petroleum products;2005 September;107.0;2.2;76.7;50.7
963;Crude and petroleum products;2005 3rd quarter;305.0;-0.3;75.3;51.8
964;Crude and petroleum products;2005 October;99.0;6.3;73.5;27.1
965;Crude and petroleum products;2005 November;109.0;19.4;69.6;40.7
966;Crude and petroleum products;2005 December;107.0;4.3;71.8;71.6
967;Crude and petroleum products;2005 4th quarter;315.0;9.8;71.6;44.1
968;Crude and petroleum products;2005;1254.0;3.8;64.3;42.5
969;Crude and petroleum products;2006 January;103.0;-1.3;78.4;68.6
970;Crude and petroleum products;2006 February;97.0;-0.3;75.9;56.2
971;Crude and petroleum products;2006 March;108.0;-2.1;78.5;37.7
972;Crude and petroleum products;2006 1st quarter;308.0;-1.3;77.6;53.0
973;Crude and petroleum products;2006 April;93.0;-16.3;85.1;50.4
974;Crude and petroleum products;2006 May;101.0;-5.6;82.6;44.4
975;Crude and petroleum products;2006 June;99.0;-4.6;82.0;26.3
976;Crude and petroleum products;2006 2nd quarter;293.0;-9.0;83.2;39.7
977;Crude and petroleum products;2006 July;100.0;3.9;86.4;21.4
978;Crude and petroleum products;2006 August;101.0;-0.6;86.9;11.4
979;Crude and petroleum products;2006 September;104.0;-2.9;76.5;-0.2
980;Crude and petroleum products;2006 3rd quarter;305.0;0.0;83.3;10.6
981;Crude and petroleum products;2006 October;105.0;6.0;71.3;-2.9
982;Crude and petroleum products;2006 November;108.0;-1.1;70.3;0.9
983;Crude and petroleum products;2006 December;104.0;-2.6;71.5;-0.5
984;Crude and petroleum products;2006 4th quarter;317.0;0.6;71.0;-0.8
985;Crude and petroleum products;2006;1224.0;-2.4;78.8;22.5
986;Crude and petroleum products;2007 January;111.0;8.2;63.4;-19.1
987;Crude and petroleum products;2007 February;104.0;7.0;67.1;-11.6
988;Crude and petroleum products;2007 March;105.0;-3.0;73.7;-6.1
989;Crude and petroleum products;2007 1st quarter;320.0;3.9;68.1;-12.3
990;Crude and petroleum products;2007 April;103.0;10.8;76.5;-10.1
991;Crude and petroleum products;2007 May;118.0;16.4;77.4;-6.3
992;Crude and petroleum products;2007 June;117.0;18.6;81.8;-0.3
993;Crude and petroleum products;2007 2nd quarter;338.0;15.4;78.5;-5.6
994;Crude and petroleum products;2007 July;116.0;15.6;87.2;0.9
995;Crude and petroleum products;2007 August;116.0;14.1;81.2;-6.5
996;Crude and petroleum products;2007 September;114.0;9.8;87.4;14.1
997;Crude and petroleum products;2007 3rd quarter;345.0;13.1;85.2;2.4
998;Crude and petroleum products;2007 October;120.0;14.0;88.0;23.3
999;Crude and petroleum products;2007 November;117.0;8.9;98.2;39.8
1000;Crude and petroleum products;2007 December;113.0;8.4;97.4;36.2
1001;Crude and petroleum products;2007 4th quarter;350.0;10.4;94.5;33.1
1002;Crude and petroleum products;2007;1354.0;10.6;81.6;3.6
1003;Crude and petroleum products;2008 January;116.0;4.4;99.7;57.1
1004;Crude and petroleum products;2008 February;110.0;6.5;102.2;52.4
1005;Crude and petroleum products;2008 March;110.0;4.1;103.3;40.1
1006;Crude and petroleum products;2008 1st quarter;336.0;5.0;101.7;49.4
1007;Crude and petroleum products;2008 April;103.0;-0.1;108.7;42.1
1008;Crude and petroleum products;2008 May;110.0;-6.8;121.4;56.9
1009;Crude and petroleum products;2008 June;106.0;-9.3;132.7;62.2
1010;Crude and petroleum products;2008 2nd quarter;319.0;-5.6;120.9;54.0
1011;Crude and petroleum products;2008 July;113.0;-1.9;133.3;53.0
1012;Crude and petroleum products;2008 August;107.0;-7.2;120.7;48.7
1013;Crude and petroleum products;2008 September;108.0;-5.6;107.1;22.5
1014;Crude and petroleum products;2008 3rd quarter;328.0;-4.9;120.4;41.2
1015;Crude and petroleum products;2008 October;107.0;-10.8;87.5;-0.5
1016;Crude and petroleum products;2008 November;93.0;-21.2;67.0;-31.8
1017;Crude and petroleum products;2008 December;94.0;-17.0;48.5;-50.1
1018;Crude and petroleum products;2008 4th quarter;293.0;-16.3;67.7;-28.4
1019;Crude and petroleum products;2008;1275.0;-5.8;102.7;25.8
1020;Crude and petroleum products;2009 January;98.0;-15.4;52.6;-47.2
1021;Crude and petroleum products;2009 February;99.0;-10.2;54.3;-46.9
1022;Crude and petroleum products;2009 March;108.0;-1.6;59.4;-42.5
1023;Crude and petroleum products;2009 1st quarter;305.0;-9.2;55.5;-45.5
1024;Crude and petroleum products;2009 April;101.0;-2.2;62.6;-42.4
1025;Crude and petroleum products;2009 May;107.0;-2.2;70.5;-41.9
1026;Crude and petroleum products;2009 June;100.0;-5.9;81.5;-38.6
1027;Crude and petroleum products;2009 2nd quarter;308.0;-3.4;71.5;-40.8
1028;Crude and petroleum products;2009 July;105.0;-7.4;76.1;-42.9
1029;Crude and petroleum products;2009 August;101.0;-6.2;83.9;-30.5
1030;Crude and petroleum products;2009 September;110.0;2.7;78.3;-26.9
1031;Crude and petroleum products;2009 3rd quarter;316.0;-3.7;79.4;-34.0
1032;Crude and petroleum products;2009 October;108.0;0.5;84.8;-3.1
1033;Crude and petroleum products;2009 November;102.0;10.0;86.2;28.8
1034;Crude and petroleum products;2009 December;105.0;11.9;84.7;74.4
1035;Crude and petroleum products;2009 4th quarter;314.0;7.2;85.2;25.9
1036;Crude and petroleum products;2009;1244.0;-2.4;72.9;-29.0
1037;Crude and petroleum products;2010 January;104.0;6.1;91.1;73.1
1038;Crude and petroleum products;2010 February;98.0;-0.9;90.5;66.6
1039;Crude and petroleum products;2010 March;114.0;5.5;97.9;64.8
1040;Crude and petroleum products;2010 1st quarter;316.0;3.6;93.2;68.0
1041;Crude and petroleum products;2010 April;116.0;14.4;105.4;68.5
1042;Crude and petroleum products;2010 May;111.0;3.8;101.8;44.3
1043;Crude and petroleum products;2010 June;110.0;10.4;100.7;23.5
1044;Crude and petroleum products;2010 2nd quarter;337.0;9.4;102.6;43.5
1045;Crude and petroleum products;2010 July;108.0;3.1;99.3;30.5
1046;Crude and petroleum products;2010 August;105.0;4.5;99.2;18.2
1047;Crude and petroleum products;2010 September;108.0;-2.5;98.7;26.1
1048;Crude and petroleum products;2010 3rd quarter;321.0;1.6;99.1;24.7
1049;Crude and petroleum products;2010 October;113.0;4.8;97.7;15.2
1050;Crude and petroleum products;2010 November;112.0;10.4;103.4;19.9
1051;Crude and petroleum products;2010 December;105.0;0.2;114.3;35.0
1052;Crude and petroleum products;2010 4th quarter;330.0;5.1;105.1;23.4
1053;Crude and petroleum products;2010;1305.0;4.9;100.0;37.1
1054;Crude and petroleum products;2011 January;103.0;-1.0;119.8;31.4
1055;Crude and petroleum products;2011 February;99.0;0.6;126.1;39.4
1056;Crude and petroleum products;2011 March;105.0;-7.5;136.6;39.5
1057;Crude and petroleum products;2011 1st quarter;307.0;-2.8;127.5;36.8
1058;Crude and petroleum products;2011 April;97.0;-15.9;143.3;35.9
1059;Crude and petroleum products;2011 May;104.0;-6.2;131.4;29.2
1060;Crude and petroleum products;2011 June;106.0;-3.3;128.9;28.0
1061;Crude and petroleum products;2011 2nd quarter;308.0;-8.6;134.5;31.1
1062;Crude and petroleum products;2011 July;105.0;-2.7;130.9;31.8
1063;Crude and petroleum products;2011 August;107.0;1.8;127.5;28.5
1064;Crude and petroleum products;2011 September;108.0;0.0;130.0;31.8
1065;Crude and petroleum products;2011 3rd quarter;320.0;-0.3;129.5;30.7
1066;Crude and petroleum products;2011 October;105.0;-6.8;132.3;35.4
1067;Crude and petroleum products;2011 November;102.0;-9.3;132.6;28.2
1068;Crude and petroleum products;2011 December;99.0;-5.7;135.9;18.9
1069;Crude and petroleum products;2011 4th quarter;306.0;-7.3;133.6;27.1
1070;Crude and petroleum products;2011;1241.0;-4.9;131.3;31.3
1071;Crude and petroleum products;2012 January;106.0;2.4;143.2;19.6
1072;Crude and petroleum products;2012 February;106.0;7.6;146.1;15.9
1073;Crude and petroleum products;2012 March;108.0;2.9;154.7;13.3
1074;Crude and petroleum products;2012 1st quarter;320.0;4.2;148.0;16.1
1075;Crude and petroleum products;2012 April;104.0;7.2;148.2;3.4
1076;Crude and petroleum products;2012 May;109.0;4.2;138.0;5.0
1077;Crude and petroleum products;2012 June;101.0;-5.1;127.0;-1.4
1078;Crude and petroleum products;2012 2nd quarter;314.0;1.9;137.8;2.4
1079;Crude and petroleum products;2012 July;106.0;0.5;136.0;3.9
1080;Crude and petroleum products;2012 August;105.0;-2.0;147.8;16.0
1081;Crude and petroleum products;2012 September;102.0;-5.0;145.2;11.6
1082;Crude and petroleum products;2012 3rd quarter;313.0;-2.2;143.0;10.4
1083;Crude and petroleum products;2012 October;107.0;1.7;141.9;7.3
1084;Crude and petroleum products;2012 November;102.0;-0.1;137.7;3.8
1085;Crude and petroleum products;2012 December;102.0;3.4;136.5;0.5
1086;Crude and petroleum products;2012 4th quarter;311.0;1.6;138.7;3.8
1087;Crude and petroleum products;2012;1258.0;1.4;141.9;8.1
1088;Crude and petroleum products;2013 January;104.0;-1.5;138.3;-3.4
1089;Crude and petroleum products;2013 February;92.0;-13.0;142.0;-2.8
1090;Crude and petroleum products;2013 March;99.0;-8.8;135.9;-12.2
1091;Crude and petroleum products;2013 1st quarter;295.0;-7.8;138.7;-6.3
1092;Crude and petroleum products;2013 April;98.0;-6.2;129.9;-12.3
1093;Crude and petroleum products;2013 May;108.0;-1.1;129.1;-6.5
1094;Crude and petroleum products;2013 June;107.0;5.6;129.0;1.6
1095;Crude and petroleum products;2013 2nd quarter;312.0;-0.6;129.3;-6.1
1096;Crude and petroleum products;2013 July;107.0;1.3;136.7;0.5
1097;Crude and petroleum products;2013 August;107.0;2.1;140.6;-4.9
1098;Crude and petroleum products;2013 September;104.0;1.4;139.1;-4.2
1099;Crude and petroleum products;2013 3rd quarter;318.0;1.6;138.8;-2.9
1100;Crude and petroleum products;2013 October;104.0;-2.3;132.7;-6.5
1101;Crude and petroleum products;2013 November;103.0;0.7;133.2;-3.3
1102;Crude and petroleum products;2013 December;100.0;-2.2;133.2;-2.4
1103;Crude and petroleum products;2013 4th quarter;307.0;-1.3;133.0;-4.1
1104;Crude and petroleum products;2013;1233.0;-2.0;135.0;-4.9
1105;Crude and petroleum products;2014 January;102.0;-2.0;129.8;-6.2
1106;Crude and petroleum products;2014 February;97.0;4.5;131.9;-7.1
1107;Crude and petroleum products;2014 March;103.0;4.0;127.6;-6.1
1108;Crude and petroleum products;2014 1st quarter;301.0;2.0;129.8;-6.5
1109;Crude and petroleum products;2014 April;104.0;6.4;128.5;-1.1
1110;Crude and petroleum products;2014 May;110.0;1.8;131.1;1.5
1111;Crude and petroleum products;2014 June;101.0;-4.9;134.5;4.3
1112;Crude and petroleum products;2014 2nd quarter;315.0;1.0;131.3;1.5
1113;Crude and petroleum products;2014 July;105.0;-2.4;128.4;-6.0
1114;Crude and petroleum products;2014 August;101.0;-5.5;124.9;-11.1
1115;Crude and petroleum products;2014 September;103.0;-0.5;121.7;-12.5
1116;Crude and petroleum products;2014 3rd quarter;309.0;-2.8;125.0;-9.9
1117;Crude and petroleum products;2014 October;87.0;-16.5;112.2;-15.5
1118;Crude and petroleum products;2014 November;86.0;-16.2;102.3;-23.2
1119;Crude and petroleum products;2014 December;91.0;-9.2;80.2;-39.8
1120;Crude and petroleum products;2014 4th quarter;264.0;-14.0;98.2;-26.2
1121;Crude and petroleum products;2014;1189.0;-3.6;121.1;-10.3
1122;Crude and petroleum products;2015 January;95.0;-7.1;69.7;-46.3
1123;Crude and petroleum products;2015 February;83.0;-14.2;84.1;-36.3
1124;Crude and petroleum products;2015 March;92.0;-10.8;84.5;-33.8
1125;Crude and petroleum products;2015 1st quarter;269.0;-10.6;79.4;-38.8
1126;Crude and petroleum products;2015 April;85.0;-18.7;90.4;-29.6
1127;Crude and petroleum products;2015 May;90.0;-18.0;89.5;-31.7
1128;Crude and petroleum products;2015 June;89.0;-12.7;88.8;-34.0
1129;Crude and petroleum products;2015 2nd quarter;263.0;-16.5;89.6;-31.8
1130;Crude and petroleum products;2015 July;106.0;1.4;80.7;-37.1
1131;Crude and petroleum products;2015 August;102.0;1.2;70.0;-44.0
1132;Crude and petroleum products;2015 September;107.0;4.1;71.8;-41.0
1133;Crude and petroleum products;2015 3rd quarter;316.0;2.3;74.2;-40.7
1134;Crude and petroleum products;2015 October;112.0;28.5;69.9;-37.7
1135;Crude and petroleum products;2015 November;98.0;14.4;68.3;-33.2
1136;Crude and petroleum products;2015 December;107.0;17.4;64.0;-20.2
1137;Crude and petroleum products;2015 4th quarter;317.0;20.1;67.4;-31.4
1138;Crude and petroleum products;2015;1166.0;-1.9;77.6;-35.9
1139;Crude and petroleum products;2016 January;96.0;1.5;44.1;-36.7
1140;Crude and petroleum products;2016 February;96.0;15.7;45.4;-46.0
1141;Crude and petroleum products;2016 March;99.0;8.3;55.7;-34.0
1142;Crude and petroleum products;2016 1st quarter;291.0;8.2;48.4;-39.0
1143;Crude and petroleum products;2016 April;100.0;17.6;59.2;-34.5
1144;Crude and petroleum products;2016 May;100.0;11.7;68.8;-23.1
1145;Crude and petroleum products;2016 June;101.0;14.3;71.6;-19.3
1146;Crude and petroleum products;2016 2nd quarter;301.0;14.4;66.5;-25.7
1147;Crude and petroleum products;2016 July;100.0;-5.8;65.8;-18.5
1148;Crude and petroleum products;2016 August;101.0;-1.4;66.0;-5.7
1149;Crude and petroleum products;2016 September;105.0;-2.3;66.7;-7.0
1150;Crude and petroleum products;2016 3rd quarter;306.0;-3.2;66.2;-10.8
1151;Crude and petroleum products;2016 October;106.0;-5.5;72.6;3.9
1152;Crude and petroleum products;2016 November;103.0;4.6;68.5;0.2
1153;Crude and petroleum products;2016 December;103.0;-3.2;82.4;28.8
1154;Crude and petroleum products;2016 4th quarter;312.0;-1.6;74.5;10.5
1155;Crude and petroleum products;2016;1208.0;3.6;63.9;-17.7
1156;Crude and petroleum products;2017 January;108.0;12.2;84.7;91.8
1157;Crude and petroleum products;2017 February;101.0;5.6;85.6;88.5
1158;Crude and petroleum products;2017 March;107.0;8.2;81.9;47.0
1159;Crude and petroleum products;2017 1st quarter;;;84.1;73.6
1160;Crude and petroleum products;2017 April;102.0;2.5;80.4;35.9
1161;Crude and petroleum products;2017 May;99.0;-1.1;75.8;10.2
1162;Crude and petroleum products;2017 June;104.0;3.2;68.6;-4.3
1163;Crude and petroleum products;2017 2nd quarter;;;74.9;12.6
1164;Crude and petroleum products;2017 July;103.0;2.8;68.7;4.4
1165;Crude and petroleum products;2017 August;93.0;-8.3;73.8;11.8
1166;Crude and petroleum products;2017 September;98.0;-6.7;79.7;19.4
1167;Crude and petroleum products;2017 3rd quarter;;;74.1;11.9
1168;Crude and petroleum products;2017 October;100.0;-5.7;78.1;7.6
1169;Crude and petroleum products;2017 November;99.0;-4.2;90.3;31.8
1170;Crude and petroleum products;2017 December;98.0;-4.9;73.4;-10.9
1171;Crude and petroleum products;2017 4th quarter;;;80.6;8.2
1172;Crude and petroleum products;2017;1212.0;0.3;78.4;22.7
1173;Hard coal and coal products;1995 January;29.0;-3.8;52.0;0.0
1174;Hard coal and coal products;1995 February;29.0;-7.0;51.6;-0.7
1175;Hard coal and coal products;1995 March ;39.0;44.5;51.7;-1.5
1176;Hard coal and coal products;1995 1st quarter;96.0;10.0;51.8;-0.8
1177;Hard coal and coal products;1995 April;27.0;-6.0;52.1;1.2
1178;Hard coal and coal products;1995 May;33.0;4.7;52.9;3.8
1179;Hard coal and coal products;1995 June;35.0;1.7;52.3;2.8
1180;Hard coal and coal products;1995 2nd quarter;95.0;0.3;52.4;2.6
1181;Hard coal and coal products;1995 July;31.0;14.6;52.6;2.1
1182;Hard coal and coal products;1995 August;31.0;21.6;52.5;0.0
1183;Hard coal and coal products;1995 September;33.0;-10.8;52.6;0.1
1184;Hard coal and coal products;1995 3rd quarter;94.0;6.1;52.5;0.7
1185;Hard coal and coal products;1995 October;35.0;14.2;52.1;-0.7
1186;Hard coal and coal products;1995 November;21.0;-26.3;51.6;-1.7
1187;Hard coal and coal products;1995 December;34.0;8.4;51.2;-1.5
1188;Hard coal and coal products;1995 4th quarter;89.0;-0.5;51.7;-1.3
1189;Hard coal and coal products;1995;375.0;3.9;52.1;0.3
1190;Hard coal and coal products;1996 January;30.0;2.9;51.4;-1.1
1191;Hard coal and coal products;1996 February;31.0;7.1;51.6;-0.1
1192;Hard coal and coal products;1996 March ;32.0;-17.5;52.0;0.5
1193;Hard coal and coal products;1996 1st quarter;92.0;-4.1;51.7;-0.2
1194;Hard coal and coal products;1996 April;29.0;7.9;52.0;-0.1
1195;Hard coal and coal products;1996 May;30.0;-10.8;52.1;-1.4
1196;Hard coal and coal products;1996 June;28.0;-19.1;52.5;0.4
1197;Hard coal and coal products;1996 2nd quarter;87.0;-8.5;52.2;-0.4
1198;Hard coal and coal products;1996 July;29.0;-5.4;52.6;0.0
1199;Hard coal and coal products;1996 August;33.0;6.8;52.9;0.8
1200;Hard coal and coal products;1996 September;29.0;-9.9;53.1;1.0
1201;Hard coal and coal products;1996 3rd quarter;91.0;-3.0;52.9;0.6
1202;Hard coal and coal products;1996 October;32.0;-8.3;53.0;1.6
1203;Hard coal and coal products;1996 November;28.0;37.1;53.7;4.0
1204;Hard coal and coal products;1996 December;32.0;-5.4;53.8;5.1
1205;Hard coal and coal products;1996 4th quarter;92.0;3.3;53.5;3.5
1206;Hard coal and coal products;1996;363.0;-3.2;52.6;0.9
1207;Hard coal and coal products;1997 January;31.0;3.9;53.7;4.4
1208;Hard coal and coal products;1997 February;31.0;2.9;53.8;4.3
1209;Hard coal and coal products;1997 March ;36.0;12.3;54.0;3.9
1210;Hard coal and coal products;1997 1st quarter;99.0;6.5;53.8;4.2
1211;Hard coal and coal products;1997 April;34.0;15.3;53.7;3.2
1212;Hard coal and coal products;1997 May;29.0;-4.3;54.0;3.5
1213;Hard coal and coal products;1997 June;29.0;2.8;54.1;3.0
1214;Hard coal and coal products;1997 2nd quarter;91.0;4.6;53.9;3.2
1215;Hard coal and coal products;1997 July;27.0;-6.4;54.7;4.1
1216;Hard coal and coal products;1997 August;24.0;-27.4;55.6;5.0
1217;Hard coal and coal products;1997 September;27.0;-6.7;55.8;5.1
1218;Hard coal and coal products;1997 3rd quarter;78.0;-14.0;55.4;4.7
1219;Hard coal and coal products;1997 October;28.0;-11.7;56.0;5.7
1220;Hard coal and coal products;1997 November;27.0;-5.8;56.0;4.3
1221;Hard coal and coal products;1997 December;30.0;-6.0;56.6;5.1
1222;Hard coal and coal products;1997 4th quarter;85.0;-7.9;56.2;5.0
1223;Hard coal and coal products;1997;353.0;-2.8;54.8;4.3
1224;Hard coal and coal products;1998 January;30.0;-1.7;58.9;9.7
1225;Hard coal and coal products;1998 February;30.0;-3.8;58.1;7.9
1226;Hard coal and coal products;1998 March ;38.0;4.4;57.7;7.0
1227;Hard coal and coal products;1998 1st quarter;98.0;-0.1;58.2;8.2
1228;Hard coal and coal products;1998 April;22.0;-33.7;56.6;5.4
1229;Hard coal and coal products;1998 May;30.0;6.6;57.8;7.1
1230;Hard coal and coal products;1998 June;30.0;5.2;58.1;7.5
1231;Hard coal and coal products;1998 2nd quarter;83.0;-8.8;57.5;6.7
1232;Hard coal and coal products;1998 July;25.0;-6.3;56.6;3.6
1233;Hard coal and coal products;1998 August;30.0;28.5;59.6;7.1
1234;Hard coal and coal products;1998 September;34.0;22.7;56.5;1.3
1235;Hard coal and coal products;1998 3rd quarter;89.0;14.4;57.6;4.0
1236;Hard coal and coal products;1998 October;23.0;-17.8;59.2;5.7
1237;Hard coal and coal products;1998 November;34.0;27.5;56.1;0.2
1238;Hard coal and coal products;1998 December;31.0;1.6;54.5;-3.7
1239;Hard coal and coal products;1998 4th quarter;88.0;3.3;56.6;0.7
1240;Hard coal and coal products;1998;359.0;1.7;57.5;4.8
1241;Hard coal and coal products;1999 January;31.0;0.7;52.2;-11.3
1242;Hard coal and coal products;1999 February;29.0;-5.2;55.3;-4.8
1243;Hard coal and coal products;1999 March ;26.0;-31.9;56.4;-2.3
1244;Hard coal and coal products;1999 1st quarter;85.0;-13.6;54.6;-6.2
1245;Hard coal and coal products;1999 April;27.0;19.7;52.9;-6.4
1246;Hard coal and coal products;1999 May;24.0;-21.6;53.3;-7.8
1247;Hard coal and coal products;1999 June;21.0;-29.9;50.9;-12.4
1248;Hard coal and coal products;1999 2nd quarter;72.0;-13.5;52.4;-8.9
1249;Hard coal and coal products;1999 July;25.0;-0.2;53.8;-5.1
1250;Hard coal and coal products;1999 August;24.0;-21.7;53.2;-10.7
1251;Hard coal and coal products;1999 September;27.0;-20.2;55.0;-2.8
1252;Hard coal and coal products;1999 3rd quarter;76.0;-15.0;54.0;-6.3
1253;Hard coal and coal products;1999 October;28.0;21.2;53.2;-10.1
1254;Hard coal and coal products;1999 November;29.0;-15.7;52.0;-7.3
1255;Hard coal and coal products;1999 December;25.0;-17.7;55.1;1.1
1256;Hard coal and coal products;1999 4th quarter;82.0;-6.7;53.5;-5.6
1257;Hard coal and coal products;1999;315.0;-12.3;53.6;-6.7
