ID;SeasonalAndWorkingDayAdjustment;Periods;GrossDomesticProduct_1;GrossOperatingSurplus_2;GrossNationalIncome_3;GrossDisposableIncome_4;GrossSaving_5;NetLendingOrNetBorrowing_6;ValueAdded_7;GrossOperatingSurplus_8;GrossFixedCapitalFormation_9;CompensationOfEmployees_10;FinalConsumptionExpenditure_11;GrossFixedCapitalFormation_12;TotalRevenue_13;TotalExpenditure_14;BalanceGeneralGovernmentSectorEMU_15;CompensationOfEmployees_16;PropertyIncome_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;AdjustmChangeInPensionEntitlements_20;FinalConsumptionExpenditure_21;GrossFixedCapitalFormation_22;PropertyIncome_23;CurrentTaxesOnIncomeAndWealth_24;NetSocialContributions_25;OtherCurrentTransfers_26;AdjustmChangeInPensionEntitlements_27;GrossOperatingSurplus_28;GrossDisposableIncome_29;GrossSaving_30;ImportsFromTheRestOfTheWorld_31;ReceivedPrimaryIncome_32;ReceivedCurrentTransfers_33;AdjustmChangeInPensionEntitlements_34;ReceivedCapitalTransfers_35;ExportsToTheRestOfTheWorld_36;PaidPrimaryIncome_37;PaidCurrentTransfers_38;AdjustmChangeInPensionEntitlements_39;PaidCapitalTransfers_40
186;Seasonally and working day adjusted data;2019 3rd quarter;208409;86718;205141;203052;60718;14768;120489;48575;21831;72261;50692;7012;91400;89113;2287;96663;15308;33707;6252;7366;91450;13854;1383;18453;49388;5887;0;23560;101094;17500;156936;75909;5276;-16;273;177129;72472;3182;0;243
187;Seasonally and working day adjusted data;2019 4th quarter;210124;87019;205309;203168;59656;13806;121361;48496;22489;73182;51192;6862;90802;86610;4193;97730;16979;34800;6033;7829;92225;13999;1427;19142;50172;5797;0;24329;103721;20033;157833;71765;5292;-94;327;178771;67421;3204;0;183
188;Seasonally and working day adjusted data;2020 1st quarter;208836;85571;199972;195143;52675;8077;119194;46564;22005;73569;52058;7264;92851;90946;1905;98605;15112;35449;6926;6715;90487;14273;1016;21393;47273;5767;0;24471;104264;21413;153911;63115;8155;-30;1180;174730;53783;3377;0;151
189;Seasonally and working day adjusted data;2020 2nd quarter;192418;80940;189513;186954;54611;13209;108539;43625;18303;72009;50976;7379;82912;100646;-17734;97263;13580;35307;6776;6622;81322;13567;1278;15423;49790;5742;0;23007;102245;22873;132376;58182;5611;-42;220;151258;55398;3044;0;184
190;Seasonally and working day adjusted data;2020 3rd quarter;206157;84906;200238;198510;56813;13969;117480;46790;20408;73790;52958;7195;91518;97518;-6000;99384;14045;36292;6416;7012;88605;14525;1213;19045;49698;5464;0;24246;105877;28720;143829;58998;4967;-62;193;165617;52952;3237;0;253
191;Seasonally and working day adjusted data;2020 4th quarter;209285;88896;200609;196989;54916;9689;120394;50500;20701;76481;53664;7948;92980;100368;-7388;102384;14302;36553;6648;5984;88351;14701;991;19266;49490;5496;0;23991;108823;27390;149246;63766;6611;-65;436;171274;55684;3022;0;178
192;Seasonally and working day adjusted data;2021 1st quarter;211111;90873;216838;215027;73927;24399;120409;51125;22547;75510;54344;7288;94962;102114;-7152;101532;13402;36669;7210;5734;86936;14835;833;19387;48741;5860;0;25310;109061;31761;159320;58669;5448;-57;230;179365;63892;3607;0;180
193;Seasonally and working day adjusted data;2021 2nd quarter;221548;94995;229183;226503;75253;28339;128860;55345;21343;76628;56408;7473;93806;101707;-7901;102877;14083;37080;6988;5742;94981;15018;1146;14199;51947;5674;0;26611;112062;21186;164808;64503;6238;-59;241;187822;72406;3530;0;228
194;Seasonally and working day adjusted data;2021 3rd quarter;227779;98187;231439;229395;73407;23197;132631;57384;21453;77712;57040;7764;98468;101661;-3193;104432;14367;37064;6436;6166;98892;15540;1187;22091;48336;5676;0;27145;112981;21420;176394;63467;5841;-59;284;197933;66820;3803;0;163
195;Seasonally and working day adjusted data;2021 4th quarter;230885;101742;224640;222509;64583;13781;133540;59540;22497;78909;58354;7891;101615;103222;-1607;106037;14538;37170;6593;5961;99529;15722;1588;22651;49122;5630;0;27248;112717;19435;182375;81201;5346;-62;327;204442;75853;3249;0;279
196;Seasonally and working day adjusted data;2022 1st quarter;238942;104748;238036;237407;76105;20680;139133;61586;23131;81083;58657;7842;103622;103255;367;108580;14751;37727;7308;7041;102813;16337;1357;20976;52314;5365;0;28019;115898;19534;197568;71918;4827;-44;1094;218595;70236;4162;0;162
197;Seasonally and working day adjusted data;2022 2nd quarter;245688;109426;241323;239133;71270;108837;142028;62755;24486;81621;59755;7862;106891;103880;3011;109126;15965;38529;7007;5984;108226;16798;2756;19635;52588;5502;0;29602;118769;17934;220211;95820;6167;-65;410;240586;92096;3946;0;193
198;Seasonally and working day adjusted data;2022 3rd quarter;251835;112544;246037;244048;71772;16363;146189;65036;25317;83730;61024;7888;107949;110472;-2522;112409;16920;38948;6943;6707;111181;17023;4296;19556;54448;5581;0;31120;123106;18426;224932;83822;5982;-47;227;244904;77529;4008;0;212
199;Seasonally and working day adjusted data;2022 4th quarter;257256;114513;253763;251237;73638;27272;150431;66623;25673;85386;62340;7996;110661;111942;-1281;114565;18217;39239;10575;7628;115246;17494;7018;22365;54770;5690;0;33084;126203;18273;228452;119315;6672;-37;704;254486;116984;4171;0;219
200;Seasonally and working day adjusted data;2023 1st quarter;261288;118433;257234;256719;76459;23038;154307;68992;26611;87160;63591;8240;111032;113248;-2216;116567;20028;42285;7212;6946;116887;17666;7438;23697;54634;5675;0;35087;128994;18067;214533;77601;5062;-46;479;241115;72731;4517;0;141
201;Seasonally and working day adjusted data;2023 2nd quarter;265310;117578;266787;265069;82800;29051;156543;69035;26947;88411;65064;8331;113928;114691;-763;118533;20604;42700;7721;7677;117366;17400;8474;23107;56907;5694;0;35111;130180;20610;209711;96742;6314;-43;1029;238944;98810;4568;0;181
202;Seasonally and working day adjusted data;2023 3rd quarter;269134;118685;264835;263001;77835;25585;157591;68861;26487;89840;67200;8576;115002;116348;-1345;120831;21403;43246;6886;6814;117919;17460;9246;24776;56395;5806;0;35857;132073;21666;199606;109748;5953;-52;565;231328;104906;4141;0;120
203;Seasonally and working day adjusted data;2023 4th quarter;271949;120040;268488;266666;79511;27401;159284;69363;24825;91127;68168;8467;117090;116954;136;122583;22284;45038;7430;7028;119051;17792;9343;29609;57211;5738;0;36631;131987;19318;203736;104569;6093;-58;1201;236080;102144;4296;0;299
204;Seasonally and working day adjusted data;2024 1st quarter;277218;121216;271186;269060;77982;24270;160381;69050;25965;92504;70100;8865;118321;120336;-2015;124847;23697;45275;7636;7963;121139;18263;9283;27708;58682;5963;0;37525;136975;25314;199185;82014;6542;-49;352;230852;75415;4406;0;149
205;Seasonally and working day adjusted data;2024 2nd quarter;281362;123245;276443;274180;81701;26881;164902;71566;26284;93970;71335;8953;122169;124668;-2499;126958;21935;45840;7698;8008;121304;18966;9637;31114;58634;6050;0;37458;135857;21936;205278;105553;6415;-50;853;239344;101513;4148;0;196
206;Seasonally and working day adjusted data;2024 3rd quarter;285094;125218;281247;279534;83934;28122;167468;72958;26798;95549;72913;8936;124831;126145;-1314;129206;22968;46675;7081;7827;122572;19174;9265;30510;60178;6045;0;37726;136885;23058;205507;97581;6384;-48;796;239402;93758;4695;0;130
207;Seasonally and working day adjusted data;2024 4th quarter;290502;127560;287677;284725;85942;31853;169921;74289;27912;97237;74691;9352;122194;128473;-6279;131850;22817;47281;7691;8016;123990;19630;9022;28131;61508;6153;0;38173;143347;26750;205198;103674;7234;-43;2189;242686;102757;4338;0;162
