ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
5010;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Total all continents;2012;32001;29926;34075;6.0;46;9.0;2210;2004;2417;9.0;3;1.0
5011;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Total all continents;2013;29861;27932;31789;6.0;49;2.0;1857;1681;2032;9.0;3;1.0
5012;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Total all continents;2014;30690;28732;32648;6.0;48;9.0;1970;1785;2155;9.0;2;9.0
5013;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Total all continents;2015;55143;51783;58502;6.0;60;5.0;3043;2775;3312;9.0;4;5.0
5014;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Total all continents;2016;52080;48977;55184;6.0;61;2.0;3316;3018;3613;9.0;5;9.0
5015;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Total all continents;2017;60506;56843;64168;6.0;60;5.0;3510;3202;3819;9.0;5;9.0
5016;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2007;43;40;46;8.0;0;;14;12;16;15.0;0;
5017;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2008;420;388;451;8.0;1;5.0;48;41;55;15.0;0;5.0
5018;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2009;134;124;144;8.0;0;1.0;8;7;9;15.0;0;1.0
5019;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2010;217;200;233;8.0;0;5.0;31;27;36;15.0;0;5.0
5020;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2011;166;154;179;8.0;0;1.0;18;15;20;15.0;0;1.0
5021;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2012;84;78;90;8.0;0;1.0;57;48;65;15.0;0;5.0
5022;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2013;39;36;42;8.0;0;1.0;25;21;29;15.0;0;1.0
5023;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2014;52;48;56;8.0;0;5.0;36;31;42;15.0;0;5.0
5024;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2015;110;101;118;8.0;0;5.0;36;30;41;15.0;0;9.0
5025;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2016;114;105;122;8.0;0;9.0;24;20;28;15.0;0;1.0
5026;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Africa;2017;130;120;140;8.0;0;5.0;22;19;26;15.0;0;9.0
5027;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2007;1258;1163;1353;8.0;2;;184;156;211;15.0;0;
5028;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2008;2326;2150;2502;8.0;4;5.0;311;264;358;15.0;0;5.0
5029;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2009;1726;1596;1857;8.0;4;1.0;226;191;260;15.0;0;1.0
5030;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2010;1995;1844;2146;8.0;3;5.0;179;152;206;15.0;0;1.0
5031;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2011;1113;1029;1197;8.0;2;1.0;106;90;122;15.0;0;1.0
5032;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2012;1086;1004;1168;8.0;2;9.0;134;114;154;15.0;0;5.0
5033;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2013;1163;1075;1251;8.0;2;9.0;92;78;106;15.0;0;1.0
5034;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2014;1459;1349;1569;8.0;2;5.0;135;114;155;15.0;0;5.0
5035;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2015;2862;2645;3078;8.0;3;5.0;235;199;270;15.0;0;5.0
5036;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2016;2792;2580;3003;8.0;3;9.0;152;129;175;15.0;0;1.0
5037;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;America;2017;2726;2520;2932;8.0;3;9.0;157;133;181;15.0;0;9.0
5038;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2007;17103;15820;18387;8.0;33;;1774;1554;1994;12.0;2;
5039;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2008;19254;17809;20699;8.0;33;5.0;1978;1741;2215;12.0;2;9.0
5040;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2009;18547;17156;19939;8.0;43;9.0;1465;1286;1645;12.0;2;1.0
5041;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2010;22694;20991;24397;8.0;39;5.0;1780;1564;1996;12.0;2;5.0
5042;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2011;25433;23525;27341;8.0;39;5.0;1962;1724;2199;12.0;3;9.0
5043;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2012;27403;25347;29458;8.0;39;4.0;1793;1588;1998;11.0;3;9.0
5044;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2013;25456;23546;27365;8.0;42;2.0;1501;1327;1675;12.0;2;1.0
5045;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2014;25811;23875;27748;8.0;41;9.0;1562;1378;1746;12.0;2;9.0
5046;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2015;43905;40614;47197;7.0;48;5.0;2128;1864;2392;12.0;3;5.0
5047;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2016;40279;37258;43300;8.0;47;2.0;2415;2125;2705;12.0;3;5.0
5048;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Asia;2017;48638;45046;52229;7.0;48;5.0;2513;2213;2814;12.0;3;9.0
5049;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2007;5157;4770;5543;7.0;10;;597;508;685;15.0;1;
5050;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2008;2672;2472;2872;7.0;5;1.0;386;328;444;15.0;0;1.0
5051;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2009;2224;2057;2390;7.0;5;1.0;287;244;331;15.0;0;1.0
5052;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2010;2517;2329;2706;7.0;4;5.0;358;304;412;15.0;0;5.0
5053;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2011;4243;3925;4561;7.0;6;5.0;466;398;534;15.0;1;5.0
5054;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2012;3424;3168;3680;7.0;5;1.0;227;193;261;15.0;0;1.0
5055;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2013;3199;2960;3438;7.0;5;2.0;237;202;273;15.0;0;9.0
5056;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2014;3358;3106;3609;7.0;5;9.0;237;201;272;15.0;0;9.0
5057;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2015;8247;7631;8864;7.0;9;5.0;642;545;738;15.0;1;5.0
5058;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2016;8870;8207;9533;7.0;10;4.0;720;615;825;15.0;1;9.0
5059;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Europe;2017;8985;8315;9655;7.0;9;9.0;812;693;931;15.0;1;9.0
5060;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2007;27;25;29;8.0;0;;1;1;1;25.0;0;
5061;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2008;84;78;90;8.0;0;5.0;2;1;2;15.0;0;5.0
5062;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2009;8;7;9;8.0;0;1.0;0;0;1;44.0;0;1.0
5063;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2010;5;5;6;8.0;0;1.0;0;0;0;;0;
5064;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2011;6;5;6;8.0;0;5.0;4;3;5;15.0;0;
5065;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2012;4;3;4;8.0;0;1.0;0;0;1;60.0;0;1.0
5066;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2013;3;2;3;8.0;0;1.0;1;1;1;28.0;0;5.0
5067;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2014;5;5;5;8.0;0;5.0;0;0;1;45.0;0;1.0
5068;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2015;6;6;7;8.0;0;5.0;3;2;3;15.0;0;5.0
5069;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2016;15;14;17;8.0;0;5.0;4;4;5;15.0;0;5.0
5070;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Oceania;2017;18;17;19;8.0;0;5.0;5;5;6;15.0;0;5.0
5071;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2007;5;5;6;8.0;0;;1;1;1;25.0;0;
5072;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2008;10;9;11;8.0;0;5.0;0;0;1;62.0;0;1.0
5073;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2009;4;4;5;8.0;0;1.0;0;0;0;;0;
5074;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
5075;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2011;17;15;18;8.0;0;;0;0;0;;0;
5076;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2012;0;0;1;44.0;0;1.0;0;0;0;;0;
5077;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2013;1;1;2;14.0;0;5.0;0;0;0;;0;
5078;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2014;5;5;6;8.0;0;5.0;0;0;0;;0;
5079;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2015;12;11;13;8.0;0;5.0;0;0;0;;0;
5080;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2016;11;10;12;8.0;0;1.0;0;0;0;;0;
5081;Inbound quasi-transit trade;9 Machinery, transport equipment, manuf…;Unspecified countries and areas;2017;9;8;10;8.0;0;1.0;0;0;0;;0;
5082;Inbound transport transit trade;Total;Total all continents;2007;97489;57194;137784;41.0;100;;134280;112937;155622;16.0;100;
5083;Inbound transport transit trade;Total;Total all continents;2008;116509;76508;156511;34.0;100;9.0;128183;107356;149009;16.0;100;9.0
5084;Inbound transport transit trade;Total;Total all continents;2009;111129;71905;150352;35.0;100;9.0;106589;86059;127119;19.0;100;1.0
5085;Inbound transport transit trade;Total;Total all continents;2010;124448;80230;168665;36.0;100;9.0;116772;95693;137852;18.0;100;9.0
5086;Inbound transport transit trade;Total;Total all continents;2011;99516;58018;141014;42.0;100;9.0;105530;85434;125626;19.0;100;9.0
5087;Inbound transport transit trade;Total;Total all continents;2012;129709;83659;175758;36.0;100;9.0;114888;94134;135642;18.0;100;9.0
5088;Inbound transport transit trade;Total;Total all continents;2013;130528;84421;176635;35.0;100;9.0;103641;82300;124982;21.0;100;9.0
5089;Inbound transport transit trade;Total;Total all continents;2014;126709;76178;177240;40.0;100;9.0;114521;90394;138647;21.0;100;9.0
5090;Inbound transport transit trade;Total;Total all continents;2015;148420;87881;208958;41.0;100;9.0;120728;95693;145763;21.0;100;9.0
5091;Inbound transport transit trade;Total;Total all continents;2016;125117;67507;182726;46.0;100;9.0;113064;91676;134453;19.0;100;9.0
5092;Inbound transport transit trade;Total;Total all continents;2017;139604;83291;195917;40.0;100;9.0;112431;92032;132830;18.0;100;9.0
5093;Inbound transport transit trade;Total;Africa;2007;9637;6581;12694;32.0;10;;20879;14604;27155;30.0;16;
5094;Inbound transport transit trade;Total;Africa;2008;9077;5252;12903;42.0;8;9.0;17782;10913;24650;39.0;14;9.0
5095;Inbound transport transit trade;Total;Africa;2009;4895;2725;7065;44.0;4;1.0;12463;7021;17905;44.0;12;1.0
5096;Inbound transport transit trade;Total;Africa;2010;5921;3109;8734;48.0;5;9.0;11519;6402;16635;44.0;10;9.0
5097;Inbound transport transit trade;Total;Africa;2011;9070;4828;13311;47.0;9;9.0;14283;8653;19913;39.0;14;9.0
5098;Inbound transport transit trade;Total;Africa;2012;6023;982;11064;84.0;5;9.0;10857;4137;17576;62.0;9;9.0
5099;Inbound transport transit trade;Total;Africa;2013;5474;1533;9415;72.0;4;9.0;9297;3206;15388;66.0;9;9.0
5100;Inbound transport transit trade;Total;Africa;2014;9468;4515;14422;52.0;7;9.0;15055;7831;22280;48.0;13;9.0
5101;Inbound transport transit trade;Total;Africa;2015;9420;5611;13230;40.0;6;9.0;16843;8923;24762;47.0;14;9.0
5102;Inbound transport transit trade;Total;Africa;2016;5770;3752;7789;35.0;5;1.0;13294;8688;17900;35.0;12;9.0
5103;Inbound transport transit trade;Total;Africa;2017;6850;4358;9343;36.0;5;9.0;14432;9392;19473;35.0;13;9.0
5104;Inbound transport transit trade;Total;America;2007;27510;16289;38730;41.0;28;;36399;27287;45510;25.0;27;
5105;Inbound transport transit trade;Total;America;2008;29911;17866;41956;40.0;26;9.0;38275;27689;48862;28.0;30;9.0
5106;Inbound transport transit trade;Total;America;2009;24751;13646;35856;45.0;22;9.0;20370;13481;27258;34.0;19;1.0
5107;Inbound transport transit trade;Total;America;2010;30304;19905;40704;34.0;24;9.0;32431;23687;41174;27.0;28;5.0
5108;Inbound transport transit trade;Total;America;2011;26528;16862;36194;36.0;27;9.0;27485;18303;36667;33.0;26;9.0
5109;Inbound transport transit trade;Total;America;2012;32109;20912;43306;35.0;25;9.0;37400;29811;44989;20.0;33;5.0
5110;Inbound transport transit trade;Total;America;2013;36728;23510;49946;36.0;28;9.0;37070;28190;45949;24.0;36;9.0
5111;Inbound transport transit trade;Total;America;2014;34990;23311;46669;33.0;28;9.0;32574;23902;41246;27.0;28;9.0
5112;Inbound transport transit trade;Total;America;2015;26433;14987;37879;43.0;18;9.0;37896;29653;46139;22.0;31;9.0
5113;Inbound transport transit trade;Total;America;2016;22737;11086;34387;51.0;18;9.0;36296;29019;43573;20.0;32;9.0
5114;Inbound transport transit trade;Total;America;2017;44348;22714;65981;49.0;32;5.0;34490;26746;42234;22.0;31;9.0
5115;Inbound transport transit trade;Total;Asia;2007;34853;0;70577;;36;;24288;17131;31444;29.0;18;
5116;Inbound transport transit trade;Total;Asia;2008;45048;11441;78655;75.0;39;9.0;20626;13432;27821;35.0;16;9.0
5117;Inbound transport transit trade;Total;Asia;2009;49880;18261;81500;63.0;45;9.0;23464;16031;30896;32.0;22;9.0
5118;Inbound transport transit trade;Total;Asia;2010;57421;19093;95749;67.0;46;9.0;24602;16904;32301;31.0;21;9.0
5119;Inbound transport transit trade;Total;Asia;2011;37703;923;74483;98.0;38;9.0;17910;10254;25566;43.0;17;1.0
5120;Inbound transport transit trade;Total;Asia;2012;57445;18560;96329;68.0;44;9.0;20505;13547;27463;34.0;18;9.0
5121;Inbound transport transit trade;Total;Asia;2013;57652;17543;97762;70.0;44;9.0;20032;13606;26458;32.0;19;9.0
5122;Inbound transport transit trade;Total;Asia;2014;52751;9204;96298;83.0;42;9.0;21940;15406;28474;30.0;19;9.0
5123;Inbound transport transit trade;Total;Asia;2015;65334;15898;114770;76.0;44;9.0;20753;13868;27639;33.0;17;9.0
5124;Inbound transport transit trade;Total;Asia;2016;63644;14535;112753;77.0;51;9.0;23799;15687;31910;34.0;21;9.0
5125;Inbound transport transit trade;Total;Asia;2017;59792;11122;108462;81.0;43;9.0;27228;18570;35885;32.0;24;9.0
5126;Inbound transport transit trade;Total;Europe;2007;24181;8557;39806;65.0;25;;47977;29464;66489;39.0;36;
5127;Inbound transport transit trade;Total;Europe;2008;30483;8872;52095;71.0;26;9.0;46833;27963;65703;40.0;37;9.0
5128;Inbound transport transit trade;Total;Europe;2009;30230;5427;55032;82.0;27;9.0;45907;27198;64616;41.0;43;9.0
5129;Inbound transport transit trade;Total;Europe;2010;28381;5019;51742;82.0;23;9.0;44359;24460;64258;45.0;38;9.0
5130;Inbound transport transit trade;Total;Europe;2011;20134;2129;38139;89.0;20;9.0;38327;19801;56852;48.0;36;9.0
5131;Inbound transport transit trade;Total;Europe;2012;29311;2710;55912;91.0;23;9.0;37609;18883;56335;50.0;33;9.0
5132;Inbound transport transit trade;Total;Europe;2013;26120;1592;50648;94.0;20;9.0;29139;10692;47585;63.0;28;9.0
5133;Inbound transport transit trade;Total;Europe;2014;27020;1985;52056;93.0;21;9.0;41899;19314;64484;54.0;37;9.0
5134;Inbound transport transit trade;Total;Europe;2015;45235;5104;85366;89.0;30;9.0;42548;19111;65984;55.0;35;9.0
5135;Inbound transport transit trade;Total;Europe;2016;30971;0;65558;;25;9.0;36898;18036;55760;51.0;33;9.0
5136;Inbound transport transit trade;Total;Europe;2017;26318;0;55933;;19;9.0;32734;15425;50043;53.0;29;9.0
5137;Inbound transport transit trade;Total;Oceania;2007;1226;948;1504;23.0;1;;3044;1141;4947;63.0;2;
5138;Inbound transport transit trade;Total;Oceania;2008;1874;1458;2290;22.0;2;5.0;4089;2387;5791;42.0;3;9.0
5139;Inbound transport transit trade;Total;Oceania;2009;1227;978;1477;20.0;1;1.0;3046;2049;4044;33.0;3;9.0
5140;Inbound transport transit trade;Total;Oceania;2010;2265;1809;2721;20.0;2;5.0;3613;1993;5233;45.0;3;9.0
5141;Inbound transport transit trade;Total;Oceania;2011;3318;2683;3953;19.0;3;5.0;3519;1923;5115;45.0;3;9.0
5142;Inbound transport transit trade;Total;Oceania;2012;1677;1188;2167;29.0;1;1.0;3146;1422;4870;55.0;3;9.0
5143;Inbound transport transit trade;Total;Oceania;2013;1726;1336;2117;23.0;1;9.0;2686;896;4475;67.0;3;9.0
5144;Inbound transport transit trade;Total;Oceania;2014;1891;1446;2336;24.0;1;9.0;2680;529;4831;80.0;2;9.0
5145;Inbound transport transit trade;Total;Oceania;2015;1510;1091;1928;28.0;1;1.0;1837;0;3738;;2;9.0
5146;Inbound transport transit trade;Total;Oceania;2016;1422;995;1849;30.0;1;9.0;1522;0;3810;;1;9.0
5147;Inbound transport transit trade;Total;Oceania;2017;1735;1260;2210;27.0;1;9.0;2036;396;3677;81.0;2;9.0
5148;Inbound transport transit trade;Total;Unspecified countries and areas;2007;81;54;108;33.0;0;;1694;1260;2128;26.0;1;
5149;Inbound transport transit trade;Total;Unspecified countries and areas;2008;115;14;216;88.0;0;9.0;578;426;729;26.0;0;1.0
5150;Inbound transport transit trade;Total;Unspecified countries and areas;2009;145;53;237;63.0;0;9.0;1339;1007;1671;25.0;1;5.0
5151;Inbound transport transit trade;Total;Unspecified countries and areas;2010;156;52;260;67.0;0;9.0;249;92;407;63.0;0;1.0
5152;Inbound transport transit trade;Total;Unspecified countries and areas;2011;2763;1871;3656;32.0;3;5.0;4006;2965;5047;26.0;4;5.0
5153;Inbound transport transit trade;Total;Unspecified countries and areas;2012;3144;2156;4132;31.0;2;9.0;5372;4030;6714;25.0;5;5.0
5154;Inbound transport transit trade;Total;Unspecified countries and areas;2013;2827;1859;3795;34.0;2;9.0;5418;3960;6877;27.0;5;9.0
5155;Inbound transport transit trade;Total;Unspecified countries and areas;2014;589;288;889;51.0;0;1.0;372;177;568;53.0;0;1.0
5156;Inbound transport transit trade;Total;Unspecified countries and areas;2015;488;80;895;84.0;0;9.0;852;116;1588;86.0;1;9.0
5157;Inbound transport transit trade;Total;Unspecified countries and areas;2016;573;128;1018;78.0;0;9.0;1256;104;2408;92.0;1;9.0
5158;Inbound transport transit trade;Total;Unspecified countries and areas;2017;562;0;1161;;0;9.0;1511;86;2936;94.0;1;9.0
5159;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2007;2660;1131;4188;57.0;3;;2405;0;4994;;2;
5160;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2008;1850;351;3349;81.0;2;9.0;10;0;1974;;0;1.0
5161;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2009;2705;1212;4199;55.0;2;9.0;668;0;2540;;1;9.0
5162;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2010;2512;958;4066;62.0;2;9.0;2098;0;4240;;2;9.0
5163;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2011;5994;3742;8246;38.0;6;5.0;4389;1809;6969;59.0;4;9.0
5164;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2012;4264;2161;6367;49.0;3;1.0;4093;1530;6657;63.0;4;9.0
5165;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2013;5217;2897;7538;44.0;4;9.0;5871;2648;9095;55.0;6;9.0
5166;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2014;3809;1756;5862;54.0;3;9.0;3243;853;5634;74.0;3;1.0
5167;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2015;6674;3911;9438;41.0;4;9.0;3437;980;5895;71.0;3;9.0
5168;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2016;4612;2335;6888;49.0;4;1.0;2666;0;5345;;2;9.0
5169;Inbound transport transit trade;0 Agricultural products and live animals;Total all continents;2017;6017;2842;9191;53.0;4;9.0;6815;3123;10506;54.0;6;9.0
5170;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2007;179;0;439;;0;;161;0;404;;0;
5171;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2008;145;0;401;;0;9.0;2;0;239;;0;1.0
5172;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2009;197;0;494;;0;9.0;81;0;328;;0;9.0
5173;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2010;283;0;661;;0;9.0;313;0;666;;0;9.0
5174;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2011;440;40;840;91.0;0;9.0;484;154;814;68.0;0;9.0
5175;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2012;279;0;642;;0;9.0;307;0;625;;0;9.0
5176;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2013;444;0;906;;0;9.0;540;172;907;68.0;1;9.0
5177;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2014;279;0;633;;0;9.0;347;32;663;91.0;0;9.0
5178;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2015;313;2;623;99.0;0;9.0;361;66;657;82.0;0;9.0
5179;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2016;199;0;672;;0;9.0;243;0;600;;0;9.0
5180;Inbound transport transit trade;0 Agricultural products and live animals;Africa;2017;330;0;879;;0;9.0;461;53;869;89.0;0;9.0
5181;Inbound transport transit trade;0 Agricultural products and live animals;America;2007;1226;217;2235;82.0;1;;1148;0;2450;;1;
5182;Inbound transport transit trade;0 Agricultural products and live animals;America;2008;727;0;1754;;1;9.0;2;0;1172;;0;1.0
5183;Inbound transport transit trade;0 Agricultural products and live animals;America;2009;993;0;2037;;1;9.0;120;0;1220;;0;9.0
5184;Inbound transport transit trade;0 Agricultural products and live animals;America;2010;1035;44;2026;96.0;1;9.0;832;0;1918;;1;9.0
5185;Inbound transport transit trade;0 Agricultural products and live animals;America;2011;2033;819;3246;60.0;2;9.0;1680;515;2845;69.0;2;9.0
5186;Inbound transport transit trade;0 Agricultural products and live animals;America;2012;1600;380;2819;76.0;1;9.0;1713;634;2793;63.0;1;9.0
5187;Inbound transport transit trade;0 Agricultural products and live animals;America;2013;1806;490;3122;73.0;1;9.0;1810;675;2946;63.0;2;9.0
5188;Inbound transport transit trade;0 Agricultural products and live animals;America;2014;1228;0;2559;;1;9.0;1179;20;2338;98.0;1;9.0
5189;Inbound transport transit trade;0 Agricultural products and live animals;America;2015;2104;636;3572;70.0;1;9.0;1074;91;2057;92.0;1;9.0
5190;Inbound transport transit trade;0 Agricultural products and live animals;America;2016;1499;0;3017;;1;9.0;725;0;1875;;1;9.0
5191;Inbound transport transit trade;0 Agricultural products and live animals;America;2017;1833;142;3525;92.0;1;9.0;1643;387;2900;76.0;1;9.0
5192;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2007;885;231;1539;74.0;1;;595;36;1153;94.0;0;
5193;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2008;698;47;1349;93.0;1;9.0;2;0;525;;0;1.0
5194;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2009;1130;395;1864;65.0;1;9.0;307;0;774;;0;9.0
5195;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2010;816;90;1541;89.0;1;9.0;567;139;995;76.0;0;9.0
5196;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2011;1757;902;2611;49.0;2;9.0;943;543;1343;42.0;1;9.0
5197;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2012;1420;623;2218;56.0;1;9.0;864;473;1254;45.0;1;9.0
5198;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2013;1647;867;2427;47.0;1;9.0;1024;628;1421;39.0;1;9.0
5199;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2014;1481;659;2303;55.0;1;9.0;935;504;1365;46.0;1;9.0
5200;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2015;2248;1274;3223;43.0;2;9.0;1026;589;1463;43.0;1;9.0
5201;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2016;2052;1035;3068;50.0;2;9.0;1028;560;1497;46.0;1;9.0
5202;Inbound transport transit trade;0 Agricultural products and live animals;Asia;2017;2386;1212;3561;49.0;2;9.0;1274;866;1682;32.0;1;9.0
5203;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2007;342;0;1275;;0;;470;0;2714;;0;
5204;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2008;258;0;1119;;0;9.0;2;0;1561;;0;9.0
5205;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2009;304;0;1073;;0;9.0;82;0;1556;;0;9.0
5206;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2010;359;0;1280;;0;9.0;338;0;2166;;0;9.0
5207;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2011;1080;0;2805;;1;9.0;775;0;3113;;1;9.0
5208;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2012;553;0;2097;;0;9.0;803;0;3152;;1;9.0
5209;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2013;725;0;2487;;1;9.0;2145;0;5196;;2;9.0
5210;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2014;390;0;1777;;0;9.0;435;0;2519;;0;1.0
5211;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2015;1699;0;3907;;1;9.0;623;0;2876;;1;9.0
5212;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2016;679;0;2100;;1;9.0;390;0;2821;;0;9.0
5213;Inbound transport transit trade;0 Agricultural products and live animals;Europe;2017;1167;0;3745;;1;9.0;2940;0;6450;;3;9.0
5214;Inbound transport transit trade;0 Agricultural products and live animals;Oceania;2007;27;1;53;96.0;0;;31;1;60;96.0;0;
