ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
5514;Total sales;1031 Processed and preserved pota...;2016 March;101.5;-0.1;2.8
5515;Total sales;1031 Processed and preserved pota...;2016 April;101.7;0.2;3.6
5516;Total sales;1031 Processed and preserved pota...;2016 May;101.9;0.2;3.6
5517;Total sales;1031 Processed and preserved pota...;2016 June;102.2;0.4;3.7
5518;Total sales;1031 Processed and preserved pota...;2016 July;101.9;-0.3;1.6
5519;Total sales;1031 Processed and preserved pota...;2016 August;101.9;0.0;1.3
5520;Total sales;1031 Processed and preserved pota...;2016 September;102.0;0.0;1.2
5521;Total sales;1031 Processed and preserved pota...;2016 October;102.9;0.9;1.0
5522;Total sales;1031 Processed and preserved pota...;2016 November;103.1;0.2;0.9
5523;Total sales;1031 Processed and preserved pota...;2016 December;103.2;0.1;0.5
5524;Total sales;1031 Processed and preserved pota...;2016;102.2;;2.2
5525;Total sales;1031 Processed and preserved pota...;2017 January;105.6;2.4;3.7
5526;Total sales;1031 Processed and preserved pota...;2017 February;105.7;0.0;3.9
5527;Total sales;1031 Processed and preserved pota...;2017 March;105.6;0.0;4.1
5528;Total sales;1031 Processed and preserved pota...;2017 April;105.3;-0.3;3.5
5529;Total sales;1031 Processed and preserved pota...;2017 May;105.7;0.4;3.7
5530;Total sales;1031 Processed and preserved pota...;2017 June;105.6;-0.1;3.2
5531;Total sales;1031 Processed and preserved pota...;2017 July;104.7;-0.9;2.7
5532;Total sales;1031 Processed and preserved pota...;2017 August;104.1;-0.5;2.1
5533;Total sales;1031 Processed and preserved pota...;2017 September;104.8;0.6;2.7
5534;Total sales;1031 Processed and preserved pota...;2017 October;102.8;-1.9;-0.2
5535;Total sales;1031 Processed and preserved pota...;2017 November;102.5;-0.2;-0.6
5536;Total sales;1031 Processed and preserved pota...;2017 December;103.2;0.6;0.0
5537;Total sales;1031 Processed and preserved pota...;2017;104.6;;2.4
5538;Total sales;1031 Processed and preserved pota...;2018 January;102.6;-0.6;-2.9
5539;Total sales;1031 Processed and preserved pota...;2018 February;102.6;0.0;-2.9
5540;Total sales;1031 Processed and preserved pota...;2018 March;103.0;0.3;-2.5
5541;Total sales;1031 Processed and preserved pota...;2018 April;103.6;0.6;-1.6
5542;Total sales;1031 Processed and preserved pota...;2018 May;103.6;0.1;-1.9
5543;Total sales;1031 Processed and preserved pota...;2018 June;103.7;0.1;-1.8
5544;Total sales;1031 Processed and preserved pota...;2018 July;104.3;0.5;-0.4
5545;Total sales;1031 Processed and preserved pota...;2018 August;104.5;0.2;0.3
5546;Total sales;1031 Processed and preserved pota...;2018 September;104.7;0.3;0.0
5547;Total sales;1031 Processed and preserved pota...;2018 October;110.1;5.1;7.2
5548;Total sales;1031 Processed and preserved pota...;2018 November;110.0;-0.1;7.3
5549;Total sales;1031 Processed and preserved pota...;2018 December;110.9;0.8;7.5
5550;Total sales;1031 Processed and preserved pota...;2018;105.3;;0.6
5551;Total sales;1031 Processed and preserved pota...;2019 January;115.0;3.8;12.1
5552;Total sales;1031 Processed and preserved pota...;2019 February;114.6;-0.4;11.7
5553;Total sales;1031 Processed and preserved pota...;2019 March;114.8;0.1;11.5
5554;Total sales;1031 Processed and preserved pota...;2019 April;114.2;-0.5;10.3
5555;Total sales;1031 Processed and preserved pota...;2019 May;114.3;0.0;10.3
5556;Total sales;1031 Processed and preserved pota...;2019 June;114.1;-0.2;10.0
5557;Total sales;1031 Processed and preserved pota...;2019 July;113.5;-0.5;8.9
5558;Total sales;1031 Processed and preserved pota...;2019 August;113.4;-0.1;8.5
5559;Total sales;1031 Processed and preserved pota...;2019 September;112.7;-0.6;7.6
5560;Total sales;1031 Processed and preserved pota...;2019 October;111.6;-1.0;1.3
5561;Total sales;1031 Processed and preserved pota...;2019 November;111.5;-0.1;1.3
5562;Total sales;1031 Processed and preserved pota...;2019 December;111.6;0.2;0.7
5563;Total sales;1031 Processed and preserved pota...;2019;113.4;;7.7
5564;Total sales;1031 Processed and preserved pota...;2020 January;108.7;-2.6;-5.5
5565;Total sales;1031 Processed and preserved pota...;2020 February;108.5;-0.3;-5.4
5566;Total sales;1031 Processed and preserved pota...;2020 March;108.2;-0.3;-5.7
5567;Total sales;1031 Processed and preserved pota...;2020 April;109.3;1.0;-4.3
5568;Total sales;1031 Processed and preserved pota...;2020 May;108.2;-1.0;-5.3
5569;Total sales;1031 Processed and preserved pota...;2020 June;107.9;-0.3;-5.4
5570;Total sales;1031 Processed and preserved pota...;2020 July;109.3;1.3;-3.7
5571;Total sales;1031 Processed and preserved pota...;2020 August;108.7;-0.6;-4.1
5572;Total sales;1031 Processed and preserved pota...;2020 September;109.0;0.3;-3.3
5573;Total sales;1031 Processed and preserved pota...;2020 October;109.1;0.1;-2.2
5574;Total sales;1031 Processed and preserved pota...;2020 November;108.2;-0.8;-2.9
5575;Total sales;1031 Processed and preserved pota...;2020 December;108.0;-0.2;-3.3
5576;Total sales;1031 Processed and preserved pota...;2020;108.6;;-4.3
5577;Total sales;1031 Processed and preserved pota...;2021 January;107.9;0.0;-0.7
5578;Total sales;1031 Processed and preserved pota...;2021 February;107.8;-0.1;-0.6
5579;Total sales;1031 Processed and preserved pota...;2021 March;107.0;-0.8;-1.1
5580;Total sales;1031 Processed and preserved pota...;2021 April;106.7;-0.2;-2.3
5581;Total sales;1031 Processed and preserved pota...;2021 May;106.3;-0.4;-1.8
5582;Total sales;1031 Processed and preserved pota...;2021 June;106.5;0.3;-1.3
5583;Total sales;1031 Processed and preserved pota...;2021 July;106.9;0.3;-2.2
5584;Total sales;1031 Processed and preserved pota...;2021 August;107.3;0.4;-1.2
5585;Total sales;1031 Processed and preserved pota...;2021 September;107.2;-0.1;-1.6
5586;Total sales;1031 Processed and preserved pota...;2021 October;108.8;1.5;-0.3
5587;Total sales;1031 Processed and preserved pota...;2021 November;109.7;0.8;1.4
5588;Total sales;1031 Processed and preserved pota...;2021 December;109.0;-0.7;0.9
5589;Total sales;1031 Processed and preserved pota...;2021;107.6;;-0.9
5590;Total sales;1031 Processed and preserved pota...;2022 January;120.2;10.3;11.4
5591;Total sales;1031 Processed and preserved pota...;2022 February;120.1;-0.1;11.4
5592;Total sales;1031 Processed and preserved pota...;2022 March;120.4;0.3;12.6
5593;Total sales;1031 Processed and preserved pota...;2022 April;129.3;7.4;21.2
5594;Total sales;1031 Processed and preserved pota...;2022 May;130.4;0.9;22.7
5595;Total sales;1031 Processed and preserved pota...;2022 June;130.9;0.4;22.9
5596;Total sales;1031 Processed and preserved pota...;2022 July;133.3;1.9;24.7
5597;Total sales;1031 Processed and preserved pota...;2022 August;132.9;-0.3;23.9
5598;Total sales;1031 Processed and preserved pota...;2022 September;133.6;0.5;24.6
5599;Total sales;1031 Processed and preserved pota...;2022 October;141.8;6.1;30.3
5600;Total sales;1031 Processed and preserved pota...;2022 November;144.2;1.7;31.4
5601;Total sales;1031 Processed and preserved pota...;2022 December;144.6;0.3;32.7
5602;Total sales;1031 Processed and preserved pota...;2022;131.8;;22.5
5603;Total sales;1031 Processed and preserved pota...;2023 January;165.9;14.7;38.0
5604;Total sales;1031 Processed and preserved pota...;2023 February;166.2;0.2;38.4
5605;Total sales;1031 Processed and preserved pota...;2023 March;166.1;-0.1;37.9
5606;Total sales;1031 Processed and preserved pota...;2023 April;176.9;6.5;36.8
5607;Total sales;1031 Processed and preserved pota...;2023 May;177.7;0.4;36.2
5608;Total sales;1031 Processed and preserved pota...;2023 June;177.1;-0.3;35.3
5609;Total sales;1031 Processed and preserved pota...;2023 July;175.9;-0.7;31.9
5610;Total sales;1031 Processed and preserved pota...;2023 August;175.3;-0.3;31.8
5611;Total sales;1031 Processed and preserved pota...;2023 September;175.6;0.2;31.4
5612;Total sales;1031 Processed and preserved pota...;2023 October;177.6;1.2;25.3
5613;Total sales;1031 Processed and preserved pota...;2023 November;177.9;0.2;23.4
5614;Total sales;1031 Processed and preserved pota...;2023 December;177.7;-0.1;22.9
5615;Total sales;1031 Processed and preserved pota...;2023;174.1;;32.1
5616;Total sales;1032 Fruit and vegetable juices;2012 January;96.0;;
5617;Total sales;1032 Fruit and vegetable juices;2012 February;95.3;-0.7;
5618;Total sales;1032 Fruit and vegetable juices;2012 March;95.3;0.0;
5619;Total sales;1032 Fruit and vegetable juices;2012 April;95.5;0.2;
5620;Total sales;1032 Fruit and vegetable juices;2012 May;95.9;0.4;
5621;Total sales;1032 Fruit and vegetable juices;2012 June;95.7;-0.2;
5622;Total sales;1032 Fruit and vegetable juices;2012 July;96.3;0.6;
5623;Total sales;1032 Fruit and vegetable juices;2012 August;96.2;-0.1;
5624;Total sales;1032 Fruit and vegetable juices;2012 September;95.8;-0.4;
5625;Total sales;1032 Fruit and vegetable juices;2012 October;97.0;1.3;
5626;Total sales;1032 Fruit and vegetable juices;2012 November;97.1;0.0;
5627;Total sales;1032 Fruit and vegetable juices;2012 December;96.7;-0.4;
5628;Total sales;1032 Fruit and vegetable juices;2012;96.1;;
5629;Total sales;1032 Fruit and vegetable juices;2013 January;98.2;1.5;2.3
5630;Total sales;1032 Fruit and vegetable juices;2013 February;98.1;-0.1;2.9
5631;Total sales;1032 Fruit and vegetable juices;2013 March;98.2;0.1;3.0
5632;Total sales;1032 Fruit and vegetable juices;2013 April;97.9;-0.3;2.4
5633;Total sales;1032 Fruit and vegetable juices;2013 May;97.5;-0.4;1.6
5634;Total sales;1032 Fruit and vegetable juices;2013 June;97.4;0.0;1.8
5635;Total sales;1032 Fruit and vegetable juices;2013 July;97.1;-0.3;0.9
5636;Total sales;1032 Fruit and vegetable juices;2013 August;97.1;0.0;1.0
5637;Total sales;1032 Fruit and vegetable juices;2013 September;97.1;0.0;1.4
5638;Total sales;1032 Fruit and vegetable juices;2013 October;96.7;-0.4;-0.4
5639;Total sales;1032 Fruit and vegetable juices;2013 November;96.9;0.2;-0.2
5640;Total sales;1032 Fruit and vegetable juices;2013 December;96.8;0.0;0.1
5641;Total sales;1032 Fruit and vegetable juices;2013;97.4;;1.4
5642;Total sales;1032 Fruit and vegetable juices;2014 January;97.3;0.4;-1.0
5643;Total sales;1032 Fruit and vegetable juices;2014 February;97.2;-0.1;-0.9
5644;Total sales;1032 Fruit and vegetable juices;2014 March;97.3;0.1;-0.9
5645;Total sales;1032 Fruit and vegetable juices;2014 April;97.2;-0.1;-0.7
5646;Total sales;1032 Fruit and vegetable juices;2014 May;97.2;0.1;-0.2
5647;Total sales;1032 Fruit and vegetable juices;2014 June;97.3;0.0;-0.2
5648;Total sales;1032 Fruit and vegetable juices;2014 July;96.9;-0.4;-0.2
5649;Total sales;1032 Fruit and vegetable juices;2014 August;96.8;-0.1;-0.3
5650;Total sales;1032 Fruit and vegetable juices;2014 September;96.9;0.0;-0.2
5651;Total sales;1032 Fruit and vegetable juices;2014 October;96.9;0.0;0.2
5652;Total sales;1032 Fruit and vegetable juices;2014 November;97.0;0.1;0.1
5653;Total sales;1032 Fruit and vegetable juices;2014 December;96.9;-0.1;0.1
5654;Total sales;1032 Fruit and vegetable juices;2014;97.1;;-0.4
5655;Total sales;1032 Fruit and vegetable juices;2015 January;96.1;-0.8;-1.2
5656;Total sales;1032 Fruit and vegetable juices;2015 February;95.8;-0.3;-1.4
5657;Total sales;1032 Fruit and vegetable juices;2015 March;96.6;0.8;-0.7
5658;Total sales;1032 Fruit and vegetable juices;2015 April;101.2;4.8;4.2
5659;Total sales;1032 Fruit and vegetable juices;2015 May;100.9;-0.4;3.7
5660;Total sales;1032 Fruit and vegetable juices;2015 June;100.7;-0.1;3.5
5661;Total sales;1032 Fruit and vegetable juices;2015 July;101.4;0.7;4.7
5662;Total sales;1032 Fruit and vegetable juices;2015 August;101.7;0.3;5.1
5663;Total sales;1032 Fruit and vegetable juices;2015 September;102.0;0.3;5.3
5664;Total sales;1032 Fruit and vegetable juices;2015 October;100.9;-1.1;4.1
5665;Total sales;1032 Fruit and vegetable juices;2015 November;100.8;-0.1;4.0
5666;Total sales;1032 Fruit and vegetable juices;2015 December;101.7;0.8;4.9
5667;Total sales;1032 Fruit and vegetable juices;2015;100.0;;3.0
5668;Total sales;1032 Fruit and vegetable juices;2016 January;103.0;1.3;7.1
5669;Total sales;1032 Fruit and vegetable juices;2016 February;103.7;0.7;8.2
5670;Total sales;1032 Fruit and vegetable juices;2016 March;103.3;-0.4;6.9
5671;Total sales;1032 Fruit and vegetable juices;2016 April;108.0;4.5;6.6
5672;Total sales;1032 Fruit and vegetable juices;2016 May;107.7;-0.2;6.8
5673;Total sales;1032 Fruit and vegetable juices;2016 June;108.0;0.2;7.2
5674;Total sales;1032 Fruit and vegetable juices;2016 July;110.2;2.1;8.7
5675;Total sales;1032 Fruit and vegetable juices;2016 August;110.4;0.2;8.5
5676;Total sales;1032 Fruit and vegetable juices;2016 September;110.4;0.0;8.2
5677;Total sales;1032 Fruit and vegetable juices;2016 October;111.3;0.9;10.4
5678;Total sales;1032 Fruit and vegetable juices;2016 November;111.4;0.0;10.5
5679;Total sales;1032 Fruit and vegetable juices;2016 December;112.1;0.6;10.2
5680;Total sales;1032 Fruit and vegetable juices;2016;108.3;;8.3
5681;Total sales;1032 Fruit and vegetable juices;2017 January;111.4;-0.6;8.2
5682;Total sales;1032 Fruit and vegetable juices;2017 February;111.4;-0.1;7.4
5683;Total sales;1032 Fruit and vegetable juices;2017 March;111.5;0.1;7.9
5684;Total sales;1032 Fruit and vegetable juices;2017 April;109.3;-2.0;1.3
5685;Total sales;1032 Fruit and vegetable juices;2017 May;109.5;0.2;1.7
5686;Total sales;1032 Fruit and vegetable juices;2017 June;109.9;0.3;1.8
5687;Total sales;1032 Fruit and vegetable juices;2017 July;102.5;-6.7;-7.0
5688;Total sales;1032 Fruit and vegetable juices;2017 August;102.0;-0.5;-7.6
5689;Total sales;1032 Fruit and vegetable juices;2017 September;102.2;0.2;-7.4
5690;Total sales;1032 Fruit and vegetable juices;2017 October;101.3;-0.8;-9.0
5691;Total sales;1032 Fruit and vegetable juices;2017 November;101.5;0.2;-8.9
5692;Total sales;1032 Fruit and vegetable juices;2017 December;101.2;-0.4;-9.7
5693;Total sales;1032 Fruit and vegetable juices;2017;106.1;;-2.0
5694;Total sales;1032 Fruit and vegetable juices;2018 January;101.6;0.4;-8.8
5695;Total sales;1032 Fruit and vegetable juices;2018 February;101.2;-0.4;-9.1
5696;Total sales;1032 Fruit and vegetable juices;2018 March;100.6;-0.6;-9.8
5697;Total sales;1032 Fruit and vegetable juices;2018 April;100.4;-0.2;-8.1
5698;Total sales;1032 Fruit and vegetable juices;2018 May;100.5;0.1;-8.2
5699;Total sales;1032 Fruit and vegetable juices;2018 June;100.5;-0.1;-8.6
5700;Total sales;1032 Fruit and vegetable juices;2018 July;104.5;4.1;2.0
5701;Total sales;1032 Fruit and vegetable juices;2018 August;104.8;0.2;2.7
5702;Total sales;1032 Fruit and vegetable juices;2018 September;104.2;-0.5;2.0
5703;Total sales;1032 Fruit and vegetable juices;2018 October;101.7;-2.4;0.4
5704;Total sales;1032 Fruit and vegetable juices;2018 November;101.8;0.1;0.3
5705;Total sales;1032 Fruit and vegetable juices;2018 December;101.7;-0.1;0.6
5706;Total sales;1032 Fruit and vegetable juices;2018;102.0;;-3.9
5707;Total sales;1032 Fruit and vegetable juices;2019 January;98.2;-3.4;-3.3
5708;Total sales;1032 Fruit and vegetable juices;2019 February;98.4;0.1;-2.8
5709;Total sales;1032 Fruit and vegetable juices;2019 March;98.3;-0.1;-2.3
5710;Total sales;1032 Fruit and vegetable juices;2019 April;99.4;1.1;-1.0
5711;Total sales;1032 Fruit and vegetable juices;2019 May;99.4;0.0;-1.1
5712;Total sales;1032 Fruit and vegetable juices;2019 June;99.4;0.0;-1.0
5713;Total sales;1032 Fruit and vegetable juices;2019 July;98.8;-0.7;-5.5
5714;Total sales;1032 Fruit and vegetable juices;2019 August;98.8;0.0;-5.7
5715;Total sales;1032 Fruit and vegetable juices;2019 September;98.7;-0.1;-5.3
5716;Total sales;1032 Fruit and vegetable juices;2019 October;99.0;0.2;-2.7
5717;Total sales;1032 Fruit and vegetable juices;2019 November;99.0;0.0;-2.8
5718;Total sales;1032 Fruit and vegetable juices;2019 December;99.0;0.0;-2.7
5719;Total sales;1032 Fruit and vegetable juices;2019;98.9;;-3.0
5720;Total sales;1032 Fruit and vegetable juices;2020 January;101.3;2.3;3.1
5721;Total sales;1032 Fruit and vegetable juices;2020 February;101.3;0.0;3.0
5722;Total sales;1032 Fruit and vegetable juices;2020 March;101.4;0.1;3.1
5723;Total sales;1032 Fruit and vegetable juices;2020 April;101.4;0.1;2.0
5724;Total sales;1032 Fruit and vegetable juices;2020 May;102.0;0.5;2.6
5725;Total sales;1032 Fruit and vegetable juices;2020 June;102.5;0.5;3.1
5726;Total sales;1032 Fruit and vegetable juices;2020 July;103.2;0.7;4.5
5727;Total sales;1032 Fruit and vegetable juices;2020 August;103.2;0.0;4.5
5728;Total sales;1032 Fruit and vegetable juices;2020 September;103.2;0.0;4.5
5729;Total sales;1032 Fruit and vegetable juices;2020 October;104.1;0.8;5.2
5730;Total sales;1032 Fruit and vegetable juices;2020 November;104.4;0.3;5.5
5731;Total sales;1032 Fruit and vegetable juices;2020 December;104.0;-0.4;5.1
5732;Total sales;1032 Fruit and vegetable juices;2020;102.7;;3.9
5733;Total sales;1032 Fruit and vegetable juices;2021 January;101.5;-2.5;0.2
5734;Total sales;1032 Fruit and vegetable juices;2021 February;101.3;-0.2;0.0
5735;Total sales;1032 Fruit and vegetable juices;2021 March;101.6;0.3;0.2
5736;Total sales;1032 Fruit and vegetable juices;2021 April;102.4;0.8;0.9
5737;Total sales;1032 Fruit and vegetable juices;2021 May;102.9;0.5;0.9
5738;Total sales;1032 Fruit and vegetable juices;2021 June;103.3;0.4;0.7
5739;Total sales;1032 Fruit and vegetable juices;2021 July;105.3;2.0;2.0
5740;Total sales;1032 Fruit and vegetable juices;2021 August;105.9;0.5;2.5
5741;Total sales;1032 Fruit and vegetable juices;2021 September;105.5;-0.4;2.2
5742;Total sales;1032 Fruit and vegetable juices;2021 October;106.3;0.8;2.1
5743;Total sales;1032 Fruit and vegetable juices;2021 November;106.1;-0.1;1.6
5744;Total sales;1032 Fruit and vegetable juices;2021 December;105.6;-0.5;1.5
5745;Total sales;1032 Fruit and vegetable juices;2021;104.0;;1.3
5746;Total sales;1032 Fruit and vegetable juices;2022 January;108.4;2.6;6.8
5747;Total sales;1032 Fruit and vegetable juices;2022 February;108.4;0.0;7.0
5748;Total sales;1032 Fruit and vegetable juices;2022 March;108.7;0.3;7.0
5749;Total sales;1032 Fruit and vegetable juices;2022 April;111.5;2.6;8.9
5750;Total sales;1032 Fruit and vegetable juices;2022 May;112.8;1.1;9.6
5751;Total sales;1032 Fruit and vegetable juices;2022 June;112.7;-0.1;9.1
5752;Total sales;1032 Fruit and vegetable juices;2022 July;116.3;3.2;10.4
5753;Total sales;1032 Fruit and vegetable juices;2022 August;116.9;0.5;10.4
5754;Total sales;1032 Fruit and vegetable juices;2022 September;116.9;0.0;10.9
5755;Total sales;1032 Fruit and vegetable juices;2022 October;127.5;9.0;20.0
5756;Total sales;1032 Fruit and vegetable juices;2022 November;127.3;-0.2;19.9
5757;Total sales;1032 Fruit and vegetable juices;2022 December;127.0;-0.2;20.3
5758;Total sales;1032 Fruit and vegetable juices;2022;116.2;;11.8
5759;Total sales;1032 Fruit and vegetable juices;2023 January;142.6;12.3;31.6
5760;Total sales;1032 Fruit and vegetable juices;2023 February;143.2;0.4;32.2
5761;Total sales;1032 Fruit and vegetable juices;2023 March;142.9;-0.2;31.5
5762;Total sales;1032 Fruit and vegetable juices;2023 April;143.4;0.4;28.6
5763;Total sales;1032 Fruit and vegetable juices;2023 May;144.2;0.5;27.8
5764;Total sales;1032 Fruit and vegetable juices;2023 June;144.3;0.1;28.1
5765;Total sales;1032 Fruit and vegetable juices;2023 July;133.0;-7.8;14.3
5766;Total sales;1032 Fruit and vegetable juices;2023 August;132.0;-0.8;12.9
5767;Total sales;1032 Fruit and vegetable juices;2023 September;132.0;0.0;12.9
5768;Total sales;1032 Fruit and vegetable juices;2023 October;136.5;3.3;7.0
5769;Total sales;1032 Fruit and vegetable juices;2023 November;136.8;0.2;7.5
5770;Total sales;1032 Fruit and vegetable juices;2023 December;136.0;-0.6;7.1
5771;Total sales;1032 Fruit and vegetable juices;2023;138.9;;19.5
5772;Total sales;1039 Other processed and preserve...;2012 January;97.1;;
5773;Total sales;1039 Other processed and preserve...;2012 February;97.5;0.4;
5774;Total sales;1039 Other processed and preserve...;2012 March;97.7;0.2;
5775;Total sales;1039 Other processed and preserve...;2012 April;98.1;0.4;
5776;Total sales;1039 Other processed and preserve...;2012 May;97.9;-0.2;
5777;Total sales;1039 Other processed and preserve...;2012 June;97.8;-0.1;
5778;Total sales;1039 Other processed and preserve...;2012 July;98.3;0.5;
5779;Total sales;1039 Other processed and preserve...;2012 August;98.4;0.2;
5780;Total sales;1039 Other processed and preserve...;2012 September;100.2;1.8;
5781;Total sales;1039 Other processed and preserve...;2012 October;99.6;-0.6;
5782;Total sales;1039 Other processed and preserve...;2012 November;100.3;0.7;
5783;Total sales;1039 Other processed and preserve...;2012 December;99.6;-0.7;
5784;Total sales;1039 Other processed and preserve...;2012;98.5;;
5785;Total sales;1039 Other processed and preserve...;2013 January;99.4;-0.1;2.4
5786;Total sales;1039 Other processed and preserve...;2013 February;99.3;-0.1;1.9
5787;Total sales;1039 Other processed and preserve...;2013 March;99.5;0.2;1.8
5788;Total sales;1039 Other processed and preserve...;2013 April;99.4;-0.1;1.3
5789;Total sales;1039 Other processed and preserve...;2013 May;99.1;-0.3;1.3
5790;Total sales;1039 Other processed and preserve...;2013 June;98.9;-0.2;1.1
5791;Total sales;1039 Other processed and preserve...;2013 July;98.2;-0.6;0.0
5792;Total sales;1039 Other processed and preserve...;2013 August;97.6;-0.6;-0.8
5793;Total sales;1039 Other processed and preserve...;2013 September;97.7;0.1;-2.5
5794;Total sales;1039 Other processed and preserve...;2013 October;98.4;0.7;-1.2
5795;Total sales;1039 Other processed and preserve...;2013 November;99.9;1.5;-0.4
5796;Total sales;1039 Other processed and preserve...;2013 December;99.8;-0.1;0.2
5797;Total sales;1039 Other processed and preserve...;2013;98.9;;0.4
5798;Total sales;1039 Other processed and preserve...;2014 January;100.0;0.2;0.6
5799;Total sales;1039 Other processed and preserve...;2014 February;99.9;-0.1;0.6
5800;Total sales;1039 Other processed and preserve...;2014 March;99.9;0.0;0.4
5801;Total sales;1039 Other processed and preserve...;2014 April;99.8;-0.1;0.4
5802;Total sales;1039 Other processed and preserve...;2014 May;98.5;-1.4;-0.6
5803;Total sales;1039 Other processed and preserve...;2014 June;98.6;0.2;-0.2
5804;Total sales;1039 Other processed and preserve...;2014 July;98.2;-0.4;0.0
5805;Total sales;1039 Other processed and preserve...;2014 August;98.3;0.1;0.7
5806;Total sales;1039 Other processed and preserve...;2014 September;98.5;0.1;0.8
5807;Total sales;1039 Other processed and preserve...;2014 October;97.8;-0.7;-0.6
5808;Total sales;1039 Other processed and preserve...;2014 November;99.4;1.6;-0.5
5809;Total sales;1039 Other processed and preserve...;2014 December;99.4;0.0;-0.4
5810;Total sales;1039 Other processed and preserve...;2014;99.0;;0.1
5811;Total sales;1039 Other processed and preserve...;2015 January;100.4;1.1;0.4
5812;Total sales;1039 Other processed and preserve...;2015 February;100.4;0.0;0.5
5813;Total sales;1039 Other processed and preserve...;2015 March;101.0;0.5;1.1
5814;Total sales;1039 Other processed and preserve...;2015 April;100.8;-0.2;0.9
5815;Total sales;1039 Other processed and preserve...;2015 May;99.7;-1.1;1.3
5816;Total sales;1039 Other processed and preserve...;2015 June;99.8;0.1;1.2
5817;Total sales;1039 Other processed and preserve...;2015 July;99.1;-0.7;0.9
5818;Total sales;1039 Other processed and preserve...;2015 August;98.9;-0.2;0.6
5819;Total sales;1039 Other processed and preserve...;2015 September;98.5;-0.4;0.1
5820;Total sales;1039 Other processed and preserve...;2015 October;99.4;0.9;1.7
5821;Total sales;1039 Other processed and preserve...;2015 November;100.8;1.3;1.4
5822;Total sales;1039 Other processed and preserve...;2015 December;101.1;0.3;1.7
5823;Total sales;1039 Other processed and preserve...;2015;100.0;;1.0
5824;Total sales;1039 Other processed and preserve...;2016 January;100.4;-0.7;-0.1
5825;Total sales;1039 Other processed and preserve...;2016 February;100.4;0.0;-0.1
5826;Total sales;1039 Other processed and preserve...;2016 March;100.3;-0.1;-0.7
5827;Total sales;1039 Other processed and preserve...;2016 April;100.1;-0.2;-0.7
5828;Total sales;1039 Other processed and preserve...;2016 May;99.4;-0.6;-0.3
5829;Total sales;1039 Other processed and preserve...;2016 June;100.3;0.8;0.4
5830;Total sales;1039 Other processed and preserve...;2016 July;100.1;-0.2;1.0
5831;Total sales;1039 Other processed and preserve...;2016 August;99.6;-0.5;0.7
5832;Total sales;1039 Other processed and preserve...;2016 September;99.6;0.0;1.0
5833;Total sales;1039 Other processed and preserve...;2016 October;100.7;1.1;1.2
5834;Total sales;1039 Other processed and preserve...;2016 November;100.8;0.1;0.0
5835;Total sales;1039 Other processed and preserve...;2016 December;100.9;0.2;-0.2
5836;Total sales;1039 Other processed and preserve...;2016;100.2;;0.2
5837;Total sales;1039 Other processed and preserve...;2017 January;102.0;1.1;1.7
5838;Total sales;1039 Other processed and preserve...;2017 February;101.5;-0.5;1.2
5839;Total sales;1039 Other processed and preserve...;2017 March;101.6;0.0;1.3
5840;Total sales;1039 Other processed and preserve...;2017 April;102.6;1.1;2.6
5841;Total sales;1039 Other processed and preserve...;2017 May;102.7;0.0;3.3
5842;Total sales;1039 Other processed and preserve...;2017 June;102.6;-0.1;2.3
5843;Total sales;1039 Other processed and preserve...;2017 July;103.4;0.8;3.4
5844;Total sales;1039 Other processed and preserve...;2017 August;103.3;-0.1;3.7
5845;Total sales;1039 Other processed and preserve...;2017 September;102.9;-0.4;3.3
5846;Total sales;1039 Other processed and preserve...;2017 October;102.8;0.0;2.2
5847;Total sales;1039 Other processed and preserve...;2017 November;104.1;1.3;3.3
5848;Total sales;1039 Other processed and preserve...;2017 December;104.3;0.2;3.4
5849;Total sales;1039 Other processed and preserve...;2017;102.8;;2.6
5850;Total sales;1039 Other processed and preserve...;2018 January;107.1;2.6;4.9
5851;Total sales;1039 Other processed and preserve...;2018 February;106.9;-0.1;5.3
5852;Total sales;1039 Other processed and preserve...;2018 March;107.3;0.3;5.7
5853;Total sales;1039 Other processed and preserve...;2018 April;106.7;-0.6;4.0
5854;Total sales;1039 Other processed and preserve...;2018 May;104.4;-2.2;1.7
5855;Total sales;1039 Other processed and preserve...;2018 June;104.4;0.0;1.8
5856;Total sales;1039 Other processed and preserve...;2018 July;103.8;-0.6;0.3
5857;Total sales;1039 Other processed and preserve...;2018 August;103.8;0.0;0.5
5858;Total sales;1039 Other processed and preserve...;2018 September;103.7;-0.1;0.8
5859;Total sales;1039 Other processed and preserve...;2018 October;103.1;-0.6;0.2
5860;Total sales;1039 Other processed and preserve...;2018 November;105.4;2.2;1.2
5861;Total sales;1039 Other processed and preserve...;2018 December;105.6;0.2;1.2
5862;Total sales;1039 Other processed and preserve...;2018;105.2;;2.3
5863;Total sales;1039 Other processed and preserve...;2019 January;104.2;-1.3;-2.7
5864;Total sales;1039 Other processed and preserve...;2019 February;104.1;-0.1;-2.6
5865;Total sales;1039 Other processed and preserve...;2019 March;104.1;0.0;-3.0
5866;Total sales;1039 Other processed and preserve...;2019 April;104.3;0.2;-2.2
5867;Total sales;1039 Other processed and preserve...;2019 May;103.5;-0.8;-0.9
