ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
4972;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;1995;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4973;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;1996;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4974;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;1997;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4975;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;1998;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4976;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;1999;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4977;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2000;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4978;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2001;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4979;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2002;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4980;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2003;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4981;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2004;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4982;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2005;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4983;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2006;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4984;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2007;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4985;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2008;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4986;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2009;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4987;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2010;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4988;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2011;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4989;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2012;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4990;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2013;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4991;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2014;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4992;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2015;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4993;Cost of ownership transfer on land;58-60 Publishing, movie, radio and  TV;2016;0.0;;0.0;;;;;;0.0
4994;Cost of ownership transfer on land;61 Telecommunications;1995;3.0;538.4;3.0;0.0;0.0;0.0;0.0;0.0;3.0
4995;Cost of ownership transfer on land;61 Telecommunications;1996;3.0;512.8;3.0;0.0;0.0;0.0;0.0;0.0;3.0
4996;Cost of ownership transfer on land;61 Telecommunications;1997;2.0;330.9;3.0;0.0;0.0;0.0;0.0;0.0;2.0
4997;Cost of ownership transfer on land;61 Telecommunications;1998;2.0;301.8;2.0;0.0;0.0;0.0;0.0;0.0;2.0
4998;Cost of ownership transfer on land;61 Telecommunications;1999;3.0;432.9;2.0;0.0;1.0;0.0;0.0;0.0;3.0
4999;Cost of ownership transfer on land;61 Telecommunications;2000;3.0;393.7;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5000;Cost of ownership transfer on land;61 Telecommunications;2001;3.0;300.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5001;Cost of ownership transfer on land;61 Telecommunications;2002;3.0;300.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5002;Cost of ownership transfer on land;61 Telecommunications;2003;3.0;300.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5003;Cost of ownership transfer on land;61 Telecommunications;2004;2.0;200.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0
5004;Cost of ownership transfer on land;61 Telecommunications;2005;2.0;200.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5005;Cost of ownership transfer on land;61 Telecommunications;2006;2.0;200.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5006;Cost of ownership transfer on land;61 Telecommunications;2007;2.0;200.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5007;Cost of ownership transfer on land;61 Telecommunications;2008;2.0;200.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5008;Cost of ownership transfer on land;61 Telecommunications;2009;1.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0
5009;Cost of ownership transfer on land;61 Telecommunications;2010;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5010;Cost of ownership transfer on land;61 Telecommunications;2011;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5011;Cost of ownership transfer on land;61 Telecommunications;2012;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5012;Cost of ownership transfer on land;61 Telecommunications;2013;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5013;Cost of ownership transfer on land;61 Telecommunications;2014;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5014;Cost of ownership transfer on land;61 Telecommunications;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5015;Cost of ownership transfer on land;61 Telecommunications;2016;0.0;;0.0;;;;;;0.0
5016;Cost of ownership transfer on land;62-63 IT- and information services;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5017;Cost of ownership transfer on land;62-63 IT- and information services;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5018;Cost of ownership transfer on land;62-63 IT- and information services;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5019;Cost of ownership transfer on land;62-63 IT- and information services;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5020;Cost of ownership transfer on land;62-63 IT- and information services;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5021;Cost of ownership transfer on land;62-63 IT- and information services;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5022;Cost of ownership transfer on land;62-63 IT- and information services;2001;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5023;Cost of ownership transfer on land;62-63 IT- and information services;2002;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5024;Cost of ownership transfer on land;62-63 IT- and information services;2003;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5025;Cost of ownership transfer on land;62-63 IT- and information services;2004;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5026;Cost of ownership transfer on land;62-63 IT- and information services;2005;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5027;Cost of ownership transfer on land;62-63 IT- and information services;2006;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5028;Cost of ownership transfer on land;62-63 IT- and information services;2007;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5029;Cost of ownership transfer on land;62-63 IT- and information services;2008;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5030;Cost of ownership transfer on land;62-63 IT- and information services;2009;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5031;Cost of ownership transfer on land;62-63 IT- and information services;2010;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5032;Cost of ownership transfer on land;62-63 IT- and information services;2011;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5033;Cost of ownership transfer on land;62-63 IT- and information services;2012;1.0;;0.0;0.0;1.0;0.0;0.0;0.0;1.0
5034;Cost of ownership transfer on land;62-63 IT- and information services;2013;2.0;;1.0;0.0;1.0;0.0;0.0;0.0;2.0
5035;Cost of ownership transfer on land;62-63 IT- and information services;2014;3.0;;2.0;0.0;1.0;0.0;0.0;0.0;3.0
5036;Cost of ownership transfer on land;62-63 IT- and information services;2015;4.0;;3.0;0.0;1.0;0.0;0.0;0.0;4.0
5037;Cost of ownership transfer on land;62-63 IT- and information services;2016;7.0;;4.0;;;;;;7.0
5038;Cost of ownership transfer on land;K Financial institutions;1995;2403.0;117.2;2363.0;19.0;234.0;214.0;0.0;0.0;2403.0
5039;Cost of ownership transfer on land;K Financial institutions;1996;2613.0;121.4;2403.0;109.0;330.0;229.0;0.0;0.0;2613.0
5040;Cost of ownership transfer on land;K Financial institutions;1997;2702.0;121.5;2613.0;64.0;266.0;241.0;0.0;0.0;2702.0
5041;Cost of ownership transfer on land;K Financial institutions;1998;3082.0;126.4;2702.0;267.0;384.0;271.0;0.0;0.0;3082.0
5042;Cost of ownership transfer on land;K Financial institutions;1999;3212.0;126.0;3082.0;102.0;315.0;287.0;0.0;0.0;3212.0
5043;Cost of ownership transfer on land;K Financial institutions;2000;3863.0;137.8;3212.0;304.0;674.0;328.0;0.0;0.0;3863.0
5044;Cost of ownership transfer on land;K Financial institutions;2001;4381.0;142.6;3863.0;375.0;521.0;379.0;0.0;0.0;4381.0
5045;Cost of ownership transfer on land;K Financial institutions;2002;4478.0;145.1;4381.0;22.0;466.0;391.0;0.0;0.0;4478.0
5046;Cost of ownership transfer on land;K Financial institutions;2003;4414.0;138.5;4478.0;145.0;195.0;404.0;0.0;0.0;4414.0
5047;Cost of ownership transfer on land;K Financial institutions;2004;4366.0;134.7;4414.0;74.0;281.0;403.0;0.0;0.0;4366.0
5048;Cost of ownership transfer on land;K Financial institutions;2005;4223.0;128.6;4366.0;58.0;200.0;401.0;0.0;0.0;4223.0
5049;Cost of ownership transfer on land;K Financial institutions;2006;4148.0;123.2;4223.0;107.0;219.0;400.0;0.0;0.0;4148.0
5050;Cost of ownership transfer on land;K Financial institutions;2007;4003.0;116.1;4148.0;100.0;152.0;397.0;0.0;0.0;4003.0
5051;Cost of ownership transfer on land;K Financial institutions;2008;3865.0;108.7;4003.0;125.0;131.0;393.0;0.0;0.0;3865.0
5052;Cost of ownership transfer on land;K Financial institutions;2009;3747.0;103.0;3865.0;88.0;179.0;386.0;0.0;0.0;3747.0
5053;Cost of ownership transfer on land;K Financial institutions;2010;3680.0;100.0;3747.0;45.0;266.0;378.0;0.0;0.0;3680.0
5054;Cost of ownership transfer on land;K Financial institutions;2011;3391.0;97.3;3680.0;-195.0;256.0;350.0;0.0;0.0;3391.0
5055;Cost of ownership transfer on land;K Financial institutions;2012;3130.0;98.2;3391.0;-290.0;346.0;317.0;0.0;0.0;3130.0
5056;Cost of ownership transfer on land;K Financial institutions;2013;3064.0;96.0;3130.0;5.0;243.0;314.0;0.0;0.0;3064.0
5057;Cost of ownership transfer on land;K Financial institutions;2014;3079.0;92.2;3064.0;140.0;195.0;320.0;0.0;0.0;3079.0
5058;Cost of ownership transfer on land;K Financial institutions;2015;3026.0;86.1;3079.0;162.0;228.0;327.0;-122.0;6.0;3026.0
5059;Cost of ownership transfer on land;K Financial institutions;2016;3084.0;84.1;3026.0;;;;;;3084.0
5060;Cost of ownership transfer on land;L Renting, buying, selling real estate;1995;3333.0;67.0;3055.0;21.0;443.0;274.0;0.0;88.0;3333.0
5061;Cost of ownership transfer on land;L Renting, buying, selling real estate;1996;3772.0;72.2;3333.0;143.0;573.0;308.0;0.0;31.0;3772.0
5062;Cost of ownership transfer on land;L Renting, buying, selling real estate;1997;4129.0;76.5;3772.0;76.0;565.0;336.0;0.0;52.0;4129.0
5063;Cost of ownership transfer on land;L Renting, buying, selling real estate;1998;4764.0;80.5;4129.0;410.0;491.0;392.0;0.0;126.0;4764.0
5064;Cost of ownership transfer on land;L Renting, buying, selling real estate;1999;5104.0;82.5;4764.0;132.0;620.0;423.0;0.0;11.0;5104.0
5065;Cost of ownership transfer on land;L Renting, buying, selling real estate;2000;5675.0;83.4;5104.0;462.0;310.0;479.0;0.0;277.0;5675.0
5066;Cost of ownership transfer on land;L Renting, buying, selling real estate;2001;6259.0;82.9;5675.0;551.0;389.0;538.0;0.0;182.0;6259.0
5067;Cost of ownership transfer on land;L Renting, buying, selling real estate;2002;6332.0;83.5;6259.0;26.0;386.0;550.0;0.0;210.0;6332.0
5068;Cost of ownership transfer on land;L Renting, buying, selling real estate;2003;6444.0;82.3;6332.0;204.0;466.0;573.0;0.0;15.0;6444.0
5069;Cost of ownership transfer on land;L Renting, buying, selling real estate;2004;6709.0;84.2;6444.0;116.0;748.0;591.0;0.0;-8.0;6709.0
5070;Cost of ownership transfer on land;L Renting, buying, selling real estate;2005;7169.0;88.7;6709.0;97.0;1052.0;621.0;0.0;-69.0;7169.0
5071;Cost of ownership transfer on land;L Renting, buying, selling real estate;2006;7783.0;93.9;7169.0;185.0;1188.0;667.0;0.0;-91.0;7783.0
5072;Cost of ownership transfer on land;L Renting, buying, selling real estate;2007;8420.0;99.1;7783.0;190.0;1151.0;718.0;0.0;14.0;8420.0
5073;Cost of ownership transfer on land;L Renting, buying, selling real estate;2008;8612.0;98.4;8420.0;259.0;988.0;760.0;0.0;-295.0;8612.0
5074;Cost of ownership transfer on land;L Renting, buying, selling real estate;2009;8712.0;97.7;8612.0;157.0;657.0;778.0;0.0;64.0;8712.0
5075;Cost of ownership transfer on land;L Renting, buying, selling real estate;2010;8932.0;100.0;8712.0;18.0;992.0;791.0;0.0;0.0;8932.0
5076;Cost of ownership transfer on land;L Renting, buying, selling real estate;2011;8499.0;104.4;8932.0;-788.0;1099.0;743.0;0.0;0.0;8499.0
5077;Cost of ownership transfer on land;L Renting, buying, selling real estate;2012;7789.0;107.2;8499.0;-916.0;890.0;684.0;0.0;0.0;7789.0
5078;Cost of ownership transfer on land;L Renting, buying, selling real estate;2013;7954.0;110.3;7789.0;-62.0;925.0;698.0;0.0;0.0;7954.0
5079;Cost of ownership transfer on land;L Renting, buying, selling real estate;2014;8922.0;119.9;7954.0;258.0;1466.0;756.0;0.0;0.0;8922.0
5080;Cost of ownership transfer on land;L Renting, buying, selling real estate;2015;10396.0;133.7;8922.0;402.0;1804.0;849.0;122.0;-6.0;10396.0
5081;Cost of ownership transfer on land;L Renting, buying, selling real estate;2016;11677.0;148.7;10396.0;;;;;;11677.0
5082;Cost of ownership transfer on land;M-N Business services;1995;11.0;82.3;10.0;0.0;2.0;1.0;0.0;0.0;11.0
5083;Cost of ownership transfer on land;M-N Business services;1996;12.0;85.5;11.0;1.0;1.0;1.0;0.0;0.0;12.0
5084;Cost of ownership transfer on land;M-N Business services;1997;12.0;82.7;12.0;0.0;1.0;1.0;0.0;0.0;12.0
5085;Cost of ownership transfer on land;M-N Business services;1998;16.0;100.6;12.0;1.0;4.0;1.0;0.0;0.0;16.0
5086;Cost of ownership transfer on land;M-N Business services;1999;20.0;120.3;16.0;2.0;4.0;2.0;0.0;0.0;20.0
5087;Cost of ownership transfer on land;M-N Business services;2000;23.0;125.8;20.0;2.0;3.0;2.0;0.0;0.0;23.0
5088;Cost of ownership transfer on land;M-N Business services;2001;26.0;143.1;23.0;2.0;3.0;2.0;0.0;0.0;26.0
5089;Cost of ownership transfer on land;M-N Business services;2002;25.0;132.5;26.0;1.0;1.0;2.0;0.0;0.0;25.0
5090;Cost of ownership transfer on land;M-N Business services;2003;25.0;127.4;25.0;1.0;1.0;2.0;0.0;0.0;25.0
5091;Cost of ownership transfer on land;M-N Business services;2004;25.0;122.5;25.0;1.0;2.0;2.0;0.0;0.0;25.0
5092;Cost of ownership transfer on land;M-N Business services;2005;25.0;117.8;25.0;1.0;1.0;2.0;0.0;0.0;25.0
5093;Cost of ownership transfer on land;M-N Business services;2006;24.0;108.7;25.0;1.0;1.0;2.0;0.0;0.0;24.0
5094;Cost of ownership transfer on land;M-N Business services;2007;23.0;100.0;24.0;1.0;1.0;2.0;0.0;0.0;23.0
5095;Cost of ownership transfer on land;M-N Business services;2008;24.0;100.0;23.0;1.0;2.0;2.0;0.0;0.0;24.0
5096;Cost of ownership transfer on land;M-N Business services;2009;23.0;95.8;24.0;0.0;1.0;2.0;0.0;0.0;23.0
5097;Cost of ownership transfer on land;M-N Business services;2010;24.0;100.0;23.0;0.0;3.0;2.0;0.0;0.0;24.0
5098;Cost of ownership transfer on land;M-N Business services;2011;19.0;90.5;24.0;-3.0;0.0;2.0;0.0;0.0;19.0
5099;Cost of ownership transfer on land;M-N Business services;2012;15.0;84.8;19.0;-3.0;0.0;2.0;0.0;0.0;15.0
5100;Cost of ownership transfer on land;M-N Business services;2013;13.0;73.5;15.0;0.0;0.0;1.0;0.0;0.0;13.0
5101;Cost of ownership transfer on land;M-N Business services;2014;12.0;67.9;13.0;0.0;0.0;1.0;0.0;0.0;12.0
5102;Cost of ownership transfer on land;M-N Business services;2015;11.0;57.4;12.0;1.0;0.0;1.0;0.0;0.0;11.0
5103;Cost of ownership transfer on land;M-N Business services;2016;10.0;52.2;11.0;;;;;;10.0
5104;Cost of ownership transfer on land;69-71 Management,  technical consultancy;1995;6.0;82.8;6.0;0.0;1.0;1.0;0.0;0.0;6.0
5105;Cost of ownership transfer on land;69-71 Management,  technical consultancy;1996;7.0;92.0;6.0;0.0;1.0;1.0;0.0;0.0;7.0
5106;Cost of ownership transfer on land;69-71 Management,  technical consultancy;1997;7.0;89.1;7.0;0.0;0.0;1.0;0.0;0.0;7.0
5107;Cost of ownership transfer on land;69-71 Management,  technical consultancy;1998;9.0;104.5;7.0;1.0;2.0;1.0;0.0;0.0;9.0
5108;Cost of ownership transfer on land;69-71 Management,  technical consultancy;1999;11.0;122.1;9.0;1.0;2.0;1.0;0.0;0.0;11.0
5109;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2000;12.0;121.1;11.0;1.0;1.0;1.0;0.0;0.0;12.0
5110;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2001;13.0;100.0;12.0;1.0;1.0;1.0;0.0;0.0;13.0
5111;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2002;13.0;100.0;13.0;0.0;1.0;1.0;0.0;0.0;13.0
5112;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2003;13.0;100.0;13.0;0.0;1.0;1.0;0.0;0.0;13.0
5113;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2004;15.0;115.4;13.0;0.0;2.0;1.0;0.0;0.0;15.0
5114;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2005;15.0;115.4;15.0;0.0;1.0;1.0;0.0;0.0;15.0
5115;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2006;15.0;115.4;15.0;0.0;1.0;1.0;0.0;0.0;15.0
5116;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2007;15.0;115.4;15.0;0.0;1.0;1.0;0.0;0.0;15.0
5117;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2008;16.0;123.1;15.0;0.0;2.0;1.0;0.0;0.0;16.0
5118;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2009;14.0;107.7;16.0;0.0;0.0;1.0;0.0;0.0;14.0
5119;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2010;13.0;100.0;14.0;0.0;0.0;1.0;0.0;0.0;13.0
5120;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2011;11.0;91.7;13.0;-1.0;0.0;1.0;0.0;0.0;11.0
5121;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2012;8.0;81.5;11.0;-2.0;0.0;1.0;0.0;0.0;8.0
5122;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2013;7.0;71.3;8.0;0.0;0.0;1.0;0.0;0.0;7.0
5123;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2014;7.0;71.3;7.0;0.0;0.0;1.0;0.0;0.0;7.0
5124;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2015;6.0;61.1;7.0;0.0;0.0;1.0;0.0;0.0;6.0
5125;Cost of ownership transfer on land;69-71 Management,  technical consultancy;2016;6.0;61.1;6.0;;;;;;6.0
5126;Cost of ownership transfer on land;72 Research and development;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5127;Cost of ownership transfer on land;72 Research and development;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5128;Cost of ownership transfer on land;72 Research and development;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5129;Cost of ownership transfer on land;72 Research and development;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5130;Cost of ownership transfer on land;72 Research and development;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5131;Cost of ownership transfer on land;72 Research and development;2000;2.0;131.2;0.0;0.0;2.0;0.0;0.0;0.0;2.0
5132;Cost of ownership transfer on land;72 Research and development;2001;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5133;Cost of ownership transfer on land;72 Research and development;2002;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5134;Cost of ownership transfer on land;72 Research and development;2003;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5135;Cost of ownership transfer on land;72 Research and development;2004;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5136;Cost of ownership transfer on land;72 Research and development;2005;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5137;Cost of ownership transfer on land;72 Research and development;2006;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5138;Cost of ownership transfer on land;72 Research and development;2007;1.0;50.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0
5139;Cost of ownership transfer on land;72 Research and development;2008;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5140;Cost of ownership transfer on land;72 Research and development;2009;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5141;Cost of ownership transfer on land;72 Research and development;2010;2.0;100.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0
5142;Cost of ownership transfer on land;72 Research and development;2011;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5143;Cost of ownership transfer on land;72 Research and development;2012;1.0;50.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0
5144;Cost of ownership transfer on land;72 Research and development;2013;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5145;Cost of ownership transfer on land;72 Research and development;2014;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5146;Cost of ownership transfer on land;72 Research and development;2015;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5147;Cost of ownership transfer on land;72 Research and development;2016;1.0;;1.0;;;;;;1.0
5148;Cost of ownership transfer on land;73-75 Advertising, design and other;1995;2.0;179.5;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5149;Cost of ownership transfer on land;73-75 Advertising, design and other;1996;2.0;170.9;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5150;Cost of ownership transfer on land;73-75 Advertising, design and other;1997;2.0;165.5;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5151;Cost of ownership transfer on land;73-75 Advertising, design and other;1998;2.0;150.9;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5152;Cost of ownership transfer on land;73-75 Advertising, design and other;1999;3.0;216.5;2.0;0.0;1.0;0.0;0.0;0.0;3.0
5153;Cost of ownership transfer on land;73-75 Advertising, design and other;2000;3.0;196.9;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5154;Cost of ownership transfer on land;73-75 Advertising, design and other;2001;4.0;200.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
5155;Cost of ownership transfer on land;73-75 Advertising, design and other;2002;3.0;150.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0
5156;Cost of ownership transfer on land;73-75 Advertising, design and other;2003;3.0;150.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5157;Cost of ownership transfer on land;73-75 Advertising, design and other;2004;3.0;150.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5158;Cost of ownership transfer on land;73-75 Advertising, design and other;2005;3.0;150.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5159;Cost of ownership transfer on land;73-75 Advertising, design and other;2006;3.0;150.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5160;Cost of ownership transfer on land;73-75 Advertising, design and other;2007;2.0;100.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0
5161;Cost of ownership transfer on land;73-75 Advertising, design and other;2008;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5162;Cost of ownership transfer on land;73-75 Advertising, design and other;2009;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5163;Cost of ownership transfer on land;73-75 Advertising, design and other;2010;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
5164;Cost of ownership transfer on land;73-75 Advertising, design and other;2011;1.0;50.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0
5165;Cost of ownership transfer on land;73-75 Advertising, design and other;2012;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5166;Cost of ownership transfer on land;73-75 Advertising, design and other;2013;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5167;Cost of ownership transfer on land;73-75 Advertising, design and other;2014;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5168;Cost of ownership transfer on land;73-75 Advertising, design and other;2015;1.0;50.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5169;Cost of ownership transfer on land;73-75 Advertising, design and other;2016;1.0;50.0;1.0;;;;;;1.0
5170;Cost of ownership transfer on land;N Renting and other business support;1995;3.0;76.9;2.0;0.0;1.0;0.0;0.0;0.0;3.0
5171;Cost of ownership transfer on land;N Renting and other business support;1996;3.0;73.3;3.0;0.0;0.0;0.0;0.0;0.0;3.0
5172;Cost of ownership transfer on land;N Renting and other business support;1997;3.0;70.9;3.0;0.0;1.0;0.0;0.0;0.0;3.0
5173;Cost of ownership transfer on land;N Renting and other business support;1998;5.0;107.8;3.0;0.0;2.0;0.0;0.0;0.0;5.0
5174;Cost of ownership transfer on land;N Renting and other business support;1999;6.0;123.7;5.0;1.0;1.0;1.0;0.0;0.0;6.0
5175;Cost of ownership transfer on land;N Renting and other business support;2000;6.0;112.5;6.0;1.0;0.0;1.0;0.0;0.0;6.0
5176;Cost of ownership transfer on land;N Renting and other business support;2001;7.0;100.0;6.0;1.0;1.0;1.0;0.0;0.0;7.0
5177;Cost of ownership transfer on land;N Renting and other business support;2002;7.0;100.0;7.0;0.0;0.0;1.0;0.0;0.0;7.0
5178;Cost of ownership transfer on land;N Renting and other business support;2003;6.0;85.7;7.0;0.0;0.0;1.0;0.0;0.0;6.0
5179;Cost of ownership transfer on land;N Renting and other business support;2004;6.0;85.7;6.0;0.0;0.0;1.0;0.0;0.0;6.0
5180;Cost of ownership transfer on land;N Renting and other business support;2005;6.0;85.7;6.0;0.0;0.0;1.0;0.0;0.0;6.0
