ID;Periods;Euro95_1;Diesel_2;LPG_3
3754;2016 Tuesday 12 April;1.461;1.076;0.57
3755;2016 Wednesday 13 April;1.465;1.083;0.568
3756;2016 Thursday 14 April;1.471;1.091;0.566
3757;2016 Friday 15 April;1.48;1.095;0.57
3758;2016 Saturday 16 April;1.479;1.092;0.566
3759;2016 Sunday 17 April;1.482;1.092;0.569
3760;2016 Monday 18 April;1.483;1.095;0.567
3761;2016 Tuesday 19 April;1.479;1.095;0.567
3762;2016 Wednesday 20 April;1.475;1.094;0.574
3763;2016 Thursday 21 April;1.474;1.095;0.565
3764;2016 Friday 22 April;1.477;1.103;0.566
3765;2016 Saturday 23 April;1.475;1.105;0.563
3766;2016 Sunday 24 April;1.476;1.106;0.564
3767;2016 Monday 25 April;1.478;1.108;0.566
3768;2016 Tuesday 26 April;1.479;1.11;0.567
3769;2016 Wednesday 27 April;1.477;1.108;0.571
3770;2016 Thursday 28 April;1.477;1.11;0.566
3771;2016 Friday 29 April;1.485;1.119;0.57
3772;2016 Saturday 30 April;1.489;1.122;0.564
3773;2016 Sunday 1 May;1.491;1.123;0.559
3774;2016 Monday 2 May;1.493;1.125;0.568
3775;2016 Tuesday 3 May;1.494;1.126;0.563
3776;2016 Wednesday 4 May;1.493;1.121;0.565
3777;2016 Thursday 5 May;1.486;1.118;0.562
3778;2016 Friday 6 May;1.488;1.12;0.567
3779;2016 Saturday 7 May;1.484;1.114;0.576
3780;2016 Sunday 8 May;1.487;1.114;0.559
3781;2016 Monday 9 May;1.487;1.117;0.561
3782;2016 Tuesday 10 May;1.485;1.111;0.569
3783;2016 Wednesday 11 May;1.479;1.108;0.56
3784;2016 Thursday 12 May;1.475;1.112;0.565
3785;2016 Friday 13 May;1.478;1.122;0.563
3786;2016 Saturday 14 May;1.483;1.124;0.567
3787;2016 Sunday 15 May;1.486;1.126;0.555
3788;2016 Monday 16 May;1.486;1.126;0.554
3789;2016 Tuesday 17 May;1.487;1.128;0.561
3790;2016 Wednesday 18 May;1.492;1.134;0.561
3791;2016 Thursday 19 May;1.499;1.142;0.558
3792;2016 Friday 20 May;1.503;1.145;0.562
3793;2016 Saturday 21 May;1.503;1.144;0.554
3794;2016 Sunday 22 May;1.504;1.144;0.546
3795;2016 Monday 23 May;1.505;1.146;0.559
3796;2016 Tuesday 24 May;1.505;1.152;0.555
3797;2016 Wednesday 25 May;1.51;1.157;0.558
3798;2016 Thursday 26 May;1.518;1.164;0.56
3799;2016 Friday 27 May;1.527;1.171;0.567
3800;2016 Saturday 28 May;1.527;1.172;0.561
3801;2016 Sunday 29 May;1.528;1.173;0.558
3802;2016 Monday 30 May;1.531;1.176;0.566
3803;2016 Tuesday 31 May;1.53;1.177;0.563
3804;2016 Wednesday 1 June;1.528;1.176;0.558
3805;2016 Thursday 2 June;1.526;1.174;0.567
3806;2016 Friday 3 June;1.528;1.175;0.569
3807;2016 Saturday 4 June;1.525;1.17;0.563
3808;2016 Sunday 5 June;1.528;1.171;0.559
3809;2016 Monday 6 June;1.529;1.173;0.562
3810;2016 Tuesday 7 June;1.528;1.171;0.568
3811;2016 Wednesday 8 June;1.522;1.168;0.569
3812;2016 Thursday 9 June;1.517;1.172;0.564
3813;2016 Friday 10 June;1.519;1.175;0.568
3814;2016 Saturday 11 June;1.517;1.174;0.562
3815;2016 Sunday 12 June;1.518;1.174;0.563
3816;2016 Monday 13 June;1.519;1.176;0.572
3817;2016 Tuesday 14 June;1.519;1.176;0.564
3818;2016 Wednesday 15 June;1.518;1.174;0.566
3819;2016 Thursday 16 June;1.516;1.171;0.565
3820;2016 Friday 17 June;1.517;1.169;0.564
3821;2016 Saturday 18 June;1.513;1.164;0.558
3822;2016 Sunday 19 June;1.515;1.165;0.553
3823;2016 Monday 20 June;1.517;1.167;0.566
3824;2016 Tuesday 21 June;1.516;1.169;0.569
3825;2016 Wednesday 22 June;1.517;1.168;0.563
3826;2016 Thursday 23 June;1.517;1.168;0.565
3827;2016 Friday 24 June;1.518;1.17;0.563
3828;2016 Saturday 25 June;1.517;1.166;0.567
3829;2016 Sunday 26 June;1.519;1.166;0.558
3830;2016 Monday 27 June;1.521;1.169;0.568
3831;2016 Tuesday 28 June;1.519;1.168;0.567
3832;2016 Wednesday 29 June;1.516;1.165;0.563
3833;2016 Thursday 30 June;1.515;1.165;0.563
3834;2016 Friday 1 July;1.517;1.168;0.571
3835;2016 Saturday 2 July;1.51;1.161;0.561
3836;2016 Sunday 3 July;1.513;1.162;0.566
3837;2016 Monday 4 July;1.513;1.164;0.561
3838;2016 Tuesday 5 July;1.51;1.161;0.564
3839;2016 Wednesday 6 July;1.502;1.154;0.559
3840;2016 Thursday 7 July;1.495;1.15;0.554
3841;2016 Friday 8 July;1.492;1.15;0.564
3842;2016 Saturday 9 July;1.482;1.143;0.557
3843;2016 Sunday 10 July;1.483;1.143;0.555
3844;2016 Monday 11 July;1.483;1.146;0.555
3845;2016 Tuesday 12 July;1.477;1.14;0.554
3846;2016 Wednesday 13 July;1.471;1.138;0.555
3847;2016 Thursday 14 July;1.469;1.136;0.552
3848;2016 Friday 15 July;1.468;1.136;0.547
3849;2016 Saturday 16 July;1.464;1.131;0.544
3850;2016 Sunday 17 July;1.466;1.132;0.547
3851;2016 Monday 18 July;1.468;1.133;0.551
3852;2016 Tuesday 19 July;1.467;1.13;0.546
3853;2016 Wednesday 20 July;1.466;1.127;0.548
3854;2016 Thursday 21 July;1.465;1.126;0.549
3855;2016 Friday 22 July;1.467;1.13;0.543
3856;2016 Saturday 23 July;1.462;1.126;0.544
3857;2016 Sunday 24 July;1.466;1.126;0.539
3858;2016 Monday 25 July;1.464;1.128;0.54
3859;2016 Tuesday 26 July;1.462;1.123;0.546
3860;2016 Wednesday 27 July;1.459;1.12;0.548
3861;2016 Thursday 28 July;1.456;1.114;0.545
3862;2016 Friday 29 July;1.454;1.111;0.548
3863;2016 Saturday 30 July;1.45;1.101;0.541
3864;2016 Sunday 31 July;1.452;1.102;0.534
3865;2016 Monday 1 August;1.451;1.102;0.541
3866;2016 Tuesday 2 August;1.445;1.1;0.543
3867;2016 Wednesday 3 August;1.445;1.093;0.546
3868;2016 Thursday 4 August;1.443;1.09;0.548
3869;2016 Friday 5 August;1.445;1.089;0.548
3870;2016 Saturday 6 August;1.445;1.088;0.531
3871;2016 Sunday 7 August;1.448;1.089;0.541
3872;2016 Monday 8 August;1.45;1.092;0.542
3873;2016 Tuesday 9 August;1.454;1.098;0.538
3874;2016 Wednesday 10 August;1.453;1.104;0.547
3875;2016 Thursday 11 August;1.455;1.107;0.538
3876;2016 Friday 12 August;1.457;1.109;0.55
3877;2016 Saturday 13 August;1.456;1.108;0.542
3878;2016 Sunday 14 August;1.457;1.11;0.537
3879;2016 Monday 15 August;1.459;1.113;0.543
3880;2016 Tuesday 16 August;1.463;1.12;0.538
3881;2016 Wednesday 17 August;1.465;1.125;0.534
3882;2016 Thursday 18 August;1.464;1.129;0.543
3883;2016 Friday 19 August;1.472;1.135;0.55
3884;2016 Saturday 20 August;1.481;1.142;0.531
3885;2016 Sunday 21 August;1.482;1.143;0.534
3886;2016 Monday 22 August;1.483;1.146;0.535
3887;2016 Tuesday 23 August;1.484;1.147;0.535
3888;2016 Wednesday 24 August;1.484;1.147;0.529
3889;2016 Thursday 25 August;1.483;1.147;0.535
3890;2016 Friday 26 August;1.485;1.148;0.536
3891;2016 Saturday 27 August;1.484;1.146;0.535
3892;2016 Sunday 28 August;1.485;1.147;0.547
3893;2016 Monday 29 August;1.486;1.149;0.539
3894;2016 Tuesday 30 August;1.487;1.15;0.538
3895;2016 Wednesday 31 August;1.492;1.154;0.547
3896;2016 Thursday 1 September;1.491;1.155;0.546
3897;2016 Friday 2 September;1.494;1.157;0.548
3898;2016 Saturday 3 September;1.487;1.149;0.545
3899;2016 Sunday 4 September;1.489;1.151;0.547
3900;2016 Monday 5 September;1.49;1.153;0.545
3901;2016 Tuesday 6 September;1.486;1.153;0.552
3902;2016 Wednesday 7 September;1.489;1.153;0.551
3903;2016 Thursday 8 September;1.488;1.154;0.564
3904;2016 Friday 9 September;1.498;1.156;0.557
3905;2016 Saturday 10 September;1.498;1.154;0.56
3906;2016 Sunday 11 September;1.5;1.155;0.552
3907;2016 Monday 12 September;1.502;1.158;0.555
3908;2016 Tuesday 13 September;1.502;1.156;0.554
3909;2016 Wednesday 14 September;1.501;1.154;0.558
3910;2016 Thursday 15 September;1.499;1.153;0.557
3911;2016 Friday 16 September;1.496;1.15;0.556
3912;2016 Saturday 17 September;1.492;1.145;0.558
3913;2016 Sunday 18 September;1.495;1.147;0.547
3914;2016 Monday 19 September;1.496;1.149;0.556
3915;2016 Tuesday 20 September;1.494;1.148;0.558
3916;2016 Wednesday 21 September;1.492;1.145;0.555
3917;2016 Thursday 22 September;1.49;1.145;0.555
3918;2016 Friday 23 September;1.493;1.147;0.561
3919;2016 Saturday 24 September;1.486;1.145;0.556
3920;2016 Sunday 25 September;1.49;1.147;0.557
3921;2016 Monday 26 September;1.489;1.149;0.558
3922;2016 Tuesday 27 September;1.476;1.135;0.565
3923;2016 Wednesday 28 September;1.477;1.138;0.566
3924;2016 Thursday 29 September;1.475;1.136;0.567
3925;2016 Friday 30 September;1.482;1.144;0.571
3926;2016 Saturday 1 October;1.484;1.151;0.573
3927;2016 Sunday 2 October;1.486;1.153;0.569
3928;2016 Monday 3 October;1.489;1.156;0.571
3929;2016 Tuesday 4 October;1.494;1.165;0.576
3930;2016 Wednesday 5 October;1.501;1.171;0.573
3931;2016 Thursday 6 October;1.509;1.18;0.581
3932;2016 Friday 7 October;1.513;1.185;0.573
3933;2016 Saturday 8 October;1.512;1.183;0.573
3934;2016 Sunday 9 October;1.514;1.184;0.57
3935;2016 Monday 10 October;1.515;1.187;0.58
3936;2016 Tuesday 11 October;1.522;1.194;0.58
3937;2016 Wednesday 12 October;1.523;1.195;0.581
3938;2016 Thursday 13 October;1.522;1.195;0.58
3939;2016 Friday 14 October;1.524;1.196;0.587
3940;2016 Saturday 15 October;1.52;1.192;0.573
3941;2016 Sunday 16 October;1.523;1.192;0.568
3942;2016 Monday 17 October;1.524;1.196;0.577
3943;2016 Tuesday 18 October;1.524;1.2;0.581
3944;2016 Wednesday 19 October;1.524;1.203;0.59
3945;2016 Thursday 20 October;1.523;1.205;0.584
3946;2016 Friday 21 October;1.525;1.206;0.586
3947;2016 Saturday 22 October;1.521;1.203;0.586
3948;2016 Sunday 23 October;1.523;1.204;0.578
3949;2016 Monday 24 October;1.524;1.206;0.585
3950;2016 Tuesday 25 October;1.525;1.211;0.59
3951;2016 Wednesday 26 October;1.528;1.214;0.586
3952;2016 Thursday 27 October;1.529;1.214;0.588
3953;2016 Friday 28 October;1.533;1.216;0.591
3954;2016 Saturday 29 October;1.526;1.212;0.584
3955;2016 Sunday 30 October;1.528;1.213;0.582
3956;2016 Monday 31 October;1.529;1.214;0.589
3957;2016 Tuesday 1 November;1.525;1.211;0.59
3958;2016 Wednesday 2 November;1.522;1.206;0.589
3959;2016 Thursday 3 November;1.514;1.198;0.591
3960;2016 Friday 4 November;1.513;1.192;0.594
3961;2016 Saturday 5 November;1.504;1.184;0.59
3962;2016 Sunday 6 November;1.507;1.185;0.59
3963;2016 Monday 7 November;1.508;1.188;0.584
3964;2016 Tuesday 8 November;1.505;1.183;0.597
3965;2016 Wednesday 9 November;1.502;1.177;0.593
3966;2016 Thursday 10 November;1.495;1.176;0.598
3967;2016 Friday 11 November;1.495;1.177;0.597
3968;2016 Saturday 12 November;1.491;1.172;0.592
3969;2016 Sunday 13 November;1.491;1.173;0.585
3970;2016 Monday 14 November;1.494;1.176;0.591
3971;2016 Tuesday 15 November;1.488;1.172;0.592
3972;2016 Wednesday 16 November;1.485;1.168;0.598
3973;2016 Thursday 17 November;1.482;1.166;0.597
3974;2016 Friday 18 November;1.489;1.172;0.601
3975;2016 Saturday 19 November;1.489;1.173;0.599
3976;2016 Sunday 20 November;1.492;1.174;0.6
3977;2016 Monday 21 November;1.493;1.177;0.601
3978;2016 Tuesday 22 November;1.495;1.186;0.605
3979;2016 Wednesday 23 November;1.499;1.191;0.596
3980;2016 Thursday 24 November;1.499;1.197;0.605
3981;2016 Friday 25 November;1.506;1.201;0.606
3982;2016 Saturday 26 November;1.508;1.2;0.601
3983;2016 Sunday 27 November;1.511;1.203;0.603
3984;2016 Monday 28 November;1.513;1.205;0.605
3985;2016 Tuesday 29 November;1.512;1.205;0.599
3986;2016 Wednesday 30 November;1.511;1.2;0.602
3987;2016 Thursday 1 December;1.511;1.199;0.609
3988;2016 Friday 2 December;1.524;1.211;0.61
3989;2016 Saturday 3 December;1.529;1.214;0.611
3990;2016 Sunday 4 December;1.531;1.215;0.608
3991;2016 Monday 5 December;1.533;1.219;0.616
3992;2016 Tuesday 6 December;1.54;1.226;0.626
3993;2016 Wednesday 7 December;1.54;1.226;0.624
3994;2016 Thursday 8 December;1.54;1.225;0.626
3995;2016 Friday 9 December;1.542;1.227;0.631
3996;2016 Saturday 10 December;1.539;1.225;0.625
3997;2016 Sunday 11 December;1.542;1.226;0.625
3998;2016 Monday 12 December;1.543;1.229;0.623
3999;2016 Tuesday 13 December;1.551;1.235;0.626
4000;2016 Wednesday 14 December;1.554;1.242;0.626
4001;2016 Thursday 15 December;1.552;1.244;0.634
4002;2016 Friday 16 December;1.554;1.245;0.633
4003;2016 Saturday 17 December;1.552;1.242;0.627
4004;2016 Sunday 18 December;1.555;1.244;0.628
4005;2016 Monday 19 December;1.557;1.247;0.626
4006;2016 Tuesday 20 December;1.555;1.247;0.634
4007;2016 Wednesday 21 December;1.559;1.251;0.633
4008;2016 Thursday 22 December;1.56;1.253;0.636
4009;2016 Friday 23 December;1.564;1.255;0.638
4010;2016 Saturday 24 December;1.559;1.249;0.643
4011;2016 Sunday 25 December;1.56;1.251;0.627
4012;2016 Monday 26 December;1.562;1.252;0.632
4013;2016 Tuesday 27 December;1.561;1.252;0.635
4014;2016 Wednesday 28 December;1.557;1.249;0.645
4015;2016 Thursday 29 December;1.558;1.253;0.642
4016;2016 Friday 30 December;1.563;1.257;0.642
4017;2016 Saturday 31 December;1.564;1.256;0.643
4018;2017 Sunday 1 January;1.563;1.256;0.635
4019;2017 Monday 2 January;1.564;1.258;0.639
4020;2017 Tuesday 3 January;1.565;1.26;0.634
4021;2017 Wednesday 4 January;1.568;1.263;0.649
4022;2017 Thursday 5 January;1.569;1.263;0.641
4023;2017 Friday 6 January;1.572;1.264;0.648
4024;2017 Saturday 7 January;1.57;1.257;0.642
4025;2017 Sunday 8 January;1.571;1.259;0.64
4026;2017 Monday 9 January;1.573;1.26;0.648
4027;2017 Tuesday 10 January;1.572;1.257;0.646
4028;2017 Wednesday 11 January;1.568;1.249;0.645
4029;2017 Thursday 12 January;1.563;1.245;0.644
4030;2017 Friday 13 January;1.564;1.245;0.654
4031;2017 Saturday 14 January;1.561;1.242;0.658
4032;2017 Sunday 15 January;1.564;1.243;0.645
4033;2017 Monday 16 January;1.565;1.246;0.652
4034;2017 Tuesday 17 January;1.567;1.246;0.654
4035;2017 Wednesday 18 January;1.57;1.245;0.658
4036;2017 Thursday 19 January;1.57;1.24;0.662
4037;2017 Friday 20 January;1.571;1.241;0.664
4038;2017 Saturday 21 January;1.567;1.237;0.66
4039;2017 Sunday 22 January;1.569;1.238;0.665
4040;2017 Monday 23 January;1.571;1.24;0.66
4041;2017 Tuesday 24 January;1.569;1.237;0.666
4042;2017 Wednesday 25 January;1.569;1.235;0.659
4043;2017 Thursday 26 January;1.568;1.235;0.661
4044;2017 Friday 27 January;1.57;1.237;0.664
4045;2017 Saturday 28 January;1.568;1.231;0.665
4046;2017 Sunday 29 January;1.571;1.232;0.655
4047;2017 Monday 30 January;1.571;1.234;0.666
4048;2017 Tuesday 31 January;1.563;1.225;0.668
4049;2017 Wednesday 1 February;1.564;1.229;0.661
4050;2017 Thursday 2 February;1.568;1.232;0.665
4051;2017 Friday 3 February;1.578;1.241;0.665
4052;2017 Saturday 4 February;1.577;1.241;0.671
4053;2017 Sunday 5 February;1.58;1.242;0.661
4054;2017 Monday 6 February;1.581;1.245;0.666
4055;2017 Tuesday 7 February;1.582;1.245;0.664
4056;2017 Wednesday 8 February;1.578;1.242;0.674
4057;2017 Thursday 9 February;1.578;1.242;0.669
4058;2017 Friday 10 February;1.58;1.243;0.665
4059;2017 Saturday 11 February;1.581;1.244;0.681
4060;2017 Sunday 12 February;1.582;1.245;0.674
4061;2017 Monday 13 February;1.585;1.249;0.68
4062;2017 Tuesday 14 February;1.589;1.251;0.674
4063;2017 Wednesday 15 February;1.588;1.251;0.678
4064;2017 Thursday 16 February;1.587;1.251;0.675
4065;2017 Friday 17 February;1.59;1.253;0.682
4066;2017 Saturday 18 February;1.587;1.25;0.68
4067;2017 Sunday 19 February;1.59;1.25;0.675
4068;2017 Monday 20 February;1.59;1.253;0.686
4069;2017 Tuesday 21 February;1.591;1.255;0.677
4070;2017 Wednesday 22 February;1.589;1.253;0.68
4071;2017 Thursday 23 February;1.588;1.253;0.682
4072;2017 Friday 24 February;1.59;1.254;0.687
4073;2017 Saturday 25 February;1.587;1.248;0.689
4074;2017 Sunday 26 February;1.588;1.249;0.683
4075;2017 Monday 27 February;1.59;1.251;0.679
4076;2017 Tuesday 28 February;1.589;1.25;0.68
4077;2017 Wednesday 1 March;1.588;1.245;0.678
4078;2017 Thursday 2 March;1.584;1.246;0.682
4079;2017 Friday 3 March;1.582;1.245;0.688
4080;2017 Saturday 4 March;1.575;1.242;0.684
4081;2017 Sunday 5 March;1.576;1.243;0.686
4082;2017 Monday 6 March;1.577;1.245;0.689
4083;2017 Tuesday 7 March;1.572;1.245;0.684
4084;2017 Wednesday 8 March;1.569;1.243;0.692
4085;2017 Thursday 9 March;1.568;1.243;0.681
4086;2017 Friday 10 March;1.565;1.239;0.685
4087;2017 Saturday 11 March;1.56;1.233;0.686
4088;2017 Sunday 12 March;1.561;1.234;0.683
4089;2017 Monday 13 March;1.561;1.237;0.685
4090;2017 Tuesday 14 March;1.557;1.232;0.689
4091;2017 Wednesday 15 March;1.552;1.226;0.686
4092;2017 Thursday 16 March;1.546;1.226;0.673
4093;2017 Friday 17 March;1.544;1.226;0.675
4094;2017 Saturday 18 March;1.535;1.219;0.679
4095;2017 Sunday 19 March;1.537;1.218;0.672
4096;2017 Monday 20 March;1.539;1.222;0.675
4097;2017 Tuesday 21 March;1.533;1.217;0.67
4098;2017 Wednesday 22 March;1.53;1.215;0.661
4099;2017 Thursday 23 March;1.523;1.209;0.663
4100;2017 Friday 24 March;1.522;1.207;0.66
4101;2017 Saturday 25 March;1.522;1.203;0.665
4102;2017 Sunday 26 March;1.524;1.205;0.656
4103;2017 Monday 27 March;1.525;1.207;0.655
4104;2017 Tuesday 28 March;1.53;1.203;0.655
4105;2017 Wednesday 29 March;1.529;1.197;0.646
4106;2017 Thursday 30 March;1.533;1.199;0.646
4107;2017 Friday 31 March;1.541;1.204;0.649
4108;2017 Saturday 1 April;1.547;1.205;0.651
4109;2017 Sunday 2 April;1.549;1.206;0.638
4110;2017 Monday 3 April;1.551;1.209;0.643
4111;2017 Tuesday 4 April;1.56;1.215;0.645
4112;2017 Wednesday 5 April;1.562;1.214;0.646
4113;2017 Thursday 6 April;1.567;1.222;0.644
4114;2017 Friday 7 April;1.571;1.224;0.645
4115;2017 Saturday 8 April;1.577;1.228;0.637
4116;2017 Sunday 9 April;1.575;1.226;0.641
4117;2017 Monday 10 April;1.581;1.232;0.641
4118;2017 Tuesday 11 April;1.589;1.24;0.631
4119;2017 Wednesday 12 April;1.591;1.243;0.63
4120;2017 Thursday 13 April;1.595;1.249;0.631
4121;2017 Friday 14 April;1.599;1.253;0.632
4122;2017 Saturday 15 April;1.597;1.25;0.628
4123;2017 Sunday 16 April;1.597;1.247;0.636
4124;2017 Monday 17 April;1.6;1.252;0.63
4125;2017 Tuesday 18 April;1.6;1.253;0.629
4126;2017 Wednesday 19 April;1.6;1.252;0.632
4127;2017 Thursday 20 April;1.596;1.253;0.631
4128;2017 Friday 21 April;1.597;1.253;0.631
4129;2017 Saturday 22 April;1.592;1.246;0.632
4130;2017 Sunday 23 April;1.593;1.247;0.625
4131;2017 Monday 24 April;1.595;1.249;0.634
4132;2017 Tuesday 25 April;1.586;1.242;0.62
4133;2017 Wednesday 26 April;1.576;1.231;0.616
4134;2017 Thursday 27 April;1.565;1.22;0.616
4135;2017 Friday 28 April;1.566;1.219;0.608
4136;2017 Saturday 29 April;1.56;1.212;0.607
4137;2017 Sunday 30 April;1.558;1.208;0.608
4138;2017 Monday 1 May;1.562;1.214;0.608
4139;2017 Tuesday 2 May;1.555;1.206;0.604
4140;2017 Wednesday 3 May;1.55;1.198;0.596
4141;2017 Thursday 4 May;1.543;1.193;0.596
4142;2017 Friday 5 May;1.542;1.189;0.592
4143;2017 Saturday 6 May;1.533;1.179;0.587
4144;2017 Sunday 7 May;1.535;1.18;0.577
4145;2017 Monday 8 May;1.535;1.182;0.584
4146;2017 Tuesday 9 May;1.533;1.179;0.59
4147;2017 Wednesday 10 May;1.531;1.178;0.584
4148;2017 Thursday 11 May;1.531;1.177;0.584
4149;2017 Friday 12 May;1.535;1.185;0.578
4150;2017 Saturday 13 May;1.535;1.183;0.581
4151;2017 Sunday 14 May;1.534;1.181;0.583
4152;2017 Monday 15 May;1.538;1.187;0.589
4153;2017 Tuesday 16 May;1.542;1.191;0.586
4154;2017 Wednesday 17 May;1.543;1.188;0.583
4155;2017 Thursday 18 May;1.541;1.188;0.583
4156;2017 Friday 19 May;1.543;1.189;0.58
4157;2017 Saturday 20 May;1.54;1.19;0.582
4158;2017 Sunday 21 May;1.542;1.191;0.583
4159;2017 Monday 22 May;1.542;1.194;0.584
4160;2017 Tuesday 23 May;1.541;1.191;0.587
4161;2017 Wednesday 24 May;1.545;1.196;0.583
4162;2017 Thursday 25 May;1.548;1.2;0.581
4163;2017 Friday 26 May;1.549;1.202;0.578
4164;2017 Saturday 27 May;1.544;1.196;0.585
4165;2017 Sunday 28 May;1.543;1.193;0.581
4166;2017 Monday 29 May;1.546;1.199;0.588
4167;2017 Tuesday 30 May;1.543;1.197;0.586
4168;2017 Wednesday 31 May;1.541;1.195;0.585
4169;2017 Thursday 1 June;1.54;1.191;0.584
4170;2017 Friday 2 June;1.541;1.188;0.592
4171;2017 Saturday 3 June;1.537;1.18;0.592
4172;2017 Sunday 4 June;1.538;1.181;0.585
4173;2017 Monday 5 June;1.539;1.181;0.587
4174;2017 Tuesday 6 June;1.539;1.183;0.584
4175;2017 Wednesday 7 June;1.532;1.175;0.588
4176;2017 Thursday 8 June;1.531;1.171;0.583
4177;2017 Friday 9 June;1.528;1.167;0.581
4178;2017 Saturday 10 June;1.524;1.16;0.586
4179;2017 Sunday 11 June;1.522;1.158;0.579
4180;2017 Monday 12 June;1.526;1.164;0.582
4181;2017 Tuesday 13 June;1.525;1.162;0.58
4182;2017 Wednesday 14 June;1.524;1.159;0.584
4183;2017 Thursday 15 June;1.522;1.16;0.584
4184;2017 Friday 16 June;1.524;1.161;0.589
4185;2017 Saturday 17 June;1.519;1.157;0.578
4186;2017 Sunday 18 June;1.522;1.16;0.578
4187;2017 Monday 19 June;1.521;1.162;0.584
4188;2017 Tuesday 20 June;1.521;1.162;0.584
4189;2017 Wednesday 21 June;1.517;1.156;0.576
4190;2017 Thursday 22 June;1.508;1.151;0.574
4191;2017 Friday 23 June;1.505;1.147;0.579
4192;2017 Saturday 24 June;1.5;1.141;0.575
4193;2017 Sunday 25 June;1.499;1.139;0.577
4194;2017 Monday 26 June;1.503;1.146;0.573
4195;2017 Tuesday 27 June;1.503;1.144;0.576
4196;2017 Wednesday 28 June;1.501;1.142;0.568
4197;2017 Thursday 29 June;1.5;1.145;0.571
4198;2017 Friday 30 June;1.504;1.152;0.568
4199;2017 Saturday 1 July;1.501;1.15;0.57
4200;2017 Sunday 2 July;1.503;1.153;0.571
4201;2017 Monday 3 July;1.505;1.155;0.569
4202;2017 Tuesday 4 July;1.509;1.16;0.57
4203;2017 Wednesday 5 July;1.511;1.165;0.567
4204;2017 Thursday 6 July;1.511;1.167;0.57
4205;2017 Friday 7 July;1.513;1.169;0.565
4206;2017 Saturday 8 July;1.509;1.162;0.566
4207;2017 Sunday 9 July;1.508;1.16;0.561
4208;2017 Monday 10 July;1.512;1.165;0.562
4209;2017 Tuesday 11 July;1.509;1.161;0.56
4210;2017 Wednesday 12 July;1.504;1.156;0.558
4211;2017 Thursday 13 July;1.501;1.16;0.562
4212;2017 Friday 14 July;1.506;1.164;0.559
4213;2017 Saturday 15 July;1.503;1.165;0.554
4214;2017 Sunday 16 July;1.503;1.163;0.554
4215;2017 Monday 17 July;1.506;1.17;0.562
4216;2017 Tuesday 18 July;1.511;1.173;0.556
4217;2017 Wednesday 19 July;1.511;1.172;0.552
4218;2017 Thursday 20 July;1.511;1.172;0.558
4219;2017 Friday 21 July;1.519;1.182;0.557
4220;2017 Saturday 22 July;1.518;1.179;0.559
4221;2017 Sunday 23 July;1.52;1.182;0.555
4222;2017 Monday 24 July;1.522;1.184;0.555
4223;2017 Tuesday 25 July;1.522;1.183;0.557
4224;2017 Wednesday 26 July;1.516;1.177;0.565
4225;2017 Thursday 27 July;1.513;1.175;0.561
4226;2017 Friday 28 July;1.515;1.182;0.565
4227;2017 Saturday 29 July;1.518;1.182;0.568
4228;2017 Sunday 30 July;1.519;1.181;0.558
4229;2017 Monday 31 July;1.522;1.187;0.558
4230;2017 Tuesday 1 August;1.529;1.192;0.567
4231;2017 Wednesday 2 August;1.531;1.192;0.574
4232;2017 Thursday 3 August;1.529;1.192;0.567
4233;2017 Friday 4 August;1.531;1.194;0.57
4234;2017 Saturday 5 August;1.528;1.19;0.572
4235;2017 Sunday 6 August;1.53;1.191;0.571
4236;2017 Monday 7 August;1.53;1.195;0.57
4237;2017 Tuesday 8 August;1.532;1.194;0.58
4238;2017 Wednesday 9 August;1.531;1.193;0.584
4239;2017 Thursday 10 August;1.53;1.192;0.581
4240;2017 Friday 11 August;1.533;1.198;0.585
4241;2017 Saturday 12 August;1.531;1.197;0.582
4242;2017 Sunday 13 August;1.533;1.198;0.588
4243;2017 Monday 14 August;1.534;1.2;0.591
4244;2017 Tuesday 15 August;1.533;1.198;0.585
4245;2017 Wednesday 16 August;1.527;1.191;0.585
4246;2017 Thursday 17 August;1.523;1.187;0.589
4247;2017 Friday 18 August;1.523;1.186;0.586
4248;2017 Saturday 19 August;1.519;1.18;0.593
4249;2017 Sunday 20 August;1.521;1.182;0.595
4250;2017 Monday 21 August;1.522;1.185;0.589
4251;2017 Tuesday 22 August;1.524;1.185;0.591
4252;2017 Wednesday 23 August;1.524;1.183;0.588
4253;2017 Thursday 24 August;1.523;1.184;0.593
4254;2017 Friday 25 August;1.531;1.191;0.597
4255;2017 Saturday 26 August;1.535;1.191;0.6
4256;2017 Sunday 27 August;1.534;1.189;0.597
4257;2017 Monday 28 August;1.538;1.195;0.597
4258;2017 Tuesday 29 August;1.541;1.196;0.596
4259;2017 Wednesday 30 August;1.539;1.194;0.6
4260;2017 Thursday 31 August;1.539;1.194;0.6
4261;2017 Friday 1 September;1.551;1.196;0.598
4262;2017 Saturday 2 September;1.559;1.197;0.611
4263;2017 Sunday 3 September;1.559;1.195;0.603
4264;2017 Monday 4 September;1.565;1.202;0.611
4265;2017 Tuesday 5 September;1.567;1.204;0.608
4266;2017 Wednesday 6 September;1.564;1.203;0.609
4267;2017 Thursday 7 September;1.568;1.208;0.613
4268;2017 Friday 8 September;1.577;1.219;0.614
4269;2017 Saturday 9 September;1.576;1.217;0.623
4270;2017 Sunday 10 September;1.578;1.22;0.61
