ID;Sources;Periods;CO2_1;NMVOC_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
490;A,E,G-U Other sources (stationary);2008;25000;101.2;701.2;0.5;22.93;10.4;59.2;127.5;6.98;0.9
491;A,E,G-U Other sources (stationary);2009;25900;109.7;700.1;0.5;22.11;10.4;57.5;123.7;6.84;0.89
492;A,E,G-U Other sources (stationary);2010;28800;114.0;690.5;0.6;22.04;11.7;55.9;121.1;6.94;0.9
493;A,E,G-U Other sources (stationary);2011;26200;114.0;672.2;0.7;21.32;10.5;52.8;119.0;7.42;0.9
494;A,E,G-U Other sources (stationary);2012;27400;112.6;657.2;0.5;20.67;10.3;51.4;113.5;7.24;0.91
495;A,E,G-U Other sources (stationary);2013;27400;114.1;659.4;0.4;21.4;10.2;52.1;110.7;7.24;0.92
496;A,E,G-U Other sources (stationary);2014;24400;105.4;647.3;0.4;21.69;8.7;49.6;115.1;7.36;0.91
497;A,E,G-U Other sources (stationary);2015;25300;117.7;655.3;0.5;22.3;9.3;52.3;116.6;7.24;0.94
498;A,E,G-U Other sources (stationary);2016;25600;121.1;659.9;1.3;22.01;9.4;51.2;117.2;7.09;0.93
499;A,E,G-U Other sources (stationary);2017;25600;120.7;650.8;1.1;22.59;10.0;49.3;119.4;6.86;0.92
500;A,E,G-U Other sources (stationary);2018;25400;117.4;630.4;0.7;22.34;10.2;48.4;117.1;6.62;0.91
501;A,E,G-U Other sources (stationary);2019;24700;115.4;626.0;0.6;21.94;10.3;46.4;112.1;6.52;0.93
502;A,E,G-U Other sources (stationary);2020;23800;115.4;616.1;0.6;21.99;10.2;45.1;111.2;6.33;0.93
503;A,E,G-U Other sources (stationary);2021;24500;113.9;607.3;0.7;21.43;10.8;44.5;109.9;6.13;0.93
504;01 Agriculture;1990;8000;97.7;583.9;0.0;32.11;2.1;58.8;328.1;4.83;0.57
505;01 Agriculture;1995;8400;66.3;561.1;0.0;31.75;2.5;58.9;202.9;4.85;0.57
506;01 Agriculture;2000;7700;71.4;494.1;0.0;25.51;2.4;50.6;158.2;5.34;0.6
507;01 Agriculture;2001;7500;69.5;490.2;0.0;24.36;2.3;47.7;150.4;5.42;0.6
508;01 Agriculture;2002;7000;68.1;464.7;0.0;22.32;2.1;45.3;143.3;5.3;0.58
509;01 Agriculture;2003;7100;75.3;456.1;0.0;21.84;2.3;45.2;140.1;4.61;0.5
510;01 Agriculture;2004;7300;69.0;456.0;0.0;21.11;2.5;45.4;139.1;5.07;0.55
511;01 Agriculture;2005;7600;67.9;455.6;0.0;20.76;3.0;46.1;137.0;5.33;0.57
512;01 Agriculture;2006;7100;69.4;460.8;0.0;21.26;3.5;47.4;140.8;5.29;0.56
513;01 Agriculture;2007;7700;73.0;477.4;0.0;20.24;4.5;48.2;137.6;5.66;0.6
514;01 Agriculture;2008;8600;76.3;496.7;0.0;19.77;5.9;50.2;125.7;5.85;0.62
515;01 Agriculture;2009;8800;86.4;504.5;0.0;18.98;6.0;48.5;121.9;5.9;0.62
516;01 Agriculture;2010;10400;87.8;508.2;0.1;18.92;7.2;46.0;119.3;5.98;0.63
517;01 Agriculture;2011;9300;88.2;501.1;0.1;18.14;6.7;44.0;117.1;6.47;0.64
518;01 Agriculture;2012;9400;87.5;495.5;0.1;17.51;6.4;42.7;111.7;6.3;0.63
519;01 Agriculture;2013;9200;89.8;505.9;0.1;18.29;6.4;43.6;109.0;6.25;0.64
520;01 Agriculture;2014;7900;81.1;503.5;0.1;18.55;5.3;42.0;113.4;6.36;0.64
521;01 Agriculture;2015;8300;93.4;521.9;0.1;19.13;5.8;44.4;114.9;6.22;0.64
522;01 Agriculture;2016;8300;97.2;533.5;0.1;18.7;5.6;43.6;115.3;6.13;0.64
523;01 Agriculture;2017;8400;96.2;532.5;0.1;19.28;6.0;41.7;117.5;5.93;0.63
524;01 Agriculture;2018;8800;92.6;515.8;0.1;19.02;6.4;41.4;115.3;5.69;0.62
525;01 Agriculture;2019;8800;90.7;515.9;0.1;18.63;6.8;39.5;110.3;5.52;0.61
526;01 Agriculture;2020;8500;89.8;512.4;0.1;18.68;6.8;38.6;109.3;5.42;0.62
527;01 Agriculture;2021;8900;89.4;507.5;0.1;18.12;7.3;38.1;107.9;5.22;0.61
528;E Water supply and waste management;1990;5000;1.9;560.4;4.6;2.66;4.0;6.2;0.0;0.9;0.85
529;E Water supply and waste management;1995;5500;2.6;491.8;0.6;2.93;2.7;3.3;1.0;0.1;0.09
530;E Water supply and waste management;2000;7400;1.7;382.2;0.2;2.99;2.7;3.0;1.2;0.04;0.03
531;E Water supply and waste management;2001;7200;1.8;360.5;0.2;3.0;2.6;2.6;1.2;0.03;0.03
532;E Water supply and waste management;2002;7300;1.6;341.7;0.2;3.01;2.3;2.4;1.2;0.03;0.03
533;E Water supply and waste management;2003;7300;1.4;319.5;0.2;2.93;2.8;2.2;1.1;0.04;0.04
534;E Water supply and waste management;2004;7500;1.4;306.3;0.2;2.96;2.4;2.2;1.2;0.06;0.06
535;E Water supply and waste management;2005;7500;1.3;245.9;0.2;2.98;2.1;2.7;1.2;0.05;0.05
536;E Water supply and waste management;2006;7500;1.2;228.2;0.3;2.98;2.0;2.7;1.2;0.18;0.1
537;E Water supply and waste management;2007;7800;1.2;212.8;0.3;3.03;2.1;2.9;1.3;0.05;0.05
538;E Water supply and waste management;2008;8000;1.1;199.3;0.3;3.06;2.2;3.3;1.3;0.06;0.05
539;E Water supply and waste management;2009;8600;1.1;190.9;0.4;3.03;2.0;3.6;1.3;0.06;0.06
540;E Water supply and waste management;2010;8600;0.9;177.9;0.4;3.02;1.9;3.7;1.2;0.05;0.05
541;E Water supply and waste management;2011;9100;0.9;167.0;0.5;3.07;1.8;4.3;1.2;0.05;0.05
542;E Water supply and waste management;2012;9400;0.8;157.7;0.3;3.07;1.6;3.9;1.3;0.07;0.07
543;E Water supply and waste management;2013;9600;0.7;149.6;0.3;3.02;1.5;3.9;1.2;0.07;0.06
544;E Water supply and waste management;2014;9600;0.7;140.1;0.3;3.06;1.5;4.0;1.2;0.06;0.05
545;E Water supply and waste management;2015;9600;0.7;131.8;0.3;3.11;1.5;4.2;1.1;0.08;0.07
546;E Water supply and waste management;2016;9800;0.6;124.8;1.2;3.25;1.8;4.1;1.3;0.06;0.06
547;E Water supply and waste management;2017;9700;0.6;116.7;0.9;3.26;1.8;4.1;1.3;0.05;0.05
548;E Water supply and waste management;2018;9400;0.6;113.0;0.5;3.26;1.7;3.9;1.3;0.05;0.05
549;E Water supply and waste management;2019;9200;0.6;108.5;0.4;3.26;1.6;4.0;1.2;0.06;0.05
550;E Water supply and waste management;2020;9200;0.6;102.2;0.4;3.26;1.8;4.0;1.3;0.06;0.05
551;E Water supply and waste management;2021;9000;0.6;98.2;0.5;3.27;1.7;3.8;1.4;0.06;0.05
552;G-U Services;1990;8000;53.5;1.7;0.8;0.67;2.4;11.3;0.5;1.73;0.38
553;G-U Services;1995;8600;33.8;4.3;0.3;0.53;2.4;11.4;0.5;1.26;0.27
554;G-U Services;2000;8000;20.7;6.0;0.2;0.34;2.2;10.4;0.5;1.15;0.24
555;G-U Services;2001;8600;20.3;5.3;0.2;0.28;2.4;10.1;0.5;1.13;0.25
556;G-U Services;2002;8200;19.5;5.1;0.1;0.21;2.3;8.9;0.6;0.98;0.22
557;G-U Services;2003;8900;19.4;5.3;0.2;0.19;2.5;8.9;0.6;0.91;0.22
558;G-U Services;2004;9600;18.6;4.9;0.1;0.19;2.6;8.2;0.6;0.89;0.21
559;G-U Services;2005;8600;23.5;4.9;0.1;0.15;2.2;6.3;0.6;1.0;0.23
560;G-U Services;2006;8600;23.4;4.7;0.1;0.14;2.4;6.3;0.6;0.93;0.21
561;G-U Services;2007;7700;24.1;4.9;0.1;0.11;2.1;5.4;0.6;1.0;0.22
562;G-U Services;2008;8400;23.8;5.3;0.1;0.1;2.3;5.7;0.6;1.07;0.23
563;G-U Services;2009;8500;22.3;4.8;0.1;0.1;2.3;5.5;0.6;0.88;0.21
564;G-U Services;2010;9800;25.2;4.4;0.1;0.09;2.6;6.2;0.6;0.91;0.22
565;G-U Services;2011;7700;25.0;4.1;0.1;0.11;2.0;4.5;0.6;0.9;0.21
566;G-U Services;2012;8700;24.3;4.0;0.1;0.08;2.3;4.7;0.6;0.87;0.21
567;G-U Services;2013;8700;23.5;3.9;0.1;0.09;2.3;4.7;0.6;0.93;0.22
568;G-U Services;2014;6900;23.7;3.8;0.1;0.07;1.9;3.6;0.6;0.95;0.22
569;G-U Services;2015;7400;23.6;1.6;0.1;0.06;2.0;3.7;0.6;0.94;0.22
570;G-U Services;2016;7500;23.3;1.6;0.1;0.06;2.0;3.5;0.6;0.9;0.24
571;G-U Services;2017;7500;24.0;1.7;0.1;0.05;2.1;3.4;0.6;0.88;0.24
572;G-U Services;2018;7300;24.1;1.6;0.1;0.05;2.1;3.2;0.6;0.87;0.25
573;G-U Services;2019;6800;24.2;1.6;0.1;0.05;1.8;2.9;0.6;0.94;0.27
574;G-U Services;2020;6100;25.0;1.5;0.1;0.05;1.6;2.6;0.6;0.84;0.26
575;G-U Services;2021;6500;23.9;1.5;0.1;0.05;1.8;2.7;0.6;0.85;0.27
