ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;PersonnelCosts_10;TotalOtherBusinessCosts_11;EnergyCosts_12;HousingCosts_13;EquipmentAndInventoryCosts_14;TransportCosts_15;SalesCosts_16;CommunicationCosts_17;ServicesProvidedByThirdParties_18;BusinessCostsNotElsewhereClassified_19;DepreciationFixedAssets_20;ProfitLoss_21;ProfitLossBeforeTax_22
255;514 Wholesale of other consumer goods;2006;108.0;93.0;96.4;83.6;62133.0;61583.0;550.0;58633.0;46079.0;4544.0;7440.0;86.0;639.0;109.0;390.0;2939.0;255.0;1113.0;1910.0;570.0;3499.0;3273.0
256;514 Wholesale of other consumer goods;2007;114.3;98.5;101.5;87.8;72068.0;71107.0;961.0;67806.0;54418.0;4918.0;7951.0;86.0;722.0;104.0;404.0;2759.0;180.0;1376.0;2320.0;519.0;4261.0;4953.0
257;514 Wholesale of other consumer goods;2008;120.0;103.3;105.8;91.0;76854.0;76079.0;775.0;72477.0;58081.0;5265.0;8574.0;96.0;774.0;117.0;438.0;2865.0;187.0;1366.0;2731.0;556.0;4378.0;4744.0
258;5141a Wholesale in rest of other ..;2006;62.7;53.5;55.5;47.9;27389.0;27131.0;258.0;25858.0;19743.0;2383.0;3433.0;55.0;407.0;65.0;204.0;1069.0;100.0;636.0;897.0;300.0;1531.0;1656.0
259;5141a Wholesale in rest of other ..;2007;66.4;56.9;58.7;50.7;32768.0;32187.0;580.0;30779.0;23982.0;2564.0;3967.0;54.0;431.0;62.0;205.0;1419.0;98.0;753.0;946.0;266.0;1989.0;2997.0
260;5141a Wholesale in rest of other ..;2008;68.4;58.4;60.0;51.2;33907.0;33597.0;310.0;32189.0;25003.0;2676.0;4216.0;59.0;461.0;70.0;229.0;1390.0;103.0;647.0;1258.0;295.0;1717.0;2490.0
261;5142 Wholesale, clothing/footwear/..;2006;19.4;16.8;17.1;14.7;11319.0;11234.0;85.0;10471.0;7370.0;793.0;2192.0;16.0;124.0;17.0;45.0;1296.0;103.0;202.0;388.0;117.0;848.0;892.0
262;5142 Wholesale, clothing/footwear/..;2007;21.2;18.3;18.8;16.0;11955.0;11845.0;111.0;10816.0;7731.0;866.0;2114.0;14.0;165.0;14.0;53.0;749.0;31.0;306.0;782.0;104.0;1139.0;1006.0
263;5142 Wholesale, clothing/footwear/..;2008;22.2;19.1;19.4;16.6;12741.0;12634.0;108.0;11549.0;8185.0;940.0;2315.0;16.0;172.0;14.0;58.0;837.0;30.0;339.0;850.0;110.0;1192.0;1069.0
264;5146 Wholesale of pharmaceutical goods;2006;26.0;22.7;23.7;21.0;23425.0;23217.0;207.0;22304.0;18966.0;1368.0;1816.0;16.0;107.0;27.0;141.0;574.0;51.0;275.0;625.0;154.0;1120.0;724.0
265;5146 Wholesale of pharmaceutical goods;2007;26.7;23.3;24.0;21.2;27345.0;27075.0;270.0;26211.0;22705.0;1487.0;1869.0;18.0;126.0;28.0;147.0;590.0;51.0;316.0;592.0;149.0;1134.0;950.0
266;5146 Wholesale of pharmaceutical goods;2008;29.4;25.8;26.3;23.2;30207.0;29848.0;358.0;28738.0;24894.0;1650.0;2044.0;21.0;141.0;34.0;152.0;638.0;55.0;379.0;623.0;152.0;1468.0;1185.0
267;515 Wholesale, non-agricultural ..;2006;90.6;80.7;81.2;73.3;89782.0;89416.0;366.0;87365.0;78524.0;3928.0;4196.0;188.0;600.0;200.0;435.0;506.0;121.0;927.0;1219.0;717.0;2417.0;2801.0
268;515 Wholesale, non-agricultural ..;2007;98.3;87.6;88.5;80.0;99334.0;98863.0;471.0;96182.0;86605.0;4308.0;4524.0;;665.0;208.0;444.0;600.0;127.0;1041.0;1322.0;745.0;3152.0;4937.0
269;515 Wholesale, non-agricultural ..;2008;98.6;88.2;87.6;78.8;110505.0;110075.0;431.0;107903.0;97963.0;4440.0;4767.0;123.0;695.0;210.0;463.0;651.0;129.0;1085.0;1412.0;733.0;2603.0;2672.0
270;5151 Wholesale of fuels;2006;5.8;5.1;5.3;4.7;40611.0;40508.0;103.0;40388.0;39249.0;361.0;652.0;10.0;98.0;39.0;54.0;66.0;12.0;112.0;261.0;125.0;224.0;313.0
271;5151 Wholesale of fuels;2007;6.1;5.5;5.5;5.0;43847.0;43757.0;90.0;43732.0;42450.0;382.0;738.0;7.0;112.0;27.0;59.0;80.0;10.0;128.0;315.0;162.0;114.0;808.0
272;5151 Wholesale of fuels;2008;6.3;5.5;5.5;4.8;53222.0;53147.0;75.0;53003.0;51660.0;390.0;706.0;9.0;122.0;26.0;68.0;64.0;10.0;141.0;266.0;246.0;220.0;81.0
273;5152a Wholesale in rest of intermediate;2006;25.3;22.9;22.7;20.8;12785.0;12706.0;79.0;12017.0;9908.0;1097.0;912.0;28.0;143.0;42.0;92.0;135.0;34.0;243.0;196.0;100.0;768.0;724.0
274;5152a Wholesale in rest of intermediate;2007;29.3;26.3;26.7;24.3;15537.0;15465.0;72.0;14500.0;12067.0;1279.0;1042.0;32.0;176.0;42.0;89.0;154.0;36.0;264.0;249.0;112.0;1037.0;1067.0
275;5152a Wholesale in rest of intermediate;2008;27.6;25.0;24.5;22.3;16232.0;16143.0;89.0;15314.0;12827.0;1264.0;1105.0;31.0;168.0;43.0;92.0;216.0;36.0;275.0;244.0;119.0;918.0;875.0
276;5153 Wholesale,wood and construction ..;2006;42.1;37.2;38.5;34.7;15781.0;15712.0;70.0;14941.0;11867.0;1661.0;1215.0;46.0;249.0;56.0;168.0;172.0;49.0;234.0;240.0;197.0;840.0;785.0
277;5153 Wholesale,wood and construction ..;2007;44.0;39.0;40.2;36.2;18087.0;18013.0;74.0;17024.0;13714.0;1761.0;1358.0;47.0;265.0;68.0;185.0;200.0;54.0;296.0;244.0;191.0;1063.0;1025.0
278;5153 Wholesale,wood and construction ..;2008;46.2;41.2;41.7;37.7;18748.0;18645.0;103.0;17748.0;14156.0;1923.0;1454.0;55.0;283.0;67.0;200.0;208.0;58.0;304.0;278.0;215.0;1000.0;984.0
279;5155 Wholesale of chemical products;2006;9.5;8.7;8.9;8.1;15041.0;14937.0;104.0;14703.0;12878.0;542.0;1053.0;91.0;55.0;29.0;54.0;112.0;18.0;237.0;456.0;230.0;338.0;750.0
280;5155 Wholesale of chemical products;2007;11.5;10.4;10.5;9.6;15176.0;14955.0;222.0;14626.0;12716.0;636.0;1061.0;;64.0;30.0;55.0;145.0;20.0;271.0;461.0;212.0;551.0;1686.0
281;5155 Wholesale of chemical products;2008;11.1;10.1;10.2;9.2;15324.0;15171.0;153.0;14990.0;13077.0;635.0;1186.0;16.0;68.0;27.0;52.0;137.0;19.0;297.0;569.0;92.0;334.0;608.0
282;5157 Wholesale of waste and scrap;2006;7.9;6.7;5.8;5.1;5564.0;5553.0;11.0;5317.0;4621.0;267.0;364.0;13.0;55.0;33.0;67.0;21.0;8.0;101.0;66.0;65.0;247.0;228.0
283;5157 Wholesale of waste and scrap;2007;7.4;6.4;5.6;4.9;6687.0;6674.0;14.0;6301.0;5658.0;250.0;325.0;14.0;48.0;41.0;56.0;22.0;7.0;83.0;54.0;68.0;387.0;351.0
284;5157 Wholesale of waste and scrap;2008;7.4;6.4;5.7;4.8;6979.0;6968.0;11.0;6849.0;6244.0;228.0;316.0;12.0;53.0;46.0;51.0;26.0;6.0;68.0;54.0;60.0;130.0;123.0
285;518 Wholesale of machinery;2006;139.3;125.2;126.7;114.7;75421.0;74855.0;567.0;71625.0;58347.0;6831.0;5797.0;101.0;677.0;136.0;559.0;1246.0;247.0;906.0;1926.0;649.0;3796.0;5230.0
286;518 Wholesale of machinery;2007;143.9;130.1;130.0;118.4;83506.0;82937.0;569.0;79131.0;64811.0;7203.0;6533.0;101.0;667.0;126.0;584.0;1163.0;230.0;942.0;2720.0;585.0;4375.0;4950.0
287;518 Wholesale of machinery;2008;144.5;129.9;129.2;116.6;84902.0;84547.0;355.0;80657.0;65469.0;7369.0;7176.0;108.0;677.0;141.0;595.0;1146.0;221.0;993.0;3296.0;643.0;4245.0;4364.0
288;5181a Wholesale of rest machinery;2006;16.2;14.4;14.7;13.3;6575.0;6540.0;35.0;6184.0;4971.0;670.0;458.0;15.0;77.0;19.0;59.0;88.0;21.0;69.0;110.0;85.0;392.0;371.0
289;5181a Wholesale of rest machinery;2007;18.0;15.6;16.3;14.4;7562.0;7519.0;43.0;7101.0;5767.0;726.0;518.0;15.0;80.0;23.0;63.0;107.0;22.0;73.0;135.0;90.0;460.0;444.0
290;5181a Wholesale of rest machinery;2008;18.6;16.2;16.7;14.6;7680.0;7633.0;47.0;7277.0;5862.0;783.0;540.0;18.0;95.0;25.0;66.0;101.0;23.0;87.0;126.0;92.0;404.0;281.0
291;5184a Wholesale of computers, ..;2006;48.2;43.4;43.6;39.1;40596.0;40359.0;237.0;38966.0;33335.0;2785.0;2638.0;31.0;245.0;42.0;192.0;702.0;108.0;367.0;951.0;208.0;1629.0;2535.0
292;5184a Wholesale of computers, ..;2007;48.2;44.1;43.4;39.6;43789.0;43567.0;222.0;41874.0;35786.0;2917.0;2991.0;29.0;219.0;30.0;202.0;592.0;87.0;397.0;1434.0;179.0;1915.0;2067.0
293;5184a Wholesale of computers, ..;2008;45.0;40.6;40.2;36.3;44596.0;44512.0;84.0;42590.0;36342.0;2723.0;3365.0;27.0;202.0;32.0;182.0;579.0;79.0;374.0;1891.0;159.0;2006.0;1952.0
294;5186 Wholesale of electric motors etc.;2006;25.3;22.6;23.1;20.9;11191.0;11074.0;117.0;10531.0;8066.0;1191.0;1152.0;19.0;134.0;24.0;91.0;152.0;40.0;202.0;492.0;121.0;660.0;843.0
295;5186 Wholesale of electric motors etc.;2007;25.8;23.2;23.4;21.3;12731.0;12620.0;111.0;12012.0;9436.0;1192.0;1287.0;19.0;139.0;21.0;100.0;171.0;43.0;181.0;613.0;96.0;719.0;899.0
296;5186 Wholesale of electric motors etc.;2008;;;;;;;;;;;;;;;;;;;;;;
297;5187 Wholesale of other machinery;2006;49.6;44.7;45.3;41.4;17060.0;16882.0;178.0;15944.0;11975.0;2185.0;1548.0;36.0;221.0;51.0;217.0;305.0;77.0;268.0;373.0;235.0;1116.0;1482.0
298;5187 Wholesale of other machinery;2007;51.9;47.1;46.9;43.1;19425.0;19231.0;194.0;18145.0;13821.0;2368.0;1736.0;38.0;228.0;52.0;219.0;292.0;78.0;290.0;539.0;220.0;1280.0;1540.0
299;5187 Wholesale of other machinery;2008;;;;;;;;;;;;;;;;;;;;;;
300;5187a Wholesale of pumps, technical ..;2006;24.1;21.6;22.0;19.9;7723.0;7621.0;101.0;6999.0;5033.0;1071.0;769.0;18.0;109.0;25.0;89.0;167.0;38.0;137.0;186.0;127.0;723.0;716.0
301;5187a Wholesale of pumps, technical ..;2007;25.0;22.6;22.3;20.6;8404.0;8297.0;108.0;7699.0;5536.0;1178.0;884.0;20.0;114.0;24.0;86.0;136.0;36.0;148.0;319.0;101.0;706.0;696.0
302;5187a Wholesale of pumps, technical ..;2008;;;;;;;;;;;;;;;;;;;;;;
303;5187b Wholesale of rest machinery ..;2006;25.5;23.1;23.3;21.6;9337.0;9260.0;77.0;8945.0;6943.0;1114.0;780.0;18.0;111.0;26.0;129.0;138.0;39.0;131.0;187.0;108.0;392.0;766.0
304;5187b Wholesale of rest machinery ..;2007;26.9;24.6;24.6;22.6;11020.0;10935.0;86.0;10446.0;8285.0;1190.0;853.0;18.0;114.0;28.0;134.0;156.0;42.0;142.0;220.0;118.0;574.0;844.0
305;5187b Wholesale of rest machinery ..;2008;;;;;;;;;;;;;;;;;;;;;;
306;519 Other specialized wholesale and ..;2006;25.1;20.3;22.7;18.6;8323.0;8274.0;49.0;7765.0;5925.0;923.0;788.0;35.0;162.0;30.0;83.0;140.0;33.0;121.0;185.0;128.0;558.0;550.0
307;519 Other specialized wholesale and ..;2007;27.1;22.0;24.4;20.0;9282.0;9227.0;55.0;8590.0;6696.0;953.0;829.0;34.0;168.0;31.0;82.0;142.0;30.0;137.0;206.0;112.0;692.0;677.0
308;519 Other specialized wholesale and ..;2008;28.2;23.3;24.6;20.6;9747.0;9668.0;79.0;8994.0;6964.0;1021.0;898.0;35.0;176.0;34.0;87.0;160.0;32.0;150.0;224.0;111.0;753.0;731.0
309;52 Retail trade;2006;781.4;478.2;661.1;372.9;84768.0;83992.0;777.0;79277.0;55221.0;11410.0;10617.0;670.0;4103.0;339.0;542.0;2097.0;296.0;859.0;1710.0;2030.0;5491.0;5323.0
310;52 Retail trade;2007;829.0;502.6;696.0;387.9;89837.0;88971.0;866.0;84266.0;58992.0;11947.0;11346.0;719.0;4488.0;358.0;536.0;2167.0;298.0;966.0;1814.0;1980.0;5571.0;5521.0
311;52 Retail trade;2008;839.4;509.0;702.3;392.1;93932.0;93084.0;848.0;88373.0;61778.0;12513.0;11992.0;762.0;4647.0;387.0;594.0;2343.0;298.0;975.0;1986.0;2091.0;5559.0;5500.0
312;521 Retail sale, non-specialized stores;2006;;;;;;;;;;;;;;;;;;;;;;
313;521 Retail sale, non-specialized stores;2007;290.3;131.1;273.8;118.4;30086.0;29825.0;261.0;29287.0;22093.0;3646.0;2925.0;239.0;1097.0;123.0;110.0;485.0;51.0;286.0;536.0;624.0;799.0;747.0
314;521 Retail sale, non-specialized stores;2008;296.5;136.8;279.1;123.9;32593.0;32309.0;283.0;31452.0;23781.0;3916.0;3082.0;250.0;1126.0;137.0;134.0;532.0;49.0;268.0;586.0;673.0;1141.0;1066.0
315;5211 Retail sale in non-specialized ..;2006;241.5;109.5;227.6;98.8;25520.0;25300.0;221.0;24683.0;19061.0;2924.0;2209.0;181.0;740.0;97.0;112.0;367.0;44.0;192.0;475.0;489.0;837.0;804.0
316;5211 Retail sale in non-specialized ..;2007;252.8;109.9;237.6;98.2;26955.0;26708.0;247.0;26302.0;20337.0;3028.0;2424.0;201.0;844.0;104.0;97.0;412.0;46.0;233.0;488.0;514.0;653.0;637.0
317;5211 Retail sale in non-specialized ..;2008;257.5;115.0;242.8;103.6;29365.0;29090.0;275.0;28408.0;22015.0;3271.0;2556.0;210.0;862.0;117.0;119.0;454.0;44.0;219.0;531.0;566.0;957.0;930.0
318;5211a Retail sale of food, beverages ..;2006;297.8;146.9;268.6;121.7;30403.0;30125.0;278.0;29133.0;22269.0;3504.0;2767.0;233.0;934.0;133.0;151.0;468.0;60.0;223.0;565.0;592.0;1270.0;1219.0
319;5211a Retail sale of food, beverages ..;2007;312.2;149.6;280.5;122.5;32037.0;31722.0;315.0;30920.0;23702.0;3609.0;2991.0;252.0;1048.0;139.0;134.0;506.0;61.0;266.0;585.0;618.0;1117.0;1084.0
320;5211a Retail sale of food, beverages ..;2008;318.8;155.5;287.2;128.2;34651.0;34324.0;327.0;33202.0;25525.0;3860.0;3150.0;265.0;1063.0;151.0;158.0;553.0;60.0;255.0;644.0;667.0;1450.0;1407.0
321;5212 Other retail sale in non- ..;2006;;;;;;;;;;;;;;;;;;;;;;
322;5212 Other retail sale in non- ..;2007;37.5;21.2;36.2;20.2;3131.0;3117.0;14.0;2985.0;1756.0;618.0;501.0;38.0;253.0;19.0;13.0;73.0;5.0;53.0;47.0;110.0;146.0;110.0
323;5212 Other retail sale in non- ..;2008;39.0;21.8;36.3;20.3;3228.0;3220.0;8.0;3044.0;1766.0;645.0;526.0;39.0;264.0;20.0;15.0;78.0;5.0;49.0;55.0;107.0;183.0;136.0
324;5212b Retail sale in non-food;2006;434.5;292.2;372.4;238.6;50127.0;49706.0;421.0;46399.0;30475.0;7505.0;7086.0;414.0;3070.0;181.0;318.0;1307.0;185.0;568.0;1042.0;1333.0;3728.0;3645.0
325;5212b Retail sale in non-food;2007;464.0;310.9;395.2;252.1;53167.0;52730.0;436.0;49192.0;32422.0;7932.0;7567.0;443.0;3340.0;191.0;331.0;1371.0;188.0;605.0;1098.0;1272.0;3974.0;3976.0
326;5212b Retail sale in non-food;2008;467.3;312.4;395.8;251.3;54387.0;53963.0;424.0;50820.0;33173.0;8245.0;8066.0;473.0;3473.0;209.0;361.0;1503.0;190.0;633.0;1224.0;1337.0;3567.0;3569.0
327;522 Retail sale of food;2006;56.3;37.4;41.0;22.9;4883.0;4825.0;58.0;4450.0;3209.0;580.0;558.0;52.0;194.0;36.0;39.0;101.0;16.0;32.0;90.0;103.0;432.0;414.0
328;522 Retail sale of food;2007;59.4;39.7;42.9;24.4;5082.0;5014.0;68.0;4618.0;3365.0;582.0;567.0;52.0;204.0;35.0;37.0;94.0;15.0;33.0;96.0;105.0;464.0;447.0
329;522 Retail sale of food;2008;61.3;40.5;44.4;24.6;5286.0;5234.0;52.0;4794.0;3510.0;588.0;594.0;55.0;201.0;34.0;39.0;100.0;16.0;36.0;114.0;101.0;492.0;477.0
330;523 Retail sale,pharmaceutical/medical..;2006;58.3;36.3;55.7;34.3;8663.0;8595.0;68.0;8076.0;5714.0;1297.0;799.0;38.0;300.0;19.0;28.0;101.0;26.0;90.0;197.0;267.0;587.0;543.0
331;523 Retail sale,pharmaceutical/medical..;2007;60.8;37.6;57.6;35.1;8955.0;8888.0;67.0;8351.0;5928.0;1359.0;816.0;37.0;314.0;20.0;28.0;96.0;27.0;102.0;191.0;247.0;604.0;557.0
332;523 Retail sale,pharmaceutical/medical..;2008;61.2;37.9;57.9;35.4;9253.0;9199.0;54.0;8786.0;6249.0;1412.0;860.0;41.0;324.0;18.0;27.0;100.0;21.0;108.0;220.0;264.0;467.0;415.0
333;5231 Dispensing chemists;2006;25.7;17.2;24.8;16.6;4948.0;4914.0;34.0;4563.0;3390.0;703.0;297.0;12.0;72.0;13.0;11.0;17.0;10.0;56.0;107.0;172.0;385.0;358.0
334;5231 Dispensing chemists;2007;26.6;17.6;25.5;16.7;5149.0;5103.0;46.0;4788.0;3556.0;751.0;327.0;13.0;82.0;14.0;13.0;22.0;14.0;62.0;107.0;154.0;361.0;307.0
335;5231 Dispensing chemists;2008;27.2;17.8;26.1;17.1;5247.0;5211.0;35.0;5078.0;3770.0;781.0;350.0;13.0;80.0;12.0;13.0;26.0;10.0;69.0;127.0;177.0;168.0;93.0
336;5232 Retail sale, medical /orthopaedic..;2006;27.8;16.1;26.3;14.9;3221.0;3205.0;16.0;3049.0;2035.0;;424.0;22.0;190.0;6.0;15.0;77.0;14.0;29.0;69.0;79.0;173.0;155.0
337;5232 Retail sale, medical /orthopaedic..;2007;29.4;17.0;27.5;15.5;3293.0;3277.0;16.0;3090.0;2078.0;521.0;412.0;21.0;192.0;6.0;13.0;67.0;11.0;30.0;71.0;79.0;203.0;208.0
338;5232 Retail sale, medical /orthopaedic..;2008;29.1;16.9;27.0;15.3;3470.0;3453.0;16.0;3215.0;2179.0;534.0;430.0;24.0;200.0;5.0;13.0;69.0;10.0;29.0;80.0;73.0;255.0;277.0
339;5233 Retail sale, cosmetic articles/..;2006;4.7;2.9;4.5;2.8;494.0;476.0;17.0;464.0;288.0;83.0;78.0;4.0;38.0;1.0;1.0;7.0;2.0;5.0;20.0;16.0;29.0;30.0
340;5233 Retail sale, cosmetic articles/..;2007;4.8;3.0;4.5;2.8;513.0;508.0;5.0;473.0;294.0;88.0;77.0;4.0;40.0;1.0;1.0;6.0;2.0;10.0;13.0;14.0;40.0;42.0
341;5233 Retail sale, cosmetic articles/..;2008;5.0;3.2;4.8;3.0;536.0;534.0;2.0;492.0;300.0;97.0;80.0;4.0;44.0;1.0;1.0;5.0;2.0;10.0;13.0;14.0;44.0;44.0
342;524 Retail sale, goods in specialized..;2006;;;;;;;;;;;;;;;;;;;;;;
343;524 Retail sale, goods in specialized..;2007;358.2;246.5;297.7;194.1;40646.0;40301.0;345.0;37462.0;24520.0;5880.0;6155.0;361.0;2737.0;149.0;281.0;1187.0;152.0;442.0;846.0;906.0;3184.0;3271.0
344;524 Retail sale, goods in specialized..;2008;359.1;246.6;297.4;192.7;41473.0;41129.0;344.0;38601.0;24966.0;6102.0;6580.0;384.0;2848.0;167.0;310.0;1310.0;160.0;468.0;933.0;953.0;2872.0;2980.0
345;5241 Retail sale of clothing textiles;2006;2.0;1.4;1.2;0.8;113.0;113.0;0.0;107.0;60.0;21.0;24.0;2.0;11.0;0.0;1.0;4.0;1.0;1.0;3.0;3.0;6.0;4.0
346;5241 Retail sale of clothing textiles;2007;1.8;1.2;0.9;0.5;104.0;104.0;1.0;90.0;57.0;13.0;18.0;2.0;8.0;0.0;1.0;3.0;1.0;1.0;2.0;2.0;14.0;14.0
347;5241 Retail sale of clothing textiles;2008;1.8;1.2;1.0;0.5;108.0;107.0;1.0;95.0;54.0;16.0;23.0;2.0;10.0;1.0;1.0;3.0;1.0;1.0;4.0;2.0;12.0;11.0
348;5242 Retail sale,clothing and fashion..;2006;87.6;57.3;76.5;46.5;7971.0;7926.0;45.0;7223.0;4164.0;1325.0;1475.0;78.0;778.0;28.0;49.0;225.0;29.0;74.0;214.0;259.0;747.0;768.0
349;5242 Retail sale,clothing and fashion..;2007;95.6;62.1;83.1;50.3;8442.0;8394.0;48.0;7730.0;4434.0;1412.0;1632.0;86.0;853.0;32.0;56.0;249.0;31.0;84.0;240.0;252.0;711.0;842.0
350;5242 Retail sale,clothing and fashion..;2008;98.3;63.4;85.4;51.0;8841.0;8796.0;46.0;8320.0;4788.0;1483.0;1759.0;93.0;916.0;38.0;66.0;270.0;32.0;90.0;252.0;290.0;522.0;769.0
351;5243 Retail sale of footwear;2006;23.1;13.3;20.4;11.1;1852.0;1848.0;4.0;1675.0;1010.0;301.0;315.0;20.0;171.0;7.0;9.0;53.0;7.0;18.0;31.0;49.0;178.0;164.0
352;5243 Retail sale of footwear;2007;26.0;15.1;23.6;13.0;2044.0;2040.0;4.0;1841.0;1078.0;329.0;372.0;25.0;191.0;6.0;11.0;65.0;8.0;21.0;45.0;63.0;203.0;203.0
353;5243 Retail sale of footwear;2008;25.5;14.7;23.0;12.7;2019.0;2015.0;4.0;1900.0;1097.0;333.0;400.0;26.0;214.0;5.0;12.0;55.0;8.0;25.0;55.0;71.0;119.0;112.0
354;5244 Retail sale of furniture;2006;48.9;34.5;42.6;29.1;6388.0;6289.0;100.0;5946.0;3775.0;997.0;1022.0;60.0;470.0;24.0;47.0;234.0;19.0;76.0;92.0;151.0;443.0;430.0
355;5244 Retail sale of furniture;2007;51.0;36.2;44.1;30.2;6716.0;6600.0;116.0;6232.0;3963.0;1042.0;1096.0;65.0;519.0;30.0;53.0;231.0;20.0;72.0;107.0;131.0;484.0;493.0
356;5244 Retail sale of furniture;2008;50.8;35.6;43.7;29.5;6807.0;6704.0;103.0;6372.0;4014.0;1071.0;1168.0;66.0;530.0;38.0;55.0;274.0;22.0;81.0;101.0;118.0;435.0;404.0
357;5245 Retail sale,electrical household..;2006;23.2;18.0;20.5;15.5;4635.0;4580.0;55.0;4465.0;3369.0;535.0;479.0;27.0;192.0;8.0;28.0;113.0;16.0;45.0;50.0;83.0;170.0;159.0
358;5245 Retail sale,electrical household..;2007;25.4;19.3;22.1;16.7;5040.0;4963.0;77.0;4830.0;3670.0;583.0;504.0;29.0;203.0;9.0;27.0;108.0;18.0;47.0;62.0;73.0;211.0;205.0
359;5245 Retail sale,electrical household..;2008;25.2;19.2;21.9;16.5;4950.0;4895.0;55.0;4767.0;3594.0;576.0;527.0;31.0;197.0;10.0;27.0;114.0;16.0;55.0;77.0;70.0;182.0;182.0
360;5246 Retail sale of hardware;2006;39.9;28.6;34.6;24.5;5931.0;5900.0;32.0;5429.0;3691.0;822.0;782.0;46.0;275.0;19.0;43.0;190.0;19.0;66.0;123.0;133.0;503.0;499.0
361;5246 Retail sale of hardware;2007;43.1;30.7;37.3;26.1;6312.0;6287.0;25.0;5776.0;3947.0;871.0;838.0;48.0;299.0;22.0;45.0;202.0;20.0;71.0;130.0;122.0;536.0;532.0
362;5246 Retail sale of hardware;2008;42.9;31.1;36.8;26.2;6322.0;6274.0;48.0;5862.0;3892.0;921.0;910.0;54.0;316.0;25.0;53.0;216.0;24.0;70.0;153.0;139.0;460.0;431.0
363;5247 Retail sale of books;2006;14.1;9.2;11.2;6.9;1617.0;1598.0;19.0;1496.0;1069.0;201.0;201.0;9.0;91.0;4.0;7.0;28.0;9.0;15.0;38.0;26.0;121.0;111.0
364;5247 Retail sale of books;2007;14.3;9.2;11.0;6.8;1639.0;1628.0;11.0;1526.0;1131.0;184.0;190.0;9.0;91.0;6.0;7.0;26.0;8.0;18.0;26.0;22.0;112.0;109.0
365;5247 Retail sale of books;2008;13.7;8.8;10.5;6.4;1619.0;1606.0;13.0;1521.0;1114.0;192.0;191.0;9.0;97.0;4.0;7.0;23.0;8.0;18.0;24.0;24.0;98.0;97.0
366;5248 Other retail sale of specialized..;2006;38.7;28.7;29.6;21.0;4645.0;4618.0;27.0;4159.0;2657.0;647.0;743.0;44.0;255.0;25.0;36.0;143.0;31.0;61.0;149.0;112.0;486.0;482.0
367;5248 Other retail sale of specialized..;2007;43.8;32.3;32.6;22.9;5018.0;5000.0;18.0;4499.0;2908.0;711.0;757.0;48.0;266.0;21.0;34.0;170.0;27.0;68.0;124.0;123.0;519.0;499.0
368;5248 Other retail sale of specialized..;2008;41.3;31.1;30.7;21.9;5302.0;5278.0;24.0;4691.0;3032.0;726.0;809.0;46.0;265.0;21.0;36.0;200.0;26.0;64.0;152.0;123.0;611.0;568.0
369;5249 Other retail trade (2);2006;;;;;;;;;;;;;;;;;;;;;;
370;5249 Other retail trade (2);2007;57.3;40.5;43.0;27.7;5330.0;5286.0;44.0;4936.0;3333.0;736.0;750.0;50.0;308.0;23.0;47.0;134.0;20.0;59.0;109.0;117.0;394.0;372.0
371;5249 Other retail trade (2);2008;59.6;41.7;44.3;28.1;5505.0;5454.0;51.0;5072.0;3381.0;784.0;793.0;58.0;303.0;25.0;54.0;154.0;23.0;63.0;115.0;115.0;433.0;405.0
372;525 Retail sale, second-hand goods/..;2006;8.0;5.9;4.1;2.6;399.0;390.0;9.0;350.0;172.0;78.0;91.0;8.0;31.0;3.0;9.0;15.0;4.0;8.0;13.0;9.0;49.0;54.0
373;525 Retail sale, second-hand goods/..;2007;7.5;5.5;3.7;2.6;435.0;425.0;10.0;395.0;217.0;74.0;95.0;6.0;35.0;3.0;9.0;15.0;4.0;8.0;14.0;9.0;40.0;39.0
374;525 Retail sale, second-hand goods/..;2008;7.9;6.0;4.2;2.9;434.0;415.0;19.0;389.0;191.0;85.0;100.0;8.0;37.0;4.0;9.0;15.0;4.0;8.0;16.0;13.0;45.0;39.0
375;526 Retail sale not in stores;2006;42.4;33.5;16.8;10.1;3727.0;3658.0;69.0;3342.0;2218.0;330.0;703.0;19.0;80.0;21.0;64.0;317.0;49.0;63.0;89.0;91.0;385.0;355.0
376;526 Retail sale not in stores;2007;45.2;35.8;16.5;10.4;4079.0;3971.0;108.0;3710.0;2582.0;327.0;721.0;19.0;80.0;23.0;62.0;286.0;46.0;90.0;115.0;79.0;369.0;355.0
377;526 Retail sale not in stores;2008;45.8;34.9;15.6;9.9;4290.0;4205.0;86.0;3878.0;2787.0;321.0;696.0;18.0;87.0;22.0;63.0;281.0;45.0;81.0;100.0;73.0;413.0;397.0
378;5260a Retail sale not in stores and ..;2006;49.1;39.1;20.1;12.6;4238.0;4161.0;78.0;3745.0;2476.0;400.0;764.0;23.0;99.0;25.0;73.0;323.0;52.0;67.0;103.0;105.0;493.0;459.0
379;5260a Retail sale not in stores and ..;2007;52.7;42.1;20.3;13.3;4633.0;4519.0;115.0;4153.0;2869.0;406.0;789.0;24.0;100.0;27.0;72.0;291.0;49.0;95.0;131.0;90.0;480.0;461.0
