ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6
176;Totaal woningen;Het Peebos;Het Peebos                              ;Buurt     ;BU00150006;2500.0;4550.0;
177;Totaal woningen;Verspr.h. ten zuiden van Sebaldeburen;Verspreide huizen ten zuiden van Sebalde;Buurt     ;BU00150007;1950.0;3900.0;
178;Totaal woningen;Verspr.h. ten zuiden van Grootegast;Verspreide huizen ten zuiden van Grooteg;Buurt     ;BU00150008;2300.0;4750.0;
179;Totaal woningen;Overige verspreide huizen;Overige verspreide huizen               ;Buurt     ;BU00150009;2250.0;4600.0;
180;Totaal woningen;Wijk 01 Lutjegast;Wijk 01 Lutjegast                       ;Wijk      ;WK001501  ;2050.0;3900.0;
181;Totaal woningen;Lutjegast;Lutjegast                               ;Buurt     ;BU00150100;2050.0;3600.0;
182;Totaal woningen;Verspreide huizen Lutjegast;Verspreide huizen Lutjegast             ;Buurt     ;BU00150109;2200.0;4700.0;
183;Totaal woningen;Wijk 02 Opende;Wijk 02 Opende                          ;Wijk      ;WK001502  ;2050.0;3750.0;
184;Totaal woningen;Opende-West;Opende-West                             ;Buurt     ;BU00150200;1850.0;3350.0;
185;Totaal woningen;Opende-Oost;Opende-Oost                             ;Buurt     ;BU00150201;2400.0;3850.0;
186;Totaal woningen;Kornhorn;Kornhorn                                ;Buurt     ;BU00150202;2100.0;3400.0;
187;Totaal woningen;Verspreide huizen ten zuiden van Opende;Verspreide huizen ten zuiden van Opende ;Buurt     ;BU00150209;2200.0;4700.0;
188;Totaal woningen;Wijk 03 Oldekerk;Wijk 03 Oldekerk                        ;Wijk      ;WK001503  ;2000.0;3600.0;
189;Totaal woningen;Niekerk;Niekerk                                 ;Buurt     ;BU00150300;2000.0;3400.0;
190;Totaal woningen;Oldekerk;Oldekerk                                ;Buurt     ;BU00150301;1850.0;3650.0;
191;Totaal woningen;Verspreide huizen Oldekerk;Verspreide huizen Oldekerk              ;Buurt     ;BU00150309;2350.0;4350.0;
192;Totaal woningen;Haren;Haren                                   ;Gemeente  ;GM0017    ;2100.0;3300.0;
193;Totaal woningen;Wijk 00 Centrum;Wijk 00 Centrum                         ;Wijk      ;WK001700  ;2050.0;3200.0;
194;Totaal woningen;Haren;Haren                                   ;Buurt     ;BU00170000;2100.0;3100.0;
195;Totaal woningen;Oosterhaar;Oosterhaar                              ;Buurt     ;BU00170001;1700.0;3250.0;
196;Totaal woningen;Voorveld;Voorveld                                ;Buurt     ;BU00170002;3300.0;5100.0;
197;Totaal woningen;Harenermolen;Harenermolen                            ;Buurt     ;BU00170003;3050.0;4250.0;
198;Totaal woningen;Glimmen;Glimmen                                 ;Buurt     ;BU00170004;2700.0;4100.0;
199;Totaal woningen;Hemmen;Hemmen                                  ;Buurt     ;BU00170005;2450.0;3950.0;
200;Totaal woningen;Wijk 01 Land;Wijk 01 Land                            ;Wijk      ;WK001701  ;2500.0;4300.0;
201;Totaal woningen;Noordlaren;Noordlaren                              ;Buurt     ;BU00170100;2350.0;3950.0;
202;Totaal woningen;Onnen;Onnen                                   ;Buurt     ;BU00170101;2250.0;4050.0;
203;Totaal woningen;Paterswolde (gedeeltelijk);Paterswolde (gedeeltelijk)              ;Buurt     ;BU00170102;2200.0;4650.0;
