ID;AfzetInvoerEnVerbruik;ProductenPRODCOM;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
267;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 augustus;;;
268;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 september;;;
269;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 oktober;;;
270;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 november;;;
271;Totaal afzetprijzen;05 Steenkool en bruinkool;2020 december;;;
272;Totaal afzetprijzen;05 Steenkool en bruinkool;2020;;;
273;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 januari;;;
274;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 februari;;;
275;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 maart;;;
276;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 april;;;
277;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 mei;;;
278;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 juni;;;
279;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 juli;;;
280;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 augustus;;;
281;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 september;;;
282;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 oktober;;;
283;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 november;;;
284;Totaal afzetprijzen;05 Steenkool en bruinkool;2021 december;;;
285;Totaal afzetprijzen;05 Steenkool en bruinkool;2021;;;
286;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 januari;;;
287;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 februari;;;
288;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 maart;;;
289;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 april;;;
290;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 mei;;;
291;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 juni;;;
292;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 juli;;;
293;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 augustus;;;
294;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 september;;;
295;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 oktober;;;
296;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 november;;;
297;Totaal afzetprijzen;05 Steenkool en bruinkool;2022 december ;;;
298;Totaal afzetprijzen;05 Steenkool en bruinkool;2022;;;
299;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 januari;;;
300;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 februari;;;
301;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 maart;;;
302;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 april;;;
303;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 mei;;;
304;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 juni;;;
305;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 juli;;;
306;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 augustus;;;
307;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 september;;;
308;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 oktober;;;
309;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 november;;;
310;Totaal afzetprijzen;05 Steenkool en bruinkool;2023 december;;;
311;Totaal afzetprijzen;05 Steenkool en bruinkool;2023;;;
312;Totaal afzetprijzen;051 Steenkool;2012 januari;;;
313;Totaal afzetprijzen;051 Steenkool;2012 februari;;;
314;Totaal afzetprijzen;051 Steenkool;2012 maart;;;
315;Totaal afzetprijzen;051 Steenkool;2012 april;;;
316;Totaal afzetprijzen;051 Steenkool;2012 mei;;;
317;Totaal afzetprijzen;051 Steenkool;2012 juni;;;
318;Totaal afzetprijzen;051 Steenkool;2012 juli;;;
319;Totaal afzetprijzen;051 Steenkool;2012 augustus;;;
320;Totaal afzetprijzen;051 Steenkool;2012 september;;;
321;Totaal afzetprijzen;051 Steenkool;2012 oktober;;;
322;Totaal afzetprijzen;051 Steenkool;2012 november;;;
323;Totaal afzetprijzen;051 Steenkool;2012 december;;;
324;Totaal afzetprijzen;051 Steenkool;2012;;;
325;Totaal afzetprijzen;051 Steenkool;2013 januari;;;
326;Totaal afzetprijzen;051 Steenkool;2013 februari;;;
327;Totaal afzetprijzen;051 Steenkool;2013 maart;;;
328;Totaal afzetprijzen;051 Steenkool;2013 april;;;
329;Totaal afzetprijzen;051 Steenkool;2013 mei;;;
330;Totaal afzetprijzen;051 Steenkool;2013 juni;;;
331;Totaal afzetprijzen;051 Steenkool;2013 juli;;;
332;Totaal afzetprijzen;051 Steenkool;2013 augustus;;;
333;Totaal afzetprijzen;051 Steenkool;2013 september;;;
334;Totaal afzetprijzen;051 Steenkool;2013 oktober;;;
335;Totaal afzetprijzen;051 Steenkool;2013 november;;;
336;Totaal afzetprijzen;051 Steenkool;2013 december;;;
337;Totaal afzetprijzen;051 Steenkool;2013;;;
338;Totaal afzetprijzen;051 Steenkool;2014 januari;;;
339;Totaal afzetprijzen;051 Steenkool;2014 februari;;;
340;Totaal afzetprijzen;051 Steenkool;2014 maart;;;
341;Totaal afzetprijzen;051 Steenkool;2014 april;;;
342;Totaal afzetprijzen;051 Steenkool;2014 mei;;;
343;Totaal afzetprijzen;051 Steenkool;2014 juni;;;
344;Totaal afzetprijzen;051 Steenkool;2014 juli;;;
345;Totaal afzetprijzen;051 Steenkool;2014 augustus;;;
