ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;AVD_5;CDA_6;CU_7;D66_8;Conserv_9;DN_10;GL_11;LN_12;LPF_13;Veldhoen_14;NCPN_15;PvdA_16;PvdT_17;PvdD_18;Ratelband_19;SGP_20;SP_21;VIP_22;VVD_23;AVD_24;CDA_25;CU_26;D66_27;Conserv_28;DN_29;GL_30;LN_31;LPF_32;Veldhoen_33;NCPN_34;PvdA_35;PvdT_36;PvdD_37;Ratelband_38;SGP_39;SP_40;VIP_41;VVD_42;LandsdeelCode_43;ProvincieCode_44;KamerkieskringCode_45;CoropCode_46;GemeenteCode_47
178;Heerhugowaard;34371;80.4;27648;27622;7.0;7536;326;1246;;15.0;1425;203;1510;;13;7345;46;144.0;21;22;1518;;6245;0.0;27.3;1.2;4.5;;0.1;5.2;0.7;5.5;;0.0;26.6;0.2;0.5;0.1;0.1;5.5;;22.6;3;27;00;19;0398
179;Heerlen;72495;68.6;49734;49681;;13886;280;1358;31.0;10.0;2334;283;3046;;23;15369;79;325.0;65;45;7162;;5385;;28.0;0.6;2.7;0.1;0.0;4.7;0.6;6.1;;0.0;30.9;0.2;0.7;0.1;0.1;14.4;;10.8;4;31;21;39;0917
180;Heeze-Leende;11667;84.8;9899;9889;1.0;4307;12;403;0.0;0.0;319;66;423;;2;1846;35;25.0;4;7;503;0.0;1936;0.0;43.6;0.1;4.1;0.0;0.0;3.2;0.7;4.3;;0.0;18.7;0.4;0.3;0.0;0.1;5.1;0.0;19.6;4;30;00;36;1658
181;Heiloo;16932;88.0;14897;14880;4.0;4205;106;918;;3.0;872;49;653;;30;3439;16;72.0;21;5;670;;3817;0.0;28.3;0.7;6.2;;0.0;5.9;0.3;4.4;;0.2;23.1;0.1;0.5;0.1;0.0;4.5;;25.7;3;27;00;19;0399
182;Helden;14461;78.7;11380;11373;;5664;21;253;6.0;1.0;426;64;564;;1;2009;14;44.0;3;4;598;;1701;;49.8;0.2;2.2;0.1;0.0;3.7;0.6;5.0;;0.0;17.7;0.1;0.4;0.0;0.0;5.3;;15.0;4;31;00;37;0918
183;Hellendoorn;27610;87.1;24058;24042;;13019;808;493;7.0;;693;68;724;;6;4730;31;;6;93;874;;2490;;54.2;3.4;2.1;0.0;;2.9;0.3;3.0;;0.0;19.7;0.1;;0.0;0.4;3.6;;10.4;2;23;00;12;0163
184;Hellevoetsluis;29525;76.4;22561;22502;3.0;4032;250;853;13.0;4.0;919;144;2553;9.0;10;6318;26;161.0;38;82;1309;3.0;5775;0.0;17.9;1.1;3.8;0.1;0.0;4.1;0.6;11.3;0.0;0.0;28.1;0.1;0.7;0.2;0.4;5.8;0.0;25.7;3;28;00;29;0530
185;Helmond;61131;72.6;44353;44289;10.0;12194;201;1362;20.0;9.0;1674;256;3354;;28;12457;138;260.0;50;13;4348;6.0;7909;0.0;27.5;0.5;3.1;0.0;0.0;3.8;0.6;7.6;;0.1;28.1;0.3;0.6;0.1;0.0;9.8;0.0;17.9;4;30;00;36;0794
186;Hendrik-Ido-Ambacht;15831;85.8;13587;13581;0.0;3912;453;417;7.0;2.0;309;52;967;3.0;3;2724;6;70.0;14;1651;428;0.0;2563;0.0;28.8;3.3;3.1;0.1;0.0;2.3;0.4;7.1;0.0;0.0;20.1;0.0;0.5;0.1;12.2;3.2;0.0;18.9;3;28;00;30;0531
187;Hengelo;60915;82.6;50339;50274;;15225;876;2104;23.0;;2590;172;1826;;16;15446;76;;38;47;3905;;7930;;30.3;1.7;4.2;0.0;;5.2;0.3;3.6;;0.0;30.7;0.2;;0.1;0.1;7.8;;15.8;2;23;00;12;0164
188;Hengelo;6534;85.0;5557;5548;0.0;2700;30;126;0.0;0.0;116;19;222;;0;1320;20;15.0;2;4;170;;804;0.0;48.7;0.5;2.3;0.0;0.0;2.1;0.3;4.0;;0.0;23.8;0.4;0.3;0.0;0.1;3.1;;14.5;2;25;00;14;0248
189;'s-Hertogenbosch;100168;76.9;77040;76979;4.0;19475;332;3356;18.0;24.0;4840;324;4840;;27;21239;165;351.0;85;44;7589;10.0;14256;0.0;25.3;0.4;4.4;0.0;0.0;6.3;0.4;6.3;;0.0;27.6;0.2;0.5;0.1;0.1;9.9;0.0;18.5;4;30;18;35;0796
190;Heumen;12176;87.4;10640;10626;;3672;23;551;;0.0;707;40;379;;2;2623;13;41.0;4;2;625;;1944;;34.6;0.2;5.2;;0.0;6.7;0.4;3.6;;0.0;24.7;0.1;0.4;0.0;0.0;5.9;;18.3;2;25;00;15;0252
191;Heusden;31989;80.9;25891;25871;6.0;9443;125;947;4.0;11.0;927;126;1479;;5;5865;84;83.0;29;50;1859;4.0;4824;0.0;36.5;0.5;3.7;0.0;0.0;3.6;0.5;5.7;;0.0;22.7;0.3;0.3;0.1;0.2;7.2;0.0;18.6;4;30;00;35;0797
192;Heythuysen;9034;79.8;7213;7201;;3551;25;224;1.0;0.0;239;25;352;;1;1236;7;43.0;4;2;377;;1114;;49.3;0.3;3.1;0.0;0.0;3.3;0.3;4.9;;0.0;17.2;0.1;0.6;0.1;0.0;5.2;;15.5;4;31;00;38;0920
193;Hillegom;15506;83.1;12886;12875;3.0;4349;101;544;1.0;0.0;564;73;877;;2;2475;24;78.0;17;67;640;0.0;3060;0.0;33.8;0.8;4.2;0.0;0.0;4.4;0.6;6.8;;0.0;19.2;0.2;0.6;0.1;0.5;5.0;0.0;23.8;3;28;00;25;0534
194;Hilvarenbeek;11134;85.2;9483;9471;0.0;4313;6;284;4.0;6.0;345;27;346;;1;1872;22;14.0;7;2;603;0.0;1619;0.0;45.5;0.1;3.0;0.0;0.1;3.6;0.3;3.7;;0.0;19.8;0.2;0.1;0.1;0.0;6.4;0.0;17.1;4;30;00;34;0798
195;Hilversum;63466;81.6;51815;51775;8.0;11466;906;3176;24.0;25.0;3346;184;2689;;18;13913;48;337.0;69;263;3715;;11588;0.0;22.1;1.7;6.1;0.0;0.0;6.5;0.4;5.2;;0.0;26.9;0.1;0.7;0.1;0.5;7.2;;22.4;3;27;00;24;0402
196;Hof van Twente;26751;87.6;23436;23422;;9478;167;710;10.0;;654;82;745;;6;5942;47;;12;31;886;;4652;;40.5;0.7;3.0;0.0;;2.8;0.4;3.2;;0.0;25.4;0.2;;0.1;0.1;3.8;;19.9;2;23;00;12;1735
197;Hoogeveen;40702;81.2;33032;33008;;12257;1594;726;5.0;1.0;1057;142;1307;;8;10100;33;106.0;19;343;1591;;3719;;37.1;4.8;2.2;0.0;0.0;3.2;0.4;4.0;;0.0;30.6;0.1;0.3;0.1;1.0;4.8;;11.3;1;22;00;09;0118
198;Hoogezand-Sappemeer;25596;77.2;19767;19753;5.0;2984;645;629;;32.0;858;85;782;;30;9421;25;95.0;18;32;1385;;2727;0.0;15.1;3.3;3.2;;0.2;4.3;0.4;4.0;;0.2;47.7;0.1;0.5;0.1;0.2;7.0;;13.8;1;20;00;03;0018
199;Hoorn;49944;79.8;39863;39810;3.0;8308;327;2076;;27.0;2375;200;2434;;28;12233;49;248.0;55;30;3137;;8280;0.0;20.9;0.8;5.2;;0.1;6.0;0.5;6.1;;0.1;30.7;0.1;0.6;0.1;0.1;7.9;;20.8;3;27;00;18;0405
200;Horst aan de Maas;21251;80.1;17020;17011;;8763;31;404;5.0;6.0;478;82;664;;7;2788;24;56.0;15;13;1343;;2332;;51.5;0.2;2.4;0.0;0.0;2.8;0.5;3.9;;0.0;16.4;0.1;0.3;0.1;0.1;7.9;;13.7;4;31;00;37;1507
201;Houten;28633;86.0;24624;24601;2.0;6958;821;1373;1.0;5.0;1533;91;1092;;8;5548;21;95.0;20;498;1321;4.0;5210;0.0;28.3;3.3;5.6;0.0;0.0;6.2;0.4;4.4;;0.0;22.6;0.1;0.4;0.1;2.0;5.4;0.0;21.2;3;26;00;17;0321
202;Huizen;30858;85.9;26495;26458;3.0;7833;985;1326;3.0;6.0;1313;111;1230;;8;5533;29;175.0;23;444;1215;;6221;0.0;29.6;3.7;5.0;0.0;0.0;5.0;0.4;4.6;;0.0;20.9;0.1;0.7;0.1;1.7;4.6;;23.5;3;27;00;24;0406
203;Hulst;19977;78.2;15628;15620;;6104;57;412;;1.0;537;51;926;;3;4300;9;63.0;11;13;778;;2355;;39.1;0.4;2.6;;0.0;3.4;0.3;5.9;;0.0;27.5;0.1;0.4;0.1;0.1;5.0;;15.1;3;29;00;31;0677
204;Hummelo en Keppel;3544;88.5;3136;3136;0.0;1118;12;143;0.0;2.0;107;7;101;;1;757;9;14.0;0;8;125;;732;0.0;35.7;0.4;4.6;0.0;0.1;3.4;0.2;3.2;;0.0;24.1;0.3;0.4;0.0;0.3;4.0;;23.3;2;25;00;14;0256
205;Hunsel;4537;80.4;3649;3644;;1844;2;82;1.0;0.0;111;16;143;;1;690;6;25.0;3;2;198;;520;;50.6;0.1;2.3;0.0;0.0;3.0;0.4;3.9;;0.0;18.9;0.2;0.7;0.1;0.1;5.4;;14.3;4;31;00;38;0925
206;IJsselstein;23910;81.3;19446;19422;4.0;5291;276;957;12.0;6.0;892;114;1063;;5;4815;43;84.0;9;235;1064;4.0;4548;0.0;27.2;1.4;4.9;0.1;0.0;4.6;0.6;5.5;;0.0;24.8;0.2;0.4;0.0;1.2;5.5;0.0;23.4;3;26;09;17;0353
207;Jacobswoude;8056;87.4;7040;7032;1.0;2813;63;318;3.0;1.0;239;27;475;;0;1086;13;46.0;6;57;303;1.0;1580;0.0;40.0;0.9;4.5;0.0;0.0;3.4;0.4;6.8;;0.0;15.4;0.2;0.7;0.1;0.8;4.3;0.0;22.5;3;28;00;28;0645
208;Kampen;35479;86.1;30545;30514;;11702;3148;546;3.0;;1147;84;935;;7;6541;30;;17;2487;1248;;2619;;38.3;10.3;1.8;0.0;;3.8;0.3;3.1;;0.0;21.4;0.1;;0.1;8.2;4.1;;8.6;2;23;00;10;0166
209;Kapelle;8586;87.1;7479;7474;;2969;248;190;;0.0;237;19;325;;0;1361;6;29.0;10;689;238;;1153;;39.7;3.3;2.5;;0.0;3.2;0.3;4.3;;0.0;18.2;0.1;0.4;0.1;9.2;3.2;;15.4;3;29;00;32;0678
210;Katwijk;30560;82.1;25087;25066;2.0;12180;1436;457;2.0;23.0;544;83;1165;;4;3061;17;113.0;14;2410;686;2.0;2867;0.0;48.6;5.7;1.8;0.0;0.1;2.2;0.3;4.6;;0.0;12.2;0.1;0.5;0.1;9.6;2.7;0.0;11.4;3;28;12;25;0537
211;Kerkrade;36593;67.7;24788;24764;;7516;78;428;12.0;10.0;913;184;1610;;13;8836;29;161.0;45;10;2305;;2614;;30.4;0.3;1.7;0.0;0.0;3.7;0.7;6.5;;0.1;35.7;0.1;0.7;0.2;0.0;9.3;;10.6;4;31;21;39;0928
212;Kessel;3205;82.8;2655;2644;;1354;5;53;0.0;0.0;65;19;130;;1;496;10;9.0;0;2;91;;409;;51.2;0.2;2.0;0.0;0.0;2.5;0.7;4.9;;0.0;18.8;0.4;0.3;0.0;0.1;3.4;;15.5;4;31;00;37;0929
213;Kesteren;15664;87.6;13715;13706;;3606;401;235;;2.0;210;23;506;;1;3564;18;48.0;11;3072;327;;1682;;26.3;2.9;1.7;;0.0;1.5;0.2;3.7;;0.0;26.0;0.1;0.4;0.1;22.4;2.4;;12.3;2;25;00;16;0258
214;Kollumerland c.a.;9946;83.0;8259;8240;2.0;3955;376;138;;0.0;239;44;319;;6;1961;14;41.0;7;77;379;;682;0.0;48.0;4.6;1.7;;0.0;2.9;0.5;3.9;;0.1;23.8;0.2;0.5;0.1;0.9;4.6;;8.3;1;21;00;04;0079
215;Korendijk;8164;85.8;7004;6998;1.0;1932;157;190;16.0;0.0;162;24;525;1.0;1;1362;6;52.0;7;1078;254;0.0;1230;0.0;27.6;2.2;2.7;0.2;0.0;2.3;0.3;7.5;0.0;0.0;19.5;0.1;0.7;0.1;15.4;3.6;0.0;17.6;3;28;00;29;0588
216;Krimpen aan den IJssel;21886;85.8;18789;18769;1.0;4335;827;637;4.0;3.0;569;55;1568;;2;4441;18;89.0;23;2133;686;5.0;3373;0.0;23.1;4.4;3.4;0.0;0.0;3.0;0.3;8.4;;0.0;23.7;0.1;0.5;0.1;11.4;3.7;0.0;18.0;3;28;14;29;0542
217;Laarbeek;16304;82.2;13398;13389;4.0;5525;24;369;5.0;1.0;429;65;744;;4;2962;48;66.0;7;5;1002;1.0;2128;0.0;41.3;0.2;2.8;0.0;0.0;3.2;0.5;5.6;;0.0;22.1;0.4;0.5;0.1;0.0;7.5;0.0;15.9;4;30;00;36;1659
218;Landerd;10972;85.6;9389;9382;0.0;4372;15;208;3.0;0.0;231;43;373;;3;1766;18;29.0;6;4;957;1.0;1353;0.0;46.6;0.2;2.2;0.0;0.0;2.5;0.5;4.0;;0.0;18.8;0.2;0.3;0.1;0.0;10.2;0.0;14.4;4;30;00;35;1685
219;Landgraaf;30619;72.6;22226;22207;;7021;87;604;8.0;3.0;939;115;1184;;12;7064;35;144.0;22;16;2389;;2564;;31.6;0.4;2.7;0.0;0.0;4.2;0.5;5.3;;0.1;31.8;0.2;0.6;0.1;0.1;10.8;;11.5;4;31;21;39;0882
220;Landsmeer;7913;85.6;6776;6770;0.0;1119;36;402;;0.0;339;30;557;;4;2028;1;41.0;1;14;377;;1821;0.0;16.5;0.5;5.9;;0.0;5.0;0.4;8.2;;0.1;30.0;0.0;0.6;0.0;0.2;5.6;;26.9;3;27;10;23;0415
221;Langedijk;18373;85.3;15672;15657;3.0;4846;285;822;;4.0;833;80;748;;7;3420;19;68.0;10;19;833;;3660;0.0;31.0;1.8;5.3;;0.0;5.3;0.5;4.8;;0.0;21.8;0.1;0.4;0.1;0.1;5.3;;23.4;3;27;00;19;0416
222;Laren;8600;87.4;7514;7510;1.0;2090;24;445;1.0;1.0;298;13;293;;0;1220;4;41.0;5;2;276;;2796;0.0;27.8;0.3;5.9;0.0;0.0;4.0;0.2;3.9;;0.0;16.2;0.1;0.5;0.1;0.0;3.7;;37.2;3;27;00;24;0417
223;Leek;14203;84.8;12046;12041;1.0;3220;838;367;;0.0;525;50;449;;4;4057;18;41.0;5;59;650;;1757;0.0;26.7;7.0;3.0;;0.0;4.4;0.4;3.7;;0.0;33.7;0.1;0.3;0.0;0.5;5.4;;14.6;1;20;00;03;0022
224;Leerdam;15210;82.3;12511;12495;0.0;3725;533;350;7.0;47.0;425;33;779;1.0;3;3249;18;57.0;7;780;549;0.0;1932;0.0;29.8;4.3;2.8;0.1;0.4;3.4;0.3;6.2;0.0;0.0;26.0;0.1;0.5;0.1;6.2;4.4;0.0;15.5;3;28;00;30;0545
225;Leersum;5521;88.0;4859;4855;2.0;1488;89;212;1.0;0.0;263;8;231;;0;947;5;18.0;3;198;152;0.0;1238;0.0;30.6;1.8;4.4;0.0;0.0;5.4;0.2;4.8;;0.0;19.5;0.1;0.4;0.1;4.1;3.1;0.0;25.5;3;26;00;17;0326
226;Leeuwarden;70999;80.5;57121;57074;4.0;11161;1397;2222;;47.0;3848;224;2186;;19;23252;64;297.0;49;74;5184;;7046;0.0;19.6;2.4;3.9;;0.1;6.7;0.4;3.8;;0.0;40.7;0.1;0.5;0.1;0.1;9.1;;12.3;1;21;02;04;0080
227;Leeuwarderadeel;7794;88.8;6922;6915;0.0;2119;137;199;;0.0;267;42;217;;2;2574;14;26.0;1;4;369;;944;0.0;30.6;2.0;2.9;;0.0;3.9;0.6;3.1;;0.0;37.2;0.2;0.4;0.0;0.1;5.3;;13.7;1;21;00;04;0081
228;Leiden;88436;80.0;70757;70638;13.0;10960;832;5941;16.0;30.0;7115;196;4266;;25;22285;69;438.0;55;183;5559;8.0;12647;0.0;15.5;1.2;8.4;0.0;0.0;10.1;0.3;6.0;;0.0;31.5;0.1;0.6;0.1;0.3;7.9;0.0;17.9;3;28;12;25;0546
229;Leiderdorp;19533;84.7;16541;16517;1.0;4305;204;1095;2.0;10.0;933;63;948;;2;3992;18;61.0;11;120;784;4.0;3964;0.0;26.1;1.2;6.6;0.0;0.1;5.6;0.4;5.7;;0.0;24.2;0.1;0.4;0.1;0.7;4.7;0.0;24.0;3;28;12;25;0547
230;Leidschendam-Voorburg;56199;82.8;46554;46496;8.0;13073;427;2700;16.0;19.0;2351;169;3427;;18;9791;35;362.0;58;131;2308;11.0;11592;0.0;28.1;0.9;5.8;0.0;0.0;5.1;0.4;7.4;;0.0;21.1;0.1;0.8;0.1;0.3;5.0;0.0;24.9;3;28;13;26;1916
231;Lelystad;49913;74.4;37122;37072;15.0;6918;815;1573;;23.0;2163;242;3053;;29;11173;52;285.0;59;148;2577;;7947;0.0;18.7;2.2;4.2;;0.1;5.8;0.7;8.2;;0.1;30.1;0.1;0.8;0.2;0.4;7.0;;21.4;2;24;00;40;0995
232;Lemsterland;9775;82.6;8074;8071;1.0;2623;170;205;;3.0;256;50;454;;90;2360;10;36.0;3;34;456;;1320;0.0;32.5;2.1;2.5;;0.0;3.2;0.6;5.6;;1.1;29.2;0.1;0.4;0.0;0.4;5.6;;16.4;1;21;00;05;0082
233;Leusden;21284;88.4;18808;18796;2.0;6032;737;1035;3.0;1.0;976;54;678;;6;3706;18;50.0;8;229;808;1.0;4452;0.0;32.1;3.9;5.5;0.0;0.0;5.2;0.3;3.6;;0.0;19.7;0.1;0.3;0.0;1.2;4.3;0.0;23.7;3;26;08;17;0327
234;Lichtenvoorde;14218;86.0;12227;12217;2.0;6143;20;311;11.0;0.0;375;45;392;;2;2418;27;25.0;3;2;635;;1806;0.0;50.3;0.2;2.5;0.1;0.0;3.1;0.4;3.2;;0.0;19.8;0.2;0.2;0.0;0.0;5.2;;14.8;2;25;00;14;0260
235;Liemeer;4827;82.6;3986;3983;0.0;1820;75;110;1.0;0.0;110;10;267;;0;508;19;15.0;3;45;157;0.0;843;0.0;45.7;1.9;2.8;0.0;0.0;2.8;0.3;6.7;;0.0;12.8;0.5;0.4;0.1;1.1;3.9;0.0;21.2;3;28;00;28;1673
236;De Lier;8084;87.2;7052;7041;0.0;3865;117;142;1.0;0.0;160;21;477;0.0;2;689;3;26.0;6;12;173;0.0;1347;0.0;54.9;1.7;2.0;0.0;0.0;2.3;0.3;6.8;0.0;0.0;9.8;0.0;0.4;0.1;0.2;2.5;0.0;19.1;3;28;00;27;0552
237;Liesveld;6959;90.9;6328;6325;0.0;2341;504;115;4.0;0.0;112;24;289;1.0;2;1065;5;23.0;2;663;189;0.0;986;0.0;37.0;8.0;1.8;0.1;0.0;1.8;0.4;4.6;0.0;0.0;16.8;0.1;0.4;0.0;10.5;3.0;0.0;15.6;3;28;00;30;0694
238;Lingewaal;7946;87.3;6939;6936;;2375;272;182;;1.0;178;31;469;;3;1708;8;19.0;3;266;206;;1215;;34.2;3.9;2.6;;0.0;2.6;0.4;6.8;;0.0;24.6;0.1;0.3;0.0;3.8;3.0;;17.5;2;25;00;16;0733
239;Lingewaard;32394;82.5;26741;26722;1.0;9885;94;1108;3.0;1.0;1107;92;1080;;7;7074;28;109.0;28;15;1460;;4630;0.0;37.0;0.4;4.1;0.0;0.0;4.1;0.3;4.0;;0.0;26.5;0.1;0.4;0.1;0.1;5.5;;17.3;2;25;00;15;1705
240;Lisse;16484;85.5;14087;14079;0.0;5429;241;565;3.0;1.0;477;61;871;;2;2177;12;64.0;8;593;584;0.0;2991;0.0;38.6;1.7;4.0;0.0;0.0;3.4;0.4;6.2;;0.0;15.5;0.1;0.5;0.1;4.2;4.1;0.0;21.2;3;28;00;25;0553
241;Lith;4977;84.2;4192;4179;1.0;1776;12;100;3.0;2.0;99;25;242;;1;753;14;7.0;6;0;467;1.0;670;0.0;42.5;0.3;2.4;0.1;0.0;2.4;0.6;5.8;;0.0;18.0;0.3;0.2;0.1;0.0;11.2;0.0;16.0;4;30;00;35;0808
242;Littenseradiel;7879;87.2;6868;6864;1.0;2565;104;198;;1.0;388;56;206;;0;1966;8;25.0;2;7;421;;916;0.0;37.4;1.5;2.9;;0.0;5.7;0.8;3.0;;0.0;28.6;0.1;0.4;0.0;0.1;6.1;;13.3;1;21;00;04;0140
243;Lochem;14946;86.4;12909;12901;2.0;3761;57;582;3.0;5.0;625;34;399;;0;3937;22;55.0;5;11;546;;2857;0.0;29.2;0.4;4.5;0.0;0.0;4.8;0.3;3.1;;0.0;30.5;0.2;0.4;0.0;0.1;4.2;;22.1;2;25;00;14;0262
244;Loenen;6268;89.4;5603;5603;0.0;1691;82;347;2.0;0.0;251;13;287;;1;1044;7;33.0;8;99;255;0.0;1483;0.0;30.2;1.5;6.2;0.0;0.0;4.5;0.2;5.1;;0.0;18.6;0.1;0.6;0.1;1.8;4.6;0.0;26.5;3;26;00;17;0329
245;Loon op Zand;17489;78.7;13761;13749;3.0;5348;48;441;4.0;2.0;477;65;720;;2;3023;28;61.0;8;71;877;3.0;2568;0.0;38.9;0.3;3.2;0.0;0.0;3.5;0.5;5.2;;0.0;22.0;0.2;0.4;0.1;0.5;6.4;0.0;18.7;4;30;00;34;0809
246;Lopik;9896;87.3;8643;8635;0.0;3862;444;163;0.0;1.0;209;41;555;;1;1248;8;27.0;4;488;289;0.0;1295;0.0;44.7;5.1;1.9;0.0;0.0;2.4;0.5;6.4;;0.0;14.5;0.1;0.3;0.0;5.7;3.3;0.0;15.0;3;26;00;17;0331
247;Loppersum;8296;86.8;7198;7193;0.0;2332;444;183;;0.0;399;25;231;;5;2349;9;25.0;5;77;364;;745;0.0;32.4;6.2;2.5;;0.0;5.5;0.3;3.2;;0.1;32.7;0.1;0.3;0.1;1.1;5.1;;10.4;1;20;00;02;0024
248;Losser;17007;83.0;14110;14103;;6429;61;325;4.0;;426;55;545;;5;3695;31;;11;4;622;;1890;;45.6;0.4;2.3;0.0;;3.0;0.4;3.9;;0.0;26.2;0.2;;0.1;0.0;4.4;;13.4;2;23;00;12;0168
249;Maarn;4418;92.0;4063;4060;0.0;1220;55;231;0.0;3.0;187;10;167;;0;746;1;19.0;6;112;152;0.0;1151;0.0;30.0;1.4;5.7;0.0;0.1;4.6;0.2;4.1;;0.0;18.4;0.0;0.5;0.1;2.8;3.7;0.0;28.3;3;26;00;17;0332
250;Maarssen;29803;81.8;24389;24364;4.0;6285;340;1222;13.0;9.0;1325;79;1496;;8;6195;24;157.0;26;101;1322;20.0;5738;0.0;25.8;1.4;5.0;0.1;0.0;5.4;0.3;6.1;;0.0;25.4;0.1;0.6;0.1;0.4;5.4;0.1;23.6;3;26;09;17;0333
251;Maasbracht;10711;77.1;8253;8249;;3590;47;198;1.0;0.0;284;46;493;;3;1767;6;55.0;4;5;476;;1274;;43.5;0.6;2.4;0.0;0.0;3.4;0.6;6.0;;0.0;21.4;0.1;0.7;0.0;0.1;5.8;;15.4;4;31;00;38;0933
252;Maasbree;9576;81.9;7844;7842;;3867;12;230;3.0;0.0;280;30;391;;0;1359;19;43.0;1;7;329;;1271;;49.3;0.2;2.9;0.0;0.0;3.6;0.4;5.0;;0.0;17.3;0.2;0.5;0.0;0.1;4.2;;16.2;4;31;00;37;0934
253;Maasdonk;8421;83.1;6998;6991;3.0;3142;8;121;2.0;4.0;160;36;344;;2;1204;12;9.0;4;6;814;0.0;1120;0.0;44.9;0.1;1.7;0.0;0.1;2.3;0.5;4.9;;0.0;17.2;0.2;0.1;0.1;0.1;11.6;0.0;16.0;4;30;00;35;1671
254;Maasdriel;17794;83.9;14924;14918;;5889;85;377;;0.0;435;64;1090;;1;2966;21;59.0;14;251;764;;2902;;39.5;0.6;2.5;;0.0;2.9;0.4;7.3;;0.0;19.9;0.1;0.4;0.1;1.7;5.1;;19.5;2;25;00;16;0263
255;Maasland;4995;92.6;4625;4617;0.0;2358;117;122;1.0;2.0;128;9;326;0.0;2;527;0;19.0;1;27;111;0.0;867;0.0;51.1;2.5;2.6;0.0;0.0;2.8;0.2;7.1;0.0;0.0;11.4;0.0;0.4;0.0;0.6;2.4;0.0;18.8;3;28;14;27;0555
256;Maassluis;24582;80.6;19825;19808;3.0;5555;455;686;8.0;42.0;648;102;2082;6.0;5;4990;21;119.0;28;111;962;1.0;3984;0.0;28.0;2.3;3.5;0.0;0.2;3.3;0.5;10.5;0.0;0.0;25.2;0.1;0.6;0.1;0.6;4.9;0.0;20.1;3;28;14;29;0556
257;Maastricht;95131;72.0;68453;68405;;18303;320;3108;21.0;18.0;4607;195;3634;;21;23218;84;530.0;85;27;4831;;9403;;26.8;0.5;4.5;0.0;0.0;6.7;0.3;5.3;;0.0;33.9;0.1;0.8;0.1;0.0;7.1;;13.7;4;31;22;39;0935
258;Margraten;10164;85.8;8721;8714;;4313;22;315;3.0;0.0;333;19;361;;4;1797;6;47.0;5;3;366;;1120;;49.5;0.3;3.6;0.0;0.0;3.8;0.2;4.1;;0.0;20.6;0.1;0.5;0.1;0.0;4.2;;12.9;4;31;00;39;0936
259;De Marne;8455;84.2;7121;7118;1.0;1912;573;168;;0.0;307;16;269;;3;2378;15;50.0;5;20;480;;921;0.0;26.9;8.1;2.4;;0.0;4.3;0.2;3.8;;0.0;33.4;0.2;0.7;0.1;0.3;6.7;;12.9;1;20;00;03;1663
260;Marum;7484;82.7;6191;6185;0.0;1868;244;188;;0.0;199;38;340;;1;1925;12;29.0;4;32;295;;1010;0.0;30.2;3.9;3.0;;0.0;3.2;0.6;5.5;;0.0;31.1;0.2;0.5;0.1;0.5;4.8;;16.3;1;20;00;03;0025
261;Medemblik;5794;78.3;4537;4532;1.0;1336;60;156;;23.0;184;26;433;;5;999;11;30.0;1;7;282;;978;0.0;29.5;1.3;3.4;;0.5;4.1;0.6;9.6;;0.1;22.0;0.2;0.7;0.0;0.2;6.2;;21.6;3;27;00;18;0420
262;Meerlo-Wanssum;5793;82.6;4787;4780;;2395;3;115;1.0;0.0;167;25;222;;1;918;11;14.0;5;2;283;;618;;50.1;0.1;2.4;0.0;0.0;3.5;0.5;4.6;;0.0;19.2;0.2;0.3;0.1;0.0;5.9;;12.9;4;31;00;37;0993
263;Meerssen;15590;80.8;12593;12585;;5297;34;383;2.0;1.0;553;41;623;;4;3032;11;84.0;16;1;658;;1845;;42.1;0.3;3.0;0.0;0.0;4.4;0.3;5.0;;0.0;24.1;0.1;0.7;0.1;0.0;5.2;;14.7;4;31;00;39;0938
264;Meijel;4449;80.0;3558;3543;;1771;0;53;0.0;0.0;78;13;195;;1;673;8;18.0;1;2;157;;573;;50.0;0.0;1.5;0.0;0.0;2.2;0.4;5.5;;0.0;19.0;0.2;0.5;0.0;0.1;4.4;;16.2;4;31;00;37;0941
265;Menaldumadeel;10547;87.2;9192;9187;2.0;2973;159;256;;0.0;414;52;343;;2;3175;19;23.0;3;7;452;;1307;0.0;32.4;1.7;2.8;;0.0;4.5;0.6;3.7;;0.0;34.6;0.2;0.3;0.0;0.1;4.9;;14.2;1;21;00;04;0083
266;Menterwolde;9793;80.4;7873;7872;2.0;1076;184;211;;1.0;281;28;348;;18;3979;16;41.0;8;19;618;;1042;0.0;13.7;2.3;2.7;;0.0;3.6;0.4;4.4;;0.2;50.5;0.2;0.5;0.1;0.2;7.9;;13.2;1;20;00;01;1987
267;Meppel;23062;83.8;19337;19321;;4762;793;736;7.0;4.0;796;59;710;;4;6808;13;69.0;8;43;1026;;3483;;24.6;4.1;3.8;0.0;0.0;4.1;0.3;3.7;;0.0;35.2;0.1;0.4;0.0;0.2;5.3;;18.0;1;22;00;09;0119
268;Middelburg;34647;82.3;28516;28494;;7901;1314;990;;10.0;1627;74;1186;;11;7364;18;164.0;23;2007;1914;;3891;;27.7;4.6;3.5;;0.0;5.7;0.3;4.2;;0.0;25.8;0.1;0.6;0.1;7.0;6.7;;13.7;3;29;00;32;0687
