ID;Waterusers;Periods;TotalUseOfTapWater_1;UseOfDrinkingWater_2;UseOfIndustrialWater_3;UseOfIndustrialWaterForCooling_4;OtherUseOfIndustrialWater_5;TotalUseOfGroundwater_6;UseOfGroundwaterForCooling_7;OtherUseOfGroundwater_8;TotalUseOfSurfaceWater_9;TotalUseOfFreshSurfaceWater_10;UseOfFreshSurfaceWaterForCooling_11;OtherUseOfFreshSurfaceWater_12;TotalUseOfSaltSurfaceWater_13;UseOfSaltSurfaceWaterForCooling_14;OtherUseOfSaltSurfaceWater_15
459;25 Manufacture of metal products;2021;3.5;3.4;0.1;;;3.5;2.3;1.3;1.2;1.2;;;0.0;;
460;25 Manufacture of metal products;2022;;;;;;3.6;1.6;2.0;0.9;0.9;0.9;0.0;0.0;0.0;0.0
461;25 Manufacture of metal products;2023;;;;;;3.6;1.1;2.5;0.7;0.7;0.7;0.0;0.0;0.0;0.0
462;26 Manufacture of electronic products;2003;3.1;3.1;0.0;;;3.4;2.7;0.6;0.1;0.1;;;0.0;;
463;26 Manufacture of electronic products;2004;3.1;3.1;0.0;;;3.4;2.8;0.7;0.1;0.1;;;0.0;;
464;26 Manufacture of electronic products;2005;3.3;3.3;0.0;;;3.6;2.9;0.7;0.1;0.1;;;0.0;;
465;26 Manufacture of electronic products;2006;3.5;3.5;0.0;;;3.7;3.0;0.7;0.1;0.1;;;0.0;;
466;26 Manufacture of electronic products;2007;3.5;3.5;0.0;;;3.5;2.8;0.7;0.1;0.1;;;0.0;;
467;26 Manufacture of electronic products;2008;3.9;3.9;0.0;;;3.7;3.0;0.7;0.1;0.1;;;0.0;;
468;26 Manufacture of electronic products;2009;3.8;3.8;0.0;;;3.7;3.0;0.7;0.1;0.1;;;0.0;;
469;26 Manufacture of electronic products;2010;4.3;4.3;0.0;;;3.7;3.0;0.7;0.1;0.1;;;0.0;;
470;26 Manufacture of electronic products;2011;4.4;4.4;0.0;;;4.1;3.3;0.8;0.1;0.1;;;0.0;;
471;26 Manufacture of electronic products;2012;4.0;4.0;0.0;;;3.9;3.2;0.8;0.1;0.1;;;0.0;;
472;26 Manufacture of electronic products;2013;4.1;4.1;0.0;;;4.0;3.3;0.8;0.1;0.1;;;0.0;;
473;26 Manufacture of electronic products;2014;3.5;3.5;0.0;;;4.0;3.3;0.8;0.1;0.1;;;0.0;;
474;26 Manufacture of electronic products;2015;3.4;3.4;0.0;;;4.2;3.4;0.8;0.1;0.1;;;0.0;;
475;26 Manufacture of electronic products;2016;3.4;3.4;0.0;;;4.5;3.6;0.9;0.1;0.1;;;0.0;;
476;26 Manufacture of electronic products;2017;3.3;3.3;0.0;;;4.2;3.4;0.8;0.1;0.1;;;0.0;;
477;26 Manufacture of electronic products;2018;3.2;3.2;0.0;;;3.9;3.2;0.8;0.1;0.1;;;0.0;;
478;26 Manufacture of electronic products;2019;2.5;2.5;0.0;;;3.0;2.4;0.6;0.1;0.1;;;0.0;;
479;26 Manufacture of electronic products;2020;3.1;3.1;0.0;;;3.7;3.0;0.7;0.1;0.1;;;0.0;;
480;26 Manufacture of electronic products;2021;2.1;2.1;0.0;;;2.5;2.0;0.5;0.1;0.1;;;0.0;;
481;26 Manufacture of electronic products;2022;;;;;;3.8;3.1;0.7;0.1;0.1;;;0.0;0.0;0.0
482;26 Manufacture of electronic products;2023;;;;;;3.9;3.2;0.7;0.1;0.1;;;0.0;0.0;0.0
483;27 Manufacture of electric equipment;2003;0.8;0.8;0.0;;;0.1;0.0;0.0;0.3;0.3;;;0.0;;
484;27 Manufacture of electric equipment;2004;0.7;0.7;0.0;;;0.1;0.0;0.0;0.3;0.3;;;0.0;;
485;27 Manufacture of electric equipment;2005;0.6;0.6;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
486;27 Manufacture of electric equipment;2006;0.7;0.7;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
487;27 Manufacture of electric equipment;2007;0.7;0.7;0.0;;;0.1;0.0;0.0;0.3;0.3;;;0.0;;
488;27 Manufacture of electric equipment;2008;0.8;0.8;0.0;;;0.1;0.0;0.0;0.3;0.3;;;0.0;;
489;27 Manufacture of electric equipment;2009;0.7;0.7;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
490;27 Manufacture of electric equipment;2010;0.7;0.7;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
491;27 Manufacture of electric equipment;2011;0.7;0.7;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
492;27 Manufacture of electric equipment;2012;0.6;0.6;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
493;27 Manufacture of electric equipment;2013;0.6;0.6;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
494;27 Manufacture of electric equipment;2014;0.5;0.5;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
495;27 Manufacture of electric equipment;2015;0.5;0.5;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
496;27 Manufacture of electric equipment;2016;0.5;0.5;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
497;27 Manufacture of electric equipment;2017;0.5;0.5;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
498;27 Manufacture of electric equipment;2018;0.5;0.5;0.0;;;0.1;0.0;0.0;0.2;0.2;;;0.0;;
499;27 Manufacture of electric equipment;2019;0.5;0.5;0.0;;;0.1;0.0;0.1;0.2;0.2;;;0.0;;
500;27 Manufacture of electric equipment;2020;0.5;0.5;0.0;;;0.1;0.0;0.1;0.2;0.2;;;0.0;;
501;27 Manufacture of electric equipment;2021;0.5;0.5;0.0;;;0.1;0.0;0.1;0.2;0.2;;;0.0;;
502;27 Manufacture of electric equipment;2022;;;;;;0.1;0.0;0.1;0.2;0.2;;;0.0;0.0;0.0
503;27 Manufacture of electric equipment;2023;;;;;;0.1;0.0;0.1;0.2;0.2;;;0.0;0.0;0.0
504;28 Manufacture of machinery n.e.c.;2003;2.5;2.5;0.0;;;0.7;0.4;0.2;0.4;0.4;;;0.0;;
505;28 Manufacture of machinery n.e.c.;2004;2.5;2.5;0.0;;;0.7;0.4;0.2;0.4;0.4;;;0.0;;
506;28 Manufacture of machinery n.e.c.;2005;2.5;2.5;0.0;;;0.7;0.4;0.2;0.4;0.4;;;0.0;;
507;28 Manufacture of machinery n.e.c.;2006;2.8;2.8;0.0;;;0.8;0.4;0.2;0.5;0.5;;;0.0;;
508;28 Manufacture of machinery n.e.c.;2007;3.1;3.1;0.0;;;0.8;0.4;0.2;0.5;0.5;;;0.0;;
509;28 Manufacture of machinery n.e.c.;2008;3.2;3.2;0.0;;;0.8;0.4;0.2;0.5;0.5;;;0.0;;
510;28 Manufacture of machinery n.e.c.;2009;2.9;2.9;0.0;;;0.7;0.4;0.1;0.5;0.5;;;0.0;;
511;28 Manufacture of machinery n.e.c.;2010;3.8;3.8;0.0;;;0.8;0.5;0.1;0.5;0.5;;;0.0;;
512;28 Manufacture of machinery n.e.c.;2011;4.1;4.1;0.0;;;1.0;0.5;0.1;0.6;0.6;;;0.0;;
513;28 Manufacture of machinery n.e.c.;2012;3.4;3.4;0.0;;;0.9;0.5;0.1;0.6;0.6;;;0.0;;
514;28 Manufacture of machinery n.e.c.;2013;3.5;3.5;0.0;;;0.9;0.5;0.1;0.6;0.6;;;0.0;;
515;28 Manufacture of machinery n.e.c.;2014;3.2;3.2;0.0;;;0.9;0.5;0.2;0.6;0.6;;;0.0;;
516;28 Manufacture of machinery n.e.c.;2015;2.8;2.8;0.0;;;0.9;0.5;0.2;0.6;0.6;;;0.0;;
517;28 Manufacture of machinery n.e.c.;2016;2.7;2.7;0.0;;;0.9;0.5;0.2;0.6;0.6;;;0.0;;
518;28 Manufacture of machinery n.e.c.;2017;3.3;3.3;0.0;;;1.0;0.6;0.2;0.7;0.7;;;0.0;;
519;28 Manufacture of machinery n.e.c.;2018;3.6;3.6;0.0;;;1.1;0.6;0.3;0.7;0.7;;;0.0;;
520;28 Manufacture of machinery n.e.c.;2019;3.0;3.0;0.0;;;0.9;0.5;0.4;0.6;0.6;;;0.0;;
521;28 Manufacture of machinery n.e.c.;2020;2.9;2.9;0.0;;;0.9;0.5;0.4;0.6;0.6;;;0.0;;
522;28 Manufacture of machinery n.e.c.;2021;3.2;3.2;0.0;;;1.0;0.6;0.4;0.7;0.7;;;0.0;;
523;28 Manufacture of machinery n.e.c.;2022;;;;;;0.9;0.5;0.4;0.6;0.6;;;0.0;0.0;0.0
524;28 Manufacture of machinery n.e.c.;2023;;;;;;0.9;0.5;0.4;0.6;0.6;;;0.0;0.0;0.0
525;29 Manufacture of cars and trailers;2003;2.1;2.1;0.0;;;0.4;0.2;0.1;0.3;0.3;;;0.0;;
526;29 Manufacture of cars and trailers;2004;1.4;1.4;0.0;;;0.4;0.2;0.1;1.0;1.0;;;0.0;;
527;29 Manufacture of cars and trailers;2005;1.3;1.3;0.0;;;0.3;0.2;0.1;1.3;1.3;;;0.0;;
528;29 Manufacture of cars and trailers;2006;1.2;1.2;0.0;;;0.2;0.1;0.1;1.3;1.3;;;0.0;;
529;29 Manufacture of cars and trailers;2007;1.4;1.4;0.0;;;0.2;0.1;0.1;1.2;1.2;;;0.0;;
530;29 Manufacture of cars and trailers;2008;1.4;1.4;0.0;;;0.2;0.1;0.1;1.0;1.0;;;0.0;;
531;29 Manufacture of cars and trailers;2009;1.0;1.0;0.0;;;0.2;0.1;0.1;1.0;1.0;;;0.0;;
532;29 Manufacture of cars and trailers;2010;1.3;1.3;0.0;;;0.2;0.1;0.1;0.9;0.9;;;0.0;;
533;29 Manufacture of cars and trailers;2011;1.3;1.3;0.0;;;0.2;0.1;0.1;1.1;1.1;;;0.0;;
534;29 Manufacture of cars and trailers;2012;1.2;1.2;0.0;;;0.2;0.1;0.1;1.1;1.1;;;0.0;;
535;29 Manufacture of cars and trailers;2013;1.1;1.1;0.0;;;0.1;0.1;0.1;1.1;1.1;;;0.0;;
536;29 Manufacture of cars and trailers;2014;1.5;1.5;0.0;;;0.2;0.0;0.1;2.0;2.0;;;0.0;;
537;29 Manufacture of cars and trailers;2015;1.2;1.2;0.0;;;0.2;0.1;0.1;1.2;1.2;;;0.0;;
538;29 Manufacture of cars and trailers;2016;1.3;1.3;0.0;;;0.2;0.1;0.2;1.4;1.4;;;0.0;;
539;29 Manufacture of cars and trailers;2017;1.9;1.9;0.0;;;0.3;0.1;0.2;2.5;2.5;;;0.0;;
540;29 Manufacture of cars and trailers;2018;1.4;1.4;0.0;;;0.4;0.1;0.3;1.5;1.5;;;0.0;;
541;29 Manufacture of cars and trailers;2019;1.1;1.1;0.0;;;0.0;0.1;0.0;3.1;3.1;;;0.0;;
542;29 Manufacture of cars and trailers;2020;0.6;0.6;0.0;;;0.0;0.1;0.0;1.2;1.2;;;0.0;;
543;29 Manufacture of cars and trailers;2021;1.3;1.3;0.0;;;0.0;0.1;0.0;1.4;1.4;;;0.0;;
544;29 Manufacture of cars and trailers;2022;;;;;;0.1;0.1;0.0;1.4;1.4;0.0;1.4;0.0;0.0;0.0
545;29 Manufacture of cars and trailers;2023;;;;;;0.1;0.1;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
546;30 Manufacture of other transport;2003;1.1;1.1;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
547;30 Manufacture of other transport;2004;1.0;1.0;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
548;30 Manufacture of other transport;2005;0.9;0.9;0.0;;;0.1;0.1;0.1;0.1;0.1;;;0.0;;
549;30 Manufacture of other transport;2006;0.9;0.9;0.0;;;0.1;0.1;0.1;0.1;0.1;;;0.0;;
550;30 Manufacture of other transport;2007;0.9;0.9;0.0;;;0.1;0.1;0.1;0.1;0.1;;;0.0;;
551;30 Manufacture of other transport;2008;1.0;1.0;0.0;;;0.1;0.1;0.1;0.1;0.1;;;0.0;;
552;30 Manufacture of other transport;2009;1.2;1.2;0.0;;;0.1;0.1;0.1;0.1;0.1;;;0.0;;
553;30 Manufacture of other transport;2010;1.0;1.0;0.0;;;0.1;0.1;0.0;0.0;0.0;;;0.0;;
554;30 Manufacture of other transport;2011;0.8;0.8;0.0;;;0.1;0.1;0.0;0.0;0.0;;;0.0;;
555;30 Manufacture of other transport;2012;0.9;0.9;0.0;;;0.1;0.1;0.0;0.1;0.1;;;0.0;;
556;30 Manufacture of other transport;2013;1.2;1.2;0.0;;;0.1;0.1;0.0;0.1;0.1;;;0.0;;
557;30 Manufacture of other transport;2014;1.2;1.2;0.0;;;0.1;0.1;0.0;0.1;0.1;;;0.0;;
558;30 Manufacture of other transport;2015;1.2;1.2;0.0;;;0.1;0.1;0.1;0.1;0.1;;;0.0;;
559;30 Manufacture of other transport;2016;0.9;0.9;0.0;;;0.1;0.1;0.1;0.0;0.0;;;0.0;;
560;30 Manufacture of other transport;2017;0.9;0.9;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
561;30 Manufacture of other transport;2018;0.8;0.8;0.0;;;0.2;0.1;0.1;0.1;0.1;;;0.0;;
562;30 Manufacture of other transport;2019;1.4;1.4;0.0;;;0.1;0.1;0.0;0.1;0.1;;;0.0;;
563;30 Manufacture of other transport;2020;1.2;1.2;0.0;;;0.1;0.1;0.0;0.1;0.1;;;0.0;;
564;30 Manufacture of other transport;2021;1.1;1.1;0.0;;;0.1;0.1;0.0;0.1;0.1;;;0.0;;
565;30 Manufacture of other transport;2022;;;;;;0.1;0.1;0.0;0.1;0.1;;;0.0;0.0;0.0
566;30 Manufacture of other transport;2023;;;;;;0.1;0.1;0.0;0.1;0.1;;;0.0;0.0;0.0
567;31 Manufacture of furniture;2003;0.5;0.5;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
568;31 Manufacture of furniture;2004;0.4;0.4;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
569;31 Manufacture of furniture;2005;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
570;31 Manufacture of furniture;2006;0.5;0.5;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
571;31 Manufacture of furniture;2007;0.5;0.5;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
572;31 Manufacture of furniture;2008;0.5;0.5;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
573;31 Manufacture of furniture;2009;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
574;31 Manufacture of furniture;2010;0.5;0.5;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
575;31 Manufacture of furniture;2011;0.5;0.5;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
576;31 Manufacture of furniture;2012;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
577;31 Manufacture of furniture;2013;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
578;31 Manufacture of furniture;2014;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
579;31 Manufacture of furniture;2015;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
580;31 Manufacture of furniture;2016;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
581;31 Manufacture of furniture;2017;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
582;31 Manufacture of furniture;2018;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
583;31 Manufacture of furniture;2019;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
584;31 Manufacture of furniture;2020;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
585;31 Manufacture of furniture;2021;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
586;31 Manufacture of furniture;2022;;;;;;0.1;0.0;0.1;0.1;0.1;;;0.0;0.0;0.0
587;31 Manufacture of furniture;2023;;;;;;0.1;0.0;0.1;0.1;0.1;;;0.0;0.0;0.0
588;32 Manufacture of other products;2003;0.5;0.5;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
589;32 Manufacture of other products;2004;0.4;0.4;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
590;32 Manufacture of other products;2005;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
591;32 Manufacture of other products;2006;0.5;0.5;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
592;32 Manufacture of other products;2007;0.5;0.5;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
593;32 Manufacture of other products;2008;0.5;0.5;0.0;;;0.2;0.0;0.1;0.1;0.1;;;0.0;;
594;32 Manufacture of other products;2009;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
595;32 Manufacture of other products;2010;0.5;0.5;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
596;32 Manufacture of other products;2011;0.5;0.5;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
597;32 Manufacture of other products;2012;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
598;32 Manufacture of other products;2013;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
599;32 Manufacture of other products;2014;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
600;32 Manufacture of other products;2015;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
601;32 Manufacture of other products;2016;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
602;32 Manufacture of other products;2017;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
603;32 Manufacture of other products;2018;0.4;0.4;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
604;32 Manufacture of other products;2019;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
605;32 Manufacture of other products;2020;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
606;32 Manufacture of other products;2021;0.3;0.3;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
607;32 Manufacture of other products;2022;;;;;;0.1;0.0;0.1;0.1;0.1;;;0.0;0.0;0.0
608;32 Manufacture of other products;2023;;;;;;0.1;0.0;0.1;0.1;0.1;;;0.0;0.0;0.0
609;33 Repair and installation of machinery;2003;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
610;33 Repair and installation of machinery;2004;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
611;33 Repair and installation of machinery;2005;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
612;33 Repair and installation of machinery;2006;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
613;33 Repair and installation of machinery;2007;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
614;33 Repair and installation of machinery;2008;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
615;33 Repair and installation of machinery;2009;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
616;33 Repair and installation of machinery;2010;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
617;33 Repair and installation of machinery;2011;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
618;33 Repair and installation of machinery;2012;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
619;33 Repair and installation of machinery;2013;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
620;33 Repair and installation of machinery;2014;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
621;33 Repair and installation of machinery;2015;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
622;33 Repair and installation of machinery;2016;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
623;33 Repair and installation of machinery;2017;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
624;33 Repair and installation of machinery;2018;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
625;33 Repair and installation of machinery;2019;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
626;33 Repair and installation of machinery;2020;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
627;33 Repair and installation of machinery;2021;0.1;0.1;0.0;;;0.1;0.0;0.1;0.0;0.0;;;0.0;;
628;33 Repair and installation of machinery;2022;;;;;;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
629;33 Repair and installation of machinery;2023;;;;;;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
630;D Energy supply;2003;5.1;5.1;0.0;;;0.6;0.0;0.6;9169.6;6116.5;;;3053.0;;
631;D Energy supply;2004;2.3;2.3;0.0;;;0.6;0.0;0.6;10202.1;6253.4;;;3948.8;;
632;D Energy supply;2005;2.3;2.3;0.0;;;0.8;0.0;0.8;9791.0;6644.7;;;3146.3;;
633;D Energy supply;2006;2.5;2.5;0.0;;;0.8;0.0;0.8;9272.3;6046.9;;;3225.4;;
634;D Energy supply;2007;3.1;3.1;0.0;;;1.6;0.0;1.6;9387.8;6066.8;;;3321.0;;
635;D Energy supply;2008;4.1;4.0;0.1;;;1.7;0.0;1.7;9044.6;5695.1;;;3349.5;;
636;D Energy supply;2009;11.9;5.6;6.3;;;4.6;1.1;3.5;9665.2;6330.0;;;3335.2;;
637;D Energy supply;2010;17.2;8.3;8.9;;;5.3;0.2;5.2;9693.3;6142.3;;;3551.0;;
638;D Energy supply;2011;17.9;9.2;8.7;;;5.3;0.0;5.3;9023.5;5355.0;;;3668.5;;
639;D Energy supply;2012;11.4;3.1;8.3;;;5.0;0.0;5.0;9602.6;5962.4;;;3640.2;;
640;D Energy supply;2013;14.6;3.7;10.9;;;4.8;0.0;4.8;10394.7;5939.0;;;4455.7;;
641;D Energy supply;2014;13.3;3.0;10.3;;;4.0;0.0;4.0;10358.9;5092.6;;;5266.3;;
642;D Energy supply;2015;14.3;3.5;10.8;;;4.0;0.0;4.0;10999.4;4342.3;;;6657.2;;
643;D Energy supply;2016;14.7;3.7;11.0;;;3.7;0.0;3.7;10377.6;3585.0;;;6792.6;;
644;D Energy supply;2017;13.1;3.5;9.6;;;3.9;0.0;3.9;9613.6;3582.5;;;6031.0;;
645;D Energy supply;2018;13.3;3.5;9.8;;;3.9;0.0;3.9;8868.4;3366.0;;;5502.4;;
646;D Energy supply;2019;12.1;4.3;7.8;;;3.9;0.0;3.9;9365.4;3766.7;;;5598.7;;
647;D Energy supply;2020;10.5;2.6;7.9;;;0.3;0.0;0.3;8742.3;3520.3;;;5221.9;;
648;D Energy supply;2021;11.7;3.8;7.9;;;4.0;0.0;4.0;8999.9;3179.3;;;5820.6;;
649;D Energy supply;2022;;;;;;3.7;0.0;3.7;9024.6;3426.3;3425.9;0.5;5598.3;5598.3;0.0
650;D Energy supply;2023;;;;;;3.1;0.0;3.1;7568.9;2934.7;2934.4;0.3;4634.2;4634.2;0.0
651;E Water supply and waste management;2003;5.4;5.3;0.1;;;803.0;0.0;803.0;1075.5;1075.5;;;0.0;;
652;E Water supply and waste management;2004;5.4;5.3;0.1;;;772.5;0.0;772.5;1069.2;1069.2;;;0.0;;
653;E Water supply and waste management;2005;4.7;4.6;0.1;;;767.6;0.0;767.6;1003.3;1003.3;;;0.0;;
654;E Water supply and waste management;2006;5.6;5.5;0.1;;;779.7;0.0;779.7;1053.5;1053.5;;;0.0;;
655;E Water supply and waste management;2007;5.0;4.9;0.1;;;768.9;0.0;768.9;1001.1;1001.1;;;0.0;;
656;E Water supply and waste management;2008;6.7;6.6;0.1;;;763.6;0.0;763.6;962.6;962.6;;;0.0;;
657;E Water supply and waste management;2009;5.6;5.5;0.1;;;761.0;0.0;761.0;921.0;918.1;;;2.9;;
658;E Water supply and waste management;2010;6.2;6.1;0.1;;;762.8;0.0;762.8;1025.5;1023.4;;;2.1;;
659;E Water supply and waste management;2011;4.9;4.8;0.1;;;756.7;0.1;756.6;1026.8;1025.2;;;1.6;;
660;E Water supply and waste management;2012;5.8;5.7;0.1;;;754.7;0.2;754.5;987.2;984.6;;;2.6;;
661;E Water supply and waste management;2013;4.7;3.5;1.2;;;764.0;0.3;763.7;1013.2;1011.2;;;2.0;;
662;E Water supply and waste management;2014;4.5;3.5;1.0;;;759.0;0.2;758.8;979.2;978.1;;;1.1;;
663;E Water supply and waste management;2015;3.7;3.3;0.4;;;768.3;0.2;768.1;999.0;997.4;;;1.6;;
664;E Water supply and waste management;2016;4.2;3.7;0.5;;;779.4;0.1;779.3;1037.3;1035.2;;;2.1;;
665;E Water supply and waste management;2017;4.3;3.9;0.4;;;783.6;0.1;783.5;904.8;903.4;;;1.4;;
666;E Water supply and waste management;2018;5.5;5.1;0.4;;;826.2;0.7;825.5;1141.1;1132.7;;;8.4;;
667;E Water supply and waste management;2019;6.5;6.2;0.3;;;813.3;1.1;812.2;1155.1;1153.2;;;1.9;;
668;E Water supply and waste management;2020;7.0;6.7;0.3;;;843.0;1.4;841.6;1213.3;1211.7;;;1.6;;
669;E Water supply and waste management;2021;7.1;6.8;0.3;;;815.2;1.3;813.8;1247.7;1246.1;;;1.6;;
670;E Water supply and waste management;2022;;;;;;809.0;1.6;807.4;1375.7;1375.7;881.2;494.6;0.0;0.0;0.0
671;E Water supply and waste management;2023;;;;;;795.6;1.6;794.0;1359.3;1359.3;890.7;468.7;0.0;0.0;0.0
672;36 Water collection and distribution;2003;0.3;0.3;0.0;;;801.0;;801.0;517.0;517.0;;;0.0;;
673;36 Water collection and distribution;2004;0.2;0.2;0.0;;;770.0;;770.0;507.0;507.0;;;0.0;;
674;36 Water collection and distribution;2005;0.2;0.2;0.0;;;766.0;;766.0;490.0;490.0;;;0.0;;
675;36 Water collection and distribution;2006;0.2;0.2;0.0;;;777.0;;777.0;502.0;502.0;;;0.0;;
676;36 Water collection and distribution;2007;0.2;0.2;0.0;;;766.1;;766.1;482.3;482.3;;;0.0;;
677;36 Water collection and distribution;2008;0.2;0.2;0.0;;;762.2;;762.2;489.8;489.8;;;0.0;;
678;36 Water collection and distribution;2009;0.2;0.2;0.0;;;760.7;;760.7;474.3;474.3;;;0.0;;
679;36 Water collection and distribution;2010;0.2;0.2;0.0;;;760.8;;760.8;456.3;456.3;;;0.0;;
680;36 Water collection and distribution;2011;0.2;0.2;0.0;;;755.8;;755.8;473.2;473.2;;;0.0;;
681;36 Water collection and distribution;2012;0.2;0.2;0.0;;;753.6;;753.6;463.7;463.7;;;0.0;;
682;36 Water collection and distribution;2013;0.2;0.2;0.0;;;762.8;;762.8;459.0;459.0;;;0.0;;
683;36 Water collection and distribution;2014;0.2;0.2;0.0;;;757.7;;757.7;466.4;466.4;;;0.0;;
684;36 Water collection and distribution;2015;0.2;0.2;0.0;;;766.8;;766.8;470.4;470.4;;;0.0;;
685;36 Water collection and distribution;2016;0.2;0.2;0.0;;;777.9;;777.9;482.5;482.5;;;0.0;;
686;36 Water collection and distribution;2017;0.2;0.2;0.0;;;782.1;0.0;782.1;417.3;417.3;;;0.0;;
687;36 Water collection and distribution;2018;0.2;0.2;0.0;;;823.4;0.0;823.4;488.8;488.8;;;0.0;;
688;36 Water collection and distribution;2019;0.2;0.2;0.0;;;810.2;0.0;810.2;492.0;492.0;;;0.0;;
