ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
6518;Domestic sales (total);27 Manufacture of basic metals;2006 June;2163;128.0;0.2;5.0;2165;128.0;0.2;5.0
6519;Domestic sales (total);27 Manufacture of basic metals;2006 July;2163;133.0;3.5;10.7;2165;133.0;3.5;10.7
6520;Domestic sales (total);27 Manufacture of basic metals;2006 August;2163;134.0;0.9;12.0;2165;134.0;0.9;12.0
6521;Domestic sales (total);27 Manufacture of basic metals;2006 September;2163;133.0;-0.2;11.2;2165;133.0;-0.2;11.1
6522;Domestic sales (total);27 Manufacture of basic metals;2006 October;2163;136.0;1.8;12.9;2165;136.0;1.8;12.9
6523;Domestic sales (total);27 Manufacture of basic metals;2006 November;2163;136.0;0.1;12.8;2165;136.0;0.1;12.8
6524;Domestic sales (total);27 Manufacture of basic metals;2006 December;2163;136.0;-0.3;11.8;2165;136.0;-0.3;11.8
6525;Domestic sales (total);27 Manufacture of basic metals;2006;2163;130.0;;7.5;2165;130.0;;7.5
6526;Domestic sales (total);27 Manufacture of basic metals;2007 January;2163;135.0;-0.4;9.5;2165;135.0;-0.4;9.5
6527;Domestic sales (total);27 Manufacture of basic metals;2007 February;2163;134.0;-0.8;8.2;2165;134.0;-0.8;8.2
6528;Domestic sales (total);27 Manufacture of basic metals;2007 March;2163;134.0;-0.1;7.8;2165;134.0;-0.1;7.8
6529;Domestic sales (total);27 Manufacture of basic metals;2007 April;2163;135.0;0.9;5.9;2165;135.0;0.9;5.9
6530;Domestic sales (total);27 Manufacture of basic metals;2007 May;2163;136.0;0.7;6.3;2165;136.0;0.7;6.3
6531;Domestic sales (total);27 Manufacture of basic metals;2007 June;2163;135.0;-0.5;5.5;2165;135.0;-0.5;5.5
6532;Domestic sales (total);27 Manufacture of basic metals;2007 July;2163;135.0;0.1;2.1;2165;135.0;0.1;2.1
6533;Domestic sales (total);27 Manufacture of basic metals;2007 August;2163;135.0;-0.2;1.0;2165;135.0;-0.2;1.0
6534;Domestic sales (total);27 Manufacture of basic metals;2007 September;2163;135.0;0.2;1.4;2165;135.0;0.2;1.4
6535;Domestic sales (total);27 Manufacture of basic metals;2007 October;2163;136.0;0.2;-0.3;2165;136.0;0.2;-0.3
6536;Domestic sales (total);27 Manufacture of basic metals;2007 November;2163;134.0;-1.0;-1.4;2165;134.0;-1.0;-1.4
6537;Domestic sales (total);27 Manufacture of basic metals;2007 December;2163;133.0;-0.6;-1.7;2165;133.0;-0.6;-1.7
6538;Domestic sales (total);27 Manufacture of basic metals;2007;2163;135.0;;3.6;2165;135.0;;3.6
6539;Domestic sales (total);27 Manufacture of basic metals;2008 January;2163;135.0;1.5;0.3;2165;135.0;1.5;0.3
6540;Domestic sales (total);27 Manufacture of basic metals;2008 February;2163;135.0;-0.3;0.8;2165;135.0;-0.3;0.8
6541;Domestic sales (total);27 Manufacture of basic metals;2008 March;2163;135.0;0.0;0.9;2165;135.0;0.0;0.9
6542;Domestic sales (total);27 Manufacture of basic metals;2008 April;2163;138.0;2.2;2.2;2165;138.0;2.2;2.2
6543;Domestic sales (total);27 Manufacture of basic metals;2008 May;2163;139.0;0.8;2.3;2165;139.0;0.8;2.3
6544;Domestic sales (total);27 Manufacture of basic metals;2008 June;2163;140.0;0.6;3.5;2165;140.0;0.6;3.5
6545;Domestic sales (total);27 Manufacture of basic metals;2008 July;2163;144.0;2.7;6.3;2165;144.0;2.7;6.3
6546;Domestic sales (total);27 Manufacture of basic metals;2008 August;2163;145.0;0.8;7.3;2165;145.0;0.8;7.3
6547;Domestic sales (total);27 Manufacture of basic metals;2008 September;2163;145.0;0.2;7.3;2165;145.0;0.2;7.3
6548;Domestic sales (total);27 Manufacture of basic metals;2008 October;2163;145.0;-0.3;6.8;2165;145.0;-0.3;6.8
6549;Domestic sales (total);27 Manufacture of basic metals;2008 November;2163;143.0;-1.5;6.2;2165;143.0;-1.5;6.2
6550;Domestic sales (total);27 Manufacture of basic metals;2008 December;2163;142.0;-0.3;6.5;2165;142.0;-0.3;6.5
6551;Domestic sales (total);27 Manufacture of basic metals;2008;2163;140.0;;4.2;2165;140.0;;4.2
6552;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 January;6693;99.0;;;6693;99.0;;
6553;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 February;6693;99.0;0.0;;6693;99.0;0.0;
6554;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 March;6693;99.0;0.1;;6693;99.0;0.1;
6555;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 April;6693;99.0;0.6;;6693;99.0;0.6;
6556;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 May;6693;99.0;0.0;;6693;99.0;0.0;
6557;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 June;6693;99.0;0.0;;6693;99.0;0.0;
6558;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 July;6693;101.0;1.2;;6693;101.0;1.2;
6559;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 August;6693;101.0;0.1;;6693;101.0;0.1;
6560;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 September;6693;101.0;0.0;;6693;101.0;0.0;
6561;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 October;6693;101.0;0.5;;6693;101.0;0.5;
6562;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 November;6693;101.0;-0.2;;6693;101.0;-0.2;
6563;Domestic sales (total);28 Manufacture of fabricated metal produ;2000 December;6693;101.0;-0.2;;6693;101.0;-0.2;
6564;Domestic sales (total);28 Manufacture of fabricated metal produ;2000;6693;100.0;;;6693;100.0;;
6565;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 January;6693;102.0;1.1;3.3;6693;102.0;1.1;3.3
6566;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 February;6693;102.0;0.2;3.5;6693;102.0;0.2;3.5
6567;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 March;6693;102.0;0.2;3.6;6693;102.0;0.2;3.6
6568;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 April;6693;102.0;-0.4;2.6;6693;102.0;-0.4;2.6
6569;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 May;6693;102.0;0.0;2.5;6693;102.0;0.0;2.5
6570;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 June;6693;102.0;-0.2;2.2;6693;102.0;-0.2;2.2
6571;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 July;6693;102.0;0.3;1.3;6693;102.0;0.3;1.3
6572;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 August;6693;102.0;0.1;1.2;6693;102.0;0.1;1.2
6573;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 September;6693;102.0;0.1;1.3;6693;102.0;0.1;1.3
6574;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 October;6693;102.0;-0.1;0.7;6693;102.0;-0.1;0.7
6575;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 November;6693;102.0;-0.1;0.9;6693;102.0;-0.1;0.9
6576;Domestic sales (total);28 Manufacture of fabricated metal produ;2001 December;6693;102.0;0.1;1.1;6693;102.0;0.1;1.1
6577;Domestic sales (total);28 Manufacture of fabricated metal produ;2001;6693;102.0;;2.0;6693;102.0;;2.0
6578;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 January;6693;103.0;1.0;1.0;6693;103.0;1.0;1.0
6579;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 February;6693;103.0;0.2;1.0;6693;103.0;0.2;1.0
6580;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 March;6693;103.0;0.0;0.7;6693;103.0;0.0;0.7
6581;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 April;6693;103.0;0.1;1.3;6693;103.0;0.1;1.3
6582;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 May;6693;103.0;0.0;1.3;6693;103.0;0.0;1.3
6583;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 June;6693;103.0;0.1;1.6;6693;103.0;0.1;1.6
6584;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 July;6693;103.0;0.1;1.5;6693;103.0;0.1;1.5
6585;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 August;6693;104.0;0.1;1.5;6693;104.0;0.1;1.5
6586;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 September;6693;104.0;0.1;1.5;6693;104.0;0.1;1.5
6587;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 October;6693;104.0;0.0;1.5;6693;104.0;0.0;1.5
6588;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 November;6693;104.0;0.0;1.6;6693;104.0;0.0;1.6
6589;Domestic sales (total);28 Manufacture of fabricated metal produ;2002 December;6693;104.0;0.0;1.5;6693;104.0;0.0;1.5
6590;Domestic sales (total);28 Manufacture of fabricated metal produ;2002;6693;103.0;;1.3;6693;103.0;;1.3
6591;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 January;6693;104.0;0.8;1.4;6693;104.0;0.8;1.4
6592;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 February;6693;105.0;0.1;1.4;6693;105.0;0.1;1.4
6593;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 March;6693;105.0;0.0;1.4;6693;105.0;0.0;1.4
6594;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 April;6693;105.0;0.0;1.2;6693;105.0;0.0;1.2
6595;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 May;6693;105.0;0.0;1.3;6693;105.0;0.0;1.3
6596;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 June;6693;104.0;-0.1;1.1;6693;104.0;-0.1;1.1
6597;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 July;6693;105.0;0.3;1.3;6693;105.0;0.3;1.3
6598;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 August;6693;105.0;-0.1;1.1;6693;105.0;-0.1;1.1
6599;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 September;6693;105.0;0.1;1.1;6693;105.0;0.1;1.1
6600;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 October;6693;105.0;-0.1;1.0;6693;105.0;-0.1;1.0
6601;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 November;6693;105.0;0.0;1.0;6693;105.0;0.0;1.0
6602;Domestic sales (total);28 Manufacture of fabricated metal produ;2003 December;6693;105.0;0.0;0.9;6693;105.0;0.0;0.9
6603;Domestic sales (total);28 Manufacture of fabricated metal produ;2003;6693;105.0;;1.2;6693;105.0;;1.2
6604;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 January;6693;105.0;0.0;0.1;6693;105.0;0.0;0.1
6605;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 February;6693;105.0;0.2;0.1;6693;105.0;0.2;0.1
6606;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 March;6693;105.0;0.6;0.7;6693;105.0;0.6;0.7
6607;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 April;6693;108.0;2.2;2.9;6693;108.0;2.2;2.9
6608;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 May;6693;108.0;0.1;3.0;6693;108.0;0.1;3.0
6609;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 June;6693;108.0;0.0;3.1;6693;108.0;0.0;3.1
6610;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 July;6693;109.0;1.6;4.5;6693;109.0;1.6;4.5
6611;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 August;6693;110.0;0.1;4.7;6693;110.0;0.1;4.7
6612;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 September;6693;110.0;0.2;4.9;6693;110.0;0.2;4.9
6613;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 October;6693;111.0;0.7;5.8;6693;111.0;0.7;5.8
6614;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 November;6693;110.0;-0.2;5.6;6693;110.0;-0.2;5.6
6615;Domestic sales (total);28 Manufacture of fabricated metal produ;2004 December;6693;110.0;-0.2;5.5;6693;110.0;-0.2;5.5
6616;Domestic sales (total);28 Manufacture of fabricated metal produ;2004;6693;108.0;;3.4;6693;108.0;;3.4
6617;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 January;6693;112.0;1.3;6.9;6693;112.0;1.3;6.9
6618;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 February;6693;112.0;0.0;6.7;6693;112.0;0.0;6.7
6619;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 March;6693;112.0;0.0;6.1;6693;112.0;0.0;6.1
6620;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 April;6693;112.0;0.6;4.5;6693;112.0;0.6;4.5
6621;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 May;6693;112.0;0.0;4.3;6693;112.0;0.0;4.3
6622;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 June;6693;112.0;-0.1;4.2;6693;112.0;-0.1;4.2
6623;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 July;6693;111.0;-0.8;1.7;6693;111.0;-0.8;1.7
6624;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 August;6693;112.0;0.2;1.8;6693;112.0;0.2;1.8
6625;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 September;6693;112.0;0.2;1.8;6693;112.0;0.2;1.8
6626;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 October;6693;114.0;1.5;2.6;6693;114.0;1.5;2.6
6627;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 November;6693;113.0;-0.1;2.6;6693;113.0;-0.1;2.6
6628;Domestic sales (total);28 Manufacture of fabricated metal produ;2005 December;6693;113.0;0.1;2.9;6693;113.0;0.1;2.9
6629;Domestic sales (total);28 Manufacture of fabricated metal produ;2005;6693;112.0;;3.8;6693;112.0;;3.8
6630;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 January;6693;115.0;1.1;2.6;6693;115.0;1.1;2.6
6631;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 February;6693;115.0;0.0;2.6;6693;115.0;0.0;2.6
6632;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 March;6693;115.0;0.2;2.9;6693;115.0;0.2;2.9
6633;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 April;6693;116.0;1.1;3.3;6693;116.0;1.1;3.3
6634;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 May;6693;116.0;0.1;3.5;6693;116.0;0.1;3.5
6635;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 June;6693;116.0;0.2;3.8;6693;116.0;0.2;3.8
6636;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 July;6693;119.0;1.8;6.6;6693;119.0;1.8;6.6
6637;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 August;6693;119.0;0.2;6.5;6693;119.0;0.2;6.5
6638;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 September;6693;119.0;0.1;6.4;6693;119.0;0.1;6.4
6639;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 October;6693;120.0;1.1;5.9;6693;120.0;1.1;5.9
6640;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 November;6693;120.0;0.1;6.2;6693;120.0;0.1;6.2
6641;Domestic sales (total);28 Manufacture of fabricated metal produ;2006 December;6693;120.0;-0.1;6.1;6693;120.0;-0.1;6.1
6642;Domestic sales (total);28 Manufacture of fabricated metal produ;2006;6693;118.0;;4.7;6693;118.0;;4.7
6643;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 January;6693;123.0;1.9;7.0;6693;123.0;1.9;7.0
6644;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 February;6693;123.0;0.1;7.1;6693;123.0;0.1;7.1
6645;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 March;6693;123.0;0.1;7.0;6693;123.0;0.1;7.0
6646;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 April;6693;124.0;1.2;7.1;6693;124.0;1.2;7.1
6647;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 May;6693;125.0;0.2;7.2;6693;125.0;0.2;7.2
6648;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 June;6693;125.0;0.0;7.1;6693;125.0;0.0;7.1
6649;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 July;6693;125.0;0.2;5.3;6693;125.0;0.2;5.3
6650;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 August;6693;125.0;-0.1;5.0;6693;125.0;-0.1;5.0
6651;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 September;6693;125.0;-0.1;4.8;6693;125.0;-0.1;4.8
6652;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 October;6693;126.0;0.9;4.6;6693;126.0;0.9;4.6
6653;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 November;6693;126.0;0.0;4.5;6693;126.0;0.0;4.5
6654;Domestic sales (total);28 Manufacture of fabricated metal produ;2007 December;6693;126.0;0.0;4.5;6693;126.0;0.0;4.5
6655;Domestic sales (total);28 Manufacture of fabricated metal produ;2007;6693;125.0;;5.9;6693;125.0;;5.9
6656;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 January;6693;128.0;1.6;4.2;6693;128.0;1.6;4.2
6657;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 February;6693;128.0;0.1;4.2;6693;128.0;0.1;4.2
6658;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 March;6693;128.0;0.1;4.1;6693;128.0;0.1;4.1
6659;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 April;6693;130.0;1.5;4.4;6693;130.0;1.5;4.4
6660;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 May;6693;130.0;0.3;4.5;6693;130.0;0.3;4.5
6661;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 June;6693;131.0;0.4;4.9;6693;131.0;0.4;4.9
6662;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 July;6693;134.0;2.1;6.9;6693;134.0;2.1;6.9
6663;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 August;6693;134.0;0.1;7.1;6693;134.0;0.1;7.1
6664;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 September;6693;133.0;-0.3;6.8;6693;133.0;-0.3;6.8
6665;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 October;6693;133.0;-0.3;5.6;6693;133.0;-0.3;5.6
6666;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 November;6693;132.0;-0.4;5.2;6693;132.0;-0.4;5.2
6667;Domestic sales (total);28 Manufacture of fabricated metal produ;2008 December;6693;132.0;-0.1;5.1;6693;132.0;-0.1;5.1
6668;Domestic sales (total);28 Manufacture of fabricated metal produ;2008;6693;131.0;;5.3;6693;131.0;;5.3
6669;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 January;3702;99.0;;;3702;99.0;;
6670;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 February;3702;99.0;0.0;;3702;99.0;0.0;
6671;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 March;3702;99.0;0.1;;3702;99.0;0.1;
6672;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 April;3702;100.0;0.3;;3702;100.0;0.3;
6673;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 May;3702;100.0;0.0;;3702;100.0;0.0;
6674;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 June;3702;100.0;0.0;;3702;100.0;0.0;
6675;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 July;3702;100.0;0.5;;3702;100.0;0.5;
6676;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 August;3702;100.0;0.0;;3702;100.0;0.0;
6677;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 September;3702;100.0;0.0;;3702;100.0;0.0;
6678;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 October;3702;101.0;0.4;;3702;101.0;0.4;
6679;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 November;3702;101.0;0.0;;3702;101.0;0.0;
6680;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000 December;3702;101.0;0.0;;3702;101.0;0.0;
6681;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2000;3702;100.0;;;3702;100.0;;
6682;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 January;3702;102.0;1.3;2.6;3702;102.0;1.3;2.6
6683;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 February;3702;102.0;0.0;2.7;3702;102.0;0.0;2.7
6684;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 March;3702;102.0;0.1;2.6;3702;102.0;0.1;2.6
6685;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 April;3702;102.0;0.3;2.7;3702;102.0;0.3;2.7
6686;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 May;3702;102.0;0.1;2.7;3702;102.0;0.1;2.7
6687;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 June;3702;102.0;0.0;2.7;3702;102.0;0.0;2.7
6688;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 July;3702;103.0;0.3;2.5;3702;103.0;0.3;2.5
6689;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 August;3702;103.0;0.0;2.5;3702;103.0;0.0;2.5
6690;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 September;3702;103.0;0.0;2.5;3702;103.0;0.0;2.5
6691;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 October;3702;103.0;0.0;2.1;3702;103.0;0.0;2.1
6692;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 November;3702;103.0;0.1;2.2;3702;103.0;0.1;2.2
6693;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001 December;3702;103.0;0.0;2.2;3702;103.0;0.0;2.2
6694;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2001;3702;102.0;;2.5;3702;102.0;;2.5
6695;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 January;3702;104.0;1.1;2.1;3702;104.0;1.1;2.1
6696;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 February;3702;104.0;0.1;2.1;3702;104.0;0.1;2.1
6697;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 March;3702;104.0;0.1;2.1;3702;104.0;0.1;2.1
6698;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 April;3702;105.0;0.4;2.2;3702;105.0;0.4;2.2
6699;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 May;3702;105.0;0.0;2.2;3702;105.0;0.0;2.2
6700;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 June;3702;105.0;0.0;2.2;3702;105.0;0.0;2.2
6701;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 July;3702;105.0;0.1;2.0;3702;105.0;0.1;2.0
6702;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 August;3702;105.0;0.1;2.1;3702;105.0;0.1;2.1
6703;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 September;3702;105.0;0.0;2.2;3702;105.0;0.0;2.2
6704;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 October;3702;105.0;0.1;2.3;3702;105.0;0.1;2.3
6705;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 November;3702;105.0;0.0;2.1;3702;105.0;0.0;2.1
6706;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002 December;3702;105.0;0.0;2.2;3702;105.0;0.0;2.2
6707;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2002;3702;105.0;;2.1;3702;105.0;;2.1
6708;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 January;3702;106.0;1.0;2.0;3702;106.0;1.0;2.0
6709;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 February;3702;106.0;0.1;2.0;3702;106.0;0.1;2.0
6710;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 March;3702;106.0;0.0;2.0;3702;106.0;0.0;2.0
6711;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 April;3702;107.0;0.3;1.8;3702;107.0;0.3;1.8
6712;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 May;3702;107.0;0.0;1.8;3702;107.0;0.0;1.8
6713;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 June;3702;107.0;0.0;1.8;3702;107.0;0.0;1.8
6714;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 July;3702;107.0;0.0;1.6;3702;107.0;0.0;1.6
6715;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 August;3702;106.0;0.0;1.5;3702;106.0;0.0;1.5
6716;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 September;3702;107.0;0.0;1.5;3702;107.0;0.0;1.5
6717;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 October;3702;107.0;0.1;1.5;3702;107.0;0.1;1.5
6718;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 November;3702;107.0;0.1;1.7;3702;107.0;0.1;1.7
6719;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003 December;3702;107.0;0.0;1.7;3702;107.0;0.0;1.7
6720;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2003;3702;107.0;;1.7;3702;107.0;;1.7
6721;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 January;3702;108.0;0.7;1.3;3702;108.0;0.7;1.3
6722;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 February;3702;108.0;0.0;1.3;3702;108.0;0.0;1.3
6723;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 March;3702;108.0;0.1;1.3;3702;108.0;0.1;1.3
6724;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 April;3702;108.0;0.3;1.4;3702;108.0;0.3;1.4
6725;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 May;3702;108.0;0.1;1.5;3702;108.0;0.1;1.5
6726;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 June;3702;108.0;0.0;1.5;3702;108.0;0.0;1.5
6727;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 July;3702;109.0;0.7;2.2;3702;109.0;0.7;2.2
6728;Domestic sales (total);DK MANUFACTURE OF MACHINERY AND EQUIPMEN;2004 August;3702;109.0;0.0;2.3;3702;109.0;0.0;2.3
