ID;EducationLevel;FieldsOfEducation;CaribbeanNetherlands;Periods;MBOstudents_1
2829;MBO level 2;Domain Hospitality and bakery;Caribbean Netherlands;2022/'23;39.0
2830;MBO level 2;Domain Hospitality and bakery;Caribbean Netherlands;2023/'24;37.0
2831;MBO level 2;Domain Hospitality and bakery;Caribbean Netherlands;2024/'25;39.0
2832;MBO level 2;Domain Hospitality and bakery;Bonaire;2009/'10;27.0
2833;MBO level 2;Domain Hospitality and bakery;Bonaire;2010/'11;21.0
2834;MBO level 2;Domain Hospitality and bakery;Bonaire;2011/'12;5.0
2835;MBO level 2;Domain Hospitality and bakery;Bonaire;2012/'13;
2836;MBO level 2;Domain Hospitality and bakery;Bonaire;2013/'14;4.0
2837;MBO level 2;Domain Hospitality and bakery;Bonaire;2014/'15;20.0
2838;MBO level 2;Domain Hospitality and bakery;Bonaire;2015/'16;20.0
2839;MBO level 2;Domain Hospitality and bakery;Bonaire;2016/'17;15.0
2840;MBO level 2;Domain Hospitality and bakery;Bonaire;2017/'18;19.0
2841;MBO level 2;Domain Hospitality and bakery;Bonaire;2018/'19;31.0
2842;MBO level 2;Domain Hospitality and bakery;Bonaire;2019/'20;35.0
2843;MBO level 2;Domain Hospitality and bakery;Bonaire;2020/'21;28.0
2844;MBO level 2;Domain Hospitality and bakery;Bonaire;2021/'22;34.0
2845;MBO level 2;Domain Hospitality and bakery;Bonaire;2022/'23;39.0
2846;MBO level 2;Domain Hospitality and bakery;Bonaire;2023/'24;37.0
2847;MBO level 2;Domain Hospitality and bakery;Bonaire;2024/'25;39.0
2848;MBO level 2;Domain Hospitality and bakery;St Eustatius;2009/'10;
2849;MBO level 2;Domain Hospitality and bakery;St Eustatius;2010/'11;
2850;MBO level 2;Domain Hospitality and bakery;St Eustatius;2011/'12;
2851;MBO level 2;Domain Hospitality and bakery;St Eustatius;2012/'13;0.0
2852;MBO level 2;Domain Hospitality and bakery;St Eustatius;2013/'14;0.0
2853;MBO level 2;Domain Hospitality and bakery;St Eustatius;2014/'15;2.0
2854;MBO level 2;Domain Hospitality and bakery;St Eustatius;2015/'16;3.0
2855;MBO level 2;Domain Hospitality and bakery;St Eustatius;2016/'17;1.0
2856;MBO level 2;Domain Hospitality and bakery;St Eustatius;2017/'18;0.0
2857;MBO level 2;Domain Hospitality and bakery;St Eustatius;2018/'19;0.0
2858;MBO level 2;Domain Hospitality and bakery;St Eustatius;2019/'20;0.0
2859;MBO level 2;Domain Hospitality and bakery;St Eustatius;2020/'21;0.0
2860;MBO level 2;Domain Hospitality and bakery;St Eustatius;2021/'22;
2861;MBO level 2;Domain Hospitality and bakery;St Eustatius;2022/'23;
2862;MBO level 2;Domain Hospitality and bakery;St Eustatius;2023/'24;
2863;MBO level 2;Domain Hospitality and bakery;St Eustatius;2024/'25;
2864;MBO level 2;Domain Hospitality and bakery;Saba;2009/'10;
2865;MBO level 2;Domain Hospitality and bakery;Saba;2010/'11;
2866;MBO level 2;Domain Hospitality and bakery;Saba;2011/'12;
2867;MBO level 2;Domain Hospitality and bakery;Saba;2012/'13;5.0
2868;MBO level 2;Domain Hospitality and bakery;Saba;2013/'14;5.0
2869;MBO level 2;Domain Hospitality and bakery;Saba;2014/'15;4.0
2870;MBO level 2;Domain Hospitality and bakery;Saba;2015/'16;3.0
2871;MBO level 2;Domain Hospitality and bakery;Saba;2016/'17;3.0
2872;MBO level 2;Domain Hospitality and bakery;Saba;2017/'18;2.0
2873;MBO level 2;Domain Hospitality and bakery;Saba;2018/'19;0.0
2874;MBO level 2;Domain Hospitality and bakery;Saba;2019/'20;0.0
2875;MBO level 2;Domain Hospitality and bakery;Saba;2020/'21;3.0
2876;MBO level 2;Domain Hospitality and bakery;Saba;2021/'22;
2877;MBO level 2;Domain Hospitality and bakery;Saba;2022/'23;
2878;MBO level 2;Domain Hospitality and bakery;Saba;2023/'24;
2879;MBO level 2;Domain Hospitality and bakery;Saba;2024/'25;
2880;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2009/'10;0.0
2881;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2010/'11;0.0
2882;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2011/'12;0.0
2883;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2012/'13;
2884;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2013/'14;0.0
2885;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2014/'15;0.0
2886;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2015/'16;0.0
2887;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2016/'17;0.0
2888;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2017/'18;0.0
2889;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2018/'19;0.0
2890;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2019/'20;14.0
2891;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2020/'21;40.0
2892;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2021/'22;0.0
2893;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2022/'23;0.0
2894;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2023/'24;0.0
2895;MBO level 2;Domain Tourism and recreation;Caribbean Netherlands;2024/'25;0.0
2896;MBO level 2;Domain Tourism and recreation;Bonaire;2009/'10;0.0
2897;MBO level 2;Domain Tourism and recreation;Bonaire;2010/'11;0.0
2898;MBO level 2;Domain Tourism and recreation;Bonaire;2011/'12;0.0
2899;MBO level 2;Domain Tourism and recreation;Bonaire;2012/'13;
2900;MBO level 2;Domain Tourism and recreation;Bonaire;2013/'14;0.0
2901;MBO level 2;Domain Tourism and recreation;Bonaire;2014/'15;0.0
2902;MBO level 2;Domain Tourism and recreation;Bonaire;2015/'16;0.0
2903;MBO level 2;Domain Tourism and recreation;Bonaire;2016/'17;0.0
2904;MBO level 2;Domain Tourism and recreation;Bonaire;2017/'18;0.0
2905;MBO level 2;Domain Tourism and recreation;Bonaire;2018/'19;0.0
2906;MBO level 2;Domain Tourism and recreation;Bonaire;2019/'20;0.0
2907;MBO level 2;Domain Tourism and recreation;Bonaire;2020/'21;0.0
2908;MBO level 2;Domain Tourism and recreation;Bonaire;2021/'22;0.0
2909;MBO level 2;Domain Tourism and recreation;Bonaire;2022/'23;0.0
2910;MBO level 2;Domain Tourism and recreation;Bonaire;2023/'24;0.0
2911;MBO level 2;Domain Tourism and recreation;Bonaire;2024/'25;0.0
2912;MBO level 2;Domain Tourism and recreation;St Eustatius;2009/'10;
2913;MBO level 2;Domain Tourism and recreation;St Eustatius;2010/'11;
2914;MBO level 2;Domain Tourism and recreation;St Eustatius;2011/'12;
2915;MBO level 2;Domain Tourism and recreation;St Eustatius;2012/'13;0.0
2916;MBO level 2;Domain Tourism and recreation;St Eustatius;2013/'14;0.0
2917;MBO level 2;Domain Tourism and recreation;St Eustatius;2014/'15;0.0
2918;MBO level 2;Domain Tourism and recreation;St Eustatius;2015/'16;0.0
2919;MBO level 2;Domain Tourism and recreation;St Eustatius;2016/'17;0.0
2920;MBO level 2;Domain Tourism and recreation;St Eustatius;2017/'18;0.0
2921;MBO level 2;Domain Tourism and recreation;St Eustatius;2018/'19;0.0
2922;MBO level 2;Domain Tourism and recreation;St Eustatius;2019/'20;0.0
2923;MBO level 2;Domain Tourism and recreation;St Eustatius;2020/'21;14.0
2924;MBO level 2;Domain Tourism and recreation;St Eustatius;2021/'22;
2925;MBO level 2;Domain Tourism and recreation;St Eustatius;2022/'23;
2926;MBO level 2;Domain Tourism and recreation;St Eustatius;2023/'24;
2927;MBO level 2;Domain Tourism and recreation;St Eustatius;2024/'25;
2928;MBO level 2;Domain Tourism and recreation;Saba;2009/'10;
2929;MBO level 2;Domain Tourism and recreation;Saba;2010/'11;
2930;MBO level 2;Domain Tourism and recreation;Saba;2011/'12;
2931;MBO level 2;Domain Tourism and recreation;Saba;2012/'13;0.0
2932;MBO level 2;Domain Tourism and recreation;Saba;2013/'14;0.0
2933;MBO level 2;Domain Tourism and recreation;Saba;2014/'15;0.0
2934;MBO level 2;Domain Tourism and recreation;Saba;2015/'16;0.0
2935;MBO level 2;Domain Tourism and recreation;Saba;2016/'17;0.0
2936;MBO level 2;Domain Tourism and recreation;Saba;2017/'18;0.0
2937;MBO level 2;Domain Tourism and recreation;Saba;2018/'19;0.0
2938;MBO level 2;Domain Tourism and recreation;Saba;2019/'20;14.0
2939;MBO level 2;Domain Tourism and recreation;Saba;2020/'21;26.0
2940;MBO level 2;Domain Tourism and recreation;Saba;2021/'22;
2941;MBO level 2;Domain Tourism and recreation;Saba;2022/'23;
2942;MBO level 2;Domain Tourism and recreation;Saba;2023/'24;
2943;MBO level 2;Domain Tourism and recreation;Saba;2024/'25;
2944;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2009/'10;57.0
2945;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2010/'11;18.0
2946;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2011/'12;26.0
2947;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2012/'13;
2948;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2013/'14;39.0
2949;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2014/'15;44.0
2950;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2015/'16;42.0
2951;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2016/'17;41.0
2952;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2017/'18;55.0
2953;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2018/'19;61.0
2954;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2019/'20;66.0
2955;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2020/'21;91.0
2956;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2021/'22;69.0
2957;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2022/'23;74.0
2958;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2023/'24;92.0
2959;MBO level 2;Domain Health and welfare;Caribbean Netherlands;2024/'25;114.0
2960;MBO level 2;Domain Health and welfare;Bonaire;2009/'10;57.0
2961;MBO level 2;Domain Health and welfare;Bonaire;2010/'11;18.0
2962;MBO level 2;Domain Health and welfare;Bonaire;2011/'12;26.0
2963;MBO level 2;Domain Health and welfare;Bonaire;2012/'13;
2964;MBO level 2;Domain Health and welfare;Bonaire;2013/'14;32.0
2965;MBO level 2;Domain Health and welfare;Bonaire;2014/'15;39.0
2966;MBO level 2;Domain Health and welfare;Bonaire;2015/'16;35.0
2967;MBO level 2;Domain Health and welfare;Bonaire;2016/'17;36.0
2968;MBO level 2;Domain Health and welfare;Bonaire;2017/'18;45.0
2969;MBO level 2;Domain Health and welfare;Bonaire;2018/'19;51.0
2970;MBO level 2;Domain Health and welfare;Bonaire;2019/'20;58.0
2971;MBO level 2;Domain Health and welfare;Bonaire;2020/'21;80.0
2972;MBO level 2;Domain Health and welfare;Bonaire;2021/'22;69.0
2973;MBO level 2;Domain Health and welfare;Bonaire;2022/'23;74.0
2974;MBO level 2;Domain Health and welfare;Bonaire;2023/'24;92.0
2975;MBO level 2;Domain Health and welfare;Bonaire;2024/'25;114.0
2976;MBO level 2;Domain Health and welfare;St Eustatius;2009/'10;
2977;MBO level 2;Domain Health and welfare;St Eustatius;2010/'11;
2978;MBO level 2;Domain Health and welfare;St Eustatius;2011/'12;
2979;MBO level 2;Domain Health and welfare;St Eustatius;2012/'13;0.0
2980;MBO level 2;Domain Health and welfare;St Eustatius;2013/'14;7.0
2981;MBO level 2;Domain Health and welfare;St Eustatius;2014/'15;5.0
2982;MBO level 2;Domain Health and welfare;St Eustatius;2015/'16;7.0
2983;MBO level 2;Domain Health and welfare;St Eustatius;2016/'17;5.0
2984;MBO level 2;Domain Health and welfare;St Eustatius;2017/'18;10.0
2985;MBO level 2;Domain Health and welfare;St Eustatius;2018/'19;10.0
2986;MBO level 2;Domain Health and welfare;St Eustatius;2019/'20;8.0
2987;MBO level 2;Domain Health and welfare;St Eustatius;2020/'21;11.0
2988;MBO level 2;Domain Health and welfare;St Eustatius;2021/'22;
2989;MBO level 2;Domain Health and welfare;St Eustatius;2022/'23;
2990;MBO level 2;Domain Health and welfare;St Eustatius;2023/'24;
2991;MBO level 2;Domain Health and welfare;St Eustatius;2024/'25;
2992;MBO level 2;Domain Health and welfare;Saba;2009/'10;
2993;MBO level 2;Domain Health and welfare;Saba;2010/'11;
2994;MBO level 2;Domain Health and welfare;Saba;2011/'12;
2995;MBO level 2;Domain Health and welfare;Saba;2012/'13;0.0
2996;MBO level 2;Domain Health and welfare;Saba;2013/'14;0.0
2997;MBO level 2;Domain Health and welfare;Saba;2014/'15;0.0
2998;MBO level 2;Domain Health and welfare;Saba;2015/'16;0.0
2999;MBO level 2;Domain Health and welfare;Saba;2016/'17;0.0
3000;MBO level 2;Domain Health and welfare;Saba;2017/'18;0.0
3001;MBO level 2;Domain Health and welfare;Saba;2018/'19;0.0
3002;MBO level 2;Domain Health and welfare;Saba;2019/'20;0.0
3003;MBO level 2;Domain Health and welfare;Saba;2020/'21;0.0
3004;MBO level 2;Domain Health and welfare;Saba;2021/'22;
3005;MBO level 2;Domain Health and welfare;Saba;2022/'23;
3006;MBO level 2;Domain Health and welfare;Saba;2023/'24;
3007;MBO level 2;Domain Health and welfare;Saba;2024/'25;
3008;MBO level 2;Domain not classified;Caribbean Netherlands;2009/'10;0.0
3009;MBO level 2;Domain not classified;Caribbean Netherlands;2010/'11;0.0
3010;MBO level 2;Domain not classified;Caribbean Netherlands;2011/'12;0.0
3011;MBO level 2;Domain not classified;Caribbean Netherlands;2012/'13;
3012;MBO level 2;Domain not classified;Caribbean Netherlands;2013/'14;0.0
3013;MBO level 2;Domain not classified;Caribbean Netherlands;2014/'15;0.0
3014;MBO level 2;Domain not classified;Caribbean Netherlands;2015/'16;0.0
3015;MBO level 2;Domain not classified;Caribbean Netherlands;2016/'17;0.0
3016;MBO level 2;Domain not classified;Caribbean Netherlands;2017/'18;0.0
3017;MBO level 2;Domain not classified;Caribbean Netherlands;2018/'19;0.0
3018;MBO level 2;Domain not classified;Caribbean Netherlands;2019/'20;0.0
3019;MBO level 2;Domain not classified;Caribbean Netherlands;2020/'21;0.0
3020;MBO level 2;Domain not classified;Caribbean Netherlands;2021/'22;0.0
3021;MBO level 2;Domain not classified;Caribbean Netherlands;2022/'23;0.0
3022;MBO level 2;Domain not classified;Caribbean Netherlands;2023/'24;0.0
3023;MBO level 2;Domain not classified;Caribbean Netherlands;2024/'25;0.0
3024;MBO level 2;Domain not classified;Bonaire;2009/'10;0.0
3025;MBO level 2;Domain not classified;Bonaire;2010/'11;0.0
3026;MBO level 2;Domain not classified;Bonaire;2011/'12;0.0
3027;MBO level 2;Domain not classified;Bonaire;2012/'13;
3028;MBO level 2;Domain not classified;Bonaire;2013/'14;0.0
3029;MBO level 2;Domain not classified;Bonaire;2014/'15;0.0
3030;MBO level 2;Domain not classified;Bonaire;2015/'16;0.0
3031;MBO level 2;Domain not classified;Bonaire;2016/'17;0.0
3032;MBO level 2;Domain not classified;Bonaire;2017/'18;0.0
3033;MBO level 2;Domain not classified;Bonaire;2018/'19;0.0
3034;MBO level 2;Domain not classified;Bonaire;2019/'20;0.0
3035;MBO level 2;Domain not classified;Bonaire;2020/'21;0.0
3036;MBO level 2;Domain not classified;Bonaire;2021/'22;0.0
3037;MBO level 2;Domain not classified;Bonaire;2022/'23;0.0
3038;MBO level 2;Domain not classified;Bonaire;2023/'24;0.0
3039;MBO level 2;Domain not classified;Bonaire;2024/'25;0.0
3040;MBO level 2;Domain not classified;St Eustatius;2009/'10;
3041;MBO level 2;Domain not classified;St Eustatius;2010/'11;
3042;MBO level 2;Domain not classified;St Eustatius;2011/'12;
3043;MBO level 2;Domain not classified;St Eustatius;2012/'13;0.0
3044;MBO level 2;Domain not classified;St Eustatius;2013/'14;0.0
3045;MBO level 2;Domain not classified;St Eustatius;2014/'15;0.0
3046;MBO level 2;Domain not classified;St Eustatius;2015/'16;0.0
3047;MBO level 2;Domain not classified;St Eustatius;2016/'17;0.0
3048;MBO level 2;Domain not classified;St Eustatius;2017/'18;0.0
3049;MBO level 2;Domain not classified;St Eustatius;2018/'19;0.0
3050;MBO level 2;Domain not classified;St Eustatius;2019/'20;0.0
3051;MBO level 2;Domain not classified;St Eustatius;2020/'21;0.0
3052;MBO level 2;Domain not classified;St Eustatius;2021/'22;
3053;MBO level 2;Domain not classified;St Eustatius;2022/'23;
3054;MBO level 2;Domain not classified;St Eustatius;2023/'24;
3055;MBO level 2;Domain not classified;St Eustatius;2024/'25;
3056;MBO level 2;Domain not classified;Saba;2009/'10;
3057;MBO level 2;Domain not classified;Saba;2010/'11;
3058;MBO level 2;Domain not classified;Saba;2011/'12;
3059;MBO level 2;Domain not classified;Saba;2012/'13;0.0
3060;MBO level 2;Domain not classified;Saba;2013/'14;0.0
3061;MBO level 2;Domain not classified;Saba;2014/'15;0.0
3062;MBO level 2;Domain not classified;Saba;2015/'16;0.0
3063;MBO level 2;Domain not classified;Saba;2016/'17;0.0
3064;MBO level 2;Domain not classified;Saba;2017/'18;0.0
3065;MBO level 2;Domain not classified;Saba;2018/'19;0.0
3066;MBO level 2;Domain not classified;Saba;2019/'20;0.0
3067;MBO level 2;Domain not classified;Saba;2020/'21;0.0
3068;MBO level 2;Domain not classified;Saba;2021/'22;
3069;MBO level 2;Domain not classified;Saba;2022/'23;
3070;MBO level 2;Domain not classified;Saba;2023/'24;
3071;MBO level 2;Domain not classified;Saba;2024/'25;
3072;MBO level 3;Total fields of education;Caribbean Netherlands;2009/'10;25.0
3073;MBO level 3;Total fields of education;Caribbean Netherlands;2010/'11;118.0
3074;MBO level 3;Total fields of education;Caribbean Netherlands;2011/'12;159.0
3075;MBO level 3;Total fields of education;Caribbean Netherlands;2012/'13;
3076;MBO level 3;Total fields of education;Caribbean Netherlands;2013/'14;234.0
3077;MBO level 3;Total fields of education;Caribbean Netherlands;2014/'15;209.0
3078;MBO level 3;Total fields of education;Caribbean Netherlands;2015/'16;148.0
3079;MBO level 3;Total fields of education;Caribbean Netherlands;2016/'17;242.0
3080;MBO level 3;Total fields of education;Caribbean Netherlands;2017/'18;183.0
3081;MBO level 3;Total fields of education;Caribbean Netherlands;2018/'19;174.0
3082;MBO level 3;Total fields of education;Caribbean Netherlands;2019/'20;199.0
3083;MBO level 3;Total fields of education;Caribbean Netherlands;2020/'21;248.0
3084;MBO level 3;Total fields of education;Caribbean Netherlands;2021/'22;245.0
3085;MBO level 3;Total fields of education;Caribbean Netherlands;2022/'23;238.0
3086;MBO level 3;Total fields of education;Caribbean Netherlands;2023/'24;236.0
3087;MBO level 3;Total fields of education;Caribbean Netherlands;2024/'25;292.0
3088;MBO level 3;Total fields of education;Bonaire;2009/'10;25.0
3089;MBO level 3;Total fields of education;Bonaire;2010/'11;118.0
3090;MBO level 3;Total fields of education;Bonaire;2011/'12;159.0
3091;MBO level 3;Total fields of education;Bonaire;2012/'13;
3092;MBO level 3;Total fields of education;Bonaire;2013/'14;234.0
3093;MBO level 3;Total fields of education;Bonaire;2014/'15;209.0
3094;MBO level 3;Total fields of education;Bonaire;2015/'16;148.0
3095;MBO level 3;Total fields of education;Bonaire;2016/'17;242.0
3096;MBO level 3;Total fields of education;Bonaire;2017/'18;183.0
3097;MBO level 3;Total fields of education;Bonaire;2018/'19;174.0
3098;MBO level 3;Total fields of education;Bonaire;2019/'20;199.0
3099;MBO level 3;Total fields of education;Bonaire;2020/'21;248.0
3100;MBO level 3;Total fields of education;Bonaire;2021/'22;245.0
3101;MBO level 3;Total fields of education;Bonaire;2022/'23;238.0
3102;MBO level 3;Total fields of education;Bonaire;2023/'24;236.0
3103;MBO level 3;Total fields of education;Bonaire;2024/'25;292.0
3104;MBO level 3;Total fields of education;St Eustatius;2009/'10;
3105;MBO level 3;Total fields of education;St Eustatius;2010/'11;
3106;MBO level 3;Total fields of education;St Eustatius;2011/'12;
3107;MBO level 3;Total fields of education;St Eustatius;2012/'13;
3108;MBO level 3;Total fields of education;St Eustatius;2013/'14;
3109;MBO level 3;Total fields of education;St Eustatius;2014/'15;
3110;MBO level 3;Total fields of education;St Eustatius;2015/'16;
3111;MBO level 3;Total fields of education;St Eustatius;2016/'17;
3112;MBO level 3;Total fields of education;St Eustatius;2017/'18;
3113;MBO level 3;Total fields of education;St Eustatius;2018/'19;
3114;MBO level 3;Total fields of education;St Eustatius;2019/'20;
3115;MBO level 3;Total fields of education;St Eustatius;2020/'21;
3116;MBO level 3;Total fields of education;St Eustatius;2021/'22;
3117;MBO level 3;Total fields of education;St Eustatius;2022/'23;
3118;MBO level 3;Total fields of education;St Eustatius;2023/'24;
3119;MBO level 3;Total fields of education;St Eustatius;2024/'25;
3120;MBO level 3;Total fields of education;Saba;2009/'10;
3121;MBO level 3;Total fields of education;Saba;2010/'11;
3122;MBO level 3;Total fields of education;Saba;2011/'12;
3123;MBO level 3;Total fields of education;Saba;2012/'13;
3124;MBO level 3;Total fields of education;Saba;2013/'14;
3125;MBO level 3;Total fields of education;Saba;2014/'15;
3126;MBO level 3;Total fields of education;Saba;2015/'16;
3127;MBO level 3;Total fields of education;Saba;2016/'17;
3128;MBO level 3;Total fields of education;Saba;2017/'18;
3129;MBO level 3;Total fields of education;Saba;2018/'19;
3130;MBO level 3;Total fields of education;Saba;2019/'20;
3131;MBO level 3;Total fields of education;Saba;2020/'21;
3132;MBO level 3;Total fields of education;Saba;2021/'22;
3133;MBO level 3;Total fields of education;Saba;2022/'23;
3134;MBO level 3;Total fields of education;Saba;2023/'24;
3135;MBO level 3;Total fields of education;Saba;2024/'25;
3136;MBO level 3;Sector Economics;Caribbean Netherlands;2009/'10;0.0
3137;MBO level 3;Sector Economics;Caribbean Netherlands;2010/'11;66.0
3138;MBO level 3;Sector Economics;Caribbean Netherlands;2011/'12;88.0
3139;MBO level 3;Sector Economics;Caribbean Netherlands;2012/'13;
3140;MBO level 3;Sector Economics;Caribbean Netherlands;2013/'14;124.0
3141;MBO level 3;Sector Economics;Caribbean Netherlands;2014/'15;105.0
3142;MBO level 3;Sector Economics;Caribbean Netherlands;2015/'16;108.0
3143;MBO level 3;Sector Economics;Caribbean Netherlands;2016/'17;114.0
3144;MBO level 3;Sector Economics;Caribbean Netherlands;2017/'18;85.0
3145;MBO level 3;Sector Economics;Caribbean Netherlands;2018/'19;94.0
3146;MBO level 3;Sector Economics;Caribbean Netherlands;2019/'20;99.0
3147;MBO level 3;Sector Economics;Caribbean Netherlands;2020/'21;88.0
3148;MBO level 3;Sector Economics;Caribbean Netherlands;2021/'22;76.0
3149;MBO level 3;Sector Economics;Caribbean Netherlands;2022/'23;76.0
3150;MBO level 3;Sector Economics;Caribbean Netherlands;2023/'24;89.0
3151;MBO level 3;Sector Economics;Caribbean Netherlands;2024/'25;143.0
3152;MBO level 3;Sector Economics;Bonaire;2009/'10;0.0
3153;MBO level 3;Sector Economics;Bonaire;2010/'11;66.0
3154;MBO level 3;Sector Economics;Bonaire;2011/'12;88.0
3155;MBO level 3;Sector Economics;Bonaire;2012/'13;
3156;MBO level 3;Sector Economics;Bonaire;2013/'14;124.0
3157;MBO level 3;Sector Economics;Bonaire;2014/'15;105.0
3158;MBO level 3;Sector Economics;Bonaire;2015/'16;108.0
3159;MBO level 3;Sector Economics;Bonaire;2016/'17;114.0
3160;MBO level 3;Sector Economics;Bonaire;2017/'18;85.0
3161;MBO level 3;Sector Economics;Bonaire;2018/'19;94.0
3162;MBO level 3;Sector Economics;Bonaire;2019/'20;99.0
3163;MBO level 3;Sector Economics;Bonaire;2020/'21;88.0
3164;MBO level 3;Sector Economics;Bonaire;2021/'22;76.0
3165;MBO level 3;Sector Economics;Bonaire;2022/'23;76.0
3166;MBO level 3;Sector Economics;Bonaire;2023/'24;89.0
3167;MBO level 3;Sector Economics;Bonaire;2024/'25;143.0
3168;MBO level 3;Sector Economics;St Eustatius;2009/'10;
3169;MBO level 3;Sector Economics;St Eustatius;2010/'11;
3170;MBO level 3;Sector Economics;St Eustatius;2011/'12;
3171;MBO level 3;Sector Economics;St Eustatius;2012/'13;
3172;MBO level 3;Sector Economics;St Eustatius;2013/'14;
3173;MBO level 3;Sector Economics;St Eustatius;2014/'15;
3174;MBO level 3;Sector Economics;St Eustatius;2015/'16;
3175;MBO level 3;Sector Economics;St Eustatius;2016/'17;
3176;MBO level 3;Sector Economics;St Eustatius;2017/'18;
3177;MBO level 3;Sector Economics;St Eustatius;2018/'19;
3178;MBO level 3;Sector Economics;St Eustatius;2019/'20;
3179;MBO level 3;Sector Economics;St Eustatius;2020/'21;
3180;MBO level 3;Sector Economics;St Eustatius;2021/'22;
3181;MBO level 3;Sector Economics;St Eustatius;2022/'23;
3182;MBO level 3;Sector Economics;St Eustatius;2023/'24;
3183;MBO level 3;Sector Economics;St Eustatius;2024/'25;
3184;MBO level 3;Sector Economics;Saba;2009/'10;
3185;MBO level 3;Sector Economics;Saba;2010/'11;
3186;MBO level 3;Sector Economics;Saba;2011/'12;
3187;MBO level 3;Sector Economics;Saba;2012/'13;
3188;MBO level 3;Sector Economics;Saba;2013/'14;
3189;MBO level 3;Sector Economics;Saba;2014/'15;
3190;MBO level 3;Sector Economics;Saba;2015/'16;
3191;MBO level 3;Sector Economics;Saba;2016/'17;
3192;MBO level 3;Sector Economics;Saba;2017/'18;
3193;MBO level 3;Sector Economics;Saba;2018/'19;
3194;MBO level 3;Sector Economics;Saba;2019/'20;
3195;MBO level 3;Sector Economics;Saba;2020/'21;
3196;MBO level 3;Sector Economics;Saba;2021/'22;
3197;MBO level 3;Sector Economics;Saba;2022/'23;
3198;MBO level 3;Sector Economics;Saba;2023/'24;
3199;MBO level 3;Sector Economics;Saba;2024/'25;
3200;MBO level 3;Sector Technology;Caribbean Netherlands;2009/'10;25.0
3201;MBO level 3;Sector Technology;Caribbean Netherlands;2010/'11;21.0
3202;MBO level 3;Sector Technology;Caribbean Netherlands;2011/'12;34.0
3203;MBO level 3;Sector Technology;Caribbean Netherlands;2012/'13;
3204;MBO level 3;Sector Technology;Caribbean Netherlands;2013/'14;21.0
3205;MBO level 3;Sector Technology;Caribbean Netherlands;2014/'15;50.0
3206;MBO level 3;Sector Technology;Caribbean Netherlands;2015/'16;31.0
3207;MBO level 3;Sector Technology;Caribbean Netherlands;2016/'17;77.0
3208;MBO level 3;Sector Technology;Caribbean Netherlands;2017/'18;72.0
3209;MBO level 3;Sector Technology;Caribbean Netherlands;2018/'19;34.0
3210;MBO level 3;Sector Technology;Caribbean Netherlands;2019/'20;49.0
3211;MBO level 3;Sector Technology;Caribbean Netherlands;2020/'21;54.0
3212;MBO level 3;Sector Technology;Caribbean Netherlands;2021/'22;53.0
3213;MBO level 3;Sector Technology;Caribbean Netherlands;2022/'23;40.0
3214;MBO level 3;Sector Technology;Caribbean Netherlands;2023/'24;38.0
3215;MBO level 3;Sector Technology;Caribbean Netherlands;2024/'25;27.0
3216;MBO level 3;Sector Technology;Bonaire;2009/'10;25.0
3217;MBO level 3;Sector Technology;Bonaire;2010/'11;21.0
3218;MBO level 3;Sector Technology;Bonaire;2011/'12;34.0
3219;MBO level 3;Sector Technology;Bonaire;2012/'13;
3220;MBO level 3;Sector Technology;Bonaire;2013/'14;21.0
3221;MBO level 3;Sector Technology;Bonaire;2014/'15;50.0
3222;MBO level 3;Sector Technology;Bonaire;2015/'16;31.0
3223;MBO level 3;Sector Technology;Bonaire;2016/'17;77.0
3224;MBO level 3;Sector Technology;Bonaire;2017/'18;72.0
3225;MBO level 3;Sector Technology;Bonaire;2018/'19;34.0
3226;MBO level 3;Sector Technology;Bonaire;2019/'20;49.0
