ID;OutputPrices;SIC2008;Periods;IndexNumbers_1;YearOnYearDevelopment_2;MonthOnMonthDevelopment_3;WeightFactor_4
3644;Total output prices;1011 Slaughterhouses (no poultry);2002 May;;;;0
3645;Total output prices;1011 Slaughterhouses (no poultry);2002 June;;;;0
3646;Total output prices;1011 Slaughterhouses (no poultry);2002 July;;;;0
3647;Total output prices;1011 Slaughterhouses (no poultry);2002 August;;;;0
3648;Total output prices;1011 Slaughterhouses (no poultry);2002 September;;;;0
3649;Total output prices;1011 Slaughterhouses (no poultry);2002 October;;;;0
3650;Total output prices;1011 Slaughterhouses (no poultry);2002 November;;;;0
3651;Total output prices;1011 Slaughterhouses (no poultry);2002 December;;;;0
3652;Total output prices;1011 Slaughterhouses (no poultry);2002;;;;0
3653;Total output prices;1011 Slaughterhouses (no poultry);2003 January;;;;0
3654;Total output prices;1011 Slaughterhouses (no poultry);2003 February;;;;0
3655;Total output prices;1011 Slaughterhouses (no poultry);2003 March;;;;0
3656;Total output prices;1011 Slaughterhouses (no poultry);2003 April;;;;0
3657;Total output prices;1011 Slaughterhouses (no poultry);2003 May;;;;0
3658;Total output prices;1011 Slaughterhouses (no poultry);2003 June;;;;0
3659;Total output prices;1011 Slaughterhouses (no poultry);2003 July;;;;0
3660;Total output prices;1011 Slaughterhouses (no poultry);2003 August;;;;0
3661;Total output prices;1011 Slaughterhouses (no poultry);2003 September;;;;0
3662;Total output prices;1011 Slaughterhouses (no poultry);2003 October;;;;0
3663;Total output prices;1011 Slaughterhouses (no poultry);2003 November;;;;0
3664;Total output prices;1011 Slaughterhouses (no poultry);2003 December;;;;0
3665;Total output prices;1011 Slaughterhouses (no poultry);2003;;;;0
3666;Total output prices;1011 Slaughterhouses (no poultry);2004 January;;;;0
3667;Total output prices;1011 Slaughterhouses (no poultry);2004 February;;;;0
3668;Total output prices;1011 Slaughterhouses (no poultry);2004 March;;;;0
3669;Total output prices;1011 Slaughterhouses (no poultry);2004 April;;;;0
3670;Total output prices;1011 Slaughterhouses (no poultry);2004 May;;;;0
3671;Total output prices;1011 Slaughterhouses (no poultry);2004 June;;;;0
3672;Total output prices;1011 Slaughterhouses (no poultry);2004 July;;;;0
3673;Total output prices;1011 Slaughterhouses (no poultry);2004 August;;;;0
3674;Total output prices;1011 Slaughterhouses (no poultry);2004 September;;;;0
3675;Total output prices;1011 Slaughterhouses (no poultry);2004 October;;;;0
3676;Total output prices;1011 Slaughterhouses (no poultry);2004 November;;;;0
3677;Total output prices;1011 Slaughterhouses (no poultry);2004 December;;;;0
3678;Total output prices;1011 Slaughterhouses (no poultry);2004;;;;0
3679;Total output prices;1011 Slaughterhouses (no poultry);2005 January;90.6;;;5619
3680;Total output prices;1011 Slaughterhouses (no poultry);2005 February;86.5;;-4.5;5619
3681;Total output prices;1011 Slaughterhouses (no poultry);2005 March;84.5;;-2.4;5619
3682;Total output prices;1011 Slaughterhouses (no poultry);2005 April;80.4;;-4.8;5619
3683;Total output prices;1011 Slaughterhouses (no poultry);2005 May;81.6;;1.5;5619
3684;Total output prices;1011 Slaughterhouses (no poultry);2005 June;82.7;;1.4;5619
3685;Total output prices;1011 Slaughterhouses (no poultry);2005 July;82.0;;-0.9;5619
3686;Total output prices;1011 Slaughterhouses (no poultry);2005 August;83.6;;1.9;5619
3687;Total output prices;1011 Slaughterhouses (no poultry);2005 September;86.4;;3.5;5619
3688;Total output prices;1011 Slaughterhouses (no poultry);2005 October;88.9;;2.9;5619
3689;Total output prices;1011 Slaughterhouses (no poultry);2005 November;91.7;;3.1;5619
3690;Total output prices;1011 Slaughterhouses (no poultry);2005 December;94.7;;3.3;5619
3691;Total output prices;1011 Slaughterhouses (no poultry);2005;86.1;;;5619
3692;Total output prices;1011 Slaughterhouses (no poultry);2006 January;93.8;3.5;-1.0;5619
3693;Total output prices;1011 Slaughterhouses (no poultry);2006 February;94.4;9.1;0.7;5619
3694;Total output prices;1011 Slaughterhouses (no poultry);2006 March;95.7;13.3;1.4;5619
3695;Total output prices;1011 Slaughterhouses (no poultry);2006 April;95.3;18.6;-0.4;5619
3696;Total output prices;1011 Slaughterhouses (no poultry);2006 May;94.1;15.4;-1.3;5619
3697;Total output prices;1011 Slaughterhouses (no poultry);2006 June;92.1;11.3;-2.2;5619
3698;Total output prices;1011 Slaughterhouses (no poultry);2006 July;88.8;8.3;-3.6;5619
3699;Total output prices;1011 Slaughterhouses (no poultry);2006 August;90.3;8.1;1.7;5619
3700;Total output prices;1011 Slaughterhouses (no poultry);2006 September;92.8;7.4;2.8;5619
3701;Total output prices;1011 Slaughterhouses (no poultry);2006 October;91.8;3.3;-1.1;5619
3702;Total output prices;1011 Slaughterhouses (no poultry);2006 November;91.1;-0.6;-0.8;5619
3703;Total output prices;1011 Slaughterhouses (no poultry);2006 December;92.9;-1.9;1.9;5619
3704;Total output prices;1011 Slaughterhouses (no poultry);2006;92.8;7.7;;5619
3705;Total output prices;1011 Slaughterhouses (no poultry);2007 January;88.9;-5.2;-4.3;5619
3706;Total output prices;1011 Slaughterhouses (no poultry);2007 February;89.9;-4.7;1.2;5619
3707;Total output prices;1011 Slaughterhouses (no poultry);2007 March;90.0;-6.0;0.1;5619
3708;Total output prices;1011 Slaughterhouses (no poultry);2007 April;92.2;-3.3;2.4;5619
3709;Total output prices;1011 Slaughterhouses (no poultry);2007 May;91.4;-2.9;-0.8;5619
3710;Total output prices;1011 Slaughterhouses (no poultry);2007 June;91.3;-0.9;-0.2;5619
3711;Total output prices;1011 Slaughterhouses (no poultry);2007 July;91.2;2.7;-0.1;5619
3712;Total output prices;1011 Slaughterhouses (no poultry);2007 August;93.8;3.9;2.9;5619
3713;Total output prices;1011 Slaughterhouses (no poultry);2007 September;100.1;7.8;6.7;5619
3714;Total output prices;1011 Slaughterhouses (no poultry);2007 October;101.6;10.7;1.5;5619
3715;Total output prices;1011 Slaughterhouses (no poultry);2007 November;102.7;12.8;1.1;5619
3716;Total output prices;1011 Slaughterhouses (no poultry);2007 December;102.9;10.8;0.1;5619
3717;Total output prices;1011 Slaughterhouses (no poultry);2007;94.7;2.1;;5619
3718;Total output prices;1011 Slaughterhouses (no poultry);2008 January;101.0;13.7;-1.8;5619
3719;Total output prices;1011 Slaughterhouses (no poultry);2008 February;100.8;12.1;-0.2;5619
3720;Total output prices;1011 Slaughterhouses (no poultry);2008 March;100.7;11.9;-0.1;5619
3721;Total output prices;1011 Slaughterhouses (no poultry);2008 April;98.5;6.9;-2.2;5619
3722;Total output prices;1011 Slaughterhouses (no poultry);2008 May;100.2;9.6;1.6;5619
3723;Total output prices;1011 Slaughterhouses (no poultry);2008 June;101.8;11.5;1.6;5619
3724;Total output prices;1011 Slaughterhouses (no poultry);2008 July;102.2;12.0;0.4;5619
3725;Total output prices;1011 Slaughterhouses (no poultry);2008 August;104.5;11.4;2.3;5619
3726;Total output prices;1011 Slaughterhouses (no poultry);2008 September;107.7;7.5;3.0;5619
3727;Total output prices;1011 Slaughterhouses (no poultry);2008 October;108.5;6.8;0.8;5619
3728;Total output prices;1011 Slaughterhouses (no poultry);2008 November;104.5;1.7;-3.7;5619
3729;Total output prices;1011 Slaughterhouses (no poultry);2008 December;103.9;1.0;-0.5;5619
3730;Total output prices;1011 Slaughterhouses (no poultry);2008;102.9;8.7;;5619
3731;Total output prices;1011 Slaughterhouses (no poultry);2009 January;100.2;-0.9;-3.6;5619
3732;Total output prices;1011 Slaughterhouses (no poultry);2009 February;96.5;-4.3;-3.6;5619
3733;Total output prices;1011 Slaughterhouses (no poultry);2009 March;95.3;-5.4;-1.3;5619
3734;Total output prices;1011 Slaughterhouses (no poultry);2009 April;93.4;-5.2;-2.0;5619
3735;Total output prices;1011 Slaughterhouses (no poultry);2009 May;93.0;-7.2;-0.4;5619
3736;Total output prices;1011 Slaughterhouses (no poultry);2009 June;92.5;-9.1;-0.5;5619
3737;Total output prices;1011 Slaughterhouses (no poultry);2009 July;93.9;-8.1;1.5;5619
3738;Total output prices;1011 Slaughterhouses (no poultry);2009 August;95.9;-8.3;2.1;5619
3739;Total output prices;1011 Slaughterhouses (no poultry);2009 September;97.2;-9.7;1.4;5619
3740;Total output prices;1011 Slaughterhouses (no poultry);2009 October;96.3;-11.3;-1.0;5619
3741;Total output prices;1011 Slaughterhouses (no poultry);2009 November;96.3;-7.8;0.1;5619
3742;Total output prices;1011 Slaughterhouses (no poultry);2009 December;98.8;-4.9;2.6;5619
3743;Total output prices;1011 Slaughterhouses (no poultry);2009;95.8;-6.9;;5619
3744;Total output prices;1011 Slaughterhouses (no poultry);2010 January;98.7;-1.4;-0.1;5619
3745;Total output prices;1011 Slaughterhouses (no poultry);2010 February;98.3;1.9;-0.4;5619
3746;Total output prices;1011 Slaughterhouses (no poultry);2010 March;98.1;3.0;-0.2;5619
3747;Total output prices;1011 Slaughterhouses (no poultry);2010 April;98.0;4.9;-0.1;5619
3748;Total output prices;1011 Slaughterhouses (no poultry);2010 May;96.8;4.1;-1.2;5619
3749;Total output prices;1011 Slaughterhouses (no poultry);2010 June;98.4;6.3;1.6;5619
3750;Total output prices;1011 Slaughterhouses (no poultry);2010 July;96.6;2.9;-1.8;5619
3751;Total output prices;1011 Slaughterhouses (no poultry);2010 August;96.8;1.0;0.2;5619
3752;Total output prices;1011 Slaughterhouses (no poultry);2010 September;100.9;3.8;4.2;5619
3753;Total output prices;1011 Slaughterhouses (no poultry);2010 October;103.5;7.6;2.6;5619
3754;Total output prices;1011 Slaughterhouses (no poultry);2010 November;105.6;9.6;2.0;5619
3755;Total output prices;1011 Slaughterhouses (no poultry);2010 December;108.3;9.5;2.6;5619
3756;Total output prices;1011 Slaughterhouses (no poultry);2010;100.0;4.4;;5619
3757;Total output prices;1011 Slaughterhouses (no poultry);2011 January;109.9;11.3;1.5;5619
3758;Total output prices;1011 Slaughterhouses (no poultry);2011 February;110.6;12.5;0.7;5619
3759;Total output prices;1011 Slaughterhouses (no poultry);2011 March;114.6;16.9;3.6;5619
3760;Total output prices;1011 Slaughterhouses (no poultry);2011 April;119.3;21.7;4.1;5619
3761;Total output prices;1011 Slaughterhouses (no poultry);2011 May;117.1;21.0;-1.8;5619
3762;Total output prices;1011 Slaughterhouses (no poultry);2011 June;112.2;14.1;-4.2;5619
3763;Total output prices;1011 Slaughterhouses (no poultry);2011 July;114.9;19.0;2.4;5619
3764;Total output prices;1011 Slaughterhouses (no poultry);2011 August;116.5;20.3;1.4;5619
3765;Total output prices;1011 Slaughterhouses (no poultry);2011 September;119.5;18.4;2.6;5619
3766;Total output prices;1011 Slaughterhouses (no poultry);2011 October;119.2;15.2;-0.2;5619
3767;Total output prices;1011 Slaughterhouses (no poultry);2011 November;125.4;18.8;5.2;5619
3768;Total output prices;1011 Slaughterhouses (no poultry);2011 December;131.7;21.7;5.0;5619
3769;Total output prices;1011 Slaughterhouses (no poultry);2011;117.6;17.6;;5619
3770;Total output prices;1011 Slaughterhouses (no poultry);2012 January;130.6;18.9;-0.8;5619
3771;Total output prices;1011 Slaughterhouses (no poultry);2012 February;130.5;18.0;-0.1;5619
3772;Total output prices;1011 Slaughterhouses (no poultry);2012 March;129.0;12.6;-1.2;5619
3773;Total output prices;1011 Slaughterhouses (no poultry);2012 April;128.5;7.7;-0.4;5619
3774;Total output prices;1011 Slaughterhouses (no poultry);2012 May;128.2;9.5;-0.2;5619
3775;Total output prices;1011 Slaughterhouses (no poultry);2012 June;127.4;13.5;-0.6;5619
3776;Total output prices;1011 Slaughterhouses (no poultry);2012 July;127.3;10.8;-0.1;5619
3777;Total output prices;1011 Slaughterhouses (no poultry);2012 August;128.8;10.5;1.1;5619
3778;Total output prices;1011 Slaughterhouses (no poultry);2012 September;131.8;10.3;2.4;5619
3779;Total output prices;1011 Slaughterhouses (no poultry);2012 October;134.5;12.8;2.0;5619
3780;Total output prices;1011 Slaughterhouses (no poultry);2012 November;135.8;8.2;1.0;5619
3781;Total output prices;1011 Slaughterhouses (no poultry);2012 December;135.6;3.0;-0.1;5619
3782;Total output prices;1011 Slaughterhouses (no poultry);2012;130.7;11.1;;5619
3783;Total output prices;1011 Slaughterhouses (no poultry);2013 January;132.8;1.6;-2.1;5619
3784;Total output prices;1011 Slaughterhouses (no poultry);2013 February;130.4;-0.1;-1.8;5619
3785;Total output prices;1011 Slaughterhouses (no poultry);2013 March;129.7;0.5;-0.5;5619
3786;Total output prices;1011 Slaughterhouses (no poultry);2013 April;127.2;-1.0;-1.9;5619
3787;Total output prices;1011 Slaughterhouses (no poultry);2013 May;124.6;-2.8;-2.0;5619
3788;Total output prices;1011 Slaughterhouses (no poultry);2013 June;124.0;-2.7;-0.5;5619
3789;Total output prices;1011 Slaughterhouses (no poultry);2013 July;125.2;-1.7;1.0;5619
3790;Total output prices;1011 Slaughterhouses (no poultry);2013 August;126.9;-1.5;1.3;5619
3791;Total output prices;1011 Slaughterhouses (no poultry);2013 September;129.1;-2.1;1.7;5619
3792;Total output prices;1011 Slaughterhouses (no poultry);2013 October;128.8;-4.2;-0.2;5619
3793;Total output prices;1011 Slaughterhouses (no poultry);2013 November;130.1;-4.2;1.0;5619
3794;Total output prices;1011 Slaughterhouses (no poultry);2013 December;133.1;-1.9;2.3;5619
3795;Total output prices;1011 Slaughterhouses (no poultry);2013;128.5;-1.7;;5619
3796;Total output prices;1011 Slaughterhouses (no poultry);2014 January;131.1;-1.3;-1.5;5619
3797;Total output prices;1011 Slaughterhouses (no poultry);2014 February;127.9;-1.9;-2.4;5619
3798;Total output prices;1011 Slaughterhouses (no poultry);2014 March;125.3;-3.4;-2.1;5619
3799;Total output prices;1011 Slaughterhouses (no poultry);2014 April;125.7;-1.2;0.3;5619
3800;Total output prices;1011 Slaughterhouses (no poultry);2014 May;124.1;-0.5;-1.3;5619
3801;Total output prices;1011 Slaughterhouses (no poultry);2014 June;121.9;-1.6;-1.7;5619
3802;Total output prices;1011 Slaughterhouses (no poultry);2014 July;120.8;-3.6;-0.9;5619
3803;Total output prices;1011 Slaughterhouses (no poultry);2014 August;121.2;-4.4;0.4;5619
3804;Total output prices;1011 Slaughterhouses (no poultry);2014 September;121.8;-5.6;0.5;5619
3805;Total output prices;1011 Slaughterhouses (no poultry);2014 October;119.7;-7.1;-1.8;5619
3806;Total output prices;1011 Slaughterhouses (no poultry);2014 November;119.9;-7.9;0.2;5619
3807;Total output prices;1011 Slaughterhouses (no poultry);2014 December;121.9;-8.4;1.7;5619
3808;Total output prices;1011 Slaughterhouses (no poultry);2014;123.4;-3.9;;5619
3809;Total output prices;1011 Slaughterhouses (no poultry);2015 January;118.0;-10.0;-3.2;5619
3810;Total output prices;1011 Slaughterhouses (no poultry);2015 February;116.3;-9.1;-1.4;5619
3811;Total output prices;1011 Slaughterhouses (no poultry);2015 March;115.6;-7.7;-0.6;5619
3812;Total output prices;1011 Slaughterhouses (no poultry);2015 April;115.4;-8.2;-0.2;5619
3813;Total output prices;1011 Slaughterhouses (no poultry);2015 May;113.8;-8.3;-1.4;5619
3814;Total output prices;1011 Slaughterhouses (no poultry);2015 June;115.0;-5.7;1.1;5619
3815;Total output prices;1011 Slaughterhouses (no poultry);2015 July;112.9;-6.5;-1.8;5619
3816;Total output prices;1011 Slaughterhouses (no poultry);2015 August;111.0;-8.4;-1.7;5619
3817;Total output prices;1011 Slaughterhouses (no poultry);2015 September;113.2;-7.1;2.0;5619
3818;Total output prices;1011 Slaughterhouses (no poultry);2015 October;113.6;-5.0;0.4;5619
3819;Total output prices;1011 Slaughterhouses (no poultry);2015 November;122.2;2.0;7.6;5619
3820;Total output prices;1011 Slaughterhouses (no poultry);2015 December;121.6;-0.3;-0.6;5619
3821;Total output prices;1011 Slaughterhouses (no poultry);2015;115.7;-6.3;;5619
3822;Total output prices;1011 Slaughterhouses (no poultry);2016 January;118.8;0.7;-2.3;5619
3823;Total output prices;1011 Slaughterhouses (no poultry);2016 February;118.4;1.8;-0.4;5619
3824;Total output prices;1011 Slaughterhouses (no poultry);2016 March;123.1;6.4;4.0;5619
3825;Total output prices;1011 Slaughterhouses (no poultry);2016 April;118.2;2.4;-3.9;5619
3826;Total output prices;1011 Slaughterhouses (no poultry);2016 May;119.2;4.8;0.9;5619
3827;Total output prices;1011 Slaughterhouses (no poultry);2016 June;126.9;10.3;6.4;5619
3828;Total output prices;1011 Slaughterhouses (no poultry);2016 July;127.9;13.3;0.8;5619
3829;Total output prices;1011 Slaughterhouses (no poultry);2016 August;129.1;16.3;0.9;5619
3830;Total output prices;1011 Slaughterhouses (no poultry);2016 September;130.0;14.8;0.7;5619
3831;Total output prices;1011 Slaughterhouses (no poultry);2016 October;133.2;17.2;2.4;5619
3832;Total output prices;1011 Slaughterhouses (no poultry);2016 November;135.6;10.9;1.8;5619
3833;Total output prices;1011 Slaughterhouses (no poultry);2016 December;136.6;12.4;0.8;5619
3834;Total output prices;1011 Slaughterhouses (no poultry);2016;126.4;9.2;;5619
3835;Total output prices;1011 Slaughterhouses (no poultry);2017 January;135.7;14.2;-0.7;5619
3836;Total output prices;1011 Slaughterhouses (no poultry);2017 February;134.3;13.4;-1.1;5619
3837;Total output prices;1011 Slaughterhouses (no poultry);2017 March;135.9;10.4;1.2;5619
3838;Total output prices;1011 Slaughterhouses (no poultry);2017 April;137.5;16.3;1.2;5619
3839;Total output prices;1011 Slaughterhouses (no poultry);2017 May;139.2;16.8;1.3;5619
3840;Total output prices;1011 Slaughterhouses (no poultry);2017 June;135.1;6.5;-2.9;5619
3841;Total output prices;1011 Slaughterhouses (no poultry);2017 July;133.0;4.0;-1.6;5619
3842;Total output prices;1011 Slaughterhouses (no poultry);2017 August;132.6;2.7;-0.3;5619
3843;Total output prices;1011 Slaughterhouses (no poultry);2017 September;135.9;4.6;2.5;5619
3844;Total output prices;1011 Slaughterhouses (no poultry);2017 October;138.3;3.8;1.7;5619
3845;Total output prices;1011 Slaughterhouses (no poultry);2017 November;139.2;2.7;0.7;5619
3846;Total output prices;1011 Slaughterhouses (no poultry);2017 December;139.3;2.0;0.1;5619
3847;Total output prices;1011 Slaughterhouses (no poultry);2017;136.3;7.9;;5619
3848;Total output prices;1012 Slaughterhouses (poultry);1981 January;;;;0
3849;Total output prices;1012 Slaughterhouses (poultry);1981 February;;;;0
3850;Total output prices;1012 Slaughterhouses (poultry);1981 March ;;;;0
3851;Total output prices;1012 Slaughterhouses (poultry);1981 April;;;;0
3852;Total output prices;1012 Slaughterhouses (poultry);1981 May;;;;0
3853;Total output prices;1012 Slaughterhouses (poultry);1981 June;;;;0
3854;Total output prices;1012 Slaughterhouses (poultry);1981 July;;;;0
3855;Total output prices;1012 Slaughterhouses (poultry);1981 August;;;;0
3856;Total output prices;1012 Slaughterhouses (poultry);1981 September;;;;0
3857;Total output prices;1012 Slaughterhouses (poultry);1981 October;;;;0
3858;Total output prices;1012 Slaughterhouses (poultry);1981 November;;;;0
3859;Total output prices;1012 Slaughterhouses (poultry);1981 December;;;;0
3860;Total output prices;1012 Slaughterhouses (poultry);1981;;;;0
3861;Total output prices;1012 Slaughterhouses (poultry);1982 January;;;;0
3862;Total output prices;1012 Slaughterhouses (poultry);1982 February;;;;0
3863;Total output prices;1012 Slaughterhouses (poultry);1982 March ;;;;0
3864;Total output prices;1012 Slaughterhouses (poultry);1982 April;;;;0
3865;Total output prices;1012 Slaughterhouses (poultry);1982 May;;;;0
3866;Total output prices;1012 Slaughterhouses (poultry);1982 June;;;;0
3867;Total output prices;1012 Slaughterhouses (poultry);1982 July;;;;0
3868;Total output prices;1012 Slaughterhouses (poultry);1982 August;;;;0
3869;Total output prices;1012 Slaughterhouses (poultry);1982 September;;;;0
3870;Total output prices;1012 Slaughterhouses (poultry);1982 October;;;;0
3871;Total output prices;1012 Slaughterhouses (poultry);1982 November;;;;0
3872;Total output prices;1012 Slaughterhouses (poultry);1982 December;;;;0
3873;Total output prices;1012 Slaughterhouses (poultry);1982;;;;0
3874;Total output prices;1012 Slaughterhouses (poultry);1983 January;;;;0
3875;Total output prices;1012 Slaughterhouses (poultry);1983 February;;;;0
3876;Total output prices;1012 Slaughterhouses (poultry);1983 March ;;;;0
3877;Total output prices;1012 Slaughterhouses (poultry);1983 April;;;;0
3878;Total output prices;1012 Slaughterhouses (poultry);1983 May;;;;0
3879;Total output prices;1012 Slaughterhouses (poultry);1983 June;;;;0
3880;Total output prices;1012 Slaughterhouses (poultry);1983 July;;;;0
3881;Total output prices;1012 Slaughterhouses (poultry);1983 August;;;;0
3882;Total output prices;1012 Slaughterhouses (poultry);1983 September;;;;0
3883;Total output prices;1012 Slaughterhouses (poultry);1983 October;;;;0
3884;Total output prices;1012 Slaughterhouses (poultry);1983 November;;;;0
3885;Total output prices;1012 Slaughterhouses (poultry);1983 December;;;;0
3886;Total output prices;1012 Slaughterhouses (poultry);1983;;;;0
3887;Total output prices;1012 Slaughterhouses (poultry);1984 January;;;;0
3888;Total output prices;1012 Slaughterhouses (poultry);1984 February;;;;0
3889;Total output prices;1012 Slaughterhouses (poultry);1984 March ;;;;0
3890;Total output prices;1012 Slaughterhouses (poultry);1984 April;;;;0
3891;Total output prices;1012 Slaughterhouses (poultry);1984 May;;;;0
3892;Total output prices;1012 Slaughterhouses (poultry);1984 June;;;;0
3893;Total output prices;1012 Slaughterhouses (poultry);1984 July;;;;0
3894;Total output prices;1012 Slaughterhouses (poultry);1984 August;;;;0
3895;Total output prices;1012 Slaughterhouses (poultry);1984 September;;;;0
3896;Total output prices;1012 Slaughterhouses (poultry);1984 October;;;;0
3897;Total output prices;1012 Slaughterhouses (poultry);1984 November;;;;0
3898;Total output prices;1012 Slaughterhouses (poultry);1984 December;;;;0
3899;Total output prices;1012 Slaughterhouses (poultry);1984;;;;0
3900;Total output prices;1012 Slaughterhouses (poultry);1985 January;;;;0
3901;Total output prices;1012 Slaughterhouses (poultry);1985 February;;;;0
3902;Total output prices;1012 Slaughterhouses (poultry);1985 March ;;;;0
3903;Total output prices;1012 Slaughterhouses (poultry);1985 April;;;;0
3904;Total output prices;1012 Slaughterhouses (poultry);1985 May;;;;0
3905;Total output prices;1012 Slaughterhouses (poultry);1985 June;;;;0
3906;Total output prices;1012 Slaughterhouses (poultry);1985 July;;;;0
3907;Total output prices;1012 Slaughterhouses (poultry);1985 August;;;;0
3908;Total output prices;1012 Slaughterhouses (poultry);1985 September;;;;0
3909;Total output prices;1012 Slaughterhouses (poultry);1985 October;;;;0
3910;Total output prices;1012 Slaughterhouses (poultry);1985 November;;;;0
3911;Total output prices;1012 Slaughterhouses (poultry);1985 December;;;;0
3912;Total output prices;1012 Slaughterhouses (poultry);1985;;;;0
3913;Total output prices;1012 Slaughterhouses (poultry);1986 January;;;;0
3914;Total output prices;1012 Slaughterhouses (poultry);1986 February;;;;0
3915;Total output prices;1012 Slaughterhouses (poultry);1986 March ;;;;0
3916;Total output prices;1012 Slaughterhouses (poultry);1986 April;;;;0
3917;Total output prices;1012 Slaughterhouses (poultry);1986 May;;;;0
3918;Total output prices;1012 Slaughterhouses (poultry);1986 June;;;;0
3919;Total output prices;1012 Slaughterhouses (poultry);1986 July;;;;0
3920;Total output prices;1012 Slaughterhouses (poultry);1986 August;;;;0
3921;Total output prices;1012 Slaughterhouses (poultry);1986 September;;;;0
3922;Total output prices;1012 Slaughterhouses (poultry);1986 October;;;;0
3923;Total output prices;1012 Slaughterhouses (poultry);1986 November;;;;0
3924;Total output prices;1012 Slaughterhouses (poultry);1986 December;;;;0
3925;Total output prices;1012 Slaughterhouses (poultry);1986;;;;0
3926;Total output prices;1012 Slaughterhouses (poultry);1987 January;;;;0
3927;Total output prices;1012 Slaughterhouses (poultry);1987 February;;;;0
3928;Total output prices;1012 Slaughterhouses (poultry);1987 March ;;;;0
3929;Total output prices;1012 Slaughterhouses (poultry);1987 April;;;;0
3930;Total output prices;1012 Slaughterhouses (poultry);1987 May;;;;0
3931;Total output prices;1012 Slaughterhouses (poultry);1987 June;;;;0
3932;Total output prices;1012 Slaughterhouses (poultry);1987 July;;;;0
3933;Total output prices;1012 Slaughterhouses (poultry);1987 August;;;;0
3934;Total output prices;1012 Slaughterhouses (poultry);1987 September;;;;0
3935;Total output prices;1012 Slaughterhouses (poultry);1987 October;;;;0
3936;Total output prices;1012 Slaughterhouses (poultry);1987 November;;;;0
3937;Total output prices;1012 Slaughterhouses (poultry);1987 December;;;;0
3938;Total output prices;1012 Slaughterhouses (poultry);1987;;;;0
3939;Total output prices;1012 Slaughterhouses (poultry);1988 January;;;;0
3940;Total output prices;1012 Slaughterhouses (poultry);1988 February;;;;0
3941;Total output prices;1012 Slaughterhouses (poultry);1988 March ;;;;0
3942;Total output prices;1012 Slaughterhouses (poultry);1988 April;;;;0
3943;Total output prices;1012 Slaughterhouses (poultry);1988 May;;;;0
3944;Total output prices;1012 Slaughterhouses (poultry);1988 June;;;;0
3945;Total output prices;1012 Slaughterhouses (poultry);1988 July;;;;0
3946;Total output prices;1012 Slaughterhouses (poultry);1988 August;;;;0
3947;Total output prices;1012 Slaughterhouses (poultry);1988 September;;;;0
3948;Total output prices;1012 Slaughterhouses (poultry);1988 October;;;;0
3949;Total output prices;1012 Slaughterhouses (poultry);1988 November;;;;0
3950;Total output prices;1012 Slaughterhouses (poultry);1988 December;;;;0
3951;Total output prices;1012 Slaughterhouses (poultry);1988;;;;0
3952;Total output prices;1012 Slaughterhouses (poultry);1989 January;;;;0
3953;Total output prices;1012 Slaughterhouses (poultry);1989 February;;;;0
3954;Total output prices;1012 Slaughterhouses (poultry);1989 March ;;;;0
3955;Total output prices;1012 Slaughterhouses (poultry);1989 April;;;;0
3956;Total output prices;1012 Slaughterhouses (poultry);1989 May;;;;0
3957;Total output prices;1012 Slaughterhouses (poultry);1989 June;;;;0
3958;Total output prices;1012 Slaughterhouses (poultry);1989 July;;;;0
3959;Total output prices;1012 Slaughterhouses (poultry);1989 August;;;;0
3960;Total output prices;1012 Slaughterhouses (poultry);1989 September;;;;0
3961;Total output prices;1012 Slaughterhouses (poultry);1989 October;;;;0
3962;Total output prices;1012 Slaughterhouses (poultry);1989 November;;;;0
3963;Total output prices;1012 Slaughterhouses (poultry);1989 December;;;;0
3964;Total output prices;1012 Slaughterhouses (poultry);1989;;;;0
3965;Total output prices;1012 Slaughterhouses (poultry);1990 January;;;;0
3966;Total output prices;1012 Slaughterhouses (poultry);1990 February;;;;0
3967;Total output prices;1012 Slaughterhouses (poultry);1990 March ;;;;0
3968;Total output prices;1012 Slaughterhouses (poultry);1990 April;;;;0
3969;Total output prices;1012 Slaughterhouses (poultry);1990 May;;;;0
3970;Total output prices;1012 Slaughterhouses (poultry);1990 June;;;;0
3971;Total output prices;1012 Slaughterhouses (poultry);1990 July;;;;0
3972;Total output prices;1012 Slaughterhouses (poultry);1990 August;;;;0
3973;Total output prices;1012 Slaughterhouses (poultry);1990 September;;;;0
3974;Total output prices;1012 Slaughterhouses (poultry);1990 October;;;;0
3975;Total output prices;1012 Slaughterhouses (poultry);1990 November;;;;0
3976;Total output prices;1012 Slaughterhouses (poultry);1990 December;;;;0
3977;Total output prices;1012 Slaughterhouses (poultry);1990;;;;0
3978;Total output prices;1012 Slaughterhouses (poultry);1991 January;;;;0
3979;Total output prices;1012 Slaughterhouses (poultry);1991 February;;;;0
3980;Total output prices;1012 Slaughterhouses (poultry);1991 March ;;;;0
3981;Total output prices;1012 Slaughterhouses (poultry);1991 April;;;;0
3982;Total output prices;1012 Slaughterhouses (poultry);1991 May;;;;0
3983;Total output prices;1012 Slaughterhouses (poultry);1991 June;;;;0
3984;Total output prices;1012 Slaughterhouses (poultry);1991 July;;;;0
3985;Total output prices;1012 Slaughterhouses (poultry);1991 August;;;;0
3986;Total output prices;1012 Slaughterhouses (poultry);1991 September;;;;0
