ID;Bedrijfsactiviteiten;Perioden;TotaalInvesteringen_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;ExterneVervoermiddelen_5;InterneTransportmiddelen_6;ComputersEnRandapparatuur_7;OverigeMachinesInstallatiesED_8;OverigeMaterieleVasteActiva_9
472;36    Meubel- en ov. industrie n.e.g.;1997;221.7;5.0;64.3;1.7;17.4;4.1;19.7;95.7;13.8
473;36    Meubel- en ov. industrie n.e.g.;1998;228.2;2.9;60.6;1.7;21.7;3.4;19.1;99.5;19.3
474;36    Meubel- en ov. industrie n.e.g.;1999;273.4;9.3;73.1;1.6;24.5;7.2;27.6;113.4;16.7
475;361   Meubel- en matrassenindustrie;1995;61.2;0.7;10.2;0.1;6.1;3.0;4.5;30.6;6.0
476;361   Meubel- en matrassenindustrie;1996;71.0;3.5;13.7;0.3;7.3;1.9;5.7;34.2;4.4
477;361   Meubel- en matrassenindustrie;1997;75.9;2.1;16.9;0.2;7.6;1.2;6.6;37.7;3.6
478;361   Meubel- en matrassenindustrie;1998;97.4;0.7;23.9;0.0;9.3;1.8;8.1;43.6;10.1
479;361   Meubel- en matrassenindustrie;1999;135.5;5.6;40.3;0.5;13.5;4.3;11.3;52.3;7.9
480;362   Sieradenind. e.d. (excl. imitatie);1995;0.8;0.0;0.0;0.0;0.0;0.0;0.1;0.5;0.2
481;362   Sieradenind. e.d. (excl. imitatie);1996;2.0;0.0;0.2;0.0;0.0;0.0;0.2;0.5;1.0
482;362   Sieradenind. e.d. (excl. imitatie);1997;1.5;0.0;0.0;0.0;0.0;0.0;0.2;1.1;0.1
483;362   Sieradenind. e.d. (excl. imitatie);1998;7.2;0.0;0.6;0.0;0.1;0.0;0.3;5.1;1.0
484;362   Sieradenind. e.d. (excl. imitatie);1999;8.4;0.0;0.2;0.0;0.1;0.0;0.5;7.4;0.2
485;363*  Muziekinstrumenten en overige;1995;103.9;3.6;31.4;1.3;7.4;2.5;8.8;40.7;8.2
486;363*  Muziekinstrumenten en overige;1996;66.4;0.1;5.6;1.2;1.4;1.5;8.8;40.3;7.4
487;363*  Muziekinstrumenten en overige;1997;142.6;2.9;47.1;1.6;9.5;2.9;12.7;56.2;9.8
488;363*  Muziekinstrumenten en overige;1998;120.8;1.9;36.0;1.6;12.2;1.6;10.3;49.1;8.1
489;363*  Muziekinstrumenten en overige;1999;127.6;3.7;32.5;1.1;10.6;2.8;15.4;53.1;8.4
490;364*  Sportart., spellen en speelg.;1995;1.5;0.0;0.5;0.0;0.1;0.0;0.2;0.4;0.3
491;364*  Sportart., spellen en speelg.;1996;1.9;0.0;0.0;0.0;0.1;0.0;0.2;1.2;0.3
492;364*  Sportart., spellen en speelg.;1997;1.6;0.0;0.3;0.0;0.3;0.0;0.2;0.6;0.2
493;364*  Sportart., spellen en speelg.;1998;2.8;0.2;0.1;0.0;0.1;0.0;0.4;1.7;0.2
494;364*  Sportart., spellen en speelg.;1999;1.9;0.0;0.1;0.0;0.3;0.0;0.4;0.6;0.2
495;37    Voorbereiding tot recycling;1995;3.7;0.0;0.5;0.0;0.1;0.1;0.0;2.9;0.1
496;37    Voorbereiding tot recycling;1996;14.6;0.1;4.3;0.0;2.9;0.4;0.0;4.7;2.1
497;37    Voorbereiding tot recycling;1997;25.9;3.4;3.3;0.0;4.1;1.1;0.0;12.3;1.8
498;37    Voorbereiding tot recycling;1998;42.7;8.1;4.8;0.1;1.9;0.9;0.0;24.9;1.9
499;37    Voorbereiding tot recycling;1999;30.8;4.0;4.7;0.0;6.2;0.6;0.0;12.6;2.6
500;40    Productie en distr. energie en gas;1995;1887.9;11.5;217.1;817.5;17.1;1.0;24.6;781.6;17.4
501;40    Productie en distr. energie en gas;1996;3137.8;12.4;279.0;942.1;12.6;0.9;39.6;1829.5;21.6
502;40    Productie en distr. energie en gas;1997;1595.9;4.8;88.6;728.9;13.8;0.3;48.0;676.0;35.4
503;40    Productie en distr. energie en gas;1998;1386.8;0.7;58.2;711.1;19.0;0.7;48.1;525.8;23.2
504;40    Productie en distr. energie en gas;1999;1428.6;5.8;56.7;436.1;11.4;0.3;36.1;829.8;52.4
505;40*   Nutsbedrijven;1995;2287.1;22.1;260.2;1084.3;21.4;1.1;38.3;828.2;31.4
506;40*   Nutsbedrijven;1996;3504.2;37.6;339.0;1143.6;17.8;1.5;52.8;1875.4;36.6
507;40*   Nutsbedrijven;1997;1952.8;18.8;140.8;932.1;18.7;0.8;64.2;730.0;47.5
508;40*   Nutsbedrijven;1998;1773.2;8.2;126.1;931.8;23.7;2.0;67.3;582.8;31.3
509;40*   Nutsbedrijven;1999;1901.9;8.1;151.3;664.2;17.5;0.5;48.2;937.3;74.9
510;41    Winning en distributie van water;1995;399.2;10.6;43.1;266.8;4.2;0.2;13.7;46.6;14.0
511;41    Winning en distributie van water;1996;366.4;25.2;60.0;201.4;5.2;0.5;13.2;45.9;14.9
512;41    Winning en distributie van water;1997;356.9;14.0;52.2;203.2;4.9;0.5;16.2;54.0;12.0
513;41    Winning en distributie van water;1998;386.4;7.5;67.9;220.7;4.7;1.3;19.2;56.9;8.1
514;41    Winning en distributie van water;1999;473.3;2.3;94.6;228.1;6.0;0.1;12.1;107.5;22.5
515;45    Bouwnijverheid;1995;626.3;19.6;77.0;22.9;161.1;25.7;42.1;201.8;76.1
516;45    Bouwnijverheid;1996;865.7;18.5;94.1;101.7;222.6;24.6;49.2;285.0;70.1
517;45    Bouwnijverheid;1997;910.8;21.1;103.1;25.5;191.0;31.4;67.5;388.9;82.3
518;45    Bouwnijverheid;1998;867.3;21.1;85.5;27.9;203.8;31.0;76.8;322.3;98.9
519;45    Bouwnijverheid;1999;1287.1;26.5;130.9;5.4;392.7;41.4;96.0;486.7;107.5
520;451   Bouwrijp maken van terreinen;1995;34.5;1.5;2.1;1.0;4.8;2.6;0.5;18.1;3.9
521;451   Bouwrijp maken van terreinen;1996;49.5;0.5;1.5;0.0;7.6;1.3;0.4;33.3;4.8
522;451   Bouwrijp maken van terreinen;1997;25.5;0.6;0.8;0.0;5.9;2.9;0.2;13.8;1.3
523;451   Bouwrijp maken van terreinen;1998;50.8;3.7;1.3;1.0;9.0;2.6;0.6;29.3;3.4
524;451   Bouwrijp maken van terreinen;1999;53.4;1.5;0.8;0.5;10.2;2.5;0.5;30.7;6.7
525;"452   B&U-bouw; GWW-bouw";1995;417.8;14.4;52.2;20.3;99.9;17.1;23.5;147.2;43.2
526;"452   B&U-bouw; GWW-bouw";1996;561.5;15.8;51.4;100.1;128.1;17.9;23.4;180.7;44.2
527;"452   B&U-bouw; GWW-bouw";1997;632.3;17.2;69.7;23.4;115.5;17.7;38.4;300.0;50.5
528;"452   B&U-bouw; GWW-bouw";1998;517.9;13.4;51.2;25.4;115.9;23.5;43.2;189.9;55.4
529;"452   B&U-bouw; GWW-bouw";1999;759.0;15.7;60.6;3.7;277.9;29.5;52.0;256.5;63.1
530;453   Bouwinstallatiebedrijven;1995;101.7;2.5;16.6;1.6;34.0;3.2;16.1;12.5;15.2
531;453   Bouwinstallatiebedrijven;1996;157.1;1.8;30.4;1.2;59.7;2.2;23.5;24.7;13.7
532;453   Bouwinstallatiebedrijven;1997;135.5;2.4;21.6;0.3;43.6;1.4;26.5;20.9;18.9
533;453   Bouwinstallatiebedrijven;1998;171.7;3.2;25.7;0.6;44.2;1.7;28.7;41.7;25.9
534;453   Bouwinstallatiebedrijven;1999;226.0;6.0;54.0;0.5;50.0;6.0;26.0;62.2;21.3
535;454   Afwerken van gebouwen;1995;30.7;0.9;5.7;0.0;12.7;1.6;1.6;5.2;2.9
536;454   Afwerken van gebouwen;1996;43.9;0.4;10.1;0.0;15.1;1.9;1.5;12.6;2.4
537;454   Afwerken van gebouwen;1997;39.8;0.9;9.7;1.6;12.8;1.2;1.6;5.5;6.6
538;454   Afwerken van gebouwen;1998;44.0;0.0;6.5;0.1;19.2;2.3;3.2;6.9;5.6
539;454   Afwerken van gebouwen;1999;99.5;0.7;7.3;0.7;21.2;2.1;13.6;42.2;11.7
540;455   Verhuur bouw-,sloopmach. met pers.;1995;41.6;0.3;0.4;0.0;9.7;1.2;0.4;18.7;10.8
541;455   Verhuur bouw-,sloopmach. met pers.;1996;53.8;0.0;0.8;0.3;12.1;1.4;0.5;33.7;5.0
542;455   Verhuur bouw-,sloopmach. met pers.;1997;77.7;0.0;1.4;0.2;13.3;8.2;0.8;48.7;5.1
543;455   Verhuur bouw-,sloopmach. met pers.;1998;83.0;0.7;0.8;0.8;15.5;0.9;1.1;54.5;8.6
544;455   Verhuur bouw-,sloopmach. met pers.;1999;149.2;2.5;8.2;0.0;33.4;1.3;3.9;95.1;4.7
