ID;WijkenEnBuurten;Woningkenmerken;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldeElektriciteitslevering_5;GemiddeldeNettoElektriciteitslevering_6;Stadsverwarming_7;IndelingswijzigingWijkenEnBuurten_8
163;Wijk 06 Eexterveen;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168006  ;1590.0;2210.0;760.0;;1.0
164;Wijk 06 Eexterveen;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168006  ;1230.0;2470.0;1240.0;;1.0
165;Wijk 06 Eexterveen;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168006  ;1500.0;3570.0;1960.0;;1.0
166;Wijk 06 Eexterveen;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168006  ;1420.0;3370.0;1810.0;;1.0
167;Wijk 06 Eexterveen;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168006  ;1910.0;2800.0;1500.0;;1.0
168;Eexterveen;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800600;1470.0;3300.0;1760.0;;1.0
169;Eexterveen;Appartement;Aa en Hunze                             ;Buurt     ;BU16800600;1440.0;3360.0;2130.0;;1.0
170;Eexterveen;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800600;1640.0;3260.0;1380.0;;1.0
171;Eexterveen;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800600;1590.0;2210.0;760.0;;1.0
172;Eexterveen;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800600;1230.0;2470.0;1240.0;;1.0
173;Eexterveen;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800600;1520.0;3540.0;1920.0;;1.0
174;Eexterveen;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800600;1430.0;3340.0;1780.0;;1.0
175;Eexterveen;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800600;1910.0;2800.0;1500.0;;1.0
176;Verspreide huizen Eexterveen;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
177;Verspreide huizen Eexterveen;Appartement;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
178;Verspreide huizen Eexterveen;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
179;Verspreide huizen Eexterveen;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
180;Verspreide huizen Eexterveen;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
181;Verspreide huizen Eexterveen;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
182;Verspreide huizen Eexterveen;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
183;Verspreide huizen Eexterveen;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800609;;;;;1.0
184;Wijk 07 Spijkerboor;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168007  ;1530.0;3200.0;2210.0;;1.0
185;Wijk 07 Spijkerboor;Appartement;Aa en Hunze                             ;Wijk      ;WK168007  ;;;;;1.0
186;Wijk 07 Spijkerboor;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168007  ;;;;;1.0
187;Wijk 07 Spijkerboor;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168007  ;;;;;1.0
188;Wijk 07 Spijkerboor;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168007  ;1240.0;2800.0;2060.0;;1.0
