ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
6392;Total entities with/without legal pers.;089 Other mining and quarrying ;2011 September;0
6393;Total entities with/without legal pers.;089 Other mining and quarrying ;2011 3rd quarter;0
6394;Total entities with/without legal pers.;089 Other mining and quarrying ;2011 October;0
6395;Total entities with/without legal pers.;089 Other mining and quarrying ;2011 November;0
6396;Total entities with/without legal pers.;089 Other mining and quarrying ;2011 December;0
6397;Total entities with/without legal pers.;089 Other mining and quarrying ;2011 4th quarter;0
6398;Total entities with/without legal pers.;089 Other mining and quarrying ;2011;0
6399;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 January;0
6400;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 February;0
6401;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 March;0
6402;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 1st quarter;0
6403;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 April;0
6404;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 May;0
6405;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 June;0
6406;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 2nd quarter;0
6407;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 July;0
6408;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 August;0
6409;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 September;0
6410;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 3rd quarter;0
6411;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 October;0
6412;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 November;0
6413;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 December;0
6414;Total entities with/without legal pers.;089 Other mining and quarrying ;2012 4th quarter;0
6415;Total entities with/without legal pers.;089 Other mining and quarrying ;2012;0
6416;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 January;0
6417;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 February;1
6418;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 March;0
6419;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 1st quarter;1
6420;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 April;0
6421;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 May;0
6422;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 June;0
6423;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 2nd quarter;0
6424;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 July;0
6425;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 August;0
6426;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 September;0
6427;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 3rd quarter;0
6428;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 October;0
6429;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 November;0
6430;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 December;0
6431;Total entities with/without legal pers.;089 Other mining and quarrying ;2013 4th quarter;0
6432;Total entities with/without legal pers.;089 Other mining and quarrying ;2013;1
6433;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 January;0
6434;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 February;0
6435;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 March;0
6436;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 1st quarter;0
6437;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 April;0
6438;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 May;0
6439;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 June;0
6440;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 2nd quarter;0
6441;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 July;0
6442;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 August;0
6443;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 September;0
6444;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 3rd quarter;0
6445;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 October;0
6446;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 November;0
6447;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 December;0
6448;Total entities with/without legal pers.;089 Other mining and quarrying ;2014 4th quarter;0
6449;Total entities with/without legal pers.;089 Other mining and quarrying ;2014;0
6450;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 January;0
6451;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 February;0
6452;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 March;0
6453;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 1st quarter;0
6454;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 April;0
6455;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 May;0
6456;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 June;0
6457;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 2nd quarter;0
6458;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 July;0
6459;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 August;0
6460;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 September;0
6461;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 3rd quarter;0
6462;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 October;0
6463;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 November;0
6464;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 December;0
6465;Total entities with/without legal pers.;089 Other mining and quarrying ;2015 4th quarter;0
6466;Total entities with/without legal pers.;089 Other mining and quarrying ;2015;0
6467;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 January;0
6468;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 February;0
6469;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 March;0
6470;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 1st quarter;0
6471;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 April;0
6472;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 May;0
6473;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 June;0
6474;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 2nd quarter;0
6475;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 July;0
6476;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 August;0
6477;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 September;0
6478;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 3rd quarter;0
6479;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 October;0
6480;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 November;0
6481;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 December;0
6482;Total entities with/without legal pers.;089 Other mining and quarrying ;2016 4th quarter;0
6483;Total entities with/without legal pers.;089 Other mining and quarrying ;2016;0
6484;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 January;0
6485;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 February;0
6486;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 March;0
6487;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 1st quarter;0
6488;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 April;0
6489;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 May;0
6490;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 June;0
6491;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 2nd quarter;0
6492;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 July;0
6493;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 August;0
6494;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 September;0
6495;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 3rd quarter;0
6496;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 October;0
6497;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 November;0
6498;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 December;0
6499;Total entities with/without legal pers.;089 Other mining and quarrying ;2017 4th quarter;0
6500;Total entities with/without legal pers.;089 Other mining and quarrying ;2017;0
6501;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 January;0
6502;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 February;0
6503;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 March;0
6504;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 1st quarter;0
6505;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 April;0
6506;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 May;0
6507;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 June;0
6508;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 2nd quarter;0
6509;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 July;0
6510;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 August;0
6511;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 September;0
6512;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 3rd quarter;0
6513;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 October;0
6514;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 November;0
6515;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 December;0
6516;Total entities with/without legal pers.;089 Other mining and quarrying ;2018 4th quarter;0
6517;Total entities with/without legal pers.;089 Other mining and quarrying ;2018;0
6518;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 January;0
6519;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 February;0
6520;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 March;0
6521;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 1st quarter;0
6522;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 April;0
6523;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 May;0
6524;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 June;0
6525;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 2nd quarter;0
6526;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 July;0
6527;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 August;0
6528;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 September;0
6529;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 3rd quarter;0
6530;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 October;0
6531;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 November;0
6532;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 December;0
6533;Total entities with/without legal pers.;089 Other mining and quarrying ;2019 4th quarter;0
6534;Total entities with/without legal pers.;089 Other mining and quarrying ;2019;0
6535;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 January;0
6536;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 February;0
6537;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 March;0
6538;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 1st quarter;0
6539;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 April;0
6540;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 May;0
6541;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 June;0
6542;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 2nd quarter;0
6543;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 July;0
6544;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 August;0
6545;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 September;0
6546;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 3rd quarter;0
6547;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 October;0
6548;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 November;0
6549;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 December;0
6550;Total entities with/without legal pers.;089 Other mining and quarrying ;2020 4th quarter;0
6551;Total entities with/without legal pers.;089 Other mining and quarrying ;2020;0
6552;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 January;0
6553;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 February;0
6554;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 March;0
6555;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 1st quarter;0
6556;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 April;0
6557;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 May;0
6558;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 June;0
6559;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 2nd quarter;0
6560;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 July;0
6561;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 August;0
6562;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 September;0
6563;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 3rd quarter;0
6564;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 October;0
6565;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 November;0
6566;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 December;0
6567;Total entities with/without legal pers.;089 Other mining and quarrying ;2021 4th quarter;0
6568;Total entities with/without legal pers.;089 Other mining and quarrying ;2021;0
6569;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 January;0
6570;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 February;0
6571;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 March;0
6572;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 1st quarter;0
6573;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 April;0
6574;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 May;0
6575;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 June;0
6576;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 2nd quarter;0
6577;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 July;0
6578;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 August;0
6579;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 September;0
6580;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 3rd quarter;0
6581;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 October;0
6582;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 November;0
6583;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 December;0
6584;Total entities with/without legal pers.;089 Other mining and quarrying ;2022 4th quarter;0
6585;Total entities with/without legal pers.;089 Other mining and quarrying ;2022;0
6586;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 January;0
6587;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 February;0
6588;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 March;0
6589;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 1st quarter;0
6590;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 April;0
6591;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 May;0
6592;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 June;0
6593;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 2nd quarter;0
6594;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 July;0
6595;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 August;0
6596;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 September;0
6597;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 3rd quarter;0
6598;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 October;0
6599;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 November;0
6600;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 December;0
6601;Total entities with/without legal pers.;089 Other mining and quarrying ;2023 4th quarter;0
6602;Total entities with/without legal pers.;089 Other mining and quarrying ;2023;0
6603;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 January;0
6604;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 February;0
6605;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 March;0
6606;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 1st quarter;0
6607;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 April;0
6608;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 May;0
6609;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 June;0
6610;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 2nd quarter;0
6611;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 July;0
6612;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 August;0
6613;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 September;0
6614;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 3rd quarter;0
6615;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 October;0
6616;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 November;1
6617;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 December;0
6618;Total entities with/without legal pers.;089 Other mining and quarrying ;2024 4th quarter;1
6619;Total entities with/without legal pers.;089 Other mining and quarrying ;2024;1
6620;Total entities with/without legal pers.;089 Other mining and quarrying ;2025 January;0
6621;Total entities with/without legal pers.;089 Other mining and quarrying ;2025 February;0
6622;Total entities with/without legal pers.;089 Other mining and quarrying ;2025 March;0
6623;Total entities with/without legal pers.;089 Other mining and quarrying ;2025 1st quarter;0
6624;Total entities with/without legal pers.;09 Mining support activities;2009 January;0
6625;Total entities with/without legal pers.;09 Mining support activities;2009 February;0
6626;Total entities with/without legal pers.;09 Mining support activities;2009 March;0
6627;Total entities with/without legal pers.;09 Mining support activities;2009 1st quarter;0
6628;Total entities with/without legal pers.;09 Mining support activities;2009 April;0
6629;Total entities with/without legal pers.;09 Mining support activities;2009 May;0
6630;Total entities with/without legal pers.;09 Mining support activities;2009 June;0
6631;Total entities with/without legal pers.;09 Mining support activities;2009 2nd quarter;0
6632;Total entities with/without legal pers.;09 Mining support activities;2009 July;0
6633;Total entities with/without legal pers.;09 Mining support activities;2009 August;0
6634;Total entities with/without legal pers.;09 Mining support activities;2009 September;0
6635;Total entities with/without legal pers.;09 Mining support activities;2009 3rd quarter;0
6636;Total entities with/without legal pers.;09 Mining support activities;2009 October;0
6637;Total entities with/without legal pers.;09 Mining support activities;2009 November;0
6638;Total entities with/without legal pers.;09 Mining support activities;2009 December;0
6639;Total entities with/without legal pers.;09 Mining support activities;2009 4th quarter;0
6640;Total entities with/without legal pers.;09 Mining support activities;2009;0
6641;Total entities with/without legal pers.;09 Mining support activities;2010 January;0
6642;Total entities with/without legal pers.;09 Mining support activities;2010 February;0
6643;Total entities with/without legal pers.;09 Mining support activities;2010 March;0
6644;Total entities with/without legal pers.;09 Mining support activities;2010 1st quarter;0
6645;Total entities with/without legal pers.;09 Mining support activities;2010 April;0
6646;Total entities with/without legal pers.;09 Mining support activities;2010 May;0
6647;Total entities with/without legal pers.;09 Mining support activities;2010 June;0
6648;Total entities with/without legal pers.;09 Mining support activities;2010 2nd quarter;0
6649;Total entities with/without legal pers.;09 Mining support activities;2010 July;0
6650;Total entities with/without legal pers.;09 Mining support activities;2010 August;0
6651;Total entities with/without legal pers.;09 Mining support activities;2010 September;0
6652;Total entities with/without legal pers.;09 Mining support activities;2010 3rd quarter;0
6653;Total entities with/without legal pers.;09 Mining support activities;2010 October;0
6654;Total entities with/without legal pers.;09 Mining support activities;2010 November;0
6655;Total entities with/without legal pers.;09 Mining support activities;2010 December;0
6656;Total entities with/without legal pers.;09 Mining support activities;2010 4th quarter;0
6657;Total entities with/without legal pers.;09 Mining support activities;2010;0
6658;Total entities with/without legal pers.;09 Mining support activities;2011 January;1
6659;Total entities with/without legal pers.;09 Mining support activities;2011 February;0
6660;Total entities with/without legal pers.;09 Mining support activities;2011 March;0
6661;Total entities with/without legal pers.;09 Mining support activities;2011 1st quarter;1
6662;Total entities with/without legal pers.;09 Mining support activities;2011 April;0
6663;Total entities with/without legal pers.;09 Mining support activities;2011 May;0
6664;Total entities with/without legal pers.;09 Mining support activities;2011 June;0
6665;Total entities with/without legal pers.;09 Mining support activities;2011 2nd quarter;0
6666;Total entities with/without legal pers.;09 Mining support activities;2011 July;0
6667;Total entities with/without legal pers.;09 Mining support activities;2011 August;0
6668;Total entities with/without legal pers.;09 Mining support activities;2011 September;0
6669;Total entities with/without legal pers.;09 Mining support activities;2011 3rd quarter;0
6670;Total entities with/without legal pers.;09 Mining support activities;2011 October;0
6671;Total entities with/without legal pers.;09 Mining support activities;2011 November;0
6672;Total entities with/without legal pers.;09 Mining support activities;2011 December;0
6673;Total entities with/without legal pers.;09 Mining support activities;2011 4th quarter;0
6674;Total entities with/without legal pers.;09 Mining support activities;2011;1
6675;Total entities with/without legal pers.;09 Mining support activities;2012 January;0
6676;Total entities with/without legal pers.;09 Mining support activities;2012 February;0
6677;Total entities with/without legal pers.;09 Mining support activities;2012 March;0
6678;Total entities with/without legal pers.;09 Mining support activities;2012 1st quarter;0
6679;Total entities with/without legal pers.;09 Mining support activities;2012 April;0
6680;Total entities with/without legal pers.;09 Mining support activities;2012 May;0
6681;Total entities with/without legal pers.;09 Mining support activities;2012 June;0
6682;Total entities with/without legal pers.;09 Mining support activities;2012 2nd quarter;0
6683;Total entities with/without legal pers.;09 Mining support activities;2012 July;0
6684;Total entities with/without legal pers.;09 Mining support activities;2012 August;0
6685;Total entities with/without legal pers.;09 Mining support activities;2012 September;1
6686;Total entities with/without legal pers.;09 Mining support activities;2012 3rd quarter;1
6687;Total entities with/without legal pers.;09 Mining support activities;2012 October;0
6688;Total entities with/without legal pers.;09 Mining support activities;2012 November;0
6689;Total entities with/without legal pers.;09 Mining support activities;2012 December;0
6690;Total entities with/without legal pers.;09 Mining support activities;2012 4th quarter;0
6691;Total entities with/without legal pers.;09 Mining support activities;2012;1
6692;Total entities with/without legal pers.;09 Mining support activities;2013 January;0
6693;Total entities with/without legal pers.;09 Mining support activities;2013 February;0
6694;Total entities with/without legal pers.;09 Mining support activities;2013 March;0
6695;Total entities with/without legal pers.;09 Mining support activities;2013 1st quarter;0
6696;Total entities with/without legal pers.;09 Mining support activities;2013 April;0
6697;Total entities with/without legal pers.;09 Mining support activities;2013 May;0
6698;Total entities with/without legal pers.;09 Mining support activities;2013 June;0
6699;Total entities with/without legal pers.;09 Mining support activities;2013 2nd quarter;0
6700;Total entities with/without legal pers.;09 Mining support activities;2013 July;0
6701;Total entities with/without legal pers.;09 Mining support activities;2013 August;0
6702;Total entities with/without legal pers.;09 Mining support activities;2013 September;0
6703;Total entities with/without legal pers.;09 Mining support activities;2013 3rd quarter;0
6704;Total entities with/without legal pers.;09 Mining support activities;2013 October;0
6705;Total entities with/without legal pers.;09 Mining support activities;2013 November;0
6706;Total entities with/without legal pers.;09 Mining support activities;2013 December;0
6707;Total entities with/without legal pers.;09 Mining support activities;2013 4th quarter;0
6708;Total entities with/without legal pers.;09 Mining support activities;2013;0
6709;Total entities with/without legal pers.;09 Mining support activities;2014 January;0
6710;Total entities with/without legal pers.;09 Mining support activities;2014 February;0
6711;Total entities with/without legal pers.;09 Mining support activities;2014 March;1
6712;Total entities with/without legal pers.;09 Mining support activities;2014 1st quarter;1
6713;Total entities with/without legal pers.;09 Mining support activities;2014 April;0
6714;Total entities with/without legal pers.;09 Mining support activities;2014 May;0
6715;Total entities with/without legal pers.;09 Mining support activities;2014 June;0
6716;Total entities with/without legal pers.;09 Mining support activities;2014 2nd quarter;0
6717;Total entities with/without legal pers.;09 Mining support activities;2014 July;0
6718;Total entities with/without legal pers.;09 Mining support activities;2014 August;0
6719;Total entities with/without legal pers.;09 Mining support activities;2014 September;0
6720;Total entities with/without legal pers.;09 Mining support activities;2014 3rd quarter;0
6721;Total entities with/without legal pers.;09 Mining support activities;2014 October;0
6722;Total entities with/without legal pers.;09 Mining support activities;2014 November;0
6723;Total entities with/without legal pers.;09 Mining support activities;2014 December;0
6724;Total entities with/without legal pers.;09 Mining support activities;2014 4th quarter;0
6725;Total entities with/without legal pers.;09 Mining support activities;2014;1
6726;Total entities with/without legal pers.;09 Mining support activities;2015 January;0
6727;Total entities with/without legal pers.;09 Mining support activities;2015 February;0
6728;Total entities with/without legal pers.;09 Mining support activities;2015 March;0
6729;Total entities with/without legal pers.;09 Mining support activities;2015 1st quarter;0
6730;Total entities with/without legal pers.;09 Mining support activities;2015 April;1
6731;Total entities with/without legal pers.;09 Mining support activities;2015 May;0
6732;Total entities with/without legal pers.;09 Mining support activities;2015 June;0
6733;Total entities with/without legal pers.;09 Mining support activities;2015 2nd quarter;1
6734;Total entities with/without legal pers.;09 Mining support activities;2015 July;0
6735;Total entities with/without legal pers.;09 Mining support activities;2015 August;0
6736;Total entities with/without legal pers.;09 Mining support activities;2015 September;0
6737;Total entities with/without legal pers.;09 Mining support activities;2015 3rd quarter;0
6738;Total entities with/without legal pers.;09 Mining support activities;2015 October;0
6739;Total entities with/without legal pers.;09 Mining support activities;2015 November;0
6740;Total entities with/without legal pers.;09 Mining support activities;2015 December;1
6741;Total entities with/without legal pers.;09 Mining support activities;2015 4th quarter;1
6742;Total entities with/without legal pers.;09 Mining support activities;2015;2
6743;Total entities with/without legal pers.;09 Mining support activities;2016 January;0
6744;Total entities with/without legal pers.;09 Mining support activities;2016 February;0
6745;Total entities with/without legal pers.;09 Mining support activities;2016 March;0
6746;Total entities with/without legal pers.;09 Mining support activities;2016 1st quarter;0
6747;Total entities with/without legal pers.;09 Mining support activities;2016 April;0
6748;Total entities with/without legal pers.;09 Mining support activities;2016 May;0
6749;Total entities with/without legal pers.;09 Mining support activities;2016 June;0
6750;Total entities with/without legal pers.;09 Mining support activities;2016 2nd quarter;0
6751;Total entities with/without legal pers.;09 Mining support activities;2016 July;0
6752;Total entities with/without legal pers.;09 Mining support activities;2016 August;0
6753;Total entities with/without legal pers.;09 Mining support activities;2016 September;0
6754;Total entities with/without legal pers.;09 Mining support activities;2016 3rd quarter;0
6755;Total entities with/without legal pers.;09 Mining support activities;2016 October;0
6756;Total entities with/without legal pers.;09 Mining support activities;2016 November;0
6757;Total entities with/without legal pers.;09 Mining support activities;2016 December;0
6758;Total entities with/without legal pers.;09 Mining support activities;2016 4th quarter;0
6759;Total entities with/without legal pers.;09 Mining support activities;2016;0
6760;Total entities with/without legal pers.;09 Mining support activities;2017 January;0
6761;Total entities with/without legal pers.;09 Mining support activities;2017 February;0
6762;Total entities with/without legal pers.;09 Mining support activities;2017 March;0
6763;Total entities with/without legal pers.;09 Mining support activities;2017 1st quarter;0
6764;Total entities with/without legal pers.;09 Mining support activities;2017 April;0
6765;Total entities with/without legal pers.;09 Mining support activities;2017 May;0
6766;Total entities with/without legal pers.;09 Mining support activities;2017 June;0
6767;Total entities with/without legal pers.;09 Mining support activities;2017 2nd quarter;0
6768;Total entities with/without legal pers.;09 Mining support activities;2017 July;0
6769;Total entities with/without legal pers.;09 Mining support activities;2017 August;0
6770;Total entities with/without legal pers.;09 Mining support activities;2017 September;0
6771;Total entities with/without legal pers.;09 Mining support activities;2017 3rd quarter;0
6772;Total entities with/without legal pers.;09 Mining support activities;2017 October;0
6773;Total entities with/without legal pers.;09 Mining support activities;2017 November;0
6774;Total entities with/without legal pers.;09 Mining support activities;2017 December;0
6775;Total entities with/without legal pers.;09 Mining support activities;2017 4th quarter;0
6776;Total entities with/without legal pers.;09 Mining support activities;2017;0
6777;Total entities with/without legal pers.;09 Mining support activities;2018 January;0
6778;Total entities with/without legal pers.;09 Mining support activities;2018 February;0
6779;Total entities with/without legal pers.;09 Mining support activities;2018 March;0
6780;Total entities with/without legal pers.;09 Mining support activities;2018 1st quarter;0
6781;Total entities with/without legal pers.;09 Mining support activities;2018 April;0
6782;Total entities with/without legal pers.;09 Mining support activities;2018 May;0
6783;Total entities with/without legal pers.;09 Mining support activities;2018 June;0
6784;Total entities with/without legal pers.;09 Mining support activities;2018 2nd quarter;0
6785;Total entities with/without legal pers.;09 Mining support activities;2018 July;1
6786;Total entities with/without legal pers.;09 Mining support activities;2018 August;0
