ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;CDA_5;CU_6;DN_7;D66_8;GL_9;LN_10;LPF_11;NMP_12;PvdA_13;PvdT_14;RVP_15;SGP_16;SP_17;VSP_18;VIPOU_19;VVD_20;CDA_21;CU_22;DN_23;D66_24;GL_25;LN_26;LPF_27;NMP_28;PvdA_29;PvdT_30;RVP_31;SGP_32;SP_33;VSP_34;VIPOU_35;VVD_36;LandsdeelCode_37;ProvincieCode_38;KamerkieskringCode_39;CoropCode_40;GemeenteCode_41
305;Nuth;12814;81.1;10386;10378;4521;20;4;324;619;417;1722;2.0;1105;2.0;;5;479;5.0;30;1123;43.6;0.2;0.0;3.1;6.0;4.0;16.6;0.0;10.6;0.0;;0.0;4.6;0.0;0.3;10.8;4;31;19;39;0951
306;Obdam;4804;86.8;4171;4164;1644;21;0;177;239;104;587;2.0;416;;;3;177;4.0;23;767;39.5;0.5;0.0;4.3;5.7;2.5;14.1;0.0;10.0;;;0.1;4.3;0.1;0.6;18.4;3;27;11;18;0429
307;Oegstgeest;15087;88.3;13325;13301;3298;248;3;1153;1014;144;1884;1.0;1575;8.0;;38;595;10.0;44;3286;24.8;1.9;0.0;8.7;7.6;1.1;14.2;0.0;11.8;0.1;;0.3;4.5;0.1;0.3;24.7;3;28;15;25;0579
308;Oirschot;13407;81.3;10901;10861;4979;15;1;372;420;177;1584;1.0;1025;28.0;;11;500;10.0;35;1703;45.8;0.1;0.0;3.4;3.9;1.6;14.6;0.0;9.4;0.3;;0.1;4.6;0.1;0.3;15.7;4;30;18;36;0823
309;Oisterwijk;19299;81.4;15706;15691;5597;66;4;817;1146;177;2550;5.0;1671;13.0;;10;832;8.0;62;2733;35.7;0.4;0.0;5.2;7.3;1.1;16.3;0.0;10.6;0.1;;0.1;5.3;0.1;0.4;17.4;4;30;17;34;0824
310;Oldebroek;16631;82.5;13727;13711;5115;2295;10;233;240;125;1330;3.0;1302;5.0;;1791;265;8.0;17;972;37.3;16.7;0.1;1.7;1.8;0.9;9.7;0.0;9.5;0.0;;13.1;1.9;0.1;0.1;7.1;2;25;07;13;0269
311;Oldenzaal;23806;82.0;19530;19505;8509;77;12;833;1221;249;2246;1.0;2651;5.0;;14;1006;9.0;76;2596;43.6;0.4;0.1;4.3;6.3;1.3;11.5;0.0;13.6;0.0;;0.1;5.2;0.0;0.4;13.3;2;23;04;12;0173
312;Olst-Wijhe;12756;82.3;10495;10479;3989;117;1;447;630;130;1110;2.0;2096;1.0;;43;451;12.0;22;1428;38.1;1.1;0.0;4.3;6.0;1.2;10.6;0.0;20.0;0.0;;0.4;4.3;0.1;0.2;13.6;2;23;04;11;0174
313;Ommen;12744;89.1;11349;11340;5397;1213;3;437;419;99;978;1.0;1048;6.0;;110;292;5.0;24;1308;47.6;10.7;0.0;3.9;3.7;0.9;8.6;0.0;9.2;0.1;;1.0;2.6;0.0;0.2;11.5;2;23;04;10;0175
314;Onderbanken;6373;76.2;4859;4849;2019;19;2;144;269;99;886;1.0;576;6.0;;2;304;8.0;9;505;41.6;0.4;0.0;3.0;5.5;2.0;18.3;0.0;11.9;0.1;;0.0;6.3;0.2;0.2;10.4;4;31;19;39;0881
315;Oostburg;13490;77.6;10464;10455;3009;151;7;426;537;213;1731;1.0;1817;4.0;;114;430;;58;1957;28.8;1.4;0.1;4.1;5.1;2.0;16.6;0.0;17.4;0.0;;1.1;4.1;;0.6;18.7;3;29;16;31;0692
316;Oosterhout;39966;77.2;30861;30832;8895;135;63;1872;1854;614;5303;5.0;4192;27.0;;18;1879;79.0;178;5718;28.8;0.4;0.2;6.1;6.0;2.0;17.2;0.0;13.6;0.1;;0.1;6.1;0.3;0.6;18.5;4;30;17;33;0826
317;Oostflakkee;7864;82.2;6466;6462;1753;373;2;200;169;114;1297;3.0;1036;1.0;;543;235;6.0;17;713;27.1;5.8;0.0;3.1;2.6;1.8;20.1;0.0;16.0;0.0;;8.4;3.6;0.1;0.3;11.0;3;28;14;29;0580
318;Ooststellingwerf;20149;80.3;16182;16131;4431;465;6;637;1053;258;2165;1.0;3926;14.0;;77;818;;61;2219;27.5;2.9;0.0;3.9;6.5;1.6;13.4;0.0;24.3;0.1;;0.5;5.1;;0.4;13.8;1;21;02;06;0085
319;Oostzaan;6894;84.5;5826;5819;818;79;2;370;417;170;1352;2.0;973;;;17;355;3.0;24;1237;14.1;1.4;0.0;6.4;7.2;2.9;23.2;0.0;16.7;;;0.3;6.1;0.1;0.4;21.3;3;27;11;23;0431
320;Opmeer;8303;83.7;6951;6943;2461;37;2;388;332;199;1109;0.0;688;;;2;319;9.0;42;1355;35.4;0.5;0.0;5.6;4.8;2.9;16.0;0.0;9.9;;;0.0;4.6;0.1;0.6;19.5;3;27;11;18;0432
321;Opsterland;21558;82.4;17771;17762;4692;1128;7;767;1195;261;1911;5.0;4212;11.0;;100;1010;;63;2400;26.4;6.4;0.0;4.3;6.7;1.5;10.8;0.0;23.7;0.1;;0.6;5.7;;0.4;13.5;1;21;02;06;0086
322;Oss;50452;77.3;39012;38975;10560;106;46;1916;1858;418;6648;8.0;4228;35.0;;26;7345;32.0;104;5645;27.1;0.3;0.1;4.9;4.8;1.1;17.1;0.0;10.8;0.1;;0.1;18.8;0.1;0.3;14.5;4;30;18;35;0828
323;Oud-Beijerland;16993;84.8;14410;14396;3830;484;5;718;591;216;2925;2.0;1596;6.0;;1187;566;6.0;45;2219;26.6;3.4;0.0;5.0;4.1;1.5;20.3;0.0;11.1;0.0;;8.2;3.9;0.0;0.3;15.4;3;28;14;29;0584
324;Ouder-Amstel;9850;84.1;8283;8277;2068;79;1;649;521;147;1352;1.0;1141;6.0;;54;434;;44;1780;25.0;1.0;0.0;7.8;6.3;1.8;16.3;0.0;13.8;0.1;;0.7;5.2;;0.5;21.5;3;27;10;23;0437
325;Ouderkerk;6057;87.2;5282;5280;1300;375;0;160;146;86;841;0.0;715;1.0;;734;147;0.0;6;769;24.6;7.1;0.0;3.0;2.8;1.6;15.9;0.0;13.5;0.0;;13.9;2.8;0.0;0.1;14.6;3;28;15;29;0644
326;Oudewater;7326;84.9;6221;6210;2565;259;0;207;222;107;1087;;508;7.0;;164;177;6.0;9;892;41.3;4.2;0.0;3.3;3.6;1.7;17.5;;8.2;0.1;;2.6;2.9;0.1;0.1;14.4;3;26;08;17;0589
327;Overbetuwe;30125;81.5;24553;24537;8277;491;6;1502;1634;331;3354;5.0;3304;15.0;;529;1203;17.0;63;3806;33.7;2.0;0.0;6.1;6.7;1.3;13.7;0.0;13.5;0.1;;2.2;4.9;0.1;0.3;15.5;2;25;07;15;1734
328;Papendrecht;23035;82.9;19091;19071;5277;932;11;902;774;387;3882;6.0;2351;2.0;;688;827;35.0;69;2928;27.7;4.9;0.1;4.7;4.1;2.0;20.4;0.0;12.3;0.0;;3.6;4.3;0.2;0.4;15.4;3;28;14;30;0590
329;Pekela;10355;73.0;7564;7552;1403;183;1;206;785;121;1236;3.0;2434;12.0;;23;452;6.0;18;669;18.6;2.4;0.0;2.7;10.4;1.6;16.4;0.0;32.2;0.2;;0.3;6.0;0.1;0.2;8.9;1;20;01;01;0765
330;Pijnacker-Nootdorp;25025;86.8;21732;21714;7730;382;6;1167;1020;457;4046;3.0;1886;7.0;;229;795;6.0;48;3932;35.6;1.8;0.0;5.4;4.7;2.1;18.6;0.0;8.7;0.0;;1.1;3.7;0.0;0.2;18.1;3;28;15;26;1926
331;Purmerend;55051;78.1;43000;42961;7032;389;15;2578;2969;1342;9902;15.0;7022;;;49;2940;81.0;463;8164;16.4;0.9;0.0;6.0;6.9;3.1;23.0;0.0;16.3;;;0.1;6.8;0.2;1.1;19.0;3;27;11;23;0439
332;Putten;17222;87.0;14981;14976;6060;1515;3;342;432;167;2223;2.0;993;8.0;;1187;318;8.0;28;1690;40.5;10.1;0.0;2.3;2.9;1.1;14.8;0.0;6.6;0.1;;7.9;2.1;0.1;0.2;11.3;2;25;07;13;0273
333;Raalte;27340;82.9;22676;22653;12230;286;7;912;1087;300;1985;1.0;2475;13.0;;25;732;6.0;45;2549;54.0;1.3;0.0;4.0;4.8;1.3;8.8;0.0;10.9;0.1;;0.1;3.2;0.0;0.2;11.3;2;23;04;11;0177
334;Ravenstein;6385;85.4;5455;5454;2084;15;1;275;295;55;712;0.0;712;4.0;;6;620;2.0;24;649;38.2;0.3;0.0;5.0;5.4;1.0;13.1;0.0;13.1;0.1;;0.1;11.4;0.0;0.4;11.9;4;30;18;35;0835
335;Reeuwijk;9599;88.3;8478;8473;2709;324;0;370;301;107;1578;2.0;607;3.0;;589;190;6.0;24;1663;32.0;3.8;0.0;4.4;3.6;1.3;18.6;0.0;7.2;0.0;;7.0;2.2;0.1;0.3;19.6;3;28;15;28;0595
336;Reiderland;5504;69.8;3843;3837;329;34;2;101;382;78;879;5.0;1160;7.0;;5;460;10.0;16;369;8.6;0.9;0.1;2.6;10.0;2.0;22.9;0.1;30.2;0.2;;0.1;12.0;0.3;0.4;9.6;1;20;01;01;1661
337;Reimerswaal;14963;83.2;12455;12449;3305;444;4;241;312;206;1809;3.0;1085;8.0;;3448;338;;41;1205;26.5;3.6;0.0;1.9;2.5;1.7;14.5;0.0;8.7;0.1;;27.7;2.7;;0.3;9.7;3;29;16;32;0703
338;Renkum;25092;83.5;20961;20943;5854;343;6;1275;1898;239;2746;2.0;3257;13.0;;110;1190;19.0;63;3928;28.0;1.6;0.0;6.1;9.1;1.1;13.1;0.0;15.6;0.1;;0.5;5.7;0.1;0.3;18.8;2;25;07;15;0274
339;Renswoude;2979;89.3;2661;2659;1122;133;0;38;36;30;404;;142;1.0;;333;65;1.0;0;354;42.2;5.0;0.0;1.4;1.4;1.1;15.2;;5.3;0.0;;12.5;2.4;0.0;0.0;13.3;3;26;08;17;0339
340;Reusel-De Mierden;9207;79.3;7299;7289;3501;19;2;235;285;164;1088;0.0;678;13.0;;5;311;2.0;24;962;48.0;0.3;0.0;3.2;3.9;2.2;14.9;0.0;9.3;0.2;;0.1;4.3;0.0;0.3;13.2;4;30;18;36;1667
341;Rheden;35117;81.4;28571;28531;7093;503;14;1597;2207;406;3979;6.0;5865;6.0;;66;1895;28.0;114;4752;24.9;1.8;0.0;5.6;7.7;1.4;13.9;0.0;20.6;0.0;;0.2;6.6;0.1;0.4;16.7;2;25;07;15;0275
342;Rhenen;13192;83.8;11052;11022;2821;344;3;418;527;134;1845;;1457;4.0;;1458;387;5.0;31;1588;25.6;3.1;0.0;3.8;4.8;1.2;16.7;;13.2;0.0;;13.2;3.5;0.0;0.3;14.4;3;26;08;17;0340
343;Ridderkerk;35782;81.7;29246;29215;7150;1343;45;1014;955;646;6917;6.0;4048;19.0;;2411;1130;40.0;108;3383;24.5;4.6;0.2;3.5;3.3;2.2;23.7;0.0;13.9;0.1;;8.3;3.9;0.1;0.4;11.6;3;28;14;29;0597
344;Rijnsburg;10622;85.3;9060;9057;4482;770;2;225;233;106;1442;6.0;461;3.0;;193;156;2.0;19;957;49.5;8.5;0.0;2.5;2.6;1.2;15.9;0.1;5.1;0.0;;2.1;1.7;0.0;0.2;10.6;3;28;15;25;0602
345;Rijnwaarden;8541;75.2;6424;6401;2191;21;1;297;343;100;1191;2.0;1090;10.0;;2;343;4.0;28;778;34.2;0.3;0.0;4.6;5.4;1.6;18.6;0.0;17.0;0.2;;0.0;5.4;0.1;0.4;12.2;2;25;07;15;0196
346;Rijnwoude;14379;86.3;12411;12403;4377;375;1;607;502;189;1970;1.0;1234;5.0;;710;537;1.0;20;1874;35.3;3.0;0.0;4.9;4.0;1.5;15.9;0.0;9.9;0.0;;5.7;4.3;0.0;0.2;15.1;3;28;15;28;1672
347;Rijssen;25721;90.9;23380;23372;7599;2711;6;417;512;173;1903;6.0;2305;10.0;;5104;476;4.0;33;2113;32.5;11.6;0.0;1.8;2.2;0.7;8.1;0.0;9.9;0.0;;21.8;2.0;0.0;0.1;9.0;2;23;04;12;0178
348;Rijswijk;38466;80.8;31093;31046;7929;371;17;1704;1775;738;7454;7.0;3819;16.0;;110;1486;60.0;121;5439;25.5;1.2;0.1;5.5;5.7;2.4;24.0;0.0;12.3;0.1;;0.4;4.8;0.2;0.4;17.5;3;28;14;26;0603
349;Roerdalen;7898;77.6;6125;6114;2469;16;2;243;335;81;1252;2.0;625;2.0;;2;236;6.0;29;814;40.4;0.3;0.0;4.0;5.5;1.3;20.5;0.0;10.2;0.0;;0.0;3.9;0.1;0.5;13.3;4;31;19;38;1669
350;Roermond;33599;69.4;23327;23298;6861;100;210;993;1759;393;5201;9.0;2865;12.0;;17;1180;41.0;96;3561;29.4;0.4;0.9;4.3;7.6;1.7;22.3;0.0;12.3;0.1;;0.1;5.1;0.2;0.4;15.3;4;31;19;38;0957
351;Roggel en Neer;6344;77.5;4917;4908;2189;8;2;177;255;80;783;0.0;456;4.0;;2;191;3.0;30;728;44.6;0.2;0.0;3.6;5.2;1.6;16.0;0.0;9.3;0.1;;0.0;3.9;0.1;0.6;14.8;4;31;19;38;1670
352;De Ronde Venen;25437;84.7;21542;21527;7132;578;5;1007;814;348;4023;;1742;20.0;;350;868;23.0;81;4536;33.1;2.7;0.0;4.7;3.8;1.6;18.7;;8.1;0.1;;1.6;4.0;0.1;0.4;21.1;3;26;08;17;0736
353;Roosendaal;57633;73.9;42599;42565;13309;232;33;1821;2452;912;8797;7.0;4833;31.0;;29;2464;53.0;189;7403;31.3;0.5;0.1;4.3;5.8;2.1;20.7;0.0;11.4;0.1;;0.1;5.8;0.1;0.4;17.4;4;30;17;33;1674
354;Rotterdam;428710;70.1;300601;299885;47023;4727;1100;13192;21483;4317;88861;86.0;61127;179.0;;2393;18778;377.0;921;35321;15.7;1.6;0.4;4.4;7.2;1.4;29.6;0.0;20.4;0.1;;0.8;6.3;0.1;0.3;11.8;3;28;13;29;0599
355;Rozenburg;10152;77.9;7911;7901;1877;218;9;472;317;285;2136;3.0;1034;3.0;;50;373;14.0;57;1053;23.8;2.8;0.1;6.0;4.0;3.6;27.0;0.0;13.1;0.0;;0.6;4.7;0.2;0.7;13.3;3;28;14;29;0600
356;Rozendaal;1210;93.1;1127;1127;284;6;0;74;67;5;150;0.0;109;1.0;;4;37;0.0;0;390;25.2;0.5;0.0;6.6;5.9;0.4;13.3;0.0;9.7;0.1;;0.4;3.3;0.0;0.0;34.6;2;25;07;15;0277
357;Rucphen;17959;67.0;12029;12022;3520;33;3;283;410;268;3667;2.0;1533;10.0;;5;496;9.0;37;1746;29.3;0.3;0.0;2.4;3.4;2.2;30.5;0.0;12.8;0.1;;0.0;4.1;0.1;0.3;14.5;4;30;17;33;0840
358;Ruurlo;6465;83.7;5408;5401;1833;23;0;216;196;55;588;1.0;913;3.0;;8;196;5.0;7;1357;33.9;0.4;0.0;4.0;3.6;1.0;10.9;0.0;16.9;0.1;;0.1;3.6;0.1;0.1;25.1;2;25;07;14;0278
359;Sas van Gent;6016;72.0;4333;4331;1281;28;2;255;227;63;886;3.0;691;3.0;;24;175;;35;658;29.6;0.6;0.0;5.9;5.2;1.5;20.5;0.1;16.0;0.1;;0.6;4.0;;0.8;15.2;3;29;16;31;0704
360;Sassenheim;11065;86.1;9522;9508;3458;87;2;559;464;145;1626;0.0;893;6.0;;19;395;7.0;18;1829;36.4;0.9;0.0;5.9;4.9;1.5;17.1;0.0;9.4;0.1;;0.2;4.2;0.1;0.2;19.2;3;28;15;25;0604
361;Schagen;13452;80.3;10808;10800;2387;86;20;680;849;277;1647;3.0;1760;;;16;702;16.0;83;2274;22.1;0.8;0.2;6.3;7.9;2.6;15.3;0.0;16.3;;;0.1;6.5;0.1;0.8;21.1;3;27;11;18;0441
362;Scheemda;11095;79.7;8839;8833;2189;374;1;337;640;154;1176;2.0;2444;6.0;;22;528;5.0;28;927;24.8;4.2;0.0;3.8;7.2;1.7;13.3;0.0;27.7;0.1;;0.2;6.0;0.1;0.3;10.5;1;20;01;01;0039
363;Schermer;3621;87.2;3157;3144;1017;21;0;176;203;52;506;0.0;405;;;2;172;0.0;14;576;32.3;0.7;0.0;5.6;6.5;1.7;16.1;0.0;12.9;;;0.1;5.5;0.0;0.4;18.3;3;27;11;19;0458
364;Scherpenzeel;6615;88.0;5822;5821;1974;363;0;156;130;74;766;1.0;483;2.0;;915;127;1.0;15;814;33.9;6.2;0.0;2.7;2.2;1.3;13.2;0.0;8.3;0.0;;15.7;2.2;0.0;0.3;14.0;2;25;07;13;0279
365;Schiedam;55835;74.8;41745;41689;8227;507;171;1697;2401;910;11935;8.0;7149;39.0;;181;2864;56.0;266;5278;19.7;1.2;0.4;4.1;5.8;2.2;28.6;0.0;17.1;0.1;;0.4;6.9;0.1;0.6;12.7;3;28;14;29;0606
366;Schiermonnikoog;826;119.0;987;987;290;16;0;69;86;4;90;0.0;189;0.0;;4;66;;1;172;29.4;1.6;0.0;7.0;8.7;0.4;9.1;0.0;19.1;0.0;;0.4;6.7;;0.1;17.4;1;21;02;04;0088
367;Schijndel;17463;75.5;13190;13156;4268;18;1;577;762;209;2315;2.0;1526;23.0;;15;1368;9.0;138;1925;32.4;0.1;0.0;4.4;5.8;1.6;17.6;0.0;11.6;0.2;;0.1;10.4;0.1;1.0;14.6;4;30;18;35;0844
368;Schinnen;10392;80.8;8401;8396;3737;45;1;344;543;133;1295;1.0;960;2.0;;1;352;8.0;32;942;44.5;0.5;0.0;4.1;6.5;1.6;15.4;0.0;11.4;0.0;;0.0;4.2;0.1;0.4;11.2;4;31;19;39;0962
369;Schipluiden;7956;90.4;7189;7180;3189;139;0;343;315;96;1102;2.0;537;5.0;;35;279;0.0;6;1132;44.4;1.9;0.0;4.8;4.4;1.3;15.3;0.0;7.5;0.1;;0.5;3.9;0.0;0.1;15.8;3;28;14;27;0607
370;Schoonhoven;9080;85.3;7743;7731;2209;295;2;397;490;133;1422;2.0;940;5.0;;234;381;15.0;20;1186;28.6;3.8;0.0;5.1;6.3;1.7;18.4;0.0;12.2;0.1;;3.0;4.9;0.2;0.3;15.3;3;28;15;28;0608
371;Schouwen-Duiveland;26522;86.4;22907;22824;6143;793;1;790;916;366;3873;6.0;3118;23.0;;1762;900;;78;4055;26.9;3.5;0.0;3.5;4.0;1.6;17.0;0.0;13.7;0.1;;7.7;3.9;;0.3;17.8;3;29;16;32;1676
372;Sevenum;5483;81.0;4442;4435;2342;13;1;166;212;58;548;0.0;335;3.0;;1;250;0.0;24;482;52.8;0.3;0.0;3.7;4.8;1.3;12.4;0.0;7.6;0.1;;0.0;5.6;0.0;0.5;10.9;4;31;19;37;0964
373;Simpelveld;8563;75.1;6428;6424;2777;15;1;204;334;142;1209;2.0;881;5.0;;3;278;3.0;25;545;43.2;0.2;0.0;3.2;5.2;2.2;18.8;0.0;13.7;0.1;;0.0;4.3;0.0;0.4;8.5;4;31;19;39;0965
374;Sint Anthonis;8546;85.9;7337;7319;3822;9;4;230;405;74;940;3.0;645;7.0;;5;348;9.0;37;781;52.2;0.1;0.1;3.1;5.5;1.0;12.8;0.0;8.8;0.1;;0.1;4.8;0.1;0.5;10.7;4;30;18;35;1702
375;Sint-Michielsgestel;21211;80.3;17025;17009;6231;46;8;859;1033;275;2772;4.0;2027;17.0;;6;1162;20.0;75;2474;36.6;0.3;0.0;5.1;6.1;1.6;16.3;0.0;11.9;0.1;;0.0;6.8;0.1;0.4;14.5;4;30;18;35;0845
376;Sint-Oedenrode;12902;82.8;10680;10665;4453;28;2;417;592;151;1657;2.0;1175;17.0;;4;573;14.0;60;1520;41.8;0.3;0.0;3.9;5.6;1.4;15.5;0.0;11.0;0.2;;0.0;5.4;0.1;0.6;14.3;4;30;18;35;0846
377;Sittard-Geleen;74739;73.2;54708;54615;18948;214;28;2275;4806;1733;9937;12.0;7242;32.0;;37;2902;183.0;347;5919;34.7;0.4;0.1;4.2;8.8;3.2;18.2;0.0;13.3;0.1;;0.1;5.3;0.3;0.6;10.8;4;31;19;39;1883
378;Skarsterlân;20236;84.0;16998;16982;6665;325;6;677;960;266;2034;5.0;3075;20.0;;44;672;;51;2182;39.2;1.9;0.0;4.0;5.7;1.6;12.0;0.0;18.1;0.1;;0.3;4.0;;0.3;12.8;1;21;02;06;0051
379;Sliedrecht;17886;82.0;14674;14662;3524;1087;19;442;452;259;2451;0.0;2179;5.0;;2098;618;8.0;30;1490;24.0;7.4;0.1;3.0;3.1;1.8;16.7;0.0;14.9;0.0;;14.3;4.2;0.1;0.2;10.2;3;28;14;30;0610
380;Slochteren;11380;80.3;9140;9127;1946;844;2;482;542;153;1219;2.0;2047;10.0;;88;400;7.0;40;1345;21.3;9.2;0.0;5.3;5.9;1.7;13.4;0.0;22.4;0.1;;1.0;4.4;0.1;0.4;14.7;1;20;01;03;0040
381;Sluis-Aardenburg;4613;79.5;3668;3664;1189;10;6;154;148;40;682;1.0;507;2.0;;8;140;;14;763;32.5;0.3;0.2;4.2;4.0;1.1;18.6;0.0;13.8;0.1;;0.2;3.8;;0.4;20.8;3;29;16;31;1698
382;Smallingerland;40201;81.7;32840;32805;10311;2272;9;1369;2177;426;3544;9.0;7108;19.0;;249;1910;;104;3298;31.4;6.9;0.0;4.2;6.6;1.3;10.8;0.0;21.7;0.1;;0.8;5.8;;0.3;10.1;1;21;02;06;0090
383;Sneek;24531;78.6;19274;19259;5785;548;6;932;1343;289;2571;2.0;3772;19.0;;31;1125;;60;2776;30.0;2.8;0.0;4.8;7.0;1.5;13.3;0.0;19.6;0.1;;0.2;5.8;;0.3;14.4;1;21;02;05;0091
384;Soest;33518;83.3;27910;27887;7709;786;31;1616;1707;459;4947;;2816;13.0;;271;1225;44.0;105;6158;27.6;2.8;0.1;5.8;6.1;1.6;17.7;;10.1;0.0;;1.0;4.4;0.2;0.4;22.1;3;26;08;17;0342
385;Someren;13498;80.4;10856;10844;4872;39;3;322;405;201;2110;3.0;844;7.0;;8;515;6.0;54;1455;44.9;0.4;0.0;3.0;3.7;1.9;19.5;0.0;7.8;0.1;;0.1;4.7;0.1;0.5;13.4;4;30;18;36;0847
386;Son en Breugel;11287;84.1;9492;9488;3412;60;2;516;503;122;1666;0.0;785;8.0;;2;441;2.0;39;1930;36.0;0.6;0.0;5.4;5.3;1.3;17.6;0.0;8.3;0.1;;0.0;4.6;0.0;0.4;20.3;4;30;18;36;0848
387;Spijkenisse;56535;76.5;43235;43179;8057;716;23;1859;2163;1023;13447;20.0;6505;32.0;;271;2325;113.0;222;6403;18.7;1.7;0.1;4.3;5.0;2.4;31.1;0.0;15.1;0.1;;0.6;5.4;0.3;0.5;14.8;3;28;14;29;0612
388;Stadskanaal;26054;74.0;19284;19263;6184;1699;6;515;836;377;2439;7.0;4437;17.0;;88;864;20.0;44;1730;32.1;8.8;0.0;2.7;4.3;2.0;12.7;0.0;23.0;0.1;;0.5;4.5;0.1;0.2;9.0;1;20;01;01;0037
389;Staphorst;10560;91.0;9612;9609;2648;1648;0;157;126;90;617;14.0;567;10.0;;2829;102;5.0;12;784;27.6;17.2;0.0;1.6;1.3;0.9;6.4;0.1;5.9;0.1;;29.4;1.1;0.1;0.1;8.2;2;23;04;10;0180
390;Stede Broec;15813;81.7;12912;12900;3821;104;10;704;838;393;2503;4.0;1546;;;15;740;10.0;92;2120;29.6;0.8;0.1;5.5;6.5;3.0;19.4;0.0;12.0;;;0.1;5.7;0.1;0.7;16.4;3;27;11;18;0532
391;Steenbergen;18057;75.0;13543;13528;4198;151;2;604;531;244;2886;1.0;1808;4.0;;193;636;8.0;56;2206;31.0;1.1;0.0;4.5;3.9;1.8;21.3;0.0;13.4;0.0;;1.4;4.7;0.1;0.4;16.3;4;30;17;33;0851
392;Steenderen;3796;88.1;3344;3334;1544;34;0;106;130;40;333;1.0;512;2.0;;6;143;2.0;9;472;46.3;1.0;0.0;3.2;3.9;1.2;10.0;0.0;15.4;0.1;;0.2;4.3;0.1;0.3;14.2;2;25;07;14;0280
393;Steenwijk;31645;83.0;26261;26233;8945;1461;20;1036;1235;397;3396;8.0;4906;36.0;;144;1057;20.0;90;3482;34.1;5.6;0.1;3.9;4.7;1.5;12.9;0.0;18.7;0.1;;0.5;4.0;0.1;0.3;13.3;2;23;04;10;0181
394;Stein;20932;74.8;15664;15646;5934;47;11;637;998;309;3295;9.0;1892;16.0;;15;731;31.0;83;1638;37.9;0.3;0.1;4.1;6.4;2.0;21.1;0.1;12.1;0.1;;0.1;4.7;0.2;0.5;10.5;4;31;19;39;0971
395;Strijen;7099;84.4;5990;5983;1709;168;1;219;223;111;1307;1.0;736;4.0;;240;260;7.0;19;978;28.6;2.8;0.0;3.7;3.7;1.9;21.8;0.0;12.3;0.1;;4.0;4.3;0.1;0.3;16.3;3;28;14;29;0617
396;Susteren;10049;76.6;7697;7681;3132;25;0;345;454;132;1295;3.0;1027;8.0;;4;328;10.0;37;881;40.8;0.3;0.0;4.5;5.9;1.7;16.9;0.0;13.4;0.1;;0.1;4.3;0.1;0.5;11.5;4;31;19;39;0974
397;Swalmen;6679;69.4;4637;4633;1692;6;12;211;261;90;823;1.0;601;1.0;;3;226;11.0;40;655;36.5;0.1;0.3;4.6;5.6;1.9;17.8;0.0;13.0;0.0;;0.1;4.9;0.2;0.9;14.1;4;31;19;38;0975
398;Terneuzen;25625;75.2;19270;19253;5446;1006;17;818;949;267;3450;2.0;2770;14.0;;991;865;;99;2559;28.3;5.2;0.1;4.2;4.9;1.4;17.9;0.0;14.4;0.1;;5.1;4.5;;0.5;13.3;3;29;16;31;0715
399;Terschelling;3768;108.0;4094;4090;978;56;0;228;290;60;599;2.0;740;1.0;;8;239;;20;869;23.9;1.4;0.0;5.6;7.1;1.5;14.6;0.0;18.1;0.0;;0.2;5.8;;0.5;21.2;1;21;02;04;0093
400;Texel;10276;98.5;10118;10106;2790;141;5;536;830;204;1531;0.0;1422;;;56;741;2.0;48;1800;27.6;1.4;0.0;5.3;8.2;2.0;15.1;0.0;14.1;;;0.6;7.3;0.0;0.5;17.8;3;27;11;18;0448
401;Tholen;17273;82.3;14213;14205;3419;802;6;314;383;261;2192;6.0;1686;10.0;;3256;429;;35;1406;24.1;5.6;0.0;2.2;2.7;1.8;15.4;0.0;11.9;0.1;;22.9;3.0;;0.2;9.9;3;29;16;32;0716
402;Thorn;2011;80.7;1623;1598;669;5;1;60;85;20;299;0.0;208;1.0;;1;60;1.0;3;185;41.9;0.3;0.1;3.8;5.3;1.3;18.7;0.0;13.0;0.1;;0.1;3.8;0.1;0.2;11.6;4;31;19;38;0977
403;Tiel;28695;75.8;21762;21731;4768;317;45;971;1373;412;4357;;4271;13.0;;171;1039;26.0;70;3898;21.9;1.5;0.2;4.5;6.3;1.9;20.0;;19.7;0.1;;0.8;4.8;0.1;0.3;17.9;2;25;06;16;0281
404;Tilburg;148228;69.8;103529;103395;27084;525;311;6203;9702;1719;18275;73.0;13663;157.0;;165;8885;265.0;1102;15266;26.2;0.5;0.3;6.0;9.4;1.7;17.7;0.1;13.2;0.2;;0.2;8.6;0.3;1.1;14.8;4;30;17;34;0855
405;Tubbergen;14657;86.3;12649;12638;8755;22;0;214;269;140;1246;1.0;707;2.0;;21;267;2.0;14;978;69.3;0.2;0.0;1.7;2.1;1.1;9.9;0.0;5.6;0.0;;0.2;2.1;0.0;0.1;7.7;2;23;04;12;0183
406;Tynaarlo;24224;83.7;20286;20272;4037;593;3;1373;1583;308;2389;4.0;4223;18.0;;31;974;11.0;55;4670;19.9;2.9;0.0;6.8;7.8;1.5;11.8;0.0;20.8;0.1;;0.2;4.8;0.1;0.3;23.0;1;22;03;07;1730
