ID;SectorBranches;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
406;494 Freight transport by road;2008 2nd quarter;113.5;5.1
407;494 Freight transport by road;2008 3rd quarter;110.9;5.5
408;494 Freight transport by road;2008 4th quarter;114.4;0.4
409;494 Freight transport by road;2008;110.3;4.1
410;494 Freight transport by road;2009 1st quarter;90.9;-11.4
411;494 Freight transport by road;2009 2nd quarter;98.5;-13.3
412;494 Freight transport by road;2009 3rd quarter;95.7;-13.7
413;494 Freight transport by road;2009 4th quarter;103.9;-9.2
414;494 Freight transport by road;2009;97.2;-11.9
415;494 Freight transport by road;2010 1st quarter;87.4;-3.9
416;494 Freight transport by road;2010 2nd quarter;100.6;2.2
417;494 Freight transport by road;2010 3rd quarter;99.9;4.4
418;494 Freight transport by road;2010 4th quarter;112.1;7.9
419;494 Freight transport by road;2010;100.0;2.8
420;494 Freight transport by road;2011 1st quarter;97.3;11.4
421;494 Freight transport by road;2011 2nd quarter;107.3;6.6
422;494 Freight transport by road;2011 3rd quarter;103.9;4.0
423;494 Freight transport by road;2011 4th quarter;110.7;-1.2
424;494 Freight transport by road;2011;104.8;4.8
425;494 Freight transport by road;2012 1st quarter;98.8;1.5
426;494 Freight transport by road;2012 2nd quarter;110.3;2.8
427;494 Freight transport by road;2012 3rd quarter;106.8;2.8
428;494 Freight transport by road;2012 4th quarter;111.7;0.9
429;494 Freight transport by road;2012;106.9;2.0
430;494 Freight transport by road;2013 1st quarter;97.3;-1.4
431;494 Freight transport by road;2013 2nd quarter;106.9;-3.1
432;494 Freight transport by road;2013 3rd quarter;104.3;-2.4
433;494 Freight transport by road;2013 4th quarter;114.5;2.5
434;494 Freight transport by road;2013;105.8;-1.0
435;494 Freight transport by road;2014 1st quarter;100.1;2.8
436;494 Freight transport by road;2014 2nd quarter;110.9;3.7
437;494 Freight transport by road;2014 3rd quarter;110.1;5.6
438;494 Freight transport by road;2014 4th quarter;117.5;2.6
439;494 Freight transport by road;2014;109.6;3.7
440;494 Freight transport by road;2015 1st quarter;103.8;3.7
441;494 Freight transport by road;2015 2nd quarter;114.8;3.6
442;494 Freight transport by road;2015 3rd quarter;111.2;1.0
443;494 Freight transport by road;2015 4th quarter;122.8;4.5
444;494 Freight transport by road;2015;113.1;3.2
445;494 Freight transport by road;2016 1st quarter;107.0;3.1
446;494 Freight transport by road;2016 2nd quarter;117.4;2.3
447;494 Freight transport by road;2016 3rd quarter;114.2;2.7
448;494 Freight transport by road;2016 4th quarter;127.1;3.5
449;494 Freight transport by road;2016;116.4;2.9
450;494 Freight transport by road;2017 1st quarter;115.6;8.0
451;494 Freight transport by road;2017 2nd quarter;124.5;6.0
452;494 Freight transport by road;2017 3rd quarter;120.4;5.5
453;494 Freight transport by road;2017 4th quarter;132.7;4.4
454;494 Freight transport by road;2017;123.3;5.9
455;4941 Freight road transport, no removals;2005 1st quarter;78.0;
456;4941 Freight road transport, no removals;2005 2nd quarter;88.3;
457;4941 Freight road transport, no removals;2005 3rd quarter;87.2;
458;4941 Freight road transport, no removals;2005 4th quarter;99.6;
459;4941 Freight road transport, no removals;2005;88.3;
460;4941 Freight road transport, no removals;2006 1st quarter;87.4;12.1
461;4941 Freight road transport, no removals;2006 2nd quarter;99.1;12.2
462;4941 Freight road transport, no removals;2006 3rd quarter;96.6;10.8
463;4941 Freight road transport, no removals;2006 4th quarter;109.0;9.4
464;4941 Freight road transport, no removals;2006;98.0;11.0
465;4941 Freight road transport, no removals;2007 1st quarter;96.4;10.4
466;4941 Freight road transport, no removals;2007 2nd quarter;107.5;8.5
467;4941 Freight road transport, no removals;2007 3rd quarter;104.6;8.3
468;4941 Freight road transport, no removals;2007 4th quarter;113.5;4.2
469;4941 Freight road transport, no removals;2007;105.5;7.7
470;4941 Freight road transport, no removals;2008 1st quarter;102.0;5.8
471;4941 Freight road transport, no removals;2008 2nd quarter;113.0;5.1
472;4941 Freight road transport, no removals;2008 3rd quarter;110.4;5.5
473;4941 Freight road transport, no removals;2008 4th quarter;114.0;0.4
474;4941 Freight road transport, no removals;2008;109.8;4.1
475;4941 Freight road transport, no removals;2009 1st quarter;90.6;-11.3
476;4941 Freight road transport, no removals;2009 2nd quarter;98.3;-13.0
477;4941 Freight road transport, no removals;2009 3rd quarter;95.4;-13.6
478;4941 Freight road transport, no removals;2009 4th quarter;103.8;-8.9
479;4941 Freight road transport, no removals;2009;97.0;-11.7
480;4941 Freight road transport, no removals;2010 1st quarter;87.4;-3.5
481;4941 Freight road transport, no removals;2010 2nd quarter;100.7;2.4
482;4941 Freight road transport, no removals;2010 3rd quarter;99.8;4.6
483;4941 Freight road transport, no removals;2010 4th quarter;112.2;8.0
484;4941 Freight road transport, no removals;2010;100.0;3.1
485;4941 Freight road transport, no removals;2011 1st quarter;97.4;11.5
486;4941 Freight road transport, no removals;2011 2nd quarter;107.5;6.7
487;4941 Freight road transport, no removals;2011 3rd quarter;103.8;4.1
488;4941 Freight road transport, no removals;2011 4th quarter;110.8;-1.2
489;4941 Freight road transport, no removals;2011;104.9;4.9
490;4941 Freight road transport, no removals;2012 1st quarter;98.9;1.5
491;4941 Freight road transport, no removals;2012 2nd quarter;110.6;2.9
492;4941 Freight road transport, no removals;2012 3rd quarter;106.8;2.9
493;4941 Freight road transport, no removals;2012 4th quarter;111.9;1.0
494;4941 Freight road transport, no removals;2012;107.1;2.1
495;4941 Freight road transport, no removals;2013 1st quarter;97.6;-1.3
496;4941 Freight road transport, no removals;2013 2nd quarter;107.2;-3.1
497;4941 Freight road transport, no removals;2013 3rd quarter;104.3;-2.3
498;4941 Freight road transport, no removals;2013 4th quarter;114.8;2.5
499;4941 Freight road transport, no removals;2013;106.0;-1.0
500;4941 Freight road transport, no removals;2014 1st quarter;100.3;2.8
501;4941 Freight road transport, no removals;2014 2nd quarter;111.2;3.7
502;4941 Freight road transport, no removals;2014 3rd quarter;110.2;5.6
503;4941 Freight road transport, no removals;2014 4th quarter;117.8;2.6
504;4941 Freight road transport, no removals;2014;109.9;3.7
505;4941 Freight road transport, no removals;2015 1st quarter;103.9;3.7
506;4941 Freight road transport, no removals;2015 2nd quarter;115.2;3.6
507;4941 Freight road transport, no removals;2015 3rd quarter;111.1;0.8
508;4941 Freight road transport, no removals;2015 4th quarter;122.8;4.2
509;4941 Freight road transport, no removals;2015;113.3;3.1
510;4941 Freight road transport, no removals;2016 1st quarter;107.1;3.0
511;4941 Freight road transport, no removals;2016 2nd quarter;117.6;2.0
512;4941 Freight road transport, no removals;2016 3rd quarter;114.0;2.6
513;4941 Freight road transport, no removals;2016 4th quarter;126.9;3.4
514;4941 Freight road transport, no removals;2016;116.4;2.7
515;4941 Freight road transport, no removals;2017 1st quarter;115.5;7.8
516;4941 Freight road transport, no removals;2017 2nd quarter;124.7;6.1
517;4941 Freight road transport, no removals;2017 3rd quarter;120.1;5.4
518;4941 Freight road transport, no removals;2017 4th quarter;132.6;4.5
519;4941 Freight road transport, no removals;2017;123.2;5.9
520;4942 Removal services;2005 1st quarter;95.2;
521;4942 Removal services;2005 2nd quarter;106.6;
522;4942 Removal services;2005 3rd quarter;104.9;
523;4942 Removal services;2005 4th quarter;115.8;
524;4942 Removal services;2005;105.6;
525;4942 Removal services;2006 1st quarter;106.7;12.1
526;4942 Removal services;2006 2nd quarter;119.6;12.2
527;4942 Removal services;2006 3rd quarter;116.2;10.8
528;4942 Removal services;2006 4th quarter;126.6;9.4
529;4942 Removal services;2006;117.3;11.0
530;4942 Removal services;2007 1st quarter;117.8;10.4
531;4942 Removal services;2007 2nd quarter;129.9;8.5
532;4942 Removal services;2007 3rd quarter;125.8;8.3
533;4942 Removal services;2007 4th quarter;131.9;4.2
534;4942 Removal services;2007;126.3;7.7
535;4942 Removal services;2008 1st quarter;124.6;5.8
536;4942 Removal services;2008 2nd quarter;136.4;5.1
537;4942 Removal services;2008 3rd quarter;132.7;5.5
538;4942 Removal services;2008 4th quarter;132.4;0.4
539;4942 Removal services;2008;131.6;4.1
540;4942 Removal services;2009 1st quarter;103.7;-16.8
541;4942 Removal services;2009 2nd quarter;104.6;-23.4
542;4942 Removal services;2009 3rd quarter;110.8;-16.5
543;4942 Removal services;2009 4th quarter;105.9;-20.1
544;4942 Removal services;2009;106.2;-19.3
545;4942 Removal services;2010 1st quarter;87.8;-15.4
546;4942 Removal services;2010 2nd quarter;96.8;-7.4
