ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
3761;Listed monuments total;Altena;1986;118
3762;Listed monuments total;Altena;1987;118
3763;Listed monuments total;Altena;1988;118
3764;Listed monuments total;Altena;1989;128
3765;Listed monuments total;Altena;1990;128
3766;Listed monuments total;Altena;1991;128
3767;Listed monuments total;Altena;1992;129
3768;Listed monuments total;Altena;1993;129
3769;Listed monuments total;Altena;1994;129
3770;Listed monuments total;Altena;1995;129
3771;Listed monuments total;Altena;1996;129
3772;Listed monuments total;Altena;1997;130
3773;Listed monuments total;Altena;1998;131
3774;Listed monuments total;Altena;1999;132
3775;Listed monuments total;Altena;2000;132
3776;Listed monuments total;Altena;2001;150
3777;Listed monuments total;Altena;2002;176
3778;Listed monuments total;Altena;2003;178
3779;Listed monuments total;Altena;2004;188
3780;Listed monuments total;Altena;2005;188
3781;Listed monuments total;Altena;2006;191
3782;Listed monuments total;Altena;2007;191
3783;Listed monuments total;Altena;2008;191
3784;Listed monuments total;Altena;2009;191
3785;Listed monuments total;Altena;2010;191
3786;Listed monuments total;Altena;2011;191
3787;Listed monuments total;Altena;2012;191
3788;Listed monuments total;Altena;2013;191
3789;Listed monuments total;Altena;2014;191
3790;Listed monuments total;Altena;2015;222
3791;Listed monuments total;Altena;2016;222
3792;Listed monuments total;Altena;2017;222
3793;Listed monuments total;Altena;2018;222
3794;Listed monuments total;Altena;2019;221
3795;Listed monuments total;Ameland;1965;0
3796;Listed monuments total;Ameland;1966;0
3797;Listed monuments total;Ameland;1967;100
3798;Listed monuments total;Ameland;1968;100
3799;Listed monuments total;Ameland;1969;100
3800;Listed monuments total;Ameland;1970;100
3801;Listed monuments total;Ameland;1971;101
3802;Listed monuments total;Ameland;1972;104
3803;Listed monuments total;Ameland;1973;104
3804;Listed monuments total;Ameland;1974;105
3805;Listed monuments total;Ameland;1975;105
3806;Listed monuments total;Ameland;1976;107
3807;Listed monuments total;Ameland;1977;107
3808;Listed monuments total;Ameland;1978;107
3809;Listed monuments total;Ameland;1979;107
3810;Listed monuments total;Ameland;1980;107
3811;Listed monuments total;Ameland;1981;107
3812;Listed monuments total;Ameland;1982;108
3813;Listed monuments total;Ameland;1983;108
3814;Listed monuments total;Ameland;1984;108
3815;Listed monuments total;Ameland;1985;108
3816;Listed monuments total;Ameland;1986;108
3817;Listed monuments total;Ameland;1987;108
3818;Listed monuments total;Ameland;1988;108
3819;Listed monuments total;Ameland;1989;108
3820;Listed monuments total;Ameland;1990;109
3821;Listed monuments total;Ameland;1991;109
3822;Listed monuments total;Ameland;1992;109
3823;Listed monuments total;Ameland;1993;109
3824;Listed monuments total;Ameland;1994;109
3825;Listed monuments total;Ameland;1995;109
3826;Listed monuments total;Ameland;1996;109
3827;Listed monuments total;Ameland;1997;109
3828;Listed monuments total;Ameland;1998;109
3829;Listed monuments total;Ameland;1999;112
3830;Listed monuments total;Ameland;2000;112
3831;Listed monuments total;Ameland;2001;112
3832;Listed monuments total;Ameland;2002;112
3833;Listed monuments total;Ameland;2003;112
3834;Listed monuments total;Ameland;2004;112
3835;Listed monuments total;Ameland;2005;112
3836;Listed monuments total;Ameland;2006;112
3837;Listed monuments total;Ameland;2007;112
3838;Listed monuments total;Ameland;2008;112
3839;Listed monuments total;Ameland;2009;112
3840;Listed monuments total;Ameland;2010;112
3841;Listed monuments total;Ameland;2011;112
3842;Listed monuments total;Ameland;2012;112
3843;Listed monuments total;Ameland;2013;112
3844;Listed monuments total;Ameland;2014;112
3845;Listed monuments total;Ameland;2015;112
3846;Listed monuments total;Ameland;2016;112
3847;Listed monuments total;Ameland;2017;112
3848;Listed monuments total;Ameland;2018;112
3849;Listed monuments total;Ameland;2019;112
3850;Listed monuments total;Amersfoort;1965;0
3851;Listed monuments total;Amersfoort;1966;306
3852;Listed monuments total;Amersfoort;1967;311
3853;Listed monuments total;Amersfoort;1968;313
3854;Listed monuments total;Amersfoort;1969;314
3855;Listed monuments total;Amersfoort;1970;316
3856;Listed monuments total;Amersfoort;1971;316
3857;Listed monuments total;Amersfoort;1972;316
3858;Listed monuments total;Amersfoort;1973;318
3859;Listed monuments total;Amersfoort;1974;318
3860;Listed monuments total;Amersfoort;1975;321
3861;Listed monuments total;Amersfoort;1976;321
3862;Listed monuments total;Amersfoort;1977;321
3863;Listed monuments total;Amersfoort;1978;321
3864;Listed monuments total;Amersfoort;1979;321
3865;Listed monuments total;Amersfoort;1980;322
3866;Listed monuments total;Amersfoort;1981;323
3867;Listed monuments total;Amersfoort;1982;323
3868;Listed monuments total;Amersfoort;1983;323
3869;Listed monuments total;Amersfoort;1984;323
3870;Listed monuments total;Amersfoort;1985;323
3871;Listed monuments total;Amersfoort;1986;323
3872;Listed monuments total;Amersfoort;1987;323
3873;Listed monuments total;Amersfoort;1988;323
3874;Listed monuments total;Amersfoort;1989;324
3875;Listed monuments total;Amersfoort;1990;324
3876;Listed monuments total;Amersfoort;1991;324
3877;Listed monuments total;Amersfoort;1992;324
3878;Listed monuments total;Amersfoort;1993;324
3879;Listed monuments total;Amersfoort;1994;324
3880;Listed monuments total;Amersfoort;1995;324
3881;Listed monuments total;Amersfoort;1996;325
3882;Listed monuments total;Amersfoort;1997;325
3883;Listed monuments total;Amersfoort;1998;325
3884;Listed monuments total;Amersfoort;1999;325
3885;Listed monuments total;Amersfoort;2000;405
3886;Listed monuments total;Amersfoort;2001;411
3887;Listed monuments total;Amersfoort;2002;413
3888;Listed monuments total;Amersfoort;2003;413
3889;Listed monuments total;Amersfoort;2004;418
3890;Listed monuments total;Amersfoort;2005;418
3891;Listed monuments total;Amersfoort;2006;428
3892;Listed monuments total;Amersfoort;2007;433
3893;Listed monuments total;Amersfoort;2008;433
3894;Listed monuments total;Amersfoort;2009;433
3895;Listed monuments total;Amersfoort;2010;434
3896;Listed monuments total;Amersfoort;2011;461
3897;Listed monuments total;Amersfoort;2012;461
3898;Listed monuments total;Amersfoort;2013;461
3899;Listed monuments total;Amersfoort;2014;461
3900;Listed monuments total;Amersfoort;2015;461
3901;Listed monuments total;Amersfoort;2016;461
3902;Listed monuments total;Amersfoort;2017;461
3903;Listed monuments total;Amersfoort;2018;461
3904;Listed monuments total;Amersfoort;2019;461
3905;Listed monuments total;Amstelveen;1965;0
3906;Listed monuments total;Amstelveen;1966;0
3907;Listed monuments total;Amstelveen;1967;0
3908;Listed monuments total;Amstelveen;1968;0
3909;Listed monuments total;Amstelveen;1969;0
3910;Listed monuments total;Amstelveen;1970;19
3911;Listed monuments total;Amstelveen;1971;19
3912;Listed monuments total;Amstelveen;1972;19
3913;Listed monuments total;Amstelveen;1973;19
3914;Listed monuments total;Amstelveen;1974;19
3915;Listed monuments total;Amstelveen;1975;20
3916;Listed monuments total;Amstelveen;1976;22
3917;Listed monuments total;Amstelveen;1977;22
3918;Listed monuments total;Amstelveen;1978;22
3919;Listed monuments total;Amstelveen;1979;22
3920;Listed monuments total;Amstelveen;1980;22
3921;Listed monuments total;Amstelveen;1981;22
3922;Listed monuments total;Amstelveen;1982;22
3923;Listed monuments total;Amstelveen;1983;22
3924;Listed monuments total;Amstelveen;1984;22
3925;Listed monuments total;Amstelveen;1985;22
3926;Listed monuments total;Amstelveen;1986;22
3927;Listed monuments total;Amstelveen;1987;22
3928;Listed monuments total;Amstelveen;1988;22
3929;Listed monuments total;Amstelveen;1989;22
3930;Listed monuments total;Amstelveen;1990;22
3931;Listed monuments total;Amstelveen;1991;22
3932;Listed monuments total;Amstelveen;1992;22
3933;Listed monuments total;Amstelveen;1993;26
3934;Listed monuments total;Amstelveen;1994;26
3935;Listed monuments total;Amstelveen;1995;26
3936;Listed monuments total;Amstelveen;1996;26
3937;Listed monuments total;Amstelveen;1997;26
3938;Listed monuments total;Amstelveen;1998;26
3939;Listed monuments total;Amstelveen;1999;26
3940;Listed monuments total;Amstelveen;2000;26
3941;Listed monuments total;Amstelveen;2001;26
3942;Listed monuments total;Amstelveen;2002;40
3943;Listed monuments total;Amstelveen;2003;40
3944;Listed monuments total;Amstelveen;2004;41
3945;Listed monuments total;Amstelveen;2005;55
3946;Listed monuments total;Amstelveen;2006;55
3947;Listed monuments total;Amstelveen;2007;55
3948;Listed monuments total;Amstelveen;2008;55
3949;Listed monuments total;Amstelveen;2009;64
3950;Listed monuments total;Amstelveen;2010;67
3951;Listed monuments total;Amstelveen;2011;70
3952;Listed monuments total;Amstelveen;2012;70
3953;Listed monuments total;Amstelveen;2013;70
3954;Listed monuments total;Amstelveen;2014;71
3955;Listed monuments total;Amstelveen;2015;71
3956;Listed monuments total;Amstelveen;2016;71
3957;Listed monuments total;Amstelveen;2017;71
3958;Listed monuments total;Amstelveen;2018;71
3959;Listed monuments total;Amstelveen;2019;71
3960;Listed monuments total;Amsterdam;1965;0
3961;Listed monuments total;Amsterdam;1966;0
3962;Listed monuments total;Amsterdam;1967;1
3963;Listed monuments total;Amsterdam;1968;1
3964;Listed monuments total;Amsterdam;1969;1
3965;Listed monuments total;Amsterdam;1970;6187
3966;Listed monuments total;Amsterdam;1971;6191
3967;Listed monuments total;Amsterdam;1972;6193
3968;Listed monuments total;Amsterdam;1973;6197
3969;Listed monuments total;Amsterdam;1974;6294
3970;Listed monuments total;Amsterdam;1975;6364
3971;Listed monuments total;Amsterdam;1976;6432
3972;Listed monuments total;Amsterdam;1977;6482
3973;Listed monuments total;Amsterdam;1978;6498
3974;Listed monuments total;Amsterdam;1979;6513
3975;Listed monuments total;Amsterdam;1980;6530
3976;Listed monuments total;Amsterdam;1981;6541
3977;Listed monuments total;Amsterdam;1982;6560
3978;Listed monuments total;Amsterdam;1983;6561
3979;Listed monuments total;Amsterdam;1984;6588
3980;Listed monuments total;Amsterdam;1985;6607
3981;Listed monuments total;Amsterdam;1986;6607
3982;Listed monuments total;Amsterdam;1987;6607
3983;Listed monuments total;Amsterdam;1988;6620
3984;Listed monuments total;Amsterdam;1989;6623
3985;Listed monuments total;Amsterdam;1990;6624
3986;Listed monuments total;Amsterdam;1991;6644
3987;Listed monuments total;Amsterdam;1992;6658
3988;Listed monuments total;Amsterdam;1993;6661
3989;Listed monuments total;Amsterdam;1994;6661
3990;Listed monuments total;Amsterdam;1995;6691
3991;Listed monuments total;Amsterdam;1996;6849
3992;Listed monuments total;Amsterdam;1997;6852
3993;Listed monuments total;Amsterdam;1998;6922
3994;Listed monuments total;Amsterdam;1999;6933
3995;Listed monuments total;Amsterdam;2000;6935
3996;Listed monuments total;Amsterdam;2001;7085
3997;Listed monuments total;Amsterdam;2002;7202
3998;Listed monuments total;Amsterdam;2003;7252
3999;Listed monuments total;Amsterdam;2004;7392
4000;Listed monuments total;Amsterdam;2005;7402
4001;Listed monuments total;Amsterdam;2006;7409
4002;Listed monuments total;Amsterdam;2007;7419
4003;Listed monuments total;Amsterdam;2008;7443
4004;Listed monuments total;Amsterdam;2009;7452
4005;Listed monuments total;Amsterdam;2010;7476
4006;Listed monuments total;Amsterdam;2011;7479
4007;Listed monuments total;Amsterdam;2012;7480
4008;Listed monuments total;Amsterdam;2013;7480
4009;Listed monuments total;Amsterdam;2014;7483
4010;Listed monuments total;Amsterdam;2015;7487
4011;Listed monuments total;Amsterdam;2016;7497
4012;Listed monuments total;Amsterdam;2017;7497
4013;Listed monuments total;Amsterdam;2018;7497
4014;Listed monuments total;Amsterdam;2019;7496
4015;Listed monuments total;Apeldoorn;1965;0
4016;Listed monuments total;Apeldoorn;1966;0
4017;Listed monuments total;Apeldoorn;1967;0
4018;Listed monuments total;Apeldoorn;1968;0
4019;Listed monuments total;Apeldoorn;1969;0
4020;Listed monuments total;Apeldoorn;1970;0
4021;Listed monuments total;Apeldoorn;1971;0
4022;Listed monuments total;Apeldoorn;1972;0
4023;Listed monuments total;Apeldoorn;1973;25
4024;Listed monuments total;Apeldoorn;1974;60
4025;Listed monuments total;Apeldoorn;1975;61
4026;Listed monuments total;Apeldoorn;1976;62
4027;Listed monuments total;Apeldoorn;1977;62
4028;Listed monuments total;Apeldoorn;1978;62
4029;Listed monuments total;Apeldoorn;1979;64
4030;Listed monuments total;Apeldoorn;1980;64
4031;Listed monuments total;Apeldoorn;1981;65
4032;Listed monuments total;Apeldoorn;1982;70
4033;Listed monuments total;Apeldoorn;1983;70
4034;Listed monuments total;Apeldoorn;1984;70
4035;Listed monuments total;Apeldoorn;1985;72
4036;Listed monuments total;Apeldoorn;1986;72
4037;Listed monuments total;Apeldoorn;1987;72
4038;Listed monuments total;Apeldoorn;1988;72
4039;Listed monuments total;Apeldoorn;1989;72
4040;Listed monuments total;Apeldoorn;1990;73
4041;Listed monuments total;Apeldoorn;1991;76
4042;Listed monuments total;Apeldoorn;1992;76
4043;Listed monuments total;Apeldoorn;1993;76
4044;Listed monuments total;Apeldoorn;1994;76
4045;Listed monuments total;Apeldoorn;1995;76
4046;Listed monuments total;Apeldoorn;1996;76
4047;Listed monuments total;Apeldoorn;1997;76
4048;Listed monuments total;Apeldoorn;1998;76
4049;Listed monuments total;Apeldoorn;1999;76
4050;Listed monuments total;Apeldoorn;2000;183
4051;Listed monuments total;Apeldoorn;2001;186
4052;Listed monuments total;Apeldoorn;2002;186
4053;Listed monuments total;Apeldoorn;2003;192
4054;Listed monuments total;Apeldoorn;2004;192
4055;Listed monuments total;Apeldoorn;2005;206
4056;Listed monuments total;Apeldoorn;2006;208
4057;Listed monuments total;Apeldoorn;2007;208
4058;Listed monuments total;Apeldoorn;2008;208
4059;Listed monuments total;Apeldoorn;2009;212
4060;Listed monuments total;Apeldoorn;2010;212
4061;Listed monuments total;Apeldoorn;2011;212
4062;Listed monuments total;Apeldoorn;2012;212
4063;Listed monuments total;Apeldoorn;2013;211
4064;Listed monuments total;Apeldoorn;2014;212
4065;Listed monuments total;Apeldoorn;2015;212
4066;Listed monuments total;Apeldoorn;2016;212
4067;Listed monuments total;Apeldoorn;2017;213
4068;Listed monuments total;Apeldoorn;2018;213
4069;Listed monuments total;Apeldoorn;2019;213
4070;Listed monuments total;Appingedam;1965;0
4071;Listed monuments total;Appingedam;1966;0
4072;Listed monuments total;Appingedam;1967;0
4073;Listed monuments total;Appingedam;1968;39
4074;Listed monuments total;Appingedam;1969;39
4075;Listed monuments total;Appingedam;1970;56
4076;Listed monuments total;Appingedam;1971;56
4077;Listed monuments total;Appingedam;1972;58
4078;Listed monuments total;Appingedam;1973;58
4079;Listed monuments total;Appingedam;1974;59
4080;Listed monuments total;Appingedam;1975;60
4081;Listed monuments total;Appingedam;1976;60
4082;Listed monuments total;Appingedam;1977;60
4083;Listed monuments total;Appingedam;1978;61
4084;Listed monuments total;Appingedam;1979;61
4085;Listed monuments total;Appingedam;1980;61
4086;Listed monuments total;Appingedam;1981;70
4087;Listed monuments total;Appingedam;1982;76
4088;Listed monuments total;Appingedam;1983;76
4089;Listed monuments total;Appingedam;1984;76
4090;Listed monuments total;Appingedam;1985;76
4091;Listed monuments total;Appingedam;1986;76
4092;Listed monuments total;Appingedam;1987;76
4093;Listed monuments total;Appingedam;1988;76
4094;Listed monuments total;Appingedam;1989;76
4095;Listed monuments total;Appingedam;1990;76
4096;Listed monuments total;Appingedam;1991;76
4097;Listed monuments total;Appingedam;1992;76
4098;Listed monuments total;Appingedam;1993;76
4099;Listed monuments total;Appingedam;1994;76
4100;Listed monuments total;Appingedam;1995;76
4101;Listed monuments total;Appingedam;1996;76
4102;Listed monuments total;Appingedam;1997;76
4103;Listed monuments total;Appingedam;1998;88
4104;Listed monuments total;Appingedam;1999;89
4105;Listed monuments total;Appingedam;2000;89
4106;Listed monuments total;Appingedam;2001;89
4107;Listed monuments total;Appingedam;2002;89
4108;Listed monuments total;Appingedam;2003;89
4109;Listed monuments total;Appingedam;2004;89
4110;Listed monuments total;Appingedam;2005;97
4111;Listed monuments total;Appingedam;2006;98
4112;Listed monuments total;Appingedam;2007;98
4113;Listed monuments total;Appingedam;2008;98
4114;Listed monuments total;Appingedam;2009;98
4115;Listed monuments total;Appingedam;2010;98
4116;Listed monuments total;Appingedam;2011;98
4117;Listed monuments total;Appingedam;2012;98
4118;Listed monuments total;Appingedam;2013;98
4119;Listed monuments total;Appingedam;2014;99
4120;Listed monuments total;Appingedam;2015;99
4121;Listed monuments total;Appingedam;2016;99
4122;Listed monuments total;Appingedam;2017;99
4123;Listed monuments total;Appingedam;2018;99
4124;Listed monuments total;Appingedam;2019;100
4125;Listed monuments total;Arnhem;1965;70
4126;Listed monuments total;Arnhem;1966;71
4127;Listed monuments total;Arnhem;1967;74
4128;Listed monuments total;Arnhem;1968;77
4129;Listed monuments total;Arnhem;1969;77
4130;Listed monuments total;Arnhem;1970;77
4131;Listed monuments total;Arnhem;1971;81
4132;Listed monuments total;Arnhem;1972;81
4133;Listed monuments total;Arnhem;1973;81
4134;Listed monuments total;Arnhem;1974;81
4135;Listed monuments total;Arnhem;1975;82
4136;Listed monuments total;Arnhem;1976;84
4137;Listed monuments total;Arnhem;1977;84
4138;Listed monuments total;Arnhem;1978;85
4139;Listed monuments total;Arnhem;1979;85
4140;Listed monuments total;Arnhem;1980;91
4141;Listed monuments total;Arnhem;1981;91
4142;Listed monuments total;Arnhem;1982;91
4143;Listed monuments total;Arnhem;1983;94
4144;Listed monuments total;Arnhem;1984;94
4145;Listed monuments total;Arnhem;1985;97
4146;Listed monuments total;Arnhem;1986;97
4147;Listed monuments total;Arnhem;1987;97
4148;Listed monuments total;Arnhem;1988;97
4149;Listed monuments total;Arnhem;1989;97
4150;Listed monuments total;Arnhem;1990;99
4151;Listed monuments total;Arnhem;1991;99
4152;Listed monuments total;Arnhem;1992;99
4153;Listed monuments total;Arnhem;1993;99
4154;Listed monuments total;Arnhem;1994;99
4155;Listed monuments total;Arnhem;1995;99
4156;Listed monuments total;Arnhem;1996;99
4157;Listed monuments total;Arnhem;1997;99
4158;Listed monuments total;Arnhem;1998;99
4159;Listed monuments total;Arnhem;1999;99
4160;Listed monuments total;Arnhem;2000;303
4161;Listed monuments total;Arnhem;2001;312
4162;Listed monuments total;Arnhem;2002;313
4163;Listed monuments total;Arnhem;2003;323
4164;Listed monuments total;Arnhem;2004;323
4165;Listed monuments total;Arnhem;2005;323
4166;Listed monuments total;Arnhem;2006;373
4167;Listed monuments total;Arnhem;2007;373
4168;Listed monuments total;Arnhem;2008;373
4169;Listed monuments total;Arnhem;2009;373
4170;Listed monuments total;Arnhem;2010;446
4171;Listed monuments total;Arnhem;2011;447
4172;Listed monuments total;Arnhem;2012;546
4173;Listed monuments total;Arnhem;2013;551
4174;Listed monuments total;Arnhem;2014;551
4175;Listed monuments total;Arnhem;2015;561
4176;Listed monuments total;Arnhem;2016;564
4177;Listed monuments total;Arnhem;2017;565
4178;Listed monuments total;Arnhem;2018;565
4179;Listed monuments total;Arnhem;2019;565
4180;Listed monuments total;Assen;1965;27
4181;Listed monuments total;Assen;1966;27
4182;Listed monuments total;Assen;1967;28
4183;Listed monuments total;Assen;1968;30
4184;Listed monuments total;Assen;1969;30
4185;Listed monuments total;Assen;1970;30
4186;Listed monuments total;Assen;1971;30
4187;Listed monuments total;Assen;1972;30
4188;Listed monuments total;Assen;1973;30
4189;Listed monuments total;Assen;1974;30
4190;Listed monuments total;Assen;1975;30
4191;Listed monuments total;Assen;1976;30
4192;Listed monuments total;Assen;1977;30
4193;Listed monuments total;Assen;1978;30
4194;Listed monuments total;Assen;1979;30
4195;Listed monuments total;Assen;1980;30
4196;Listed monuments total;Assen;1981;30
4197;Listed monuments total;Assen;1982;30
4198;Listed monuments total;Assen;1983;30
4199;Listed monuments total;Assen;1984;30
4200;Listed monuments total;Assen;1985;32
4201;Listed monuments total;Assen;1986;32
4202;Listed monuments total;Assen;1987;32
4203;Listed monuments total;Assen;1988;32
4204;Listed monuments total;Assen;1989;32
4205;Listed monuments total;Assen;1990;32
4206;Listed monuments total;Assen;1991;42
4207;Listed monuments total;Assen;1992;44
4208;Listed monuments total;Assen;1993;44
4209;Listed monuments total;Assen;1994;136
4210;Listed monuments total;Assen;1995;136
4211;Listed monuments total;Assen;1996;136
4212;Listed monuments total;Assen;1997;136
4213;Listed monuments total;Assen;1998;136
4214;Listed monuments total;Assen;1999;136
4215;Listed monuments total;Assen;2000;136
4216;Listed monuments total;Assen;2001;136
4217;Listed monuments total;Assen;2002;136
4218;Listed monuments total;Assen;2003;136
4219;Listed monuments total;Assen;2004;136
4220;Listed monuments total;Assen;2005;136
4221;Listed monuments total;Assen;2006;136
4222;Listed monuments total;Assen;2007;136
4223;Listed monuments total;Assen;2008;136
4224;Listed monuments total;Assen;2009;136
4225;Listed monuments total;Assen;2010;136
4226;Listed monuments total;Assen;2011;136
4227;Listed monuments total;Assen;2012;136
4228;Listed monuments total;Assen;2013;136
4229;Listed monuments total;Assen;2014;136
4230;Listed monuments total;Assen;2015;136
4231;Listed monuments total;Assen;2016;136
4232;Listed monuments total;Assen;2017;136
4233;Listed monuments total;Assen;2018;136
4234;Listed monuments total;Assen;2019;136
4235;Listed monuments total;Asten;1965;0
4236;Listed monuments total;Asten;1966;0
4237;Listed monuments total;Asten;1967;2
4238;Listed monuments total;Asten;1968;2
4239;Listed monuments total;Asten;1969;2
4240;Listed monuments total;Asten;1970;2
4241;Listed monuments total;Asten;1971;2
4242;Listed monuments total;Asten;1972;2
4243;Listed monuments total;Asten;1973;2
4244;Listed monuments total;Asten;1974;2
4245;Listed monuments total;Asten;1975;2
4246;Listed monuments total;Asten;1976;3
4247;Listed monuments total;Asten;1977;3
4248;Listed monuments total;Asten;1978;3
4249;Listed monuments total;Asten;1979;7
4250;Listed monuments total;Asten;1980;7
4251;Listed monuments total;Asten;1981;7
4252;Listed monuments total;Asten;1982;7
4253;Listed monuments total;Asten;1983;7
4254;Listed monuments total;Asten;1984;7
4255;Listed monuments total;Asten;1985;7
4256;Listed monuments total;Asten;1986;7
4257;Listed monuments total;Asten;1987;7
4258;Listed monuments total;Asten;1988;7
4259;Listed monuments total;Asten;1989;7
4260;Listed monuments total;Asten;1990;7
4261;Listed monuments total;Asten;1991;7
4262;Listed monuments total;Asten;1992;7
4263;Listed monuments total;Asten;1993;7
4264;Listed monuments total;Asten;1994;7
4265;Listed monuments total;Asten;1995;7
4266;Listed monuments total;Asten;1996;7
4267;Listed monuments total;Asten;1997;7
4268;Listed monuments total;Asten;1998;7
4269;Listed monuments total;Asten;1999;7
4270;Listed monuments total;Asten;2000;7
4271;Listed monuments total;Asten;2001;9
4272;Listed monuments total;Asten;2002;16
4273;Listed monuments total;Asten;2003;16
4274;Listed monuments total;Asten;2004;16
4275;Listed monuments total;Asten;2005;19
4276;Listed monuments total;Asten;2006;19
4277;Listed monuments total;Asten;2007;19
4278;Listed monuments total;Asten;2008;19
4279;Listed monuments total;Asten;2009;19
4280;Listed monuments total;Asten;2010;19
4281;Listed monuments total;Asten;2011;19
4282;Listed monuments total;Asten;2012;19
4283;Listed monuments total;Asten;2013;19
4284;Listed monuments total;Asten;2014;19
4285;Listed monuments total;Asten;2015;19
4286;Listed monuments total;Asten;2016;19
4287;Listed monuments total;Asten;2017;19
4288;Listed monuments total;Asten;2018;19
4289;Listed monuments total;Asten;2019;19
4290;Listed monuments total;Baarle-Nassau;1965;0
4291;Listed monuments total;Baarle-Nassau;1966;0
4292;Listed monuments total;Baarle-Nassau;1967;0
4293;Listed monuments total;Baarle-Nassau;1968;0
4294;Listed monuments total;Baarle-Nassau;1969;0
4295;Listed monuments total;Baarle-Nassau;1970;0
4296;Listed monuments total;Baarle-Nassau;1971;0
4297;Listed monuments total;Baarle-Nassau;1972;2
4298;Listed monuments total;Baarle-Nassau;1973;2
4299;Listed monuments total;Baarle-Nassau;1974;2
4300;Listed monuments total;Baarle-Nassau;1975;2
4301;Listed monuments total;Baarle-Nassau;1976;2
4302;Listed monuments total;Baarle-Nassau;1977;2
4303;Listed monuments total;Baarle-Nassau;1978;2
4304;Listed monuments total;Baarle-Nassau;1979;2
4305;Listed monuments total;Baarle-Nassau;1980;3
4306;Listed monuments total;Baarle-Nassau;1981;3
4307;Listed monuments total;Baarle-Nassau;1982;3
4308;Listed monuments total;Baarle-Nassau;1983;3
4309;Listed monuments total;Baarle-Nassau;1984;3
4310;Listed monuments total;Baarle-Nassau;1985;3
4311;Listed monuments total;Baarle-Nassau;1986;3
4312;Listed monuments total;Baarle-Nassau;1987;3
4313;Listed monuments total;Baarle-Nassau;1988;3
4314;Listed monuments total;Baarle-Nassau;1989;3
4315;Listed monuments total;Baarle-Nassau;1990;3
4316;Listed monuments total;Baarle-Nassau;1991;3
4317;Listed monuments total;Baarle-Nassau;1992;3
4318;Listed monuments total;Baarle-Nassau;1993;3
4319;Listed monuments total;Baarle-Nassau;1994;3
4320;Listed monuments total;Baarle-Nassau;1995;3
4321;Listed monuments total;Baarle-Nassau;1996;3
4322;Listed monuments total;Baarle-Nassau;1997;5
4323;Listed monuments total;Baarle-Nassau;1998;5
4324;Listed monuments total;Baarle-Nassau;1999;6
4325;Listed monuments total;Baarle-Nassau;2000;6
4326;Listed monuments total;Baarle-Nassau;2001;6
4327;Listed monuments total;Baarle-Nassau;2002;15
4328;Listed monuments total;Baarle-Nassau;2003;15
4329;Listed monuments total;Baarle-Nassau;2004;15
4330;Listed monuments total;Baarle-Nassau;2005;15
4331;Listed monuments total;Baarle-Nassau;2006;15
4332;Listed monuments total;Baarle-Nassau;2007;15
4333;Listed monuments total;Baarle-Nassau;2008;15
4334;Listed monuments total;Baarle-Nassau;2009;15
4335;Listed monuments total;Baarle-Nassau;2010;15
4336;Listed monuments total;Baarle-Nassau;2011;15
4337;Listed monuments total;Baarle-Nassau;2012;15
4338;Listed monuments total;Baarle-Nassau;2013;15
4339;Listed monuments total;Baarle-Nassau;2014;15
4340;Listed monuments total;Baarle-Nassau;2015;15
4341;Listed monuments total;Baarle-Nassau;2016;15
4342;Listed monuments total;Baarle-Nassau;2017;15
4343;Listed monuments total;Baarle-Nassau;2018;15
4344;Listed monuments total;Baarle-Nassau;2019;15
4345;Listed monuments total;Baarn;1965;0
4346;Listed monuments total;Baarn;1966;0
4347;Listed monuments total;Baarn;1967;16
4348;Listed monuments total;Baarn;1968;16
4349;Listed monuments total;Baarn;1969;16
4350;Listed monuments total;Baarn;1970;16
4351;Listed monuments total;Baarn;1971;16
4352;Listed monuments total;Baarn;1972;16
4353;Listed monuments total;Baarn;1973;16
4354;Listed monuments total;Baarn;1974;16
4355;Listed monuments total;Baarn;1975;25
4356;Listed monuments total;Baarn;1976;25
4357;Listed monuments total;Baarn;1977;27
4358;Listed monuments total;Baarn;1978;27
4359;Listed monuments total;Baarn;1979;27
4360;Listed monuments total;Baarn;1980;27
4361;Listed monuments total;Baarn;1981;27
4362;Listed monuments total;Baarn;1982;27
4363;Listed monuments total;Baarn;1983;27
4364;Listed monuments total;Baarn;1984;27
4365;Listed monuments total;Baarn;1985;27
4366;Listed monuments total;Baarn;1986;27
4367;Listed monuments total;Baarn;1987;27
4368;Listed monuments total;Baarn;1988;27
4369;Listed monuments total;Baarn;1989;27
4370;Listed monuments total;Baarn;1990;27
4371;Listed monuments total;Baarn;1991;27
4372;Listed monuments total;Baarn;1992;27
4373;Listed monuments total;Baarn;1993;27
4374;Listed monuments total;Baarn;1994;27
4375;Listed monuments total;Baarn;1995;27
4376;Listed monuments total;Baarn;1996;27
4377;Listed monuments total;Baarn;1997;27
4378;Listed monuments total;Baarn;1998;27
4379;Listed monuments total;Baarn;1999;92
4380;Listed monuments total;Baarn;2000;93
4381;Listed monuments total;Baarn;2001;93
4382;Listed monuments total;Baarn;2002;104
4383;Listed monuments total;Baarn;2003;105
4384;Listed monuments total;Baarn;2004;118
4385;Listed monuments total;Baarn;2005;122
4386;Listed monuments total;Baarn;2006;122
4387;Listed monuments total;Baarn;2007;122
