ID;Sex;Characteristics;Periods;VictimsMurderManslaughter_1;VictimsMurderManslaughterRelative_2
1138;Female;Method: Beating or kicking;2014;4;
1139;Female;Method: Beating or kicking;2015;4;
1140;Female;Method: Beating or kicking;2016;6;
1141;Female;Method: Beating or kicking;2017;10;
1142;Female;Method: Beating or kicking;2018;3;
1143;Female;Method: Beating or kicking;2019;12;
1144;Female;Method: Beating or kicking;2020;9;
1145;Female;Method: Beating or kicking;2021;6;
1146;Female;Method: Beating or kicking;2022;5;
1147;Female;Method: Beating or kicking;2023;5;
1148;Female;Method: Firearm;1996;13;
1149;Female;Method: Firearm;1997;11;
1150;Female;Method: Firearm;1998;11;
1151;Female;Method: Firearm;1999;10;
1152;Female;Method: Firearm;2000;7;
1153;Female;Method: Firearm;2001;13;
1154;Female;Method: Firearm;2002;11;
1155;Female;Method: Firearm;2003;18;
1156;Female;Method: Firearm;2004;12;
1157;Female;Method: Firearm;2005;10;
1158;Female;Method: Firearm;2006;7;
1159;Female;Method: Firearm;2007;8;
1160;Female;Method: Firearm;2008;8;
1161;Female;Method: Firearm;2009;6;
1162;Female;Method: Firearm;2010;7;
1163;Female;Method: Firearm;2011;15;
1164;Female;Method: Firearm;2012;6;
1165;Female;Method: Firearm;2013;5;
1166;Female;Method: Firearm;2014;1;
1167;Female;Method: Firearm;2015;5;
1168;Female;Method: Firearm;2016;3;
1169;Female;Method: Firearm;2017;4;
1170;Female;Method: Firearm;2018;7;
1171;Female;Method: Firearm;2019;5;
1172;Female;Method: Firearm;2020;8;
1173;Female;Method: Firearm;2021;3;
1174;Female;Method: Firearm;2022;6;
1175;Female;Method: Firearm;2023;5;
1176;Female;Method: Stabbing or battle weapon;1996;26;
1177;Female;Method: Stabbing or battle weapon;1997;21;
1178;Female;Method: Stabbing or battle weapon;1998;17;
1179;Female;Method: Stabbing or battle weapon;1999;23;
1180;Female;Method: Stabbing or battle weapon;2000;25;
1181;Female;Method: Stabbing or battle weapon;2001;38;
1182;Female;Method: Stabbing or battle weapon;2002;21;
1183;Female;Method: Stabbing or battle weapon;2003;35;
1184;Female;Method: Stabbing or battle weapon;2004;17;
1185;Female;Method: Stabbing or battle weapon;2005;26;
1186;Female;Method: Stabbing or battle weapon;2006;23;
1187;Female;Method: Stabbing or battle weapon;2007;20;
1188;Female;Method: Stabbing or battle weapon;2008;21;
1189;Female;Method: Stabbing or battle weapon;2009;21;
1190;Female;Method: Stabbing or battle weapon;2010;28;
1191;Female;Method: Stabbing or battle weapon;2011;21;
1192;Female;Method: Stabbing or battle weapon;2012;27;
1193;Female;Method: Stabbing or battle weapon;2013;25;
1194;Female;Method: Stabbing or battle weapon;2014;18;
1195;Female;Method: Stabbing or battle weapon;2015;22;
1196;Female;Method: Stabbing or battle weapon;2016;16;
1197;Female;Method: Stabbing or battle weapon;2017;21;
1198;Female;Method: Stabbing or battle weapon;2018;20;
1199;Female;Method: Stabbing or battle weapon;2019;20;
1200;Female;Method: Stabbing or battle weapon;2020;15;
1201;Female;Method: Stabbing or battle weapon;2021;14;
1202;Female;Method: Stabbing or battle weapon;2022;22;
1203;Female;Method: Stabbing or battle weapon;2023;17;
1204;Female;Method: other or unknown;1996;13;
1205;Female;Method: other or unknown;1997;14;
1206;Female;Method: other or unknown;1998;7;
1207;Female;Method: other or unknown;1999;8;
1208;Female;Method: other or unknown;2000;17;
1209;Female;Method: other or unknown;2001;24;
1210;Female;Method: other or unknown;2002;16;
1211;Female;Method: other or unknown;2003;19;
1212;Female;Method: other or unknown;2004;12;
1213;Female;Method: other or unknown;2005;15;
1214;Female;Method: other or unknown;2006;16;
1215;Female;Method: other or unknown;2007;7;
1216;Female;Method: other or unknown;2008;7;
1217;Female;Method: other or unknown;2009;8;
1218;Female;Method: other or unknown;2010;4;
1219;Female;Method: other or unknown;2011;4;
1220;Female;Method: other or unknown;2012;3;
1221;Female;Method: other or unknown;2013;11;
1222;Female;Method: other or unknown;2014;2;
1223;Female;Method: other or unknown;2015;1;
1224;Female;Method: other or unknown;2016;2;
1225;Female;Method: other or unknown;2017;4;
1226;Female;Method: other or unknown;2018;0;
1227;Female;Method: other or unknown;2019;2;
1228;Female;Method: other or unknown;2020;1;
1229;Female;Method: other or unknown;2021;2;
1230;Female;Method: other or unknown;2022;5;
1231;Female;Method: other or unknown;2023;5;
1232;Female;Location: house of the victim or others;1996;39;
1233;Female;Location: house of the victim or others;1997;33;
1234;Female;Location: house of the victim or others;1998;22;
1235;Female;Location: house of the victim or others;1999;30;
1236;Female;Location: house of the victim or others;2000;47;
1237;Female;Location: house of the victim or others;2001;65;
1238;Female;Location: house of the victim or others;2002;44;
1239;Female;Location: house of the victim or others;2003;54;
1240;Female;Location: house of the victim or others;2004;39;
1241;Female;Location: house of the victim or others;2005;52;
1242;Female;Location: house of the victim or others;2006;34;
1243;Female;Location: house of the victim or others;2007;39;
1244;Female;Location: house of the victim or others;2008;44;
1245;Female;Location: house of the victim or others;2009;36;
1246;Female;Location: house of the victim or others;2010;51;
1247;Female;Location: house of the victim or others;2011;42;
1248;Female;Location: house of the victim or others;2012;44;
1249;Female;Location: house of the victim or others;2013;49;
1250;Female;Location: house of the victim or others;2014;25;
1251;Female;Location: house of the victim or others;2015;35;
1252;Female;Location: house of the victim or others;2016;26;
1253;Female;Location: house of the victim or others;2017;33;
1254;Female;Location: house of the victim or others;2018;41;
1255;Female;Location: house of the victim or others;2019;33;
1256;Female;Location: house of the victim or others;2020;42;
1257;Female;Location: house of the victim or others;2021;31;
1258;Female;Location: house of the victim or others;2022;38;
1259;Female;Location: house of the victim or others;2023;31;
1260;Female;Location:  for trade and services;1996;0;
1261;Female;Location:  for trade and services;1997;1;
1262;Female;Location:  for trade and services;1998;1;
1263;Female;Location:  for trade and services;1999;0;
1264;Female;Location:  for trade and services;2000;1;
1265;Female;Location:  for trade and services;2001;1;
1266;Female;Location:  for trade and services;2002;1;
1267;Female;Location:  for trade and services;2003;1;
1268;Female;Location:  for trade and services;2004;1;
1269;Female;Location:  for trade and services;2005;2;
1270;Female;Location:  for trade and services;2006;4;
1271;Female;Location:  for trade and services;2007;4;
1272;Female;Location:  for trade and services;2008;0;
1273;Female;Location:  for trade and services;2009;2;
1274;Female;Location:  for trade and services;2010;2;
1275;Female;Location:  for trade and services;2011;8;
1276;Female;Location:  for trade and services;2012;1;
1277;Female;Location:  for trade and services;2013;2;
1278;Female;Location:  for trade and services;2014;0;
1279;Female;Location:  for trade and services;2015;0;
1280;Female;Location:  for trade and services;2016;0;
1281;Female;Location:  for trade and services;2017;1;
1282;Female;Location:  for trade and services;2018;0;
1283;Female;Location:  for trade and services;2019;1;
1284;Female;Location:  for trade and services;2020;0;
1285;Female;Location:  for trade and services;2021;0;
1286;Female;Location:  for trade and services;2022;1;
1287;Female;Location:  for trade and services;2023;1;
1288;Female;Location: public road;1996;2;
1289;Female;Location: public road;1997;5;
1290;Female;Location: public road;1998;3;
1291;Female;Location: public road;1999;8;
1292;Female;Location: public road;2000;4;
1293;Female;Location: public road;2001;7;
1294;Female;Location: public road;2002;9;
1295;Female;Location: public road;2003;11;
1296;Female;Location: public road;2004;10;
1297;Female;Location: public road;2005;5;
1298;Female;Location: public road;2006;6;
1299;Female;Location: public road;2007;3;
1300;Female;Location: public road;2008;4;
1301;Female;Location: public road;2009;5;
1302;Female;Location: public road;2010;2;
1303;Female;Location: public road;2011;1;
1304;Female;Location: public road;2012;3;
1305;Female;Location: public road;2013;5;
1306;Female;Location: public road;2014;5;
1307;Female;Location: public road;2015;3;
1308;Female;Location: public road;2016;4;
1309;Female;Location: public road;2017;3;
1310;Female;Location: public road;2018;1;
1311;Female;Location: public road;2019;5;
1312;Female;Location: public road;2020;0;
1313;Female;Location: public road;2021;3;
1314;Female;Location: public road;2022;2;
1315;Female;Location: public road;2023;3;
1316;Female;Location: other or unknown location;1996;28;
1317;Female;Location: other or unknown location;1997;28;
1318;Female;Location: other or unknown location;1998;24;
1319;Female;Location: other or unknown location;1999;24;
1320;Female;Location: other or unknown location;2000;18;
1321;Female;Location: other or unknown location;2001;13;
1322;Female;Location: other or unknown location;2002;11;
1323;Female;Location: other or unknown location;2003;22;
1324;Female;Location: other or unknown location;2004;9;
1325;Female;Location: other or unknown location;2005;8;
1326;Female;Location: other or unknown location;2006;12;
1327;Female;Location: other or unknown location;2007;5;
1328;Female;Location: other or unknown location;2008;2;
1329;Female;Location: other or unknown location;2009;6;
1330;Female;Location: other or unknown location;2010;2;
1331;Female;Location: other or unknown location;2011;3;
1332;Female;Location: other or unknown location;2012;5;
1333;Female;Location: other or unknown location;2013;2;
1334;Female;Location: other or unknown location;2014;1;
1335;Female;Location: other or unknown location;2015;5;
1336;Female;Location: other or unknown location;2016;4;
1337;Female;Location: other or unknown location;2017;9;
1338;Female;Location: other or unknown location;2018;1;
1339;Female;Location: other or unknown location;2019;5;
1340;Female;Location: other or unknown location;2020;2;
1341;Female;Location: other or unknown location;2021;4;
1342;Female;Location: other or unknown location;2022;7;
1343;Female;Location: other or unknown location;2023;6;
