ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;BrutoLonenEnSalarissen_6;TotaleBedrijfsopbrengsten_7;TotaleNettoOmzet_8;Hoofdactiviteit_9;Nevenactiviteiten_10;Buitenland_11;Binnenland_12;OverigeBedrijfsopbrengsten_13;TotaleBedrijfslasten_14;InkoopwaardeOmzet_15;Arbeidskosten_16;AfschrijvingenOpVasteActiva_17;TotaleOverigeBedrijfslasten_18;Verkoopkosten_19;Communicatiekosten_20;KostenEnergieverbruik_21;KostenVanDienstverleningDoorDerden_22;OverigePersoneelskosten_23;KostenVervoermiddelen_24;Huisvestingskosten_25;KostenInventaris_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38
51;5139 Groothand.voedingsmiddelen alg ass.;2003;1130;18.7;15.9;17.5;14.8;460.0;12198.0;11947.0;11753.0;194.0;973.0;10974.0;251.0;11775.0;10504.0;566.0;114.0;591.0;117.0;16.0;18.0;80.0;95.0;69.0;83.0;24.0;89.0;423.0;-34.0;18.0;53.0;-44.0;10.0;54.0;20.0;60.0;41.0;364.0
52;5139 Groothand.voedingsmiddelen alg ass.;2004;1195;20.9;16.9;19.5;15.7;488.0;13374.0;13102.0;12830.0;272.0;874.0;12228.0;272.0;12921.0;11446.0;604.0;115.0;756.0;96.0;20.0;28.0;173.0;106.0;81.0;89.0;30.0;132.0;453.0;-29.0;25.0;54.0;5.0;32.0;28.0;-26.0;42.0;69.0;403.0
53;5139 Groothand.voedingsmiddelen alg ass.;2005;1215;20.1;16.3;18.4;15.0;479.0;13485.0;13193.0;13094.0;99.0;1091.0;12102.0;292.0;12997.0;11476.0;590.0;139.0;792.0;108.0;18.0;23.0;165.0;107.0;90.0;113.0;27.0;143.0;488.0;-30.0;27.0;57.0;-16.0;16.0;32.0;-34.0;28.0;63.0;408.0
54;5132a Gh in rest voedings+genotmiddelen;2000;4170;46.0;40.5;38.6;33.8;945.0;23748.0;23547.0;23443.0;104.0;6443.0;17104.0;201.0;23034.0;20035.0;1135.0;216.0;1648.0;507.0;35.0;45.0;175.0;203.0;186.0;157.0;61.0;279.0;714.0;-110.0;75.0;187.0;-20.0;14.0;32.0;-121.0;38.0;160.0;465.0
55;5132a Gh in rest voedings+genotmiddelen;2001;4210;46.0;40.5;38.1;33.3;953.0;25318.0;25166.0;24972.0;194.0;6824.0;18342.0;152.0;24278.0;21144.0;1150.0;262.0;1722.0;608.0;34.0;45.0;142.0;231.0;176.0;167.0;59.0;256.0;1042.0;-86.0;127.0;215.0;-15.0;14.0;31.0;67.0;117.0;52.0;1006.0
56;5132a Gh in rest voedings+genotmiddelen;2002;4235;43.7;38.4;36.9;31.9;975.0;26025.0;25854.0;25694.0;160.0;7828.0;18026.0;171.0;24660.0;20807.0;1176.0;476.0;2201.0;787.0;37.0;45.0;202.0;231.0;175.0;180.0;75.0;471.0;1362.0;-36.0;152.0;186.0;-5.0;18.0;23.0;-700.0;99.0;800.0;621.0
57;5132a Gh in rest voedings+genotmiddelen;2003;4275;44.5;39.3;37.1;32.8;1034.0;26568.0;26369.0;26124.0;245.0;7527.0;18842.0;199.0;25586.0;21191.0;1264.0;851.0;2280.0;896.0;42.0;47.0;272.0;233.0;173.0;195.0;70.0;354.0;984.0;-135.0;66.0;203.0;-5.0;10.0;15.0;-4.0;27.0;31.0;840.0
58;5132a Gh in rest voedings+genotmiddelen;2004;4350;41.8;36.4;35.3;30.5;1027.0;28298.0;28142.0;27876.0;266.0;8417.0;19725.0;156.0;26952.0;23022.0;1261.0;462.0;2207.0;756.0;56.0;46.0;347.0;234.0;189.0;200.0;71.0;307.0;1346.0;-71.0;194.0;268.0;-20.0;9.0;28.0;-155.0;47.0;202.0;1100.0
59;5132a Gh in rest voedings+genotmiddelen;2005;4380;43.6;37.7;37.2;32.0;1072.0;30100.0;29936.0;29467.0;469.0;9288.0;20648.0;164.0;28492.0;24430.0;1321.0;486.0;2255.0;685.0;46.0;58.0;384.0;249.0;203.0;211.0;80.0;336.0;1610.0;-35.0;225.0;267.0;-7.0;12.0;20.0;-75.0;73.0;148.0;1487.0
60;514 Groothand.in ov.consumentenartikelen;2000;15165;116.8;104.9;98.5;88.2;2687.0;47803.0;47255.0;46928.0;327.0;14904.0;32351.0;548.0;45473.0;35112.0;3239.0;512.0;6610.0;2442.0;158.0;64.0;514.0;441.0;355.0;494.0;117.0;2024.0;2330.0;21.0;716.0;696.0;-41.0;50.0;91.0;127.0;239.0;112.0;2436.0
61;514 Groothand.in ov.consumentenartikelen;2001;15020;117.6;105.3;98.0;86.9;2737.0;50229.0;49829.0;49155.0;674.0;16985.0;32844.0;400.0;47704.0;37315.0;3303.0;506.0;6580.0;2404.0;164.0;67.0;474.0;444.0;368.0;520.0;114.0;2024.0;2525.0;-240.0;316.0;556.0;-31.0;60.0;91.0;-113.0;107.0;220.0;2141.0
62;514 Groothand.in ov.consumentenartikelen;2002;15285;115.3;102.4;99.9;88.1;3028.0;53743.0;53292.0;52768.0;524.0;16976.0;36316.0;451.0;50958.0;39271.0;3689.0;530.0;7468.0;2612.0;172.0;66.0;699.0;494.0;413.0;562.0;124.0;2325.0;2785.0;-139.0;512.0;651.0;-60.0;52.0;113.0;13.0;166.0;153.0;2599.0
63;514 Groothand.in ov.consumentenartikelen;2003;15175;110.4;97.3;96.3;84.6;3029.0;57851.0;57360.0;56824.0;536.0;21748.0;35612.0;491.0;54825.0;43212.0;3694.0;527.0;7392.0;2826.0;176.0;70.0;763.0;450.0;390.0;656.0;121.0;1939.0;3026.0;-286.0;594.0;880.0;-31.0;56.0;88.0;70.0;183.0;113.0;2778.0
