ID;BuildingPhases;Aspects;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;Agriculture_5;ManufacturingAndConstructionIndustry_6;TradeHotelsAndRestaurants_7;TransportStorageAndCommunication_8;ProvisionOfBusinessServices_9;GovernmentAndPublicAdministration_10;Education_11;HealthAndSocialWork_12;OtherServiceActivities_13
3998;Orders received by contractors;Shops;2010 1st quarter;30.0;;;;;;;;;;;;
3999;Orders received by contractors;Shops;2010 April;8.0;;;;;;;;;;;;
4000;Orders received by contractors;Shops;2010 May;10.0;;;;;;;;;;;;
4001;Orders received by contractors;Shops;2010 June;12.0;;;;;;;;;;;;
4002;Orders received by contractors;Shops;2010 2nd quarter;30.0;;;;;;;;;;;;
4003;Orders received by contractors;Shops;2010 July;15.0;;;;;;;;;;;;
4004;Orders received by contractors;Shops;2010 August;22.0;;;;;;;;;;;;
4005;Orders received by contractors;Shops;2010 September;22.0;;;;;;;;;;;;
4006;Orders received by contractors;Shops;2010 3rd quarter;60.0;;;;;;;;;;;;
4007;Orders received by contractors;Shops;2010 October;8.0;;;;;;;;;;;;
4008;Orders received by contractors;Shops;2010 November;17.0;;;;;;;;;;;;
4009;Orders received by contractors;Shops;2010 December;43.0;;;;;;;;;;;;
4010;Orders received by contractors;Shops;2010 4th quarter;69.0;;;;;;;;;;;;
4011;Orders received by contractors;Shops;2010;189.0;;;;;;;;;;;;
4012;Orders received by contractors;Shops;2011 January;7.0;;;;;;;;;;;;
4013;Orders received by contractors;Shops;2011 February;8.0;;;;;;;;;;;;
4014;Orders received by contractors;Shops;2011 March;9.0;;;;;;;;;;;;
4015;Orders received by contractors;Shops;2011 1st quarter;24.0;;;;;;;;;;;;
4016;Orders received by contractors;Shops;2011 April;24.0;;;;;;;;;;;;
4017;Orders received by contractors;Shops;2011 May;8.0;;;;;;;;;;;;
4018;Orders received by contractors;Shops;2011 June;22.0;;;;;;;;;;;;
4019;Orders received by contractors;Shops;2011 2nd quarter;55.0;;;;;;;;;;;;
4020;Orders received by contractors;Shops;2011 July;37.0;;;;;;;;;;;;
4021;Orders received by contractors;Shops;2011 August;7.0;;;;;;;;;;;;
4022;Orders received by contractors;Shops;2011 September;16.0;;;;;;;;;;;;
4023;Orders received by contractors;Shops;2011 3rd quarter;60.0;;;;;;;;;;;;
4024;Orders received by contractors;Shops;2011 October;27.0;;;;;;;;;;;;
4025;Orders received by contractors;Shops;2011 November;14.0;;;;;;;;;;;;
4026;Orders received by contractors;Shops;2011 December;34.0;;;;;;;;;;;;
4027;Orders received by contractors;Shops;2011 4th quarter;76.0;;;;;;;;;;;;
4028;Orders received by contractors;Shops;2011;215.0;;;;;;;;;;;;
4029;Orders received by contractors;Shops;2012 January;16.0;;;;;;;;;;;;
4030;Orders received by contractors;Shops;2012 February;7.0;;;;;;;;;;;;
4031;Orders received by contractors;Shops;2012 March;10.0;;;;;;;;;;;;
4032;Orders received by contractors;Shops;2012 1st quarter;33.0;;;;;;;;;;;;
4033;Orders received by contractors;Shops;2012 April;16.0;;;;;;;;;;;;
4034;Orders received by contractors;Shops;2012 May;23.0;;;;;;;;;;;;
4035;Orders received by contractors;Shops;2012 June;13.0;;;;;;;;;;;;
4036;Orders received by contractors;Shops;2012 2nd quarter;53.0;;;;;;;;;;;;
4037;Orders received by contractors;Shops;2012 July;13.0;;;;;;;;;;;;
4038;Orders received by contractors;Shops;2012 August;30.0;;;;;;;;;;;;
4039;Orders received by contractors;Shops;2012 September;11.0;;;;;;;;;;;;
4040;Orders received by contractors;Shops;2012 3rd quarter;53.0;;;;;;;;;;;;
4041;Orders received by contractors;Shops;2012 October;14.0;;;;;;;;;;;;
4042;Orders received by contractors;Shops;2012 November;15.0;;;;;;;;;;;;
4043;Orders received by contractors;Shops;2012 December;7.0;;;;;;;;;;;;
4044;Orders received by contractors;Shops;2012 4th quarter;36.0;;;;;;;;;;;;
4045;Orders received by contractors;Shops;2012;174.0;;;;;;;;;;;;
4046;Orders received by contractors;Shops;2013 January;19.0;;;;;;;;;;;;
4047;Orders received by contractors;Shops;2013 February;9.0;;;;;;;;;;;;
4048;Orders received by contractors;Shops;2013 March;21.0;;;;;;;;;;;;
4049;Orders received by contractors;Shops;2013 1st quarter;50.0;;;;;;;;;;;;
4050;Orders received by contractors;Shops;2013 April;18.0;;;;;;;;;;;;
4051;Orders received by contractors;Shops;2013 May;17.0;;;;;;;;;;;;
4052;Orders received by contractors;Shops;2013 June;19.0;;;;;;;;;;;;
4053;Orders received by contractors;Shops;2013 2nd quarter;54.0;;;;;;;;;;;;
4054;Orders received by contractors;Shops;2013 July;22.0;;;;;;;;;;;;
4055;Orders received by contractors;Shops;2013 August;10.0;;;;;;;;;;;;
4056;Orders received by contractors;Shops;2013 September;29.0;;;;;;;;;;;;
4057;Orders received by contractors;Shops;2013 3rd quarter;61.0;;;;;;;;;;;;
4058;Orders received by contractors;Shops;2013 October;15.0;;;;;;;;;;;;
4059;Orders received by contractors;Shops;2013 November;21.0;;;;;;;;;;;;
4060;Orders received by contractors;Shops;2013 December;21.0;;;;;;;;;;;;
4061;Orders received by contractors;Shops;2013 4th quarter;56.0;;;;;;;;;;;;
4062;Orders received by contractors;Shops;2013;221.0;;;;;;;;;;;;
4063;Orders received by contractors;Shops;2014 January;26.0;;;;;;;;;;;;
4064;Orders received by contractors;Shops;2014 February;37.0;;;;;;;;;;;;
4065;Orders received by contractors;Shops;2014 March;37.0;;;;;;;;;;;;
4066;Orders received by contractors;Shops;2014 1st quarter;100.0;;;;;;;;;;;;
4067;Orders received by contractors;Shops;2014 April;20.0;;;;;;;;;;;;
4068;Orders received by contractors;Shops;2014 May;9.0;;;;;;;;;;;;
4069;Orders received by contractors;Shops;2014 June;26.0;;;;;;;;;;;;
4070;Orders received by contractors;Shops;2014 2nd quarter;56.0;;;;;;;;;;;;
4071;Orders received by contractors;Shops;2014 July;19.0;;;;;;;;;;;;
4072;Orders received by contractors;Shops;2014 August;10.0;;;;;;;;;;;;
4073;Orders received by contractors;Shops;2014 September;16.0;;;;;;;;;;;;
4074;Orders received by contractors;Shops;2014 3rd quarter;46.0;;;;;;;;;;;;
4075;Orders received by contractors;Shops;2014 October;15.0;;;;;;;;;;;;
4076;Orders received by contractors;Shops;2014 November;17.0;;;;;;;;;;;;
4077;Orders received by contractors;Shops;2014 December;57.0;;;;;;;;;;;;
4078;Orders received by contractors;Shops;2014 4th quarter;89.0;;;;;;;;;;;;
4079;Orders received by contractors;Shops;2014;291.0;;;;;;;;;;;;
4080;Orders received by contractors;Shops;2015 January;43.0;;;;;;;;;;;;
4081;Orders received by contractors;Shops;2015 February;13.0;;;;;;;;;;;;
4082;Orders received by contractors;Shops;2015 March;10.0;;;;;;;;;;;;
4083;Orders received by contractors;Shops;2015 1st quarter;65.0;;;;;;;;;;;;
4084;Orders received by contractors;Shops;2015 April;17.0;;;;;;;;;;;;
4085;Orders received by contractors;Shops;2015 May;11.0;;;;;;;;;;;;
4086;Orders received by contractors;Shops;2015 June;12.0;;;;;;;;;;;;
4087;Orders received by contractors;Shops;2015 2nd quarter;41.0;;;;;;;;;;;;
4088;Orders received by contractors;Shops;2015 July;15.0;;;;;;;;;;;;
4089;Orders received by contractors;Shops;2015 August;19.0;;;;;;;;;;;;
4090;Orders received by contractors;Shops;2015 September;20.0;;;;;;;;;;;;
4091;Orders received by contractors;Shops;2015 3rd quarter;54.0;;;;;;;;;;;;
4092;Orders received by contractors;Shops;2015 October;11.0;;;;;;;;;;;;
4093;Orders received by contractors;Shops;2015 November;22.0;;;;;;;;;;;;
4094;Orders received by contractors;Shops;2015 December;49.0;;;;;;;;;;;;
4095;Orders received by contractors;Shops;2015 4th quarter;82.0;;;;;;;;;;;;
4096;Orders received by contractors;Shops;2015;242.0;;;;;;;;;;;;
4097;Orders received by contractors;Shops;2016 January;10.0;;;;;;;;;;;;
4098;Orders received by contractors;Shops;2016 February;24.0;;;;;;;;;;;;
4099;Orders received by contractors;Shops;2016 March;15.0;;;;;;;;;;;;
4100;Orders received by contractors;Shops;2016 1st quarter;49.0;;;;;;;;;;;;
4101;Orders received by contractors;Shops;2016 April;24.0;;;;;;;;;;;;
4102;Orders received by contractors;Shops;2016 May;13.0;;;;;;;;;;;;
4103;Orders received by contractors;Shops;2016 June;22.0;;;;;;;;;;;;
4104;Orders received by contractors;Shops;2016 2nd quarter;58.0;;;;;;;;;;;;
4105;Orders received by contractors;Shops;2016 July;13.0;;;;;;;;;;;;
4106;Orders received by contractors;Shops;2016 August;18.0;;;;;;;;;;;;
4107;Orders received by contractors;Shops;2016 September;12.0;;;;;;;;;;;;
4108;Orders received by contractors;Shops;2016 3rd quarter;43.0;;;;;;;;;;;;
4109;Orders received by contractors;Shops;2016 October;22.0;;;;;;;;;;;;
4110;Orders received by contractors;Shops;2016 November;31.0;;;;;;;;;;;;
4111;Orders received by contractors;Shops;2016 December;20.0;;;;;;;;;;;;
4112;Orders received by contractors;Shops;2016 4th quarter;74.0;;;;;;;;;;;;
4113;Orders received by contractors;Shops;2016;224.0;;;;;;;;;;;;
4114;Orders received by contractors;Schools;1995 January;;;;;;;;;;;;;
4115;Orders received by contractors;Schools;1995 February;;;;;;;;;;;;;
4116;Orders received by contractors;Schools;1995 March;;;;;;;;;;;;;
4117;Orders received by contractors;Schools;1995 1st quarter;;;;;;;;;;;;;
4118;Orders received by contractors;Schools;1995 April;;;;;;;;;;;;;
4119;Orders received by contractors;Schools;1995 May;;;;;;;;;;;;;
4120;Orders received by contractors;Schools;1995 June;;;;;;;;;;;;;
4121;Orders received by contractors;Schools;1995 2nd quarter;;;;;;;;;;;;;
4122;Orders received by contractors;Schools;1995 July;;;;;;;;;;;;;
4123;Orders received by contractors;Schools;1995 August;;;;;;;;;;;;;
4124;Orders received by contractors;Schools;1995 September;;;;;;;;;;;;;
4125;Orders received by contractors;Schools;1995 3rd quarter;;;;;;;;;;;;;
4126;Orders received by contractors;Schools;1995 October;;;;;;;;;;;;;
4127;Orders received by contractors;Schools;1995 November;;;;;;;;;;;;;
4128;Orders received by contractors;Schools;1995 December;;;;;;;;;;;;;
4129;Orders received by contractors;Schools;1995 4th quarter;;;;;;;;;;;;;
4130;Orders received by contractors;Schools;1995;;;;;;;;;;;;;
4131;Orders received by contractors;Schools;1996 January;;;;;;;;;;;;;
4132;Orders received by contractors;Schools;1996 February;;;;;;;;;;;;;
4133;Orders received by contractors;Schools;1996 March;;;;;;;;;;;;;
4134;Orders received by contractors;Schools;1996 1st quarter;;;;;;;;;;;;;
4135;Orders received by contractors;Schools;1996 April;;;;;;;;;;;;;
4136;Orders received by contractors;Schools;1996 May;;;;;;;;;;;;;
4137;Orders received by contractors;Schools;1996 June;;;;;;;;;;;;;
4138;Orders received by contractors;Schools;1996 2nd quarter;;;;;;;;;;;;;
4139;Orders received by contractors;Schools;1996 July;;;;;;;;;;;;;
4140;Orders received by contractors;Schools;1996 August;;;;;;;;;;;;;
4141;Orders received by contractors;Schools;1996 September;;;;;;;;;;;;;
4142;Orders received by contractors;Schools;1996 3rd quarter;;;;;;;;;;;;;
4143;Orders received by contractors;Schools;1996 October;;;;;;;;;;;;;
4144;Orders received by contractors;Schools;1996 November;;;;;;;;;;;;;
4145;Orders received by contractors;Schools;1996 December;;;;;;;;;;;;;
4146;Orders received by contractors;Schools;1996 4th quarter;;;;;;;;;;;;;
4147;Orders received by contractors;Schools;1996;;;;;;;;;;;;;
4148;Orders received by contractors;Schools;1997 January;;;;;;;;;;;;;
4149;Orders received by contractors;Schools;1997 February;;;;;;;;;;;;;
4150;Orders received by contractors;Schools;1997 March;;;;;;;;;;;;;
4151;Orders received by contractors;Schools;1997 1st quarter;;;;;;;;;;;;;
4152;Orders received by contractors;Schools;1997 April;;;;;;;;;;;;;
4153;Orders received by contractors;Schools;1997 May;;;;;;;;;;;;;
4154;Orders received by contractors;Schools;1997 June;;;;;;;;;;;;;
4155;Orders received by contractors;Schools;1997 2nd quarter;;;;;;;;;;;;;
4156;Orders received by contractors;Schools;1997 July;;;;;;;;;;;;;
4157;Orders received by contractors;Schools;1997 August;;;;;;;;;;;;;
4158;Orders received by contractors;Schools;1997 September;;;;;;;;;;;;;
4159;Orders received by contractors;Schools;1997 3rd quarter;;;;;;;;;;;;;
4160;Orders received by contractors;Schools;1997 October;;;;;;;;;;;;;
4161;Orders received by contractors;Schools;1997 November;;;;;;;;;;;;;
4162;Orders received by contractors;Schools;1997 December;;;;;;;;;;;;;
4163;Orders received by contractors;Schools;1997 4th quarter;;;;;;;;;;;;;
4164;Orders received by contractors;Schools;1997;;;;;;;;;;;;;
4165;Orders received by contractors;Schools;1998 January;;;;;;;;;;;;;
4166;Orders received by contractors;Schools;1998 February;;;;;;;;;;;;;
4167;Orders received by contractors;Schools;1998 March;;;;;;;;;;;;;
4168;Orders received by contractors;Schools;1998 1st quarter;;;;;;;;;;;;;
4169;Orders received by contractors;Schools;1998 April;;;;;;;;;;;;;
4170;Orders received by contractors;Schools;1998 May;;;;;;;;;;;;;
4171;Orders received by contractors;Schools;1998 June;;;;;;;;;;;;;
4172;Orders received by contractors;Schools;1998 2nd quarter;;;;;;;;;;;;;
4173;Orders received by contractors;Schools;1998 July;;;;;;;;;;;;;
4174;Orders received by contractors;Schools;1998 August;;;;;;;;;;;;;
4175;Orders received by contractors;Schools;1998 September;;;;;;;;;;;;;
4176;Orders received by contractors;Schools;1998 3rd quarter;;;;;;;;;;;;;
4177;Orders received by contractors;Schools;1998 October;;;;;;;;;;;;;
4178;Orders received by contractors;Schools;1998 November;;;;;;;;;;;;;
4179;Orders received by contractors;Schools;1998 December;;;;;;;;;;;;;
4180;Orders received by contractors;Schools;1998 4th quarter;;;;;;;;;;;;;
4181;Orders received by contractors;Schools;1998;;;;;;;;;;;;;
4182;Orders received by contractors;Schools;1999 January;;;;;;;;;;;;;
4183;Orders received by contractors;Schools;1999 February;;;;;;;;;;;;;
4184;Orders received by contractors;Schools;1999 March;;;;;;;;;;;;;
4185;Orders received by contractors;Schools;1999 1st quarter;;;;;;;;;;;;;
4186;Orders received by contractors;Schools;1999 April;;;;;;;;;;;;;
4187;Orders received by contractors;Schools;1999 May;;;;;;;;;;;;;
4188;Orders received by contractors;Schools;1999 June;;;;;;;;;;;;;
4189;Orders received by contractors;Schools;1999 2nd quarter;;;;;;;;;;;;;
4190;Orders received by contractors;Schools;1999 July;;;;;;;;;;;;;
4191;Orders received by contractors;Schools;1999 August;;;;;;;;;;;;;
4192;Orders received by contractors;Schools;1999 September;;;;;;;;;;;;;
4193;Orders received by contractors;Schools;1999 3rd quarter;;;;;;;;;;;;;
4194;Orders received by contractors;Schools;1999 October;;;;;;;;;;;;;
4195;Orders received by contractors;Schools;1999 November;;;;;;;;;;;;;
4196;Orders received by contractors;Schools;1999 December;;;;;;;;;;;;;
4197;Orders received by contractors;Schools;1999 4th quarter;;;;;;;;;;;;;
4198;Orders received by contractors;Schools;1999;;;;;;;;;;;;;
4199;Orders received by contractors;Schools;2000 January;17.0;;;;;;;;;;;;
4200;Orders received by contractors;Schools;2000 February;51.0;;;;;;;;;;;;
4201;Orders received by contractors;Schools;2000 March;31.0;;;;;;;;;;;;
4202;Orders received by contractors;Schools;2000 1st quarter;98.0;;;;;;;;;;;;
4203;Orders received by contractors;Schools;2000 April;26.0;;;;;;;;;;;;
4204;Orders received by contractors;Schools;2000 May;48.0;;;;;;;;;;;;
4205;Orders received by contractors;Schools;2000 June;37.0;;;;;;;;;;;;
4206;Orders received by contractors;Schools;2000 2nd quarter;111.0;;;;;;;;;;;;
4207;Orders received by contractors;Schools;2000 July;44.0;;;;;;;;;;;;
4208;Orders received by contractors;Schools;2000 August;67.0;;;;;;;;;;;;
4209;Orders received by contractors;Schools;2000 September;59.0;;;;;;;;;;;;
4210;Orders received by contractors;Schools;2000 3rd quarter;171.0;;;;;;;;;;;;
4211;Orders received by contractors;Schools;2000 October;31.0;;;;;;;;;;;;
4212;Orders received by contractors;Schools;2000 November;82.0;;;;;;;;;;;;
4213;Orders received by contractors;Schools;2000 December;39.0;;;;;;;;;;;;
4214;Orders received by contractors;Schools;2000 4th quarter;153.0;;;;;;;;;;;;
4215;Orders received by contractors;Schools;2000;533.0;;;;;;;;;;;;
4216;Orders received by contractors;Schools;2001 January;17.0;;;;;;;;;;;;
4217;Orders received by contractors;Schools;2001 February;49.0;;;;;;;;;;;;
4218;Orders received by contractors;Schools;2001 March;46.0;;;;;;;;;;;;
4219;Orders received by contractors;Schools;2001 1st quarter;112.0;;;;;;;;;;;;
4220;Orders received by contractors;Schools;2001 April;35.0;;;;;;;;;;;;
4221;Orders received by contractors;Schools;2001 May;41.0;;;;;;;;;;;;
4222;Orders received by contractors;Schools;2001 June;33.0;;;;;;;;;;;;
4223;Orders received by contractors;Schools;2001 2nd quarter;109.0;;;;;;;;;;;;
4224;Orders received by contractors;Schools;2001 July;68.0;;;;;;;;;;;;
4225;Orders received by contractors;Schools;2001 August;46.0;;;;;;;;;;;;
4226;Orders received by contractors;Schools;2001 September;38.0;;;;;;;;;;;;
4227;Orders received by contractors;Schools;2001 3rd quarter;151.0;;;;;;;;;;;;
4228;Orders received by contractors;Schools;2001 October;64.0;;;;;;;;;;;;
4229;Orders received by contractors;Schools;2001 November;51.0;;;;;;;;;;;;
4230;Orders received by contractors;Schools;2001 December;63.0;;;;;;;;;;;;
4231;Orders received by contractors;Schools;2001 4th quarter;178.0;;;;;;;;;;;;
4232;Orders received by contractors;Schools;2001;551.0;;;;;;;;;;;;
4233;Orders received by contractors;Schools;2002 January;36.0;;;;;;;;;;;;
4234;Orders received by contractors;Schools;2002 February;52.0;;;;;;;;;;;;
4235;Orders received by contractors;Schools;2002 March;75.0;;;;;;;;;;;;
4236;Orders received by contractors;Schools;2002 1st quarter;162.0;;;;;;;;;;;;
4237;Orders received by contractors;Schools;2002 April;80.0;;;;;;;;;;;;
4238;Orders received by contractors;Schools;2002 May;42.0;;;;;;;;;;;;
4239;Orders received by contractors;Schools;2002 June;58.0;;;;;;;;;;;;
4240;Orders received by contractors;Schools;2002 2nd quarter;180.0;;;;;;;;;;;;
4241;Orders received by contractors;Schools;2002 July;63.0;;;;;;;;;;;;
4242;Orders received by contractors;Schools;2002 August;93.0;;;;;;;;;;;;
4243;Orders received by contractors;Schools;2002 September;75.0;;;;;;;;;;;;
4244;Orders received by contractors;Schools;2002 3rd quarter;231.0;;;;;;;;;;;;
4245;Orders received by contractors;Schools;2002 October;70.0;;;;;;;;;;;;
4246;Orders received by contractors;Schools;2002 November;82.0;;;;;;;;;;;;
4247;Orders received by contractors;Schools;2002 December;56.0;;;;;;;;;;;;
4248;Orders received by contractors;Schools;2002 4th quarter;208.0;;;;;;;;;;;;
4249;Orders received by contractors;Schools;2002;782.0;;;;;;;;;;;;
4250;Orders received by contractors;Schools;2003 January;60.0;;;;;;;;;;;;
4251;Orders received by contractors;Schools;2003 February;52.0;;;;;;;;;;;;
4252;Orders received by contractors;Schools;2003 March;49.0;;;;;;;;;;;;
4253;Orders received by contractors;Schools;2003 1st quarter;161.0;;;;;;;;;;;;
4254;Orders received by contractors;Schools;2003 April;32.0;;;;;;;;;;;;
4255;Orders received by contractors;Schools;2003 May;36.0;;;;;;;;;;;;
4256;Orders received by contractors;Schools;2003 June;46.0;;;;;;;;;;;;
4257;Orders received by contractors;Schools;2003 2nd quarter;114.0;;;;;;;;;;;;
4258;Orders received by contractors;Schools;2003 July;47.0;;;;;;;;;;;;
4259;Orders received by contractors;Schools;2003 August;49.0;;;;;;;;;;;;
4260;Orders received by contractors;Schools;2003 September;43.0;;;;;;;;;;;;
4261;Orders received by contractors;Schools;2003 3rd quarter;139.0;;;;;;;;;;;;
4262;Orders received by contractors;Schools;2003 October;70.0;;;;;;;;;;;;
4263;Orders received by contractors;Schools;2003 November;49.0;;;;;;;;;;;;
4264;Orders received by contractors;Schools;2003 December;137.0;;;;;;;;;;;;
4265;Orders received by contractors;Schools;2003 4th quarter;257.0;;;;;;;;;;;;
4266;Orders received by contractors;Schools;2003;671.0;;;;;;;;;;;;
4267;Orders received by contractors;Schools;2004 January;63.0;;;;;;;;;;;;
4268;Orders received by contractors;Schools;2004 February;82.0;;;;;;;;;;;;
4269;Orders received by contractors;Schools;2004 March;32.0;;;;;;;;;;;;
4270;Orders received by contractors;Schools;2004 1st quarter;177.0;;;;;;;;;;;;
4271;Orders received by contractors;Schools;2004 April;37.0;;;;;;;;;;;;
4272;Orders received by contractors;Schools;2004 May;77.0;;;;;;;;;;;;
4273;Orders received by contractors;Schools;2004 June;92.0;;;;;;;;;;;;
4274;Orders received by contractors;Schools;2004 2nd quarter;206.0;;;;;;;;;;;;
4275;Orders received by contractors;Schools;2004 July;48.0;;;;;;;;;;;;
4276;Orders received by contractors;Schools;2004 August;67.0;;;;;;;;;;;;
4277;Orders received by contractors;Schools;2004 September;70.0;;;;;;;;;;;;
4278;Orders received by contractors;Schools;2004 3rd quarter;184.0;;;;;;;;;;;;
4279;Orders received by contractors;Schools;2004 October;80.0;;;;;;;;;;;;
4280;Orders received by contractors;Schools;2004 November;128.0;;;;;;;;;;;;
4281;Orders received by contractors;Schools;2004 December;104.0;;;;;;;;;;;;
4282;Orders received by contractors;Schools;2004 4th quarter;312.0;;;;;;;;;;;;
4283;Orders received by contractors;Schools;2004;879.0;;;;;;;;;;;;
4284;Orders received by contractors;Schools;2005 January;64.0;;;;;;;;;;;;
4285;Orders received by contractors;Schools;2005 February;61.0;;;;;;;;;;;;
4286;Orders received by contractors;Schools;2005 March;83.0;;;;;;;;;;;;
4287;Orders received by contractors;Schools;2005 1st quarter;207.0;;;;;;;;;;;;
4288;Orders received by contractors;Schools;2005 April;56.0;;;;;;;;;;;;
4289;Orders received by contractors;Schools;2005 May;77.0;;;;;;;;;;;;
4290;Orders received by contractors;Schools;2005 June;58.0;;;;;;;;;;;;
4291;Orders received by contractors;Schools;2005 2nd quarter;191.0;;;;;;;;;;;;
4292;Orders received by contractors;Schools;2005 July;39.0;;;;;;;;;;;;
4293;Orders received by contractors;Schools;2005 August;29.0;;;;;;;;;;;;
4294;Orders received by contractors;Schools;2005 September;60.0;;;;;;;;;;;;
4295;Orders received by contractors;Schools;2005 3rd quarter;128.0;;;;;;;;;;;;
4296;Orders received by contractors;Schools;2005 October;140.0;;;;;;;;;;;;
4297;Orders received by contractors;Schools;2005 November;141.0;;;;;;;;;;;;
4298;Orders received by contractors;Schools;2005 December;86.0;;;;;;;;;;;;
4299;Orders received by contractors;Schools;2005 4th quarter;367.0;;;;;;;;;;;;
4300;Orders received by contractors;Schools;2005;894.0;;;;;;;;;;;;
4301;Orders received by contractors;Schools;2006 January;57.0;;;;;;;;;;;;
4302;Orders received by contractors;Schools;2006 February;92.0;;;;;;;;;;;;
4303;Orders received by contractors;Schools;2006 March;106.0;;;;;;;;;;;;
4304;Orders received by contractors;Schools;2006 1st quarter;255.0;;;;;;;;;;;;
4305;Orders received by contractors;Schools;2006 April;63.0;;;;;;;;;;;;
4306;Orders received by contractors;Schools;2006 May;35.0;;;;;;;;;;;;
4307;Orders received by contractors;Schools;2006 June;55.0;;;;;;;;;;;;
4308;Orders received by contractors;Schools;2006 2nd quarter;153.0;;;;;;;;;;;;
4309;Orders received by contractors;Schools;2006 July;65.0;;;;;;;;;;;;
4310;Orders received by contractors;Schools;2006 August;130.0;;;;;;;;;;;;
4311;Orders received by contractors;Schools;2006 September;93.0;;;;;;;;;;;;
4312;Orders received by contractors;Schools;2006 3rd quarter;288.0;;;;;;;;;;;;
4313;Orders received by contractors;Schools;2006 October;57.0;;;;;;;;;;;;
4314;Orders received by contractors;Schools;2006 November;114.0;;;;;;;;;;;;
4315;Orders received by contractors;Schools;2006 December;90.0;;;;;;;;;;;;
4316;Orders received by contractors;Schools;2006 4th quarter;260.0;;;;;;;;;;;;
4317;Orders received by contractors;Schools;2006;956.0;;;;;;;;;;;;
4318;Orders received by contractors;Schools;2007 January;115.0;;;;;;;;;;;;
4319;Orders received by contractors;Schools;2007 February;19.0;;;;;;;;;;;;
4320;Orders received by contractors;Schools;2007 March;72.0;;;;;;;;;;;;
4321;Orders received by contractors;Schools;2007 1st quarter;206.0;;;;;;;;;;;;
4322;Orders received by contractors;Schools;2007 April;64.0;;;;;;;;;;;;
4323;Orders received by contractors;Schools;2007 May;96.0;;;;;;;;;;;;
4324;Orders received by contractors;Schools;2007 June;79.0;;;;;;;;;;;;
4325;Orders received by contractors;Schools;2007 2nd quarter;239.0;;;;;;;;;;;;
4326;Orders received by contractors;Schools;2007 July;43.0;;;;;;;;;;;;
4327;Orders received by contractors;Schools;2007 August;68.0;;;;;;;;;;;;
4328;Orders received by contractors;Schools;2007 September;109.0;;;;;;;;;;;;
4329;Orders received by contractors;Schools;2007 3rd quarter;220.0;;;;;;;;;;;;
4330;Orders received by contractors;Schools;2007 October;75.0;;;;;;;;;;;;
4331;Orders received by contractors;Schools;2007 November;107.0;;;;;;;;;;;;
4332;Orders received by contractors;Schools;2007 December;58.0;;;;;;;;;;;;
4333;Orders received by contractors;Schools;2007 4th quarter;240.0;;;;;;;;;;;;
4334;Orders received by contractors;Schools;2007;906.0;;;;;;;;;;;;
4335;Orders received by contractors;Schools;2008 January;100.0;;;;;;;;;;;;
4336;Orders received by contractors;Schools;2008 February;47.0;;;;;;;;;;;;
4337;Orders received by contractors;Schools;2008 March;55.0;;;;;;;;;;;;
4338;Orders received by contractors;Schools;2008 1st quarter;202.0;;;;;;;;;;;;
4339;Orders received by contractors;Schools;2008 April;40.0;;;;;;;;;;;;
4340;Orders received by contractors;Schools;2008 May;69.0;;;;;;;;;;;;
4341;Orders received by contractors;Schools;2008 June;72.0;;;;;;;;;;;;
4342;Orders received by contractors;Schools;2008 2nd quarter;182.0;;;;;;;;;;;;
4343;Orders received by contractors;Schools;2008 July;80.0;;;;;;;;;;;;
4344;Orders received by contractors;Schools;2008 August;60.0;;;;;;;;;;;;
4345;Orders received by contractors;Schools;2008 September;84.0;;;;;;;;;;;;
4346;Orders received by contractors;Schools;2008 3rd quarter;225.0;;;;;;;;;;;;
4347;Orders received by contractors;Schools;2008 October;54.0;;;;;;;;;;;;
4348;Orders received by contractors;Schools;2008 November;76.0;;;;;;;;;;;;
4349;Orders received by contractors;Schools;2008 December;215.0;;;;;;;;;;;;
4350;Orders received by contractors;Schools;2008 4th quarter;346.0;;;;;;;;;;;;
4351;Orders received by contractors;Schools;2008;954.0;;;;;;;;;;;;
4352;Orders received by contractors;Schools;2009 January;43.0;;;;;;;;;;;;
4353;Orders received by contractors;Schools;2009 February;69.0;;;;;;;;;;;;
4354;Orders received by contractors;Schools;2009 March;40.0;;;;;;;;;;;;
4355;Orders received by contractors;Schools;2009 1st quarter;151.0;;;;;;;;;;;;
4356;Orders received by contractors;Schools;2009 April;61.0;;;;;;;;;;;;
4357;Orders received by contractors;Schools;2009 May;25.0;;;;;;;;;;;;
4358;Orders received by contractors;Schools;2009 June;75.0;;;;;;;;;;;;
4359;Orders received by contractors;Schools;2009 2nd quarter;161.0;;;;;;;;;;;;
4360;Orders received by contractors;Schools;2009 July;84.0;;;;;;;;;;;;
4361;Orders received by contractors;Schools;2009 August;81.0;;;;;;;;;;;;
4362;Orders received by contractors;Schools;2009 September;114.0;;;;;;;;;;;;
4363;Orders received by contractors;Schools;2009 3rd quarter;279.0;;;;;;;;;;;;
4364;Orders received by contractors;Schools;2009 October;65.0;;;;;;;;;;;;
4365;Orders received by contractors;Schools;2009 November;39.0;;;;;;;;;;;;
4366;Orders received by contractors;Schools;2009 December;78.0;;;;;;;;;;;;
4367;Orders received by contractors;Schools;2009 4th quarter;183.0;;;;;;;;;;;;
