ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;AmsterdamAnders_6;CDA_7;CU_8;CUSGP_9;D66_10;DeGroenen_11;DeGroenenNoordHollandAnders_12;DemocratischPlatformNederland_13;DrenthsBelangDOP_14;FNP_15;GemeentebelangenFrieslandGF_16;GL_17;LeefbaarBrabantBOF_18;LeefbaarFlevoland_19;LeefbaarGelderlandDeGroenen_20;LeefbaarNoordHolland_21;LeefbaarProvincialePartijLPP_22;LeefbaarProvincieUtrecht_23;LeefbaarZuidHolland_24;LijstHolsteijn_25;LijstNieuwePolitiekLNP_26;LijstVeldhoen_27;LPF_28;MOOIZUIDHOLLANDDeGroenen_29;NederlandseVolksUnieNVU_30;NieuweCommunistischePartijNCPN_31;NieuweToekomstPartijNTP_32;NSap_33;OnafhankelijkePartijDrenthe_34;OuderenpartijNHVSP_35;PartijNieuwLimburgPNL_36;PartijVoorHetNoorden_37;PARTIJVOORZEELANDPVZ_38;PolitiekePartijAlianza_39;PvdA_40;SGP_41;SP_42;VERENIGDESENIORENPARTIJ_43;VIPVooruitstrevendeIntegratiePartij_44;VVD_45;AmsterdamAnders_46;CDA_47;CU_48;CUSGP_49;D66_50;DeGroenen_51;DeGroenenNoordHollandAnders_52;DemocratischPlatformNederland_53;DrenthsBelangDOP_54;FNP_55;GemeentebelangenFrieslandGF_56;GL_57;LeefbaarBrabantBOF_58;LeefbaarFlevoland_59;LeefbaarGelderlandDeGroenen_60;LeefbaarNoordHolland_61;LeefbaarProvincialePartijLPP_62;LeefbaarProvincieUtrecht_63;LeefbaarZuidHolland_64;LijstHolsteijn_65;LijstNieuwePolitiekLNP_66;LijstVeldhoen_67;LPF_68;MOOIZUIDHOLLANDDeGroenen_69;NederlandseVolksUnieNVU_70;NieuweCommunistischePartijNCPN_71;NieuweToekomstPartijNTP_72;NSap_73;OnafhankelijkePartijDrenthe_74;OuderenpartijNHVSP_75;PartijNieuwLimburgPNL_76;PartijVoorHetNoorden_77;PARTIJVOORZEELANDPVZ_78;PolitiekePartijAlianza_79;PvdA_80;SGP_81;SP_82;VERENIGDESENIORENPARTIJ_83;VIPVooruitstrevendeIntegratiePartij_84;VVD_85;Gemeente_86;Landsdeel_87;Provincie_88;COROPGebied_89;Kamerkieskring_90;Stadsgewest_91;GrootstedelijkeAgglomeratie_92
131;Geertruidenberg;16279;37.7;6137;6133;4;;2158;;55.0;209;;;;;;;262;82.0;;;;;;;;10.0;;184;;;;;;;;;;;;1585;;327.0;37.0;;1224;;35.2;;0.9;3.4;;;;;;;4.3;1.3;;;;;;;;0.2;;3.0;;;;;;;;;;;;25.8;;5.3;0.6;;20.0;0779;4;30;33;17;00;00
132;Geldermalsen;18912;54.6;10335;10330;5;;2929;203.0;;324;;;;;;;402;;;84.0;;;;;;;;340;;16.0;;;;;;;;;;2265;1227.0;289.0;;;2251;;28.4;2.0;;3.1;;;;;;;3.9;;;0.8;;;;;;;;3.3;;0.2;;;;;;;;;;21.9;11.9;2.8;;;21.8;0236;2;25;16;06;00;00
133;Geldrop;21110;41.9;8840;8830;10;;2774;;115.0;456;;;;;;;490;720.0;;;;;;;;3.0;;225;;;;;;;;;;;;1688;;703.0;81.0;;1575;;31.4;;1.3;5.2;;;;;;;5.5;8.2;;;;;;;;0.0;;2.5;;;;;;;;;;;;19.1;;8.0;0.9;;17.8;0781;4;30;36;18;19;19
134;Gemert-Bakel;20905;42.9;8958;8942;16;;4701;;19.0;201;;;;;;;252;62.0;;;;;;;;16.0;;176;;;;;;;;;;;;1580;;719.0;61.0;;1155;;52.6;;0.2;2.2;;;;;;;2.8;0.7;;;;;;;;0.2;;2.0;;;;;;;;;;;;17.7;;8.0;0.7;;12.9;1652;4;30;36;18;00;00
135;Gendringen;15590;47.5;7403;7397;6;;3620;39.0;;122;;;;;;;197;;;58.0;;;;;;;;158;;13.0;;;;;;;;;;1963;13.0;334.0;;;880;;48.9;0.5;;1.6;;;;;;;2.7;;;0.8;;;;;;;;2.1;;0.2;;;;;;;;;;26.5;0.2;4.5;;;11.9;0237;2;25;14;07;00;00
136;Gennep;12745;45.3;5777;5771;6;;1628;;;1728;;;;;;;148;;;;;;;;;;;99;;;;;;;;65.0;;;;778;;253.0;;;1072;;28.2;;;29.9;;;;;;;2.6;;;;;;;;;;;1.7;;;;;;;;1.1;;;;13.5;;4.4;;;18.6;0907;4;31;37;19;00;00
137;Giessenlanden;10719;62.5;6702;6699;3;;1943;751.0;;150;;;0.0;;;;177;;;;;;;35.0;3.0;3.0;0.0;129;10.0;;;0.0;0.0;;;;;;0.0;1339;397.0;152.0;37.0;0.0;1573;;29.0;11.2;;2.2;;;0.0;;;;2.6;;;;;;;0.5;0.0;0.0;0.0;1.9;0.1;;;0.0;0.0;;;;;;0.0;20.0;5.9;2.3;0.6;0.0;23.5;0689;3;28;30;14;00;00
138;Gilze en Rijen;18636;43.8;8167;8159;8;;2993;;26.0;330;;;;;;;340;88.0;;;;;;;;11.0;;271;;;;;;;;;;;;2120;;500.0;53.0;;1427;;36.7;;0.3;4.0;;;;;;;4.2;1.1;;;;;;;;0.1;;3.3;;;;;;;;;;;;26.0;;6.1;0.6;;17.5;0784;4;30;34;17;17;00
139;Goedereede;8812;61.7;5439;5439;0;;1384;308.0;;60;;;2.0;;;;96;;;;;;;32.0;0.0;0.0;0.0;110;8.0;;;2.0;0.0;;;;;;0.0;659;1745.0;104.0;4.0;0.0;925;;25.4;5.7;;1.1;;;0.0;;;;1.8;;;;;;;0.6;0.0;0.0;0.0;2.0;0.1;;;0.0;0.0;;;;;;0.0;12.1;32.1;1.9;0.1;0.0;17.0;0511;3;28;29;14;00;00
140;Goes;27755;50.5;14017;14007;10;;3733;733.0;;513;;;;;;;1448;;;;;;;;;;;339;;;;;;;;;;464.0;;2814;1472.0;573.0;;;1918;;26.7;5.2;;3.7;;;;;;;10.3;;;;;;;;;;;2.4;;;;;;;;;;3.3;;20.1;10.5;4.1;;;13.7;0664;3;29;32;16;00;00
141;Goirle;17196;44.3;7611;7600;11;;2719;;25.0;388;;;;;;;559;74.0;;;;;;;;5.0;;144;;;;;;;;;;;;1657;;550.0;66.0;;1413;;35.8;;0.3;5.1;;;;;;;7.4;1.0;;;;;;;;0.1;;1.9;;;;;;;;;;;;21.8;;7.2;0.9;;18.6;0785;4;30;34;17;17;17
142;Gorinchem;24771;55.3;13710;13671;39;;2828;623.0;;552;;;10.0;;;;693;;;;;;;140.0;4.0;8.0;6.0;471;65.0;;;7.0;9.0;;;;;;24.0;4089;312.0;782.0;153.0;4.0;2891;;20.7;4.6;;4.0;;;0.1;;;;5.1;;;;;;;1.0;0.0;0.1;0.0;3.4;0.5;;;0.1;0.1;;;;;;0.2;29.9;2.3;5.7;1.1;0.0;21.1;0512;3;28;30;14;00;00
143;Gorssel;10534;63.2;6654;6652;2;;2243;79.0;;311;;;;;;;347;;;129.0;;;;;;;;88;;8.0;;;;;;;;;;1454;13.0;231.0;;;1749;;33.7;1.2;;4.7;;;;;;;5.2;;;1.9;;;;;;;;1.3;;0.1;;;;;;;;;;21.9;0.2;3.5;;;26.3;0239;2;25;14;07;00;00
144;Gouda;51761;50.1;25954;25923;31;;5120;1517.0;;1418;;;;;;;2427;;;;;;;175.0;9.0;9.0;3.0;1080;104.0;;;8.0;1.0;;;;;;16.0;6512;1479.0;1422.0;46.0;6.0;4571;;19.8;5.9;;5.5;;;;;;;9.4;;;;;;;0.7;0.0;0.0;0.0;4.2;0.4;;;0.0;0.0;;;;;;0.1;25.1;5.7;5.5;0.2;0.0;17.6;0513;3;28;28;15;00;00
145;Graafstroom;6794;69.9;4750;4747;3;;1805;595.0;;49;;;2.0;;;;91;;;;;;;19.0;0.0;1.0;3.0;48;10.0;;;0.0;1.0;;;;;;0.0;473;1018.0;102.0;5.0;0.0;525;;38.0;12.5;;1.0;;;0.0;;;;1.9;;;;;;;0.4;0.0;0.0;0.1;1.0;0.2;;;0.0;0.0;;;;;;0.0;10.0;21.4;2.1;0.1;0.0;11.1;0693;3;28;30;14;00;00
146;Graft-De Rijp;4706;55.4;2606;2601;5;3.0;654;;6.0;185;;13.0;;;;;170;;;;25.0;17.0;;;;;;72;;;1.0;2.0;;;29.0;;;;;605;;125.0;;;694;0.1;25.1;;0.2;7.1;;0.5;;;;;6.5;;;;1.0;0.7;;;;;;2.8;;;0.0;0.1;;;1.1;;;;;23.3;;4.8;;;26.7;0365;3;27;23;11;00;00
147;Grave;9419;48.5;4570;4567;3;;1544;;32.0;253;;;;;;;257;21.0;;;;;;;;1.0;;127;;;;;;;;;;;;822;;423.0;22.0;;1065;;33.8;;0.7;5.5;;;;;;;5.6;0.5;;;;;;;;0.0;;2.8;;;;;;;;;;;;18.0;;9.3;0.5;;23.3;0786;4;30;35;18;00;00
148;'s-Gravendeel;7002;50.7;3547;3546;1;;1127;181.0;;81;;;4.0;;;;129;;;;;;;37.0;0.0;1.0;2.0;90;16.0;;;0.0;0.0;;;;;;0.0;833;345.0;112.0;4.0;0.0;584;;31.8;5.1;;2.3;;;0.1;;;;3.6;;;;;;;1.0;0.0;0.0;0.1;2.5;0.5;;;0.0;0.0;;;;;;0.0;23.5;9.7;3.2;0.1;0.0;16.5;0517;3;28;30;14;15;15
149;'s-Gravenhage;332641;37.5;124638;124420;218;;21580;2088.0;;8648;;;;;;;10246;;;;;;;737.0;;86.0;32.0;6065;549.0;;;65.0;53.0;;;;;;562.0;33673;1043.0;7435.0;541.0;143.0;30874;;17.3;1.7;;7.0;;;;;;;8.2;;;;;;;0.6;;0.1;0.0;4.9;0.4;;;0.1;0.0;;;;;;0.5;27.1;0.8;6.0;0.4;0.1;24.8;0518;3;28;26;12;13;13
150;'s-Gravenzande;14484;50.0;7235;7230;5;;3035;304.0;;130;;;0.0;;;;171;;;;;;;73.0;0.0;1.0;0.0;305;11.0;;;0.0;0.0;;;;;;3.0;862;353.0;95.0;10.0;0.0;1877;;42.0;4.2;;1.8;;;0.0;;;;2.4;;;;;;;1.0;0.0;0.0;0.0;4.2;0.2;;;0.0;0.0;;;;;;0.0;11.9;4.9;1.3;0.1;0.0;26.0;0519;3;28;27;14;00;00
151;Groenlo;7355;48.5;3570;3568;2;;1966;6.0;;73;;;;;;;89;;;36.0;;;;;;;;37;;1.0;;;;;;;;;;691;5.0;183.0;;;481;;55.1;0.2;;2.0;;;;;;;2.5;;;1.0;;;;;;;;1.0;;0.0;;;;;;;;;;19.4;0.1;5.1;;;13.5;0240;2;25;14;07;00;00
152;Groesbeek;14733;45.6;6722;6718;4;;2442;27.0;;244;;;;;;;477;;;159.0;;;;;;;;140;;4.0;;;;;;;;;;1777;11.0;603.0;;;834;;36.4;0.4;;3.6;;;;;;;7.1;;;2.4;;;;;;;;2.1;;0.1;;;;;;;;;;26.5;0.2;9.0;;;12.4;0241;2;25;15;06;07;00
153;Groningen;144093;53.0;76416;76319;97;;9067;4440.0;;4880;;;;;;;10938;;;;;;;;;;;1079;;;491.0;;;;;;2673.0;;;25348;;7362.0;;;10041;;11.9;5.8;;6.4;;;;;;;14.3;;;;;;;;;;;1.4;;;0.6;;;;;;3.5;;;33.2;;9.6;;;13.2;0014;1;20;03;01;01;01
154;Grootegast;8785;59.2;5204;5201;3;;2303;728.0;;78;;;;;;;171;;;;;;;;;;;119;;;11.0;;;;;;93.0;;;970;;163.0;;;565;;44.3;14.0;;1.5;;;;;;;3.3;;;;;;;;;;;2.3;;;0.2;;;;;;1.8;;;18.7;;3.1;;;10.9;0015;1;20;03;01;00;00
155;Gulpen-Wittem;11745;59.9;7035;7034;1;;3248;;;179;;;;;;;270;;;;;;;;;;;128;;;;;;;;1375.0;;;;1030;;251.0;;;553;;46.2;;;2.5;;;;;;;3.8;;;;;;;;;;;1.8;;;;;;;;19.5;;;;14.6;;3.6;;;7.9;1729;4;31;39;19;00;00
156;Haaksbergen;18203;50.5;9195;9187;8;;4696;54.0;;333;;;;;;;301;;;;;;;;;;;216;;;;;;;;;;;;1939;16.0;324.0;;;1308;;51.1;0.6;;3.6;;;;;;;3.3;;;;;;;;;;;2.4;;;;;;;;;;;;21.1;0.2;3.5;;;14.2;0158;2;23;12;04;00;00
157;Haaren;10454;47.2;4938;4933;5;;2346;;10.0;227;;;;;;;228;35.0;;;;;;;;5.0;;83;;;;;;;;;;;;758;;213.0;28.0;;1000;;47.6;;0.2;4.6;;;;;;;4.6;0.7;;;;;;;;0.1;;1.7;;;;;;;;;;;;15.4;;4.3;0.6;;20.3;0788;4;30;35;18;00;00
158;Haarlem;112200;46.0;51586;51522;64;59.0;8369;;996.0;3645;;296.0;;;;;6057;;;;232.0;204.0;;;;;;1269;;;60.0;54.0;;;638.0;;;;;15662;;4389.0;;;9592;0.1;16.2;;1.9;7.1;;0.6;;;;;11.8;;;;0.5;0.4;;;;;;2.5;;;0.1;0.1;;;1.2;;;;;30.4;;8.5;;;18.6;0392;3;27;21;10;11;11
159;Haarlemmerliede c.a.;4095;53.0;2171;2170;1;4.0;606;;29.0;207;;12.0;;;;;201;;;;18.0;3.0;;;;;;57;;;2.0;1.0;;;14.0;;;;;418;;86.0;;;512;0.2;27.9;;1.3;9.5;;0.6;;;;;9.3;;;;0.8;0.1;;;;;;2.6;;;0.1;0.0;;;0.6;;;;;19.3;;4.0;;;23.6;0393;3;27;21;10;11;00
160;Haarlemmermeer;89940;45.2;40646;40604;42;49.0;9960;;1479.0;2062;;146.0;;;;;3077;;;;288.0;175.0;;;;;;1438;;;21.0;28.0;;;350.0;;;;;7832;;1757.0;;;11942;0.1;24.5;;3.6;5.1;;0.4;;;;;7.6;;;;0.7;0.4;;;;;;3.5;;;0.1;0.1;;;0.9;;;;;19.3;;4.3;;;29.4;0394;3;27;23;10;10;00
161;Haelen;7714;51.4;3962;3955;7;;1928;;;130;;;;;;;153;;;;;;;;;;;76;;;;;;;;56.0;;;;580;;146.0;;;886;;48.7;;;3.3;;;;;;;3.9;;;;;;;;;;;1.9;;;;;;;;1.4;;;;14.7;;3.7;;;22.4;0914;4;31;38;19;00;00
162;Halderberge;22719;39.5;8984;8975;9;;3180;;60.0;326;;;;;;;306;866.0;;;;;;;;3.0;;320;;;;;;;;;;;;1669;;398.0;42.0;;1805;;35.4;;0.7;3.6;;;;;;;3.4;9.6;;;;;;;;0.0;;3.6;;;;;;;;;;;;18.6;;4.4;0.5;;20.1;1655;4;30;33;17;00;00
163;Hardenberg;42484;58.6;24878;24867;11;;10908;3933.0;;491;;;;;;;583;;;;;;;;;;;576;;;;;;;;;;;;4796;344.0;706.0;;;2530;;43.9;15.8;;2.0;;;;;;;2.3;;;;;;;;;;;2.3;;;;;;;;;;;;19.3;1.4;2.8;;;10.2;0160;2;23;10;04;00;00
164;Harderwijk;29824;52.0;15519;15507;12;;5493;1892.0;;463;;;;;;;897;;;169.0;;;;;;;;684;;17.0;;;;;;;;;;2301;572.0;515.0;;;2504;;35.4;12.2;;3.0;;;;;;;5.8;;;1.1;;;;;;;;4.4;;0.1;;;;;;;;;;14.8;3.7;3.3;;;16.1;0243;2;25;13;07;00;00
165;Hardinxveld-Giessendam;13034;61.6;8034;8032;2;;1845;1655.0;;96;;;7.0;;;;93;;;;;;;20.0;0.0;1.0;1.0;193;4.0;;;0.0;0.0;;;;;;0.0;1309;1867.0;126.0;9.0;0.0;806;;23.0;20.6;;1.2;;;0.1;;;;1.2;;;;;;;0.2;0.0;0.0;0.0;2.4;0.0;;;0.0;0.0;;;;;;0.0;16.3;23.2;1.6;0.1;0.0;10.0;0523;3;28;30;14;15;15
166;Haren;14411;70.9;10212;10208;4;;2238;605.0;;646;;;;;;;1216;;;;;;;;;;;145;;;16.0;;;;;;227.0;;;2407;;275.0;;;2433;;21.9;5.9;;6.3;;;;;;;11.9;;;;;;;;;;;1.4;;;0.2;;;;;;2.2;;;23.6;;2.7;;;23.8;0017;1;20;03;01;01;01
167;Harenkarspel;11651;46.6;5424;5419;5;1.0;1848;;48.0;290;;17.0;;;;;298;;;;46.0;26.0;;;;;;130;;;1.0;9.0;;;40.0;;;;;1176;;211.0;;;1278;0.0;34.1;;0.9;5.4;;0.3;;;;;5.5;;;;0.8;0.5;;;;;;2.4;;;0.0;0.2;;;0.7;;;;;21.7;;3.9;;;23.6;0395;3;27;18;11;00;00
168;Harlingen;11621;51.0;5926;5921;5;;1366;;285.0;165;;;;;327.0;120.0;421;;;;;;;;;;;162;;;10.0;;;;;;;;;1931;;352.0;;;782;;23.1;;4.8;2.8;;;;;5.5;2.0;7.1;;;;;;;;;;;2.7;;;0.2;;;;;;;;;32.6;;5.9;;;13.2;0072;1;21;04;02;00;00
169;Hattem;8894;63.3;5627;5623;4;;1677;1082.0;;146;;;;;;;166;;;33.0;;;;;;;;67;;7.0;;;;;;;;;;1405;104.0;143.0;;;793;;29.8;19.2;;2.6;;;;;;;3.0;;;0.6;;;;;;;;1.2;;0.1;;;;;;;;;;25.0;1.8;2.5;;;14.1;0244;2;25;13;07;03;00
170;Heel;6376;46.6;2970;2963;7;;1499;;;68;;;;;;;97;;;;;;;;;;;47;;;;;;;;68.0;;;;484;;110.0;;;590;;50.6;;;2.3;;;;;;;3.3;;;;;;;;;;;1.6;;;;;;;;2.3;;;;16.3;;3.7;;;19.9;1937;4;31;38;19;00;00
171;Heemskerk;26765;44.8;11995;11984;11;11.0;3279;;168.0;511;;43.0;;;;;1077;;;;86.0;54.0;;;;;;409;;;5.0;7.0;;;153.0;;;;;3434;;560.0;;;2187;0.1;27.4;;1.4;4.3;;0.4;;;;;9.0;;;;0.7;0.5;;;;;;3.4;;;0.0;0.1;;;1.3;;;;;28.7;;4.7;;;18.2;0396;3;27;20;10;11;00
172;Heemstede;19465;61.7;12007;11998;9;7.0;2631;;135.0;972;;53.0;;;;;936;;;;43.0;15.0;;;;;;248;;;3.0;3.0;;;73.0;;;;;2075;;483.0;;;4321;0.1;21.9;;1.1;8.1;;0.4;;;;;7.8;;;;0.4;0.1;;;;;;2.1;;;0.0;0.0;;;0.6;;;;;17.3;;4.0;;;36.0;0397;3;27;21;10;11;11
173;Heerde;13855;59.1;8188;8180;8;;3072;1085.0;;178;;;;;;;220;;;59.0;;;;;;;;125;;7.0;;;;;;;;;;1911;306.0;160.0;;;1057;;37.6;13.3;;2.2;;;;;;;2.7;;;0.7;;;;;;;;1.5;;0.1;;;;;;;;;;23.4;3.7;2.0;;;12.9;0246;2;25;13;07;03;00
174;Heerenveen;32210;54.8;17638;17628;10;;3402;;706.0;585;;;;;1607.0;136.0;1169;;;;;;;;;;;254;;;34.0;;;;;;;;;6202;;917.0;;;2616;;19.3;;4.0;3.3;;;;;9.1;0.8;6.6;;;;;;;;;;;1.4;;;0.2;;;;;;;;;35.2;;5.2;;;14.8;0074;1;21;06;02;00;00
175;Heerhugowaard;34358;42.7;14666;14650;16;11.0;3619;;325.0;742;;65.0;;;;;973;;;;118.0;102.0;;;;;;392;;;24.0;22.0;;;215.0;;;;;3938;;675.0;;;3429;0.1;24.7;;2.2;5.1;;0.4;;;;;6.6;;;;0.8;0.7;;;;;;2.7;;;0.2;0.2;;;1.5;;;;;26.9;;4.6;;;23.4;0398;3;27;19;11;00;00
176;Heerlen;72366;38.2;27651;27620;31;;8987;;;729;;;;;;;1297;;;;;;;;;;;823;;;;;;;;1432.0;;;;7054;;4132.0;;;3166;;32.5;;;2.6;;;;;;;4.7;;;;;;;;;;;3.0;;;;;;;;5.2;;;;25.5;;15.0;;;11.5;0917;4;31;39;19;21;21
177;Heeze-Leende;11667;50.4;5875;5867;8;;2655;;13.0;271;;;;;;;193;92.0;;;;;;;;5.0;;113;;;;;;;;;;;;979;;239.0;41.0;;1266;;45.3;;0.2;4.6;;;;;;;3.3;1.6;;;;;;;;0.1;;1.9;;;;;;;;;;;;16.7;;4.1;0.7;;21.6;1658;4;30;36;18;00;00
178;Heiloo;16933;59.0;9987;9976;11;3.0;2535;;90.0;675;;30.0;;;;;749;;;;49.0;38.0;;;;;;161;;;190.0;6.0;;;62.0;;;;;2258;;346.0;;;2784;0.0;25.4;;0.9;6.8;;0.3;;;;;7.5;;;;0.5;0.4;;;;;;1.6;;;1.9;0.1;;;0.6;;;;;22.6;;3.5;;;27.9;0399;3;27;19;11;00;00
179;Helden;14470;45.9;6644;6642;2;;3829;;;112;;;;;;;292;;;;;;;;;;;137;;;;;;;;113.0;;;;959;;207.0;;;993;;57.6;;;1.7;;;;;;;4.4;;;;;;;;;;;2.1;;;;;;;;1.7;;;;14.4;;3.1;;;15.0;0918;4;31;37;19;00;00
180;Den Helder;45732;38.4;17545;17539;6;11.0;3482;;824.0;2021;;59.0;;;;;732;;;;82.0;88.0;;;;;;543;;;19.0;33.0;;;308.0;;;;;4487;;512.0;;;4338;0.1;19.9;;4.7;11.5;;0.3;;;;;4.2;;;;0.5;0.5;;;;;;3.1;;;0.1;0.2;;;1.8;;;;;25.6;;2.9;;;24.7;0400;3;27;18;11;00;00
181;Hellendoorn;27588;56.6;15623;15616;7;;9246;806.0;;323;;;;;;;513;;;;;;;;;;;304;;;;;;;;;;;;2398;85.0;398.0;;;1543;;59.2;5.2;;2.1;;;;;;;3.3;;;;;;;;;;;1.9;;;;;;;;;;;;15.4;0.5;2.5;;;9.9;0163;2;23;12;04;00;00
182;Hellevoetsluis;29593;36.7;10848;10830;18;;1670;181.0;;433;;;2.0;;;;603;;;;;;;219.0;20.0;5.0;6.0;659;32.0;;;2.0;1.0;;;;;;12.0;3208;79.0;614.0;53.0;1.0;3030;;15.4;1.7;;4.0;;;0.0;;;;5.6;;;;;;;2.0;0.2;0.0;0.1;6.1;0.3;;;0.0;0.0;;;;;;0.1;29.6;0.7;5.7;0.5;0.0;28.0;0530;3;28;29;14;14;00
183;Helmond;61262;34.7;21259;21231;28;;6484;;144.0;771;;;;;;;815;184.0;;;;;;;;29.0;;714;;;;;;;;;;;;5392;;2076.0;394.0;;4228;;30.5;;0.7;3.6;;;;;;;3.8;0.9;;;;;;;;0.1;;3.4;;;;;;;;;;;;25.4;;9.8;1.9;;19.9;0794;4;30;36;18;00;00
184;Hendrik-Ido-Ambacht;16004;51.6;8251;8237;14;;1993;449.0;;235;;;1.0;;;;234;;;;;;;63.0;0.0;1.0;0.0;288;19.0;;;0.0;0.0;;;;;;4.0;1555;1693.0;194.0;25.0;0.0;1483;;24.2;5.5;;2.9;;;0.0;;;;2.8;;;;;;;0.8;0.0;0.0;0.0;3.5;0.2;;;0.0;0.0;;;;;;0.0;18.9;20.6;2.4;0.3;0.0;18.0;0531;3;28;30;14;15;00
185;Hengelo (Gld.);6525;54.2;3535;3534;1;;1785;37.0;;63;;;;;;;84;;;20.0;;;;;;;;66;;7.0;;;;;;;;;;711;8.0;105.0;;;648;;50.5;1.0;;1.8;;;;;;;2.4;;;0.6;;;;;;;;1.9;;0.2;;;;;;;;;;20.1;0.2;3.0;;;18.3;0248;2;25;14;07;00;00
186;Hengelo (O.);60958;47.4;28907;28861;46;;8822;907.0;;1323;;;;;;;2061;;;;;;;;;;;673;;;;;;;;;;;;8014;50.0;2372.0;;;4639;;30.6;3.1;;4.6;;;;;;;7.1;;;;;;;;;;;2.3;;;;;;;;;;;;27.8;0.2;8.2;;;16.1;0164;2;23;12;04;04;00
187;'s-Hertogenbosch;100226;40.3;40358;40322;36;;10338;;291.0;2211;;;;;;;3404;295.0;;;;;;;;31.0;;933;;;;;;;;;;;;9408;;4602.0;255.0;;8554;;25.6;;0.7;5.5;;;;;;;8.4;0.7;;;;;;;;0.1;;2.3;;;;;;;;;;;;23.3;;11.4;0.6;;21.2;0796;4;30;35;18;18;18
188;Heumen;12176;53.0;6450;6434;16;;2331;15.0;;364;;;;;;;623;;;88.0;;;;;;;;106;;15.0;;;;;;;;;;1396;3.0;328.0;;;1165;;36.2;0.2;;5.7;;;;;;;9.7;;;1.4;;;;;;;;1.6;;0.2;;;;;;;;;;21.7;0.0;5.1;;;18.1;0252;2;25;15;06;07;00
189;Heusden;31988;40.4;12914;12902;12;;5077;;128.0;620;;;;;;;562;152.0;;;;;;;;8.0;;352;;;;;;;;;;;;2493;;802.0;125.0;;2583;;39.4;;1.0;4.8;;;;;;;4.4;1.2;;;;;;;;0.1;;2.7;;;;;;;;;;;;19.3;;6.2;1.0;;20.0;0797;4;30;35;18;00;00
190;Heythuysen;9049;50.8;4596;4592;4;;2744;;;137;;;;;;;166;;;;;;;;;;;83;;;;;;;;58.0;;;;616;;148.0;;;640;;59.8;;;3.0;;;;;;;3.6;;;;;;;;;;;1.8;;;;;;;;1.3;;;;13.4;;3.2;;;13.9;0920;4;31;38;19;00;00
191;Hillegom;15518;46.9;7283;7275;8;;2197;102.0;;320;;;;;;;427;;;;;;;39.0;2.0;16.0;1.0;231;27.0;;;2.0;0.0;;;;;;4.0;1312;65.0;304.0;29.0;0.0;2197;;30.2;1.4;;4.4;;;;;;;5.9;;;;;;;0.5;0.0;0.2;0.0;3.2;0.4;;;0.0;0.0;;;;;;0.1;18.0;0.9;4.2;0.4;0.0;30.2;0534;3;28;25;15;00;00
192;Hilvarenbeek;11136;49.5;5513;5503;10;;2460;;7.0;164;;;;;;;224;34.0;;;;;;;;4.0;;86;;;;;;;;;;;;1262;;257.0;34.0;;971;;44.7;;0.1;3.0;;;;;;;4.1;0.6;;;;;;;;0.1;;1.6;;;;;;;;;;;;22.9;;4.7;0.6;;17.6;0798;4;30;34;17;17;00
193;Hilversum;63483;48.9;31024;31001;23;22.0;6340;;1059.0;2049;;96.0;;;;;3224;;;;320.0;107.0;;;;;;672;;;22.0;22.0;;;287.0;;;;;7540;;1788.0;;;7453;0.1;20.5;;3.4;6.6;;0.3;;;;;10.4;;;;1.0;0.3;;;;;;2.2;;;0.1;0.1;;;0.9;;;;;24.3;;5.8;;;24.0;0402;3;27;24;10;00;00
194;Hof van Twente;26736;59.0;15773;15768;5;;6076;173.0;;488;;;;;;;548;;;;;;;;;;;305;;;;;;;;;;;;3528;44.0;535.0;;;4071;;38.5;1.1;;3.1;;;;;;;3.5;;;;;;;;;;;1.9;;;;;;;;;;;;22.4;0.3;3.4;;;25.8;1735;2;23;12;04;00;00
195;Hoogeveen;40775;52.9;21567;21551;16;;8160;1806.0;;511;;;;236.0;;;1105;;;;;;;;;;;523;;;;;;243.0;;;;;;6154;292.0;;;;2521;;37.9;8.4;;2.4;;;;1.1;;;5.1;;;;;;;;;;;2.4;;;;;;1.1;;;;;;28.6;1.4;;;;11.7;0118;1;22;09;03;00;00
196;Hoogezand-Sappemeer;25628;48.4;12402;12388;14;;1928;663.0;;456;;;;;;;755;;;;;;;;;;;265;;;86.0;;;;;;645.0;;;4896;;692.0;;;2002;;15.6;5.4;;3.7;;;;;;;6.1;;;;;;;;;;;2.1;;;0.7;;;;;;5.2;;;39.5;;5.6;;;16.2;0018;1;20;03;01;00;00
197;Hoorn;50022;44.4;22209;22168;41;13.0;4307;;268.0;1122;;100.0;;;;;1651;;;;253.0;142.0;;;;;;642;;;36.0;30.0;;;451.0;;;;;6564;;1785.0;;;4804;0.1;19.4;;1.2;5.1;;0.5;;;;;7.4;;;;1.1;0.6;;;;;;2.9;;;0.2;0.1;;;2.0;;;;;29.6;;8.1;;;21.7;0405;3;27;18;11;00;00
198;Horst aan de Maas;21273;48.0;10212;10206;6;;5975;;;238;;;;;;;248;;;;;;;;;;;166;;;;;;;;69.0;;;;1337;;889.0;;;1284;;58.5;;;2.3;;;;;;;2.4;;;;;;;;;;;1.6;;;;;;;;0.7;;;;13.1;;8.7;;;12.6;1507;4;31;37;19;00;00
