ID;RegioIndeling2015;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;VestigersUitAndereGemeente_5;VertrekkersNaarAndereGemeente_6;Woningbouwveronderstellingen_7;BevolkingAanHetEindVanDePeriode_8
543;Bronckhorst;2030 tot 2035;1.2;2.3;0.3;0.3;5.1;6.1;;29.8
544;Bronckhorst;2035 tot 2040;1.0;2.3;0.3;0.3;4.9;5.6;;27.9
545;Brummen;2015 tot 2020;0.8;1.0;0.3;0.2;4.7;4.4;;21.1
546;Brummen;2020 tot 2025;0.9;1.1;0.3;0.2;4.9;4.8;;21.2
547;Brummen;2025 tot 2030;1.0;1.2;0.3;0.3;4.9;4.8;;21.2
548;Brummen;2030 tot 2035;0.9;1.2;0.3;0.2;5.1;4.7;;21.4
549;Brummen;2035 tot 2040;0.9;1.3;0.3;0.2;5.0;4.7;;21.5
550;Brunssum;2015 tot 2020;1.1;1.9;0.9;0.7;6.3;6.1;;28.3
551;Brunssum;2020 tot 2025;1.1;1.8;0.8;0.8;6.8;6.2;;28.2
552;Brunssum;2025 tot 2030;1.1;1.8;0.8;0.8;7.1;6.2;;28.4
553;Brunssum;2030 tot 2035;1.1;1.9;0.8;0.8;7.0;6.3;;28.4
554;Brunssum;2035 tot 2040;1.0;2.0;0.8;0.8;7.2;6.2;;28.4
555;Bunnik;2015 tot 2020;0.6;0.5;0.5;0.3;3.6;3.1;;15.5
556;Bunnik;2020 tot 2025;0.8;0.7;0.5;0.4;4.1;3.6;;16.2
557;Bunnik;2025 tot 2030;1.0;0.8;0.5;0.4;4.6;3.9;;17.3
558;Bunnik;2030 tot 2035;1.1;0.8;0.5;0.5;4.3;4.0;;18.0
559;Bunnik;2035 tot 2040;1.1;0.9;0.5;0.4;3.7;3.9;;18.1
560;Bunschoten;2015 tot 2020;1.3;0.7;0.7;0.6;3.0;2.6;;21.7
561;Bunschoten;2020 tot 2025;1.4;0.8;0.7;0.7;3.3;2.7;;22.9
562;Bunschoten;2025 tot 2030;1.5;0.8;0.8;0.8;3.1;2.9;;23.8
563;Bunschoten;2030 tot 2035;1.5;0.9;0.8;0.8;2.7;3.0;;24.2
564;Bunschoten;2035 tot 2040;1.4;0.9;0.7;0.8;2.2;2.9;;24.1
565;Buren;2015 tot 2020;1.2;1.1;0.6;0.3;4.6;4.8;;26.3
566;Buren;2020 tot 2025;1.3;1.1;0.6;0.4;4.3;4.9;;26.1
567;Buren;2025 tot 2030;1.3;1.1;0.5;0.4;4.1;4.9;;25.7
568;Buren;2030 tot 2035;1.3;1.2;0.5;0.4;4.1;4.7;;25.3
569;Buren;2035 tot 2040;1.2;1.3;0.5;0.4;4.0;4.6;;24.8
570;Bussum;2015 tot 2020;1.4;1.7;1.7;1.4;10.5;10.2;;33.1
571;Bussum;2020 tot 2025;1.5;1.7;1.5;1.5;10.4;10.2;;33.1
572;Bussum;2025 tot 2030;1.4;1.7;1.4;1.5;10.6;10.5;;32.9
573;Bussum;2030 tot 2035;1.3;1.7;1.4;1.5;10.5;10.0;;32.8
574;Bussum;2035 tot 2040;1.3;1.8;1.4;1.4;10.3;9.7;;32.9
575;Capelle aan den IJssel;2015 tot 2020;3.6;3.0;3.4;3.3;17.5;17.3;;67.4
576;Capelle aan den IJssel;2020 tot 2025;3.8;3.1;3.0;3.5;17.7;16.9;;68.4
577;Capelle aan den IJssel;2025 tot 2030;3.7;3.2;2.9;3.5;17.8;17.1;;68.9
578;Capelle aan den IJssel;2030 tot 2035;3.6;3.4;2.9;3.4;17.7;17.2;;68.9
579;Capelle aan den IJssel;2035 tot 2040;3.5;3.6;2.9;3.5;17.9;17.3;;68.9
580;Castricum;2015 tot 2020;1.3;1.7;0.7;0.4;6.4;5.9;;34.6
581;Castricum;2020 tot 2025;1.6;1.8;0.7;0.5;6.9;6.2;;35.3
582;Castricum;2025 tot 2030;1.8;1.9;0.7;0.6;6.9;6.4;;35.9
583;Castricum;2030 tot 2035;1.8;1.9;0.7;0.6;7.2;6.4;;36.7
584;Castricum;2035 tot 2040;1.9;2.0;0.7;0.6;7.1;6.5;;37.3
585;Coevorden;2015 tot 2020;1.5;1.9;2.3;0.7;6.8;8.4;;35.1
586;Coevorden;2020 tot 2025;1.4;1.9;1.6;0.7;6.9;8.7;;33.6
587;Coevorden;2025 tot 2030;1.3;1.9;1.5;0.7;6.7;8.3;;32.3
588;Coevorden;2030 tot 2035;1.2;2.0;1.4;0.6;6.5;7.8;;31.0
589;Coevorden;2035 tot 2040;1.2;2.0;1.3;0.6;6.4;7.5;;29.7
590;Cranendonck;2015 tot 2020;1.0;1.1;2.0;0.5;2.9;3.5;;21.4
591;Cranendonck;2020 tot 2025;1.1;1.1;0.9;0.5;3.5;3.6;;21.6
592;Cranendonck;2025 tot 2030;1.1;1.1;0.8;0.5;3.6;3.7;;21.8
593;Cranendonck;2030 tot 2035;1.1;1.2;0.8;0.5;3.5;3.7;;21.8
594;Cranendonck;2035 tot 2040;1.1;1.3;0.8;0.5;3.7;3.7;;21.9
595;Cromstrijen;2015 tot 2020;0.5;0.5;0.1;0.2;2.1;2.0;;12.9
596;Cromstrijen;2020 tot 2025;0.6;0.6;0.1;0.2;2.1;2.1;;12.8
597;Cromstrijen;2025 tot 2030;0.6;0.7;0.1;0.2;2.2;2.1;;12.8
598;Cromstrijen;2030 tot 2035;0.6;0.7;0.1;0.2;2.2;2.1;;12.9
599;Cromstrijen;2035 tot 2040;0.6;0.8;0.1;0.2;2.3;2.1;;12.8
600;Cuijk;2015 tot 2020;1.1;1.2;0.7;0.6;4.6;3.7;;25.6
601;Cuijk;2020 tot 2025;1.2;1.3;0.7;0.7;4.6;4.1;;26.1
602;Cuijk;2025 tot 2030;1.4;1.4;0.7;0.8;4.7;4.1;;26.5
603;Cuijk;2030 tot 2035;1.3;1.6;0.7;0.8;4.5;4.1;;26.6
604;Cuijk;2035 tot 2040;1.2;1.7;0.7;0.7;4.4;4.0;;26.4
605;Culemborg;2015 tot 2020;1.3;1.2;0.6;0.6;5.4;5.5;;27.5
606;Culemborg;2020 tot 2025;1.3;1.2;0.6;0.7;5.8;5.6;;27.6
607;Culemborg;2025 tot 2030;1.3;1.3;0.6;0.7;5.5;5.6;;27.5
608;Culemborg;2030 tot 2035;1.3;1.4;0.5;0.7;5.8;5.4;;27.5
609;Culemborg;2035 tot 2040;1.3;1.5;0.5;0.7;5.8;5.4;;27.6
610;Dalfsen;2015 tot 2020;1.4;1.2;0.4;0.4;5.2;4.7;;28.4
611;Dalfsen;2020 tot 2025;1.5;1.3;0.4;0.5;5.5;5.2;;28.9
612;Dalfsen;2025 tot 2030;1.7;1.3;0.4;0.5;5.8;5.4;;29.5
613;Dalfsen;2030 tot 2035;1.7;1.4;0.4;0.5;5.5;5.3;;29.9
614;Dalfsen;2035 tot 2040;1.6;1.5;0.4;0.5;5.3;5.2;;30.0
615;Dantumadiel;2015 tot 2020;0.9;0.9;0.1;0.1;2.7;3.2;;18.5
616;Dantumadiel;2020 tot 2025;0.8;1.0;0.1;0.1;3.1;3.1;;18.3
617;Dantumadiel;2025 tot 2030;0.8;1.1;0.1;0.1;3.0;3.1;;17.9
618;Dantumadiel;2030 tot 2035;0.8;1.1;0.1;0.1;3.1;3.1;;17.7
619;Dantumadiel;2035 tot 2040;0.9;1.2;0.1;0.1;2.9;3.0;;17.2
620;Delft;2015 tot 2020;5.1;3.9;22.6;17.9;30.3;31.1;;106.1
621;Delft;2020 tot 2025;5.7;3.9;23.4;20.7;31.9;32.5;;109.9
622;Delft;2025 tot 2030;6.2;4.2;25.3;22.6;36.9;35.3;;116.2
623;Delft;2030 tot 2035;6.5;4.5;27.1;23.9;37.7;38.0;;121.2
624;Delft;2035 tot 2040;6.7;4.8;28.1;24.5;37.7;39.1;;125.2
625;Delfzijl;2015 tot 2020;1.0;1.6;2.2;0.9;4.7;6.8;;24.0
626;Delfzijl;2020 tot 2025;0.9;1.4;1.3;0.9;4.4;5.9;;22.3
627;Delfzijl;2025 tot 2030;0.8;1.4;1.2;0.9;4.3;5.4;;20.8
628;Delfzijl;2030 tot 2035;0.7;1.4;1.1;0.8;4.2;5.1;;19.5
629;Delfzijl;2035 tot 2040;0.7;1.4;1.0;0.8;4.1;4.9;;18.3
630;Deurne;2015 tot 2020;1.5;1.5;0.9;0.6;5.7;5.3;;32.4
631;Deurne;2020 tot 2025;1.7;1.6;0.8;0.7;5.9;5.4;;33.0
632;Deurne;2025 tot 2030;1.7;1.7;0.8;0.7;5.8;5.5;;33.4
633;Deurne;2030 tot 2035;1.7;1.8;0.8;0.7;5.8;5.5;;33.7
634;Deurne;2035 tot 2040;1.6;1.8;0.8;0.7;5.9;5.6;;33.9
635;Deventer;2015 tot 2020;5.4;4.3;6.4;4.0;19.0;20.9;;100.0
636;Deventer;2020 tot 2025;5.5;4.4;5.5;4.2;19.8;21.3;;100.9
637;Deventer;2025 tot 2030;5.5;4.7;5.2;4.3;20.0;21.1;;101.7
638;Deventer;2030 tot 2035;5.5;5.0;5.1;4.2;20.1;20.9;;102.3
639;Deventer;2035 tot 2040;5.3;5.4;5.0;4.1;19.6;20.6;;102.0
640;Diemen;2015 tot 2020;1.6;1.0;3.7;3.1;12.7;11.2;;29.3
641;Diemen;2020 tot 2025;2.0;1.1;3.2;2.6;13.5;11.6;;32.8
642;Diemen;2025 tot 2030;2.1;1.1;3.1;2.5;13.5;12.0;;35.9
643;Diemen;2030 tot 2035;2.1;1.2;3.2;2.5;13.5;12.7;;38.2
644;Diemen;2035 tot 2040;2.1;1.3;3.2;2.6;13.5;13.4;;39.8
645;Dinkelland;2015 tot 2020;1.0;1.3;1.1;0.5;3.6;3.7;;26.0
646;Dinkelland;2020 tot 2025;1.1;1.4;0.5;0.5;3.5;3.8;;25.4
647;Dinkelland;2025 tot 2030;1.1;1.5;0.5;0.6;3.5;3.8;;24.7
648;Dinkelland;2030 tot 2035;1.1;1.5;0.5;0.6;3.5;3.6;;24.1
649;Dinkelland;2035 tot 2040;1.1;1.6;0.5;0.6;3.5;3.4;;23.6
650;Doesburg;2015 tot 2020;0.5;0.6;0.3;0.2;2.9;2.3;;11.9
651;Doesburg;2020 tot 2025;0.5;0.6;0.3;0.3;2.5;2.5;;11.8
652;Doesburg;2025 tot 2030;0.5;0.7;0.3;0.3;2.5;2.4;;11.7
653;Doesburg;2030 tot 2035;0.5;0.8;0.3;0.2;2.6;2.4;;11.7
654;Doesburg;2035 tot 2040;0.5;0.8;0.2;0.2;2.8;2.4;;11.8
655;Doetinchem;2015 tot 2020;2.6;2.6;1.6;1.1;11.1;11.4;;56.6
656;Doetinchem;2020 tot 2025;2.6;2.8;0.9;1.2;11.5;11.7;;55.8
657;Doetinchem;2025 tot 2030;2.6;3.0;0.8;1.2;12.0;12.0;;55.1
658;Doetinchem;2030 tot 2035;2.6;3.3;0.8;1.2;11.8;12.0;;53.8
659;Doetinchem;2035 tot 2040;2.3;3.4;0.7;1.1;11.5;11.6;;52.2
660;Dongen;2015 tot 2020;1.2;1.1;0.6;0.4;4.7;4.5;;25.8
661;Dongen;2020 tot 2025;1.2;1.2;0.6;0.4;4.8;4.7;;26.1
662;Dongen;2025 tot 2030;1.4;1.3;0.6;0.4;4.6;4.8;;26.2
663;Dongen;2030 tot 2035;1.3;1.3;0.6;0.4;4.6;4.7;;26.2
664;Dongen;2035 tot 2040;1.2;1.4;0.5;0.4;4.7;4.7;;26.2
665;Dongeradeel;2015 tot 2020;1.3;1.2;0.5;0.2;3.8;4.5;;23.6
666;Dongeradeel;2020 tot 2025;1.3;1.2;0.5;0.3;3.9;4.5;;23.3
667;Dongeradeel;2025 tot 2030;1.4;1.2;0.5;0.3;3.9;4.5;;23.0
668;Dongeradeel;2030 tot 2035;1.4;1.2;0.5;0.3;3.9;4.4;;22.9
669;Dongeradeel;2035 tot 2040;1.4;1.2;0.5;0.3;4.0;4.4;;22.8
670;Dordrecht;2015 tot 2020;6.8;5.4;6.0;4.5;19.1;20.0;;120.9
671;Dordrecht;2020 tot 2025;6.9;5.4;5.5;5.1;19.6;19.8;;122.5
672;Dordrecht;2025 tot 2030;6.7;5.8;5.3;5.1;20.1;20.0;;123.7
673;Dordrecht;2030 tot 2035;6.5;6.1;5.2;5.1;20.4;20.3;;124.3
674;Dordrecht;2035 tot 2040;6.3;6.4;5.1;5.0;20.4;20.4;;124.3
675;Drechterland;2015 tot 2020;0.9;0.8;0.7;0.4;4.6;3.9;;20.4
676;Drechterland;2020 tot 2025;1.0;0.8;0.6;0.4;4.3;4.3;;20.8
677;Drechterland;2025 tot 2030;1.0;1.0;0.6;0.4;4.6;4.3;;21.2
678;Drechterland;2030 tot 2035;1.0;1.1;0.6;0.4;4.7;4.4;;21.5
679;Drechterland;2035 tot 2040;1.0;1.1;0.6;0.4;4.3;4.3;;21.4
680;Drimmelen;2015 tot 2020;1.1;1.3;0.8;0.4;4.4;4.5;;26.8
681;Drimmelen;2020 tot 2025;1.2;1.4;0.7;0.5;4.5;4.7;;26.6
682;Drimmelen;2025 tot 2030;1.2;1.5;0.6;0.5;3.9;4.6;;25.7
683;Drimmelen;2030 tot 2035;1.1;1.6;0.6;0.5;3.7;4.3;;24.7
684;Drimmelen;2035 tot 2040;1.0;1.7;0.6;0.5;3.7;4.1;;23.6
685;Dronten;2015 tot 2020;2.2;1.3;6.4;2.3;10.6;13.1;;42.8
686;Dronten;2020 tot 2025;2.5;1.6;4.9;2.5;11.2;13.4;;43.9
687;Dronten;2025 tot 2030;2.7;1.8;4.8;2.6;11.2;13.5;;44.7
688;Dronten;2030 tot 2035;2.7;2.0;4.8;2.6;11.2;13.4;;45.4
689;Dronten;2035 tot 2040;2.6;2.2;4.8;2.5;11.2;13.5;;45.9
690;Druten;2015 tot 2020;0.8;0.7;0.4;0.3;2.9;3.3;;18.1
691;Druten;2020 tot 2025;0.8;0.8;0.3;0.3;3.1;3.4;;17.9
692;Druten;2025 tot 2030;0.8;0.9;0.3;0.3;3.1;3.3;;17.7
693;Druten;2030 tot 2035;0.9;1.0;0.3;0.3;3.4;3.2;;17.8
694;Druten;2035 tot 2040;0.9;1.0;0.3;0.3;3.5;3.3;;17.9
695;Duiven;2015 tot 2020;1.1;1.0;0.4;0.3;4.3;4.5;;25.6
696;Duiven;2020 tot 2025;1.1;1.0;0.4;0.3;4.1;4.6;;25.2
697;Duiven;2025 tot 2030;1.2;1.1;0.4;0.3;4.1;4.4;;25.1
698;Duiven;2030 tot 2035;1.2;1.2;0.4;0.3;4.3;4.3;;25.2
699;Duiven;2035 tot 2040;1.2;1.3;0.4;0.3;4.6;4.3;;25.3
700;Echt-Susteren;2015 tot 2020;1.2;1.7;2.2;0.8;5.4;6.4;;31.8
701;Echt-Susteren;2020 tot 2025;1.2;1.8;1.3;0.9;6.7;6.5;;31.7
702;Echt-Susteren;2025 tot 2030;1.2;2.0;1.2;0.9;6.7;6.6;;31.3
703;Echt-Susteren;2030 tot 2035;1.2;2.1;1.1;0.8;5.7;6.3;;30.1
704;Echt-Susteren;2035 tot 2040;1.0;2.2;1.1;0.8;5.3;6.0;;28.6
705;Edam-Volendam;2015 tot 2020;1.4;1.1;0.3;0.5;2.6;2.1;;29.7
706;Edam-Volendam;2020 tot 2025;1.6;1.2;0.4;0.5;2.7;2.3;;30.4
707;Edam-Volendam;2025 tot 2030;1.8;1.3;0.4;0.5;3.0;3.0;;30.7
708;Edam-Volendam;2030 tot 2035;1.8;1.4;0.4;0.5;3.2;3.1;;30.9
709;Edam-Volendam;2035 tot 2040;1.7;1.5;0.4;0.5;3.3;3.1;;31.2
710;Ede;2015 tot 2020;6.5;4.4;3.5;3.1;24.1;23.2;;114.9
711;Ede;2020 tot 2025;7.0;4.7;3.4;3.0;24.7;24.2;;118.0
712;Ede;2025 tot 2030;7.2;5.0;3.4;3.0;26.0;24.8;;121.8
713;Ede;2030 tot 2035;7.3;5.4;3.4;3.0;26.6;25.2;;125.4
714;Ede;2035 tot 2040;7.2;5.9;3.5;3.0;26.8;25.9;;128.1
715;Eemnes;2015 tot 2020;0.3;0.3;0.1;0.2;1.7;1.4;;9.0
716;Eemnes;2020 tot 2025;0.4;0.4;0.1;0.2;1.3;1.4;;8.9
717;Eemnes;2025 tot 2030;0.4;0.4;0.1;0.2;1.6;1.4;;8.9
718;Eemnes;2030 tot 2035;0.4;0.5;0.1;0.3;1.6;1.4;;9.0
719;Eemnes;2035 tot 2040;0.4;0.5;0.1;0.3;1.5;1.4;;8.9
720;Eemsmond;2015 tot 2020;0.6;0.8;0.5;0.3;2.7;3.0;;15.5
721;Eemsmond;2020 tot 2025;0.6;0.8;0.4;0.3;2.9;3.2;;15.1
722;Eemsmond;2025 tot 2030;0.6;0.8;0.3;0.2;3.0;3.1;;14.9
723;Eemsmond;2030 tot 2035;0.7;0.8;0.3;0.2;3.1;3.2;;14.7
724;Eemsmond;2035 tot 2040;0.7;0.9;0.3;0.2;3.5;3.2;;14.9
725;Eersel;2015 tot 2020;0.8;0.9;0.6;0.4;3.6;3.2;;18.8
726;Eersel;2020 tot 2025;1.0;0.9;0.6;0.5;3.8;3.6;;19.2
727;Eersel;2025 tot 2030;1.1;0.9;0.6;0.5;3.8;3.6;;19.6
728;Eersel;2030 tot 2035;1.1;0.9;0.6;0.6;4.0;3.6;;20.2
729;Eersel;2035 tot 2040;1.0;0.9;0.6;0.6;3.9;3.8;;20.6
730;Eijsden-Margraten;2015 tot 2020;1.0;1.2;1.1;0.8;6.2;5.2;;26.1
731;Eijsden-Margraten;2020 tot 2025;1.2;1.4;1.1;0.9;5.7;5.8;;26.0
732;Eijsden-Margraten;2025 tot 2030;1.3;1.5;1.0;0.9;4.9;5.6;;25.1
733;Eijsden-Margraten;2030 tot 2035;1.2;1.6;1.1;0.9;5.7;5.5;;25.1
734;Eijsden-Margraten;2035 tot 2040;1.2;1.6;1.1;1.0;6.1;5.7;;25.2
735;Eindhoven;2015 tot 2020;12.5;10.1;30.8;20.3;55.5;59.0;;232.6
736;Eindhoven;2020 tot 2025;13.4;10.3;27.8;20.8;56.0;60.5;;238.2
737;Eindhoven;2025 tot 2030;13.5;10.7;26.6;20.6;55.6;60.9;;241.8
738;Eindhoven;2030 tot 2035;13.2;11.1;26.1;20.1;55.8;60.6;;245.0
739;Eindhoven;2035 tot 2040;12.8;11.8;25.8;19.8;56.9;61.0;;247.9
740;Elburg;2015 tot 2020;1.4;0.9;0.6;0.3;4.1;4.1;;23.5
741;Elburg;2020 tot 2025;1.4;0.9;0.5;0.4;4.0;4.2;;23.9
742;Elburg;2025 tot 2030;1.4;1.0;0.5;0.4;3.8;4.3;;23.9
743;Elburg;2030 tot 2035;1.4;1.0;0.5;0.4;3.7;4.2;;23.8
744;Elburg;2035 tot 2040;1.3;1.1;0.5;0.4;3.9;4.2;;23.9
745;Emmen;2015 tot 2020;4.6;5.8;3.1;2.6;13.4;13.5;;107.0
746;Emmen;2020 tot 2025;4.7;5.7;2.7;2.8;13.0;14.0;;104.9
747;Emmen;2025 tot 2030;4.6;5.8;2.5;2.8;12.6;13.6;;102.5
748;Emmen;2030 tot 2035;4.4;5.9;2.4;2.7;11.9;13.1;;99.6
749;Emmen;2035 tot 2040;4.1;6.0;2.3;2.5;11.6;12.6;;96.4
750;Enkhuizen;2015 tot 2020;1.0;0.9;0.8;0.4;4.3;4.3;;18.8
751;Enkhuizen;2020 tot 2025;1.0;0.9;0.7;0.4;4.5;4.4;;19.2
752;Enkhuizen;2025 tot 2030;1.0;0.9;0.7;0.4;4.6;4.6;;19.5
753;Enkhuizen;2030 tot 2035;1.0;1.0;0.7;0.4;4.6;4.6;;19.7
754;Enkhuizen;2035 tot 2040;1.0;1.0;0.7;0.4;4.7;4.6;;19.9
755;Enschede;2015 tot 2020;8.1;7.0;13.5;12.6;28.6;29.4;;159.8
756;Enschede;2020 tot 2025;8.3;6.9;12.2;12.6;29.6;29.7;;160.7
757;Enschede;2025 tot 2030;8.2;7.2;11.8;12.4;29.4;29.5;;161.0
758;Enschede;2030 tot 2035;7.9;7.5;11.5;12.0;28.9;28.9;;160.9
759;Enschede;2035 tot 2040;7.6;7.8;11.4;11.7;28.9;28.7;;160.5
760;Epe;2015 tot 2020;1.4;1.7;0.7;0.6;6.5;5.7;;32.7
761;Epe;2020 tot 2025;1.5;1.7;0.6;0.7;6.7;6.2;;32.9
762;Epe;2025 tot 2030;1.6;1.8;0.6;0.7;6.8;6.2;;33.1
763;Epe;2030 tot 2035;1.7;1.9;0.6;0.7;7.6;6.3;;34.1
764;Epe;2035 tot 2040;1.6;2.0;0.6;0.7;7.9;6.5;;34.9
765;Ermelo;2015 tot 2020;1.2;1.4;0.7;0.4;6.0;6.1;;26.1
766;Ermelo;2020 tot 2025;1.3;1.4;0.6;0.5;6.3;6.1;;26.3
767;Ermelo;2025 tot 2030;1.3;1.4;0.5;0.5;6.3;6.2;;26.3
768;Ermelo;2030 tot 2035;1.3;1.5;0.5;0.5;6.5;6.1;;26.6
769;Ermelo;2035 tot 2040;1.2;1.5;0.5;0.5;6.6;6.1;;26.8
770;Etten-Leur;2015 tot 2020;2.2;1.8;1.6;1.2;9.0;8.2;;44.2
771;Etten-Leur;2020 tot 2025;2.4;2.0;1.6;1.3;9.1;8.8;;45.1
772;Etten-Leur;2025 tot 2030;2.6;2.2;1.5;1.4;9.0;9.0;;45.5
773;Etten-Leur;2030 tot 2035;2.6;2.3;1.5;1.4;8.9;9.0;;45.8
774;Etten-Leur;2035 tot 2040;2.5;2.5;1.6;1.4;9.1;9.0;;46.1
775;Ferwerderadiel;2015 tot 2020;0.4;0.4;0.2;0.2;1.6;1.5;;8.8
776;Ferwerderadiel;2020 tot 2025;0.4;0.4;0.1;0.2;1.5;1.6;;8.7
777;Ferwerderadiel;2025 tot 2030;0.5;0.4;0.1;0.2;1.5;1.6;;8.6
778;Ferwerderadiel;2030 tot 2035;0.5;0.5;0.1;0.2;1.6;1.6;;8.6
779;Ferwerderadiel;2035 tot 2040;0.5;0.5;0.1;0.2;1.7;1.6;;8.6
780;Franekeradeel;2015 tot 2020;0.9;0.9;0.6;0.4;4.3;4.5;;20.3
781;Franekeradeel;2020 tot 2025;0.9;1.0;0.5;0.4;4.2;4.6;;19.9
782;Franekeradeel;2025 tot 2030;0.9;1.1;0.5;0.4;4.2;4.5;;19.6
783;Franekeradeel;2030 tot 2035;0.9;1.1;0.4;0.4;3.8;4.3;;18.9
784;Franekeradeel;2035 tot 2040;0.8;1.2;0.4;0.4;3.5;4.0;;18.0
785;De Friese Meren;2015 tot 2020;2.4;2.5;1.2;0.7;8.3;8.5;;51.4
786;De Friese Meren;2020 tot 2025;2.4;2.8;1.1;0.8;8.5;8.9;;51.0
787;De Friese Meren;2025 tot 2030;2.4;3.1;1.1;0.9;8.5;8.6;;50.4
788;De Friese Meren;2030 tot 2035;2.4;3.2;1.1;0.9;8.5;8.4;;49.9
789;De Friese Meren;2035 tot 2040;2.4;3.4;1.0;0.8;8.5;8.3;;49.3
790;Geertruidenberg;2015 tot 2020;1.1;1.0;0.3;0.3;3.7;3.6;;21.8
791;Geertruidenberg;2020 tot 2025;1.1;1.0;0.3;0.3;4.0;3.6;;22.1
792;Geertruidenberg;2025 tot 2030;1.0;1.1;0.2;0.3;4.0;3.7;;22.3
793;Geertruidenberg;2030 tot 2035;1.0;1.2;0.2;0.3;4.0;3.7;;22.4
794;Geertruidenberg;2035 tot 2040;1.0;1.2;0.2;0.3;4.0;3.7;;22.4
795;Geldermalsen;2015 tot 2020;1.2;1.0;0.5;0.4;4.7;4.8;;26.5
796;Geldermalsen;2020 tot 2025;1.3;1.1;0.4;0.4;4.9;5.1;;26.6
797;Geldermalsen;2025 tot 2030;1.4;1.1;0.4;0.4;4.9;5.2;;26.6
798;Geldermalsen;2030 tot 2035;1.4;1.2;0.4;0.4;4.9;5.1;;26.5
799;Geldermalsen;2035 tot 2040;1.3;1.3;0.4;0.4;4.8;5.0;;26.4
800;Geldrop-Mierlo;2015 tot 2020;1.8;1.9;1.3;1.0;8.3;7.7;;39.6
801;Geldrop-Mierlo;2020 tot 2025;1.8;2.1;1.2;1.1;8.4;7.9;;39.9
802;Geldrop-Mierlo;2025 tot 2030;1.9;2.3;1.2;1.1;8.9;8.0;;40.3
803;Geldrop-Mierlo;2030 tot 2035;1.9;2.5;1.2;1.1;9.0;8.1;;40.7
804;Geldrop-Mierlo;2035 tot 2040;1.8;2.6;1.2;1.1;8.7;8.2;;40.5
805;Gemert-Bakel;2015 tot 2020;1.5;1.3;1.1;0.6;5.0;5.0;;30.2
806;Gemert-Bakel;2020 tot 2025;1.5;1.4;0.8;0.6;5.3;5.2;;30.6
807;Gemert-Bakel;2025 tot 2030;1.5;1.5;0.8;0.7;5.7;5.4;;31.1
808;Gemert-Bakel;2030 tot 2035;1.6;1.6;0.8;0.7;5.7;5.5;;31.5
809;Gemert-Bakel;2035 tot 2040;1.5;1.7;0.8;0.7;5.7;5.6;;31.5
810;Gennep;2015 tot 2020;0.8;0.9;0.5;0.3;2.7;2.8;;17.2
811;Gennep;2020 tot 2025;0.8;0.9;0.4;0.3;2.8;3.0;;17.0
812;Gennep;2025 tot 2030;0.9;0.9;0.4;0.4;2.8;3.0;;16.8
813;Gennep;2030 tot 2035;0.9;1.0;0.4;0.3;2.8;3.0;;16.5
814;Gennep;2035 tot 2040;0.8;1.0;0.4;0.3;2.8;2.9;;16.3
815;Giessenlanden;2015 tot 2020;0.8;0.5;0.3;0.2;2.3;2.2;;14.9
816;Giessenlanden;2020 tot 2025;0.9;0.6;0.3;0.2;2.3;2.4;;15.0
817;Giessenlanden;2025 tot 2030;0.9;0.7;0.3;0.2;2.2;2.5;;15.0
818;Giessenlanden;2030 tot 2035;0.8;0.7;0.2;0.2;2.2;2.4;;15.0
819;Giessenlanden;2035 tot 2040;0.8;0.8;0.2;0.2;2.2;2.4;;14.8
820;Gilze en Rijen;2015 tot 2020;1.2;1.0;3.3;0.5;3.7;5.8;;26.8
821;Gilze en Rijen;2020 tot 2025;1.3;1.2;1.4;0.4;4.6;5.7;;26.7
822;Gilze en Rijen;2025 tot 2030;1.3;1.3;0.9;0.4;5.2;5.6;;26.7
823;Gilze en Rijen;2030 tot 2035;1.3;1.4;0.9;0.4;5.1;5.6;;26.6
824;Gilze en Rijen;2035 tot 2040;1.2;1.5;0.8;0.4;5.4;5.5;;26.7
825;Goeree-Overflakkee;2015 tot 2020;2.3;2.2;1.0;0.6;5.5;5.9;;48.2
826;Goeree-Overflakkee;2020 tot 2025;2.4;2.3;0.9;0.7;6.0;6.1;;48.4
827;Goeree-Overflakkee;2025 tot 2030;2.4;2.4;0.9;0.8;6.0;6.1;;48.5
828;Goeree-Overflakkee;2030 tot 2035;2.4;2.4;0.9;0.8;6.0;6.2;;48.4
829;Goeree-Overflakkee;2035 tot 2040;2.3;2.5;0.9;0.7;6.0;6.2;;48.1
830;Goes;2015 tot 2020;1.7;2.1;2.0;0.9;8.1;8.2;;37.7
831;Goes;2020 tot 2025;1.9;2.0;1.6;1.0;8.6;8.5;;38.3
832;Goes;2025 tot 2030;2.0;2.1;1.6;1.1;8.7;8.5;;38.9
833;Goes;2030 tot 2035;2.0;2.2;1.5;1.0;8.7;8.8;;39.1
834;Goes;2035 tot 2040;1.9;2.3;1.4;1.0;8.6;9.2;;38.5
835;Goirle;2015 tot 2020;1.2;1.0;0.6;0.4;4.4;4.4;;23.4
836;Goirle;2020 tot 2025;1.3;1.1;0.6;0.5;4.5;4.7;;23.4
837;Goirle;2025 tot 2030;1.3;1.2;0.6;0.5;4.9;4.8;;23.6
838;Goirle;2030 tot 2035;1.3;1.3;0.6;0.5;5.3;4.8;;24.1
