ID;BedrijfstakkenBranchesSBI2008;Perioden;Productie_1;GemiddeldeDagproductie_2;Productie_3;GemiddeldeDagproductie_4
321;B-E Nijverheid (geen bouw) en energie;1977 oktober;59.9;60.2;0.5;-0.1
322;B-E Nijverheid (geen bouw) en energie;1977 november;63.9;62.9;0.7;0.0
323;B-E Nijverheid (geen bouw) en energie;1977 december;66.3;66.3;-4.9;-0.2
324;B-E Nijverheid (geen bouw) en energie;1977;58.6;58.6;1.2;1.2
325;B-E Nijverheid (geen bouw) en energie;1978 januari;62.5;60.7;2.5;-0.5
326;B-E Nijverheid (geen bouw) en energie;1978 februari;58.4;62.5;1.7;1.5
327;B-E Nijverheid (geen bouw) en energie;1978 maart;63.4;61.2;-2.9;-0.4
328;B-E Nijverheid (geen bouw) en energie;1978 april;57.9;60.9;-3.0;-3.9
329;B-E Nijverheid (geen bouw) en energie;1978 mei;55.7;55.9;-0.3;-3.7
330;B-E Nijverheid (geen bouw) en energie;1978 juni;58.1;56.8;0.7;0.4
