ID;InstitutionalSectors;AssetsAndLiabilities;FinancialInstruments;StocksAndFlows;Periods;FinancialTransactionsAndBalanceSheet_1
5392;General government;Assets;AF42 Long-term loans;Opening balance sheet;2004 4th quarter;24892
5393;General government;Assets;AF42 Long-term loans;Opening balance sheet;2004;25710
5394;General government;Assets;AF42 Long-term loans;Opening balance sheet;2005 1st quarter;24690
5395;General government;Assets;AF42 Long-term loans;Opening balance sheet;2005 2nd quarter;28390
5396;General government;Assets;AF42 Long-term loans;Opening balance sheet;2005 3rd quarter;32311
5397;General government;Assets;AF42 Long-term loans;Opening balance sheet;2005 4th quarter;29743
5398;General government;Assets;AF42 Long-term loans;Opening balance sheet;2005;24690
5399;General government;Assets;AF42 Long-term loans;Opening balance sheet;2006 1st quarter;26999
5400;General government;Assets;AF42 Long-term loans;Opening balance sheet;2006 2nd quarter;27013
5401;General government;Assets;AF42 Long-term loans;Opening balance sheet;2006 3rd quarter;26179
5402;General government;Assets;AF42 Long-term loans;Opening balance sheet;2006 4th quarter;24655
5403;General government;Assets;AF42 Long-term loans;Opening balance sheet;2006;26999
5404;General government;Assets;AF42 Long-term loans;Opening balance sheet;2007 1st quarter;25243
5405;General government;Assets;AF42 Long-term loans;Opening balance sheet;2007 2nd quarter;25527
5406;General government;Assets;AF42 Long-term loans;Opening balance sheet;2007 3rd quarter;26006
5407;General government;Assets;AF42 Long-term loans;Opening balance sheet;2007 4th quarter;25582
5408;General government;Assets;AF42 Long-term loans;Opening balance sheet;2007;25243
5409;General government;Assets;AF42 Long-term loans;Opening balance sheet;2008 1st quarter;26802
5410;General government;Assets;AF42 Long-term loans;Opening balance sheet;2008 2nd quarter;28164
5411;General government;Assets;AF42 Long-term loans;Opening balance sheet;2008 3rd quarter;27783
5412;General government;Assets;AF42 Long-term loans;Opening balance sheet;2008 4th quarter;27475
5413;General government;Assets;AF42 Long-term loans;Opening balance sheet;2008;26802
5414;General government;Assets;AF42 Long-term loans;Opening balance sheet;2009 1st quarter;36202
5415;General government;Assets;AF42 Long-term loans;Opening balance sheet;2009 2nd quarter;36492
5416;General government;Assets;AF42 Long-term loans;Opening balance sheet;2009 3rd quarter;36856
5417;General government;Assets;AF42 Long-term loans;Opening balance sheet;2009 4th quarter;42840
5418;General government;Assets;AF42 Long-term loans;Opening balance sheet;2009;36202
5419;General government;Assets;AF42 Long-term loans;Opening balance sheet;2010 1st quarter;42305
5420;General government;Assets;AF42 Long-term loans;Opening balance sheet;2010 2nd quarter;42104
5421;General government;Assets;AF42 Long-term loans;Opening balance sheet;2010 3rd quarter;43540
5422;General government;Assets;AF42 Long-term loans;Opening balance sheet;2010 4th quarter;41001
5423;General government;Assets;AF42 Long-term loans;Opening balance sheet;2010;42305
5424;General government;Assets;AF42 Long-term loans;Opening balance sheet;2011 1st quarter;40717
5425;General government;Assets;AF42 Long-term loans;Opening balance sheet;2011 2nd quarter;41480
5426;General government;Assets;AF42 Long-term loans;Opening balance sheet;2011 3rd quarter;41983
5427;General government;Assets;AF42 Long-term loans;Opening balance sheet;2011 4th quarter;41174
5428;General government;Assets;AF42 Long-term loans;Opening balance sheet;2011;40717
5429;General government;Assets;AF42 Long-term loans;Opening balance sheet;2012 1st quarter;41204
5430;General government;Assets;AF42 Long-term loans;Opening balance sheet;2012 2nd quarter;43577
5431;General government;Assets;AF42 Long-term loans;Opening balance sheet;2012 3rd quarter;46308
5432;General government;Assets;AF42 Long-term loans;Opening balance sheet;2012 4th quarter;46777
5433;General government;Assets;AF42 Long-term loans;Opening balance sheet;2012;41204
5434;General government;Assets;AF42 Long-term loans;Opening balance sheet;2013 1st quarter;48921
5435;General government;Assets;AF42 Long-term loans;Opening balance sheet;2013 2nd quarter;49097
5436;General government;Assets;AF42 Long-term loans;Opening balance sheet;2013 3rd quarter;51071
5437;General government;Assets;AF42 Long-term loans;Opening balance sheet;2013 4th quarter;49991
5438;General government;Assets;AF42 Long-term loans;Opening balance sheet;2013;48921
5439;General government;Assets;AF42 Long-term loans;Opening balance sheet;2014 1st quarter;57353
5440;General government;Assets;AF42 Long-term loans;Opening balance sheet;2014 2nd quarter;58196
5441;General government;Assets;AF42 Long-term loans;Opening balance sheet;2014 3rd quarter;58407
5442;General government;Assets;AF42 Long-term loans;Opening balance sheet;2014 4th quarter;58614
5443;General government;Assets;AF42 Long-term loans;Opening balance sheet;2014;57353
5444;General government;Assets;AF42 Long-term loans;Opening balance sheet;2015 1st quarter;57769
5445;General government;Assets;AF42 Long-term loans;Opening balance sheet;2015 2nd quarter;57106
5446;General government;Assets;AF42 Long-term loans;Opening balance sheet;2015 3rd quarter;56747
5447;General government;Assets;AF42 Long-term loans;Opening balance sheet;2015 4th quarter;53043
5448;General government;Assets;AF42 Long-term loans;Opening balance sheet;2015;57769
5449;General government;Assets;AF42 Long-term loans;Opening balance sheet;2016 1st quarter;52997
5450;General government;Assets;AF42 Long-term loans;Opening balance sheet;2016 2nd quarter;52942
5451;General government;Assets;AF42 Long-term loans;Opening balance sheet;2016 3rd quarter;52863
5452;General government;Assets;AF42 Long-term loans;Opening balance sheet;2016 4th quarter;48820
5453;General government;Assets;AF42 Long-term loans;Opening balance sheet;2016;52997
5454;General government;Assets;AF42 Long-term loans;Opening balance sheet;2017 1st quarter;47941
5455;General government;Assets;AF42 Long-term loans;Opening balance sheet;2017 2nd quarter;49516
5456;General government;Assets;AF42 Long-term loans;Opening balance sheet;2017 3rd quarter;48734
5457;General government;Assets;AF42 Long-term loans;Opening balance sheet;2017 4th quarter;48888
5458;General government;Assets;AF42 Long-term loans;Opening balance sheet;2017;47941
5459;General government;Assets;AF42 Long-term loans;Opening balance sheet;2018 1st quarter;49643
5460;General government;Assets;AF42 Long-term loans;Opening balance sheet;2018 2nd quarter;50717
5461;General government;Assets;AF42 Long-term loans;Opening balance sheet;2018 3rd quarter;51175
5462;General government;Assets;AF42 Long-term loans;Opening balance sheet;2018 4th quarter;51604
5463;General government;Assets;AF42 Long-term loans;Opening balance sheet;2018;49643
5464;General government;Assets;AF42 Long-term loans;Opening balance sheet;2019 1st quarter;51851
5465;General government;Assets;AF42 Long-term loans;Opening balance sheet;2019 2nd quarter;52048
5466;General government;Assets;AF42 Long-term loans;Opening balance sheet;2019 3rd quarter;52423
5467;General government;Assets;AF42 Long-term loans;Opening balance sheet;2019 4th quarter;52618
5468;General government;Assets;AF42 Long-term loans;Opening balance sheet;2019;51851
5469;General government;Assets;AF42 Long-term loans;Opening balance sheet;2020 1st quarter;53620
5470;General government;Assets;AF42 Long-term loans;Opening balance sheet;2020 2nd quarter;54153
5471;General government;Assets;AF42 Long-term loans;Opening balance sheet;2020 3rd quarter;54927
5472;General government;Assets;AF42 Long-term loans;Opening balance sheet;2020 4th quarter;56478
5473;General government;Assets;AF42 Long-term loans;Opening balance sheet;2020;53620
5474;General government;Assets;AF42 Long-term loans;Opening balance sheet;2021 1st quarter;57327
5475;General government;Assets;AF42 Long-term loans;Opening balance sheet;2021 2nd quarter;57257
5476;General government;Assets;AF42 Long-term loans;Opening balance sheet;2021 3rd quarter;57754
5477;General government;Assets;AF42 Long-term loans;Opening balance sheet;2021 4th quarter;58209
5478;General government;Assets;AF42 Long-term loans;Opening balance sheet;2021;57327
5479;General government;Assets;AF42 Long-term loans;Opening balance sheet;2022 1st quarter;59722
5480;General government;Assets;AF42 Long-term loans;Opening balance sheet;2022 2nd quarter;60561
5481;General government;Assets;AF42 Long-term loans;Opening balance sheet;2022 3rd quarter;60577
5482;General government;Assets;AF42 Long-term loans;Opening balance sheet;2022 4th quarter;61096
5483;General government;Assets;AF42 Long-term loans;Opening balance sheet;2022;59722
5484;General government;Assets;AF42 Long-term loans;Opening balance sheet;2023 1st quarter;61142
5485;General government;Assets;AF42 Long-term loans;Opening balance sheet;2023 2nd quarter;61766
5486;General government;Assets;AF42 Long-term loans;Opening balance sheet;2023 3rd quarter;62388
5487;General government;Assets;AF42 Long-term loans;Opening balance sheet;2023 4th quarter;62836
5488;General government;Assets;AF42 Long-term loans;Opening balance sheet;2023;61142
5489;General government;Assets;AF42 Long-term loans;Opening balance sheet;2024 1st quarter;62599
5490;General government;Assets;AF42 Long-term loans;Opening balance sheet;2024 2nd quarter;65262
5491;General government;Assets;AF42 Long-term loans;Opening balance sheet;2024 3rd quarter;70012
5492;General government;Assets;AF42 Long-term loans;Opening balance sheet;2024 4th quarter;72690
5493;General government;Assets;AF42 Long-term loans;Opening balance sheet;2024;62599
5494;General government;Assets;AF42 Long-term loans;Financial transactions;1995;-11492
5495;General government;Assets;AF42 Long-term loans;Financial transactions;1996;-1369
5496;General government;Assets;AF42 Long-term loans;Financial transactions;1997;-650
5497;General government;Assets;AF42 Long-term loans;Financial transactions;1998;-1798
5498;General government;Assets;AF42 Long-term loans;Financial transactions;1999 1st quarter;-330
5499;General government;Assets;AF42 Long-term loans;Financial transactions;1999 2nd quarter;-277
5500;General government;Assets;AF42 Long-term loans;Financial transactions;1999 3rd quarter;-299
5501;General government;Assets;AF42 Long-term loans;Financial transactions;1999 4th quarter;-337
5502;General government;Assets;AF42 Long-term loans;Financial transactions;1999;-1243
5503;General government;Assets;AF42 Long-term loans;Financial transactions;2000 1st quarter;64
5504;General government;Assets;AF42 Long-term loans;Financial transactions;2000 2nd quarter;103
5505;General government;Assets;AF42 Long-term loans;Financial transactions;2000 3rd quarter;91
5506;General government;Assets;AF42 Long-term loans;Financial transactions;2000 4th quarter;17
5507;General government;Assets;AF42 Long-term loans;Financial transactions;2000;275
5508;General government;Assets;AF42 Long-term loans;Financial transactions;2001 1st quarter;-6
5509;General government;Assets;AF42 Long-term loans;Financial transactions;2001 2nd quarter;-318
5510;General government;Assets;AF42 Long-term loans;Financial transactions;2001 3rd quarter;-74
5511;General government;Assets;AF42 Long-term loans;Financial transactions;2001 4th quarter;-308
5512;General government;Assets;AF42 Long-term loans;Financial transactions;2001;-706
5513;General government;Assets;AF42 Long-term loans;Financial transactions;2002 1st quarter;-677
5514;General government;Assets;AF42 Long-term loans;Financial transactions;2002 2nd quarter;-449
5515;General government;Assets;AF42 Long-term loans;Financial transactions;2002 3rd quarter;-559
5516;General government;Assets;AF42 Long-term loans;Financial transactions;2002 4th quarter;259
5517;General government;Assets;AF42 Long-term loans;Financial transactions;2002;-1426
5518;General government;Assets;AF42 Long-term loans;Financial transactions;2003 1st quarter;-851
5519;General government;Assets;AF42 Long-term loans;Financial transactions;2003 2nd quarter;-503
5520;General government;Assets;AF42 Long-term loans;Financial transactions;2003 3rd quarter;-706
5521;General government;Assets;AF42 Long-term loans;Financial transactions;2003 4th quarter;-722
5522;General government;Assets;AF42 Long-term loans;Financial transactions;2003;-2782
5523;General government;Assets;AF42 Long-term loans;Financial transactions;2004 1st quarter;-291
5524;General government;Assets;AF42 Long-term loans;Financial transactions;2004 2nd quarter;-166
5525;General government;Assets;AF42 Long-term loans;Financial transactions;2004 3rd quarter;-395
5526;General government;Assets;AF42 Long-term loans;Financial transactions;2004 4th quarter;-225
5527;General government;Assets;AF42 Long-term loans;Financial transactions;2004;-1077
5528;General government;Assets;AF42 Long-term loans;Financial transactions;2005 1st quarter;3700
5529;General government;Assets;AF42 Long-term loans;Financial transactions;2005 2nd quarter;3921
5530;General government;Assets;AF42 Long-term loans;Financial transactions;2005 3rd quarter;-2569
5531;General government;Assets;AF42 Long-term loans;Financial transactions;2005 4th quarter;-2744
5532;General government;Assets;AF42 Long-term loans;Financial transactions;2005;2308
5533;General government;Assets;AF42 Long-term loans;Financial transactions;2006 1st quarter;39
5534;General government;Assets;AF42 Long-term loans;Financial transactions;2006 2nd quarter;-830
5535;General government;Assets;AF42 Long-term loans;Financial transactions;2006 3rd quarter;-1520
5536;General government;Assets;AF42 Long-term loans;Financial transactions;2006 4th quarter;592
5537;General government;Assets;AF42 Long-term loans;Financial transactions;2006;-1719
5538;General government;Assets;AF42 Long-term loans;Financial transactions;2007 1st quarter;112
5539;General government;Assets;AF42 Long-term loans;Financial transactions;2007 2nd quarter;478
5540;General government;Assets;AF42 Long-term loans;Financial transactions;2007 3rd quarter;-425
5541;General government;Assets;AF42 Long-term loans;Financial transactions;2007 4th quarter;1219
5542;General government;Assets;AF42 Long-term loans;Financial transactions;2007;1384
5543;General government;Assets;AF42 Long-term loans;Financial transactions;2008 1st quarter;1362
5544;General government;Assets;AF42 Long-term loans;Financial transactions;2008 2nd quarter;-382
5545;General government;Assets;AF42 Long-term loans;Financial transactions;2008 3rd quarter;-309
5546;General government;Assets;AF42 Long-term loans;Financial transactions;2008 4th quarter;8726
5547;General government;Assets;AF42 Long-term loans;Financial transactions;2008;9397
5548;General government;Assets;AF42 Long-term loans;Financial transactions;2009 1st quarter;245
5549;General government;Assets;AF42 Long-term loans;Financial transactions;2009 2nd quarter;378
5550;General government;Assets;AF42 Long-term loans;Financial transactions;2009 3rd quarter;5999
5551;General government;Assets;AF42 Long-term loans;Financial transactions;2009 4th quarter;-521
5552;General government;Assets;AF42 Long-term loans;Financial transactions;2009;6101
5553;General government;Assets;AF42 Long-term loans;Financial transactions;2010 1st quarter;-184
5554;General government;Assets;AF42 Long-term loans;Financial transactions;2010 2nd quarter;1470
5555;General government;Assets;AF42 Long-term loans;Financial transactions;2010 3rd quarter;-2505
5556;General government;Assets;AF42 Long-term loans;Financial transactions;2010 4th quarter;-250
5557;General government;Assets;AF42 Long-term loans;Financial transactions;2010;-1469
5558;General government;Assets;AF42 Long-term loans;Financial transactions;2011 1st quarter;755
5559;General government;Assets;AF42 Long-term loans;Financial transactions;2011 2nd quarter;502
5560;General government;Assets;AF42 Long-term loans;Financial transactions;2011 3rd quarter;-810
5561;General government;Assets;AF42 Long-term loans;Financial transactions;2011 4th quarter;29
5562;General government;Assets;AF42 Long-term loans;Financial transactions;2011;476
5563;General government;Assets;AF42 Long-term loans;Financial transactions;2012 1st quarter;2395
5564;General government;Assets;AF42 Long-term loans;Financial transactions;2012 2nd quarter;2757
5565;General government;Assets;AF42 Long-term loans;Financial transactions;2012 3rd quarter;496
5566;General government;Assets;AF42 Long-term loans;Financial transactions;2012 4th quarter;2172
5567;General government;Assets;AF42 Long-term loans;Financial transactions;2012;7820
5568;General government;Assets;AF42 Long-term loans;Financial transactions;2013 1st quarter;162
5569;General government;Assets;AF42 Long-term loans;Financial transactions;2013 2nd quarter;1975
5570;General government;Assets;AF42 Long-term loans;Financial transactions;2013 3rd quarter;-1078
5571;General government;Assets;AF42 Long-term loans;Financial transactions;2013 4th quarter;663
5572;General government;Assets;AF42 Long-term loans;Financial transactions;2013;1722
5573;General government;Assets;AF42 Long-term loans;Financial transactions;2014 1st quarter;1042
5574;General government;Assets;AF42 Long-term loans;Financial transactions;2014 2nd quarter;217
5575;General government;Assets;AF42 Long-term loans;Financial transactions;2014 3rd quarter;196
5576;General government;Assets;AF42 Long-term loans;Financial transactions;2014 4th quarter;-843
5577;General government;Assets;AF42 Long-term loans;Financial transactions;2014;612
5578;General government;Assets;AF42 Long-term loans;Financial transactions;2015 1st quarter;-997
5579;General government;Assets;AF42 Long-term loans;Financial transactions;2015 2nd quarter;-396
5580;General government;Assets;AF42 Long-term loans;Financial transactions;2015 3rd quarter;-3685
5581;General government;Assets;AF42 Long-term loans;Financial transactions;2015 4th quarter;-37
5582;General government;Assets;AF42 Long-term loans;Financial transactions;2015;-5115
5583;General government;Assets;AF42 Long-term loans;Financial transactions;2016 1st quarter;-54
5584;General government;Assets;AF42 Long-term loans;Financial transactions;2016 2nd quarter;-80
5585;General government;Assets;AF42 Long-term loans;Financial transactions;2016 3rd quarter;-412
5586;General government;Assets;AF42 Long-term loans;Financial transactions;2016 4th quarter;-881
5587;General government;Assets;AF42 Long-term loans;Financial transactions;2016;-1427
5588;General government;Assets;AF42 Long-term loans;Financial transactions;2017 1st quarter;1568
5589;General government;Assets;AF42 Long-term loans;Financial transactions;2017 2nd quarter;-782
5590;General government;Assets;AF42 Long-term loans;Financial transactions;2017 3rd quarter;154
5591;General government;Assets;AF42 Long-term loans;Financial transactions;2017 4th quarter;755
5592;General government;Assets;AF42 Long-term loans;Financial transactions;2017;1695
5593;General government;Assets;AF42 Long-term loans;Financial transactions;2018 1st quarter;1155
5594;General government;Assets;AF42 Long-term loans;Financial transactions;2018 2nd quarter;458
5595;General government;Assets;AF42 Long-term loans;Financial transactions;2018 3rd quarter;429
5596;General government;Assets;AF42 Long-term loans;Financial transactions;2018 4th quarter;247
5597;General government;Assets;AF42 Long-term loans;Financial transactions;2018;2289
5598;General government;Assets;AF42 Long-term loans;Financial transactions;2019 1st quarter;136
5599;General government;Assets;AF42 Long-term loans;Financial transactions;2019 2nd quarter;372
5600;General government;Assets;AF42 Long-term loans;Financial transactions;2019 3rd quarter;194
5601;General government;Assets;AF42 Long-term loans;Financial transactions;2019 4th quarter;1003
5602;General government;Assets;AF42 Long-term loans;Financial transactions;2019;1705
5603;General government;Assets;AF42 Long-term loans;Financial transactions;2020 1st quarter;622
5604;General government;Assets;AF42 Long-term loans;Financial transactions;2020 2nd quarter;803
5605;General government;Assets;AF42 Long-term loans;Financial transactions;2020 3rd quarter;1606
5606;General government;Assets;AF42 Long-term loans;Financial transactions;2020 4th quarter;898
5607;General government;Assets;AF42 Long-term loans;Financial transactions;2020;3929
5608;General government;Assets;AF42 Long-term loans;Financial transactions;2021 1st quarter;-69
5609;General government;Assets;AF42 Long-term loans;Financial transactions;2021 2nd quarter;513
5610;General government;Assets;AF42 Long-term loans;Financial transactions;2021 3rd quarter;433
5611;General government;Assets;AF42 Long-term loans;Financial transactions;2021 4th quarter;1491
5612;General government;Assets;AF42 Long-term loans;Financial transactions;2021;2368
5613;General government;Assets;AF42 Long-term loans;Financial transactions;2022 1st quarter;827
5614;General government;Assets;AF42 Long-term loans;Financial transactions;2022 2nd quarter;-77
5615;General government;Assets;AF42 Long-term loans;Financial transactions;2022 3rd quarter;404
5616;General government;Assets;AF42 Long-term loans;Financial transactions;2022 4th quarter;230
5617;General government;Assets;AF42 Long-term loans;Financial transactions;2022;1384
5618;General government;Assets;AF42 Long-term loans;Financial transactions;2023 1st quarter;635
5619;General government;Assets;AF42 Long-term loans;Financial transactions;2023 2nd quarter;619
5620;General government;Assets;AF42 Long-term loans;Financial transactions;2023 3rd quarter;423
5621;General government;Assets;AF42 Long-term loans;Financial transactions;2023 4th quarter;-170
5622;General government;Assets;AF42 Long-term loans;Financial transactions;2023;1507
5623;General government;Assets;AF42 Long-term loans;Financial transactions;2024 1st quarter;2626
5624;General government;Assets;AF42 Long-term loans;Financial transactions;2024 2nd quarter;4744
5625;General government;Assets;AF42 Long-term loans;Financial transactions;2024 3rd quarter;2734
5626;General government;Assets;AF42 Long-term loans;Financial transactions;2024 4th quarter;4436
5627;General government;Assets;AF42 Long-term loans;Financial transactions;2024;14540
5628;General government;Assets;AF42 Long-term loans;Other changes;1995;16
5629;General government;Assets;AF42 Long-term loans;Other changes;1996;-27
5630;General government;Assets;AF42 Long-term loans;Other changes;1997;2
5631;General government;Assets;AF42 Long-term loans;Other changes;1998;-4
5632;General government;Assets;AF42 Long-term loans;Other changes;1999 1st quarter;-4
5633;General government;Assets;AF42 Long-term loans;Other changes;1999 2nd quarter;-4
5634;General government;Assets;AF42 Long-term loans;Other changes;1999 3rd quarter;-6
5635;General government;Assets;AF42 Long-term loans;Other changes;1999 4th quarter;-4
5636;General government;Assets;AF42 Long-term loans;Other changes;1999;-18
5637;General government;Assets;AF42 Long-term loans;Other changes;2000 1st quarter;0
5638;General government;Assets;AF42 Long-term loans;Other changes;2000 2nd quarter;0
5639;General government;Assets;AF42 Long-term loans;Other changes;2000 3rd quarter;0
5640;General government;Assets;AF42 Long-term loans;Other changes;2000 4th quarter;0
5641;General government;Assets;AF42 Long-term loans;Other changes;2000;0
5642;General government;Assets;AF42 Long-term loans;Other changes;2001 1st quarter;68
5643;General government;Assets;AF42 Long-term loans;Other changes;2001 2nd quarter;31
5644;General government;Assets;AF42 Long-term loans;Other changes;2001 3rd quarter;82
5645;General government;Assets;AF42 Long-term loans;Other changes;2001 4th quarter;157
5646;General government;Assets;AF42 Long-term loans;Other changes;2001;338
5647;General government;Assets;AF42 Long-term loans;Other changes;2002 1st quarter;153
5648;General government;Assets;AF42 Long-term loans;Other changes;2002 2nd quarter;135
5649;General government;Assets;AF42 Long-term loans;Other changes;2002 3rd quarter;99
5650;General government;Assets;AF42 Long-term loans;Other changes;2002 4th quarter;38
5651;General government;Assets;AF42 Long-term loans;Other changes;2002;425
5652;General government;Assets;AF42 Long-term loans;Other changes;2003 1st quarter;-40
5653;General government;Assets;AF42 Long-term loans;Other changes;2003 2nd quarter;-50
5654;General government;Assets;AF42 Long-term loans;Other changes;2003 3rd quarter;-47
5655;General government;Assets;AF42 Long-term loans;Other changes;2003 4th quarter;-29
5656;General government;Assets;AF42 Long-term loans;Other changes;2003;-166
5657;General government;Assets;AF42 Long-term loans;Other changes;2004 1st quarter;-2
5658;General government;Assets;AF42 Long-term loans;Other changes;2004 2nd quarter;14
5659;General government;Assets;AF42 Long-term loans;Other changes;2004 3rd quarter;22
5660;General government;Assets;AF42 Long-term loans;Other changes;2004 4th quarter;23
5661;General government;Assets;AF42 Long-term loans;Other changes;2004;57
5662;General government;Assets;AF42 Long-term loans;Other changes;2005 1st quarter;0
5663;General government;Assets;AF42 Long-term loans;Other changes;2005 2nd quarter;0
5664;General government;Assets;AF42 Long-term loans;Other changes;2005 3rd quarter;1
5665;General government;Assets;AF42 Long-term loans;Other changes;2005 4th quarter;0
5666;General government;Assets;AF42 Long-term loans;Other changes;2005;1
5667;General government;Assets;AF42 Long-term loans;Other changes;2006 1st quarter;-25
5668;General government;Assets;AF42 Long-term loans;Other changes;2006 2nd quarter;-4
5669;General government;Assets;AF42 Long-term loans;Other changes;2006 3rd quarter;-4
5670;General government;Assets;AF42 Long-term loans;Other changes;2006 4th quarter;-4
5671;General government;Assets;AF42 Long-term loans;Other changes;2006;-37
5672;General government;Assets;AF42 Long-term loans;Other changes;2007 1st quarter;172
5673;General government;Assets;AF42 Long-term loans;Other changes;2007 2nd quarter;1
5674;General government;Assets;AF42 Long-term loans;Other changes;2007 3rd quarter;1
5675;General government;Assets;AF42 Long-term loans;Other changes;2007 4th quarter;1
5676;General government;Assets;AF42 Long-term loans;Other changes;2007;175
5677;General government;Assets;AF42 Long-term loans;Other changes;2008 1st quarter;0
5678;General government;Assets;AF42 Long-term loans;Other changes;2008 2nd quarter;1
5679;General government;Assets;AF42 Long-term loans;Other changes;2008 3rd quarter;1
5680;General government;Assets;AF42 Long-term loans;Other changes;2008 4th quarter;1
5681;General government;Assets;AF42 Long-term loans;Other changes;2008;3
5682;General government;Assets;AF42 Long-term loans;Other changes;2009 1st quarter;45
5683;General government;Assets;AF42 Long-term loans;Other changes;2009 2nd quarter;-14
5684;General government;Assets;AF42 Long-term loans;Other changes;2009 3rd quarter;-15
5685;General government;Assets;AF42 Long-term loans;Other changes;2009 4th quarter;-14
5686;General government;Assets;AF42 Long-term loans;Other changes;2009;2
5687;General government;Assets;AF42 Long-term loans;Other changes;2010 1st quarter;-17
5688;General government;Assets;AF42 Long-term loans;Other changes;2010 2nd quarter;-34
5689;General government;Assets;AF42 Long-term loans;Other changes;2010 3rd quarter;-34
5690;General government;Assets;AF42 Long-term loans;Other changes;2010 4th quarter;-34
5691;General government;Assets;AF42 Long-term loans;Other changes;2010;-119
5692;General government;Assets;AF42 Long-term loans;Other changes;2011 1st quarter;8
5693;General government;Assets;AF42 Long-term loans;Other changes;2011 2nd quarter;1
5694;General government;Assets;AF42 Long-term loans;Other changes;2011 3rd quarter;1
5695;General government;Assets;AF42 Long-term loans;Other changes;2011 4th quarter;1
5696;General government;Assets;AF42 Long-term loans;Other changes;2011;11
5697;General government;Assets;AF42 Long-term loans;Other changes;2012 1st quarter;-22
5698;General government;Assets;AF42 Long-term loans;Other changes;2012 2nd quarter;-26
5699;General government;Assets;AF42 Long-term loans;Other changes;2012 3rd quarter;-27
5700;General government;Assets;AF42 Long-term loans;Other changes;2012 4th quarter;-28
5701;General government;Assets;AF42 Long-term loans;Other changes;2012;-103
5702;General government;Assets;AF42 Long-term loans;Other changes;2013 1st quarter;14
5703;General government;Assets;AF42 Long-term loans;Other changes;2013 2nd quarter;-1
5704;General government;Assets;AF42 Long-term loans;Other changes;2013 3rd quarter;-2
5705;General government;Assets;AF42 Long-term loans;Other changes;2013 4th quarter;6699
5706;General government;Assets;AF42 Long-term loans;Other changes;2013;6710
5707;General government;Assets;AF42 Long-term loans;Other changes;2014 1st quarter;-199
5708;General government;Assets;AF42 Long-term loans;Other changes;2014 2nd quarter;-6
5709;General government;Assets;AF42 Long-term loans;Other changes;2014 3rd quarter;11
5710;General government;Assets;AF42 Long-term loans;Other changes;2014 4th quarter;-2
5711;General government;Assets;AF42 Long-term loans;Other changes;2014;-196
5712;General government;Assets;AF42 Long-term loans;Other changes;2015 1st quarter;334
5713;General government;Assets;AF42 Long-term loans;Other changes;2015 2nd quarter;37
5714;General government;Assets;AF42 Long-term loans;Other changes;2015 3rd quarter;-19
5715;General government;Assets;AF42 Long-term loans;Other changes;2015 4th quarter;-9
5716;General government;Assets;AF42 Long-term loans;Other changes;2015;343
5717;General government;Assets;AF42 Long-term loans;Other changes;2016 1st quarter;-1
5718;General government;Assets;AF42 Long-term loans;Other changes;2016 2nd quarter;1
5719;General government;Assets;AF42 Long-term loans;Other changes;2016 3rd quarter;-3631
5720;General government;Assets;AF42 Long-term loans;Other changes;2016 4th quarter;2
5721;General government;Assets;AF42 Long-term loans;Other changes;2016;-3629
5722;General government;Assets;AF42 Long-term loans;Other changes;2017 1st quarter;7
5723;General government;Assets;AF42 Long-term loans;Other changes;2017 2nd quarter;0
5724;General government;Assets;AF42 Long-term loans;Other changes;2017 3rd quarter;0
5725;General government;Assets;AF42 Long-term loans;Other changes;2017 4th quarter;0
5726;General government;Assets;AF42 Long-term loans;Other changes;2017;7
5727;General government;Assets;AF42 Long-term loans;Other changes;2018 1st quarter;-81
5728;General government;Assets;AF42 Long-term loans;Other changes;2018 2nd quarter;0
5729;General government;Assets;AF42 Long-term loans;Other changes;2018 3rd quarter;0
5730;General government;Assets;AF42 Long-term loans;Other changes;2018 4th quarter;0
5731;General government;Assets;AF42 Long-term loans;Other changes;2018;-81
5732;General government;Assets;AF42 Long-term loans;Other changes;2019 1st quarter;61
5733;General government;Assets;AF42 Long-term loans;Other changes;2019 2nd quarter;3
5734;General government;Assets;AF42 Long-term loans;Other changes;2019 3rd quarter;1
5735;General government;Assets;AF42 Long-term loans;Other changes;2019 4th quarter;-1
5736;General government;Assets;AF42 Long-term loans;Other changes;2019;64
5737;General government;Assets;AF42 Long-term loans;Other changes;2020 1st quarter;-89
5738;General government;Assets;AF42 Long-term loans;Other changes;2020 2nd quarter;-29
5739;General government;Assets;AF42 Long-term loans;Other changes;2020 3rd quarter;-55
5740;General government;Assets;AF42 Long-term loans;Other changes;2020 4th quarter;-49
5741;General government;Assets;AF42 Long-term loans;Other changes;2020;-222
5742;General government;Assets;AF42 Long-term loans;Other changes;2021 1st quarter;-1
5743;General government;Assets;AF42 Long-term loans;Other changes;2021 2nd quarter;-16
5744;General government;Assets;AF42 Long-term loans;Other changes;2021 3rd quarter;22
5745;General government;Assets;AF42 Long-term loans;Other changes;2021 4th quarter;22
5746;General government;Assets;AF42 Long-term loans;Other changes;2021;27
5747;General government;Assets;AF42 Long-term loans;Other changes;2022 1st quarter;12
5748;General government;Assets;AF42 Long-term loans;Other changes;2022 2nd quarter;93
5749;General government;Assets;AF42 Long-term loans;Other changes;2022 3rd quarter;115
5750;General government;Assets;AF42 Long-term loans;Other changes;2022 4th quarter;-184
5751;General government;Assets;AF42 Long-term loans;Other changes;2022;36
