ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;StatisticalDifferences_8;TotalEnergyConsumption_9;TotalEnergyTransformationInput_10;ElectricityAndCHPTransformationInput_11;OtherTransformationInput_12;TotalEnergyTransformationOutput_13;ElectricityCHPTransformationOutput_14;OtherTransformationOutput_15;TotalNetEnergyTransformation_16;NetElectricityCHPTransformation_17;NetOtherTransformation_18;Total_19;ProductionOfHeatAndPower_20;ExtractionOfCrudePetroleumAndGas_21;CokeOvenPlants_22;BlastFurnaces_23;OilRefineryInstallations_24;OtherInstallations_25;DistributionLosses_26;TotalFinalConsumption_27;Total_28;Total_29;IronAndSteel_30;ChemicalAndPetrochemical_31;NonFerrousMetals_32;NonMetallicMinerals_33;TransportEquipment_34;Machinery_35;MiningAndQuarrying_36;FoodAndTobacco_37;PaperPulpAndPrinting_38;WoodAndWoodProducts_39;Construction_40;TextileAndLeather_41;OtherIndustryAndNonSpecified_42;Total_43;DomesticAviation_44;RoadTransport_45;RailTransport_46;PipelineTransport_47;DomesticNavigation_48;NonSpecified_49;Total_50;ServicesWasteWaterAndRepair_51;Dwellings_52;Agriculture_53;Fishing_54;NonSpecified_55;Total_56;IndustryExcludingTheEnergySector_57;OfWhichChemicalAndPetrochemical_58;Transport_59;OtherSectors_60
4053;Total biomass;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4054;Total biomass;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4055;Total biomass;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4056;Total biomass;1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4057;Total biomass;1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4058;Total biomass;1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4059;Total biomass;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4060;Total biomass;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4061;Total biomass;1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4062;Total biomass;1979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4063;Total biomass;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4064;Total biomass;1981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4065;Total biomass;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4066;Total biomass;1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4067;Total biomass;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4068;Total biomass;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4069;Total biomass;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4070;Total biomass;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4071;Total biomass;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4072;Total biomass;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4073;Total biomass;1990;30.6;30.5;0.8;0.6;0.1;;;;30.6;14.9;14.8;0.1;;;;14.9;14.8;0.1;;;;;;;;;15.7;15.7;1.7;;;;;;;;0.4;;0.8;0.1;;0.4;;;;;;;;14.0;1.0;12.9;0.1;;;;;;;
4074;Total biomass;1991;30.8;30.7;0.8;0.7;0.1;;;;30.8;15.0;14.9;0.2;;;;15.0;14.9;0.2;;;;;;;;;15.8;15.8;1.8;;;;;;;;0.5;;0.8;0.1;;0.4;;;;;;;;14.0;1.1;12.8;0.1;;;;;;;
4075;Total biomass;1992;31.4;31.3;0.7;0.6;0.1;;;;31.4;15.5;15.0;0.5;;;;15.5;15.0;0.5;;;;;;;;;15.9;15.9;1.9;;;;;;;;0.5;;0.9;0.1;;0.4;;;;;;;;14.1;1.2;12.8;0.1;;;;;;;
4076;Total biomass;1993;33.7;33.6;0.7;0.6;0.1;;;;33.7;17.5;17.0;0.5;;;;17.5;17.0;0.5;;;;;;;;;16.2;16.2;1.9;;;;;;;;0.5;;0.9;0.1;;0.4;;;;;;;;14.3;1.3;12.9;0.1;;;;;;;
4077;Total biomass;1994;33.6;33.5;0.7;0.6;0.1;;;;33.6;17.1;16.7;0.4;;;;17.1;16.7;0.4;;;;;;;;;16.5;16.5;2.0;;;;;;;;0.7;;0.9;0.1;;0.4;;;;;;;;14.4;1.2;13.1;0.1;;;;;;;
4078;Total biomass;1995;36.8;36.7;0.7;0.6;0.1;;;0.0;36.8;19.3;18.7;0.6;;;;19.3;18.7;0.6;;;;;;;;;17.5;17.5;3.0;;0.0;0.2;;;;;0.6;0.1;2.2;;;;;;;;;;;14.4;1.0;13.3;0.1;;;;;;;
4079;Total biomass;1996;42.0;41.9;0.8;0.7;0.1;;;0.1;41.9;23.9;23.1;0.8;;;;23.9;23.1;0.8;;;;;;;;;18.0;18.0;3.2;;0.0;0.1;0.0;;;;0.6;0.1;2.2;;;;;;;;;;;14.8;1.0;13.7;0.1;;;;;;;
4080;Total biomass;1997;45.5;45.4;0.6;0.5;0.1;;;-0.1;45.6;27.3;23.8;3.5;;;;27.3;23.8;3.5;;;;;;;;;18.3;18.3;3.1;;0.0;0.2;0.1;;;;0.5;0.1;2.3;;;;;;;;;;;15.1;1.1;13.9;0.1;;;;;;;
4081;Total biomass;1998;47.4;49.2;0.7;2.4;-1.7;;;0.0;47.5;29.2;25.7;3.5;;;;29.2;25.7;3.5;;;;;;;;;18.2;18.2;3.1;;0.0;0.2;0.1;;;;0.5;0.1;2.2;;;;;;;;;;;15.1;1.1;13.9;0.1;;;;;;;
4082;Total biomass;1999;49.7;52.1;0.8;3.3;-2.5;;;0.0;49.7;31.5;26.8;4.7;;;;31.5;26.8;4.7;;;;;;;;;18.2;18.2;3.0;;0.0;0.1;0.2;;;;0.4;0.1;2.1;;;;;;;;;;;15.2;1.1;14.0;0.1;;;;;;;
4083;Total biomass;2000;52.5;56.7;0.8;5.0;-4.1;;;0.0;52.6;34.5;29.6;4.9;;;;34.5;29.6;4.9;;;;;;;;;18.0;18.0;2.9;;0.0;0.1;0.3;;;;0.4;0.1;2.0;;;;;;;;;;;15.2;1.0;14.0;0.1;;;;;;;
4084;Total biomass;2001;55.5;61.1;1.8;7.4;-5.6;;;0.0;55.5;37.7;33.5;4.2;;;;37.7;33.5;4.2;;;;;;;;;17.8;17.8;2.8;;0.0;;0.3;;;;0.4;0.1;1.9;;;;;;;;;;;15.0;0.9;13.9;0.1;;;;;;;
4085;Total biomass;2002;60.7;67.0;5.4;11.7;-6.2;;;0.0;60.7;43.1;38.7;4.4;;;;43.1;38.7;4.4;;;;;;;;;17.7;17.7;3.0;;0.0;;0.6;;;;0.4;0.1;1.8;;;;;;;;;;;14.7;0.8;13.9;0.1;;;;;;;
4086;Total biomass;2003;57.8;66.0;3.5;11.8;-8.3;;;0.0;57.8;39.6;35.3;4.3;;;;39.6;35.3;4.3;;;;;;;;;18.2;18.2;3.2;;0.0;;0.9;;;;0.5;0.1;1.7;;;;;;;;;;;15.0;0.7;14.2;0.1;;;;;;;
4087;Total biomass;2004;67.3;70.1;11.8;14.7;-2.8;;;0.0;67.3;47.5;42.8;4.7;;;;47.5;42.8;4.7;;;;;;;;;19.8;19.8;4.1;;0.1;;1.2;;;;0.8;0.2;1.6;;;0.2;;;;;;;;15.7;0.7;14.9;0.1;;;;;;;
4088;Total biomass;2005;85.6;73.1;25.8;13.3;12.5;;;0.2;85.4;64.9;59.9;5.0;;;;64.9;59.9;5.0;;;;;;;;;20.5;20.5;4.0;;0.1;;1.3;;;;0.8;0.1;1.7;;;0.1;;;;;;;;16.5;0.7;15.7;0.1;;;;;;;
4089;Total biomass;2006;89.0;78.3;23.7;13.0;10.7;;;0.1;88.9;66.9;59.8;7.1;1.7;;1.7;65.3;59.8;5.4;;;;;;;;;23.6;23.6;4.6;;0.1;;1.4;;;;1.0;0.1;1.4;;;0.5;1.8;;1.8;;;;;17.3;0.4;16.4;0.5;;;;;;;
4090;Total biomass;2007;89.5;79.8;27.2;14.6;12.6;;-2.9;-0.2;89.7;68.1;49.3;18.9;13.7;;13.7;54.4;49.3;5.1;;;;;;;;;35.3;35.3;4.8;;0.1;;1.3;;;;1.2;0.1;1.6;;;0.5;13.0;;13.0;;;;;17.4;0.5;16.4;0.5;;;;;;;
4091;Total biomass;2008;104.2;89.4;35.1;16.2;18.9;;-4.1;0.0;104.2;85.7;64.1;21.6;15.9;;15.9;69.8;64.1;5.7;;;;;;;;;34.4;34.4;4.6;;0.2;;1.2;;;;1.0;0.1;1.4;;;0.7;12.0;;12.0;;;;;17.8;0.4;16.5;0.8;;;;;;;
4092;Total biomass;2009;117.8;102.3;29.7;13.8;15.9;;-0.5;0.0;117.7;97.0;73.3;23.8;17.6;;17.6;79.4;73.3;6.2;;;;;;;;;38.3;38.3;4.8;;0.4;;1.2;;;;1.2;0.2;1.4;;;0.5;15.6;;15.6;;;;;17.9;0.3;16.8;0.9;;;;;;;
4093;Total biomass;2010;119.2;111.4;29.8;24.5;5.2;;2.6;-0.1;119.3;96.2;81.6;14.5;8.6;;8.6;87.5;81.6;5.9;;;;;;;;;31.8;31.8;3.6;;0.1;;1.0;;;;0.7;0.2;1.3;;;0.3;9.6;;9.6;;;;;18.6;0.6;17.1;1.0;;;;;;;
4094;Total biomass;2011;122.9;113.5;31.7;20.5;11.2;;-1.8;-0.1;123.0;97.5;82.2;15.3;10.1;;10.1;87.5;82.2;5.3;;;;;;;;;35.5;35.5;3.0;;0.1;;1.0;;;;0.5;0.2;0.9;0.1;;0.3;13.4;;13.4;;;;;19.1;0.7;17.4;1.0;;;;;;;
4095;Total biomass;2012;126.4;141.9;31.8;45.1;-13.2;;-2.3;-0.1;126.5;104.4;88.6;15.7;13.9;;13.9;90.5;88.6;1.9;;;;;;;;;35.9;35.9;3.5;;0.1;;0.9;;;;0.5;0.2;0.9;0.6;;0.3;13.1;;13.1;0.0;;;;19.4;1.0;16.9;1.5;;;;;;;
4096;Total biomass;2013;118.0;157.0;23.4;58.5;-35.0;;-4.0;-0.1;118.0;97.7;79.5;18.2;15.6;;15.6;82.1;79.5;2.6;;;;;;;;;35.9;35.9;3.5;;0.1;;0.8;;;;0.7;0.2;0.9;0.5;;0.3;12.5;;12.5;0.0;;;;19.8;1.3;17.0;1.6;;;;;;;
4097;Total biomass;2014;115.9;162.5;20.6;70.2;-49.6;;3.0;0.0;115.9;93.7;72.9;20.7;17.2;;17.2;76.5;72.9;3.6;;;;;;;;;39.4;39.4;3.8;;0.3;;0.8;;;;0.6;0.2;1.0;0.6;;0.3;14.6;;14.6;0.0;;;;20.9;1.1;16.9;2.9;;;;;;;
4098;Total biomass;2015;115.4;162.7;21.4;69.2;-47.8;;0.5;-0.2;115.6;92.1;73.1;19.0;15.5;;15.5;76.6;73.1;3.5;;;;;;;;;39.0;39.0;5.7;;0.3;;0.6;;;;1.4;1.5;1.0;0.7;;0.2;12.3;;12.3;0.0;;;;21.0;1.2;16.7;3.0;;;;;;;
4099;Total biomass;2016;115.0;157.8;21.6;63.8;-42.1;;-0.7;-0.3;115.3;90.8;74.5;16.3;12.2;;12.2;78.5;74.5;4.1;;;;;;;;;36.7;36.7;5.6;;0.3;;0.6;;;;1.2;1.5;1.1;0.6;;0.2;9.9;;9.8;0.0;;;;21.3;1.5;16.6;3.1;;;;;;;
4100;Total biomass;2017;118.2;177.5;21.0;76.3;-55.3;;-4.0;-0.2;118.4;94.9;73.7;21.2;16.8;;16.8;78.1;73.7;4.5;;;;;;;;;40.3;40.3;5.4;;0.3;;0.6;;;;1.2;1.5;0.7;0.8;;0.2;12.7;;12.7;0.0;;;;22.1;1.7;16.5;4.0;;;;;;;
4101;Total biomass;2018;128.4;173.6;23.5;61.4;-37.9;0.7;-6.6;-0.5;128.9;103.6;72.0;31.6;26.4;;26.4;77.2;72.0;5.2;;;;;;;;;51.6;51.6;7.2;;0.4;;0.7;;;;2.4;1.8;0.5;1.4;;0.1;20.7;;20.5;0.1;;0.1;;23.7;1.7;16.5;5.5;;;;;;;
4102;Total biomass;2019;149.0;184.0;33.9;67.1;-33.2;2.0;0.2;-0.4;149.4;127.6;85.3;42.4;34.9;;34.9;92.7;85.3;7.5;;;;;;;;;56.6;56.6;6.4;;0.2;;0.0;;0.0;;2.0;1.8;0.5;1.7;0.0;0.1;25.5;;25.4;0.1;;0.1;;24.7;2.0;16.3;6.4;;;;;;;
4103;Total biomass;2020;176.8;194.7;62.3;72.3;-9.9;9.9;2.0;0.2;176.6;166.7;112.4;54.2;42.9;;42.9;123.7;112.4;11.3;;;;;;;;;52.9;52.9;5.7;;0.1;;0.0;;0.0;;1.7;1.7;0.5;1.5;0.0;0.1;21.8;;21.7;0.1;;0.1;;25.4;2.2;16.2;7.0;;;;;;;
4104;Total biomass;2021;203.3;202.4;76.8;66.0;10.8;7.0;-3.0;-0.3;203.6;186.2;133.3;52.9;39.2;;39.2;147.0;133.3;13.7;;;;;;;;;56.6;56.6;5.8;;0.1;;0.0;;;;1.4;1.9;0.5;1.8;0.0;0.1;24.8;;24.7;0.1;;0.0;;26.0;2.1;16.2;7.8;;;;;;;
4105;Total biomass;2022;190.9;196.8;73.7;44.7;29.0;19.0;-15.9;-0.1;191.0;186.6;122.7;63.8;49.8;;49.8;136.8;122.7;14.0;;;;;;;;;54.2;54.2;6.5;;0.3;;0.0;;;;1.8;1.8;0.4;1.6;;0.6;23.0;;22.9;0.1;;0.1;;24.8;1.4;16.2;7.1;;;;;;;
4106;Total biomass;2023;166.3;196.6;55.9;83.2;-27.3;16.4;13.5;0.0;166.3;160.3;99.6;60.7;46.5;;46.5;113.8;99.6;14.2;;;;;;;;;52.5;52.5;5.5;;0.3;;0.0;;;;1.0;1.7;0.4;1.8;;0.3;22.9;;22.8;0.1;;0.0;;24.1;3.8;16.2;4.2;;;;;;;
4107;Total biomass;2024;;;;;;;;;;;97.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4108;"Municipal waste; renewable fraction";1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4109;"Municipal waste; renewable fraction";1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4110;"Municipal waste; renewable fraction";1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4111;"Municipal waste; renewable fraction";1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4112;"Municipal waste; renewable fraction";1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4113;"Municipal waste; renewable fraction";1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4114;"Municipal waste; renewable fraction";1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4115;"Municipal waste; renewable fraction";1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4116;"Municipal waste; renewable fraction";1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4117;"Municipal waste; renewable fraction";1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4118;"Municipal waste; renewable fraction";1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4119;"Municipal waste; renewable fraction";1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4120;"Municipal waste; renewable fraction";1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4121;"Municipal waste; renewable fraction";1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4122;"Municipal waste; renewable fraction";1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4123;"Municipal waste; renewable fraction";1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4124;"Municipal waste; renewable fraction";1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4125;"Municipal waste; renewable fraction";1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4126;"Municipal waste; renewable fraction";1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4127;"Municipal waste; renewable fraction";1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4128;"Municipal waste; renewable fraction";1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4129;"Municipal waste; renewable fraction";1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4130;"Municipal waste; renewable fraction";1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4131;"Municipal waste; renewable fraction";1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4132;"Municipal waste; renewable fraction";1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4133;"Municipal waste; renewable fraction";1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4134;"Municipal waste; renewable fraction";1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4135;"Municipal waste; renewable fraction";1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4136;"Municipal waste; renewable fraction";1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4137;"Municipal waste; renewable fraction";1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4138;"Municipal waste; renewable fraction";1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4139;"Municipal waste; renewable fraction";1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4140;"Municipal waste; renewable fraction";1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4141;"Municipal waste; renewable fraction";1979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4142;"Municipal waste; renewable fraction";1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4143;"Municipal waste; renewable fraction";1981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4144;"Municipal waste; renewable fraction";1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4145;"Municipal waste; renewable fraction";1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4146;"Municipal waste; renewable fraction";1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4147;"Municipal waste; renewable fraction";1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4148;"Municipal waste; renewable fraction";1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4149;"Municipal waste; renewable fraction";1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;"Municipal waste; renewable fraction";1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4151;"Municipal waste; renewable fraction";1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4152;"Municipal waste; renewable fraction";1990;13.2;13.2;;;;;;;13.2;13.2;13.2;;;;;13.2;13.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4153;"Municipal waste; renewable fraction";1991;12.9;12.9;;;;;;;12.9;12.9;12.9;;;;;12.9;12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4154;"Municipal waste; renewable fraction";1992;12.9;12.9;;;;;;;12.9;12.9;12.9;;;;;12.9;12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4155;"Municipal waste; renewable fraction";1993;14.5;14.5;;;;;;;14.5;14.5;14.5;;;;;14.5;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4156;"Municipal waste; renewable fraction";1994;13.7;13.7;;;;;;;13.7;13.7;13.7;;;;;13.7;13.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4157;"Municipal waste; renewable fraction";1995;15.4;15.4;;;;;;;15.4;15.4;15.2;0.2;;;;15.4;15.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4158;"Municipal waste; renewable fraction";1996;19.6;19.6;;;;;;;19.6;19.6;19.1;0.4;;;;19.6;19.1;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4159;"Municipal waste; renewable fraction";1997;23.0;23.0;;;;;;;23.0;23.0;19.9;3.1;;;;23.0;19.9;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4160;"Municipal waste; renewable fraction";1998;24.5;24.5;;;;;;;24.5;24.5;21.4;3.1;;;;24.5;21.4;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4161;"Municipal waste; renewable fraction";1999;25.4;25.4;;;;;;;25.4;25.4;21.3;4.2;;;;25.4;21.3;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4162;"Municipal waste; renewable fraction";2000;25.5;25.5;;;;;;;25.5;25.5;21.6;3.9;;;;25.5;21.6;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4163;"Municipal waste; renewable fraction";2001;24.6;24.6;;;;;;;24.6;24.6;21.4;3.2;;;;24.6;21.4;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4164;"Municipal waste; renewable fraction";2002;25.5;25.5;;;;;;;25.5;25.5;22.1;3.4;;;;25.5;22.1;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4165;"Municipal waste; renewable fraction";2003;25.1;25.1;;;;;;;25.1;25.1;21.7;3.3;;;;25.1;21.7;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4166;"Municipal waste; renewable fraction";2004;26.1;26.1;;;;;;;26.1;26.1;22.4;3.6;;;;26.1;22.4;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4167;"Municipal waste; renewable fraction";2005;26.7;26.7;;;;;;;26.7;26.7;23.2;3.4;;;;26.7;23.2;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4168;"Municipal waste; renewable fraction";2006;26.6;26.6;;;;;;;26.6;26.6;23.2;3.4;;;;26.6;23.2;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4169;"Municipal waste; renewable fraction";2007;27.8;27.8;;;;;;;27.8;27.8;24.3;3.5;;;;27.8;24.3;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4170;"Municipal waste; renewable fraction";2008;30.5;30.5;;;;;;;30.5;30.5;26.8;3.8;;;;30.5;26.8;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4171;"Municipal waste; renewable fraction";2009;32.4;32.4;;;;;;;32.4;32.4;27.9;4.5;;;;32.4;27.9;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4172;"Municipal waste; renewable fraction";2010;34.2;34.2;;;;;;;34.2;34.2;29.9;4.3;;;;34.2;29.9;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4173;"Municipal waste; renewable fraction";2011;37.4;36.7;1.9;1.3;0.7;;;0.0;37.4;37.4;33.7;3.7;;;;37.4;33.7;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4174;"Municipal waste; renewable fraction";2012;39.8;35.8;5.5;1.5;4.0;;;0.0;39.8;39.8;39.8;;;;;39.8;39.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4175;"Municipal waste; renewable fraction";2013;40.7;33.4;8.7;1.4;7.2;;;0.0;40.7;40.7;40.7;;;;;40.7;40.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4176;"Municipal waste; renewable fraction";2014;40.3;33.3;8.4;1.4;7.0;;;0.0;40.3;40.3;40.3;;;;;40.3;40.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
