ID;TransportModes;GoodsClassificationSITC;CaribbeanNetherlands;Periods;TotalImportsAndExports_1;Imports_2;Exports_3
677;Air transport;5 Chemicals and related products, n.e.s.;Caribbean Netherlands;2018;50;50;0
678;Air transport;5 Chemicals and related products, n.e.s.;Bonaire;2013;60;60;0
679;Air transport;5 Chemicals and related products, n.e.s.;Bonaire;2014;40;40;0
680;Air transport;5 Chemicals and related products, n.e.s.;Bonaire;2015;50;50;0
681;Air transport;5 Chemicals and related products, n.e.s.;Bonaire;2016;50;50;0
682;Air transport;5 Chemicals and related products, n.e.s.;Bonaire;2017;50;50;0
683;Air transport;5 Chemicals and related products, n.e.s.;Bonaire;2018;50;50;0
684;Air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2013;0;0;0
685;Air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2014;0;0;0
686;Air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2015;0;0;0
687;Air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2016;0;0;0
688;Air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2017;0;0;0
689;Air transport;5 Chemicals and related products, n.e.s.;St. Eustatius;2018;0;0;0
690;Air transport;5 Chemicals and related products, n.e.s.;Saba;2013;0;0;0
691;Air transport;5 Chemicals and related products, n.e.s.;Saba;2014;0;0;0
692;Air transport;5 Chemicals and related products, n.e.s.;Saba;2015;0;0;0
693;Air transport;5 Chemicals and related products, n.e.s.;Saba;2016;0;0;0
694;Air transport;5 Chemicals and related products, n.e.s.;Saba;2017;0;0;0
695;Air transport;5 Chemicals and related products, n.e.s.;Saba;2018;0;0;0
696;Air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2013;30;30;0
697;Air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2014;30;30;0
698;Air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2015;60;50;0
699;Air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2016;60;60;0
700;Air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2017;60;60;0
701;Air transport;6 Manufactured goods classified chief...;Caribbean Netherlands;2018;80;80;0
702;Air transport;6 Manufactured goods classified chief...;Bonaire;2013;30;30;0
703;Air transport;6 Manufactured goods classified chief...;Bonaire;2014;30;30;0
704;Air transport;6 Manufactured goods classified chief...;Bonaire;2015;60;50;0
705;Air transport;6 Manufactured goods classified chief...;Bonaire;2016;60;60;0
706;Air transport;6 Manufactured goods classified chief...;Bonaire;2017;60;60;0
707;Air transport;6 Manufactured goods classified chief...;Bonaire;2018;80;70;0
708;Air transport;6 Manufactured goods classified chief...;St. Eustatius;2013;0;0;0
709;Air transport;6 Manufactured goods classified chief...;St. Eustatius;2014;0;0;0
710;Air transport;6 Manufactured goods classified chief...;St. Eustatius;2015;0;0;0
711;Air transport;6 Manufactured goods classified chief...;St. Eustatius;2016;0;0;0
712;Air transport;6 Manufactured goods classified chief...;St. Eustatius;2017;0;0;0
713;Air transport;6 Manufactured goods classified chief...;St. Eustatius;2018;0;0;0
714;Air transport;6 Manufactured goods classified chief...;Saba;2013;0;0;0
715;Air transport;6 Manufactured goods classified chief...;Saba;2014;0;0;0
716;Air transport;6 Manufactured goods classified chief...;Saba;2015;0;0;0
717;Air transport;6 Manufactured goods classified chief...;Saba;2016;0;0;0
718;Air transport;6 Manufactured goods classified chief...;Saba;2017;0;0;0
719;Air transport;6 Manufactured goods classified chief...;Saba;2018;0;0;0
720;Air transport;7 Machinery and transport equipment;Caribbean Netherlands;2013;80;60;20
721;Air transport;7 Machinery and transport equipment;Caribbean Netherlands;2014;50;50;0
722;Air transport;7 Machinery and transport equipment;Caribbean Netherlands;2015;80;70;10
723;Air transport;7 Machinery and transport equipment;Caribbean Netherlands;2016;90;90;0
724;Air transport;7 Machinery and transport equipment;Caribbean Netherlands;2017;110;110;0
725;Air transport;7 Machinery and transport equipment;Caribbean Netherlands;2018;90;90;0
726;Air transport;7 Machinery and transport equipment;Bonaire;2013;80;60;20
727;Air transport;7 Machinery and transport equipment;Bonaire;2014;50;50;0
728;Air transport;7 Machinery and transport equipment;Bonaire;2015;80;70;10
729;Air transport;7 Machinery and transport equipment;Bonaire;2016;90;90;0
730;Air transport;7 Machinery and transport equipment;Bonaire;2017;110;100;0
731;Air transport;7 Machinery and transport equipment;Bonaire;2018;90;90;0
732;Air transport;7 Machinery and transport equipment;St. Eustatius;2013;0;0;0
733;Air transport;7 Machinery and transport equipment;St. Eustatius;2014;0;0;0
734;Air transport;7 Machinery and transport equipment;St. Eustatius;2015;0;0;0
735;Air transport;7 Machinery and transport equipment;St. Eustatius;2016;0;0;0
736;Air transport;7 Machinery and transport equipment;St. Eustatius;2017;0;0;0
737;Air transport;7 Machinery and transport equipment;St. Eustatius;2018;0;0;0
738;Air transport;7 Machinery and transport equipment;Saba;2013;0;0;0
739;Air transport;7 Machinery and transport equipment;Saba;2014;0;0;0
740;Air transport;7 Machinery and transport equipment;Saba;2015;0;0;0
741;Air transport;7 Machinery and transport equipment;Saba;2016;0;0;0
742;Air transport;7 Machinery and transport equipment;Saba;2017;0;0;0
743;Air transport;7 Machinery and transport equipment;Saba;2018;0;0;0
744;Air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2013;60;60;0
745;Air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2014;50;50;0
746;Air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2015;80;70;0
747;Air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2016;90;90;0
748;Air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2017;100;100;0
749;Air transport;8 Miscellaneous manufactured articles;Caribbean Netherlands;2018;140;130;0
750;Air transport;8 Miscellaneous manufactured articles;Bonaire;2013;60;60;0
751;Air transport;8 Miscellaneous manufactured articles;Bonaire;2014;50;50;0
752;Air transport;8 Miscellaneous manufactured articles;Bonaire;2015;80;70;0
753;Air transport;8 Miscellaneous manufactured articles;Bonaire;2016;90;90;0
754;Air transport;8 Miscellaneous manufactured articles;Bonaire;2017;100;100;0
755;Air transport;8 Miscellaneous manufactured articles;Bonaire;2018;140;130;0
756;Air transport;8 Miscellaneous manufactured articles;St. Eustatius;2013;0;0;0
757;Air transport;8 Miscellaneous manufactured articles;St. Eustatius;2014;0;0;0
758;Air transport;8 Miscellaneous manufactured articles;St. Eustatius;2015;0;0;0
759;Air transport;8 Miscellaneous manufactured articles;St. Eustatius;2016;0;0;0
760;Air transport;8 Miscellaneous manufactured articles;St. Eustatius;2017;0;0;0
761;Air transport;8 Miscellaneous manufactured articles;St. Eustatius;2018;0;0;0
762;Air transport;8 Miscellaneous manufactured articles;Saba;2013;0;0;0
763;Air transport;8 Miscellaneous manufactured articles;Saba;2014;0;0;0
764;Air transport;8 Miscellaneous manufactured articles;Saba;2015;0;0;0
765;Air transport;8 Miscellaneous manufactured articles;Saba;2016;0;0;0
766;Air transport;8 Miscellaneous manufactured articles;Saba;2017;0;0;0
767;Air transport;8 Miscellaneous manufactured articles;Saba;2018;0;0;0
768;Air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2013;220;210;0
769;Air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2014;160;150;0
770;Air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2015;80;70;0
771;Air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2016;50;50;0
772;Air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2017;40;30;0
773;Air transport;9 Commodities and transactions not cl...;Caribbean Netherlands;2018;40;40;0
774;Air transport;9 Commodities and transactions not cl...;Bonaire;2013;140;140;0
775;Air transport;9 Commodities and transactions not cl...;Bonaire;2014;100;90;0
776;Air transport;9 Commodities and transactions not cl...;Bonaire;2015;0;0;0
777;Air transport;9 Commodities and transactions not cl...;Bonaire;2016;0;0;0
778;Air transport;9 Commodities and transactions not cl...;Bonaire;2017;0;0;0
779;Air transport;9 Commodities and transactions not cl...;Bonaire;2018;0;0;0
780;Air transport;9 Commodities and transactions not cl...;St. Eustatius;2013;40;30;0
781;Air transport;9 Commodities and transactions not cl...;St. Eustatius;2014;40;40;0
782;Air transport;9 Commodities and transactions not cl...;St. Eustatius;2015;70;60;0
783;Air transport;9 Commodities and transactions not cl...;St. Eustatius;2016;40;40;0
784;Air transport;9 Commodities and transactions not cl...;St. Eustatius;2017;20;20;0
785;Air transport;9 Commodities and transactions not cl...;St. Eustatius;2018;30;30;0
786;Air transport;9 Commodities and transactions not cl...;Saba;2013;40;40;0
787;Air transport;9 Commodities and transactions not cl...;Saba;2014;20;20;0
788;Air transport;9 Commodities and transactions not cl...;Saba;2015;10;10;0
789;Air transport;9 Commodities and transactions not cl...;Saba;2016;10;10;0
790;Air transport;9 Commodities and transactions not cl...;Saba;2017;10;10;0
791;Air transport;9 Commodities and transactions not cl...;Saba;2018;10;10;0
