ID;AangebodenDiensten;SoortCijfers;Perioden;TotaalAanbod_1;TotaalBedrijven_2;TotaalHorecabedrijven_3;Accommodatiebedrijven_4;RestaurantsEnCafes_5;TotaalVervoersbedrijven_6;Vervoersbedrijven_7;ReisbureausED_8;TotaalCultuurSportEnRecreatie_9;CultureleInstellingen_10;OverigeRecreatiebedrijven_11;OverigeBedrijven_12;AanbodViaInvoer_13;AanbodViaProductgebBelEnSubs_14;AanbodViaHandelsVervoersmarges_15
146;Aanbod passagiersvervoer;Lopende prijzen;2004;4478;5045;0;0;0;5045;5045;0;0;0;0;0;0;-567;0
147;Aanbod passagiersvervoer;Lopende prijzen;2005;4809;5374;0;0;0;5374;5374;0;0;0;0;0;0;-565;0
148;Aanbod passagiersvervoer;Lopende prijzen;2006;5135;5713;0;0;0;5713;5713;0;0;0;0;0;0;-578;0
149;Aanbod passagiersvervoer;Lopende prijzen;2007;5391;5989;0;0;0;5989;5989;0;0;0;0;0;0;-598;0
150;Aanbod passagiersvervoer;Lopende prijzen;2008;5874;6308;0;0;0;6308;6308;0;0;0;0;0;0;-434;0
151;Aanbod passagiersvervoer;Lopende prijzen;2009;5147;5617;0;0;0;5617;5617;0;0;0;0;0;0;-470;0
152;Aanbod passagiersvervoer;Lopende prijzen;2010;5229;5835;0;0;0;5835;5835;0;0;0;0;0;0;-606;0
153;Aanbod passagiersvervoer;Lopende prijzen;2011;5495;6089;0;0;0;6089;6089;0;0;0;0;0;0;-594;0
154;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2001;935;935;0;0;0;921;14;907;0;0;0;14;0;0;0
155;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2002;951;951;0;0;0;938;13;926;0;0;0;13;0;0;0
156;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2003;983;983;0;0;0;972;8;964;0;0;0;11;0;0;0
157;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2004;998;998;0;0;0;987;9;978;0;0;0;11;0;0;0
158;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2005;981;981;0;0;0;970;8;962;0;0;0;11;0;0;0
159;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2006;975;975;0;0;0;964;7;957;0;0;0;11;0;0;0
160;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2007;1023;1022;0;0;0;1011;7;1004;0;0;0;11;0;0;0
161;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2008;1049;1048;0;0;0;1037;6;1031;0;0;0;11;0;0;0
162;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2009;981;981;0;0;0;970;6;964;0;0;0;11;0;0;0
163;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2010;997;997;0;0;0;985;6;979;0;0;0;12;0;0;0
164;Aanbod reisbemiddeling en reisorg;Prijsniveau 2005;2011;1029;1029;0;0;0;1016;6;1010;0;0;0;13;0;0;0
165;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2001;869;869;0;0;0;855;11;844;0;0;0;14;0;0;0
166;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2002;912;912;0;0;0;899;10;889;0;0;0;13;0;0;0
167;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2003;963;963;0;0;0;952;7;945;0;0;0;11;0;0;0
168;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2004;976;976;0;0;0;965;8;957;0;0;0;11;0;0;0
169;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2005;981;981;0;0;0;970;8;962;0;0;0;11;0;0;0
170;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2006;997;997;0;0;0;986;6;980;0;0;0;11;0;0;0
171;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2007;1069;1069;0;0;0;1058;6;1052;0;0;0;11;0;0;0
172;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2008;1118;1118;0;0;0;1107;5;1102;0;0;0;11;0;0;0
173;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2009;1095;1095;0;0;0;1084;5;1079;0;0;0;11;0;0;0
174;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2010;1113;1113;0;0;0;1102;5;1097;0;0;0;11;0;0;0
175;Aanbod reisbemiddeling en reisorg;Lopende prijzen;2011;1170;1170;0;0;0;1158;5;1153;0;0;0;12;0;0;0
176;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2001;4548;4858;314;94;220;6;6;0;4398;2281;2117;142;0;-310;0
177;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2002;4626;4918;310;91;219;6;6;0;4487;2321;2166;117;0;-294;0
178;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2003;4587;4889;283;84;199;3;3;0;4471;2291;2180;133;0;-304;0
179;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2004;4614;4936;284;86;198;3;3;0;4481;2299;2182;169;0;-322;0
180;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2005;4639;4964;285;88;197;3;3;0;4495;2301;2194;181;0;-325;0
181;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2006;4846;5195;295;91;204;3;3;0;4715;2410;2305;182;0;-348;0
182;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2007;4977;5306;301;95;206;3;3;0;4825;2440;2384;176;0;-332;0
183;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2008;4988;5308;289;93;196;3;3;0;4838;2442;2395;177;0;-323;0
184;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2009;4942;5274;279;90;189;3;3;0;4813;2408;2406;178;0;-336;0
185;Totaal aanbod cultuur, sport & recreatie;Prijsniveau 2005;2010;4928;5267;277;90;187;3;3;0;4809;2407;2403;177;0;-344;0
