ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;ZonderVertraging_2;TotaalMetVertraging_3;VertraagdBinnenGelijkNiveau_4;VertraagdNaarHogerNiveau_5;VertraagdNaarLagerNiveau_6;VertraagdNaarHogerEnLagerNiveau_7;VertraagdNiveauveranderingOnbekend_8;VertragingOnbekend_9;ZonderVertraging_10;TotaalMetVertraging_11;VertraagdBinnenGelijkNiveau_12;VertraagdNaarHogerNiveau_13;VertraagdNaarLagerNiveau_14;VertraagdNaarHogerEnLagerNiveau_15;VertraagdNiveauveranderingOnbekend_16;VertragingOnbekend_17
5375;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-gt;7 jaar na startjaar;Leerlingen uit vo op peilmoment;3352.0;2064.0;1251.0;610.0;352.0;242.0;46.0;1.0;37.0;62.0;37.0;18.0;11.0;7.0;1.0;0.0;1.0
5376;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;1 jaar na startjaar;Totaal;4927.0;3957.0;560.0;554.0;6.0;0.0;;;410.0;80.0;11.0;11.0;0.0;0.0;;;8.0
5377;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;1 jaar na startjaar;Leerlingen in vo op peilmoment;4584.0;3957.0;560.0;554.0;6.0;0.0;;;67.0;86.0;12.0;12.0;0.0;0.0;;;1.0
5378;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;1 jaar na startjaar;Leerlingen uit vo op peilmoment;343.0;0.0;0.0;0.0;0.0;0.0;;;343.0;0.0;0.0;0.0;0.0;0.0;;;100.0
5379;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;2 jaar na startjaar;Totaal;4927.0;3816.0;737.0;696.0;14.0;6.0;2.0;19.0;374.0;77.0;15.0;14.0;0.0;0.0;0.0;0.0;8.0
5380;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;2 jaar na startjaar;Leerlingen in vo op peilmoment;4265.0;3672.0;532.0;491.0;14.0;6.0;2.0;19.0;61.0;86.0;12.0;12.0;0.0;0.0;0.0;0.0;1.0
5381;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;2 jaar na startjaar;Leerlingen uit vo op peilmoment;662.0;144.0;205.0;205.0;0.0;0.0;0.0;0.0;313.0;22.0;31.0;31.0;0.0;0.0;0.0;0.0;47.0
5382;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;3 jaar na startjaar;Totaal;4927.0;3553.0;1010.0;898.0;32.0;55.0;8.0;17.0;364.0;72.0;20.0;18.0;1.0;1.0;0.0;0.0;7.0
5383;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;3 jaar na startjaar;Leerlingen in vo op peilmoment;3970.0;3230.0;691.0;590.0;32.0;53.0;8.0;8.0;49.0;81.0;17.0;15.0;1.0;1.0;0.0;0.0;1.0
5384;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;3 jaar na startjaar;Leerlingen uit vo op peilmoment;957.0;323.0;319.0;308.0;0.0;2.0;0.0;9.0;315.0;34.0;33.0;32.0;0.0;0.0;0.0;1.0;33.0
5385;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;4 jaar na startjaar;Totaal;4927.0;3223.0;1346.0;1046.0;177.0;81.0;25.0;17.0;358.0;65.0;27.0;21.0;4.0;2.0;1.0;0.0;7.0
5386;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;4 jaar na startjaar;Leerlingen in vo op peilmoment;991.0;76.0;876.0;603.0;171.0;71.0;25.0;6.0;39.0;8.0;88.0;61.0;17.0;7.0;3.0;1.0;4.0
5387;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;4 jaar na startjaar;Leerlingen uit vo op peilmoment;3936.0;3147.0;470.0;443.0;6.0;10.0;0.0;11.0;319.0;80.0;12.0;11.0;0.0;0.0;0.0;0.0;8.0
5388;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;5 jaar na startjaar;Totaal;4927.0;3215.0;1355.0;1040.0;189.0;84.0;25.0;17.0;357.0;65.0;28.0;21.0;4.0;2.0;1.0;0.0;7.0
5389;Totaal leerlingen startjaar;Niet-westerse migratieachtergrond;2010;Brugklas vmbo-alle leerwegen;5 jaar na startjaar;Leerlingen in vo op peilmoment;231.0;12.0;202.0;58.0;128.0;5.0;10.0;1.0;17.0;5.0;87.0;25.0;55.0;2.0;4.0;0.0;7.0
