ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;TotalPressure_8;GreenPressure_9;GreyPressure_10;LiveBirths_11;TotalFertilityRate_12;Deaths_13;Total_14;Men_15;Women_16;Total_17;Men_18;Women_19;Immigration_20;EmigrationInclNetAdmCorr_21;NetMigrationInclNetAdmCorr_22
69;Lower limit 95% forecast-interval;2036;16765590.0;3319842.0;8825020.0;4202286.0;19.3;50.7;23.8;83.3;36.1;44.0;147914.0;1.38;149911.0;81.24;79.88;82.59;19.02;18.12;19.92;117780.0;126505.0;-42584.0
70;Lower limit 95% forecast-interval;2037;16732899.0;3315606.0;8766159.0;4227701.0;19.2;50.3;23.9;84.1;36.1;44.6;144900.0;1.37;151008.0;81.33;79.96;82.68;19.07;18.16;19.97;117496.0;125891.0;-42890.0
71;Lower limit 95% forecast-interval;2038;16691747.0;3297024.0;8710369.0;4236861.0;19.2;50.0;24.0;84.5;36.1;44.9;142289.0;1.36;151547.0;81.41;80.04;82.77;19.13;18.21;20.03;117832.0;124900.0;-42383.0
72;Lower limit 95% forecast-interval;2039;16651120.0;3251046.0;8682430.0;4233394.0;19.1;49.9;23.9;84.4;35.8;44.9;139794.0;1.36;152989.0;81.5;80.12;82.86;19.18;18.26;20.09;116677.0;124067.0;-43339.0
73;Lower limit 95% forecast-interval;2040;16612539.0;3243176.0;8655273.0;4222658.0;19.0;49.9;23.8;84.2;35.6;44.7;138086.0;1.35;154510.0;81.58;80.2;82.95;19.23;18.3;20.16;116307.0;123082.0;-42600.0
74;Lower limit 95% forecast-interval;2041;16568038.0;3199501.0;8644474.0;4200257.0;18.9;49.8;23.7;83.9;35.3;44.3;136089.0;1.34;156258.0;81.67;80.27;83.04;19.29;18.36;20.21;115401.0;123083.0;-43175.0
75;Lower limit 95% forecast-interval;2042;16518586.0;3171491.0;8643364.0;4176166.0;18.8;49.8;23.6;83.5;35.1;44.0;133979.0;1.34;157350.0;81.75;80.35;83.13;19.34;18.4;20.27;115947.0;123158.0;-43116.0
76;Lower limit 95% forecast-interval;2043;16478809.0;3152547.0;8644124.0;4134465.0;18.7;49.9;23.5;82.8;34.9;43.7;132302.0;1.33;158698.0;81.84;80.43;83.22;19.4;18.46;20.33;115246.0;123314.0;-43560.0
77;Lower limit 95% forecast-interval;2044;16443738.0;3122701.0;8632238.0;4111144.0;18.5;49.9;23.3;82.2;34.6;43.3;131176.0;1.32;159862.0;81.92;80.51;83.3;19.45;18.5;20.39;115747.0;123297.0;-43480.0
78;Lower limit 95% forecast-interval;2045;16410541.0;3072791.0;8612712.0;4079303.0;18.4;49.9;23.1;81.9;34.3;43.0;130164.0;1.31;160660.0;82.0;80.59;83.39;19.49;18.55;20.44;115655.0;122858.0;-43828.0
79;Lower limit 95% forecast-interval;2046;16371626.0;3037022.0;8586848.0;4061432.0;18.3;50.0;23.0;81.7;33.9;42.8;128762.0;1.31;161295.0;82.08;80.67;83.48;19.55;18.6;20.5;116136.0;121708.0;-43316.0
80;Lower limit 95% forecast-interval;2047;16291598.0;3006337.0;8570654.0;4031039.0;18.2;50.0;22.9;81.5;33.7;42.4;128014.0;1.3;161922.0;82.16;80.75;83.56;19.61;18.65;20.55;115340.0;120924.0;-44595.0
81;Lower limit 95% forecast-interval;2048;16208014.0;2985267.0;8593747.0;4004256.0;18.0;50.1;22.7;81.1;33.4;41.8;127728.0;1.29;162750.0;82.25;80.83;83.64;19.66;18.7;20.6;115065.0;120278.0;-44324.0
82;Lower limit 95% forecast-interval;2049;16140228.0;2934659.0;8602815.0;3982471.0;17.9;50.2;22.6;80.0;33.1;41.3;128740.0;1.29;162930.0;82.32;80.91;83.73;19.71;18.75;20.66;115188.0;119655.0;-44333.0
83;Lower limit 95% forecast-interval;2050;16062478.0;2902576.0;8588372.0;3948282.0;17.8;50.2;22.4;79.6;32.8;41.0;129350.0;1.28;162883.0;82.41;80.98;83.81;19.77;18.8;20.72;116095.0;119776.0;-44465.0
84;Lower limit 95% forecast-interval;2051;16022531.0;2880794.0;8576662.0;3921579.0;17.6;50.3;22.3;79.1;32.6;40.7;129668.0;1.28;162841.0;82.49;81.06;83.89;19.82;18.85;20.77;116861.0;120267.0;-45725.0
85;Lower limit 95% forecast-interval;2052;15954147.0;2859998.0;8556099.0;3897249.0;17.6;50.3;22.2;78.9;32.4;40.4;129270.0;1.27;162845.0;82.56;81.14;83.97;19.87;18.9;20.82;116495.0;120618.0;-45876.0
86;Lower limit 95% forecast-interval;2053;15890711.0;2831080.0;8528766.0;3889781.0;17.6;50.4;22.0;78.7;32.2;40.2;129047.0;1.26;163054.0;82.64;81.22;84.05;19.92;18.95;20.88;116148.0;120907.0;-47373.0
87;Lower limit 95% forecast-interval;2054;15861516.0;2822451.0;8518534.0;3864282.0;17.4;50.3;21.9;78.4;32.0;39.9;128261.0;1.26;163453.0;82.72;81.29;84.13;19.98;19.0;20.93;115440.0;121568.0;-47997.0
88;Lower limit 95% forecast-interval;2055;15836725.0;2819048.0;8511138.0;3830955.0;17.3;50.3;21.8;78.2;31.6;39.8;126991.0;1.25;163884.0;82.8;81.37;84.2;20.03;19.04;20.98;115278.0;122127.0;-48990.0
89;Lower limit 95% forecast-interval;2056;15785848.0;2808314.0;8492408.0;3812356.0;17.2;50.2;21.8;77.9;31.6;39.7;125159.0;1.24;164240.0;82.88;81.45;84.28;20.08;19.1;21.03;114810.0;121869.0;-48381.0
90;Lower limit 95% forecast-interval;2057;15738862.0;2802041.0;8472075.0;3799166.0;17.3;50.2;21.8;77.9;31.6;39.7;123478.0;1.24;163757.0;82.96;81.52;84.36;20.12;19.14;21.08;115142.0;120874.0;-47738.0
91;Lower limit 95% forecast-interval;2058;15665545.0;2766903.0;8430411.0;3794631.0;17.2;50.1;21.9;77.7;31.5;39.6;122649.0;1.23;162669.0;83.04;81.6;84.43;20.17;19.19;21.13;116241.0;119790.0;-46728.0
92;Lower limit 95% forecast-interval;2059;15604491.0;2753898.0;8416564.0;3786488.0;17.1;49.9;21.7;77.6;31.3;39.6;121899.0;1.23;161094.0;83.11;81.67;84.5;20.22;19.24;21.18;116948.0;118944.0;-46307.0
93;Lower limit 95% forecast-interval;2060;15562876.0;2743058.0;8382261.0;3781880.0;17.1;49.9;21.7;77.5;31.3;39.7;;1.22;;83.18;81.75;84.58;20.27;19.29;21.23;;;
94;Upper limit 95% forecast-interval;2014;;;;;;;;;;;181829.0;1.78;152360.0;82.41;80.67;84.03;20.41;18.95;21.69;210092.0;167498.0;68370.0
95;Upper limit 95% forecast-interval;2015;16933802.0;3837915.0;10090797.0;3015468.0;22.7;59.6;17.8;68.0;38.1;30.0;187680.0;1.83;157646.0;82.91;81.19;84.5;20.78;19.34;22.05;224376.0;176568.0;80397.0
96;Upper limit 95% forecast-interval;2016;17047378.0;3840375.0;10120810.0;3107250.0;22.6;59.4;18.3;68.9;38.1;30.9;193102.0;1.87;163067.0;83.28;81.6;84.86;21.05;19.63;22.31;237119.0;184733.0;88601.0
97;Upper limit 95% forecast-interval;2017;17168802.0;3848216.0;10159156.0;3197315.0;22.5;59.3;18.8;69.8;38.1;31.9;197454.0;1.9;167205.0;83.63;81.96;85.19;21.29;19.9;22.54;248954.0;192524.0;92435.0
98;Upper limit 95% forecast-interval;2018;17290750.0;3859575.0;10182152.0;3293980.0;22.4;59.1;19.2;70.8;38.2;32.8;201808.0;1.92;171041.0;83.94;82.3;85.49;21.52;20.15;22.75;254721.0;199099.0;90739.0
99;Upper limit 95% forecast-interval;2019;17415562.0;3866991.0;10224274.0;3385505.0;22.3;58.9;19.7;71.7;38.2;33.8;206179.0;1.94;174368.0;84.24;82.63;85.78;21.73;20.39;22.95;258846.0;203215.0;89362.0
100;Upper limit 95% forecast-interval;2020;17534010.0;3875531.0;10263767.0;3480279.0;22.3;58.8;20.2;72.6;38.3;34.8;209608.0;1.95;177989.0;84.53;82.93;86.05;21.93;20.62;23.14;259322.0;206494.0;87407.0
101;Upper limit 95% forecast-interval;2021;17652884.0;3880465.0;10298386.0;3578154.0;22.2;58.6;20.7;73.6;38.4;35.8;212414.0;1.97;181585.0;84.82;83.25;86.32;22.14;20.86;23.33;261271.0;207705.0;89474.0
102;Upper limit 95% forecast-interval;2022;17773502.0;3895268.0;10326112.0;3673611.0;22.1;58.5;21.1;74.5;38.5;36.8;214839.0;1.98;185336.0;85.1;83.56;86.58;22.34;21.08;23.51;265491.0;209656.0;89297.0
103;Upper limit 95% forecast-interval;2023;17889388.0;3912453.0;10339624.0;3772178.0;22.1;58.3;21.6;75.7;38.7;37.9;217393.0;1.99;189238.0;85.37;83.86;86.83;22.55;21.31;23.69;268310.0;211951.0;89718.0
104;Upper limit 95% forecast-interval;2024;18003444.0;3933647.0;10365986.0;3876223.0;22.1;58.1;22.2;76.8;38.9;38.9;219900.0;2.01;191934.0;85.64;84.15;87.07;22.74;21.53;23.86;270200.0;213996.0;89549.0
105;Upper limit 95% forecast-interval;2025;18115724.0;3954645.0;10366274.0;3981033.0;22.1;57.8;22.7;78.3;39.2;40.1;222324.0;2.02;195139.0;85.9;84.43;87.31;22.92;21.75;24.03;270848.0;215447.0;89733.0
106;Upper limit 95% forecast-interval;2026;18231650.0;3990212.0;10363630.0;4079617.0;22.2;57.5;23.2;79.8;39.7;41.4;224724.0;2.03;198390.0;86.15;84.71;87.54;23.12;21.96;24.2;271915.0;216533.0;88393.0
107;Upper limit 95% forecast-interval;2027;18354024.0;4035149.0;10347097.0;4184964.0;22.3;57.2;23.7;81.4;40.1;42.7;226596.0;2.04;202119.0;86.41;84.99;87.78;23.31;22.17;24.37;273035.0;217597.0;88729.0
108;Upper limit 95% forecast-interval;2028;18470046.0;4073695.0;10322464.0;4291249.0;22.4;56.9;24.2;83.1;40.6;44.0;227963.0;2.05;204688.0;86.65;85.26;88.01;23.49;22.39;24.54;273374.0;217960.0;88261.0
109;Upper limit 95% forecast-interval;2029;18553292.0;4116202.0;10309529.0;4397280.0;22.6;56.6;24.7;84.8;41.1;45.3;229484.0;2.06;208236.0;86.91;85.52;88.25;23.68;22.59;24.73;275814.0;218802.0;88184.0
