ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
919;Beuningen;Eenoudergezin;0.3;29.1
920;Borculo;Totaal particulier huishouden;4.0;8.1
921;Borculo;Eenpersoonshuishouden;0.9;12.0
922;Borculo;Paar zonder kinderen;1.4;4.2
923;Borculo;Paar met kinderen;1.3;6.2
924;Borculo;Eenoudergezin;0.1;34.9
925;Brummen;Totaal particulier huishouden;8.2;6.4
926;Brummen;Eenpersoonshuishouden;1.8;11.0
927;Brummen;Paar zonder kinderen;3.0;3.2
928;Brummen;Paar met kinderen;2.7;4.5
929;Brummen;Eenoudergezin;0.3;29.5
930;Buren;Totaal particulier huishouden;9.6;6.5
931;Buren;Eenpersoonshuishouden;2.1;10.0
932;Buren;Paar zonder kinderen;3.1;4.6
933;Buren;Paar met kinderen;3.7;4.7
934;Buren;Eenoudergezin;0.3;19.3
935;Culemborg;Totaal particulier huishouden;10.1;7.6
936;Culemborg;Eenpersoonshuishouden;2.7;11.7
937;Culemborg;Paar zonder kinderen;2.9;3.9
938;Culemborg;Paar met kinderen;3.5;5.6
939;Culemborg;Eenoudergezin;0.5;24.2
940;Didam;Totaal particulier huishouden;6.2;6.9
941;Didam;Eenpersoonshuishouden;1.2;12.3
942;Didam;Paar zonder kinderen;2.0;4.7
943;Didam;Paar met kinderen;2.3;4.7
944;Didam;Eenoudergezin;0.3;17.9
945;Dinxperlo;Totaal particulier huishouden;3.3;6.8
946;Dinxperlo;Eenpersoonshuishouden;0.8;12.0
947;Dinxperlo;Paar zonder kinderen;1.1;3.7
948;Dinxperlo;Paar met kinderen;1.1;5.3
949;Dinxperlo;Eenoudergezin;0.1;18.0
950;Doesburg;Totaal particulier huishouden;4.6;8.8
951;Doesburg;Eenpersoonshuishouden;1.2;11.2
952;Doesburg;Paar zonder kinderen;1.5;7.3
953;Doesburg;Paar met kinderen;1.5;5.9
954;Doesburg;Eenoudergezin;0.2;30.5
955;Doetinchem;Totaal particulier huishouden;19.9;9.3
956;Doetinchem;Eenpersoonshuishouden;5.8;13.4
957;Doetinchem;Paar zonder kinderen;6.6;4.9
958;Doetinchem;Paar met kinderen;6.0;6.3
959;Doetinchem;Eenoudergezin;0.8;33.7
960;Druten;Totaal particulier huishouden;6.5;8.0
961;Druten;Eenpersoonshuishouden;1.5;16.3
962;Druten;Paar zonder kinderen;2.1;5.2
963;Druten;Paar met kinderen;2.4;4.9
964;Druten;Eenoudergezin;0.2;15.8
965;Duiven;Totaal particulier huishouden;9.5;6.6
966;Duiven;Eenpersoonshuishouden;1.9;13.2
967;Duiven;Paar zonder kinderen;3.1;2.4
968;Duiven;Paar met kinderen;3.8;4.6
969;Duiven;Eenoudergezin;0.3;30.3
970;Ede;Totaal particulier huishouden;38.8;8.0
971;Ede;Eenpersoonshuishouden;10.7;12.6
972;Ede;Paar zonder kinderen;11.5;3.7
973;Ede;Paar met kinderen;13.3;6.0
974;Ede;Eenoudergezin;1.7;24.4
975;Eibergen;Totaal particulier huishouden;6.1;8.9
976;Eibergen;Eenpersoonshuishouden;1.4;13.6
977;Eibergen;Paar zonder kinderen;1.9;6.8
978;Eibergen;Paar met kinderen;2.2;6.3
979;Eibergen;Eenoudergezin;0.2;22.1
980;Elburg;Totaal particulier huishouden;7.6;5.8
981;Elburg;Eenpersoonshuishouden;1.6;11.0
982;Elburg;Paar zonder kinderen;2.3;2.3
983;Elburg;Paar met kinderen;3.1;4.4
984;Elburg;Eenoudergezin;0.3;18.9
985;Epe;Totaal particulier huishouden;12.8;7.2
986;Epe;Eenpersoonshuishouden;3.2;10.7
987;Epe;Paar zonder kinderen;4.1;4.0
988;Epe;Paar met kinderen;4.2;6.3
989;Epe;Eenoudergezin;0.5;21.4
990;Ermelo;Totaal particulier huishouden;10.4;10.0
991;Ermelo;Eenpersoonshuishouden;3.5;19.6
992;Ermelo;Paar zonder kinderen;3.0;3.7
993;Ermelo;Paar met kinderen;3.3;5.0
994;Ermelo;Eenoudergezin;0.4;23.9
995;Geldermalsen;Totaal particulier huishouden;9.7;7.3
996;Geldermalsen;Eenpersoonshuishouden;2.4;14.1
997;Geldermalsen;Paar zonder kinderen;3.0;3.8
998;Geldermalsen;Paar met kinderen;3.7;4.8
999;Geldermalsen;Eenoudergezin;0.3;18.1
1000;Gendringen;Totaal particulier huishouden;7.8;8.9
1001;Gendringen;Eenpersoonshuishouden;1.8;15.8
1002;Gendringen;Paar zonder kinderen;2.4;5.4
1003;Gendringen;Paar met kinderen;2.9;6.7
1004;Gendringen;Eenoudergezin;0.3;19.2
1005;Gorssel;Totaal particulier huishouden;5.3;6.2
1006;Gorssel;Eenpersoonshuishouden;1.3;8.4
1007;Gorssel;Paar zonder kinderen;2.1;3.7
1008;Gorssel;Paar met kinderen;1.6;6.4
1009;Gorssel;Eenoudergezin;0.1;28.4
1010;Groenlo;Totaal particulier huishouden;3.8;5.2
1011;Groenlo;Eenpersoonshuishouden;1.1;9.3
1012;Groenlo;Paar zonder kinderen;1.3;2.0
1013;Groenlo;Paar met kinderen;1.2;3.2
1014;Groenlo;Eenoudergezin;0.1;21.9
1015;Groesbeek;Totaal particulier huishouden;7.1;7.4
1016;Groesbeek;Eenpersoonshuishouden;1.7;11.0
1017;Groesbeek;Paar zonder kinderen;2.4;6.6
1018;Groesbeek;Paar met kinderen;2.4;4.0
1019;Groesbeek;Eenoudergezin;0.3;23.1
1020;Harderwijk;Totaal particulier huishouden;15.6;8.0
1021;Harderwijk;Eenpersoonshuishouden;4.3;11.3
1022;Harderwijk;Paar zonder kinderen;4.5;4.8
1023;Harderwijk;Paar met kinderen;5.3;5.4
1024;Harderwijk;Eenoudergezin;0.8;29.1
1025;Hattem;Totaal particulier huishouden;4.5;5.1
1026;Hattem;Eenpersoonshuishouden;1.1;8.0
1027;Hattem;Paar zonder kinderen;1.6;4.1
1028;Hattem;Paar met kinderen;1.6;3.6
1029;Hattem;Eenoudergezin;0.1;10.9
1030;Heerde;Totaal particulier huishouden;6.9;4.5
1031;Heerde;Eenpersoonshuishouden;1.6;3.8
1032;Heerde;Paar zonder kinderen;2.3;4.0
1033;Heerde;Paar met kinderen;2.5;4.3
1034;Heerde;Eenoudergezin;0.2;17.3
1035;Hengelo (Gld.);Totaal particulier huishouden;3.2;5.0
1036;Hengelo (Gld.);Eenpersoonshuishouden;0.7;6.6
1037;Hengelo (Gld.);Paar zonder kinderen;1.1;4.6
1038;Hengelo (Gld.);Paar met kinderen;1.2;3.3
1039;Hengelo (Gld.);Eenoudergezin;0.1;13.9
1040;Heumen;Totaal particulier huishouden;6.1;7.6
1041;Heumen;Eenpersoonshuishouden;1.3;14.2
1042;Heumen;Paar zonder kinderen;2.0;3.8
1043;Heumen;Paar met kinderen;2.4;5.0
1044;Heumen;Eenoudergezin;0.3;26.7
1045;Hummelo en Keppel;Totaal particulier huishouden;1.8;5.8
1046;Hummelo en Keppel;Eenpersoonshuishouden;0.4;7.1
1047;Hummelo en Keppel;Paar zonder kinderen;0.7;4.9
1048;Hummelo en Keppel;Paar met kinderen;0.5;4.0
1049;Hummelo en Keppel;Eenoudergezin;;
1050;Kesteren;Totaal particulier huishouden;7.4;6.6
1051;Kesteren;Eenpersoonshuishouden;1.5;10.1
1052;Kesteren;Paar zonder kinderen;2.1;4.0
1053;Kesteren;Paar met kinderen;3.2;5.4
1054;Kesteren;Eenoudergezin;0.3;21.7
1055;Lichtenvoorde;Totaal particulier huishouden;7.0;6.1
1056;Lichtenvoorde;Eenpersoonshuishouden;1.5;8.0
1057;Lichtenvoorde;Paar zonder kinderen;2.3;4.8
1058;Lichtenvoorde;Paar met kinderen;2.7;4.9
1059;Lichtenvoorde;Eenoudergezin;0.2;21.2
1060;Lochem;Totaal particulier huishouden;7.5;7.2
1061;Lochem;Eenpersoonshuishouden;1.9;11.7
1062;Lochem;Paar zonder kinderen;2.5;3.6
1063;Lochem;Paar met kinderen;2.3;5.3
1064;Lochem;Eenoudergezin;0.3;22.6
1065;Maasdriel;Totaal particulier huishouden;8.6;6.2
1066;Maasdriel;Eenpersoonshuishouden;1.9;5.7
1067;Maasdriel;Paar zonder kinderen;2.5;4.1
1068;Maasdriel;Paar met kinderen;3.4;5.7
1069;Maasdriel;Eenoudergezin;0.4;25.8
1070;Millingen aan de Rijn;Totaal particulier huishouden;2.2;5.9
1071;Millingen aan de Rijn;Eenpersoonshuishouden;0.5;6.3
1072;Millingen aan de Rijn;Paar zonder kinderen;0.7;4.6
1073;Millingen aan de Rijn;Paar met kinderen;0.9;3.7
1074;Millingen aan de Rijn;Eenoudergezin;0.1;33.4
1075;Neede;Totaal particulier huishouden;4.3;7.4
1076;Neede;Eenpersoonshuishouden;1.0;12.8
1077;Neede;Paar zonder kinderen;1.5;3.3
1078;Neede;Paar met kinderen;1.4;5.2
1079;Neede;Eenoudergezin;0.1;29.4
1080;Nijkerk;Totaal particulier huishouden;13.9;6.1
1081;Nijkerk;Eenpersoonshuishouden;3.2;10.0
1082;Nijkerk;Paar zonder kinderen;4.4;3.7
1083;Nijkerk;Paar met kinderen;5.3;4.4
1084;Nijkerk;Eenoudergezin;0.6;19.7
1085;Nijmegen;Totaal particulier huishouden;66.6;13.7
1086;Nijmegen;Eenpersoonshuishouden;28.8;17.9
1087;Nijmegen;Paar zonder kinderen;18.0;6.3
1088;Nijmegen;Paar met kinderen;13.7;9.0
1089;Nijmegen;Eenoudergezin;3.8;36.7
1090;Oldebroek;Totaal particulier huishouden;7.4;5.1
1091;Oldebroek;Eenpersoonshuishouden;1.3;6.3
1092;Oldebroek;Paar zonder kinderen;2.0;3.6
1093;Oldebroek;Paar met kinderen;3.4;4.4
1094;Oldebroek;Eenoudergezin;0.3;19.2
1095;Putten;Totaal particulier huishouden;8.3;6.2
1096;Putten;Eenpersoonshuishouden;1.9;9.0
1097;Putten;Paar zonder kinderen;2.5;2.4
1098;Putten;Paar met kinderen;3.2;6.2
1099;Putten;Eenoudergezin;0.3;23.3
1100;Renkum;Totaal particulier huishouden;13.5;6.8
1101;Renkum;Eenpersoonshuishouden;4.5;7.8
1102;Renkum;Paar zonder kinderen;4.6;4.1
1103;Renkum;Paar met kinderen;3.4;6.0
1104;Renkum;Eenoudergezin;0.5;25.0
1105;Rheden;Totaal particulier huishouden;19.0;7.7
1106;Rheden;Eenpersoonshuishouden;6.2;11.8
1107;Rheden;Paar zonder kinderen;6.8;3.4
1108;Rheden;Paar met kinderen;4.8;6.1
1109;Rheden;Eenoudergezin;0.7;24.0
1110;Rozendaal;Totaal particulier huishouden;0.6;3.6
1111;Rozendaal;Eenpersoonshuishouden;0.1;0.5
1112;Rozendaal;Paar zonder kinderen;0.3;1.0
1113;Rozendaal;Paar met kinderen;0.2;9.1
1114;Rozendaal;Eenoudergezin;;
1115;Ruurlo;Totaal particulier huishouden;3.3;7.9
1116;Ruurlo;Eenpersoonshuishouden;0.7;6.9
1117;Ruurlo;Paar zonder kinderen;1.3;5.7
1118;Ruurlo;Paar met kinderen;1.1;10.4
1119;Ruurlo;Eenoudergezin;;
1120;Scherpenzeel;Totaal particulier huishouden;3.2;4.5
1121;Scherpenzeel;Eenpersoonshuishouden;0.7;5.4
1122;Scherpenzeel;Paar zonder kinderen;1.1;2.4
1123;Scherpenzeel;Paar met kinderen;1.3;3.3
1124;Scherpenzeel;Eenoudergezin;0.1;27.6
1125;Steenderen;Totaal particulier huishouden;1.9;7.7
1126;Steenderen;Eenpersoonshuishouden;0.4;9.9
1127;Steenderen;Paar zonder kinderen;0.6;6.2
1128;Steenderen;Paar met kinderen;0.7;7.0
1129;Steenderen;Eenoudergezin;;
1130;Tiel;Totaal particulier huishouden;15.8;9.5
1131;Tiel;Eenpersoonshuishouden;4.3;14.4
1132;Tiel;Paar zonder kinderen;4.8;5.2
1133;Tiel;Paar met kinderen;5.2;5.7
1134;Tiel;Eenoudergezin;0.8;36.7
1135;Ubbergen;Totaal particulier huishouden;3.8;7.7
1136;Ubbergen;Eenpersoonshuishouden;1.1;12.8
1137;Ubbergen;Paar zonder kinderen;1.3;6.1
1138;Ubbergen;Paar met kinderen;1.1;4.3
1139;Ubbergen;Eenoudergezin;0.1;9.7
1140;Voorst;Totaal particulier huishouden;8.7;6.2
1141;Voorst;Eenpersoonshuishouden;1.9;8.3
1142;Voorst;Paar zonder kinderen;3.0;3.9
1143;Voorst;Paar met kinderen;3.1;5.8
1144;Voorst;Eenoudergezin;0.3;18.1
1145;Vorden;Totaal particulier huishouden;3.2;7.3
1146;Vorden;Eenpersoonshuishouden;0.8;7.6
1147;Vorden;Paar zonder kinderen;1.1;4.5
1148;Vorden;Paar met kinderen;1.0;8.3
1149;Vorden;Eenoudergezin;0.1;25.0
1150;Wageningen;Totaal particulier huishouden;12.8;9.5
1151;Wageningen;Eenpersoonshuishouden;5.1;13.8
1152;Wageningen;Paar zonder kinderen;3.8;4.1
1153;Wageningen;Paar met kinderen;2.9;6.4
1154;Wageningen;Eenoudergezin;0.6;24.4
1155;Warnsveld;Totaal particulier huishouden;3.3;5.3
1156;Warnsveld;Eenpersoonshuishouden;0.7;7.1
1157;Warnsveld;Paar zonder kinderen;1.2;2.7
1158;Warnsveld;Paar met kinderen;1.2;4.0
1159;Warnsveld;Eenoudergezin;0.1;31.6
1160;Wehl;Totaal particulier huishouden;2.3;6.0
1161;Wehl;Eenpersoonshuishouden;0.4;3.8
1162;Wehl;Paar zonder kinderen;0.7;5.7
1163;Wehl;Paar met kinderen;1.0;5.7
1164;Wehl;Eenoudergezin;0.1;23.9
1165;Westervoort;Totaal particulier huishouden;6.0;7.5
1166;Westervoort;Eenpersoonshuishouden;1.3;9.2
1167;Westervoort;Paar zonder kinderen;1.7;3.9
1168;Westervoort;Paar met kinderen;2.3;4.2
1169;Westervoort;Eenoudergezin;0.4;37.9
1170;Winterswijk;Totaal particulier huishouden;11.4;9.3
1171;Winterswijk;Eenpersoonshuishouden;3.2;14.2
1172;Winterswijk;Paar zonder kinderen;3.8;5.8
1173;Winterswijk;Paar met kinderen;3.5;6.0
1174;Winterswijk;Eenoudergezin;0.4;29.6
1175;Wisch;Totaal particulier huishouden;7.5;8.1
1176;Wisch;Eenpersoonshuishouden;1.9;13.5
1177;Wisch;Paar zonder kinderen;2.5;4.6
1178;Wisch;Paar met kinderen;2.5;6.5
1179;Wisch;Eenoudergezin;0.2;21.0
1180;Wijchen;Totaal particulier huishouden;15.0;6.9
1181;Wijchen;Eenpersoonshuishouden;3.4;12.2
1182;Wijchen;Paar zonder kinderen;4.7;3.6
1183;Wijchen;Paar met kinderen;5.6;4.1
1184;Wijchen;Eenoudergezin;0.7;24.7
1185;Zaltbommel;Totaal particulier huishouden;9.4;6.8
1186;Zaltbommel;Eenpersoonshuishouden;2.0;10.0
1187;Zaltbommel;Paar zonder kinderen;2.9;4.1
1188;Zaltbommel;Paar met kinderen;3.6;5.6
1189;Zaltbommel;Eenoudergezin;0.4;19.5
1190;Zelhem;Totaal particulier huishouden;4.2;5.7
1191;Zelhem;Eenpersoonshuishouden;0.9;8.2
1192;Zelhem;Paar zonder kinderen;1.5;2.6
1193;Zelhem;Paar met kinderen;1.5;6.2
1194;Zelhem;Eenoudergezin;0.1;15.2
1195;Zevenaar;Totaal particulier huishouden;10.7;7.6
1196;Zevenaar;Eenpersoonshuishouden;3.0;11.8
1197;Zevenaar;Paar zonder kinderen;3.7;3.6
1198;Zevenaar;Paar met kinderen;3.2;4.4
1199;Zevenaar;Eenoudergezin;0.5;33.3
1200;Zutphen;Totaal particulier huishouden;15.6;10.9
1201;Zutphen;Eenpersoonshuishouden;5.5;14.3
1202;Zutphen;Paar zonder kinderen;4.6;4.6
1203;Zutphen;Paar met kinderen;3.9;6.6
1204;Zutphen;Eenoudergezin;0.8;45.8
1205;Nunspeet;Totaal particulier huishouden;9.4;6.9
1206;Nunspeet;Eenpersoonshuishouden;2.3;11.6
1207;Nunspeet;Paar zonder kinderen;2.7;3.2
1208;Nunspeet;Paar met kinderen;3.6;5.9
1209;Nunspeet;Eenoudergezin;0.4;15.1
1210;Dronten;Totaal particulier huishouden;13.4;7.4
1211;Dronten;Eenpersoonshuishouden;2.9;11.2
1212;Dronten;Paar zonder kinderen;4.6;3.3
1213;Dronten;Paar met kinderen;4.9;6.9
1214;Dronten;Eenoudergezin;0.6;28.4
1215;Neerijnen;Totaal particulier huishouden;4.1;6.5
1216;Neerijnen;Eenpersoonshuishouden;0.8;9.3
1217;Neerijnen;Paar zonder kinderen;1.3;4.9
1218;Neerijnen;Paar met kinderen;1.7;6.3
1219;Neerijnen;Eenoudergezin;0.1;13.4
1220;Abcoude;Totaal particulier huishouden;3.3;5.2
1221;Abcoude;Eenpersoonshuishouden;0.9;5.4
1222;Abcoude;Paar zonder kinderen;1.0;2.8
1223;Abcoude;Paar met kinderen;1.2;5.4
1224;Abcoude;Eenoudergezin;0.2;17.4
1225;Amerongen;Totaal particulier huishouden;2.7;5.7
1226;Amerongen;Eenpersoonshuishouden;0.7;6.5
1227;Amerongen;Paar zonder kinderen;0.9;4.6
1228;Amerongen;Paar met kinderen;0.9;6.1
1229;Amerongen;Eenoudergezin;0.1;6.9
1230;Amersfoort;Totaal particulier huishouden;53.6;8.3
1231;Amersfoort;Eenpersoonshuishouden;17.9;12.5
1232;Amersfoort;Paar zonder kinderen;15.6;3.6
1233;Amersfoort;Paar met kinderen;15.5;5.1
1234;Amersfoort;Eenoudergezin;2.5;28.2
1235;Baarn;Totaal particulier huishouden;10.2;7.1
1236;Baarn;Eenpersoonshuishouden;3.5;9.1
1237;Baarn;Paar zonder kinderen;3.2;3.2
1238;Baarn;Paar met kinderen;2.7;5.9
1239;Baarn;Eenoudergezin;0.5;26.8
1240;De Bilt;Totaal particulier huishouden;17.6;6.1
1241;De Bilt;Eenpersoonshuishouden;6.0;8.3
1242;De Bilt;Paar zonder kinderen;5.6;2.7
1243;De Bilt;Paar met kinderen;4.8;4.5
1244;De Bilt;Eenoudergezin;0.7;29.3
1245;Breukelen;Totaal particulier huishouden;5.6;5.4
1246;Breukelen;Eenpersoonshuishouden;1.6;7.9
1247;Breukelen;Paar zonder kinderen;1.8;3.4
1248;Breukelen;Paar met kinderen;1.8;4.0
1249;Breukelen;Eenoudergezin;0.2;15.6
1250;Bunnik;Totaal particulier huishouden;5.5;5.6
1251;Bunnik;Eenpersoonshuishouden;1.4;9.6
1252;Bunnik;Paar zonder kinderen;2.0;3.1
1253;Bunnik;Paar met kinderen;1.8;5.0
1254;Bunnik;Eenoudergezin;0.2;11.3
1255;Bunschoten;Totaal particulier huishouden;6.5;5.5
1256;Bunschoten;Eenpersoonshuishouden;1.3;10.4
1257;Bunschoten;Paar zonder kinderen;1.7;3.5
1258;Bunschoten;Paar met kinderen;3.1;4.2
1259;Bunschoten;Eenoudergezin;0.2;14.9
1260;Doorn;Totaal particulier huishouden;4.2;5.7
1261;Doorn;Eenpersoonshuishouden;1.5;8.6
1262;Doorn;Paar zonder kinderen;1.4;1.8
1263;Doorn;Paar met kinderen;1.1;5.5
1264;Doorn;Eenoudergezin;0.1;12.5
1265;Driebergen-Rijsenburg;Totaal particulier huishouden;7.5;7.5
1266;Driebergen-Rijsenburg;Eenpersoonshuishouden;2.5;12.3
1267;Driebergen-Rijsenburg;Paar zonder kinderen;2.3;2.9
1268;Driebergen-Rijsenburg;Paar met kinderen;2.2;5.6
1269;Driebergen-Rijsenburg;Eenoudergezin;0.3;16.8
1270;Eemnes;Totaal particulier huishouden;3.3;7.3
1271;Eemnes;Eenpersoonshuishouden;0.8;7.1
1272;Eemnes;Paar zonder kinderen;1.0;5.3
1273;Eemnes;Paar met kinderen;1.3;6.2
1274;Eemnes;Eenoudergezin;0.2;29.7
1275;Houten;Totaal particulier huishouden;15.0;5.4
1276;Houten;Eenpersoonshuishouden;3.5;10.6
1277;Houten;Paar zonder kinderen;4.2;2.0
1278;Houten;Paar met kinderen;6.1;3.8
1279;Houten;Eenoudergezin;0.6;17.3
1280;Leersum;Totaal particulier huishouden;2.9;7.6
1281;Leersum;Eenpersoonshuishouden;0.7;9.2
1282;Leersum;Paar zonder kinderen;1.0;4.1
1283;Leersum;Paar met kinderen;0.9;9.1
1284;Leersum;Eenoudergezin;0.1;15.3
1285;Leusden;Totaal particulier huishouden;11.2;4.9
1286;Leusden;Eenpersoonshuishouden;2.9;7.3
1287;Leusden;Paar zonder kinderen;3.6;2.3
1288;Leusden;Paar met kinderen;4.0;4.0
1289;Leusden;Eenoudergezin;0.4;18.4
1290;Loenen;Totaal particulier huishouden;3.3;7.1
1291;Loenen;Eenpersoonshuishouden;0.9;14.4
1292;Loenen;Paar zonder kinderen;1.1;2.2
1293;Loenen;Paar met kinderen;1.1;5.2
1294;Loenen;Eenoudergezin;0.2;14.6
1295;Lopik;Totaal particulier huishouden;4.8;5.3
1296;Lopik;Eenpersoonshuishouden;0.9;9.3
1297;Lopik;Paar zonder kinderen;1.4;2.3
1298;Lopik;Paar met kinderen;2.0;5.0
1299;Lopik;Eenoudergezin;0.2;15.5
1300;Maarn;Totaal particulier huishouden;2.4;4.8
1301;Maarn;Eenpersoonshuishouden;0.6;5.3
1302;Maarn;Paar zonder kinderen;0.9;3.9
1303;Maarn;Paar met kinderen;0.7;4.9
1304;Maarn;Eenoudergezin;;
1305;Maarssen;Totaal particulier huishouden;15.4;5.8
1306;Maarssen;Eenpersoonshuishouden;4.0;9.4
1307;Maarssen;Paar zonder kinderen;4.6;2.7
1308;Maarssen;Paar met kinderen;5.3;3.4
1309;Maarssen;Eenoudergezin;0.9;20.9
1310;Montfoort;Totaal particulier huishouden;4.9;4.6
1311;Montfoort;Eenpersoonshuishouden;1.1;6.5
1312;Montfoort;Paar zonder kinderen;1.6;1.8
1313;Montfoort;Paar met kinderen;1.9;3.9
1314;Montfoort;Eenoudergezin;0.1;35.8
1315;Renswoude;Totaal particulier huishouden;1.5;6.6
1316;Renswoude;Eenpersoonshuishouden;0.3;10.6
1317;Renswoude;Paar zonder kinderen;0.4;2.7
1318;Renswoude;Paar met kinderen;0.6;5.9
1319;Renswoude;Eenoudergezin;;
1320;Rhenen;Totaal particulier huishouden;6.8;6.8
1321;Rhenen;Eenpersoonshuishouden;1.7;8.0
1322;Rhenen;Paar zonder kinderen;2.3;4.9
1323;Rhenen;Paar met kinderen;2.2;6.3
1324;Rhenen;Eenoudergezin;0.3;17.9
1325;Soest;Totaal particulier huishouden;18.5;5.8
1326;Soest;Eenpersoonshuishouden;5.9;7.9
1327;Soest;Paar zonder kinderen;5.7;2.8
1328;Soest;Paar met kinderen;5.4;4.7
1329;Soest;Eenoudergezin;0.8;18.4
1330;Utrecht (gemeente);Totaal particulier huishouden;113.5;11.8
1331;Utrecht (gemeente);Eenpersoonshuishouden;51.1;14.7
1332;Utrecht (gemeente);Paar zonder kinderen;30.0;4.7
1333;Utrecht (gemeente);Paar met kinderen;21.7;10.5
1334;Utrecht (gemeente);Eenoudergezin;5.2;35.4
1335;Veenendaal;Totaal particulier huishouden;22.7;7.1
1336;Veenendaal;Eenpersoonshuishouden;5.8;10.4
1337;Veenendaal;Paar zonder kinderen;6.8;3.7
1338;Veenendaal;Paar met kinderen;8.4;5.3
1339;Veenendaal;Eenoudergezin;0.9;26.0
1340;Woudenberg;Totaal particulier huishouden;4.1;4.9
1341;Woudenberg;Eenpersoonshuishouden;1.0;7.7
1342;Woudenberg;Paar zonder kinderen;1.2;2.8
1343;Woudenberg;Paar met kinderen;1.5;3.1
1344;Woudenberg;Eenoudergezin;0.2;22.8
1345;Wijk bij Duurstede;Totaal particulier huishouden;8.7;5.8
1346;Wijk bij Duurstede;Eenpersoonshuishouden;2.1;9.7
1347;Wijk bij Duurstede;Paar zonder kinderen;2.5;2.9
1348;Wijk bij Duurstede;Paar met kinderen;3.4;3.1
1349;Wijk bij Duurstede;Eenoudergezin;0.4;22.2
1350;IJsselstein;Totaal particulier huishouden;13.0;5.4
1351;IJsselstein;Eenpersoonshuishouden;3.4;8.3
1352;IJsselstein;Paar zonder kinderen;4.1;2.2
1353;IJsselstein;Paar met kinderen;4.4;3.6
1354;IJsselstein;Eenoudergezin;0.6;24.5
1355;Zeist;Totaal particulier huishouden;25.1;7.9
1356;Zeist;Eenpersoonshuishouden;9.6;10.6
1357;Zeist;Paar zonder kinderen;7.5;3.5
1358;Zeist;Paar met kinderen;6.0;6.6
1359;Zeist;Eenoudergezin;1.1;20.2
1360;Nieuwegein;Totaal particulier huishouden;25.5;6.8
1361;Nieuwegein;Eenpersoonshuishouden;7.7;11.2
1362;Nieuwegein;Paar zonder kinderen;7.5;2.1
1363;Nieuwegein;Paar met kinderen;8.0;4.0
1364;Nieuwegein;Eenoudergezin;1.4;24.7
1365;Aalsmeer;Totaal particulier huishouden;9.1;5.3
1366;Aalsmeer;Eenpersoonshuishouden;2.4;8.1
1367;Aalsmeer;Paar zonder kinderen;3.0;3.3
1368;Aalsmeer;Paar met kinderen;3.0;3.4
1369;Aalsmeer;Eenoudergezin;0.4;19.6
1370;Alkmaar;Totaal particulier huishouden;40.0;9.9
1371;Alkmaar;Eenpersoonshuishouden;14.5;14.0
1372;Alkmaar;Paar zonder kinderen;11.4;3.1
1373;Alkmaar;Paar met kinderen;10.3;5.8
1374;Alkmaar;Eenoudergezin;2.4;36.4
1375;Amstelveen;Totaal particulier huishouden;34.1;5.9
1376;Amstelveen;Eenpersoonshuishouden;13.8;7.8
1377;Amstelveen;Paar zonder kinderen;9.4;2.3
1378;Amstelveen;Paar met kinderen;8.2;4.0
1379;Amstelveen;Eenoudergezin;1.8;19.1
1380;Amsterdam;Totaal particulier huishouden;351.8;16.9
1381;Amsterdam;Eenpersoonshuishouden;182.1;19.0
1382;Amsterdam;Paar zonder kinderen;72.3;6.5
1383;Amsterdam;Paar met kinderen;50.4;15.4
1384;Amsterdam;Eenoudergezin;30.2;34.7
1385;Andijk;Totaal particulier huishouden;2.4;5.9
1386;Andijk;Eenpersoonshuishouden;0.6;8.4
1387;Andijk;Paar zonder kinderen;0.8;3.1
1388;Andijk;Paar met kinderen;0.9;5.4
1389;Andijk;Eenoudergezin;0.1;22.2
1390;Graft-De Rijp;Totaal particulier huishouden;2.4;7.6
1391;Graft-De Rijp;Eenpersoonshuishouden;0.6;9.1
1392;Graft-De Rijp;Paar zonder kinderen;0.8;5.9
1393;Graft-De Rijp;Paar met kinderen;0.9;5.3
1394;Graft-De Rijp;Eenoudergezin;0.1;34.3
1395;Anna Paulowna;Totaal particulier huishouden;5.3;7.7
1396;Anna Paulowna;Eenpersoonshuishouden;1.3;13.2
1397;Anna Paulowna;Paar zonder kinderen;1.8;4.7
1398;Anna Paulowna;Paar met kinderen;2.0;5.1
1399;Anna Paulowna;Eenoudergezin;0.2;20.0
1400;Beemster;Totaal particulier huishouden;3.3;5.5
1401;Beemster;Eenpersoonshuishouden;0.8;7.3
1402;Beemster;Paar zonder kinderen;1.1;3.2
1403;Beemster;Paar met kinderen;1.1;4.8
1404;Beemster;Eenoudergezin;0.1;22.9
1405;Bennebroek;Totaal particulier huishouden;2.1;5.7
1406;Bennebroek;Eenpersoonshuishouden;0.6;6.8
1407;Bennebroek;Paar zonder kinderen;0.8;3.8
1408;Bennebroek;Paar met kinderen;0.6;6.0
1409;Bennebroek;Eenoudergezin;0.1;13.6
1410;Bergen (NH.);Totaal particulier huishouden;13.0;7.8
1411;Bergen (NH.);Eenpersoonshuishouden;4.1;11.9
1412;Bergen (NH.);Paar zonder kinderen;4.3;3.9
1413;Bergen (NH.);Paar met kinderen;3.5;4.8
1414;Bergen (NH.);Eenoudergezin;0.6;23.0
1415;Beverwijk;Totaal particulier huishouden;15.9;8.2
