ID;SectorBranchesSIC2008;Periods;CompensationOfEmployees_1;CompensationSeasonalAdjusted_2;WagesAndSalaries_3;WagesSeasonalAdjusted_4;EmployersSocialContributions_5;SocialContributionsSeasonalAdjusted_6;WageCosts_7;CompensationOfEmployees_8;WagesAndSalaries_9;WageCosts_10;CompensationPerFte_11;WagesPerFte_12;WageCostsPerFte_13;CompensationPerHourWorked_14;WagesPerHourWorked_15;WageCostsPerHourWorked_16;CompensationPerFte_17;WagesPerFte_18;WageCostsPerFte_19;CompensationPerHourWorked_20;WagesPerHourWorked_21;WageCostsPerHourWorked_22;FullTimeEquivalentFte_23;HoursWorked_24;FullTimeEquivalentFte_25;HoursWorked_26;Total_27;Male_28;Female_29;Total_30;Male_31;Female_32
1163;K Financial institutions;2017 4th quarter;4583;4499.0;3333;3265.0;1250;1234.0;4611;-1.5;-3.9;-0.8;25.4;18.5;25.6;58.2;42.4;58.6;3.2;0.7;4.0;5.1;2.5;5.9;180;79;-4.6;-6.3;203;113;91;-4.3;-3.7;-5.1
1164;K Financial institutions;2017;18162;;13210;;4952;;18178;-1.3;-3.5;-1.1;99.2;72.1;99.3;57.9;42.1;58.0;3.6;1.3;3.9;3.2;0.9;3.4;183;314;-4.8;-4.3;206;115;92;-4.6;-4.0;-5.2
1165;K Financial institutions;2018 1st quarter;4500;4468.0;3332;3298.0;1168;1170.0;4500;-1.8;-0.3;-1.7;24.6;18.2;24.6;54.5;40.3;54.5;0.6;2.2;0.7;1.7;3.3;1.8;183;83;-2.4;-3.4;206;115;91;-2.4;-1.9;-3.1
1166;K Financial institutions;2018 2nd quarter;4814;4488.0;3622;3315.0;1192;1173.0;4809;-1.8;-0.5;-1.9;26.8;20.1;26.7;65.2;49.1;65.2;0.5;1.9;0.4;0.8;2.2;0.8;180;74;-2.3;-2.6;203;113;90;-2.2;-1.9;-2.7
1167;K Financial institutions;2018 3rd quarter;4001;4448.0;2876;3293.0;1125;1155.0;4001;-2.2;-0.7;-2.1;22.6;16.3;22.6;55.7;40.0;55.7;0.0;1.6;0.1;0.1;1.7;0.3;177;72;-2.2;-2.4;199;111;88;-2.2;-1.7;-2.8
1168;K Financial institutions;2018 4th quarter;4546;4457.0;3369;3295.0;1177;1162.0;4550;-0.8;1.1;-1.3;25.6;19.0;25.6;57.3;42.5;57.4;0.6;2.5;0.1;-1.5;0.3;-2.0;178;79;-1.4;0.8;200;112;89;-1.4;-0.8;-2.3
1169;K Financial institutions;2018;17861;;13199;;4662;;17860;-1.6;-0.1;-1.7;99.6;73.6;99.6;58.1;42.9;58.1;0.5;2.1;0.4;0.3;1.9;0.2;179;308;-2.1;-1.9;202;113;89;-2.1;-1.5;-2.7
1170;K Financial institutions;2019 1st quarter;4507;4446.0;3382;3317.0;1125;1129.0;4508;0.2;1.5;0.2;25.2;18.9;25.2;56.7;42.6;56.7;2.4;3.8;2.5;4.1;5.5;4.1;179;79;-2.2;-3.8;201;113;88;-2.3;-1.9;-2.9
1171;K Financial institutions;2019 2nd quarter;4769;4482.0;3584;3314.0;1185;1168.0;4765;-1.0;-1.1;-1.0;26.7;20.1;26.7;64.4;48.4;64.3;-0.3;-0.4;-0.3;-1.3;-1.4;-1.3;179;74;-0.6;0.3;201;113;88;-0.7;-0.3;-1.2
1172;K Financial institutions;2019 3rd quarter;4146;4607.0;3018;3456.0;1128;1151.0;4142;3.7;5.0;3.6;23.4;17.0;23.4;56.4;41.0;56.3;3.4;4.7;3.3;1.3;2.5;1.2;177;74;0.3;2.4;200;112;88;0.4;0.7;0.0
1173;K Financial institutions;2019 4th quarter;4770;4673.0;3568;3481.0;1202;1192.0;4770;4.9;5.9;4.8;26.6;19.9;26.6;60.0;44.9;60.0;3.9;4.9;3.8;4.7;5.7;4.6;179;79;0.9;0.2;202;113;89;0.9;1.2;0.6
1174;K Financial institutions;2019;18192;;13552;;4640;;18185;1.8;2.7;1.8;101.9;75.9;101.8;59.4;44.2;59.3;2.3;3.1;2.2;2.2;3.0;2.2;179;307;-0.4;-0.3;201;113;88;-0.4;-0.1;-0.9
1175;K Financial institutions;2020 1st quarter;4718;4618.0;3532;3433.0;1186;1185.0;4714;4.7;4.4;4.6;26.0;19.5;26.0;60.8;45.6;60.8;3.4;3.2;3.3;7.3;7.0;7.1;181;78;1.2;-2.4;204;115;89;1.2;1.5;0.8
1176;K Financial institutions;2020 2nd quarter;4998;4734.0;3754;3510.0;1244;1224.0;4979;4.8;4.7;4.5;27.6;20.7;27.5;65.1;48.9;64.8;3.5;3.5;3.2;1.1;1.0;0.8;181;77;1.2;3.7;203;114;89;0.9;1.1;0.6
1177;K Financial institutions;2020 3rd quarter;4327;4813.0;3111;3562.0;1216;1251.0;4316;4.3;3.0;4.1;23.9;17.2;23.8;60.6;43.6;60.4;2.2;0.9;2.0;7.5;6.2;7.3;181;71;2.1;-3.0;203;114;89;1.7;2.0;1.4
1178;K Financial institutions;2020 4th quarter;5008;4903.0;3738;3638.0;1270;1265.0;4995;5.0;4.8;4.8;27.5;20.5;27.4;59.6;44.5;59.5;3.4;3.1;3.1;-0.7;-1.0;-1.0;182;84;1.6;5.8;205;115;90;1.3;1.4;1.1
1179;K Financial institutions;2020;19051;;14135;;4916;;19004;4.7;4.3;4.5;105.1;78.0;104.8;61.5;45.6;61.3;3.1;2.7;2.9;3.6;3.2;3.4;181;310;1.5;1.1;204;114;89;1.3;1.5;1.0
1180;K Financial institutions;2021 1st quarter;5176;5026.0;3839;3704.0;1337;1322.0;5161;9.7;8.7;9.5;28.2;20.9;28.1;62.1;46.1;61.9;8.3;7.3;8.1;2.1;1.1;1.9;183;83;1.3;7.5;204;116;89;0.3;0.9;-0.5
1181;K Financial institutions;2021 2nd quarter;5318;5078.0;3951;3732.0;1367;1346.0;5308;6.5;5.3;6.7;28.9;21.4;28.8;68.6;51.0;68.5;4.5;3.4;4.7;5.5;4.4;5.7;184;77;1.9;0.9;205;116;89;1.1;1.7;0.2
1182;K Financial institutions;2021 3rd quarter;4587;5097.0;3309;3777.0;1278;1320.0;4579;6.0;6.3;6.1;24.9;18.0;24.9;64.5;46.5;64.3;4.3;4.7;4.4;6.4;6.7;6.5;184;71;1.6;-0.4;205;116;89;0.7;1.4;-0.2
1183;K Financial institutions;2021 4th quarter;5288;5171.0;3954;3842.0;1334;1329.0;5275;5.6;5.8;5.6;28.5;21.3;28.4;62.6;46.8;62.5;3.8;4.0;3.8;5.1;5.3;5.1;185;84;1.7;0.5;207;117;90;0.9;1.6;0.1
1184;K Financial institutions;2021;20369;;15053;;5316;;20323;6.9;6.5;6.9;110.5;81.7;110.3;64.4;47.6;64.2;5.2;4.8;5.2;4.7;4.3;4.7;184;316;1.6;2.1;205;116;89;0.7;1.4;-0.1
1185;K Financial institutions;2022 1st quarter;5403;5228.0;4088;3933.0;1315;1295.0;5406;4.4;6.5;4.7;28.6;21.7;28.6;64.1;48.5;64.2;1.5;3.5;1.8;3.3;5.3;3.6;189;84;2.9;1.1;210;119;91;2.8;2.6;3.0
1186;K Financial institutions;2022 2nd quarter;5440;5224.0;4118;3916.0;1322;1308.0;5449;2.2;4.2;2.6;28.6;21.7;28.6;70.1;53.1;70.2;-0.9;1.0;-0.6;2.1;4.0;2.4;190;78;3.2;0.2;212;120;92;3.3;3.1;3.6
1187;K Financial institutions;2022 3rd quarter;4798;5316.0;3513;3991.0;1285;1325.0;4794;4.6;6.2;4.7;25.3;18.5;25.3;62.5;45.7;62.4;1.4;2.9;1.5;-3.1;-1.6;-3.0;190;77;3.2;8.0;211;119;92;3.3;2.9;3.7
1188;K Financial institutions;2022 4th quarter;5548;5417.0;4180;4055.0;1368;1362.0;5573;4.9;5.7;5.7;29.1;21.9;29.2;65.5;49.3;65.8;2.1;2.9;2.8;4.5;5.3;5.3;191;85;2.8;0.4;213;120;93;2.9;2.6;3.3
1189;K Financial institutions;2022;21189;;15899;;5290;;21222;4.0;5.6;4.4;111.6;83.8;111.8;65.5;49.2;65.6;1.0;2.5;1.4;1.8;3.3;2.2;190;323;3.0;2.2;212;119;92;3.1;2.8;3.4
1190;K Financial institutions;2023 1st quarter;5753;5572.0;4399;4243.0;1354;1329.0;5756;6.5;7.6;6.5;29.6;22.6;29.6;65.6;50.1;65.6;3.3;4.4;3.3;2.2;3.3;2.2;195;88;3.1;4.2;216;122;94;2.9;2.7;3.0
1191;K Financial institutions;2023 2nd quarter;5817;5603.0;4421;4216.0;1396;1387.0;5823;6.9;7.4;6.9;29.6;22.5;29.6;73.0;55.5;73.1;3.4;3.8;3.3;4.2;4.6;4.1;197;80;3.5;2.6;218;123;95;2.9;2.7;3.1
1192;K Financial institutions;2023 3rd quarter;5185;5723.0;3835;4337.0;1350;1386.0;5185;8.1;9.2;8.2;26.6;19.6;26.6;66.7;49.4;66.7;5.0;6.1;5.1;6.9;8.0;6.9;195;78;2.9;1.1;217;122;95;2.7;2.6;2.7
1193;K Financial institutions;2023 4th quarter;5909;5758.0;4510;4362.0;1399;1396.0;5936;6.5;7.9;6.5;30.1;23.0;30.3;69.1;52.7;69.4;3.5;4.9;3.5;5.5;6.9;5.5;196;86;2.9;1.0;218;123;96;2.6;2.8;2.5
1194;K Financial institutions;2023;22664;;17165;;5499;;22700;7.0;8.0;7.0;115.8;87.7;116.0;68.5;51.9;68.6;3.8;4.7;3.8;4.6;5.6;4.6;196;331;3.1;2.3;217;122;95;2.8;2.7;2.8
1195;K Financial institutions;2024 1st quarter;5932;5769.0;4524;4386.0;1408;1383.0;5930;3.1;2.8;3.0;29.9;22.8;29.9;67.7;51.6;67.6;1.1;0.8;1.0;3.2;2.9;3.1;198;88;2.0;-0.1;221;124;96;2.1;1.9;2.3
1196;K Financial institutions;2024 2nd quarter;6206;5979.0;4704;4487.0;1502;1492.0;6211;6.7;6.4;6.7;30.9;23.4;31.0;75.3;57.1;75.4;4.6;4.3;4.6;3.2;2.9;3.1;201;82;2.0;3.4;223;125;97;2.1;1.9;2.3
1197;K Financial institutions;2024 3rd quarter;5517;6077.0;4044;4562.0;1473;1515.0;5505;6.4;5.4;6.2;27.8;20.4;27.7;69.1;50.7;69.0;4.7;3.7;4.4;3.6;2.6;3.3;199;80;1.6;2.7;221;124;97;1.9;1.7;2.1
1198;K Financial institutions;2024 4th quarter;6333;6162.0;4795;4625.0;1538;1537.0;6359;7.1;6.3;7.1;31.8;24.1;32.0;72.1;54.6;72.4;5.7;4.8;5.6;4.4;3.6;4.3;199;88;1.4;2.6;222;125;97;1.8;1.7;1.8
1199;K Financial institutions;2024;23988;;18067;;5921;;24005;5.8;5.2;5.7;120.5;90.7;120.6;71.0;53.5;71.1;4.0;3.4;3.9;3.6;3.0;3.5;199;338;1.7;2.1;222;125;97;1.9;1.8;2.1
1200;L Renting, buying, selling real estate;1995 1st quarter;392;422.0;300;327.0;92;;392;;;;9.7;7.4;9.7;21.5;16.5;21.5;;;;;;;41;18;;;49;29;20;;;
1201;L Renting, buying, selling real estate;1995 2nd quarter;481;432.0;384;335.0;97;;481;;;;11.3;9.0;11.3;27.4;21.9;27.4;;;;;;;43;18;;;51;31;21;;;
1202;L Renting, buying, selling real estate;1995 3rd quarter;422;448.0;321;348.0;101;;422;;;;9.3;7.1;9.3;23.1;17.5;23.1;;;;;;;45;18;;;55;32;22;;;
1203;L Renting, buying, selling real estate;1995 4th quarter;451;446.0;350;346.0;101;;451;;;;10.1;7.8;10.1;21.1;16.4;21.1;;;;;;;45;21;;;54;32;22;;;
1204;L Renting, buying, selling real estate;1995;1746;;1355;;391;;1746;;;;40.3;31.3;40.3;23.1;18.0;23.1;;;;;;;43;75;;;52;31;21;;;
1205;L Renting, buying, selling real estate;1996 1st quarter;422;452.0;320;348.0;102;;422;7.8;6.9;7.8;10.0;7.6;10.0;22.5;17.1;22.5;3.9;3.1;3.9;4.5;3.6;4.5;42;19;3.7;3.2;51;30;21;3.7;1.8;6.7
1206;L Renting, buying, selling real estate;1996 2nd quarter;510;457.0;404;352.0;106;;509;6.1;5.1;5.9;11.6;9.2;11.6;28.5;22.5;28.4;3.2;2.2;3.0;3.8;2.8;3.6;44;18;2.8;2.2;53;31;22;2.8;0.8;5.7
1207;L Renting, buying, selling real estate;1996 3rd quarter;438;467.0;330;360.0;108;;438;3.7;2.7;3.7;9.6;7.2;9.6;23.8;17.9;23.8;2.5;1.6;2.5;3.1;2.1;3.1;46;18;1.1;0.6;55;32;23;1.1;-0.8;4.0
1208;L Renting, buying, selling real estate;1996 4th quarter;476;472.0;367;364.0;109;;475;5.5;4.8;5.2;10.4;8.0;10.3;21.8;16.8;21.7;2.8;2.1;2.6;3.4;2.7;3.1;46;22;2.6;2.0;55;32;23;2.6;0.6;5.5
1209;L Renting, buying, selling real estate;1996;1846;;1421;;425;;1844;5.7;4.9;5.6;41.6;32.0;41.5;24.0;18.5;24.0;3.1;2.3;3.0;3.6;2.9;3.5;44;77;2.5;2.0;54;31;22;2.5;0.6;5.4
1210;L Renting, buying, selling real estate;1997 1st quarter;439;466.0;339;366.0;100;;438;4.1;5.9;3.8;10.1;7.8;10.1;22.9;17.7;22.9;0.8;2.6;0.6;1.9;3.7;1.7;43;19;3.2;2.1;52;30;21;1.7;2.9;-0.1
1211;L Renting, buying, selling real estate;1997 2nd quarter;527;471.0;426;369.0;101;;526;3.4;5.5;3.4;11.7;9.5;11.7;27.8;22.4;27.8;0.8;2.8;0.8;-2.3;-0.3;-2.3;45;19;2.6;5.9;54;32;22;1.1;2.3;-0.7
1212;L Renting, buying, selling real estate;1997 3rd quarter;456;490.0;349;383.0;107;;455;3.9;6.0;3.6;9.6;7.4;9.6;24.1;18.5;24.1;0.5;2.6;0.3;1.5;3.6;1.3;47;19;3.3;2.3;56;33;23;1.8;3.1;0.1
1213;L Renting, buying, selling real estate;1997 4th quarter;519;518.0;409;408.0;110;;517;9.1;11.3;9.0;10.5;8.3;10.5;22.7;17.9;22.6;1.4;3.3;1.2;4.3;6.4;4.2;49;23;7.7;4.6;59;35;24;6.1;7.4;4.3
1214;L Renting, buying, selling real estate;1997;1941;;1523;;418;;1936;5.1;7.1;4.9;41.9;32.9;41.8;24.3;19.1;24.2;0.8;2.7;0.6;1.3;3.3;1.1;46;80;4.3;3.7;55;32;23;2.7;4.0;1.0
1215;L Renting, buying, selling real estate;1998 1st quarter;512;540.0;369;396.0;143;;511;16.8;9.0;16.8;10.8;7.8;10.7;23.9;17.2;23.9;6.2;-0.8;6.3;4.2;-2.7;4.2;48;21;9.9;12.0;57;35;23;11.4;13.4;8.5
1216;L Renting, buying, selling real estate;1998 2nd quarter;614;547.0;464;399.0;150;;613;16.2;8.7;16.2;12.3;9.3;12.3;29.9;22.5;29.8;4.9;-1.8;5.0;7.4;0.5;7.4;50;21;10.7;8.2;60;36;24;12.2;14.2;9.3
1217;L Renting, buying, selling real estate;1998 3rd quarter;509;549.0;361;399.0;148;;508;11.8;3.2;11.8;10.2;7.2;10.2;25.6;18.2;25.6;5.8;-2.3;5.8;6.3;-1.8;6.3;50;20;5.7;5.2;60;36;24;7.1;9.0;4.3
1218;L Renting, buying, selling real estate;1998 4th quarter;557;559.0;406;408.0;151;;555;7.4;-0.5;7.4;11.2;8.2;11.1;24.2;17.6;24.1;6.5;-1.3;6.5;6.5;-1.3;6.5;50;23;0.8;0.8;60;36;24;2.2;4.0;-0.5
1219;L Renting, buying, selling real estate;1998;2192;;1600;;592;;2187;13.0;5.1;13.0;44.4;32.4;44.3;25.8;18.9;25.8;6.0;-1.3;6.1;6.3;-1.1;6.3;49;85;6.6;6.3;59;36;24;8.0;10.0;5.2
1220;L Renting, buying, selling real estate;1999 1st quarter;558;588.0;399;428.0;159;;557;8.8;7.9;8.8;11.7;8.3;11.6;26.1;18.7;26.0;8.4;7.5;8.5;9.1;8.2;9.1;48;21;0.3;-0.3;58;34;23;0.3;-1.2;2.4
1221;L Renting, buying, selling real estate;1999 2nd quarter;676;599.0;512;436.0;164;;675;10.2;10.5;10.2;13.4;10.1;13.4;32.4;24.6;32.4;9.0;9.3;9.0;8.7;8.9;8.7;50;21;1.1;1.4;61;36;25;1.0;-0.4;3.2
1222;L Renting, buying, selling real estate;1999 3rd quarter;551;593.0;386;427.0;165;;552;8.5;7.3;8.9;10.8;7.6;10.8;27.2;19.1;27.3;5.8;4.6;6.2;6.2;5.0;6.6;51;20;2.5;2.2;62;37;25;2.4;1.0;4.7
1223;L Renting, buying, selling real estate;1999 4th quarter;619;623.0;446;451.0;173;;618;11.0;9.7;11.2;11.8;8.5;11.7;24.9;17.9;24.8;5.2;3.9;5.4;2.8;1.6;3.0;53;25;5.5;7.9;63;37;26;5.4;3.9;7.7
1224;L Renting, buying, selling real estate;1999;2404;;1743;;661;;2402;9.7;8.9;9.8;47.6;34.5;47.5;27.5;20.0;27.5;7.1;6.4;7.3;6.5;5.8;6.7;51;87;2.4;2.9;61;36;25;2.3;0.9;4.5
1225;L Renting, buying, selling real estate;2000 1st quarter;623;661.0;440;473.0;183;;622;11.7;10.4;11.7;12.3;8.7;12.3;26.7;18.8;26.6;5.5;4.2;5.5;2.2;1.0;2.2;51;23;5.9;9.3;61;35;26;5.9;3.6;9.3
1226;L Renting, buying, selling real estate;2000 2nd quarter;741;653.0;552;467.0;189;;740;9.8;7.9;9.8;14.0;10.4;13.9;33.3;24.8;33.3;4.1;2.4;4.1;2.7;1.0;2.8;53;22;5.4;6.8;64;37;27;5.4;3.1;8.8
1227;L Renting, buying, selling real estate;2000 3rd quarter;633;677.0;431;476.0;202;;634;14.5;11.2;14.4;11.8;8.0;11.8;30.8;21.0;30.8;9.6;6.5;9.6;13.0;9.8;13.0;54;21;4.5;1.3;64;37;27;4.5;2.2;7.8
1228;L Renting, buying, selling real estate;2000 4th quarter;674;681.0;477;486.0;197;;674;9.0;7.1;9.2;12.5;8.8;12.5;27.7;19.6;27.7;6.1;4.2;6.3;11.4;9.4;11.6;54;24;2.8;-2.1;65;38;27;2.8;0.5;6.0
1229;L Renting, buying, selling real estate;2000;2671;;1900;;771;;2670;11.1;9.0;11.1;50.5;36.0;50.5;29.5;21.0;29.5;6.2;4.2;6.3;7.2;5.2;7.3;53;91;4.6;3.6;64;37;27;4.6;2.3;7.9
1230;L Renting, buying, selling real estate;2001 1st quarter;620;667.0;456;493.0;164;;619;-0.5;3.5;-0.5;11.9;8.7;11.9;26.3;19.3;26.2;-3.3;0.6;-3.3;-1.4;2.6;-1.4;52;24;3.0;1.0;63;36;27;2.8;1.1;5.1
1231;L Renting, buying, selling real estate;2001 2nd quarter;785;685.0;605;508.0;180;;784;5.9;9.6;5.9;14.3;11.1;14.3;34.8;26.8;34.7;2.8;6.4;2.8;4.3;8.0;4.3;55;23;3.0;1.5;66;37;29;3.6;0.3;8.1
1232;L Renting, buying, selling real estate;2001 3rd quarter;649;691.0;465;513.0;184;;650;2.7;8.0;2.7;11.7;8.4;11.7;30.0;21.5;30.1;-0.6;4.5;-0.6;-2.5;2.5;-2.5;55;22;3.3;5.3;67;37;30;3.9;0.1;9.2
1233;L Renting, buying, selling real estate;2001 4th quarter;686;697.0;506;519.0;180;;685;1.7;6.1;1.6;12.3;9.1;12.3;26.7;19.7;26.6;-1.4;2.8;-1.6;-3.7;0.4;-3.8;56;26;3.2;5.6;68;38;30;3.8;-0.1;9.3
1234;L Renting, buying, selling real estate;2001;2740;;2032;;708;;2738;2.6;7.0;2.6;50.3;37.3;50.2;29.3;21.7;29.3;-0.5;3.7;-0.6;-0.7;3.5;-0.7;54;94;3.1;3.3;66;37;29;3.6;0.3;8.0
1235;L Renting, buying, selling real estate;2002 1st quarter;778;842.0;572;620.0;206;;777;25.4;25.5;25.5;13.8;10.2;13.8;31.1;22.9;31.1;16.0;16.1;16.0;18.3;18.4;18.4;56;25;8.1;6.0;68;38;30;9.2;7.2;11.7
1236;L Renting, buying, selling real estate;2002 2nd quarter;817;707.0;634;530.0;183;;818;4.1;4.7;4.4;14.4;11.2;14.4;35.4;27.5;35.5;0.6;1.2;0.9;1.9;2.5;2.2;57;23;3.5;2.2;69;38;31;4.2;3.1;5.5
1237;L Renting, buying, selling real estate;2002 3rd quarter;667;710.0;486;536.0;181;;668;2.9;4.8;2.9;11.8;8.6;11.8;29.8;21.7;29.8;0.2;2.1;0.2;-0.8;1.1;-0.8;57;22;2.7;3.7;69;38;31;3.3;2.9;3.9
1238;L Renting, buying, selling real estate;2002 4th quarter;687;702.0;520;536.0;167;;686;0.1;2.6;0.1;12.0;9.1;12.0;26.2;19.8;26.2;-2.2;0.2;-2.2;-1.6;0.8;-1.6;57;26;2.3;1.7;69;39;31;2.8;2.3;3.4
1239;L Renting, buying, selling real estate;2002;2949;;2212;;737;;2949;7.6;8.8;7.7;52.0;39.0;52.0;30.5;22.9;30.5;3.4;4.6;3.5;4.1;5.3;4.2;57;97;4.1;3.4;69;38;31;4.8;3.8;6.0
1240;L Renting, buying, selling real estate;2003 1st quarter;735;795.0;529;573.0;206;;735;-5.5;-7.6;-5.3;12.9;9.3;12.9;29.1;20.9;29.1;-6.3;-8.4;-6.2;-6.5;-8.7;-6.4;57;25;0.9;1.2;69;39;31;1.6;1.0;2.3
1241;L Renting, buying, selling real estate;2003 2nd quarter;941;810.0;707;589.0;234;;942;15.2;11.7;15.2;16.4;12.3;16.4;40.4;30.3;40.4;13.7;10.2;13.7;14.0;10.5;13.9;57;23;1.3;1.1;70;39;31;1.7;2.0;1.4
1242;L Renting, buying, selling real estate;2003 3rd quarter;748;800.0;528;583.0;220;;748;11.9;8.4;11.8;13.0;9.2;13.0;32.9;23.3;32.9;11.0;7.5;10.9;10.5;7.0;10.4;57;23;0.8;1.3;70;39;31;1.2;1.3;1.2
1243;L Renting, buying, selling real estate;2003 4th quarter;781;801.0;570;588.0;211;;780;13.8;9.8;13.8;13.6;9.9;13.6;29.8;21.7;29.7;13.0;9.0;13.0;13.4;9.4;13.5;57;26;0.7;0.3;70;39;31;1.2;1.5;0.8
1244;L Renting, buying, selling real estate;2003;3205;;2334;;871;;3205;8.7;5.5;8.7;56.0;40.8;56.0;32.9;23.9;32.9;7.7;4.6;7.7;7.7;4.6;7.7;57;98;0.9;0.9;70;39;31;1.4;1.4;1.4
1245;L Renting, buying, selling real estate;2004 1st quarter;741;796.0;552;595.0;189;;738;0.7;4.3;0.3;13.0;9.7;13.0;29.1;21.7;28.9;0.7;4.3;0.2;0.0;3.6;-0.4;57;25;0.1;0.7;69;38;31;-0.5;-0.6;-0.5
1246;L Renting, buying, selling real estate;2004 2nd quarter;919;791.0;715;597.0;204;;918;-2.3;1.1;-2.5;16.0;12.4;15.9;39.7;30.9;39.6;-2.7;0.7;-2.9;-1.8;1.7;-2.0;58;23;0.4;-0.6;70;39;31;-0.2;-0.4;0.0
1247;L Renting, buying, selling real estate;2004 3rd quarter;739;795.0;543;602.0;196;;738;-1.1;2.7;-1.2;12.8;9.4;12.8;32.2;23.7;32.2;-2.1;1.7;-2.2;-2.1;1.7;-2.2;58;23;1.0;1.0;70;39;31;0.4;0.3;0.6
1248;L Renting, buying, selling real estate;2004 4th quarter;772;789.0;582;598.0;190;;770;-1.2;2.2;-1.3;13.3;10.0;13.3;28.5;21.5;28.4;-2.2;1.2;-2.3;-4.3;-1.0;-4.4;58;27;1.0;3.2;71;39;31;0.4;0.2;0.7
1249;L Renting, buying, selling real estate;2004;3171;;2392;;779;;3164;-1.1;2.5;-1.3;55.0;41.5;54.9;32.1;24.2;32.1;-1.7;1.9;-1.9;-2.2;1.4;-2.4;58;99;0.6;1.1;70;39;31;0.0;-0.1;0.2
1250;L Renting, buying, selling real estate;2005 1st quarter;748;799.0;564;606.0;184;;747;1.0;2.1;1.3;13.0;9.8;13.0;29.6;22.3;29.5;0.0;1.1;0.3;1.8;2.9;2.0;58;25;1.1;-0.7;70;39;31;1.3;0.3;2.6
1251;L Renting, buying, selling real estate;2005 2nd quarter;931;804.0;731;613.0;200;;931;1.4;2.4;1.5;16.0;12.6;16.0;39.4;30.9;39.4;0.2;1.2;0.3;-0.7;0.3;-0.6;58;24;1.2;2.1;71;39;32;1.4;0.5;2.5
1252;L Renting, buying, selling real estate;2005 3rd quarter;758;824.0;564;630.0;194;;757;2.4;3.8;2.4;12.9;9.6;12.9;32.3;24.0;32.3;1.1;2.4;1.1;0.3;1.6;0.3;59;23;1.4;2.1;71;39;32;1.6;0.7;2.7
1253;L Renting, buying, selling real estate;2005 4th quarter;786;798.0;602;612.0;184;;785;1.8;3.4;1.9;13.4;10.2;13.3;29.5;22.6;29.4;0.5;2.1;0.6;3.4;5.0;3.5;59;27;1.3;-1.6;72;39;32;1.4;0.7;2.3
1254;L Renting, buying, selling real estate;2005;3223;;2461;;762;;3220;1.7;2.9;1.8;55.3;42.2;55.2;32.6;24.9;32.5;0.5;1.6;0.6;1.3;2.5;1.4;58;99;1.2;0.4;71;39;32;1.4;0.5;2.5
1255;L Renting, buying, selling real estate;2006 1st quarter;757;803.0;579;619.0;178;;756;1.1;2.7;1.1;13.0;10.0;13.0;29.0;22.2;29.0;0.3;1.8;0.3;-1.8;-0.3;-1.8;58;26;0.8;2.9;71;39;32;1.0;-0.1;2.3
1256;L Renting, buying, selling real estate;2006 2nd quarter;937;813.0;747;629.0;190;;937;0.6;2.1;0.6;16.0;12.7;16.0;40.2;32.0;40.2;-0.2;1.2;-0.2;2.0;3.5;2.0;59;23;0.8;-1.4;72;39;33;0.9;-0.1;2.2
1257;L Renting, buying, selling real estate;2006 3rd quarter;758;833.0;573;647.0;185;;758;0.1;1.8;0.2;12.9;9.7;12.9;32.5;24.6;32.5;-0.4;1.3;-0.3;0.6;2.4;0.8;59;23;0.5;-0.6;72;39;33;0.7;-0.6;2.2
1258;L Renting, buying, selling real estate;2006 4th quarter;852;856.0;661;664.0;191;;850;8.4;9.7;8.3;14.3;11.1;14.3;32.3;25.1;32.3;7.2;8.5;7.0;9.7;11.1;9.6;59;26;1.2;-1.2;73;40;33;1.5;0.2;3.1
1259;L Renting, buying, selling real estate;2006;3304;;2560;;744;;3301;2.5;4.0;2.5;56.2;43.6;56.2;33.4;25.9;33.3;1.6;3.2;1.6;2.5;4.1;2.5;59;99;0.8;0.0;72;39;33;1.0;-0.1;2.4
1260;L Renting, buying, selling real estate;2007 1st quarter;810;855.0;622;663.0;188;;809;6.9;7.3;6.9;13.6;10.4;13.6;30.5;23.4;30.5;4.2;4.6;4.2;5.2;5.5;5.2;59;26;2.6;1.7;73;40;33;3.4;3.2;3.7
1261;L Renting, buying, selling real estate;2007 2nd quarter;997;869.0;795;673.0;202;;997;6.2;6.4;6.2;16.3;13.0;16.3;41.4;33.1;41.4;2.0;2.2;2.0;3.1;3.3;3.1;61;24;4.1;3.0;75;41;34;4.1;3.9;4.3
1262;L Renting, buying, selling real estate;2007 3rd quarter;773;857.0;584;665.0;189;;772;2.2;2.1;2.1;13.2;10.0;13.2;32.9;24.9;32.9;2.6;2.5;2.4;1.1;1.0;1.0;59;24;-0.4;1.1;72;39;33;0.7;-0.1;1.5
1263;L Renting, buying, selling real estate;2007 4th quarter;905;901.0;704;700.0;201;;903;6.3;6.5;6.3;14.8;11.5;14.8;33.2;25.8;33.1;3.6;3.9;3.7;2.6;2.8;2.6;61;27;2.6;3.6;75;41;34;3.7;3.1;4.3
1264;L Renting, buying, selling real estate;2007;3485;;2705;;780;;3481;5.5;5.7;5.4;58.0;45.0;57.9;34.4;26.7;34.3;3.2;3.4;3.2;3.0;3.2;3.0;60;101;2.2;2.4;74;40;34;2.9;2.5;3.5
1265;L Renting, buying, selling real estate;2008 1st quarter;877;921.0;668;710.0;209;;876;8.2;7.4;8.3;14.4;10.9;14.3;32.8;25.0;32.7;5.5;4.7;5.5;7.3;6.4;7.3;61;27;2.6;0.9;75;40;35;2.8;1.8;4.0
