ID;RegioS;Perioden;VerkeersintensiteitenRijkswegen_1
3365;Arnhem/Nijmegen (CR);2013 december;2312.0
3366;Arnhem/Nijmegen (CR);2013;2476.0
3367;Arnhem/Nijmegen (CR);2014 januari;2323.0
3368;Arnhem/Nijmegen (CR);2014 februari;2480.0
3369;Arnhem/Nijmegen (CR);2014 maart;2505.0
3370;Arnhem/Nijmegen (CR);2014 april;2657.0
3371;Arnhem/Nijmegen (CR);2014 mei;2640.0
3372;Arnhem/Nijmegen (CR);2014 juni;2747.0
3373;Arnhem/Nijmegen (CR);2014 juli;2655.0
3374;Arnhem/Nijmegen (CR);2014 augustus;2602.0
3375;Arnhem/Nijmegen (CR);2014 september;2814.0
3376;Arnhem/Nijmegen (CR);2014 oktober;2824.0
3377;Arnhem/Nijmegen (CR);2014 november;2672.0
3378;Arnhem/Nijmegen (CR);2014 december;2457.0
3379;Arnhem/Nijmegen (CR);2014;2615.0
3380;Arnhem/Nijmegen (CR);2015 januari;2382.0
3381;Arnhem/Nijmegen (CR);2015 februari;2566.0
3382;Arnhem/Nijmegen (CR);2015 maart;2671.0
3383;Arnhem/Nijmegen (CR);2015 april;2741.0
3384;Arnhem/Nijmegen (CR);2015 mei;2723.0
3385;Arnhem/Nijmegen (CR);2015 juni;2893.0
3386;Arnhem/Nijmegen (CR);2015 juli;2832.0
3387;Arnhem/Nijmegen (CR);2015 augustus;2704.0
3388;Arnhem/Nijmegen (CR);2015 september;2854.0
3389;Arnhem/Nijmegen (CR);2015 oktober;2854.0
3390;Arnhem/Nijmegen (CR);2015 november;2726.0
3391;Arnhem/Nijmegen (CR);2015 december;2567.0
3392;Arnhem/Nijmegen (CR);2015;2710.0
3393;Arnhem/Nijmegen (CR);2016 januari;2455.0
3394;Arnhem/Nijmegen (CR);2016 februari;2647.0
3395;Arnhem/Nijmegen (CR);2016 maart;2787.0
3396;Arnhem/Nijmegen (CR);2016 april;2701.0
3397;Arnhem/Nijmegen (CR);2016 mei;2759.0
3398;Arnhem/Nijmegen (CR);2016 juni;2856.0
3399;Arnhem/Nijmegen (CR);2016 juli;2820.0
3400;Arnhem/Nijmegen (CR);2016 augustus;2723.0
3401;Arnhem/Nijmegen (CR);2016 september;2903.0
3402;Arnhem/Nijmegen (CR);2016 oktober;2856.0
3403;Arnhem/Nijmegen (CR);2016 november;2766.0
3404;Arnhem/Nijmegen (CR);2016 december;2575.0
3405;Arnhem/Nijmegen (CR);2016;2737.0
3406;Arnhem/Nijmegen (CR);2017 januari;2393.0
3407;Arnhem/Nijmegen (CR);2017 februari;2565.0
3408;Arnhem/Nijmegen (CR);2017 maart;2708.0
3409;Arnhem/Nijmegen (CR);2017 april;2669.0
3410;Arnhem/Nijmegen (CR);2017 mei;2680.0
3411;Arnhem/Nijmegen (CR);2017 juni;2850.0
3412;Arnhem/Nijmegen (CR);2017 juli;2720.0
3413;Arnhem/Nijmegen (CR);2017 augustus;2690.0
3414;Arnhem/Nijmegen (CR);2017 september;2780.0
3415;Arnhem/Nijmegen (CR);2017 oktober;2793.0
3416;Arnhem/Nijmegen (CR);2017 november;2725.0
3417;Arnhem/Nijmegen (CR);2017 december;2400.0
3418;Arnhem/Nijmegen (CR);2017;2664.0
3419;Arnhem/Nijmegen (CR);2018 januari;2463.0
3420;Arnhem/Nijmegen (CR);2018 februari;2551.0
3421;Arnhem/Nijmegen (CR);2018 maart;2706.0
3422;Arnhem/Nijmegen (CR);2018 april;2686.0
3423;Arnhem/Nijmegen (CR);2018 mei;2719.0
3424;Arnhem/Nijmegen (CR);2018 juni;2754.0
3425;Arnhem/Nijmegen (CR);2018 juli;2586.0
3426;Arnhem/Nijmegen (CR);2018 augustus;2639.0
3427;Arnhem/Nijmegen (CR);2018 september;2744.0
3428;Arnhem/Nijmegen (CR);2018 oktober;2791.0
3429;Arnhem/Nijmegen (CR);2018 november;2654.0
3430;Arnhem/Nijmegen (CR);2018 december;2376.0
3431;Arnhem/Nijmegen (CR);2018;2639.0
3432;Zuidwest-Gelderland (CR);2011 januari;2477.0
3433;Zuidwest-Gelderland (CR);2011 februari;2739.0
3434;Zuidwest-Gelderland (CR);2011 maart;2883.0
3435;Zuidwest-Gelderland (CR);2011 april;2876.0
3436;Zuidwest-Gelderland (CR);2011 mei;2819.0
3437;Zuidwest-Gelderland (CR);2011 juni;2968.0
3438;Zuidwest-Gelderland (CR);2011 juli;2648.0
3439;Zuidwest-Gelderland (CR);2011 augustus;2733.0
3440;Zuidwest-Gelderland (CR);2011 september;3044.0
3441;Zuidwest-Gelderland (CR);2011 oktober;3033.0
3442;Zuidwest-Gelderland (CR);2011 november;3058.0
3443;Zuidwest-Gelderland (CR);2011 december;2694.0
3444;Zuidwest-Gelderland (CR);2011;2830.0
3445;Zuidwest-Gelderland (CR);2012 januari;2713.0
3446;Zuidwest-Gelderland (CR);2012 februari;2760.0
3447;Zuidwest-Gelderland (CR);2012 maart;2993.0
3448;Zuidwest-Gelderland (CR);2012 april;2971.0
3449;Zuidwest-Gelderland (CR);2012 mei;3044.0
3450;Zuidwest-Gelderland (CR);2012 juni;3088.0
3451;Zuidwest-Gelderland (CR);2012 juli;2740.0
3452;Zuidwest-Gelderland (CR);2012 augustus;2904.0
3453;Zuidwest-Gelderland (CR);2012 september;2869.0
3454;Zuidwest-Gelderland (CR);2012 oktober;3016.0
3455;Zuidwest-Gelderland (CR);2012 november;3022.0
3456;Zuidwest-Gelderland (CR);2012 december;2583.0
3457;Zuidwest-Gelderland (CR);2012;2892.0
3458;Zuidwest-Gelderland (CR);2013 januari;2633.0
3459;Zuidwest-Gelderland (CR);2013 februari;2851.0
3460;Zuidwest-Gelderland (CR);2013 maart;2928.0
3461;Zuidwest-Gelderland (CR);2013 april;2988.0
3462;Zuidwest-Gelderland (CR);2013 mei;3101.0
3463;Zuidwest-Gelderland (CR);2013 juni;3163.0
3464;Zuidwest-Gelderland (CR);2013 juli;2880.0
3465;Zuidwest-Gelderland (CR);2013 augustus;2891.0
3466;Zuidwest-Gelderland (CR);2013 september;3166.0
3467;Zuidwest-Gelderland (CR);2013 oktober;3143.0
3468;Zuidwest-Gelderland (CR);2013 november;3108.0
3469;Zuidwest-Gelderland (CR);2013 december;2842.0
3470;Zuidwest-Gelderland (CR);2013;2974.0
3471;Zuidwest-Gelderland (CR);2014 januari;2894.0
3472;Zuidwest-Gelderland (CR);2014 februari;3075.0
3473;Zuidwest-Gelderland (CR);2014 maart;3107.0
3474;Zuidwest-Gelderland (CR);2014 april;3257.0
3475;Zuidwest-Gelderland (CR);2014 mei;3197.0
3476;Zuidwest-Gelderland (CR);2014 juni;3238.0
3477;Zuidwest-Gelderland (CR);2014 juli;3075.0
3478;Zuidwest-Gelderland (CR);2014 augustus;2859.0
3479;Zuidwest-Gelderland (CR);2014 september;3317.0
3480;Zuidwest-Gelderland (CR);2014 oktober;3337.0
3481;Zuidwest-Gelderland (CR);2014 november;3161.0
3482;Zuidwest-Gelderland (CR);2014 december;2997.0
3483;Zuidwest-Gelderland (CR);2014;3125.0
3484;Zuidwest-Gelderland (CR);2015 januari;2945.0
3485;Zuidwest-Gelderland (CR);2015 februari;3036.0
3486;Zuidwest-Gelderland (CR);2015 maart;3294.0
3487;Zuidwest-Gelderland (CR);2015 april;3249.0
3488;Zuidwest-Gelderland (CR);2015 mei;3174.0
3489;Zuidwest-Gelderland (CR);2015 juni;3405.0
3490;Zuidwest-Gelderland (CR);2015 juli;3216.0
3491;Zuidwest-Gelderland (CR);2015 augustus;2976.0
3492;Zuidwest-Gelderland (CR);2015 september;3343.0
3493;Zuidwest-Gelderland (CR);2015 oktober;3378.0
3494;Zuidwest-Gelderland (CR);2015 november;3398.0
3495;Zuidwest-Gelderland (CR);2015 december;3086.0
3496;Zuidwest-Gelderland (CR);2015;3208.0
3497;Zuidwest-Gelderland (CR);2016 januari;2956.0
3498;Zuidwest-Gelderland (CR);2016 februari;3184.0
3499;Zuidwest-Gelderland (CR);2016 maart;3301.0
3500;Zuidwest-Gelderland (CR);2016 april;3276.0
3501;Zuidwest-Gelderland (CR);2016 mei;3280.0
3502;Zuidwest-Gelderland (CR);2016 juni;3397.0
3503;Zuidwest-Gelderland (CR);2016 juli;3192.0
3504;Zuidwest-Gelderland (CR);2016 augustus;3083.0
3505;Zuidwest-Gelderland (CR);2016 september;3466.0
3506;Zuidwest-Gelderland (CR);2016 oktober;3383.0
3507;Zuidwest-Gelderland (CR);2016 november;3332.0
3508;Zuidwest-Gelderland (CR);2016 december;3063.0
3509;Zuidwest-Gelderland (CR);2016;3243.0
3510;Zuidwest-Gelderland (CR);2017 januari;2932.0
3511;Zuidwest-Gelderland (CR);2017 februari;3202.0
3512;Zuidwest-Gelderland (CR);2017 maart;3420.0
3513;Zuidwest-Gelderland (CR);2017 april;3266.0
3514;Zuidwest-Gelderland (CR);2017 mei;3289.0
3515;Zuidwest-Gelderland (CR);2017 juni;3525.0
3516;Zuidwest-Gelderland (CR);2017 juli;3278.0
3517;Zuidwest-Gelderland (CR);2017 augustus;3247.0
3518;Zuidwest-Gelderland (CR);2017 september;3428.0
3519;Zuidwest-Gelderland (CR);2017 oktober;3480.0
3520;Zuidwest-Gelderland (CR);2017 november;3407.0
3521;Zuidwest-Gelderland (CR);2017 december;2983.0
3522;Zuidwest-Gelderland (CR);2017;3288.0
3523;Zuidwest-Gelderland (CR);2018 januari;3141.0
3524;Zuidwest-Gelderland (CR);2018 februari;3207.0
3525;Zuidwest-Gelderland (CR);2018 maart;3389.0
3526;Zuidwest-Gelderland (CR);2018 april;3182.0
3527;Zuidwest-Gelderland (CR);2018 mei;3083.0
3528;Zuidwest-Gelderland (CR);2018 juni;3171.0
3529;Zuidwest-Gelderland (CR);2018 juli;2982.0
3530;Zuidwest-Gelderland (CR);2018 augustus;3023.0
3531;Zuidwest-Gelderland (CR);2018 september;3143.0
3532;Zuidwest-Gelderland (CR);2018 oktober;3276.0
3533;Zuidwest-Gelderland (CR);2018 november;3264.0
3534;Zuidwest-Gelderland (CR);2018 december;3086.0
3535;Zuidwest-Gelderland (CR);2018;3162.0
3536;Utrecht (CR);2011 januari;3440.0
3537;Utrecht (CR);2011 februari;3991.0
3538;Utrecht (CR);2011 maart;4243.0
3539;Utrecht (CR);2011 april;4248.0
3540;Utrecht (CR);2011 mei;4230.0
3541;Utrecht (CR);2011 juni;4014.0
3542;Utrecht (CR);2011 juli;3467.0
3543;Utrecht (CR);2011 augustus;3482.0
3544;Utrecht (CR);2011 september;3938.0
3545;Utrecht (CR);2011 oktober;3928.0
3546;Utrecht (CR);2011 november;3885.0
3547;Utrecht (CR);2011 december;3477.0
3548;Utrecht (CR);2011;3859.0
3549;Utrecht (CR);2012 januari;3500.0
3550;Utrecht (CR);2012 februari;3560.0
3551;Utrecht (CR);2012 maart;3813.0
3552;Utrecht (CR);2012 april;3765.0
3553;Utrecht (CR);2012 mei;3728.0
3554;Utrecht (CR);2012 juni;3611.0
3555;Utrecht (CR);2012 juli;3538.0
3556;Utrecht (CR);2012 augustus;3705.0
3557;Utrecht (CR);2012 september;3978.0
3558;Utrecht (CR);2012 oktober;4092.0
3559;Utrecht (CR);2012 november;3996.0
3560;Utrecht (CR);2012 december;3413.0
3561;Utrecht (CR);2012;3725.0
3562;Utrecht (CR);2013 januari;3519.0
3563;Utrecht (CR);2013 februari;3783.0
3564;Utrecht (CR);2013 maart;3879.0
3565;Utrecht (CR);2013 april;4029.0
3566;Utrecht (CR);2013 mei;4016.0
3567;Utrecht (CR);2013 juni;4146.0
3568;Utrecht (CR);2013 juli;3944.0
3569;Utrecht (CR);2013 augustus;3831.0
3570;Utrecht (CR);2013 september;4225.0
3571;Utrecht (CR);2013 oktober;4307.0
3572;Utrecht (CR);2013 november;4207.0
3573;Utrecht (CR);2013 december;3752.0
3574;Utrecht (CR);2013;3969.0
3575;Utrecht (CR);2014 januari;3851.0
3576;Utrecht (CR);2014 februari;3940.0
3577;Utrecht (CR);2014 maart;4033.0
3578;Utrecht (CR);2014 april;4140.0
3579;Utrecht (CR);2014 mei;4199.0
3580;Utrecht (CR);2014 juni;4277.0
3581;Utrecht (CR);2014 juli;4064.0
3582;Utrecht (CR);2014 augustus;3876.0
3583;Utrecht (CR);2014 september;4368.0
3584;Utrecht (CR);2014 oktober;4405.0
3585;Utrecht (CR);2014 november;4263.0
3586;Utrecht (CR);2014 december;3873.0
3587;Utrecht (CR);2014;4107.0
3588;Utrecht (CR);2015 januari;3850.0
3589;Utrecht (CR);2015 februari;4109.0
3590;Utrecht (CR);2015 maart;4284.0
3591;Utrecht (CR);2015 april;4317.0
3592;Utrecht (CR);2015 mei;4180.0
3593;Utrecht (CR);2015 juni;4485.0
3594;Utrecht (CR);2015 juli;4093.0
3595;Utrecht (CR);2015 augustus;4050.0
3596;Utrecht (CR);2015 september;4466.0
3597;Utrecht (CR);2015 oktober;4486.0
3598;Utrecht (CR);2015 november;4375.0
3599;Utrecht (CR);2015 december;4062.0
3600;Utrecht (CR);2015;4229.0
3601;Utrecht (CR);2016 januari;3950.0
3602;Utrecht (CR);2016 februari;4230.0
3603;Utrecht (CR);2016 maart;4406.0
3604;Utrecht (CR);2016 april;4318.0
3605;Utrecht (CR);2016 mei;4335.0
3606;Utrecht (CR);2016 juni;4480.0
3607;Utrecht (CR);2016 juli;4127.0
3608;Utrecht (CR);2016 augustus;4102.0
3609;Utrecht (CR);2016 september;4531.0
3610;Utrecht (CR);2016 oktober;4440.0
3611;Utrecht (CR);2016 november;4428.0
3612;Utrecht (CR);2016 december;4098.0
3613;Utrecht (CR);2016;4287.0
3614;Utrecht (CR);2017 januari;3993.0
3615;Utrecht (CR);2017 februari;4276.0
3616;Utrecht (CR);2017 maart;4513.0
3617;Utrecht (CR);2017 april;4393.0
3618;Utrecht (CR);2017 mei;4500.0
3619;Utrecht (CR);2017 juni;4605.0
3620;Utrecht (CR);2017 juli;4225.0
3621;Utrecht (CR);2017 augustus;4259.0
3622;Utrecht (CR);2017 september;4560.0
3623;Utrecht (CR);2017 oktober;4649.0
3624;Utrecht (CR);2017 november;4525.0
3625;Utrecht (CR);2017 december;3910.0
3626;Utrecht (CR);2017;4367.0
3627;Utrecht (CR);2018 januari;4085.0
3628;Utrecht (CR);2018 februari;4281.0
3629;Utrecht (CR);2018 maart;4411.0
3630;Utrecht (CR);2018 april;4441.0
3631;Utrecht (CR);2018 mei;4451.0
3632;Utrecht (CR);2018 juni;4598.0
3633;Utrecht (CR);2018 juli;4313.0
3634;Utrecht (CR);2018 augustus;4295.0
3635;Utrecht (CR);2018 september;4591.0
3636;Utrecht (CR);2018 oktober;4747.0
3637;Utrecht (CR);2018 november;4680.0
3638;Utrecht (CR);2018 december;4121.0
3639;Utrecht (CR);2018;4418.0
3640;Kop van Noord-Holland (CR);2011 januari;766.0
3641;Kop van Noord-Holland (CR);2011 februari;966.0
3642;Kop van Noord-Holland (CR);2011 maart;1039.0
3643;Kop van Noord-Holland (CR);2011 april;1083.0
3644;Kop van Noord-Holland (CR);2011 mei;1037.0
3645;Kop van Noord-Holland (CR);2011 juni;1098.0
3646;Kop van Noord-Holland (CR);2011 juli;942.0
3647;Kop van Noord-Holland (CR);2011 augustus;846.0
3648;Kop van Noord-Holland (CR);2011 september;1093.0
3649;Kop van Noord-Holland (CR);2011 oktober;1025.0
3650;Kop van Noord-Holland (CR);2011 november;899.0
3651;Kop van Noord-Holland (CR);2011 december;903.0
3652;Kop van Noord-Holland (CR);2011;974.0
3653;Kop van Noord-Holland (CR);2012 januari;828.0
3654;Kop van Noord-Holland (CR);2012 februari;829.0
3655;Kop van Noord-Holland (CR);2012 maart;913.0
3656;Kop van Noord-Holland (CR);2012 april;952.0
3657;Kop van Noord-Holland (CR);2012 mei;1035.0
3658;Kop van Noord-Holland (CR);2012 juni;1053.0
3659;Kop van Noord-Holland (CR);2012 juli;1057.0
3660;Kop van Noord-Holland (CR);2012 augustus;1021.0
3661;Kop van Noord-Holland (CR);2012 september;1038.0
3662;Kop van Noord-Holland (CR);2012 oktober;1025.0
3663;Kop van Noord-Holland (CR);2012 november;962.0
3664;Kop van Noord-Holland (CR);2012 december;857.0
3665;Kop van Noord-Holland (CR);2012;964.0
3666;Kop van Noord-Holland (CR);2013 januari;849.0
3667;Kop van Noord-Holland (CR);2013 februari;926.0
3668;Kop van Noord-Holland (CR);2013 maart;948.0
3669;Kop van Noord-Holland (CR);2013 april;1005.0
3670;Kop van Noord-Holland (CR);2013 mei;1052.0
3671;Kop van Noord-Holland (CR);2013 juni;1048.0
3672;Kop van Noord-Holland (CR);2013 juli;1018.0
3673;Kop van Noord-Holland (CR);2013 augustus;1043.0
3674;Kop van Noord-Holland (CR);2013 september;1017.0
3675;Kop van Noord-Holland (CR);2013 oktober;990.0
3676;Kop van Noord-Holland (CR);2013 november;944.0
3677;Kop van Noord-Holland (CR);2013 december;870.0
3678;Kop van Noord-Holland (CR);2013;976.0
3679;Kop van Noord-Holland (CR);2014 januari;868.0
3680;Kop van Noord-Holland (CR);2014 februari;900.0
3681;Kop van Noord-Holland (CR);2014 maart;922.0
3682;Kop van Noord-Holland (CR);2014 april;974.0
3683;Kop van Noord-Holland (CR);2014 mei;998.0
3684;Kop van Noord-Holland (CR);2014 juni;1025.0
3685;Kop van Noord-Holland (CR);2014 juli;955.0
3686;Kop van Noord-Holland (CR);2014 augustus;1000.0
3687;Kop van Noord-Holland (CR);2014 september;1040.0
3688;Kop van Noord-Holland (CR);2014 oktober;1015.0
3689;Kop van Noord-Holland (CR);2014 november;949.0
3690;Kop van Noord-Holland (CR);2014 december;872.0
3691;Kop van Noord-Holland (CR);2014;960.0
3692;Kop van Noord-Holland (CR);2015 januari;851.0
3693;Kop van Noord-Holland (CR);2015 februari;903.0
3694;Kop van Noord-Holland (CR);2015 maart;944.0
3695;Kop van Noord-Holland (CR);2015 april;1001.0
3696;Kop van Noord-Holland (CR);2015 mei;1011.0
3697;Kop van Noord-Holland (CR);2015 juni;1052.0
3698;Kop van Noord-Holland (CR);2015 juli;995.0
3699;Kop van Noord-Holland (CR);2015 augustus;1049.0
3700;Kop van Noord-Holland (CR);2015 september;1040.0
3701;Kop van Noord-Holland (CR);2015 oktober;1028.0
3702;Kop van Noord-Holland (CR);2015 november;959.0
3703;Kop van Noord-Holland (CR);2015 december;903.0
3704;Kop van Noord-Holland (CR);2015;978.0
3705;Kop van Noord-Holland (CR);2016 januari;864.0
3706;Kop van Noord-Holland (CR);2016 februari;940.0
3707;Kop van Noord-Holland (CR);2016 maart;981.0
3708;Kop van Noord-Holland (CR);2016 april;1031.0
3709;Kop van Noord-Holland (CR);2016 mei;1069.0
3710;Kop van Noord-Holland (CR);2016 juni;1086.0
3711;Kop van Noord-Holland (CR);2016 juli;1069.0
3712;Kop van Noord-Holland (CR);2016 augustus;1057.0
3713;Kop van Noord-Holland (CR);2016 september;1097.0
3714;Kop van Noord-Holland (CR);2016 oktober;1057.0
3715;Kop van Noord-Holland (CR);2016 november;1004.0
3716;Kop van Noord-Holland (CR);2016 december;930.0
3717;Kop van Noord-Holland (CR);2016;1015.0
3718;Kop van Noord-Holland (CR);2017 januari;898.0
3719;Kop van Noord-Holland (CR);2017 februari;941.0
3720;Kop van Noord-Holland (CR);2017 maart;1025.0
3721;Kop van Noord-Holland (CR);2017 april;1050.0
3722;Kop van Noord-Holland (CR);2017 mei;1078.0
3723;Kop van Noord-Holland (CR);2017 juni;1132.0
3724;Kop van Noord-Holland (CR);2017 juli;1104.0
3725;Kop van Noord-Holland (CR);2017 augustus;1048.0
3726;Kop van Noord-Holland (CR);2017 september;1104.0
3727;Kop van Noord-Holland (CR);2017 oktober;1079.0
3728;Kop van Noord-Holland (CR);2017 november;1031.0
3729;Kop van Noord-Holland (CR);2017 december;913.0
3730;Kop van Noord-Holland (CR);2017;1034.0
3731;Kop van Noord-Holland (CR);2018 januari;929.0
3732;Kop van Noord-Holland (CR);2018 februari;965.0
3733;Kop van Noord-Holland (CR);2018 maart;1011.0
3734;Kop van Noord-Holland (CR);2018 april;1048.0
3735;Kop van Noord-Holland (CR);2018 mei;1187.0
3736;Kop van Noord-Holland (CR);2018 juni;1207.0
3737;Kop van Noord-Holland (CR);2018 juli;1141.0
3738;Kop van Noord-Holland (CR);2018 augustus;1121.0
3739;Kop van Noord-Holland (CR);2018 september;1121.0
3740;Kop van Noord-Holland (CR);2018 oktober;1142.0
3741;Kop van Noord-Holland (CR);2018 november;1089.0
3742;Kop van Noord-Holland (CR);2018 december;1117.0
3743;Kop van Noord-Holland (CR);2018;1090.0
3744;Alkmaar en omgeving (CR);2011 januari;1496.0
3745;Alkmaar en omgeving (CR);2011 februari;1568.0
3746;Alkmaar en omgeving (CR);2011 maart;1619.0
3747;Alkmaar en omgeving (CR);2011 april;1620.0
3748;Alkmaar en omgeving (CR);2011 mei;1639.0
3749;Alkmaar en omgeving (CR);2011 juni;1577.0
3750;Alkmaar en omgeving (CR);2011 juli;1352.0
3751;Alkmaar en omgeving (CR);2011 augustus;1371.0
3752;Alkmaar en omgeving (CR);2011 september;1523.0
3753;Alkmaar en omgeving (CR);2011 oktober;1605.0
3754;Alkmaar en omgeving (CR);2011 november;1599.0
3755;Alkmaar en omgeving (CR);2011 december;1484.0
3756;Alkmaar en omgeving (CR);2011;1537.0
3757;Alkmaar en omgeving (CR);2012 januari;1534.0
3758;Alkmaar en omgeving (CR);2012 februari;1529.0
3759;Alkmaar en omgeving (CR);2012 maart;1724.0
3760;Alkmaar en omgeving (CR);2012 april;1712.0
3761;Alkmaar en omgeving (CR);2012 mei;1744.0
3762;Alkmaar en omgeving (CR);2012 juni;1769.0
3763;Alkmaar en omgeving (CR);2012 juli;1813.0
3764;Alkmaar en omgeving (CR);2012 augustus;1693.0
3765;Alkmaar en omgeving (CR);2012 september;1788.0
3766;Alkmaar en omgeving (CR);2012 oktober;1934.0
3767;Alkmaar en omgeving (CR);2012 november;1809.0
3768;Alkmaar en omgeving (CR);2012 december;1525.0
3769;Alkmaar en omgeving (CR);2012;1715.0
3770;Alkmaar en omgeving (CR);2013 januari;1542.0
3771;Alkmaar en omgeving (CR);2013 februari;1644.0
3772;Alkmaar en omgeving (CR);2013 maart;1735.0
3773;Alkmaar en omgeving (CR);2013 april;1711.0
3774;Alkmaar en omgeving (CR);2013 mei;1757.0
3775;Alkmaar en omgeving (CR);2013 juni;1831.0
3776;Alkmaar en omgeving (CR);2013 juli;1740.0
3777;Alkmaar en omgeving (CR);2013 augustus;1804.0
3778;Alkmaar en omgeving (CR);2013 september;1854.0
3779;Alkmaar en omgeving (CR);2013 oktober;1859.0
3780;Alkmaar en omgeving (CR);2013 november;1843.0
3781;Alkmaar en omgeving (CR);2013 december;1611.0
3782;Alkmaar en omgeving (CR);2013;1744.0
3783;Alkmaar en omgeving (CR);2014 januari;1695.0
3784;Alkmaar en omgeving (CR);2014 februari;1569.0
3785;Alkmaar en omgeving (CR);2014 maart;1609.0
3786;Alkmaar en omgeving (CR);2014 april;1597.0
3787;Alkmaar en omgeving (CR);2014 mei;1731.0
3788;Alkmaar en omgeving (CR);2014 juni;1742.0
3789;Alkmaar en omgeving (CR);2014 juli;1620.0
3790;Alkmaar en omgeving (CR);2014 augustus;1667.0
3791;Alkmaar en omgeving (CR);2014 september;1756.0
3792;Alkmaar en omgeving (CR);2014 oktober;1765.0
3793;Alkmaar en omgeving (CR);2014 november;1670.0
3794;Alkmaar en omgeving (CR);2014 december;1540.0
3795;Alkmaar en omgeving (CR);2014;1664.0
3796;Alkmaar en omgeving (CR);2015 januari;1551.0
3797;Alkmaar en omgeving (CR);2015 februari;1606.0
3798;Alkmaar en omgeving (CR);2015 maart;1664.0
3799;Alkmaar en omgeving (CR);2015 april;1671.0
3800;Alkmaar en omgeving (CR);2015 mei;1574.0
3801;Alkmaar en omgeving (CR);2015 juni;1671.0
3802;Alkmaar en omgeving (CR);2015 juli;1552.0
3803;Alkmaar en omgeving (CR);2015 augustus;1648.0
3804;Alkmaar en omgeving (CR);2015 september;1660.0
3805;Alkmaar en omgeving (CR);2015 oktober;1734.0
3806;Alkmaar en omgeving (CR);2015 november;1685.0
3807;Alkmaar en omgeving (CR);2015 december;1572.0
3808;Alkmaar en omgeving (CR);2015;1632.0
3809;Alkmaar en omgeving (CR);2016 januari;1564.0
3810;Alkmaar en omgeving (CR);2016 februari;1665.0
3811;Alkmaar en omgeving (CR);2016 maart;1693.0
3812;Alkmaar en omgeving (CR);2016 april;1630.0
3813;Alkmaar en omgeving (CR);2016 mei;1645.0
3814;Alkmaar en omgeving (CR);2016 juni;1697.0
3815;Alkmaar en omgeving (CR);2016 juli;1627.0
3816;Alkmaar en omgeving (CR);2016 augustus;1591.0
3817;Alkmaar en omgeving (CR);2016 september;1715.0
3818;Alkmaar en omgeving (CR);2016 oktober;1679.0
3819;Alkmaar en omgeving (CR);2016 november;1639.0
3820;Alkmaar en omgeving (CR);2016 december;1509.0
3821;Alkmaar en omgeving (CR);2016;1638.0
3822;Alkmaar en omgeving (CR);2017 januari;1494.0
3823;Alkmaar en omgeving (CR);2017 februari;1527.0
3824;Alkmaar en omgeving (CR);2017 maart;1660.0
3825;Alkmaar en omgeving (CR);2017 april;1671.0
3826;Alkmaar en omgeving (CR);2017 mei;1728.0
3827;Alkmaar en omgeving (CR);2017 juni;1745.0
3828;Alkmaar en omgeving (CR);2017 juli;1704.0
3829;Alkmaar en omgeving (CR);2017 augustus;1632.0
3830;Alkmaar en omgeving (CR);2017 september;1723.0
3831;Alkmaar en omgeving (CR);2017 oktober;1751.0
3832;Alkmaar en omgeving (CR);2017 november;1712.0
3833;Alkmaar en omgeving (CR);2017 december;1512.0
3834;Alkmaar en omgeving (CR);2017;1655.0
3835;Alkmaar en omgeving (CR);2018 januari;1585.0
3836;Alkmaar en omgeving (CR);2018 februari;1633.0
3837;Alkmaar en omgeving (CR);2018 maart;1701.0
3838;Alkmaar en omgeving (CR);2018 april;1804.0
3839;Alkmaar en omgeving (CR);2018 mei;1847.0
3840;Alkmaar en omgeving (CR);2018 juni;1858.0
3841;Alkmaar en omgeving (CR);2018 juli;1763.0
3842;Alkmaar en omgeving (CR);2018 augustus;1685.0
3843;Alkmaar en omgeving (CR);2018 september;1798.0
3844;Alkmaar en omgeving (CR);2018 oktober;1835.0
3845;Alkmaar en omgeving (CR);2018 november;1711.0
3846;Alkmaar en omgeving (CR);2018 december;1465.0
3847;Alkmaar en omgeving (CR);2018;1724.0
3848;IJmond (CR);2011 januari;2147.0
3849;IJmond (CR);2011 februari;2380.0
3850;IJmond (CR);2011 maart;2541.0
3851;IJmond (CR);2011 april;2484.0
3852;IJmond (CR);2011 mei;2535.0
3853;IJmond (CR);2011 juni;2557.0
3854;IJmond (CR);2011 juli;2477.0
3855;IJmond (CR);2011 augustus;2268.0
3856;IJmond (CR);2011 september;2549.0
3857;IJmond (CR);2011 oktober;2609.0
3858;IJmond (CR);2011 november;2611.0
3859;IJmond (CR);2011 december;2411.0
3860;IJmond (CR);2011;2464.0
3861;IJmond (CR);2012 januari;2425.0
3862;IJmond (CR);2012 februari;2472.0
3863;IJmond (CR);2012 maart;2762.0
3864;IJmond (CR);2012 april;2675.0
3865;IJmond (CR);2012 mei;2689.0
3866;IJmond (CR);2012 juni;2577.0
3867;IJmond (CR);2012 juli;2784.0
3868;IJmond (CR);2012 augustus;2553.0
3869;IJmond (CR);2012 september;2752.0
3870;IJmond (CR);2012 oktober;2939.0
3871;IJmond (CR);2012 november;2806.0
3872;IJmond (CR);2012 december;2427.0
3873;IJmond (CR);2012;2656.0
3874;IJmond (CR);2013 januari;2549.0
3875;IJmond (CR);2013 februari;2753.0
3876;IJmond (CR);2013 maart;2818.0
