ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
2485;Employee;G-I Trade, transport, hotels, catering;2004;1796.0;;1905.0;;2390.0;
2486;Employee;G-I Trade, transport, hotels, catering;2005 1st quarter;1775.0;1793.0;1883.0;1899.0;625.0;589.0
2487;Employee;G-I Trade, transport, hotels, catering;2005 2nd quarter;1797.0;1789.0;1906.0;1898.0;576.0;587.0
2488;Employee;G-I Trade, transport, hotels, catering;2005 3rd quarter;1793.0;1779.0;1902.0;1887.0;520.0;583.0
2489;Employee;G-I Trade, transport, hotels, catering;2005 4th quarter;1765.0;1768.0;1871.0;1876.0;619.0;582.0
2490;Employee;G-I Trade, transport, hotels, catering;2005;1782.0;;1890.0;;2340.0;
2491;Employee;G-I Trade, transport, hotels, catering;2006 1st quarter;1774.0;1791.0;1881.0;1898.0;644.0;585.0
2492;Employee;G-I Trade, transport, hotels, catering;2006 2nd quarter;1800.0;1794.0;1910.0;1903.0;567.0;586.0
2493;Employee;G-I Trade, transport, hotels, catering;2006 3rd quarter;1818.0;1804.0;1928.0;1914.0;523.0;591.0
2494;Employee;G-I Trade, transport, hotels, catering;2006 4th quarter;1816.0;1818.0;1926.0;1930.0;624.0;595.0
2495;Employee;G-I Trade, transport, hotels, catering;2006;1802.0;;1911.0;;2358.0;
2496;Employee;G-I Trade, transport, hotels, catering;2007 1st quarter;1819.0;1836.0;1929.0;1947.0;650.0;599.0
2497;Employee;G-I Trade, transport, hotels, catering;2007 2nd quarter;1861.0;1855.0;1974.0;1967.0;582.0;604.0
2498;Employee;G-I Trade, transport, hotels, catering;2007 3rd quarter;1884.0;1870.0;1999.0;1984.0;541.0;608.0
2499;Employee;G-I Trade, transport, hotels, catering;2007 4th quarter;1877.0;1878.0;1990.0;1993.0;649.0;610.0
2500;Employee;G-I Trade, transport, hotels, catering;2007;1860.0;;1973.0;;2421.0;
2501;Employee;G-I Trade, transport, hotels, catering;2008 1st quarter;1866.0;1884.0;1979.0;1999.0;655.0;616.0
2502;Employee;G-I Trade, transport, hotels, catering;2008 2nd quarter;1897.0;1891.0;2013.0;2006.0;599.0;617.0
2503;Employee;G-I Trade, transport, hotels, catering;2008 3rd quarter;1912.0;1898.0;2028.0;2013.0;554.0;612.0
2504;Employee;G-I Trade, transport, hotels, catering;2008 4th quarter;1903.0;1904.0;2018.0;2020.0;655.0;618.0
2505;Employee;G-I Trade, transport, hotels, catering;2008;1895.0;;2010.0;;2463.0;
2506;Employee;G-I Trade, transport, hotels, catering;2009 1st quarter;1874.0;1892.0;1987.0;2008.0;652.0;617.0
2507;Employee;G-I Trade, transport, hotels, catering;2009 2nd quarter;1887.0;1881.0;2002.0;1995.0;580.0;608.0
2508;Employee;G-I Trade, transport, hotels, catering;2009 3rd quarter;1885.0;1873.0;2000.0;1985.0;544.0;595.0
2509;Employee;G-I Trade, transport, hotels, catering;2009 4th quarter;1866.0;1867.0;1980.0;1981.0;643.0;599.0
2510;Employee;G-I Trade, transport, hotels, catering;2009;1878.0;;1992.0;;2419.0;
2511;Employee;G-I Trade, transport, hotels, catering;2010 1st quarter;1845.0;1863.0;1953.0;1975.0;623.0;593.0
2512;Employee;G-I Trade, transport, hotels, catering;2010 2nd quarter;1874.0;1867.0;1991.0;1982.0;562.0;596.0
2513;Employee;G-I Trade, transport, hotels, catering;2010 3rd quarter;1885.0;1874.0;2005.0;1990.0;558.0;605.0
2514;Employee;G-I Trade, transport, hotels, catering;2010 4th quarter;1882.0;1883.0;1994.0;1996.0;651.0;600.0
2515;Employee;G-I Trade, transport, hotels, catering;2010;1872.0;;1986.0;;2394.0;
2516;Employee;G-I Trade, transport, hotels, catering;2011 1st quarter;1876.0;1894.0;1990.0;2013.0;640.0;603.0
2517;Employee;G-I Trade, transport, hotels, catering;2011 2nd quarter;1911.0;1903.0;2034.0;2024.0;583.0;607.0
2518;Employee;G-I Trade, transport, hotels, catering;2011 3rd quarter;1918.0;1907.0;2041.0;2027.0;570.0;613.0
2519;Employee;G-I Trade, transport, hotels, catering;2011 4th quarter;1910.0;1910.0;2027.0;2028.0;640.0;610.0
2520;Employee;G-I Trade, transport, hotels, catering;2011;1904.0;;2023.0;;2432.0;
2521;Employee;G-I Trade, transport, hotels, catering;2012 1st quarter;1896.0;1913.0;2008.0;2031.0;652.0;607.0
2522;Employee;G-I Trade, transport, hotels, catering;2012 2nd quarter;1919.0;1911.0;2040.0;2029.0;583.0;605.0
2523;Employee;G-I Trade, transport, hotels, catering;2012 3rd quarter;1918.0;1908.0;2039.0;2026.0;553.0;602.0
2524;Employee;G-I Trade, transport, hotels, catering;2012 4th quarter;1906.0;1905.0;2020.0;2022.0;618.0;593.0
2525;Employee;G-I Trade, transport, hotels, catering;2012;1909.0;;2027.0;;2407.0;
2526;Employee;G-I Trade, transport, hotels, catering;2013 1st quarter;1880.0;1898.0;1989.0;2012.0;628.0;599.0
2527;Employee;G-I Trade, transport, hotels, catering;2013 2nd quarter;1899.0;1891.0;2016.0;2004.0;581.0;598.0
2528;Employee;G-I Trade, transport, hotels, catering;2013 3rd quarter;1899.0;1890.0;2015.0;2003.0;552.0;590.0
2529;Employee;G-I Trade, transport, hotels, catering;2013 4th quarter;1888.0;1887.0;1998.0;1999.0;618.0;592.0
2530;Employee;G-I Trade, transport, hotels, catering;2013;1891.0;;2005.0;;2379.0;
2531;Employee;G-I Trade, transport, hotels, catering;2014 1st quarter;1870.0;1888.0;1979.0;2002.0;624.0;595.0
2532;Employee;G-I Trade, transport, hotels, catering;2014 2nd quarter;1900.0;1892.0;2018.0;2007.0;577.0;593.0
2533;Employee;G-I Trade, transport, hotels, catering;2014 3rd quarter;1908.0;1899.0;2025.0;2013.0;558.0;597.0
2534;Employee;G-I Trade, transport, hotels, catering;2014 4th quarter;1908.0;1907.0;2021.0;2022.0;620.0;595.0
2535;Employee;G-I Trade, transport, hotels, catering;2014;1897.0;;2011.0;;2380.0;
2536;Employee;G-I Trade, transport, hotels, catering;2015 1st quarter;1899.0;1916.0;2010.0;2032.0;627.0;598.0
2537;Employee;G-I Trade, transport, hotels, catering;2015 2nd quarter;1935.0;1926.0;2055.0;2043.0;578.0;602.0
2538;Employee;G-I Trade, transport, hotels, catering;2015 3rd quarter;1944.0;1936.0;2064.0;2053.0;558.0;597.0
2539;Employee;G-I Trade, transport, hotels, catering;2015 4th quarter;1945.0;1944.0;2060.0;2062.0;642.0;607.0
2540;Employee;G-I Trade, transport, hotels, catering;2015;1931.0;;2048.0;;2405.0;
2541;Employee;G-I Trade, transport, hotels, catering;2016 1st quarter;1934.0;1951.0;2047.0;2068.0;637.0;612.0
2542;Employee;G-I Trade, transport, hotels, catering;2016 2nd quarter;1967.0;1959.0;2090.0;2077.0;609.0;619.0
2543;Employee;G-I Trade, transport, hotels, catering;2016 3rd quarter;1975.0;1968.0;2098.0;2087.0;580.0;621.0
2544;Employee;G-I Trade, transport, hotels, catering;2016 4th quarter;1981.0;1981.0;2099.0;2101.0;652.0;626.0
2545;Employee;G-I Trade, transport, hotels, catering;2016;1964.0;;2083.0;;2478.0;
2546;Employee;G-I Trade, transport, hotels, catering;2017 1st quarter;1981.0;1997.0;2098.0;2118.0;672.0;628.0
2547;Employee;G-I Trade, transport, hotels, catering;2017 2nd quarter;2017.0;2009.0;2143.0;2131.0;615.0;632.0
2548;Employee;G-I Trade, transport, hotels, catering;2017 3rd quarter;2030.0;2023.0;2156.0;2146.0;590.0;638.0
2549;Employee;G-I Trade, transport, hotels, catering;2017 4th quarter;2041.0;2041.0;2162.0;2165.0;661.0;641.0
2550;Employee;G-I Trade, transport, hotels, catering;2017;2018.0;;2140.0;;2539.0;
2551;Employee;G-I Trade, transport, hotels, catering;2018 1st quarter;2048.0;2063.0;2169.0;2188.0;680.0;643.0
2552;Employee;J Information and communication;1995 1st quarter;122.0;121.0;130.0;130.0;54.0;49.0
2553;Employee;J Information and communication;1995 2nd quarter;122.0;124.0;131.0;132.0;49.0;51.0
2554;Employee;J Information and communication;1995 3rd quarter;129.0;129.0;137.0;137.0;46.0;54.0
2555;Employee;J Information and communication;1995 4th quarter;136.0;135.0;145.0;144.0;60.0;56.0
2556;Employee;J Information and communication;1995;127.0;;136.0;;210.0;
2557;Employee;J Information and communication;1996 1st quarter;135.0;134.0;144.0;144.0;61.0;57.0
2558;Employee;J Information and communication;1996 2nd quarter;136.0;137.0;146.0;147.0;56.0;58.0
2559;Employee;J Information and communication;1996 3rd quarter;143.0;143.0;154.0;154.0;53.0;61.0
2560;Employee;J Information and communication;1996 4th quarter;152.0;151.0;163.0;161.0;69.0;63.0
2561;Employee;J Information and communication;1996;141.0;;152.0;;238.0;
2562;Employee;J Information and communication;1997 1st quarter;152.0;152.0;163.0;163.0;67.0;64.0
2563;Employee;J Information and communication;1997 2nd quarter;152.0;153.0;163.0;164.0;64.0;65.0
2564;Employee;J Information and communication;1997 3rd quarter;158.0;158.0;169.0;169.0;59.0;67.0
2565;Employee;J Information and communication;1997 4th quarter;165.0;165.0;177.0;176.0;76.0;70.0
2566;Employee;J Information and communication;1997;157.0;;168.0;;266.0;
2567;Employee;J Information and communication;1998 1st quarter;172.0;172.0;182.0;182.0;78.0;73.0
2568;Employee;J Information and communication;1998 2nd quarter;179.0;180.0;189.0;190.0;74.0;76.0
2569;Employee;J Information and communication;1998 3rd quarter;188.0;188.0;199.0;199.0;69.0;79.0
2570;Employee;J Information and communication;1998 4th quarter;194.0;194.0;205.0;204.0;88.0;81.0
2571;Employee;J Information and communication;1998;183.0;;194.0;;309.0;
2572;Employee;J Information and communication;1999 1st quarter;196.0;196.0;209.0;209.0;89.0;83.0
2573;Employee;J Information and communication;1999 2nd quarter;201.0;202.0;214.0;216.0;84.0;86.0
2574;Employee;J Information and communication;1999 3rd quarter;205.0;205.0;219.0;219.0;76.0;88.0
2575;Employee;J Information and communication;1999 4th quarter;209.0;209.0;223.0;222.0;99.0;90.0
2576;Employee;J Information and communication;1999;203.0;;216.0;;348.0;
2577;Employee;J Information and communication;2000 1st quarter;218.0;217.0;232.0;231.0;102.0;93.0
2578;Employee;J Information and communication;2000 2nd quarter;221.0;221.0;235.0;236.0;93.0;95.0
2579;Employee;J Information and communication;2000 3rd quarter;225.0;225.0;239.0;239.0;81.0;94.0
2580;Employee;J Information and communication;2000 4th quarter;228.0;228.0;243.0;242.0;102.0;96.0
2581;Employee;J Information and communication;2000;223.0;;237.0;;378.0;
2582;Employee;J Information and communication;2001 1st quarter;238.0;238.0;250.0;249.0;107.0;99.0
2583;Employee;J Information and communication;2001 2nd quarter;241.0;241.0;252.0;252.0;98.0;100.0
2584;Employee;J Information and communication;2001 3rd quarter;240.0;241.0;251.0;252.0;86.0;100.0
2585;Employee;J Information and communication;2001 4th quarter;239.0;239.0;250.0;250.0;107.0;99.0
2586;Employee;J Information and communication;2001;240.0;;251.0;;398.0;
2587;Employee;J Information and communication;2002 1st quarter;228.0;227.0;239.0;239.0;100.0;94.0
2588;Employee;J Information and communication;2002 2nd quarter;225.0;225.0;236.0;236.0;90.0;92.0
2589;Employee;J Information and communication;2002 3rd quarter;220.0;221.0;231.0;231.0;80.0;91.0
2590;Employee;J Information and communication;2002 4th quarter;216.0;217.0;227.0;227.0;96.0;89.0
2591;Employee;J Information and communication;2002;222.0;;233.0;;366.0;
2592;Employee;J Information and communication;2003 1st quarter;213.0;212.0;223.0;223.0;93.0;87.0
2593;Employee;J Information and communication;2003 2nd quarter;211.0;211.0;222.0;222.0;84.0;86.0
2594;Employee;J Information and communication;2003 3rd quarter;209.0;209.0;219.0;220.0;75.0;85.0
2595;Employee;J Information and communication;2003 4th quarter;208.0;209.0;219.0;219.0;91.0;85.0
2596;Employee;J Information and communication;2003;210.0;;221.0;;344.0;
2597;Employee;J Information and communication;2004 1st quarter;205.0;204.0;211.0;211.0;90.0;84.0
2598;Employee;J Information and communication;2004 2nd quarter;205.0;204.0;212.0;211.0;81.0;84.0
2599;Employee;J Information and communication;2004 3rd quarter;204.0;205.0;211.0;212.0;73.0;84.0
2600;Employee;J Information and communication;2004 4th quarter;205.0;205.0;212.0;212.0;91.0;84.0
2601;Employee;J Information and communication;2004;205.0;;211.0;;335.0;
2602;Employee;J Information and communication;2005 1st quarter;209.0;209.0;216.0;216.0;91.0;85.0
2603;Employee;J Information and communication;2005 2nd quarter;211.0;210.0;218.0;217.0;84.0;85.0
2604;Employee;J Information and communication;2005 3rd quarter;210.0;211.0;217.0;218.0;76.0;85.0
2605;Employee;J Information and communication;2005 4th quarter;212.0;212.0;219.0;219.0;91.0;86.0
2606;Employee;J Information and communication;2005;211.0;;218.0;;341.0;
2607;Employee;J Information and communication;2006 1st quarter;216.0;216.0;223.0;223.0;96.0;87.0
2608;Employee;J Information and communication;2006 2nd quarter;218.0;218.0;226.0;225.0;85.0;88.0
2609;Employee;J Information and communication;2006 3rd quarter;217.0;218.0;225.0;226.0;77.0;88.0
2610;Employee;J Information and communication;2006 4th quarter;220.0;220.0;227.0;227.0;93.0;89.0
2611;Employee;J Information and communication;2006;218.0;;225.0;;351.0;
2612;Employee;J Information and communication;2007 1st quarter;223.0;223.0;231.0;230.0;98.0;90.0
2613;Employee;J Information and communication;2007 2nd quarter;227.0;226.0;234.0;234.0;88.0;91.0
2614;Employee;J Information and communication;2007 3rd quarter;227.0;229.0;235.0;236.0;81.0;92.0
2615;Employee;J Information and communication;2007 4th quarter;231.0;231.0;238.0;238.0;98.0;93.0
2616;Employee;J Information and communication;2007;227.0;;235.0;;365.0;
2617;Employee;J Information and communication;2008 1st quarter;232.0;232.0;240.0;239.0;100.0;93.0
2618;Employee;J Information and communication;2008 2nd quarter;234.0;233.0;242.0;241.0;92.0;94.0
2619;Employee;J Information and communication;2008 3rd quarter;234.0;235.0;241.0;243.0;84.0;94.0
2620;Employee;J Information and communication;2008 4th quarter;237.0;237.0;245.0;244.0;100.0;94.0
2621;Employee;J Information and communication;2008;234.0;;242.0;;376.0;
2622;Employee;J Information and communication;2009 1st quarter;234.0;234.0;242.0;242.0;101.0;95.0
2623;Employee;J Information and communication;2009 2nd quarter;232.0;231.0;239.0;239.0;90.0;93.0
2624;Employee;J Information and communication;2009 3rd quarter;227.0;228.0;234.0;235.0;82.0;91.0
2625;Employee;J Information and communication;2009 4th quarter;226.0;226.0;233.0;233.0;96.0;90.0
2626;Employee;J Information and communication;2009;230.0;;237.0;;369.0;
2627;Employee;J Information and communication;2010 1st quarter;222.0;222.0;229.0;229.0;94.0;88.0
2628;Employee;J Information and communication;2010 2nd quarter;221.0;220.0;229.0;228.0;83.0;88.0
2629;Employee;J Information and communication;2010 3rd quarter;219.0;220.0;226.0;227.0;81.0;89.0
2630;Employee;J Information and communication;2010 4th quarter;220.0;219.0;226.0;226.0;95.0;88.0
2631;Employee;J Information and communication;2010;220.0;;228.0;;354.0;
2632;Employee;J Information and communication;2011 1st quarter;221.0;220.0;229.0;228.0;95.0;88.0
2633;Employee;J Information and communication;2011 2nd quarter;222.0;221.0;231.0;230.0;85.0;89.0
2634;Employee;J Information and communication;2011 3rd quarter;221.0;223.0;229.0;230.0;83.0;91.0
2635;Employee;J Information and communication;2011 4th quarter;224.0;224.0;231.0;231.0;95.0;90.0
2636;Employee;J Information and communication;2011;222.0;;230.0;;358.0;
2637;Employee;J Information and communication;2012 1st quarter;223.0;223.0;231.0;231.0;98.0;90.0
2638;Employee;J Information and communication;2012 2nd quarter;224.0;224.0;232.0;231.0;87.0;90.0
2639;Employee;J Information and communication;2012 3rd quarter;223.0;224.0;231.0;232.0;81.0;90.0
2640;Employee;J Information and communication;2012 4th quarter;224.0;223.0;231.0;231.0;93.0;89.0
2641;Employee;J Information and communication;2012;224.0;;231.0;;359.0;
2642;Employee;J Information and communication;2013 1st quarter;220.0;220.0;228.0;228.0;95.0;89.0
2643;Employee;J Information and communication;2013 2nd quarter;220.0;219.0;228.0;227.0;86.0;89.0
2644;Employee;J Information and communication;2013 3rd quarter;218.0;219.0;225.0;227.0;81.0;88.0
2645;Employee;J Information and communication;2013 4th quarter;219.0;219.0;227.0;226.0;93.0;89.0
2646;Employee;J Information and communication;2013;219.0;;227.0;;355.0;
2647;Employee;J Information and communication;2014 1st quarter;221.0;221.0;228.0;228.0;97.0;91.0
2648;Employee;J Information and communication;2014 2nd quarter;222.0;222.0;230.0;229.0;88.0;91.0
2649;Employee;J Information and communication;2014 3rd quarter;221.0;223.0;228.0;230.0;84.0;92.0
2650;Employee;J Information and communication;2014 4th quarter;224.0;224.0;232.0;231.0;96.0;92.0
2651;Employee;J Information and communication;2014;222.0;;229.0;;365.0;
2652;Employee;J Information and communication;2015 1st quarter;226.0;226.0;234.0;233.0;99.0;93.0
2653;Employee;J Information and communication;2015 2nd quarter;228.0;227.0;236.0;235.0;89.0;93.0
2654;Employee;J Information and communication;2015 3rd quarter;228.0;229.0;235.0;237.0;85.0;93.0
2655;Employee;J Information and communication;2015 4th quarter;232.0;232.0;240.0;239.0;101.0;95.0
2656;Employee;J Information and communication;2015;229.0;;236.0;;374.0;
2657;Employee;J Information and communication;2016 1st quarter;234.0;234.0;242.0;241.0;101.0;95.0
2658;Employee;J Information and communication;2016 2nd quarter;237.0;236.0;245.0;244.0;95.0;97.0
2659;Employee;J Information and communication;2016 3rd quarter;237.0;239.0;244.0;246.0;90.0;98.0
2660;Employee;J Information and communication;2016 4th quarter;243.0;242.0;251.0;250.0;104.0;99.0
2661;Employee;J Information and communication;2016;238.0;;245.0;;390.0;
2662;Employee;J Information and communication;2017 1st quarter;247.0;247.0;255.0;255.0;110.0;101.0
2663;Employee;J Information and communication;2017 2nd quarter;249.0;249.0;258.0;257.0;98.0;101.0
2664;Employee;J Information and communication;2017 3rd quarter;250.0;252.0;258.0;260.0;93.0;103.0
2665;Employee;J Information and communication;2017 4th quarter;256.0;255.0;264.0;263.0;106.0;103.0
2666;Employee;J Information and communication;2017;251.0;;259.0;;407.0;
2667;Employee;J Information and communication;2018 1st quarter;257.0;256.0;265.0;265.0;111.0;103.0
2668;Employee;K Financial institutions;1995 1st quarter;221.0;219.0;232.0;230.0;93.0;84.0
2669;Employee;K Financial institutions;1995 2nd quarter;219.0;218.0;230.0;229.0;82.0;85.0
2670;Employee;K Financial institutions;1995 3rd quarter;219.0;219.0;230.0;230.0;75.0;87.0
2671;Employee;K Financial institutions;1995 4th quarter;219.0;221.0;229.0;232.0;95.0;88.0
2672;Employee;K Financial institutions;1995;219.0;;230.0;;345.0;
2673;Employee;K Financial institutions;1996 1st quarter;227.0;224.0;236.0;234.0;95.0;88.0
2674;Employee;K Financial institutions;1996 2nd quarter;226.0;224.0;235.0;234.0;84.0;87.0
2675;Employee;K Financial institutions;1996 3rd quarter;226.0;226.0;235.0;236.0;77.0;89.0
2676;Employee;K Financial institutions;1996 4th quarter;225.0;228.0;235.0;238.0;98.0;90.0
2677;Employee;K Financial institutions;1996;226.0;;236.0;;355.0;
2678;Employee;K Financial institutions;1997 1st quarter;233.0;231.0;243.0;241.0;96.0;91.0
2679;Employee;K Financial institutions;1997 2nd quarter;238.0;236.0;248.0;246.0;92.0;93.0
2680;Employee;K Financial institutions;1997 3rd quarter;241.0;241.0;251.0;252.0;82.0;94.0
2681;Employee;K Financial institutions;1997 4th quarter;243.0;246.0;253.0;256.0;104.0;96.0
2682;Employee;K Financial institutions;1997;239.0;;249.0;;374.0;
2683;Employee;K Financial institutions;1998 1st quarter;251.0;249.0;261.0;260.0;105.0;99.0
2684;Employee;K Financial institutions;1998 2nd quarter;254.0;251.0;265.0;262.0;97.0;99.0
2685;Employee;K Financial institutions;1998 3rd quarter;254.0;254.0;264.0;265.0;87.0;100.0
2686;Employee;K Financial institutions;1998 4th quarter;253.0;257.0;264.0;268.0;108.0;99.0
2687;Employee;K Financial institutions;1998;253.0;;264.0;;397.0;
2688;Employee;K Financial institutions;1999 1st quarter;263.0;261.0;274.0;272.0;108.0;102.0
2689;Employee;K Financial institutions;1999 2nd quarter;267.0;264.0;278.0;275.0;101.0;103.0
2690;Employee;K Financial institutions;1999 3rd quarter;265.0;266.0;276.0;276.0;89.0;103.0
2691;Employee;K Financial institutions;1999 4th quarter;262.0;266.0;273.0;277.0;114.0;104.0
2692;Employee;K Financial institutions;1999;264.0;;275.0;;412.0;
2693;Employee;K Financial institutions;2000 1st quarter;272.0;270.0;283.0;282.0;114.0;104.0
2694;Employee;K Financial institutions;2000 2nd quarter;276.0;274.0;288.0;285.0;105.0;107.0
2695;Employee;K Financial institutions;2000 3rd quarter;274.0;274.0;285.0;285.0;89.0;103.0
2696;Employee;K Financial institutions;2000 4th quarter;271.0;275.0;282.0;285.0;111.0;105.0
2697;Employee;K Financial institutions;2000;273.0;;284.0;;419.0;
2698;Employee;K Financial institutions;2001 1st quarter;277.0;276.0;288.0;288.0;113.0;104.0
2699;Employee;K Financial institutions;2001 2nd quarter;280.0;278.0;292.0;289.0;103.0;105.0
2700;Employee;K Financial institutions;2001 3rd quarter;278.0;279.0;290.0;290.0;91.0;105.0
2701;Employee;K Financial institutions;2001 4th quarter;275.0;277.0;286.0;287.0;113.0;105.0
2702;Employee;K Financial institutions;2001;278.0;;289.0;;419.0;
2703;Employee;K Financial institutions;2002 1st quarter;277.0;276.0;285.0;285.0;111.0;104.0
2704;Employee;K Financial institutions;2002 2nd quarter;277.0;275.0;286.0;284.0;101.0;104.0
2705;Employee;K Financial institutions;2002 3rd quarter;274.0;274.0;282.0;282.0;90.0;103.0
2706;Employee;K Financial institutions;2002 4th quarter;273.0;274.0;281.0;282.0;111.0;103.0
2707;Employee;K Financial institutions;2002;275.0;;283.0;;413.0;
2708;Employee;K Financial institutions;2003 1st quarter;272.0;271.0;279.0;279.0;109.0;102.0
2709;Employee;K Financial institutions;2003 2nd quarter;272.0;271.0;279.0;278.0;99.0;101.0
2710;Employee;K Financial institutions;2003 3rd quarter;270.0;271.0;278.0;278.0;89.0;101.0
2711;Employee;K Financial institutions;2003 4th quarter;270.0;270.0;277.0;277.0;108.0;101.0
2712;Employee;K Financial institutions;2003;271.0;;278.0;;405.0;
2713;Employee;K Financial institutions;2004 1st quarter;263.0;264.0;272.0;273.0;108.0;100.0
2714;Employee;K Financial institutions;2004 2nd quarter;264.0;263.0;272.0;272.0;95.0;100.0
2715;Employee;K Financial institutions;2004 3rd quarter;262.0;263.0;271.0;271.0;87.0;100.0
2716;Employee;K Financial institutions;2004 4th quarter;263.0;263.0;271.0;271.0;109.0;100.0
2717;Employee;K Financial institutions;2004;263.0;;272.0;;400.0;
2718;Employee;K Financial institutions;2005 1st quarter;263.0;263.0;271.0;272.0;106.0;99.0
2719;Employee;K Financial institutions;2005 2nd quarter;263.0;263.0;272.0;271.0;96.0;99.0
2720;Employee;K Financial institutions;2005 3rd quarter;265.0;265.0;273.0;274.0;89.0;100.0
2721;Employee;K Financial institutions;2005 4th quarter;265.0;265.0;274.0;273.0;106.0;99.0
2722;Employee;K Financial institutions;2005;264.0;;273.0;;397.0;
2723;Employee;K Financial institutions;2006 1st quarter;274.0;275.0;283.0;284.0;114.0;103.0
2724;Employee;K Financial institutions;2006 2nd quarter;275.0;274.0;284.0;283.0;99.0;103.0
2725;Employee;K Financial institutions;2006 3rd quarter;273.0;274.0;282.0;282.0;91.0;103.0
2726;Employee;K Financial institutions;2006 4th quarter;274.0;274.0;283.0;283.0;109.0;103.0
2727;Employee;K Financial institutions;2006;274.0;;283.0;;413.0;
2728;Employee;K Financial institutions;2007 1st quarter;273.0;274.0;282.0;283.0;113.0;104.0
2729;Employee;K Financial institutions;2007 2nd quarter;276.0;275.0;285.0;284.0;100.0;104.0
2730;Employee;K Financial institutions;2007 3rd quarter;275.0;275.0;284.0;284.0;92.0;104.0
2731;Employee;K Financial institutions;2007 4th quarter;276.0;276.0;285.0;285.0;111.0;104.0
2732;Employee;K Financial institutions;2007;275.0;;284.0;;415.0;
2733;Employee;K Financial institutions;2008 1st quarter;273.0;273.0;282.0;282.0;111.0;104.0
2734;Employee;K Financial institutions;2008 2nd quarter;273.0;272.0;282.0;281.0;99.0;103.0
2735;Employee;K Financial institutions;2008 3rd quarter;269.0;269.0;278.0;278.0;92.0;102.0
2736;Employee;K Financial institutions;2008 4th quarter;268.0;268.0;277.0;277.0;107.0;101.0
2737;Employee;K Financial institutions;2008;271.0;;279.0;;409.0;
2738;Employee;K Financial institutions;2009 1st quarter;273.0;274.0;282.0;283.0;111.0;104.0
2739;Employee;K Financial institutions;2009 2nd quarter;270.0;269.0;279.0;278.0;97.0;102.0
2740;Employee;K Financial institutions;2009 3rd quarter;265.0;266.0;274.0;275.0;92.0;101.0
2741;Employee;K Financial institutions;2009 4th quarter;262.0;262.0;270.0;271.0;107.0;100.0
2742;Employee;K Financial institutions;2009;268.0;;276.0;;407.0;
2743;Employee;K Financial institutions;2010 1st quarter;262.0;262.0;271.0;271.0;106.0;99.0
2744;Employee;K Financial institutions;2010 2nd quarter;262.0;261.0;270.0;269.0;93.0;99.0
2745;Employee;K Financial institutions;2010 3rd quarter;259.0;260.0;267.0;268.0;90.0;99.0
2746;Employee;K Financial institutions;2010 4th quarter;257.0;258.0;266.0;266.0;106.0;98.0
2747;Employee;K Financial institutions;2010;260.0;;268.0;;395.0;
2748;Employee;K Financial institutions;2011 1st quarter;257.0;256.0;265.0;265.0;105.0;98.0
2749;Employee;K Financial institutions;2011 2nd quarter;255.0;254.0;264.0;262.0;93.0;96.0
2750;Employee;K Financial institutions;2011 3rd quarter;253.0;254.0;261.0;262.0;89.0;97.0
2751;Employee;K Financial institutions;2011 4th quarter;253.0;254.0;261.0;262.0;102.0;97.0
2752;Employee;K Financial institutions;2011;254.0;;263.0;;389.0;
2753;Employee;K Financial institutions;2012 1st quarter;253.0;252.0;261.0;261.0;106.0;96.0
2754;Employee;K Financial institutions;2012 2nd quarter;252.0;251.0;261.0;260.0;92.0;96.0
2755;Employee;K Financial institutions;2012 3rd quarter;249.0;250.0;257.0;258.0;86.0;95.0
2756;Employee;K Financial institutions;2012 4th quarter;248.0;249.0;256.0;257.0;98.0;94.0
2757;Employee;K Financial institutions;2012;250.0;;259.0;;382.0;
2758;Employee;K Financial institutions;2013 1st quarter;250.0;249.0;258.0;257.0;102.0;95.0
2759;Employee;K Financial institutions;2013 2nd quarter;248.0;247.0;256.0;255.0;92.0;95.0
2760;Employee;K Financial institutions;2013 3rd quarter;244.0;245.0;251.0;252.0;86.0;93.0
2761;Employee;K Financial institutions;2013 4th quarter;242.0;242.0;249.0;250.0;97.0;93.0
2762;Employee;K Financial institutions;2013;246.0;;254.0;;376.0;
2763;Employee;K Financial institutions;2014 1st quarter;240.0;239.0;247.0;247.0;100.0;93.0
2764;Employee;K Financial institutions;2014 2nd quarter;238.0;237.0;246.0;245.0;88.0;91.0
2765;Employee;K Financial institutions;2014 3rd quarter;235.0;236.0;243.0;243.0;84.0;92.0
2766;Employee;K Financial institutions;2014 4th quarter;234.0;234.0;241.0;242.0;94.0;90.0
2767;Employee;K Financial institutions;2014;237.0;;244.0;;366.0;
2768;Employee;K Financial institutions;2015 1st quarter;233.0;233.0;240.0;240.0;96.0;90.0
2769;Employee;K Financial institutions;2015 2nd quarter;232.0;231.0;240.0;239.0;86.0;89.0
2770;Employee;K Financial institutions;2015 3rd quarter;230.0;230.0;237.0;238.0;81.0;88.0
2771;Employee;K Financial institutions;2015 4th quarter;229.0;229.0;236.0;237.0;94.0;89.0
2772;Employee;K Financial institutions;2015;231.0;;238.0;;357.0;
2773;Employee;K Financial institutions;2016 1st quarter;227.0;227.0;234.0;234.0;93.0;88.0
