ID;BedrijfstakkenBranchesSBI2008;Marges;Seizoencorrectie;Perioden;Ondernemersvertrouwen_1;OntwikkelingEconomischKlimaat_2;VerwachtingEconomischKlimaat_3;OnzekerheidsindicatorEconomischKlimaat_4
6213;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 januari;-18.2;-20.1;-16.4;
6214;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 februari;-10.6;-12.8;-8.4;
6215;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 maart;-11.9;-17.5;-6.4;
6216;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 april;-13.3;-23.3;-3.3;
6217;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 mei;-12.7;-20.8;-4.7;
6218;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 juni;-14.0;-19.5;-8.5;
6219;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 juli;-11.5;-18.5;-4.6;
6220;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 augustus;-3.2;-4.7;-1.7;
6221;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 september;-8.5;-7.3;-9.6;
6222;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 oktober;-8.1;-4.5;-11.7;
6223;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 november;2.6;-2.9;8.1;
6224;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2013 december;6.7;3.0;10.5;
6225;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 januari;2.6;-4.8;10.1;
6226;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 februari;-3.1;-5.5;-0.7;
6227;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 maart;5.0;-4.8;14.8;
6228;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 april;8.9;-0.6;18.4;
6229;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 mei;2.2;-2.7;7.0;
6230;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 juni;6.0;3.3;8.6;
6231;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 juli;3.7;1.5;5.8;
6232;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 augustus;2.9;4.2;1.6;
6233;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 september;3.9;2.6;5.3;
6234;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 oktober;4.7;1.0;8.5;
6235;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 november;4.2;-1.5;9.9;
6236;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2014 december;6.7;4.3;9.2;
6237;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 januari;16.1;11.6;20.6;
6238;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 februari;10.0;5.0;15.0;
6239;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 maart;6.2;4.6;7.8;
6240;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 april;8.7;9.7;7.7;
6241;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 mei;8.7;5.2;12.2;
6242;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 juni;9.7;5.9;13.5;
6243;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 juli;7.0;2.2;11.7;
6244;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 augustus;8.8;-0.5;18.1;
6245;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 september;9.9;0.7;19.2;
6246;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 oktober;9.6;2.9;16.2;
6247;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 november;8.8;3.9;13.6;
6248;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2015 december;12.1;11.8;12.5;
6249;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 januari;8.2;4.7;11.8;
6250;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 februari;8.5;6.1;10.9;
6251;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 maart;7.6;7.9;7.3;
6252;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 april;5.4;4.2;6.6;
6253;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 mei;7.1;5.3;8.8;
6254;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 juni;7.6;2.9;12.2;
6255;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 juli;7.6;6.4;8.7;
6256;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 augustus;3.5;4.0;2.9;
6257;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 september;4.2;5.4;3.1;
6258;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 oktober;7.4;7.9;6.8;
6259;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 november;6.1;5.0;7.2;
6260;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2016 december;6.8;1.9;11.8;
6261;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 januari;10.8;10.3;11.3;
6262;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 februari;5.5;5.4;5.6;
6263;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 maart;7.1;5.8;8.3;
6264;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 april;10.8;8.2;13.4;
6265;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 mei;11.2;9.0;13.3;
6266;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 juni;12.8;11.5;14.1;
6267;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 juli;11.7;11.1;12.2;
6268;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 augustus;12.0;10.0;14.1;
6269;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 september;11.6;9.1;14.1;
6270;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 oktober;8.2;6.4;10.0;
6271;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 november;10.8;8.8;12.8;
6272;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2017 december;10.6;9.5;11.7;
6273;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 januari;15.4;17.9;12.9;
6274;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 februari;10.3;11.1;9.6;
6275;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 maart;9.2;5.9;12.6;
6276;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 april;9.0;6.5;11.5;
6277;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 mei;6.1;4.0;8.2;
6278;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 juni;5.4;5.8;5.0;
6279;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 juli;16.5;16.4;16.6;
6280;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 augustus;8.5;6.0;10.9;
6281;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 september;5.3;0.6;9.9;
6282;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 oktober;9.1;8.7;9.5;
6283;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 november;10.6;9.4;11.8;
6284;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2018 december;7.7;8.2;7.2;
6285;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 januari;8.2;8.4;8.1;
6286;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 februari;9.0;9.7;8.4;
6287;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 maart;8.7;7.5;9.9;
6288;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 april;9.0;8.5;9.4;
6289;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 mei;8.0;7.0;9.0;
6290;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 juni;7.4;8.0;6.7;
6291;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 juli;8.0;7.5;8.5;
6292;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 augustus;3.1;3.2;3.1;
6293;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 september;2.7;1.4;4.0;
6294;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 oktober;6.5;4.7;8.4;
6295;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 november;5.7;3.6;7.7;
6296;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2019 december;2.8;-0.4;6.1;
6297;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 januari;5.5;3.3;7.8;
6298;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 februari;4.5;4.5;4.5;
6299;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 maart;-1.4;-1.0;-1.8;
6300;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 april;-36.5;-22.7;-50.3;
6301;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 mei;-45.0;-43.0;-47.1;
6302;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 juni;-33.9;-43.7;-24.1;
6303;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 juli;-23.2;-40.0;-6.4;
6304;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 augustus;-14.8;-23.2;-6.4;
6305;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 september;-6.6;-10.1;-3.0;
6306;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 oktober;-15.3;-17.1;-13.6;
6307;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 november;-11.8;-11.2;-12.5;
6308;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2020 december;-9.3;-9.4;-9.1;
6309;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 januari;-9.7;-10.1;-9.4;
6310;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 februari;-10.3;-12.2;-8.4;
6311;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 maart;-1.9;-5.5;1.7;
6312;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 april;-1.1;-2.6;0.4;
6313;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 mei;4.6;2.0;7.1;9.5
6314;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 juni;5.6;2.2;8.9;-5.2
6315;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 juli;11.5;9.9;13.0;2.6
6316;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 augustus;13.6;12.9;14.3;-1.5
6317;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 september;11.8;13.0;10.6;-8.7
6318;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 oktober;19.9;23.1;16.7;-5.7
6319;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 november;14.6;15.8;13.4;-3.7
6320;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2021 december;5.3;6.2;4.5;-6.3
6321;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 januari;3.2;-1.5;7.9;4.6
6322;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 februari;6.5;3.8;9.2;0.4
6323;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 maart;7.5;6.8;8.2;1.0
6324;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 april;3.3;3.0;3.6;-1.4
6325;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 mei;3.0;3.8;2.2;-0.1
6326;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 juni;-0.3;-3.3;2.7;-6.4
6327;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 juli;-2.9;-6.3;0.5;-2.7
6328;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 augustus;-1.9;-7.0;3.2;-5.3
6329;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 september;-3.9;-5.5;-2.2;-1.7
6330;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 oktober;-7.1;-7.5;-6.7;-1.8
6331;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 november;-3.0;-2.8;-3.3;-1.1
6332;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2022 december;0.0;2.4;-2.5;-2.0
6333;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 januari;-5.2;-5.6;-4.9;4.3
6334;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 februari;-6.2;-9.7;-2.7;4.2
6335;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 maart;0.4;-1.5;2.3;-0.4
6336;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 april;1.3;-3.1;5.7;1.1
6337;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 mei;-0.4;-0.7;-0.1;-0.8
6338;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 juni;-8.0;-5.9;-10.1;-2.7
6339;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 juli;2.0;3.1;1.0;-1.6
6340;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 augustus;-3.4;-2.2;-4.7;-4.5
6341;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 september;-0.1;0.0;-0.2;0.4
6342;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 oktober;2.9;7.4;-1.6;-1.6
6343;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 november;-1.1;-2.4;0.3;3.0
6344;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2023 december;2.8;0.4;5.1;-0.3
6345;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 januari;2.3;-0.1;4.7;1.6
6346;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 februari;5.0;-0.2;10.3;-3.6
6347;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 maart;1.5;-2.0;5.0;-6.0
6348;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 april;-1.2;-6.9;4.6;-4.3
6349;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 mei;3.6;-0.3;7.5;-7.5
6350;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 juni;-1.1;1.9;-4.1;-5.5
6351;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 juli;2.0;0.5;3.5;-4.3
6352;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 augustus;-1.9;-2.5;-1.3;-3.3
6353;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 september;-2.3;-5.8;1.1;-4.0
6354;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 oktober;-0.9;-3.1;1.4;-0.5
6355;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 november;2.7;1.3;4.2;-3.1
6356;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2024 december;2.8;0.1;5.5;-5.1
6357;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2025 januari;-1.6;-3.3;0.2;-1.0
6358;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2025 februari;3.1;4.3;2.0;-2.7
6359;J Informatie en communicatie;Waarde;Seizoengecorrigeerde cijfers;2025 maart;-4.3;-5.1;-3.6;2.2
6360;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 januari;;;;
6361;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 februari;;;;
6362;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 maart;;;;
6363;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 april;;;;
6364;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 mei;;;;
6365;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 juni;;;;
6366;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 juli;;;;
6367;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 augustus;;;;
6368;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 september;;;;
6369;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 oktober;;;;
6370;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 november;;;;
6371;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 december;;;;
6372;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 januari;;;;
6373;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 februari;;;;
6374;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 maart;;;;
6375;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 april;;;;
6376;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 mei;;;;
6377;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 juni;;;;
6378;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 juli;;;;
6379;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 augustus;;;;
6380;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 september;;;;
6381;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 oktober;;;;
6382;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 november;;;;
6383;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 december;;;;
6384;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 januari;-3.1;-10.9;2.7;
6385;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 februari;-7.8;-12.0;-8.7;
6386;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 maart;0.5;-11.9;6.2;
6387;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 april;4.2;-7.7;11.5;
6388;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 mei;-2.7;-10.1;-0.3;
6389;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 juni;1.1;-3.6;1.7;
6390;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 juli;-2.6;-5.4;-0.9;
6391;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 augustus;-1.4;-2.7;-5.1;
6392;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 september;-2.0;-3.7;-1.4;
6393;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 oktober;0.2;-5.9;1.8;
6394;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 november;0.3;-7.6;3.0;
6395;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 december;3.0;-2.0;2.9;
6396;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 januari;8.8;4.0;13.2;
6397;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 februari;4.3;-1.9;8.9;
6398;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 maart;1.7;-2.7;1.3;
6399;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 april;2.2;2.6;1.0;
6400;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 mei;4.2;-2.2;5.3;
6401;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 juni;4.4;-0.6;8.0;
6402;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 juli;0.7;-4.7;4.6;
6403;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 augustus;3.7;-8.1;11.2;
6404;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 september;4.6;-6.6;12.7;
6405;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 oktober;4.3;-4.4;9.3;
6406;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 november;3.7;-3.4;6.5;
6407;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 december;5.6;5.1;5.8;
6408;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 januari;3.3;-1.4;5.5;
6409;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 februari;4.8;1.2;5.4;
6410;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 maart;3.9;2.4;2.0;
6411;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 april;1.7;-0.3;2.5;
6412;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 mei;3.0;-0.2;4.3;
6413;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 juni;3.7;-2.0;6.9;
6414;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 juli;4.5;3.3;4.8;
6415;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 augustus;0.6;-0.3;-1.0;
6416;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 september;0.7;0.7;-1.6;
6417;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 oktober;3.3;3.0;2.1;
6418;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 november;2.0;0.1;2.7;
6419;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 december;2.9;-3.0;7.3;
6420;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 januari;6.5;5.4;7.0;
6421;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 februari;1.2;0.3;1.1;
6422;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 maart;3.0;1.1;3.4;
6423;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 april;6.5;3.3;8.5;
6424;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 mei;7.3;4.3;8.8;
6425;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 juni;8.9;7.2;9.6;
6426;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 juli;7.6;6.8;7.9;
6427;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 augustus;8.1;5.5;10.0;
6428;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 september;8.1;5.0;10.0;
6429;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 oktober;4.5;1.5;5.5;
6430;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 november;6.5;3.9;8.1;
6431;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 december;6.3;4.4;7.2;
6432;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 januari;10.5;12.4;7.6;
6433;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 februari;6.0;6.2;4.9;
6434;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 maart;5.5;1.8;8.3;
6435;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 april;4.7;1.6;7.2;
6436;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 mei;1.8;-0.5;3.3;
6437;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 juni;1.5;1.3;0.9;
6438;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 juli;11.6;10.9;11.3;
6439;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 augustus;4.2;1.7;6.4;
6440;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 september;1.6;-3.9;5.8;
6441;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 oktober;5.0;3.8;5.0;
6442;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 november;6.5;5.5;6.7;
6443;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2018 december;3.6;3.9;2.5;
6444;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2019 januari;3.1;3.1;2.4;
6445;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2019 februari;3.9;4.0;2.9;
6446;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2019 maart;3.8;2.8;4.4;
6447;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2019 april;4.1;3.0;4.3;
6448;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2019 mei;3.7;2.5;4.7;
6449;J Informatie en communicatie;Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2019 juni;3.3;3.7;2.4;
