ID;StandenEnBeroepOpDeKapitaalmarkt;Perioden;Totaal_1;TotaalBeleggingsfondsen_2;TotaalAandelenfondsen_3;TotaalRegiofondsen_4;Nederland_5;Europa_6;NoordAmerika_7;Azie_8;Wereldwijd_9;Overig_10;Sectorfondsen_11;TotaalObligatiefondsen_12;EuroGebied_13;Wereldwijd_14;Overige_15;Depositofondsen_16;Mixfondsen_17;Trackers_18;OverigeFondsen_19;TotaalVastgoedfondsen_20;DirecteVastgoedfondsen_21;IndirecteVastgoedfondsen_22
173;Brutoberoep emissie;2011 oktober;51;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0
174;Brutoberoep emissie;2011 november;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;Brutoberoep emissie;2011 december;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;Brutoberoep emissie;2012 januari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;Brutoberoep emissie;2012 februari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;Brutoberoep emissie;2012 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;Brutoberoep emissie;2012 april;75;50;50;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;25;25;0
180;Brutoberoep emissie;2012 mei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;Brutoberoep emissie;2012 juni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;Brutoberoep emissie;2012 juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;Brutoberoep emissie;2012 augustus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;Brutoberoep emissie;2012 september;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;Brutoberoep emissie;2012 oktober;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;Brutoberoep emissie;2012 november;10;10;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
187;Brutoberoep emissie;2012 december;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;Brutoberoep emissie;2013 januari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;Brutoberoep emissie;2013 februari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
