ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
5302;Terwolde;285;Voorst                     ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;ja ;nee
5303;Terworm;917;Heerlen                    ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5304;Terziet;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5305;Teteringen;758;Breda                      ;103;Breda                                             ;30;NB. ;ja ;nee
5306;Teuge;285;Voorst                     ;34;Overige gemeenten oostelijke Veluwezoom           ;25;Gld.;ja ;nee
5307;Texel;448;Texel                      ;50;Texel                                             ;27;NH. ;nee;ja 
5308;Thamerdal;451;Uithoorn                   ;62;Noordhollandse Meerlanden                         ;27;NH. ;nee;nee
5309;Theereheide;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
5310;55;9;Ten Boer                   ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;ja ;nee
5311;Thij;181;Steenwijk                  ;19;Noordwest-Overijssel                              ;23;O.  ;nee;nee
5312;Tholen;716;Tholen                     ;94;Sint Philipsland en Tholen                        ;29;Z.  ;ja ;ja 
5313;Thorn;977;Thorn                      ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;ja ;ja 
5314;Thull;962;Schinnen                   ;124;Westelijke Mijnstreek                             ;31;L.  ;nee;nee
5315;714;81;Leeuwarderadeel            ;12;Friese bouwstreek                                 ;21;F.  ;nee;nee
5316;Tiel;281;Tiel                       ;38;Westelijke Betuwe                                 ;25;Gld.;ja ;ja 
5317;Tielse Hoeve;845;Sint-Michielsgestel        ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
5318;Tiendeveen;118;Hoogeveen                  ;18;Zuiddrents randgebied                             ;22;D.  ;ja ;nee
5319;Tiendweg-West;643;Nederlek                   ;75;Krimpenerwaard                                    ;28;ZH. ;nee;nee
5320;Tiengemeten;588;Korendijk                  ;90;Hoeksche Waard                                    ;28;ZH. ;nee;nee
