ID;Perioden;Aardappelen_1;Bier_2;Brood_3;Hamlappen_4;Kaas_5;Eieren_6;Koffie_7;Margarine_8;Melk_9;Riblappen_10;Rijst_11;Roomboter_12;Suiker_13;Thee_14
205;2005;0.58;1.28;1.43;7.55;7.18;1.4;5.5;0.68;0.6;8.6;1.5;1.01;0.79;0.87
206;2006;0.86;1.31;1.37;7.93;7.24;1.4;5.8;0.68;0.6;9.0;1.39;1.01;0.78;0.85
207;2007;0.81;1.37;1.35;7.73;7.11;1.4;6.0;0.7;0.58;9.02;1.48;1.08;0.8;0.84
208;2008;0.77;1.46;1.48;7.84;8.39;1.5;6.6;0.78;0.7;9.19;1.73;1.22;0.78;0.9
209;2009;0.72;1.6;1.46;8.29;8.15;1.5;6.58;0.79;0.71;9.29;2.03;1.15;0.79;0.91
210;2010;0.88;1.41;1.17;7.44;8.8;1.6;6.18;0.77;0.64;7.91;1.82;1.04;0.75;0.94
211;2011;0.83;1.4;1.29;8.18;9.3;1.6;8.16;0.79;0.67;8.57;1.75;1.16;0.79;1.03
212;2012;0.79;1.33;1.17;7.68;8.63;1.7;8.34;0.72;0.71;8.94;1.72;1.12;0.93;1.11
213;2013;1.03;1.45;1.21;7.41;8.89;1.89;8.74;0.74;0.76;8.64;2.09;1.19;1.04;1.07
214;2014;0.94;1.49;1.2;6.86;9.24;1.84;9.34;0.79;0.8;8.8;2.24;1.33;0.99;1.08
215;2015;1.09;1.48;1.19;7.0;7.19;1.96;10.39;0.9;0.77;9.5;2.31;1.28;0.98;1.14
216;2016;1.24;1.49;1.17;7.1;6.94;2.07;9.51;0.91;0.76;9.45;2.17;1.26;0.8;1.19
217;2017;1.31;1.48;1.14;7.61;10.22;2.24;9.43;0.93;0.9;9.79;2.1;1.69;0.67;1.16
218;2018;1.33;1.48;1.16;7.26;10.98;2.47;8.73;0.77;0.9;9.32;2.02;2.04;0.68;1.16
