ID;SITC;GroupsOfCountries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5;ImportValue_6;ExportValue_7;BalanceOfTrade_8;ChangeInImportValue_9;ChangeInExportValue_10
4953;2 Crude materials, inedible, except f...;Total;2007 November;1060.0;1464.0;404.0;;;1049.0;1480.0;431.0;-3.8;-2.8
4954;2 Crude materials, inedible, except f...;Total;2007 December;1001.0;1345.0;344.0;;;1001.0;1353.0;352.0;10.4;-5.6
4955;2 Crude materials, inedible, except f...;Total;2007;12826.0;18452.0;5626.0;;;12731.0;18669.0;5938.0;14.3;6.1
4956;2 Crude materials, inedible, except f...;Total;2008 January;1099.0;1584.0;485.0;;;;;;;
4957;2 Crude materials, inedible, except f...;Total;2008 February;1233.0;1827.0;594.0;;;;;;;
4958;2 Crude materials, inedible, except f...;Total;2008 March;1199.0;1785.0;587.0;;;;;;;
4959;2 Crude materials, inedible, except f...;Total;2008 April;1214.0;1725.0;510.0;;;;;;;
4960;2 Crude materials, inedible, except f...;Total;2008 May;1234.0;1706.0;472.0;;;;;;;
4961;2 Crude materials, inedible, except f...;Total;2008 June;1111.0;1467.0;356.0;;;;;;;
4962;2 Crude materials, inedible, except f...;Total;2008 July;1234.0;1357.0;122.0;;;;;;;
4963;2 Crude materials, inedible, except f...;Total;2008 August;1052.0;1362.0;310.0;;;;;;;
4964;2 Crude materials, inedible, except f...;Total;2008 September;1293.0;1591.0;298.0;;;;;;;
4965;2 Crude materials, inedible, except f...;Total;2008 October;1251.0;1410.0;159.0;;;;;;;
4966;2 Crude materials, inedible, except f...;Total;2008 November;1050.0;1126.0;76.0;;;;;;;
4967;2 Crude materials, inedible, except f...;Total;2008 December;888.0;1202.0;314.0;;;;;;;
4968;2 Crude materials, inedible, except f...;Total;2008;13859.0;18143.0;4284.0;;;;;;;
4969;2 Crude materials, inedible, except f...;Total;2009 January;776.0;1129.0;352.0;-29.3;-28.7;;;;;
4970;2 Crude materials, inedible, except f...;Total;2009 February;739.0;1278.0;539.0;-40.1;-30.1;;;;;
4971;2 Crude materials, inedible, except f...;Total;2009 March;852.0;1455.0;602.0;-28.9;-18.5;;;;;
4972;2 Crude materials, inedible, except f...;Total;2009 April;811.0;1416.0;605.0;-33.2;-17.9;;;;;
4973;2 Crude materials, inedible, except f...;Total;2009 May;816.0;1332.0;515.0;-33.8;-22.0;;;;;
4974;2 Crude materials, inedible, except f...;Total;2009 June;769.0;1252.0;483.0;-30.8;-14.7;;;;;
4975;2 Crude materials, inedible, except f...;Total;2009 July;815.0;1136.0;321.0;-34.0;-16.3;;;;;
4976;2 Crude materials, inedible, except f...;Total;2009 August;766.0;1177.0;411.0;-27.2;-13.6;;;;;
4977;2 Crude materials, inedible, except f...;Total;2009 September;872.0;1385.0;513.0;-32.6;-13.0;;;;;
4978;2 Crude materials, inedible, except f...;Total;2009 October;861.0;1309.0;448.0;-31.2;-7.2;;;;;
4979;2 Crude materials, inedible, except f...;Total;2009 November;902.0;1296.0;394.0;-14.1;15.1;;;;;
4980;2 Crude materials, inedible, except f...;Total;2009 December;852.0;1272.0;420.0;-4.1;5.8;;;;;
4981;2 Crude materials, inedible, except f...;Total;2009;9831.0;15436.0;5605.0;-29.1;-14.9;;;;;
4982;2 Crude materials, inedible, except f...;Total;2010 January;872.0;1234.0;363.0;12.2;9.3;;;;;
4983;2 Crude materials, inedible, except f...;Total;2010 February;896.0;1544.0;648.0;21.2;20.8;;;;;
4984;2 Crude materials, inedible, except f...;Total;2010 March;1134.0;1953.0;819.0;33.1;34.3;;;;;
4985;2 Crude materials, inedible, except f...;Total;2010 April;1141.0;1821.0;679.0;40.8;28.6;;;;;
4986;2 Crude materials, inedible, except f...;Total;2010 May;1163.0;1764.0;601.0;42.4;32.5;;;;;
4987;2 Crude materials, inedible, except f...;Total;2010 June;1172.0;1591.0;419.0;52.4;27.1;;;;;
4988;2 Crude materials, inedible, except f...;Total;2010 July;1105.0;1316.0;211.0;35.7;15.8;;;;;
4989;2 Crude materials, inedible, except f...;Total;2010 August;1078.0;1465.0;387.0;40.8;24.5;;;;;
4990;2 Crude materials, inedible, except f...;Total;2010 September;1130.0;1638.0;508.0;29.6;18.2;;;;;
4991;2 Crude materials, inedible, except f...;Total;2010 October;1313.0;1607.0;294.0;52.4;22.7;;;;;
4992;2 Crude materials, inedible, except f...;Total;2010 November;1210.0;1646.0;435.0;34.2;27.0;;;;;
4993;2 Crude materials, inedible, except f...;Total;2010 December;1130.0;1500.0;370.0;32.6;17.9;;;;;
4994;2 Crude materials, inedible, except f...;Total;2010;13344.0;19078.0;5735.0;35.7;23.6;;;;;
4995;2 Crude materials, inedible, except f...;Total;2011 January;1261.0;1731.0;471.0;44.7;40.3;;;;;
4996;2 Crude materials, inedible, except f...;Total;2011 February;1324.0;1875.0;551.0;47.8;21.4;;;;;
4997;2 Crude materials, inedible, except f...;Total;2011 March;1479.0;2062.0;584.0;30.3;5.6;;;;;
4998;2 Crude materials, inedible, except f...;Total;2011 April;1250.0;1893.0;643.0;9.5;4.0;;;;;
4999;2 Crude materials, inedible, except f...;Total;2011 May;1432.0;1943.0;511.0;23.2;10.2;;;;;
5000;2 Crude materials, inedible, except f...;Total;2011 June;1424.0;1626.0;202.0;21.5;2.2;;;;;
5001;2 Crude materials, inedible, except f...;Total;2011 July;1256.0;1459.0;204.0;13.7;10.9;;;;;
5002;2 Crude materials, inedible, except f...;Total;2011 August;1318.0;1586.0;268.0;22.3;8.2;;;;;
5003;2 Crude materials, inedible, except f...;Total;2011 September;1231.0;1773.0;542.0;8.9;8.3;;;;;
5004;2 Crude materials, inedible, except f...;Total;2011 October;1238.0;1613.0;376.0;-5.7;0.4;;;;;
5005;2 Crude materials, inedible, except f...;Total;2011 November;1402.0;1636.0;235.0;15.8;-0.6;;;;;
5006;2 Crude materials, inedible, except f...;Total;2011 December;1261.0;1642.0;381.0;11.6;9.4;;;;;
5007;2 Crude materials, inedible, except f...;Total;2011;15875.0;20841.0;4965.0;19.0;9.2;;;;;
5008;2 Crude materials, inedible, except f...;Total;2012 January;1201.0;1725.0;524.0;-4.8;-0.4;;;;;
5009;2 Crude materials, inedible, except f...;Total;2012 February;1265.0;1977.0;712.0;-4.5;5.4;;;;;
5010;2 Crude materials, inedible, except f...;Total;2012 March;1441.0;2219.0;778.0;-2.6;7.6;;;;;
5011;2 Crude materials, inedible, except f...;Total;2012 April;1283.0;1868.0;585.0;2.6;-1.4;;;;;
5012;2 Crude materials, inedible, except f...;Total;2012 May;1360.0;2003.0;643.0;-5.0;3.1;;;;;
5013;2 Crude materials, inedible, except f...;Total;2012 June;1289.0;1745.0;456.0;-9.4;7.4;;;;;
5014;2 Crude materials, inedible, except f...;Total;2012 July;1157.0;1515.0;358.0;-7.9;3.8;;;;;
5015;2 Crude materials, inedible, except f...;Total;2012 August;1336.0;1670.0;334.0;1.3;5.3;;;;;
5016;2 Crude materials, inedible, except f...;Total;2012 September;1106.0;1645.0;539.0;-10.2;-7.2;;;;;
5017;2 Crude materials, inedible, except f...;Total;2012 October;1245.0;1773.0;529.0;0.6;9.9;;;;;
5018;2 Crude materials, inedible, except f...;Total;2012 November;1223.0;1730.0;507.0;-12.7;5.7;;;;;
5019;2 Crude materials, inedible, except f...;Total;2012 December;1015.0;1513.0;498.0;-19.5;-7.9;;;;;
5020;2 Crude materials, inedible, except f...;Total;2012;14920.0;21383.0;6462.0;-6.0;2.6;;;;;
5021;2 Crude materials, inedible, except f...;Total;2013 January;1183.0;1742.0;558.0;-1.5;0.9;;;;;
5022;2 Crude materials, inedible, except f...;Total;2013 February;1129.0;1815.0;686.0;-10.8;-8.2;;;;;
5023;2 Crude materials, inedible, except f...;Total;2013 March;1266.0;1956.0;690.0;-12.1;-11.8;;;;;
5024;2 Crude materials, inedible, except f...;Total;2013 April;1131.0;1816.0;686.0;-11.9;-2.7;;;;;
5025;2 Crude materials, inedible, except f...;Total;2013 May;1271.0;1954.0;683.0;-6.5;-2.4;;;;;
5026;2 Crude materials, inedible, except f...;Total;2013 June;1072.0;1476.0;404.0;-16.9;-15.4;;;;;
5027;2 Crude materials, inedible, except f...;Total;2013 July;1107.0;1409.0;302.0;-4.3;-7.0;;;;;
5028;2 Crude materials, inedible, except f...;Total;2013 August;1173.0;1446.0;273.0;-12.2;-13.4;;;;;
5029;2 Crude materials, inedible, except f...;Total;2013 September;1032.0;1600.0;568.0;-6.6;-2.7;;;;;
5030;2 Crude materials, inedible, except f...;Total;2013 October;1178.0;1576.0;398.0;-5.3;-11.1;;;;;
5031;2 Crude materials, inedible, except f...;Total;2013 November;1142.0;1535.0;393.0;-6.6;-11.3;;;;;
5032;2 Crude materials, inedible, except f...;Total;2013 December;1110.0;1491.0;381.0;9.3;-1.4;;;;;
5033;2 Crude materials, inedible, except f...;Total;2013;13794.0;19818.0;6024.0;-7.5;-7.3;;;;;
5034;2 Crude materials, inedible, except f...;Total;2014 January;1082.0;1618.0;536.0;-8.6;-7.1;;;;;
5035;2 Crude materials, inedible, except f...;Total;2014 February;1120.0;1788.0;667.0;-0.7;-1.5;;;;;
5036;2 Crude materials, inedible, except f...;Total;2014 March;1149.0;1905.0;756.0;-9.2;-2.6;;;;;
5037;2 Crude materials, inedible, except f...;Total;2014 April;1237.0;1866.0;630.0;9.3;2.7;;;;;
5038;2 Crude materials, inedible, except f...;Total;2014 May;1073.0;1871.0;798.0;-15.6;-4.3;;;;;
5039;2 Crude materials, inedible, except f...;Total;2014 June;1148.0;1571.0;423.0;7.1;6.4;;;;;
5040;2 Crude materials, inedible, except f...;Total;2014 July;1157.0;1587.0;429.0;4.6;12.6;;;;;
5041;2 Crude materials, inedible, except f...;Total;2014 August;1007.0;1498.0;491.0;-14.2;3.5;;;;;
5042;2 Crude materials, inedible, except f...;Total;2014 September;1105.0;1708.0;603.0;7.0;6.7;;;;;
5043;2 Crude materials, inedible, except f...;Total;2014 October;1164.0;1652.0;489.0;-1.3;4.8;;;;;
5044;2 Crude materials, inedible, except f...;Total;2014 November;1160.0;1467.0;307.0;1.6;-4.4;;;;;
5045;2 Crude materials, inedible, except f...;Total;2014 December;1053.0;1550.0;497.0;-5.1;3.9;;;;;
5046;2 Crude materials, inedible, except f...;Total;2014;13454.0;20079.0;6625.0;-2.5;1.3;;;;;
5047;2 Crude materials, inedible, except f...;Total;2015 January;1058.0;1582.0;524.0;;;;;;;
5048;2 Crude materials, inedible, except f...;Total;2015 February;1066.0;1698.0;631.0;;;;;;;
5049;2 Crude materials, inedible, except f...;Total;2015 March;1272.0;2013.0;740.0;;;;;;;
5050;2 Crude materials, inedible, except f...;Total;2015 April;1256.0;1884.0;629.0;;;;;;;
5051;2 Crude materials, inedible, except f...;Total;2015 May;1151.0;1797.0;646.0;;;;;;;
5052;2 Crude materials, inedible, except f...;Total;2015 June;1181.0;1643.0;462.0;;;;;;;
5053;2 Crude materials, inedible, except f...;Total;2015 July;1152.0;1447.0;294.0;;;;;;;
5054;2 Crude materials, inedible, except f...;Total;2015 August;1050.0;1403.0;352.0;;;;;;;
5055;2 Crude materials, inedible, except f...;Total;2015 September;1147.0;1577.0;429.0;;;;;;;
5056;2 Crude materials, inedible, except f...;Total;2015 October;1168.0;1570.0;402.0;;;;;;;
5057;2 Crude materials, inedible, except f...;Total;2015 November;1014.0;1529.0;515.0;;;;;;;
5058;2 Crude materials, inedible, except f...;Total;2015 December;1141.0;1553.0;411.0;;;;;;;
5059;2 Crude materials, inedible, except f...;Total;2015;13657.0;19694.0;6037.0;;;;;;;
5060;2 Crude materials, inedible, except f...;Total;2016 January;980.0;1459.0;479.0;-7.3;-7.7;;;;;
5061;2 Crude materials, inedible, except f...;Total;2016 February;1018.0;1730.0;712.0;-4.5;1.9;;;;;
5062;2 Crude materials, inedible, except f...;Total;2016 March;1128.0;1909.0;782.0;-11.4;-5.1;;;;;
5063;2 Crude materials, inedible, except f...;Total;2016 April;1233.0;1755.0;522.0;-1.8;-6.9;;;;;
5064;2 Crude materials, inedible, except f...;Total;2016 May;1082.0;1781.0;699.0;-6.0;-0.9;;;;;
5065;2 Crude materials, inedible, except f...;Total;2016 June;1052.0;1534.0;481.0;-10.9;-6.6;;;;;
5066;2 Crude materials, inedible, except f...;Total;2016 July;1052.0;1412.0;360.0;-8.7;-2.4;;;;;
5067;2 Crude materials, inedible, except f...;Total;2016 August;1016.0;1500.0;484.0;-3.3;6.9;;;;;
5068;2 Crude materials, inedible, except f...;Total;2016 September;1129.0;1616.0;487.0;-1.6;2.5;;;;;
5069;2 Crude materials, inedible, except f...;Total;2016 October;1006.0;1601.0;594.0;-13.8;2.0;;;;;
5070;2 Crude materials, inedible, except f...;Total;2016 November;1148.0;1688.0;541.0;13.2;10.4;;;;;
5071;2 Crude materials, inedible, except f...;Total;2016 December;1212.0;1574.0;363.0;6.2;1.4;;;;;
5072;2 Crude materials, inedible, except f...;Total;2016;13055.0;19560.0;6504.0;-4.4;-0.7;;;;;
5073;2 Crude materials, inedible, except f...;Total;2017 January;1170.0;1662.0;493.0;19.3;13.9;;;;;
5074;2 Crude materials, inedible, except f...;Total;2017 February;1238.0;1868.0;630.0;21.6;8.0;;;;;
5075;2 Crude materials, inedible, except f...;Total;2017 March;1311.0;2247.0;936.0;16.3;17.7;;;;;
5076;2 Crude materials, inedible, except f...;Total;2017 April;1184.0;1787.0;603.0;-4.0;1.8;;;;;
5077;2 Crude materials, inedible, except f...;Total;2017 May;1363.0;2095.0;732.0;26.0;17.6;;;;;
5078;2 Crude materials, inedible, except f...;Total;2017 June;1126.0;1612.0;486.0;6.9;5.1;;;;;
5079;2 Crude materials, inedible, except f...;Total;2017 July;1126.0;1493.0;367.0;7.1;5.7;;;;;
5080;2 Crude materials, inedible, except f...;Total;2017 August;1257.0;1704.0;446.0;23.8;13.6;;;;;
5081;2 Crude materials, inedible, except f...;Total;2017 September;1162.0;1738.0;577.0;2.9;7.6;;;;;
5082;2 Crude materials, inedible, except f...;Total;2017 October;1366.0;1821.0;455.0;35.8;13.8;;;;;
5083;2 Crude materials, inedible, except f...;Total;2017 November;1360.0;1764.0;403.0;18.5;4.5;;;;;
5084;2 Crude materials, inedible, except f...;Total;2017 December;1121.0;1641.0;520.0;-7.5;4.3;;;;;
5085;2 Crude materials, inedible, except f...;Total;2017;14784.0;21432.0;6648.0;13.2;9.6;;;;;
5086;2 Crude materials, inedible, except f...;Total;2018 January;1325.0;1822.0;496.0;13.3;9.6;;;;;
5087;2 Crude materials, inedible, except f...;Total;2018 February;1257.0;1935.0;678.0;1.5;3.6;;;;;
5088;2 Crude materials, inedible, except f...;Total;2018 March;1263.0;2215.0;952.0;-3.6;-1.4;;;;;
5089;2 Crude materials, inedible, except f...;Total;2018 April;1381.0;1981.0;600.0;16.7;10.9;;;;;
5090;2 Crude materials, inedible, except f...;Total;2018 May;1405.0;2193.0;787.0;3.1;4.7;;;;;
5091;2 Crude materials, inedible, except f...;Total;2018 June;1386.0;1868.0;482.0;23.2;15.9;;;;;
5092;2 Crude materials, inedible, except f...;Total;2018 July;1341.0;1681.0;341.0;19.1;12.6;;;;;
5093;2 Crude materials, inedible, except f...;Total;2018 August;1275.0;1738.0;464.0;1.4;2.0;;;;;
5094;2 Crude materials, inedible, except f...;Total;2018 September;1183.0;1691.0;508.0;1.8;-2.7;;;;;
5095;2 Crude materials, inedible, except f...;Total;2018 October;1430.0;1885.0;455.0;4.7;3.5;;;;;
5096;2 Crude materials, inedible, except f...;Total;2018 November;1344.0;1846.0;502.0;-1.2;4.7;;;;;
5097;2 Crude materials, inedible, except f...;Total;2018 December;1204.0;1580.0;376.0;7.4;-3.7;;;;;
5098;2 Crude materials, inedible, except f...;Total;2018;15795.0;22435.0;6640.0;6.8;4.7;;;;;
5099;2 Crude materials, inedible, except f...;Total;2019 January;1301.0;1828.0;527.0;-1.8;0.3;;;;;
5100;2 Crude materials, inedible, except f...;Total;2019 February;1269.0;2069.0;801.0;0.9;6.9;;;;;
5101;2 Crude materials, inedible, except f...;Total;2019 March;1470.0;2269.0;800.0;16.3;2.4;;;;;
5102;2 Crude materials, inedible, except f...;Total;2019 April;1407.0;2167.0;760.0;1.9;9.4;;;;;
5103;2 Crude materials, inedible, except f...;Total;2019 May;1494.0;2224.0;730.0;6.3;1.4;;;;;
5104;2 Crude materials, inedible, except f...;Total;2019 June;1218.0;1619.0;402.0;-12.2;-13.3;;;;;
5105;2 Crude materials, inedible, except f...;Total;2019 July;1300.0;1671.0;371.0;-3.0;-0.6;;;;;
5106;2 Crude materials, inedible, except f...;Total;2019 August;1300.0;1678.0;379.0;2.0;-3.4;;;;;
5107;2 Crude materials, inedible, except f...;Total;2019 September;1376.0;1781.0;404.0;16.3;5.3;;;;;
5108;2 Crude materials, inedible, except f...;Total;2019 October;1401.0;1898.0;497.0;-2.1;0.6;;;;;
5109;2 Crude materials, inedible, except f...;Total;2019 November;1279.0;1841.0;562.0;-4.8;-0.2;;;;;
5110;2 Crude materials, inedible, except f...;Total;2019 December;1268.0;1670.0;401.0;5.3;5.7;;;;;
5111;2 Crude materials, inedible, except f...;Total;2019;16082.0;22714.0;6632.0;1.8;1.2;;;;;
5112;2 Crude materials, inedible, except f...;Total;2020 January;1358.0;1950.0;592.0;4.4;6.7;;;;;
5113;2 Crude materials, inedible, except f...;Total;2020 February;1216.0;2138.0;921.0;-4.1;3.3;;;;;
5114;2 Crude materials, inedible, except f...;Total;2020 March;1509.0;1994.0;485.0;2.7;-12.1;;;;;
5115;2 Crude materials, inedible, except f...;Total;2020 April;1301.0;1725.0;424.0;-7.5;-20.4;;;;;
5116;2 Crude materials, inedible, except f...;Total;2020 May;1319.0;1879.0;560.0;-11.7;-15.5;;;;;
5117;2 Crude materials, inedible, except f...;Total;2020 June;1338.0;1782.0;444.0;9.9;10.1;;;;;
5118;2 Crude materials, inedible, except f...;Total;2020 July;1269.0;1747.0;478.0;-2.4;4.6;;;;;
5119;2 Crude materials, inedible, except f...;Total;2020 August;1188.0;1654.0;466.0;-8.6;-1.4;;;;;
5120;2 Crude materials, inedible, except f...;Total;2020 September;1449.0;1984.0;534.0;5.3;11.4;;;;;
5121;2 Crude materials, inedible, except f...;Total;2020 October;1314.0;1998.0;684.0;-6.2;5.3;;;;;
5122;2 Crude materials, inedible, except f...;Total;2020 November;1383.0;1956.0;574.0;8.1;6.3;;;;;
5123;2 Crude materials, inedible, except f...;Total;2020 December;1314.0;1946.0;632.0;3.6;16.6;;;;;
5124;2 Crude materials, inedible, except f...;Total;2020;15958.0;22754.0;6796.0;-0.8;0.2;;;;;
5125;2 Crude materials, inedible, except f...;Total;2021 January;1351.0;2052.0;701.0;-0.5;5.2;;;;;
5126;2 Crude materials, inedible, except f...;Total;2021 February;1416.0;2418.0;1002.0;16.4;13.1;;;;;
5127;2 Crude materials, inedible, except f...;Total;2021 March;1813.0;3090.0;1278.0;20.1;55.0;;;;;
5128;2 Crude materials, inedible, except f...;Total;2021 April;1717.0;2643.0;926.0;32.0;53.2;;;;;
5129;2 Crude materials, inedible, except f...;Total;2021 May;1672.0;2635.0;963.0;26.8;40.2;;;;;
5130;2 Crude materials, inedible, except f...;Total;2021 June;1750.0;2417.0;666.0;30.8;35.6;;;;;
5131;2 Crude materials, inedible, except f...;Total;2021 July;1722.0;2113.0;391.0;35.7;20.9;;;;;
5132;2 Crude materials, inedible, except f...;Total;2021 August;1712.0;2160.0;448.0;44.1;30.6;;;;;
5133;2 Crude materials, inedible, except f...;Total;2021 September;1786.0;2430.0;644.0;23.2;22.5;;;;;
5134;2 Crude materials, inedible, except f...;Total;2021 October;1628.0;2333.0;705.0;24.0;16.8;;;;;
5135;2 Crude materials, inedible, except f...;Total;2021 November;1761.0;2507.0;746.0;27.3;28.1;;;;;
5136;2 Crude materials, inedible, except f...;Total;2021 December;1729.0;2365.0;635.0;31.6;21.5;;;;;
5137;2 Crude materials, inedible, except f...;Total;2021;20056.0;29161.0;9105.0;25.7;28.2;;;;;
5138;2 Crude materials, inedible, except f...;Total;2022 January;1547.0;2286.0;739.0;;;;;;;
5139;2 Crude materials, inedible, except f...;Total;2022 February;1592.0;2674.0;1082.0;;;;;;;
5140;2 Crude materials, inedible, except f...;Total;2022 March;1889.0;3024.0;1136.0;;;;;;;
5141;2 Crude materials, inedible, except f...;Total;2022 April;1914.0;2918.0;1004.0;;;;;;;
5142;2 Crude materials, inedible, except f...;Total;2022 May;1833.0;2885.0;1052.0;;;;;;;
5143;2 Crude materials, inedible, except f...;Total;2022 June;1830.0;2344.0;514.0;;;;;;;
5144;2 Crude materials, inedible, except f...;Total;2022 July;1726.0;2074.0;348.0;;;;;;;
5145;2 Crude materials, inedible, except f...;Total;2022 August;1614.0;2155.0;541.0;;;;;;;
5146;2 Crude materials, inedible, except f...;Total;2022 September;1528.0;2287.0;759.0;;;;;;;
5147;2 Crude materials, inedible, except f...;Total;2022 October;1632.0;2298.0;666.0;;;;;;;
5148;2 Crude materials, inedible, except f...;Total;2022 January-October;17104.0;24945.0;7841.0;;;;;;;
5149;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 January;;;;;;259.0;718.0;459.0;-9.9;-5.7
5150;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 February;;;;;;284.0;808.0;524.0;-4.2;-6.5
5151;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 March;;;;;;333.0;923.0;591.0;-2.6;-2.5
5152;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 April;;;;;;316.0;834.0;519.0;5.0;-0.7
5153;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 May;;;;;;328.0;907.0;579.0;-1.3;0.7
5154;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 June;;;;;;300.0;731.0;431.0;0.3;1.5
5155;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 July;;;;;;273.0;688.0;415.0;-1.2;10.1
5156;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 August;;;;;;259.0;724.0;465.0;-0.3;3.3
5157;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 September;;;;;;316.0;848.0;532.0;8.7;13.4
5158;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 October;;;;;;330.0;863.0;532.0;6.7;7.6
5159;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 November;;;;;;316.0;757.0;440.0;8.0;2.6
5160;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002 December;;;;;;319.0;779.0;459.0;16.3;7.6
5161;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2002;;;;;;3634.0;9580.0;5945.0;2.0;2.2
5162;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 January;;;;;;277.0;798.0;521.0;7.0;11.2
5163;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 February;;;;;;293.0;877.0;584.0;2.9;8.6
5164;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 March;;;;;;333.0;974.0;642.0;0.0;5.5
5165;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 April;;;;;;338.0;939.0;600.0;7.2;12.5
5166;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 May;;;;;;318.0;907.0;588.0;-2.9;-0.1
5167;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 June;;;;;;301.0;686.0;386.0;0.2;-6.1
5168;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 July;;;;;;290.0;663.0;373.0;6.3;-3.6
5169;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 August;;;;;;273.0;641.0;368.0;5.5;-11.4
5170;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 September;;;;;;336.0;860.0;524.0;6.2;1.4
5171;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 October;;;;;;359.0;803.0;444.0;8.7;-7.0
5172;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 November;;;;;;323.0;735.0;412.0;1.9;-2.9
5173;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003 December;;;;;;326.0;762.0;436.0;2.1;-2.2
5174;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2003;;;;;;3767.0;9645.0;5878.0;3.6;0.7
5175;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 January;;;;;;295.0;800.0;505.0;;
5176;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 February;;;;;;327.0;934.0;607.0;;
5177;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 March;;;;;;414.0;1127.0;713.0;;
5178;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 April;;;;;;354.0;1015.0;661.0;;
5179;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 May;;;;;;331.0;977.0;646.0;;
5180;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 June;;;;;;369.0;972.0;602.0;;
5181;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 July;;;;;;319.0;756.0;437.0;;
5182;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 August;;;;;;331.0;824.0;493.0;;
5183;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 September;;;;;;408.0;1029.0;621.0;;
5184;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 October;;;;;;378.0;978.0;600.0;;
5185;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 November;;;;;;410.0;1013.0;603.0;;
5186;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004 December;;;;;;398.0;977.0;579.0;;
5187;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2004;;;;;;4406.0;11504.0;7098.0;;
5188;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 January;;;;;;338.0;956.0;618.0;;
5189;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 February;;;;;;355.0;1031.0;675.0;;
5190;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 March;;;;;;404.0;1228.0;824.0;;
5191;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 April;;;;;;406.0;1201.0;795.0;;
5192;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 May;;;;;;373.0;1136.0;763.0;12.7;16.3
5193;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 June;;;;;;391.0;944.0;553.0;5.8;-2.9
5194;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 July;;;;;;334.0;800.0;466.0;4.5;5.8
5195;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 August;;;;;;333.0;942.0;609.0;0.6;14.3
5196;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 September;;;;;;399.0;1056.0;657.0;-2.1;2.7
5197;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 October;;;;;;420.0;1005.0;585.0;11.2;2.7
5198;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 November;;;;;;407.0;988.0;582.0;-0.8;-2.4
5199;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005 December;;;;;;426.0;1003.0;577.0;7.0;2.6
5200;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2005;;;;;;4586.0;12290.0;7704.0;;
5201;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2006 January;;;;;;377.0;977.0;600.0;11.3;2.1
5202;2 Crude materials, inedible, except f...;European Union (excl. the Netherlands);2006 February;;;;;;452.0;1109.0;657.0;27.1;7.6
